mout fu irie z	---|-|----⌫|
fuuenuz cil qu ila	-|----|--|--⌫|-|
puceledeuoit	-----|-----|
conseil lier. lorsd i st li	-------⌫---||---|-⌫-⌫-|-|
unsdes i uges damoisele	--|--|-⌫---|--------|
maisqu efaireat ornez	---|--⌫|----|--⌫----|
uos quilu o scouient	--|-|-|-⌫-⌫|------|
a s oufrircest	|-⌫-----|---|
martire .et eled ist	------||-|--|-⌫--|
sire s ilu ospl aist	---||-|-⌫-|--⌫---|
iepalle roieuo lentiers	-|-----⌫---|--⌫-------|
acest prodomeaconsoil.	|---|------||------||
congiesientraenune	-----|-|----|-|--|
etsesenfes furemes	-|--|----|-|----|
dehorssi lem istrent	-----|-|-|-⌫------|
mai ntes genz enp aro le	---⌫---|---|-|-⌫---⌫-|
dontagaires nel i	---||-----|-|-⌫|
fu .et lam er eparol e	-||-|-|-⌫--⌫|-----⌫|
asonconfessormolt	|--|--------|---|
pi teusem entetenp lor ant	--⌫------⌫--|-|-|-⌫---⌫--|
et quant ele otpallé	-|----|--|-|-----|
de t outquan que	-|-⌫--|----⌫--|
eleuoltsilidem anda	--|---|-|-|---⌫---|
li prodo mes c edont	-|-----⌫|-|-⌫|---|
uoirs quete s	----|--|--⌫|
enfespa rotsic omi	----|--⌫--|-|-⌫-||
o i d i re etele	-⌫|-⌫-⌫-|-|--|
respontsire oi l	------|---|--⌫|
e leliaoidire.	-⌫-|-||-|---||
entendusidistauc une	------|-|---|---⌫--|
merueill eauendrade ceste	--------⌫|------|-|----|
euure.lors	----||---|
se niss iet uint	|-⌫|---⌫|-|---|
laou li iugee st oient.	-|-|-|---|-⌫--⌫----||
etl a meschine	-|-⌫|-------|
uintap re sluitoute	---|--⌫--⌫|--|----|
ensachemise et	-|-|------|-|
mantelafublé	-----|------|
eto t sone nfant troué	-|-⌫|--|-⌫----|-----|
horsd elachambresi	---|-⌫|-|------|-|
l enpo rta	|-|--⌫--|
entre sesbraze t	----|--|---|-⌫|
ei nsisdeuantles iu ges .	--⌫---|-----|--|--⌫--||
etquantli iuge	-|----|-|---|
lauoientsili	-|-----|-|-|
deman dent quiestle	-----⌫---|--|--|-|
pere decest	---|-|---|
enfantgardezque ne l	-----|-----|--|-||
etele respont	-|--|------|
sireieuoi bienque	---|-|--|---|--|
iesui liuree a	-|--|-----||
naitpitienemerci	|--|----|-|----|
de moi seieonq ue s	-|--|-|-|---⌫--⌫|
pe reui ne	--⌫-|-|-|
conuine seieonq ues	----|-|-|-|---⌫--|
uersh omete rrienfui	---|-⌫--|--⌫----|--|
tantaba ndo nnee	---|---⌫---⌫---|
qu e ilmedeuste nfant	--⌫|-|-|----|-⌫----|
faire neque iel	----|-|--|-||
deus se parlui retenir.	----⌫-|--|--|------||
et la iostiserespo nt	-|-|------|-----⌫-|
nos necu idon spasque	--|-|--⌫----⌫|--|--|
es t r emesn osdem a nderons	--⌫-⌫-⌫|--|-⌫-|---⌫-⌫------|
asfames sec e p u et	-|----|-|-⌫|-⌫-⌫-|
estrequefe mme	----|--|--⌫--|
por tesan ze ngan dre r	---⌫-|---⌫|-⌫----⌫---⌫|
eles responnentnenil nos	---|---------|----|--|
onqu espall erforsdela	----⌫-|----⌫-|---|-|-|
mereihesu cri st .	---|----|---⌫-||
quant celes o rentcel e	----|----|-⌫---|---⌫|
paroleco nt ee sidistrent	-----|--⌫--⌫-|-|-------|
liiugequil	-|---|-|-|
a uo it qued ela	-⌫--⌫-|--|-⌫|-|
iosti s efaire. lors p alla	-----⌫-⌫|----||---|-⌫---|
liuns des iuges	-|--|--|----|
li pluspuissanzetc il	-|---|-------|-|-⌫-|
acuituitliautres	|--|---|-|----||
de senetdisti	-|--|-|---||
aioidirequec ist	-|-|---|--|-⌫--|
enf esparoleet	---⌫-|-----|-|
que il distque	--|-|---|--|
receuroitpas	--------|--|
mort porlui	---|--|--|
etseilrescorre	-|-|-|-------|
doi t i en esaiq ue	---⌫|-⌫|-⌫|--|-⌫-|
etqua ntlienf es	-|---⌫-|-|---⌫-|
entendisis edeto rt es	------|-|-⌫|----⌫-|-|
brazsamere	---|-|---|
etel elemist	-|--⌫|-|---|
comi lfuaterreet	--|-⌫|-||----|-|
il uienttotdroit	-|----|--|----|
as piez delaiostise	-|---|-|-|------|
seu os le s auez	-|-⌫-|-|-⌫---|
meditespor	-|----|--|
merea rdoir.	---|-⌫----||
respo nt iele sai	-----⌫-|-|-|--|
bienetielete	---|-|-|-|-|
diraiporcequelet	----|--|-|-|--||
euen mauuaistiedeson	-|-|---------|-|--|
corset quelene	---|-|-|--|-|
uiautencuser	----|------|
celui q u i ensonco rs	----|-⌫-⌫|-|--|--⌫-|
te n gendra.etnos	|-⌫-⌫-----||-|--|
tenons encore stant	-----|------⌫|---|
delauiezloi	-|-|---|--|
t elf em me	-⌫-|-⌫--⌫-|
iostiseetporce	------|-|--|-|
la uolo ns faire deta	-|----⌫-|----|-|-|
respontse nule	------|-|---|
n auoit onques noauz	|----|-----|----|
fai tde luiils er oit	---⌫|-|--|-|-⌫--⌫--|
droizqu e lenfeist	----|--⌫|--|----|
greingnoriostis edelui	--------|------⌫|-|--|
quedautref emme. mais	--||----|-⌫---||---|
telesqu iont	----|--⌫|--|
faitnoauz.	---|----||
etse mamerea uoit	-|-|-|---|-⌫---|
sonesc iant il neseroit	--|---⌫---|-|-|-----|
qu ele fust	-|--|---|
quitequeles	----|--|--|
aut res aur oi ent	---⌫--|---⌫--⌫--|
fa itnoauz	--⌫-|----|
maismamere na	---|-|---|||
co lpes enm oi	--⌫---|-|-⌫-|
et se eleio t colpes	-|-|--||-⌫|-----|
telescol pes com	----|---⌫--|--|
anecomelei	|-|--|--||
ot c is tprodom l a	-|-⌫--⌫|-----|||
so rlui. etse	--⌫|--||-|-|
demandezli	-------|-|
iugesapelelepr odome	----|----|-|--⌫----|
si licontetot	-|-|----|--|
motamotc eq ueli	--||--|-⌫|-⌫-|-|
lid emandese ce est	-|-⌫-----|-|-|--|
et liprodom	-|-|-----|
r espont siretou tein s i	-⌫-----|---|---⌫|---⌫-⌫|
il u osadit do u	-|-⌫-||--|--⌫|
pechiesamere s ece	-----|-|---|-⌫|-|
estoituoirs	-----|----|
queleme dis oit qu	-|--|-|---⌫--|-|
entelem enierelif u st	-|---|-⌫-----|-|-⌫-⌫-|
auenuqu el enauroit	----|-|--⌫||-----|
g a rdeneuersdieune	-⌫-⌫--|-|---|---|-|
u ersl esieclequi	-⌫--|-⌫|-----|--|
et ellemeis mesuosa	-|---|----⌫--|--||
co nte ́comentellefu	--⌫---⌫|-----|---|-|
engingniee que	---------|--|
cestemeru eille	----|----⌫----|
enfantanchargier l iauint	-----|---------|-⌫|----|
en dorma nt	-|-----⌫-|
sansnulautredel it	---|--|----|---⌫-|
ellenes etqu i en	---|-|-⌫-|--⌫|-|
luileconcut .	--|-|-----||
sie n fuconf esse	-|-⌫|-|----⌫---|
repanta nz maistantiot	-------⌫-|---|---||-|
que ienelc rui	--|-|-||-⌫--|
onques maiscequeie	-----|---|-|--|-|
nelcreoiepasneli	-||-----|--|-|-|
ri ens nuirese	--⌫--|----|-|
cons cienceestuoire.et	----⌫-----|--|----||-|
parolee tl i	-----|-⌫|-⌫|
auezlanu itet	---|-|--⌫-|-|
e ure queie	-⌫--|--|-|
sui con criez enescrit	--|---⌫----|-|-----|
e tpoez b iensa uoir	-⌫|---|-⌫--|--⌫---|
ienasquietaquele	-|-----|-||----|
e uree tparcepoez	-⌫--|-⌫|--|-|---|
grant pa rtied el	----|--⌫---|-⌫||
memereprouer.et li	-|---|-----||-|-|
pr odomr esponttudiz	--⌫---|-⌫-----|-|--|
u oir ie ne	-⌫--|-|-|
saidontcete uie nt	--|---|-|-|---⌫-|
ie splussaiges	--⌫|---|-----|
l orsfurentles	-⌫--|-----|--|
yy femmesapeleeset	-|-----|------|-|
co nte rent pardeuant	--⌫---⌫---|--|-----|
lesiugesleter mined e	--|----|-|---⌫---|-⌫|
la femmeetde	-|----|-|-|
engendrer et dou	--------|-|--|
nais trepar l	----⌫--|--||
escrit douprod ome si	-----|--|----⌫--|-|
tro uerentuoirdel	---⌫-----|---|-||
en gendreuresicomelle	--⌫--------|-|--|---|
dist .etliiuges	---||-|-|----|
p orcene se ra ele	-⌫-|-|-|--⌫-|--|
pasquitesele ne	--|----||--|-|
engendraou ilnedit	-------|-|-|-|--|
quiest son pereen	--|--|--|---|-|
telmeniere	--|------|
quenoslecre ons.et	--|--|-|---⌫--||-|
lie nfesse corroceet	-|-⌫---|-|------|-|
iesaimiauzquifu	-|--|----|--|-|
mon pere que uosne	--|---|--|--|-|
quifuleuostreet	--|-|-|-----|-|
uostremereset miauz	-----|---|--|----|
uos engendra quelam o ie	--|-------|--|-|-⌫-⌫-|
n esaitqui m engendra.	-⌫|---|--||-------||
etliiuge s	-|-|----⌫|
secorroceetditse	-|------|-|--|-|
tusez riens direseur	-|--|----|---|---|
memere iela	-|---|-|-|
te nraia dro it.et	--⌫---||---⌫-||-|
enfesrespont ie i	----|------|-||
sauro ie bi en tant	-----⌫-|--⌫-|---|
direse tu faisoies	---|-|-|-------|
droiteiostice qu e le	-----|------|-|-⌫-|
a uroi t miauzmo rt	-⌫----⌫|----|--⌫-|
deseruie que lamoie.et	-------|--|-|---||-|
seie te faisce	-|-|-|---|-|
conoiss antsi laisse	-------⌫--|-|-----|
lamoieesterqu el e n	-|---|----|-|--⌫||
acourpes en ce que	|------|-|-|--|
tu limezsus et	-|-|--|--|-|
e l edit uoirdequanqu e	-⌫-⌫|--|---|-|------⌫|
eledit d endroit mon	--|--||------|--|
engendrement.	-----------||
etquantli iuges l	-|----|-|----||
ois enfu molt	-||-|-|---|
iriezet distuostre	----|-|---|-----|
aue zuos re s cosse d	---⌫|--|--⌫-⌫----||
ardoir ma istan tsachiez	-----|--⌫-|---⌫|------|
tant seur lamoied o nt	---|---|-|---|-⌫-⌫-|
ie uoscroie si qu e	-|--|----|-|--⌫|
r emaingne	-⌫-------|
enpai sie ard raiuos	-|---⌫|-|---⌫--|--|
lo rsprin rentres pitau	--⌫-|----⌫---|---⌫--|-|
quin ziemeior	----⌫----|--|
.etliiug es	|-|-|---⌫-|
enuoiaquerre	-----|-----|
et fistlenfan t et	-|---||-----⌫|-|
l amerebiengarderet	-⌫|---|---|-----|-|
ilmeismesf u toz iorz	-|------|-⌫|--|---|
auecle sgardes	---|--⌫|-----|
m ainte sfoiz fuli	-⌫-----⌫|---|-|-|
misapar oledesa	--||---⌫--|-|-|
mereetdautruin	---|-||-----||
onqu es detoz	----⌫-|-|--|
iorzparolene n pot	---|-----||-⌫|--|
trai re. etqua nt lamere	----⌫-||-|---⌫-|-|---|
de prisonetamener	-|-----|-|-----|
puepleetlo rs	-----|-|--⌫-|
dit liiuges	--|-|----|
qui tudoizpaller.et	--|-|---|-----||-|
lienfesresp on t	-|----|----⌫--⌫|
uosnestespas si	--||----|--|-|
saigesdassez	-----||----|
cuidie zestre .	------⌫|----||
alezsi men ez uo st re	---|-|---⌫-|--⌫--⌫-|
mereenu nemai so n	---|-|-⌫-|---⌫--⌫|
priu eementet apele zu ostre	----⌫-----|-|-----⌫|-⌫----|
p luspriuécons oi l etmoi	-⌫--|-----|----⌫--⌫|-|--|
ra pelerai leconsoil	--⌫------|-|------|
mereceestdieu	---|-|--|---|
totpuissantetson	----------|-|--|
confessor . lors	--------||---|
e sbahicil qui ces	-⌫----|--|--|--|
parolesoirent qu ea	------|-----|--⌫||
pu eent respondre.	--⌫---|--------||
iugesc o noistbienque	----|-⌫-⌫----|---|--|
saigesetque	-----|-|--|
demand eatoz	------⌫||--|
s ei edeliurememere	-⌫|-⌫|------|-|---|
par rai sondecestho me	--|---⌫--|-|---|--⌫-|
garde desaut re setil	----|--|---⌫--⌫|-|-|
responnenttuitseelle	---------|---|-|---|
esc hapedecestuielle	---⌫---|-|-----|---|
ne troueraiamais qui de	-|------|-----|--|-|
de mande.e teinsis	--⌫----||-⌫|-----|
al erentenune maisonet	--⌫----|-|--|-----|-|
mena l ii ug es	---|-⌫|-⌫--⌫-|
etdeusa utres	-|---|-⌫----|
home s desesam is les	----⌫|-|--|--⌫-|--|
plusprodomesq ueil	---|-------|-⌫-|-|
amenaleco nf e ssorsa	----|-|--⌫--⌫-⌫---|-|
mere .etquan til	---||-|----⌫|-|
assamblés i d istli	--------|-⌫|-⌫--|-|
i uge s or diseurma	-⌫---⌫|-|-|---|-|
mer e ce quetudoi z	---⌫|-|--|-|---⌫|
direporquo i latoue	---|--|---⌫|-|---|
d oit estrequite .s e	-⌫--|----|----||-⌫|
auoitri e nsforfaitque	----|--⌫-⌫-|------|--|
ieneu o ilpas	-|-|-⌫-⌫-|--|
meredesfendr econtretort	---|--------⌫|-----|---|
droit damedeusauuere t	----|------|-----|-⌫|
sachiezque mamer e n	------|--|-|---⌫||
a mie l etorment	|--|-⌫|------|
u ou lezfai reet	-⌫--⌫--|---⌫-|-|
se uosmencreez uos	-|--||-|----|--|
mamere etlaire zester	-|---|-|-----⌫|----|
a enquerre dela	|-------|-|-|
e tliiuges	-⌫|-|----|
re sponteinsine	--⌫----|----|-|
conchieroizuosmie nea	----------|--|--|-||
cest epar olene	----⌫|---⌫--|-|
mesch aperoizuospas.	|----⌫------|--|--||
p l usuoscouenradire.	-⌫-⌫-|--|------|---||
etlienfesdit	-|-|----|--|
asseu réet	-----⌫--|-|
mamereseielapuis	-|---|-|-|-|---|
desfen d re.	------⌫-⌫-||
iugesrespont ce	----|------|-|
estu oirset nossom es	--|-⌫---|-|--|---⌫-|
ciassemb lé	-|------⌫--|
por oirq uetu	--|--|-⌫-|-|
seurma mere.etli	---|-|---||-|-|
enfesparoleet	----|-----|-|
u osauezpri semamere	-⌫-|---|---⌫-|-|---|
uolezardoirpo r	----|-----|--⌫|
suisdeli nezet	---|-|-|--|-|
ele neset direq ui	--|-|--|---|-⌫-|
enlim ec oncut.	-|-|-⌫|-⌫----||
et iedisquele n	-|-|--|-|--||
ousauoit mie neonques	-|-----|--|-|-----|
nensot nenepot	|-|--|-|-|--|
dir equienlime	---⌫|--|-|-|-|
c oncut .mais	-⌫----||---|
uouloieiesa uroiemiauz	------|-|--⌫----|----|
tule tuenet	-|-|---|-|
tamereporroit miauz	-|---|------|----|
m oie.etliiuges	-⌫--||-|-|----|
resp ont be l e mere	----⌫--|--⌫-⌫|---|
ne suiiefilz	-|--|-|---|
uostreloialesp o uset	-----|----|---⌫-⌫-|-|
lame rerespont	-|--⌫-|------|
diexbiaxfilzcui	---|---|---|--|
seroiez u osdon c filzse	------|-⌫-|---⌫|---|-|
seingnor non	-------|--|
qui morze st	--|---|-⌫-|
enfesparoleet dit	----|-----|-|--|
il uosc ouendrauoir	-|--|-⌫------|---|
dire seuo stre	---|-|--⌫---|
aquitemamere	-----|-|---|
etseil l e	-|-|-|-⌫|
uoloit fa ireiem en	-----|--⌫--|-||-|
souf erroieuolen t i e rs .	----⌫-----|-----⌫-⌫-⌫-⌫-||
et liiug esresp ont ie	-|-|---⌫-|----⌫--|-|
nemen soufe rraimie.	-||-|-----⌫---|--||
etlienfe s	-|-|----⌫|
paroleet d it uos i	-----|-|-⌫-|--||
gaaingnero iziat antqueuos	----------⌫-|-|-⌫-----|--|
trouero iz	-------⌫-|
uostrepereto ut uifpar	-----|---|--⌫-|--|--|
l etesmo ingde	-⌫|-----⌫--|-|
etquan tci ll	-|----⌫|--⌫||
quiacelconseil	--||--|------|
s ises ei n gnent	-⌫|-|-⌫--⌫-⌫----|
etorent chascunsm ol t	-|----|-------|-⌫--⌫|
g rant merueille	-⌫---|--------|
enfe sparole	----⌫|-----|
aladame et l idist	|-|---|-|-⌫|---|
iluoscouient qu euos	-|--|------|--⌫|--|
dioizuostre	----|-----|
filzcuifilziles t.	---|--|---|-|--⌫||
e tla dame	-⌫|-|---|
sesain gne	-|----⌫--|
deab lessathanas n el	----⌫--|-------|-⌫||
uos saue z b ien	--|----⌫|-⌫--|
certenement quei l nest	----------|--|-⌫||--|
p asc eluicui	-⌫-|-⌫---|--|
ilcuide estre	-|----|----|
da mefu espo anteeet	--⌫-|-|----⌫----|-|
demandecuidonc	------|--|---|
sauezdeueritequeil	----|-|-----|--|-|
estfilz auostre	--|---||-----|
pro uoirea	---⌫----||
cel esenseignes	---⌫-|--------|
queuosassamblatesa	--|--|----------||
luique uos	--|--|--|
auoiezgranz paor d	-----|----|---||
en chargier.etil uos	--⌫-------||-|-|--|
qu euo snencharge ro iez	--⌫|--⌫||--------⌫--⌫--|
luiet queil	--|-|--|-|
meismes metroit en	------|------|-|
touteslesfo iz qu	-----|--|--⌫-|-|
ge rroi ta	--⌫----⌫||
queilmeismesia uoit	--|-|------||-⌫---|
paorqueuosuos	---|--|--|--|
cou chesoiza a utreho me	---⌫------||-⌫---|--⌫-|
etuostressires	-|------|----|
e stoitmal deuosen	-⌫----|--|-|--|-|
cel conte mple.et quantil	--|-----⌫---||-|----|-|
fuengendrez ne	-|--------|-|
demora gaires	-----|-----|
que uo sli	--|--⌫|-|
deistesqueuos estoiez	------|--|--|------|
malbaillie caruos	---------|--|--|
e stie z deluig r osse.n	-⌫----⌫|-|--|-⌫-⌫---|||
es ti luoirssicom	--⌫|-⌫|----|-|--|
seuosne uolez ce	-|--|-|----|-|
conoistreencoreuos dirai	--------|-----|--|----|
ge a utrechose .	-|-⌫---|----||
etli iuges fumo lt	-|-|----|-|--⌫-|
demend a asa	------⌫||-|
mereestc e	---|--|-⌫|
uo irsqueildit et	--⌫--|--|-|--|-|
espoa nteeetd ist	-----⌫---|-|-⌫--|
biaxfilzcroiz	---|---|----|
cestenemietlienfes	---|----|-|-|----|
seuo s ner econissiez	-|--⌫|-|-⌫---------|
uoiriedir a iencor	---|-|---⌫-⌫|----|
au trechosequenos	--⌫--|----|--|--|
sauon sbienqui	-----⌫|---|--|
es t .et la dame se	--⌫||-|-|---|-|
e tli enfeslid ist	-⌫|-|----|-|-⌫--|
ie saiquanq uili	-|--|-----⌫|-||
otf a itetdit u oirs	-|-⌫-⌫-|-|--|-⌫---|
uossenti stes	--|-----⌫---|
grosse queuos feistes	-----|--|--|------|
querreauprouo ire	-----|-|-----⌫--|
lapaisde uosetde	-|---|-|--|-|-|
uostreseing nor	-----|-----⌫--|
es toiezgrosseetilla	--⌫----|-----|-|-|-|
quistt antetporchaca	----|-⌫--|-|-------|
quei llafist	--|-⌫|-|---|
etquiluos fist	-|-|-|--|---|
ge siren sa mble .e teinsi	--⌫--|--⌫--⌫---||-⌫|----|
feistesentendent a u	------|--------|-⌫|
prod ome queli enfes	----⌫--|--|-|----|
esto itsuenseteins is	----⌫-|----|-|----⌫-|
lecui de n t	-|---⌫--⌫-⌫|
meintesautr esgens. et	------|----⌫-|---||-|
il meis mes qui ci est	-|----⌫--|--|-|--|
lecuido it	-|-----⌫-|
s auoirpor uoir.et des	-⌫----|--|---||-|--|
ice lleoreen caau e z	---⌫--|--|-|-|--⌫-⌫|
cesteuiemenee et	----|--|----|-|
menezencore .et l a	----|-----||-|-⌫|
queu osmeustes	--|-⌫-|------|
auecuosetaumatin	---|--|-|-|----|
uosconuoiagrantpiece	--|------|----|----|
etquantilparti d e	-|----|-|----|-⌫|
distenriant	---|-|----|
aconsoilpanse zde	|------|-----⌫|-|
quanque mesfilzuo udra	------|--|---|--⌫---|
sauoitbi enque	-----|--⌫-|--|
cistestoitses	---|-----|--|
filz parson	---|--|--|
quantla mer eloi	----|-|---⌫||-|
e insipalleret	-⌫---|-----|-|
elle setde	---|--|-|
uoirdetouteschosessis	---|-|-----|-----|-||
fu moltdestroi te	-|---|-------⌫-|
etsotbienqueu oir	-|--|---|--|-⌫--|
licoueno it	-|------⌫-|
ad ire. etsesfilzlesgard asi	|-⌫--||-|--|---||------⌫|-|
l idi st belemere quiquesoitmes	-⌫|--⌫-|---|---|-----|---|--|
peresies uiuostresfilz et	----|-|-⌫-|------|---|-|
comme filz	----|---|
uos diraidites moi	--|----|----|--|
uoirse cist dit	---|-|---|--|
decequei eoi .etlam ere	-|-|--|-⌫|-||-|-|-⌫--|
respontbiausfilzpord ieu merci .	------|----|---|--|-⌫--|----||
certes ienoute puis celer	-----|-||-|-|---|----|
einsi c omil le	----|-⌫-|-|-|
eti ela i entendu est	-|-⌫||-⌫|------|--|
etquantliiuge	-|----|-|---|
silidi stuoirledist c is t	-|-|--⌫-|---|-|---|-⌫--⌫|
e nfesqueil sauoi tmiauzqui	-⌫---|--|-|-----⌫|----|--|
so npe reque ienesauoie qui	--⌫|--⌫-|--|-|-|-----|--|
est oit lemie net	---⌫--|-|---⌫|-|
queiefacei ostise de	--|-|---|-⌫-----|-|
sa merequa ntiene lafaz	-|---|---⌫-|-|-|-|--|
delamoie . mais	-|-|---||---|
pordieuetp or	--|---|-|-⌫-|
etpor ce q ue ietepuisse	-|--|-|-⌫-|-|-|-----|
descolper uers lepu epleet t a	--------|---|-|--⌫---|-|-⌫|
d isecuilituensper es	-⌫|-|--|-|----|---⌫-|
e st.e tilrespo ntielete	-⌫-||-⌫|-|-----⌫-|-|-|-|
diraiplusparamo r que parta	----|---|--|---⌫|--|--|-|
ie uoilquetu saicheset	-|---|--|-|------|-|
cro ies q u e ies uifi lzd un	---⌫--|-⌫-⌫|-|-⌫-|--⌫-||-|
quie nging n a mamereetcele	--|-⌫-----⌫-⌫|-|---|-|---|
meni ered enemi qu i	----⌫--||----|--⌫|
meco ncuta	-|--⌫---||
enquibedes etson t	---------|-|---⌫|
etrepairent	-|--------|
enlair .etdiex asouf ert	-||--||-|---||----⌫--|
queailorsenet lormemoiredes	--|-|--|--|-|--|------|--|
chos es quisontfaiteset	----⌫-|--|---|-----|-|
dites e t alees	----|-⌫|----|
etporce saige	-|--|-|--|-|
ouretamere .etnostre	---|-|---||-|-----|
quiuoltetsoufriquei e	--|---|-|-----|--|-⌫|
cestem emoirepo rla	----|-⌫-----|--⌫|-|
bonte mamereet	----|-|---|-|
l asainte r epantance etpor la	-⌫|-----|-⌫--------|-|--|-|
penit ance	-----⌫---|
quecistprodomquic i	--|---|-----|--|-⌫|
es tlianchaiaet	--⌫|-|------|-|
comend emen t desainteglisequele	------⌫----⌫|-|-----|----|-|--|
ma doné tantdesa	||----|---|-|-|
uertu que ie	----|--|-|
saileschoses q ui sont	--|--|-----|-⌫-|---|
aaueniretce pu ez	|-----|-|-|--⌫-|
parc e pro uu e r	--|-⌫|---⌫--⌫-⌫|
que ietedirai.	--|-|-|----||
