orescotezpor	-|------|--|
gregoire enfergiéel rocher	-------|--------|-|-----|
comenceamer ueiller	------||---⌫------|
conutauquesdota	----|-----|---|
delcrestien se porpensa	--|-------|-|-------|
quem erueillospecheaueit	--|-⌫--------|----|----|
quien tiellue	--|-|---|--|
ora primesn e	-||-----|-⌫|
do ta rien	--⌫-|---|
desliauei t	--|-|----⌫|
m ostré mo ltb ien	-⌫-----|--⌫-|-⌫--|
quo r eliaueit fait	-|-⌫-⌫|-|----|---|
laclefqu auei tgeté	-|---|-|----⌫|----|
o malcuere	|--|---||
qui il neuoleitmie	--|-|-|-----|--|
que ciliamaisd	--|--|-----||
il uecissist	--⌫--|-----|
miauzuoleit q uii llimor is t	----|-----|-⌫-|-⌫|||---⌫--⌫|
laclefrepostpui sa ast é	-|---|-----|---⌫||---⌫-|
quele manger a conré	--|-|-----||-----|
apres mangie r quantfurent le z	----|------⌫|----|-----|--⌫|
l osteles aaraisonnez	|---|--||---------|
demande lur dontiluenoient	------|--|---|-|-------|
oila loent	|-|-⌫----|
q uequeroient	-⌫-|--------|
cil liontconté	--|-|--|-----|
maintena nt	--------⌫-|
qu i lquereientun peneant	-|-⌫|--------|-|------|
qu estenunrochede	-|--|-|-|----|-|
ma isilnesieuento trouer	--⌫-|-|-|------||-----|
porceq uedesacomandé	------⌫-|--||-------|
quil seitar omeame né	-|-|---||-⌫--|---⌫--|
equeenf acentapostoi le	|--|-|-⌫----|-------⌫-|
quantcil oinomer gregoire	----|--|-|----|-------|
ene slepasa respon du	---⌫-----||------⌫-|
sei gnorsbienes tesauenu	---⌫----|---|--⌫--|----|
nequit queaitci enuiron	-|---|--|--|-|------|
que ueir e nsachese ie non	--|---|-⌫|----|-|-|--|
qu ari emeism esl imenai	--⌫-|-⌫|-----⌫-|||----|
e de ciqua l	|--⌫-|-|-⌫|
r ocherle mis	-⌫----|-|--|
maisnequitpasquiilor	---|-|---|--|--|-|-|
quarplus deanza	---|---|-|--||
queo nques puishomeniala	--|-⌫----|---|---|||--|
idons lilaissa	----|||-----|
c elep artpuisne retor nai	-⌫--|-⌫--|---|-|-----⌫--|
il ire mist toz	-||--⌫---|--|
estreit ementparlesp iez	-------⌫----|--|--|-⌫--|
lacle fdesf ergesfu	-|---⌫|--|-⌫----|-|
o nq u espuis ne	-⌫--⌫-⌫-|---|-|
ueueonque s	---|-----⌫|
forsque anu itestau enu	---|--|---⌫-|--|--⌫--|
quantnostrep eisso n	----|-----|-⌫-----⌫|
enl entrailetrouai	-||-------|-----|
illurmostra c ilfure ntl e	-|--|-----|-⌫-|----⌫-|-⌫|
si l i o nt prié	-|-⌫|-⌫-|----|
qu e ill escond uiealrocher	--⌫|-|-⌫-|----⌫--|-|-----|
lid orront bon	-|-⌫-----|--|
parmatinnetal en iornee	--|-------|||--⌫-----|
c ilasanefapareile e	-⌫-||-|--|--------⌫|
e ntrentdedenz il lesmena	-⌫-----|-----|-|--|---|
tan tquealrocher les	---⌫---|-|-----|--|
a in zque sus uousissen t monte r	-⌫--⌫---|--|---------⌫|-----⌫|
com encerentaapele r	---⌫-------||-----⌫|
s au erse ilen c ore uesquist	-⌫--⌫-|-|-|--⌫-⌫--|-------|
oseaucun deau z	|-|----||---⌫|
re sp ondist	--⌫--⌫-----|
gregoirequi encore uiue it	-------|--|-----|----⌫-|
s e m erueil a qui ce es tet	|-⌫-⌫------⌫|--|-|--⌫--|
alurparoleres p ondi	|--|-----|---⌫-⌫---|
edist itant iesui	|---|----|-|--|
cilfure ntlezsusmonterent	--|----⌫-|--|--|--------|
l e crestien iluectrouerent	-⌫|-------|----|--------|
toziertchen uzetozpelu z	--|---|----⌫-||--|----⌫|
edemagrececonfonduz	|-|------|--------|
n auetforsle c uer elesos	|---|---|-|-⌫--||--|-|
moltenadeugran tl os	---|-||--|----⌫|-⌫-|
conté liont q ue	-----|-|--|-⌫-|
ilq uereien t	-|-⌫-------⌫|
cumfaitement	--|--------|
por lui ueneient	--|--|-------|
equarome ledes irro ient	|-||---|-|---⌫----⌫---|
qua rmoltfo rmentledemandoie nt	---⌫|---|--⌫----|-|---------⌫-|
gregoirea ceauz respon di	-------||----|------⌫-|
qua n t de romeparler oi	---⌫-⌫|-|---|-----|-|
seignor sfaitilpordeumerci	-------⌫|---|-|--|--|----|
equeimesch anissezensi	|---||----⌫------|---|
cedites q uemoltme	-|----|-⌫-|---|-|
desire n t	------⌫-⌫|
romain qu ionq uesne meuirent	-----|--⌫|---⌫--|-|-|-----|
onques uns	-----|--|
solzdeauzne meuit	---||---|-|-|--|
certe sme ru eilesauezdit	-----⌫|--⌫--⌫----|---|--|
pordeu uos	--|--|--|
prilaissezmester	--|------||----|
neuoschautde	-|--|----|-|
meip lusgaber	--|-⌫--|----|
oi sauolente	-|-|------|
liuns deauza alui parlé	-|--||---|||--|-----|
neuosm ariss ezp as	-|--|-⌫-----⌫-|-⌫-|
ceq uenosdime sn	-|-⌫-|--|----⌫||
desa mandé to t ueiremen t	--||-----|--⌫|--------⌫|
que s eie ́s gardede	--|-⌫---⌫-|----|-|
uns angelsenfistleme ss age	--|-----|-|---|-|--⌫--⌫--|
nedeuezpa s uostrecorage	-|----|--⌫|-----|-----|
troblercontresauolente	------|-----|-|------|
q ueuei rement	-⌫-|---⌫-----|
u osamandé	-⌫-||-----|
e tpar les iencomandem ent	-⌫|--|-|-⌫--|--------⌫--|
longem e nt	------⌫-⌫-|
ceuosdis onspar	-|--|---⌫--|--|
quepor tant uosontde siré	--|--|---|--|--|--⌫----|
tuitcilde romeclerc elai	---|--|-|---|----||--|
ieleuosdiquebie nlesai	-|-|--|-|--|---⌫|-|--|
que ne poe zpas ref user	--|-|---⌫|--|---⌫---|
sensgrantpeche de laal er	---|----|----|-|-|--⌫-|
il respon tia neme	-|------⌫|-|-|-|
qua rlaclefdec elzferges nai	---⌫|-|---|-|-⌫--|-----||-|
quif u encelemer getee	--|-⌫|-|---|--|----|
ontl a cl ef aportee	--|-⌫|--⌫-|------|
contéliont	-----|-|--|
cum latrouerent	--|-|--------|
les fer gesapr esliost erent	--|---⌫--|---⌫-|-|---⌫----|
uolst rentle fa ir e	-----⌫---|-|--⌫--⌫|
feiblesesteite	------|-----||
naueit n eforce	|----|-⌫|----|
entr el urbrazsuef lepristrent	----⌫|-⌫-|---|---|-|--------|
tantqueded enzla n eflemistrent	------|---⌫--|-|-⌫-|-|-------|
arieresui enentamaison	------|--⌫----||-----|
lef uelifi rent	-|-⌫-|-|--⌫---|
quantreceu ot sauertu	----|----|-|-|----|
destab lesliestsouenu	--|---⌫--|-|--|-----|
quienla maison oblia	--|-|-|-----|----|
qua ntprimesalrocherala	---⌫-|-----|-|-----|--|
a ceauzquimenerl	|----|--|----||
en d eueient	-|-⌫------|
dist pornient	---|--|----|
senpenere ient	|-|------⌫---|
il uecn eparti ra	--⌫--|-⌫|-----⌫-|
deciq ue lestabl es aura	-----⌫-|--|----⌫-|---|
en sieue ntconse ile r	-|-----⌫-|-----⌫---⌫|
lostecom encenta	|---|---⌫-----||
seilonques les	-|-|-----|--|
quepordeulifu ss entrendues	--|--|--|-|--⌫--⌫--|------|
c ilre spondionq uesnes ui t	-⌫-|--⌫-----|---⌫--||-|--⌫|
molt sont dolente depe tit	---|---|-----||-|--⌫--|
g regoirelesrouaaler	-⌫------|--|---|---|
laosislizfuregard er	-||--|--|-|------⌫-|
niaueitch ose sefensnon	||----|--⌫--|-|---|--|
lonctensaueitque	---|---|----|--|
esteit chaniéiluece ndret	-----|------|----|-⌫----|
queren te gardenta esple it	------⌫||------||-----⌫-|
tant ontlefumerreuersé	---|--|-|----|-------|
quelesta ble sionttroué	--|--|--⌫---⌫||--|-----|
blanchescomefl or	-------|---|--⌫-|
unque sn imuren tcolor	-----⌫|||-----⌫|----|
sau uement o ntestégardees	---⌫-----|-⌫-|----|------|
ignelementleso ntpo rtees	---------|--|-⌫-|--⌫----|
e present eesalur maistre	|-------⌫--||--|------|
lorsne l poustnulzh om e	---|-||----|---|-⌫--⌫|
gracesadame deurendi	-----||----⌫--|----|
quitot lesienli	--|--|-|---|-|
a loste prenentle congie	||---|------|-|-----|
tant li donentqu il e stt ot	---|-|-----|-|-|-⌫-|-⌫-|
en sembleoeuzlu rmai stremein ent	--⌫-----||--|--⌫|---⌫---|----⌫--|
p orl ui moltgr an tioiedeme inent	-⌫-|-⌫-|---|--⌫--⌫|---|----⌫----|
t antonterréq u aromeuindrent	-⌫--|--|----|-⌫||---|-------|
loerent deu e ioieen fi ren t	------|--||---|-|--⌫---⌫|
gregoiredescendi	-------|-------|
siadeuhumlementprié	-||--|--------|----|
adamedeuor eisonfist	|------|--⌫----|---|
o lerme sopl or se si	|-----⌫||--⌫--⌫||-|
glorios deudemaiest e	------|--|-|------⌫|
que iusque	--|-----|
cim a uezgardé	-||-⌫--|-----|
gardezor mais u o stres eruant	-----|-|---|-⌫-⌫---|-⌫-----|
efaitesen uos trecomant	|-----|-|---⌫--|-----|
donezmei t ielui etenir	----|--|-⌫--|--⌫|----|
que sei tdesoratonplais ir	--|---⌫|--|-||--|-----⌫-|
quequantuendraal dereinior	--|----|-----|-|-----|--|
iusteelipeche or	----||-|-----⌫-|
t a la nt otqu earomeireit	-⌫-⌫--⌫-|-|--⌫||---|----|
apostoileparlerei t	--------|--------⌫|
p eccheress eiert adesmesure	-⌫---------⌫|---||--------|
porce seuoleitp rendrec u r e	--|-|-|-----|-⌫-----|-⌫-⌫-⌫|
q ue despechez	-⌫-|--|-----|
se igno rsce f u iceleda me	--⌫----⌫-|-|-⌫|----|--⌫-|
dont uosauez oilafame	---|--|---|-|-|---|
q uimereesteit	-⌫-|---|-----|
ce luigregoi re	--⌫--|------⌫-|
q uea ueie nt	-⌫-|-⌫----⌫-|
faitapostoile	---|--------|
ele fusa t anteesa me re	--|-|-|-⌫---||-|--⌫-|
fi z fudun e sue r ed	--⌫|-||--⌫|---⌫|||
un fr er e	-|--⌫--⌫|
e apressefusesmariz	|----|-|-|--|----|
m aispuis quediluecfu partiz	-⌫--|----⌫--||----|-|-----|
par lerdel ui onquesno i	---⌫--|-|-⌫-|-----||-⌫|
nesi e t s emorzfu o uesqui	-|--⌫-⌫|-⌫|---|-||-----|
p ar pardon	-⌫-|-----|
decel pecc he qu e rre	-|--|----⌫-|--⌫-⌫--|
s es muetlada m e desa	|--⌫---|-|--⌫-⌫|-|-|
euintaromequant	|---||---|----|
lao elel apo sto ile_	-||--||---⌫---⌫--||
cumplustost	--|---|---|
_o luiparla	||--|----|
humlem ent mercili	------⌫--|----|-|
nelconu t pas	-||----⌫|--|
cum f ait eme nt	--|-⌫---⌫---⌫-|
co noissacolpee son pech e	--⌫---|-|----||--|----⌫|
eapreslapordeuprié	|----|||--|--|----|
qui li doinst tielpenitence	--|-|-----|---|--------|
saconscience	-|---------|
q uant l iapostoiles le ntent	-⌫---|-⌫|---------||-⌫----|
sisospir aparfondement	-|------⌫|-----------|
bien_quecesa mere esteit	---||--|-|-|---|-----|
u erteen oei t	-⌫---|-|---⌫|
equed es li ota menee	|--|-⌫-|-|-|-⌫----|
eporlu iseita b ientornee	|--|--⌫|---||-⌫--|-----|
damedistilnaue zmaisdote	---|---|-||---⌫|---|---|
a mis eenb oneueie	|---⌫|-|-⌫--|---|
quiiciendreit	--|--|------|
uostref iz suie uosmamere	-----|-⌫-|--||--|-|---|
bien sa ique d es	---|--⌫|--|-⌫-|
linostr epere	-|-----⌫|---|
nosuolstabone fin	--|----||---|--|
qu e nosafait e ntre trouer	--⌫|--||---|-⌫----⌫-----|
quantladamee ntent laparole	----|-|---|-⌫----|-|-----|
tielleecea	---|----||
apoineuole	|--|-|---|
estreit em entsespie z libaise	-------⌫--⌫--|--|---⌫|-|----|
moltligrieue que plussetaise	---|-|-----|--|---|-|----|
que atrestozn en amostree	--||------|-⌫-||------|
laioi equeila t rouee	-|---⌫|--|-||-⌫----|
ioieplore esospire	---|----||------|
tiel leeceane siet q uedire	---|----||-|---|-⌫-|---|
desbiau ssir eque	--|----⌫|---⌫|--|
de uend rai	--⌫----⌫--|
m es fizquetroué	-⌫-|--|--|-----|
leuerais us si	------|-⌫-|-|
apres redistpa snel ferai	----|-----|--⌫|-||----|
molt suif ole	---|--|-⌫--|
quan tceporpens	----⌫|-|------|
quantsold espiez	----|--|-⌫-|---|
bais er aitens	----⌫-|-|---|
amo nplai sir	|--⌫|----⌫--|
se nsnuledefens	--⌫-|---|-----|
se ieeusseunp oidesens	-|-|----|-|-⌫-|-|---|
deusseie e stremoltl ee	-----|-|-⌫---|---|-⌫-|
aue z b ien conseilee	---⌫|-⌫--|--------|
b eneisquimas garie	-⌫----|--||-|----|
qued e ioiemas saisie	--|-⌫|---||-|-----|
quarseiesor fins demauie	---|----|-|---|-|-|--|
m orzprengeteide	-⌫--|-----|--|-|
la da meensidementot	-|--⌫-|---|-------|
ses piezteneitsilse nbracot	--|---|-----|-|-|-⌫------|
cilesteit le zedeuloot	--|-----|--⌫||--|---|
qui abienfair elatorn ot	--||---|----⌫||-----⌫-|
encor p arlalada me auan t	----|-⌫---|-|--⌫-|----⌫|
edistdeuperetot poi ssant	|---|--|---|--|---⌫----|
eltiencoment	-|---|-----|
marmee mon	|---||--|
corssire ateiren t	---|---||--|---⌫|
homsers deu u erai	--|---|--|-⌫---|
conse ilemei que ie ferai	-----⌫--|--|--|-|----|
ici nepartirai	--|-|-------|
nede tei nem eslon gnerai	-|-|--|-||-----⌫-----|
quant liapostoileslentent	----|-|---------||-----|
si la confortesa intem ent	-|-|-------|--⌫-----⌫--|
sili plaistmol tqueores ent	-|-|-----|---⌫|--|--|-⌫--|
quedebien fa irea b on	--|-|---|--⌫--||-⌫-|
seloncsaboneconsc ience	-----|-|---|-----⌫----|
li aeniointpenitence	-||------|--------|
em is t laenune	|-⌫--⌫|-|-|--|
dame sd erelig ion	----⌫|-⌫|-----⌫--|
oncn etintconte der equerre	--|-⌫|---|----|-|-⌫------|
rentedepaisnedeterre	----|-|---|-|-|----|
de seruird euaboncorage	-|-----|-⌫-||--|-----|
totleit po rlui sique sage	--|---|--⌫|--|-|--|---|
e stp uistozt ensentremise	-⌫-|-⌫--|--|-⌫--|--------|
deser uirdeuen tot eguise	-|---⌫--|--|-|---⌫|----|
fairelebien quantel e_	----|-|---|----|--⌫||
cestl idelizqueplusli plot	|--|-⌫|----|--|---|-|---|
d esdrasde rel igion prist	-⌫-|---|-|---⌫----|----|
e nlamai sono	-⌫|-|---⌫--||
tuitli portoen tgranten or	---|-|-------⌫|----|--⌫-|
porl acrieme	--|-⌫|-----|
e por la mor	|--||-⌫--|
delapostoile	-||--------|
e qui s o uentlareuisot	|--|-⌫-⌫---|-|------|
ilue c demeinese inteuie	----⌫|------|--⌫---|--|
ensemb leocelecon p aignie	------⌫-||---|---⌫-⌫-----|
toz ten spuistantque leuesquit	--|---⌫|---|-----|-⌫-|------|
l u ees peneit	-⌫-⌫|--⌫-----|
e d es erui	|-⌫--⌫---|
apressa m o r t	----|-|-⌫-⌫-⌫|
au eirelciel	--⌫--|-|---|
uer aic onfort	---⌫-|-⌫-----|
e lacoronepardurable	|-|-----|---------|
u ieesperitable	-⌫-|----------|
seign ors a itiel finpar uienen t	-----⌫--||----|--|---⌫------⌫|
cilquiad am edeusetienent	--|--||-⌫--⌫---|-|------|
oiauezde ces tseinthome	-|---|-|---⌫|----|---|
quifuapostoil esderome	--|-|--------⌫-|-|---|
cumildemenaseinteuie	--|-|-----|-----|--|
deus lifista i e	---|-|---|-⌫-⌫|
demo lt asprecomencement	-|--⌫-|----|----------|
auezoibonfinement	---|-|--|-------|
q ua ntf uenterremo lt l	-⌫--⌫-|-⌫|-|----|--⌫-||
desepuisfor mentl	--||---|---⌫---||
qua nt enpresfu	---⌫-|-----|-|
finide sauie	---|-|-|--|
e n sa conpai gnie	-⌫|-|------⌫---|
eest elciel	|--|-|---|
mo lt hautement	--⌫-|--------|
coron ezpard urableme nt	-----⌫-|----⌫--------⌫-|
e ntreles s e inzagrant	-⌫---|--|-⌫-⌫--||----|
oles confesest	|--|-----|--|
nefurentap ostoile	-|-----|--⌫------|
plus b eneurede gr e goire	---|-⌫-----|-|--⌫-⌫----|
queporlesgranzbiens	--|--|--|----|----|
quei l fi rent	--|-⌫|--⌫---|
alcielc orone	-|---|-⌫----|
deseruirent	----------|
equ ifurentseint	|--⌫|-----|----|
gre g oireestde gra ntbo nte	---⌫-⌫---|--|-|---⌫-|--⌫--|
cestunsdec eauzqui	|--|--|-|-⌫---|--|
chantt roua	----|-⌫---|
seinteeglisemoltonora	-----|-----|---|----|
il_ for mentde l e scriptur e	-||---⌫---|-||-⌫--------⌫|
si mist s ententee sa cure	-|---||------||-|---|
ense m ent furent ape le ́	----⌫-⌫--|-----|---⌫--⌫|
autrepluso rb oneure	----|-----⌫|-⌫-----|
q uifur ent	-⌫-|---⌫--|
enr ome apostole	-|-⌫--|-------|
se intsont e uiuent e nme moire	--⌫--|---||-----|-⌫|--⌫----|
orprions deu nostrese i gnor	-|-----|--|-----|--⌫-⌫---|
grac ee po r lamor	----⌫||--⌫||---|
gr egoiresonseruant	--⌫-----|--|------|
d eusfistenortantgrant	-⌫--|---|---|---|----|
quese spech ezlipard ona	--|--⌫|----⌫-|-|----⌫--|
l amordelu i sauua	|---|-|--⌫|----|
esamereense ment	|-|---|----⌫---|
engloire p ardurablement	-|-----|-⌫------------|
