f ormchdouai01 20Sacent	-⌫--|---------⌫-|-----|
almonedescentdemesa nc esoorsetdemoi//.	-----|------|-|--|-⌫--⌫-----|-|-|--|--|
et ieetmeioirlorde uomes	-|-|-|--|--|--|--⌫----|
sauue retwaran tir ferme mant/ /.	-----⌫|-|-----⌫--|-----⌫---|-⌫-|
la M ais ons	-|-⌫---⌫--|
anran dr a	-|---⌫--⌫|
moi ouàmo nser iantcha scun	--|-|-|--⌫|---⌫---|---⌫---|
sols decensdescom muns	---|-|---|--|---⌫---|
deChampainnedeniers .//.	-|---------|------|---|
Cistcenss eraranduzà -monost el	---|---|-⌫--|-----|-||--|---⌫-|
à uitreiouàChainse i	-|-----|-|-|-------⌫|
totema-u ie auiord elasaint	---|-||-⌫-|-|--|-⌫|-|----|
Remiansept embree après m on dece ́s	---|-|----⌫----||-----|-⌫-|----⌫-|
àmes oirs	-|--|---|
permen ablem ant.	------⌫-----⌫--||
c e queiecroi queles	-⌫|--|-|---|--|--|
almones est ain ne n t lespechietetle sproiereset li	------|---⌫---⌫--⌫-⌫|--|------|-|--⌫|-------|-|-|
saeramantque D eusunt	--------|--|-⌫-|---|
faiza n SainteEglise ratianen t	---|-⌫|-----|-----|--------⌫|
etra pele ntles pecheor sà -	-|--⌫----⌫-|--|-------⌫|-||
la- misericorde Ihesu Crist//.	-||----------|----|----|--|
uoilqueu nsseruise sdeDeuqu eie	---|--|-⌫-|-------⌫|-|--|--⌫|-|
e aut resboneianzsimplemant/.	|---⌫--|---|---|---------|||
eanch ar itérequeimes a u chapelain	|-|--⌫--⌫---|--------|-⌫|--------|
s oitr anduz. //.	-⌫--|-⌫----|-⌫--|
u nemessedelSaintEspiritéqui d oitestre chantee	-⌫-|----|--|----|--------|--|-⌫--|----|------|
totema-uie anlachap elede	---|-||--|-|-|----⌫--|-|
Maison unioranla semainne/ /.	-----|-|--|-|-|-------|-⌫-|
p o r moi/.	-⌫-⌫|--|||
H uo m et por ma fame/ .	-⌫--⌫|-|--|-|---|||
e tpor tozmes	-⌫|--|--|--|
anfanz// .	-----|--⌫|
etpor lesautres bienfaiteo rs d ela	-|--|--|-----|---|------⌫-|-⌫|-|
-Mai sonqueli Sa int	|---⌫--|--|-|--⌫--|
Espirspuisseconforter./ /.	-----|-----|--------|--⌫-|
Aprésmondecéssera	-----|--|-----|---|
ces temessetresposeean lamess edesmorz//.	---⌫-|----|--------|-|-|----⌫|--|---|--|
etdoit- estrer anduepor larme	-|---||----|-⌫----|--||---|
demoietporlesa rmes	-|--|-|--|--|-⌫---|
de mesance sors	-|--|----⌫---|
chascunesem ainneperdurablema nt .	-------|---⌫----|------------⌫-||
Etliandreuersaire s	-|-|-------------⌫|
de -moie t dema famedoiuent	-||--|-⌫|-|-|---|------|
estref aitan la	----|-⌫--|-|-|
propechapelede-la-Mai s on .//.	----|------|-||-||---⌫-⌫-|---|
Cistse corsa ̀n osar mes	---|--⌫---|-⌫|-⌫-|--⌫--|
nos fu ot roiezparle cure ́e t p ar	--|-|--⌫----|--|-|----⌫|-⌫|-⌫-|
lechapel ain	-|------⌫--|
etdelcommun asant emantdes confrere s de	-|--|-----|-----⌫----|--|--------⌫|-|
la -Mais on//.	-||----⌫-|--|
etnos otr oie rentfr aternitéetcompai g nie	-|--|---⌫---⌫---|--⌫--------|-|------⌫-⌫--|
an- tozles	-||--|--|
bie nfaizespir itex	---⌫|---|-----⌫---|
de la -Maisonperd urableman t	-|-||-----|----⌫---------⌫|
Etporce q uetot esceschosessoient	-|--|-|-⌫-|---⌫-|--|-----|-----|
f ermema ntt e nu es	-⌫------⌫-|-⌫-⌫--⌫-|
ecestealmonerecogneüe/.	|----|-----|---------|||
e t sauuee //.	-⌫|-----|--|
la_s ante mantdemadeuantdite f ame/.	|---⌫----⌫---|-|-|-----|---|-⌫--|||
e tparlelausde	-⌫|--|-|---|-|
mes autr efoiznome zanfanz/.	--|----⌫|---|----⌫|-----|||
Han ri //.	---⌫-|--|
cheualiers//.	---------|--|
aisaelee ce stech artre de	-|-----|--⌫--|--⌫----|-|
C es te almon efufai teà Chans eilesaintior	-⌫--⌫-|-----⌫|-|---⌫-|-|-----⌫-|-|----|--|
deP asquesanlandes	-|-⌫-----|-||-|--|
linc arnation	|---⌫-------|
nostreSi gnor	-----|--⌫---|
q ua r to.	-⌫--⌫-⌫-||
ChMa0 10Ie W ermon zuidamesdeChaalonsfa zsauoirà	-----⌫-|-|-⌫-----⌫|------|-|-------|--⌫|-----|-|
t ozceus quiceslettresue r ront /.	-⌫-|---|--|--|------|--⌫-⌫---|||
q ue c om i e	-⌫-|-⌫-|-⌫|
dune part et Ni c hole sl ab ésde Saint	|--|---|-|--⌫-⌫----⌫||--⌫--|-|----|
Pierre àM onz	-----|-|-⌫--|
de Chaalons et li couens	-|-------|-|-|-----|
deceleeglisedau trepa rteuss iens longuement	-|---|-----||--⌫--|--⌫-|----⌫---|---------|
eüquerele sor ce queie	--|------|--|-|--|-|
disoiequela	-----|--|-|
uiledeSaintMartin	---|-|----|-----|
delezChaalons /.	----|-------|||
etlauiledeuineel	-|-|---|-|-----|
delez Recei /.	----|----|||
etli banzetla iostise de	-|-|---|-|-|------|-|
cesde us uile s	--|--⌫-|----⌫|
estoi entmoies/ /.	-----⌫--|----|-⌫-|
et q ue ie pooie leshomes	-|-⌫-|-|----|--|----|
dece sd e usuilesmener an	-|--⌫|-⌫-⌫-|----|----|-|
mesozet an	--|-|-|-|
me scheuauc hiés//.	--⌫|-------⌫----|--|
etque ieauoiechascon anma	-|--|-|----|------|-|-|
taillesorelx de n oef lb.	-----|--|--|-|-⌫--|--|
oudediz / /.	-|-|--|-⌫-|
oudeplu s oudema ins à	-|-|---⌫|-|-|--⌫--|-|
mauolent ei//.	-|------⌫-|--|
et que iepooiegesir ancesdeusuiles quant	-|--|-|----|----|-|--|---|----|----|
ieuoloieetpanr egelinespormoiet	-|-----|-|----⌫|------|--|--|-|
pormagent//.	--|-|---|--|
fuerreetaua inne	-----|-|---⌫---|
pormes cheuaus//.	--|--|------|--|
et cos sinspormeslizcom mesires	-|---⌫---|--|--|--|---⌫-|----|
d esuilesan toteschoses	-⌫-|----|-|----|-----|
Estrece ie disoie que iepo oi e gesiranla	----|-|-|-----|--|-|--⌫--⌫|----|-|-|
maison Sai nt	-----|---⌫-|
Pier r equi estentreces deus uilestotesles foies	----⌫-⌫|--|--|----|--|---|----|----|--|----|
queieuoloie etpanre laienzfeuet	--|-|-----|-|----|-----|--|-|
s elettotesautreschosesque ietrouoie	-⌫-|-|----|-----|-----|--|-|------|
lai e nzpormonus.//.	---⌫-⌫-|--|--|-|---|
Et encontre	-|-------|
l abésetli couenz de	|----|-|-|-----|-|
Sai ntPierred e Chaalonsdisoient queieance sde u s	---⌫-|-----|-⌫|-------|-------|--|-|-|--⌫|--⌫-⌫|
uileset an lamaisonditedeuantnauo ie	----|-|-|-|-----|---|-----||---⌫-|
riendequanqu eieiclamm oie//.	---|-|------⌫|-||-----⌫--|--|
ainzerentcesuile s etli banzetlaiosti se	---|----|--|----⌫|-|-|---|-|-|-----⌫-|
lorsicom meildi soientet	--|-|---⌫-|-|--⌫-----|-|
totela s ignorie.//.	---|-|-⌫------|---|
Al afinparcon soil d ebonegenz i e	|-⌫|--|--|---⌫---|-⌫|---|---|-⌫|
uidameset li dizab bésetlicouenz feimesune	------|-|-|--|--⌫---|-|-|-----|-----|--|
miseandeus prod omes//	---|-|---|----⌫---|||
ceestasauoir anHuonquifu abbés	-|--|------|-|---|--|-|-----|
de S aintMan ge deChaalons	-|-⌫---|---⌫-|-|-------|
e tenMil ondeCernoncheuali er//.	-⌫|-|---⌫-|-|-----|-------⌫-|--|
quian querront q u eldroitureie a uoiean cequ eie	--|--⌫-------|-⌫-⌫-|-------|-|-⌫---|-|-|--⌫|-|
clamm oi e seiepointan	-----⌫--⌫|-|-|----|-|
et queld roiture liabbe ́setlicouenz	-|---|-⌫------|-|----⌫-|-|-|-----|
i auoien tse p oint	|------⌫|-|-⌫---|
ani au oient .//.	-||--⌫----|---|
Etiefianç ai etautresi la be ́s	-|-|------⌫-|-|------||-⌫--⌫-|
porlui etpor lec oue nt fiançaq ue	--|--|-|--|-|-⌫---⌫-|------|-⌫-|
n os tan rie n sfermemantceque	-⌫-|---⌫---⌫-⌫|--------|-|--|
cilduiprodomed iroient	--|--|------|-⌫------|
de to tes les deu a nt dites quereles	-|--⌫--|--|---⌫-⌫-|----|-------|
Etqu antcil diseororent	-|--⌫--|--|-----|----|
anque ste s/.	-----⌫---⌫|||
i ldistrentpar	-⌫|-------|--|
mon gréetparledita bbéetle	--|---|-|--|-|--|-⌫---|-|-|
c ouen t lo rdi t .//.	-⌫----⌫|--⌫|--⌫|---|
Et distrent	-|-------|
queie a nto teslesquere lesqueiea uoie	--|-|-⌫|--⌫--|--|-----⌫--|--|-|-⌫---|
demandeesse urle s uilesd euantditesetso rla	--------|--⌫-|--⌫|----|-⌫----|----|-|--⌫|-|
maisonSaintPierred e uantditenauo ie	-----|----|-----|-⌫-⌫---|---||---⌫-|
auoi e eu ̈decesdeusuile set	----⌫|--⌫|-|--|---|----⌫|-|
delamaison ie	-|-|-----|-|
lauoiee üparforce./ /.	|----|-⌫-|--|----|--⌫-|
Etieporlaforcedema	-|-|--|-|----|-|-|
f oiqueieauo ie	-⌫-|--|-|---⌫-|
don eedeldittenir//.	---⌫-|--|--|----|--|
quitaià l	-----|-||
esglise deSaintPierretotesle s	------|-|----|-----|----|--⌫|
uilesetce que ie clammoieanlamaison //.	----|-|-|--|-|-------|-|-|-----|--|
ma i sque ier etin mes uignagesetmes	--⌫-⌫|--|-|-⌫---|--|-------|-|--|
uine esqueieaien cesde us uilesetmes	----⌫-|--|-|-|-|--|--⌫-|----|-|--|
fiezetplusn an retindetotesleschoses	---|-|---||-|----|-|----|--|-----|
decesdeusuiles	-|--|---|----|
meistotefo rceet	---|---|--⌫--|-|
to teautre signorie	--⌫-|----|-------|
iequit à - la béetaucouen t	-|---|-|||-⌫--|-|-|-----⌫|
del banetde lai ostisedes	--|--|-|-|-|-⌫-----|--|
de uantdite s uiles	--⌫---|----⌫|----|
etdelamaiso n .//.	-|-|-|-----⌫|---|
Etpordeliu rerlarmedemonpereetla	-|--|-----⌫--||---|-|--|---|-|-|
moiedesf or ce squenos auo nsfaites ance s	---|--|-⌫--⌫--⌫|--|--|---⌫-|-----|-|--⌫|
deusu ilesetanlamais on	---|-⌫---|-|-|-|----⌫-|
tozle s h omeset totes lesfa meset	--|--⌫|-⌫---|-|----|--|--⌫--|-|
tozlesanfanz queie auoi ean	--|--|-----|--|-|----⌫|-|
cesd eusuiles	--|-⌫--|----|
ielesaidoneza n	-|--|-|----|-⌫|
aumosne à	------|-|
le sglis eSaintPierre/ .	|-⌫-----⌫|----|-----|||
an-t elmanie re come	-||-⌫-|-----⌫-|---|
ielesteno i e.//.	-|--|----⌫-⌫|---|
E t aipromis p ar mons a irement	-⌫|-|-----|-⌫-|--|-⌫-⌫------|
queded anz l	--|---⌫--||
anqu il aueraeu e sque àChaalon sielorf erai	-|-|-|----|--⌫-⌫---|-|-------⌫|-|--|-⌫---|
auoirses lettresantesmoingnage	----|--|------|-|-----------|
deceste aumosneà	-|----|------|-|
monp ooir s anzlemien	--|-⌫---|-⌫--|-|---|
Etsei e nelpooie	-|-|-⌫|--|----|
fair eie randeroieà l ab éet	----⌫|-|--------|-||--⌫-|-|
au co ue nt de Saint	-|--⌫--⌫-|-|----|
Pie r req uatre _uinz/.	---⌫-⌫-|-⌫-----⌫----|||
etli homemed emorroi ent etlesfames et	-|-|---|-|-⌫-------⌫--|-|--|----|-|
lianfant etseroient	-|-----|-|-------|
mien taillable//.	---|--------|--|
mai sienauro i ene	---⌫|-||----⌫-⌫|-|
forceneio sti s esor elxne sor	----|-|--⌫---⌫-⌫|--|--|-|--|
lorchosesdedanz leba net laiostise	--|-----|-----|-|--⌫|-|-|------|
par l abé	--||---|
non ou soncom mandema nt .//.	--|-|--|---⌫-------⌫-|---|
Etpor totesces choses àtenirie aibaill ié	-|--|----|--|-----|-|----|-|-|-----⌫--|
àlesglise	-||------|
S ai nt Pierrec es	-⌫--⌫-|-----|-⌫-|
lettr essee llees d emonse el.//.	-----⌫-|---⌫----|-⌫|--|--⌫-|---|
Et a noutrepo r	-|-⌫|----|--⌫|
ceque iene m i oir ne	-|--|-|-|-⌫|--|-|
p uissonsal erencontredeceschoses ie etlab és	-⌫------|--⌫-|-------|-|--|-----|-|-||--⌫--|
requi me s àmo nsi gnorI eh a n de Torettequiiere	-----⌫--⌫|-|--⌫|--⌫---|-⌫--⌫-⌫|-|------|--|---|
garde deChampaign e an leudel	----|-|---------⌫|-|--|--|
roi de Nauarrequei lt otescesdeuant dites	--|-|------|--|-⌫|-⌫---|--|-----|----|
chosestesmoignast et	-----|----------|-|
anbaill astsesl ettrespandanz à	-|-----⌫--|--|-⌫-----|------|-|
lesglisede SaintPierre	|------|-|----|-----|
deChaalon s	-|-------⌫|
To tesceschosesf ur entfaites et ceslettresdoneeset	--⌫--|--|-----|-⌫--⌫--|-----|-|--|------|-----|-|
saalees anlan denostreSignor / .	------|-||-|-|-----|-----|||
miletdeus c enzetqua rante // .	--|-|---|-⌫--|-|---⌫----|--⌫|
d auril.//.	|----|---|
ChMa032IePierresdeBormont cheu al iers	------|-|------|-|------|----⌫--⌫---|
siresd eMu sci// .	----|-⌫|--⌫--|--⌫|
fazsauoirà touzcels q uices presenslettres	--|-----|-|---|---|-⌫-|--|------|------|
uerront e t orront/.	------|-⌫|-----|||
qu e ie p ar lel ouz e tpar l assantemant	--⌫|-|-⌫-|-|-⌫--|-⌫|--||----------|
Amelinemamere / .	------|-|---|||
etIehanne ma fame	-|------|-|---|
ai uendu à touiorzàl	-|----|-|--|---|-||
abbéeta uco uuantde	----|-|-⌫|--⌫----|-|
Monstiers anArgone//.	--------|-|-----|--|
parmiso issanteliuresd e forzdesquez ie	--|-|--⌫------|-----|-⌫|---|--|---|-|
a i re ceümo ngr é andeniers	-⌫|--⌫---|--⌫|--⌫-|-|------|
contans/ /.	------|-⌫-|
to usmes t e rr agesqueieauoieouque iauoir	--⌫-|--|-⌫-⌫--⌫---|--|-|----|-|--||----|
pooieàu iler scw onditLesua nz//	----|-|-⌫----⌫|-|-|--|-----⌫-|||
li qu elterrage puent ualoirtroismoiz	-|--⌫-|------|----|-----|----|---|
deCondéanBa rroiz moitié fr omant et	-|-----|-|--⌫----|------|--⌫----|-|
auaine/ /.	-----||||
les acroizquisontou	--|-----|--|---|-|
quipourontes treances	--|------|--⌫--|-|--|
desordiz te r rages//.	----|--|--⌫-⌫----|--|
et toute smesautres rantesqu eie an cel euile	-|-----⌫|--|-----|-----|--⌫|-|-|---⌫|---|
deuile rzau oieoua uoirpoo ie por	-|----⌫-|--⌫--|-|-⌫---|---⌫-|--|
oquoison decesterrages//.	-------|-|--|-------|--|
cestà sauoir//.	|--|-|-----||||
unporc de la ua lor	-|---|-|-|--⌫--|
d e douzesou z aumainz// .	-⌫|----|---⌫|-|----|--⌫|
àra nde ch asquanlondemain deNoel// .	-|--⌫--|--⌫---|-|--------|-|---|--⌫|
douzso uzdesan z ou plus/.	---|--⌫-|-|---⌫|-|---|||
fo rche s etdemicha squ	--⌫----⌫|-|---|---⌫--|
ettou t esmesautresrant es etcostumesqueiean	-|---⌫-⌫-|--|-----|----⌫-|-|-------|--|-|-|
celeui leauo ieouauoi r	---|--⌫-|---⌫-|-|----⌫|
p ooiecico m	-⌫---|-|--⌫|
il estdeso re d it//.	-|--|----⌫-|-⌫-|--|
quinesontpas	--|-|---|--|
nomees n e-sp ecefiiés a n	-----|-⌫||--⌫--------|-⌫|
ceslettres// .	--|------||||
banetlaiustice	--|-|-|------|
detotesc eschosesquisuntci nom ées/.	-|----|-⌫-|-----|--|---|-|---⌫---|||
etdecelesquinelsuntpas//.	-|-|----|--|--|---|--|--|
d emeshomes	-⌫|--|----|
de chief/.	-|----|||
cepa rauantu re	-|--⌫|------⌫-|
il n ia uoitachunquiten it	-|||-⌫---|----|--|---⌫-|
auchun e de	------⌫|-|
ces de sor diteschoses .//.	--|--⌫--|----|-----|---|
apre ̀sm oiloial	----⌫-|-⌫-|----|
garantizepo rterau deu antdit	--------|--⌫---|-|---⌫--|--|
abbéetlecoua nt deM on stierz detotesc es	----|-|-|----⌫-|-|-⌫--⌫-----|-|----|-⌫-|
de s orediteschoses	--⌫-⌫--|----|-----|
parmafoian uerstouz celzqui	--|-|--|-|---|---|---|--|
uourontester àdroit.//.	------|----|-|----|---|
Etai re nonciéparmerainemant	-|-|--⌫------|-------------|
ma mer e/.	-|---⌫|||
desor ditesance s t fait/	----|----|-|--⌫-⌫|---||
àtotea id ede d roit//.	-|---|-⌫--⌫|-|-⌫---|--|
delaiei osticeoudecrestiente ́//.	-|---|-⌫-----|-|-|----------⌫|--|
à touteb oidise /.	-|----|-⌫-----|||
de fension s/.	--⌫-------⌫|||
e tall egations//.	-⌫|---⌫-------|--|
dedro it e t de fa it//.	-|---⌫-|-⌫|-|--⌫-|--|
età tou te autreexception//.	-|-|---⌫-|----|--------||||
etmes memant àtout priuilegegr ace et	-|---⌫-----|-|---|--------|--⌫--|-|
i ndulce//.	-⌫-----|--|
etquiest otroié ous er aa ̀	-|--|--|------|-|-⌫--⌫|-⌫|
c roisiez.//.	-⌫------|---|
Et porcequetotescescho sessoiesest a bleset	-|--|-|--|----|--|---⌫--|----|---⌫-⌫---|-|
fer m e mant tenue sàtouiorz//.	---⌫-⌫-⌫---|-----⌫|-|--|---|--|
etmadamem a mer eauons an	-|-|---|-⌫|---⌫|----|-|
ces pre sen slettr es nossaiaus	--|---⌫---⌫|-----⌫-|--|-----|
pandu s.//.	-----⌫|---|
Etce fu f a itanlan de	-|-|-|-⌫-⌫-|-||-|-|
l incarnation nostreSignor/	|----------|-----|-----||
XLuIII //.	-----|--|
au moiz deio ilet	-|---|-|--⌫---|
ChMa040GeIofroischeualiersde S a intuerainfas	------|-|------|---------|-|-⌫-⌫--|-----|--|
to z c el s quiuer ront	--⌫|-⌫--⌫|--|---⌫---|
et orron tcesletres qu elabbés et licouens	-|-----⌫|--|-----|--⌫||-----|-|-|-----|
deTrois-Fon tainnes montàma uieo troié	-|----||---⌫------||--|-|-|--|-⌫-----|
a ̀ penrechacunan	-⌫|----|-----|-|
deussetiersdefroment quilau oentde	---|------|-|------|-|-|--⌫---|-|
rente enfor deS ain tuera in por	----|-|--|-|-⌫---⌫|----⌫-|--|
unepaisque ge	--|---|--|-|
ausdeldis me	--|--|---⌫-|
tiennentàHeisl e Witier //.	-------|-|---|-⌫|-----|--|
ces tàdire	|--⌫|-|---|
de uintet setsetiersdeble ́	-|---|-|--|------|-|---⌫|
du nliquatorze	--⌫|-|-------|
s un tde form ente t li	-⌫--⌫|-|----⌫--|-⌫|-|
trezesu n td auainne//.	----|--⌫-⌫||------|--|
e ntie rsdou disme deHeisle	-⌫|---⌫-|--|----|-|---|-|
Witierdequoi ge ai le	-----|-|---|-|-|-|
t rait.// .	-⌫---|---⌫|
do ient penre dela	--⌫---|----|-|-|
pre mi ere uennisondeuant to teslesautr espa rt ies.//.	---⌫--⌫--|-------|-----|--⌫--|--|----⌫-|--⌫--⌫--|---|
Et porce que	-|--|-|--|
gelorchaloni oielesuintet se t	-|--|-------⌫--|--|---|-|--⌫|
setiers desor- d iz	------|----||-⌫-|
et lor droiz	-|--|----|
i-fu trouez contre moideu antma	||-|-----|-----|--|---⌫--|-|
dam edeSa intCh a non de	---⌫|-|--⌫--|--⌫-⌫--|-|
cuimu etmapartie de ldisme desor-d it//	--|--⌫-|-|-----|--⌫|----|----||-⌫-|-|
tote_uoie parpaisfaisant	--------|--|---|------|
ilmotrerent	-||-------|
mauielesdeussetiersdeso r- diz //	-|--|--|---|------|----⌫||--|||
issiq uemiho iraprésmoi ni	---|-⌫-|-|--⌫-|-----|--|||
aueront rien./ /.	------|---|--⌫-|
Ettote sceschoses conoisgepa r	-|----⌫|--|-----|-----|-|--⌫|
ces l e tr es	--|-⌫-⌫--⌫-|
Etq ueaprèsmamort liduisetierdefroment	-|-⌫-|-----|-|---|-|--|-----|-|------|
quil mont otroié àp enreà ma	-|-||--|------|-|-⌫---|-|-|
u ie reue nra	-⌫-|----⌫--|
à aussens r eclaim de	-|--|---|-⌫-----|-|
me s hoirs etdautrui.//.	--⌫|----|-||-----|---|
Negemeïsmes	-|-|-------|
nep uisennullemanier e oste r fo r s	-|-⌫--|-|----|------⌫|----⌫|--⌫-⌫|
demamainles d eu ssetie rs d esor-diz//	-|-|---|--|-⌫--⌫|-----⌫-|-⌫---||--|-|
cumcilquiniairien maisque	--|--|--|||-|---|---|--|
àmauie.//.	-|-|--|---|
Et portesmoignagede	-|--|----------|-|
u erité//.	-⌫-----|--|
porc eque gen aipoint	--|-⌫|--|-||-|----|
desaelie ai faitcesletressaeler	-|---|-|-|---|--|-----|-----|
ensae lledoïendela cr estientéde Morcort	-|---⌫|-|-----|-|-|--⌫--------|-|------|
Cefu faitl	-|-|---||
andelincarnationIhesu-Crist/.	-|-||----------|----||----|||
deuscens/.	---|---|||
etcinquan te//.	-|-------⌫-|--|
ChMa042 IeIehans s iresdeDampierr e	------|-|-----|-⌫---|-|--------⌫|
fazà sauoirà toz ceus qui cez	--|-|-----|-|--|---|--|--|
let r esu erront etorront /.	---⌫-⌫-|-⌫-----|-|-----|||
quePhelip pe sdeDomMartin	--|------⌫--⌫|-|--|-----|
e tYsa biaussa feme ont	-⌫|---⌫----|-|---|--|
reco neupardeuantmoi /.	----⌫--|--|-----|--|||
queil ontuenduà la beesse e tauc ouen t	--|-|--|----|-||-⌫-----|-⌫|-|-⌫----⌫|
deSaintDesier //.	-|----|-----|--|
à tenir àto ziorsen	-|----|-|--⌫|---|-|
herit a geII/.	-----⌫-⌫-|-|||
muis deble f//.	---|-|---⌫|--|
moitiésoi le et moitié a uei n e	------|---⌫-|-|------|-⌫---⌫-⌫|
àlamesure de S ode/ /.	-|-|-----|-|-⌫--|-⌫-|
l e quel bleflide uan tditP helip pe set	-⌫|---|---|-|--⌫---⌫|--|-⌫-----⌫--⌫|-|
Ysabiau s sa feme	-------⌫|-|---|
a uoient dere ntechasc una n//.	-⌫-----|-|--⌫--|-----⌫-|-⌫|--|
à toziorse nlamoitie ́	-|--|---|-⌫|-|------⌫|
desterrag es de Sode//.	--|------⌫-|-|---|--|
que lideuantdi tPh elippesetYsabiausauoie ntausi	--|-|-----|--⌫|--⌫------|-|-------|-----⌫-|---|
der entech ascunanà	-|-⌫---|--⌫----|-|-|
toziorse n l amoitié	--|---|-⌫|-⌫|------|
dela meried e cele meesme	-|-|----|-⌫|---|-----|
liq u el te rr a ge/.	-|-⌫-⌫-|--⌫--⌫-⌫-|||
etla quel meriedescendoientdepa rmonseign orOgier	-|-|---|----|-----------|-|--⌫|--|-----⌫-|----|
quifuperes audeuantditPhelip pe// por /	--|-|----|-|-----|--|------⌫-|-|--||
pr uuenoisiensdesquex	--⌫----------|--|---|
li d euant ditPhelippe setY sabiaussetienent	-|-⌫----|--|--------⌫|-|-⌫------|-|------|
paié.// .	----|---⌫|
Et ont lideuantd itPhelippes et Ysabiausd one es	-|--|-|-----|-⌫-|--------|-|-------|-⌫---⌫-|
leurfo iz corporement e n mamain/.	---|--⌫-|----------|-⌫|-|---|||
qu e ilen contre	--⌫|-|-|-----|
cestuendagene uenront / .	---|------|-|------|||
nenefer ontuenirparaus	-|-|---⌫--|----|--|--|
nepar a utrui .//.	-|--|-⌫----|---|
A p résli deuantditP helippes	-⌫-⌫---|-|-----|--|-⌫-------|
etYsa bia us	-|---⌫---⌫-|
safemeson t ten uet ontpromis	-|---|---⌫|---⌫|-|--|-----|
pardeuantmoice zchoses deuant dites àgarantir as	--|-----|--|--⌫|-----|-----|----|-|-------|-|
d euantdizlab esse etlecouentde	-⌫----|--||--⌫---|-|-|-----|-|
SaintDesierse lonclesus et les costu m esdou	----|-----|--⌫---|--|-|-|--|-----⌫-⌫-|--|
p ii su erstozce us qui	-⌫--⌫|-⌫--|--|--⌫-|--|
uorroienta droi tuen ir	--------||----⌫|---⌫-|
uendaigeaiie loéetotroié commes ires	-------|-|-|---|-|------|----|-⌫---|
d ecuilachosemue t.// .	-⌫|--|-|----|---⌫|---⌫|
Et meïsmes Iehanslifreresledeuantdit	-|-------|-----|-|-----|-|-----|--|
Phelippe //.	-------|--|
etIehans dizSeguins/ /.	-|-----|--|------|-⌫-|
et Og ier sses	-|--⌫---⌫|--|
frerescheualier // ontloéet otroié par deuant	-----|--------|-|--|---|-|------|--|-----|
le deu ant di t	-|---⌫--|--⌫|
uend age .//.	----⌫--|---|
Etporceq u e soitfe rme choseet	-|--|-|-⌫-⌫|---|--⌫--|----|-|
estable//ieparlareques te	------|-|-|--|-|------⌫-|
despartiesdeu a nt dites	--|------|---⌫-⌫-|----|
ais eeleescespresentes le tres	-|-⌫-----|--|--------|--⌫---|
Ce f ufai ten lan de	-|-⌫|---⌫|-||-|-|
lincarnation	|----------|
nostreSei g norIh esuCrist/	-----|---⌫-⌫--|--⌫--|----||
oumo isde ma i .//.	-|--⌫-|-|--⌫|---|
ChM a 061 IePonsars doïens de	---⌫-⌫--|-|------|------|-|
lacrestientei dou- P ontfassauoiràtouz	-|----------|--||-⌫--|--|-----|-|---|
c e squ iuerro nt eto rrontces letr es /.	-⌫-⌫|--⌫|-----⌫-|-|-⌫----|--|----⌫-|||
quel abés	--||----|
e tl icouuen zdelesgl ise	-⌫|-⌫|------⌫|-||----⌫--|
deMeur emontonteschangiéàIehotdo u-Pon tpr euos t	-|----⌫----|--|---------|-|----|--⌫||---⌫|--⌫----⌫|
-Men eho utàluieta ̀s esoirs	|---⌫---⌫-|-|--|-|-⌫|-⌫-|---|
lislequifut	|---|--|--|
monsignorHuon lepr estequisiet	--------|---|-|--⌫---|--|---|
desrier sla	-------⌫|-|
grange celuipreuotau Pontp ardeuantnozp a r	-----|----|-----|-|---|-⌫-|-----|--|-⌫-⌫|
den iers de c ens	---⌫---|-|-⌫--|
rendanz àceluiab beietceluico u uen t.//.	------|-|----|--⌫--|-|----|--⌫-⌫---⌫|---|
Eteneschange de	-|-|-------|-|
ces teisl eenacilabbés	---⌫-|---⌫|-||--|-----|
etcis couue nzlepre ́quisietsusRemei -	-|--|-----⌫-|-|---⌫|--|---|--|----||
uient d ep art l a fanm e c el uipreuost	----|-⌫|-⌫--|-⌫|----⌫|-⌫--⌫-|------|
quifilleIehan deBersis	--|----|----|-|-----|
Et ciseschanges fufaizsanssoute d	-|--|--------|-|---|---|----||
arg entpor lep rou	---⌫--|--|-|-⌫--|
unepartieetlautre.//.	--|-----|-||----|---|
Etsiliontfranchi /.	-|-|-|--|------|||
iorné s deterre qu i	------⌫|-|----|--⌫|
sietde_l ezcosteàu ignec on	---|----⌫-|----|-|-⌫---||-|
apel l ela terreChaart par mi/ .	----⌫-⌫|-|----|-----|--|-|||
cens chasqua n.//.	---|-----|-⌫|---|
d o it cis	-⌫-⌫-|--|
de censdela terre	-|---|-|-|----|
W autierle B orgne quisietd esus	-⌫-----|-|-⌫----|--|---|-⌫---|
lesteulleriesdou-Pont	--|---------|--||---|
Etsido i t	-|-|--⌫-⌫|
cis p r euozdunep iece	--|-⌫-⌫---||--|-⌫---|
d ep réetd unepiec e det errequi	-⌫|-⌫--|-||--|----⌫|-|-⌫---|--|
s iet en trele Pontet	-⌫--|--⌫--|-|---|-|
Cha udefontainne .	---⌫-----------||
dec ensa ̀ celuiabbei	-|-⌫--|-⌫|----|----|
etàcelui conue nt .//.	-|-|----|-----⌫-|---|
Et sidoitdoutiers	-|-|---|--|----|
