Acesteestoiredi reme	|----|------|--⌫-|-|
molt gran tarram ie	---|----⌫|-----⌫-|
Qantco ntueula	---||-⌫-|--|-|
pute g ent h aie	---|-⌫--|-⌫--|
Niac eluin ait	|||-⌫---||--|
poor desauie	---|-|-|--|
Sorlesmur smo ntent de lacite ent ie	--|--|---⌫|--⌫----|-|-|---|---⌫-|
Giete ntgranzpieuslic orsDeu	-----⌫-|----|----|-|-⌫--|--|
Anozgenzontmainteteste croisie	|--|---|--|-----|----|------|
Et enbarremainthiaume	-|------|----|-----|
Francoisleuoientch ascunsmoltsen gramie	-------|-|-----|--⌫-----|---||--⌫-----|
Me spo ricelasautne lessentmie	--⌫|--⌫|--||----|-|------|--|
Ainzr e c omencentplusfi er elasailli e	---|-⌫-⌫-⌫-------|---|--⌫--⌫||-------⌫|
Lesu er giers co pentdontbien	--|-⌫--⌫----|--⌫---|---|---|
estoitgarnie	-----|-----|
L a plac eentorplusd arc hieeetd emie	-⌫|----⌫|----|---||---⌫---|-|-⌫---|
Le sfossez	--⌫|-----|
enplentpar moltgra nt aatie	------|--|---|---⌫-|----|
Decias murs s en	-|-|-|---||-|
u onttui t da coillie	-⌫--|---⌫||-⌫------|
L undepi c ois	|-|-|--⌫-⌫--|
liautre de	-|----|-|
Fi er entasmu rsensenbleaune hie	--⌫--⌫--|-|--⌫-|-------||--|--|
Tosten euss entabatugrantparti e	---|-|----⌫--|----|----|-----⌫|
QantCharlesu int sor.i.m urdeS ulie	---|------|-⌫--|--|--|-⌫-|-|-⌫---|
lesuoithautement lorescr ie	--|---|--------|--|----⌫-|
Mar ab atez franc h e	--|--⌫---|-----⌫-⌫|
gentse igno rie	---|--⌫----⌫--|
Ie neuodroiepor	-|-|------|--|
totlordeSulie	--||-|-|----|
Qu e ab atu efeustneag ast ie	--⌫|--⌫---⌫|----|-|--⌫---⌫-|
L afort ereced elacite entie	-⌫|----⌫----|-⌫|-|---|----|
Car se De uple st lefilsainte Marie	--|-|--⌫|---⌫-|-|--|-----|----|
Sanzt rebuc h ierseraprise	---|-⌫-----⌫-⌫--|---|----|
Parcelapostrequel enrequiert	--|--|------|--||-|-------|
Ain z i serai.uii.anzaost b anie	---⌫||----|----|--||--|-⌫---|
Et mende r aipor fere	-|-----⌫-⌫-|--|---|
LarrierebandeFrancelagarnie	|------|--|-|-----|-|-----|
guerron tlapute genthaie	-------⌫|-|---|---|---|
Si ln e renden tNerb one	|-⌫|-⌫|------⌫|----⌫--|
Qantceentandent sergent et cheualier	---|-|--------|------|-|--------|
Queles ha uzmu rsn	--|--|--⌫-|--⌫-||
oseront pecoier	------|------|
Etq uel asautlorcouient a	-|-⌫-||----|--|------||
Sachiezdeuoireneus n otquairier	------|-|---|-|--||-|-|-----|
D istlunalau treCia	-⌫--||-|||--⌫--|-||
grant des torbier	----|---⌫------|
Ia mese nFranc e n e por ronsreperier	--⌫--|-⌫|-----⌫|-⌫|---⌫---|-------|
Nene uerr onsn e en fa nt nemoilli er	-|-|----⌫--|-⌫|--⌫--⌫-|-|------⌫-|
Aices tmotse	|----⌫|--|-|
ret rai entarrier	---⌫---⌫--|-----|
Li francser gen tetlifranc escuier	-|----|---⌫---⌫|-|-|----|------|
C asmursa batre noserontplus	|-|---|-⌫----||------|---|
Qant c ont	---||--|
ue ulihardi	--⌫|-|----|
ch eualier	--⌫------|
Molt tostseuontarm erethaubergier	---|---|-|---|---⌫-|-|---------|
Par ireuont l asautrecommen cier	--|--|---||----|--------⌫---|
.XIIII. eschi eleso n tfetasmursdrecier	------|-----⌫---|-⌫-⌫|--|-|---|------|
Qui tant son tgranzcon	--|---|---⌫|----||-|
lespuetapo ier	--|---|---⌫--|
Sor lescrenia xfermeretatachier	--|--|------⌫|-----|-|-------|
Et C h arlemainelenpererea u	-|-⌫-⌫--------||-------|-⌫|
berfroiapres	------|----|
les murss achier	--|---|-⌫-----|
Par force imonten tet sergent et	--|----||------⌫|-|------|-|
L esa rb a lestes ontl iarba lestier	-⌫-|-⌫--⌫-⌫-----|--|-⌫|----⌫------|
trai entm aint fort	----⌫--|-⌫---|---|
carel dacier	----||----|
L i arch ierfont saietes descoc h ier	-⌫|----⌫--|---|------|------⌫-⌫--|
traien tquiluo i entar engier	------⌫|-|-|--⌫-⌫--|--⌫-----|
Desorlesmurs porles pierresl ancier	----|--|---|--|--|------|-⌫-----|
Mainte noc ien tque ilfonttreb uchie r	----|-⌫|--⌫---⌫|--|-|---|----⌫-----⌫|
lesmursenlacite	--|---|-|-|---|
Quidontoist	--|---|---|
Sarrazin sgra m oier	--------⌫|---⌫-⌫---|
UleretbrereetMahome thuc h ier	---|-|----|-|------⌫|---⌫-⌫--|
D unegrantliueoistlenle noisier	|--|----|---|---||-|-|------|
EtliFrancoisneseuellenttargier	-|-|-------|-|-|------|------|
Detot esparz font	-|---⌫-|---|---|
las a utcommenc ier	|--⌫-⌫-|-------⌫--|
Quene sorent paien	--|-|-----|----|
quelpa rtgaitie r	---|--⌫-|------⌫|
Mes Aymeris quitant f et aproisier	--|------|--|---|-⌫-||-------|
Desor tozau tr e s ce puis	----|--|--⌫--⌫-⌫|-|---|
bienafichier	---|-------|
Se penoitbi endelasau tenfor cier	-|-----|--⌫-|-||----⌫|-----⌫---|
Atot. c.home s	|--|-⌫-|----⌫|
qui molt lauoientchier	--|---||------|----|
Fistala por te .i.fort	---||-|---⌫-|--|---|
asautplenie r	----|------⌫|
Li.xx. tenoient. xx.gra nzha che sdacier	-|---|-------|-⌫--|---⌫-|--⌫---⌫||----|
Le iorifurentmerueillexcharpanti er	-|--||-----|---------|---------⌫-|
fierentetdeuantet d errie r	------|-|-----|-|-⌫-----⌫|
Quel es aisfo nt	--|-⌫-|--|--⌫-|
totes fa nd re e t percier	----|--⌫--⌫-|-⌫|------|
Etp a r d euantfontleflaelbrisier	-|-⌫-⌫|-⌫----|---|-|----|------|
Etcilde danz	-|--|--⌫---|
neseporentgaitier	-|-|-----|------|
Q ue de d anznentrentli	-⌫-|--⌫-⌫--||------|-|
uai ll antcheualier	---⌫--⌫--|--------|
Mes quique fustenl a	--|--|--|---|-|-⌫|
qeue derrier	---|------|
Cu ens Aym erisi	--⌫--|---⌫---||
estentrezpremier	--|-----|------|
Lorsueisiez	---|------|
S a rrazi nsd estra nchier	-⌫-⌫-----⌫-|-⌫-----⌫-----|
Lun mortsorl autre	|-|---|--||----|
uerserettr ebuchi er	-----|-|--⌫------⌫-|
Quenelorotlordeffansemesti er	--|-|--|-|--|-------|-----⌫-|
en uont uers	-|---|---|
le palesplenier	-|----|------|
Ah aut e uoiz commen cent	|-⌫---⌫|---|------⌫---|
ah u chier	|-⌫-⌫----|
Mahom etsirecar nos uenezaidier	-----⌫-|---|--|--|----|-----|
u ersl e pal essen cui dent	-⌫--|-⌫|---⌫-||-|---⌫---|
rep e rier	---⌫-⌫---|
Mes a inz qu i f usentlicuiuert	--|-⌫--|-||-⌫----|-|------|
paut onnier	----⌫-----|
EnontocisFranc oisplusd unmillier	-|--|---|-----⌫--|---||-|------|
Quilaueist conteAyme ri aidier	--|-|----|----|----⌫-|-----|
P aiens oci rre au	-⌫----|---⌫--|-|
brancforbi dacier	----|----||----|
Test e s et braset piezet poinz	----⌫-⌫|-|---|-|---|-|----|
Moltledeus t	---|-|----⌫|
alose r etproi s ier	-----⌫|-|----⌫-⌫--|
Tant fiert	---|----|
li cuen set auant etar rie r	-|----⌫|-|----|-|--⌫---⌫|
Et a ueclui maintuaill a ntcheualie r	-|-⌫--|--|----|-----⌫-⌫-|--------⌫|
Queil s en entrent el gran tpales	--|-||-|------|-|----⌫|----|
El mestreestagefetsensengnedrecier	-|-----|-----|--||-------|------|
Cuens Aymer ise tau	----|-----⌫-|-⌫|-|
uentb aloier	---|-⌫-----|
Cha rles liroissi	---⌫---|-|---|-|
l apercutpremier	|------|------|
Naimonapeleson	-----|----|--|
mestreconse illier	-----|-----⌫-----|
uezsiredusdist	--|---|--|---|
Charlesa uuis fi er	------|-⌫|--|--⌫-|
LamerciD eu	-|----|-⌫-|
quitotaaiugier	--|--|||-----|
CuensA ym eriss est	----|-⌫--⌫---||--|
iafetherbergier	-|--|---------|
Ieuois ense ngne l aauuant	-|--||----⌫---|-⌫|-|---|
Foi que d oi D eule ueraiiostissi e r	--|--|-⌫-|-⌫-|-|----|--------⌫-⌫|
Biendoit te ni rlaterre	---|---|--⌫--⌫|-|----|
p ales enl esta ie	-⌫---|-||----⌫-|
Fu Ayme risaucoraieuaillant	-|----⌫--|-|-----|-------|
Soneso n co rhautementen	---|--⌫|--⌫|--------|-|
Cesenefiequ	-|------|-|
il es tleanzauan t	-|--⌫|----|----⌫|
Qantlenp erereent endi	---||---⌫----|---⌫---|
ent reaespe ronbrochant	---⌫-||----⌫--|-------|
Etlibaronleuont apre ss iuan t	-|-|----|-|---|----⌫|-⌫----⌫|
et dargent trouerentlea nzt ant	-||-----|--------|---⌫-|-⌫--|
Quepl usnenotneroi	--|--⌫-||-|-|-|--|
Etqu iuostarmesnedestrierauferrant	-|--⌫|---|----|-|-------|--------|
Haubercou hiaumeou	------|-|-----|-|
espee luisant	----|------|
Assezenpotauoira sontal an t	----|-|--|----||--|---⌫--⌫|
Dextantitrou entp ainet uin et	--|---||----⌫--|-⌫--|-|--|-|
Etcha rs alee	-|---⌫|-⌫---|
etdefresche ensement	-|-|------|-------|
L ac iteotbien	-⌫|-⌫--|-|---|
gar nie Agola nt	---⌫--|-----⌫-|
Liroi squi t intlemestre mandement	-|---⌫|--|-⌫--|-|-----|--------|
Et sitroi frerequi	-|-|---|----|--|
fur entroi	---⌫--|--|
Meslidui fu rentplus fol	--|-|--|--⌫---|---|--|
etnonsachant	-|--|------|
Querentre mes	-|----|--⌫--|
en Nerbone	-|------|
EtAy merisaucorai e uaill ant	-|--⌫----|-|-----⌫|-----⌫--|
Ot ces . ii.	-|--|-⌫--|
prisentr e	---|----⌫|
luiet sagent	--|-|-|---|
Rendusefurentqant	----|-|-----|---|
ne poren t	-|-----⌫|
EtAymerisles otfetm a int en ant	-|------|--|-|--|-⌫-⌫---⌫--⌫--|
De danz sa ch ar treme tre s anz nulgarant	--⌫---|-|--⌫--⌫--|--⌫--|-⌫--|--|-----|
Do ntpuisnisirente ntrestotloruiuant	--⌫-|---||------|-⌫|------|--|-----|
Etliduiautre	-|-|--|----|
puentd or een	----||--⌫|-|
querre lesecorslamirant	-----|-|-----||------|
CarC harle maineliroisaupoil ferrant	--|-⌫-----⌫----|-|---|-|---|------|
quitanto t	--|---|-⌫|
hardeme n t	-------⌫-⌫|
Iur entlanuitel	---⌫--|-|---|-|
plu s ha utmandement	---⌫|--⌫-|--------|
E tlorriche conpangne	-⌫|--|----|--------|
QantceotfetC harlemaine	---|-|-|--|-⌫---------|
QuilotNerbonequitant	-|-|-|------|--|---|
c roi re grantioie	-⌫---⌫-|----|---|
e n dutmener	-⌫|--|----|
Dessinagogues	--|---------|
fist les Mahons	---|--|-----|
Lor et l a rgent e n fis ttot	|-|-||-⌫----|-⌫|---⌫|--|
es grune r	--⌫-----⌫|
Ace uslefi s td epartir etd o ner	|--⌫-|-|--⌫-⌫|-⌫------|-|-⌫-⌫--|
Quiremendrontalacite	--|---------||-|---|
Unbiau most ierfont fere etcon paser	-|---|----⌫--|---|---|-|---⌫----|
Et lesau tieusb eneiretsacrer	-|--|--⌫----|-⌫----|-|-----|
Puis iont fetestablir etposer	---||--|--|-------|-|----|
Unar ceues que sanz plusdedemorer	-|--⌫-----⌫--|---|---|-|------|
PorDamede user uir et ennorer	--|------⌫|---⌫--|-|------|
fistCharles offrire tpr esa nter	---|------|-----|-⌫|--⌫---⌫---|
s aintPo lc editen san z	-⌫---|--⌫|-⌫|--|-|---⌫|
Quilfist dEsp engne auecl uiaporter	-|-|---||---⌫----|---|-⌫-|------|
fistilmolt que g ent iset	---|-|---|--|-⌫---⌫-|-|
Queaumostierafet messe ch anter	--|-|------||--|----|--⌫----|
Ainzquil uosist deNerbonet orner	---|-|-|-----|-|------|-⌫----|
Moltgrant offrende	---|----|-------|
l i ro isdon er	-⌫|--⌫-|---⌫-|
Etlibaronet li conteetli	-|-|----|-|-|----|-|-|
Iuontchascu nssoffrendepresanter	|---|------⌫-||-------|--------|
Unb esantd oro.i.	-|-⌫----||-||--|
argent cler	-----|---|
A presla me sse ne uos tplus	-⌫---|-|--⌫--|-|---⌫|---|
Li roisainzfet	-|---|---|--|
to utso noirreapr ester	--⌫-|--⌫|----|---⌫----|
Lo rsueisiezcescheuaxe nseler	--⌫-|------|--|-----|-⌫-----|
Met reces frai ns eceshernois	---⌫-|--|----⌫-||--|------|
Gr ant io iefontce	--⌫--|--⌫-|---|-|
sachiezs anzdout er	------|-⌫--|----⌫-|
D ece qanFra n ce	-⌫|-||-|---⌫-⌫-|
sendoiuentr etourner	|-|------|-⌫-------|
Charlesliroi sniuostplus s eiou rner	------|-|---⌫|||---|---|-⌫----⌫---|
Au d epar tir enpri sta apeler	-|-⌫----⌫--|-|---⌫-||-----|
Aymeride Nerbone	-----|-|------|
Charlesparo l ea lafiereuigor	------|----⌫-⌫||-|----|----|
Aymerifr er em olt	-----|--⌫--⌫|-⌫--|
auezb ele tor	---|-⌫--|--|
Rich ecite biaupales richeennor	----⌫|---|---|----|----|----|
Dedanz lestagedel tansenci e nn or	-----||-----|--|---|----⌫-⌫--⌫-|
Porroizmenoira	------|-----||
ioieeta baudor	---|-||-----|
uitailleauez auos uiu remaintio r	-------|---||--|---⌫-|----|--⌫|
Sauez ceanz	|---|----|
main t destriermisodor	----⌫|-------|------|
Etbonesarmesde diuersecolor	-|----|----|-|------|----|
Haubersethiaum esetescuzp ainza fl or	------|-|-----⌫-|-|----|-⌫---||--⌫-|
Mardouteroizc elegent pai ennor	--|--------|-⌫--|---|---⌫----|
S aue z beson gp rezsuique uosse cor	|---⌫|-----⌫|-⌫--|--|--|--|--⌫--|
Grant merci	----|----|
sireciamoltgrantamor	---|-||---|----|---|
cuensquimolt	----|--|---|
otde ualor	-|-|----|
SimeistDexle pe recriator	-||---|--|-|--⌫-|------|
T an tcom uiuraiuostendre	-⌫--⌫|--|-----|--|-----|
E tsi naiez	-⌫|-||---|
on ques dece poor	--⌫---|-|-|---|
Quetant compu i s semon tere l m isodor	--|---|--|--⌫-⌫-⌫-|---⌫--|-⌫|-⌫-----|
paienancontremoiseior	----|-------|--|----|
uiurailes metraienerror	-----|--|-----|-|----|
Iaen uers ausne	-|--⌫---|--|-|
quierauoir amor	----|----|---|
metr aiaduel	----⌫-||---|
et a tristor	-||------|
T otporl amor	-⌫-|--||---|
Rollan t lepongneor	------⌫|-|-------|
EtOliu ierle nobilecontor	-|----⌫--|-|-----|-----|
Etporl es autr esqui	-|--|-⌫-|----⌫-|--|
t antorent ualor	-⌫--|----|----|
QanRa nc euaxfurentmort adolor	|-|--⌫--⌫---|-----|---||----|
ParGanelon lefelontraitor	--|------|-|----|------|
AcuiDexdoin tet honteet	|--|--|----⌫|-|----|-|
Fra ns enperereporD eu lecria tor	---⌫-|-------|--|-⌫-|-|----⌫--|
Qa ntuosue ndroizen laterre	--⌫-|--|--⌫-----|-|-|----|
uang iezuo sen nifetesloncseior	----⌫--|--⌫|-|||----|---|----|
Com lan doitfere d e felon traitor	--||-|---|---|-⌫|----|------|
Siquetre stu itli	-|--|---⌫---⌫-|-|
Loie ntconter	|---⌫-|-----|
iusquenInde maior	----|-|---|----|
Et q ue poo renaient traitor	-|-⌫-|---⌫|-|----|------|
Si que iamesuerslo r ligeseignor	-|--|----|---|--⌫|---|------|
Nosentpansereinsigrantdesennor	|----|-----|----|----|-------|
Etdist lirois Par Deu lesauueor	-|---|-|---|--|--|-|------|
uosditesbienDex uoscroisse	--|----|---|--|--|------|
Oruospene zde garderuostre	-|--|----⌫|-|-----|-----|
Di stAymerisDe	--⌫-|------|-|
ce naiez poor	-||---|---|
Carse Deuple stleuerai criator	--|-|--|---⌫-|-|----|------|
Ne n pe rdraiia de mipiene plain dor	|-⌫|--⌫----|-|--⌫-|--|-|----|--|
Parl a gen tSarrazine	--|-⌫|---⌫|--------|
Charlesl i roisnifist pl us	------|-⌫|---|||---|--⌫-|
Arr ier sen uaitenF r ancelalo ee	---⌫--||-|---|-|-⌫-⌫---|-|--⌫-|
Auequesluien	------|--|-|
asagentmenee	|-|---|----|
A Ay meria	|--⌫---||
Nerbo nedo nee	-----⌫-|--⌫--|
Et au e clu i le ssaenlacon tree	-|--⌫-⌫|--⌫|--⌫--|-|-|---⌫---|
Mil cheualiers dem ol t grant renommee	--|---------|-|-⌫--⌫|----|-------|
Quigarderontlafortcit e loee	--|--------|-|---|---⌫|---|
Etde sfa ndront	-|--⌫---⌫-----|
u ersla g ent des faee	-⌫--|-|-⌫--|---⌫---|
Orlordoint	-|--|----|
D exqu ele	-⌫-|-|--|
so it biengardee	--⌫-|---|-----|
Caraup rendre a molteste redoutee	--|-|-⌫-----||---|---|-------|
A.xiii. con t esfuai ncoispresantee	|-----|---⌫-⌫-|-|--⌫----|--------|
.xi ii. lorentbie n refusee	---⌫--||----|---⌫|------|
pristqui aitboneduree	----|--|--|---|----|
CestAymer isa	|--|-----⌫-||
la chiere menbre e	-|-----|------⌫|
Qu ie n fistpu is cest	--⌫|-⌫|---|--⌫-||--|
ueriteprouee	-----|-----|
maintegrantmellee	-----|----|-----|
uersSarrazins lapute	---|--------|-|---|
g e ntdesuee	-⌫-⌫-|-----|
S i desfandibien	-⌫|-------|---|
uerseuslacontree	---|--|-|------|
Q uiln enperdi demie ne denree	-⌫|-||-|----|----|-|-----|
Ainz atantterreuerspaiensconqueste e	---||---|----|---|-----|---------⌫|
Que par toutf u deluila	--|---⌫---|-⌫|-|--|-|
Despor zd Espangne iusqual amer	--|---⌫||-------|----||-⌫|--|
E stoit l ensengneAym eri	-⌫----||-------|---⌫--|
Mesapresce	--|----|-|
sanznul edemore e	---|---⌫|------⌫|
L i uint nouele qui pas neli	-⌫|---|-----|--|--|-|-|
Deda nzNerbon e lifudite	----⌫-|------⌫|-|-|---|
etc onte e	-|-⌫----⌫|
QHernausses peresauoituie finee	|------|--|----|----|--|----|
Sa m ere ausinlacontesseenno ree	-|-⌫--|----|-|-------|----⌫--|
Qantil lesotdolorena	---|-|-|--|----|-||
Mesiluoitbien quilni are couree	--|-|---|---|-|-||||--⌫-----|
Uneaba ie apo reuses toree	--|---⌫-||--⌫|--|--⌫----|
Ou ilo tpuismainteme ssechante e	-|-|-⌫|---|-----|--⌫--|------⌫|
plusd oirscestueriteprouee	---||---||--|-----|-----|
Fors Aymeria	---|-----||
lachieremenbree	-|-----|------|
Enherita ge liremestlacon tree	-|------⌫-|-|-----|-|---⌫---|
Quifu Hernau t al afiere	--|-|------⌫||-⌫|----|
Moltotgra nt	---|-|---⌫-|
terre etriche	----|-|----|
CuensA ym e risetgent	----|-⌫--⌫-⌫--|-|---|
m oltredoute e	-⌫--|-------⌫|
Orli co uenistfa me	-|-|--⌫-----|--⌫-|
Adon tlilo ent lipet it et li grant	----⌫|-|--⌫--|-|---⌫-|-|-|----|
Aymerissi repor Deuoni potant	------|--⌫-|--|--|---⌫-----|
Car pre nez fa men	--|---⌫--|--⌫-||
al ezplusatendant	--⌫-|---|-------|
Donteussiez b iau s	---|------|-⌫---⌫|
sireaucu nenfant	---|----⌫|-----|
Quidelpaisfust apres uos	--|--|---|---|----|--|
S estessanzoirce	|----|---|--|-|
seradolorg rant	---|----|-⌫---|
I oieenaurontSarrazin etPersant	-⌫--|-|-----|-------|-|------|
Dist Aymeris Par lec ors	---|------|--|-|-⌫--|
saint Amant	----|----|
Ie n e nsai nul een cest siecleuiuant	-||-⌫|--|---⌫|-|---|-----|-----|
Quiaf erist am oi netantneqant	--|--⌫----||-⌫-|-|---|-|---|
Ouneme soitmolt	-|-|-|---|---|
pre sa partenant	---⌫|-⌫--------|
Si meist Dexle	-||---|--|-|
peretou t pu isan t	---|---⌫|--⌫----⌫|
molt so itauenant	---|--⌫-|------|
Etquisoitsage et	-|--|---|---|-|
deparage grant	-|-----|----|
a ur a ioua nfame	-⌫--⌫-⌫|---⌫|---|
Seignorbaroncea	------|----|-||
di tAymeri	--⌫|-----|
Ie nensa inule enFrance	-||-|--⌫|---|-|-----|
n e nBerr i	|-⌫|----⌫|
a Romeuraiementle uosdi	|---|--------|-|--|-|
Quinem esoi t	--|-|-⌫|---⌫|
parentee t geali	------|-⌫|-||-|
Huguesau coraie hard i	-----|-|-----|----⌫|
Merueillesoipar De u	---------|-|--|--⌫|
Ieansaiunepa rfoi leu osafi	-|-|--|--|--⌫|--|-|-⌫-|--|
Ainz dem eseuz aus in	---|-|-⌫-|--|---⌫-|
Leuisagente t lecorsesche ui	-|--||---|-⌫|-|---|-----⌫-|
Mes p armafoi	--|-⌫-|-|--|
ele e stmoltlo inzde ci	--|-⌫-|---|--⌫--|-|-|
C estHerme ni a rtaugent	|--|-----⌫--⌫-⌫-|-|---|
corsseignori	---|-------|
De Pauie est la	-|----|--|-|
dame q ue ge d i	---|-⌫-|-|-⌫|
Fillea unroido nt uosauez	----||-|--|--⌫-|--|---|
Desierfu c il quel engen oi	-----|-|-⌫-|--||-----⌫-|
R ois Bo nifa ceses tsesfrere s ausi	-⌫--|--⌫----⌫--|--⌫|--|-----⌫|---|
APauie estladame queg e di	|----|--|-|---|--|-⌫|-|
