telzco ustumance danferuient	---|--⌫--------||----|----|
au oi t mis	--⌫--⌫|--|
quies toitde cuerses amis	--|--⌫---|-|---|--|---|
et faisoit	-|------|
delisonuouloir	-|-|--|------|
quiquan deust rireoudoloir	----|-|----|---|-|-----|
liquenslandriz auoit	-|----|------|----|
amoit se linon	----|-|-|--|
liro issanprint	-|--⌫-||-|----|
aaparseuure	|---------|
et connut zz petitde	-|-----|-|----|-|
laroyne bienaaparcut	-|----|---||------|
qu eliroys andoutantle se ut	--⌫|-|---|-|------|-|--⌫-|
etque iapalléanauoit	-|--|-|-----|-|----|
eta n questrefere	-|-⌫-⌫------|---|
ets au isaqua ntil	-||--⌫--|---⌫-|-|
tout lo rdomontnelagarra	---||-⌫|-|---|-|-|----|
resoi ue male mort	-----⌫-|---|---|
cellequisotmaint e mal s ort	----|--|--|-----⌫|--|-⌫--|
unsen e chalquefait a uoit	-|---⌫-⌫---|--|---|-⌫---|
quito utson	--|--⌫-|--|
co uuinesa uoit	--⌫----|--⌫---|
alui secreeme ntcon seilla	|--|--------⌫-|---⌫-----|
etcilp ou rlise traueilla	-|--|-⌫--⌫|-|-|--------|
con m a ntco nseill ierlapeust	---⌫-⌫-⌫-|--⌫------⌫--|-|----|
parcoisagrace ades e ust	--|--|-|----|---|-⌫--|
y yescuier sf uitiz mand erent	-⌫|-------⌫|-⌫----|----⌫----|
etcestafaireleurconterent	-|---|-----|---|--------|
conmanttourio ursricheseront	------|------⌫--|----|-----|
e ta touriours	-⌫||--------|
lorpaiz aront	--|---|----|
mesqueledeliurentdouroy	--|--|-|--------|--|--|
cil atourn erent leurar o y	--|------⌫----|---|--⌫-⌫|
pourferesequ	---|---|-|-|
il ont couua nt	-|--|-----⌫-|
liroisaloitchacier s ou u ant	-|---|----|------|-⌫--⌫-⌫--|
an repa irierquant	-|----⌫----|----|
chas cuns d iceulz lez lise t int	----⌫---||-----|--|-|-|-⌫--|
neuir entn ulnenul ne doute nt	-|---⌫--|-⌫-|-|--|-|-----⌫-|
lescoustiauxou uantre li	--|--------|-|-----|-|
et liroischeimorsater re	-|-|---|---|---||---⌫-|
cil s anfuientlan	--||-|-----|--|
ou que r r e	-|---⌫-⌫-⌫|
de ssusch ie lle ci lz c os	--⌫---|--⌫--⌫--|--⌫-|-⌫-|
leuesquezdesanlizs euruint	|-------|-|-----|-⌫------|
ilequesleroym ort tro u ua	------|-|--|-⌫--|---⌫-⌫-|
leuesquesmontb i ens ipro ua	|-------|---|-⌫-⌫-|||---⌫-|
sag enttoute	-|-⌫--|----|
unene fa apar eillie e	--|--⌫||----⌫------⌫|
lecorsleroi a nlanefmis tren t	-|---|-|--|-⌫|-|--|---⌫----⌫|
et briementaparisan ui ndrent	-|-------||----|-|--⌫-----|
toutlepeupl eapresl esuy	---|-|-----⌫|----|-⌫|--|
a sa int uin cent	|--⌫--|---⌫---|
quisain tegen euieu e estdiz	--|----⌫-|---⌫-----⌫|--|--|
ci lz murtresfusafame diz	--⌫-|------|-|-|---|--|
trestouzlesb iensque	-------|--|-⌫---|--|
elleauoi t	---|----⌫|
ettoutlemeuble	-|---|-|-----|
quel sa u oit	-|-|--⌫-⌫--|
anostredame touttandi	|-----|---|---|----|
etson c ors	-|--|-⌫--|
meime irandi	----||----|
e tlorsli baronsonfilprindr ent	-⌫|---|-|----|--|--|------⌫--|
aseignorl etind r ent	|------|-⌫|----⌫-⌫--|
par les bonnesuillesalerent	--|--|-----|-----|------|
lamfanta ueque s	|-----|-⌫-----⌫|
eusmener ent	--|-----⌫--|
qu i estoi tapelez clot aire	--⌫|-----⌫|-----|----⌫---|
etlifiren tfeautefair e	-|-|-----⌫|-----|----⌫|
clotaires fupourroistenus	--------|-|---|---|----|
fu ie uneset menus	-|--⌫---|-|----|
e tpour ce quetrop anfes	-⌫|---|-|--|---|----|
bonsgar deorb ailliez li feu	---|---⌫---|-⌫------|-|--|
onclego ntranz	----|--⌫-----|
saigesfuetde hautreno n	-----|-|-|-|---|----⌫|
cil sgontransfufrere son pere	---⌫|-------|-|----|--|---|
a cuigarde	|--|----|
l i p euplesp or	-⌫|-⌫-----|-⌫-|
roile tenoit	--|-|-----|
pourcequel amfantmainten oit	---|-|--||-----|-------⌫--|
a n son bailr oisclotair efu	-⌫|--|---|-⌫--|-------⌫|-|
quantqueliplotf e re faitfeu	-------|-|---|-⌫-⌫-|---|--|
maintefoizpansa an son	-----|---|----|-|--|
n edoupan z ne pot	-⌫|--|---⌫|-|--|
issir feur	----|---|
conma nt s o nf rer echilperiz	-----⌫-|-⌫-⌫|-⌫---⌫|--------|
ot esté mur triz etperiz	-|----|---⌫---|-|----|
e tpl u ssoutiuemant quil pot	-⌫|--⌫-⌫|----------|-|-|--|
anquis tdo f ai t oumiaxqu e	------⌫|-|-⌫--⌫|-|---|--⌫|
anq uistsanzfereplait	---⌫---|---|---|----|
quil sotq uesafam e	-|-|--|-⌫-|-|---⌫|
parle c ons oilpar	--|-|-⌫---⌫--|--|
senechalque	-------|--|
elle auoit	---|----|
qu isenechauzfu chilperic	--⌫|--------|-|--------|
quelanapeloitebur ic	--|--|------|----⌫-|
chies et traitierresot esté	----|-|----------|-|----|
defaireceste	-|----|----|
grant durt e	----|----⌫|
l iet laroynefredegond e	-⌫|-|-|----|---------⌫|
lorsiuratouz l es sain zdo	---|---|---|-⌫-|----⌫|-|
que uanchiez chi lperic seroit	--|-------|---⌫-----|-----|
pournulleriennele leroit	---|----|---|-|-|-----|
ebericbien	-----|---|
etp ourcepal l emant quisa	-|-⌫--|-|---⌫-⌫----|---||
afre degondeet	|---⌫------|-|
seq uaucunsami s l iotdit	-|-⌫|-----|---⌫|-⌫|-|--|
sili distdame gemedeu il	-|-|---|---|-|-|---⌫-|
et pouruoirdestournermeuei l	-|---|---|---------|-|---⌫|
carliroissest apa rce hu	--|-|---||--|---⌫---⌫-|
et toutenostre ouureasehu	-|----|-----|----||---|
siconquilmanu oudra s uir	------|-||-|-⌫----|-⌫--|
pou r cedameman	---⌫|-|---||-|
dis t fredegondenon fera s	---⌫|---------|--|----⌫|
moibongarantaras	--|--|-----|---|
mesfilzestroisgete	--|---|--|---|-|-|
ettouriou rs	-|-------⌫-|
sus moi te panra i	--|--|-|-----⌫|
mesporchossequ	--|--|-----|-|
e lleli die	-⌫--|-|--|
necon santoit il ne sefie	-|---⌫------|-|-|-|--|
etdit po r riennedemorroie	-|--|--⌫|---|-|--------|
carporcert ain lamo rtar oie	--|--|----⌫--|-|--⌫-|--⌫--|
lorsfredegon de ant raiso n	---|--------⌫-|-|-⌫-----⌫|
quiotfetelamesprison	--|-|---|-|--------|
sicond euantgeuous aidit	-|--|-⌫----|-|---|-|--|
uinta gontra nsili	---||------⌫|-|-|
roisgontran gete	---|------|-|-|
quee buric	--|-⌫----|
toli lau ie	---|-|-⌫-|
auroyc hilper icmons eigneur	-|--|-⌫------⌫-|--|-⌫------|
dont iaiperduetoutehonneur	---||-|-----|----|------|
et lor sliroisgontr an s i ura	-|---⌫|-|---|-----⌫--⌫|-⌫--|
que il ebu ricdes truira	--|-|---⌫--|---⌫-----|
et sonlignaigeius quea	-|--|-------|---⌫--||
fairel isou uint	----|-⌫|---⌫---|
parcoi autr es ichasti ront	--|--|----⌫|||------⌫---|
quetalan t douferen	--|-----⌫|--|---||
quanteburicsotu e raiem ant	----|-----|--|-⌫-⌫-----⌫--|
que gontranotf a it sairemant	--|------|-|-⌫-⌫-|--------|
e tl orss emistilan	-⌫|-⌫--|-⌫|---|-|-|
franchisse	---------|
d edanssaint	-⌫----|----|
martinamligli sse	-----|-||----⌫--|
parclaudiensaichiez	--|-------|-------|
ettostle chief	-|---|-|----|
colpezluifeu	-----|--|--|
qu antgontran s	--⌫--|-------⌫|
ilplot adieu queilfeuttemps	-|---||---|--|-|---|----|
queilmorustet ilmors feu	--|-|-----|-|-|---|--|
bre goigne donneefeu	---⌫-----|-----|--|
quiestoit soue aneritaige	--|-----|---|-|-------|
a un sienneueupreu etsaig e	|-|---|----|---|-|----⌫|
childebe rtans inquenonot	--------⌫-|---⌫----|--|-|
nonquesci lzgontr ansfamenot	|-----|--⌫-|-----⌫--|---||-|
etc l ot aire srois	-|-⌫-⌫--⌫----⌫|---|
mauuessegeneracion	-------|---------|
etbonn egene ra cion	-|----⌫|----⌫--⌫---|
combi enqu eln imutdelignaige	-----⌫---|-|||--|-|-------|
deparmerene depar	-|--|---|-|-|--|
pre udone tsaig esadesere	---⌫---|-⌫|----⌫-|---|--|
bonsius ticiersfuethardiz	---|---⌫------|-|-|-----|
saige setan	-----⌫|-|-|
f ai zetandiz	-⌫--⌫|-|-|--|
fame printquig er tru otn on	---|----|--|-⌫--⌫--|-|-⌫-|
den obl eestatdegrant renon	-|-⌫---⌫|----|-|----|----|
dontot zz fil	---|-|-|--|
gentetapert	---|-|----|
quelanapeladagobert	--|--|----|-------|
preuzetdebon ne part	----|-|-|---⌫-|---|
anceltemps	-|--|----|
deuoien t lilombart	-------⌫|-|------|
a u royde fran ce toz	-⌫|--|-|----⌫-|--|
doupaisdontil	--|---|---|-|
estoient tenans	-------|-----|
douze mi lso ls detrehudurent	----|--⌫|--⌫-|-|----|-----|
ou celuitempsquitél orfurent	-|----|----|-----|-⌫-|-----|
q uantyyans otclotaire	-⌫---|-|--|-|-------|
reg néadont liplot a	---⌫--|----|-|---||
par co nsoilet pa r b on aroy	--|--⌫----|-|--⌫|-⌫-|---|
de so n a m fant dagobert	-|--⌫|-⌫-⌫---|-------|
etli donneasonuenir	-|-|----||--|----|
leroyaumedega lteatenir	-|------|-|--⌫--||----|
b ien le ti nt	-⌫--|-|--⌫-|
et bien ipar ut	-|---||---⌫-|
fanmelidonn a	----|-|----⌫|
lo ngu e ma ntle royaumemaintint	--⌫---⌫-⌫--⌫-|-|------|-------|
mes clo tai re	--|---⌫---⌫-|
morircou ui nt	----|---⌫--⌫-|
dagoberttint	-------|---|
la royaute	-|------|
et queanretintlafeaute	-|--|-|-----|-|-----|
toutans inc c o nmeraiso ns	---|---⌫--|-⌫-⌫--|-----⌫-|
desaf amedeseurésfeu	-|-|-⌫--|--------|--|
pour ce quamfansne pot	---|-|-|-----|-|--|
don t ilchaniasi	---⌫|-|-----|-|
sons auo ir	--|-⌫---⌫-|
qu ame rueille crueus	-||--⌫------|-----|
etcrueussemant sem aintint	-|-----------|-|-⌫------|
ilfis t les gransportesdeffaire	-|---⌫|--|----|-----|-------|
deligli se	-||----⌫-|
desaint ylair e	-|----|-----⌫|
dep oit iers	-|-⌫---⌫---|
qui de cuiurefurent	--|-|-----|-----|
aparisme neesestred urent	|----|--⌫---|----|-⌫----|
dontpui s au	---|---⌫|-|
cuer grantcoureozot	---|----|------|-|
parco nsoiluneautrefameot	--|--⌫----|--|----|---|-|
montsepeno it d	---|-|----⌫-||
asaintdenis estofie r	|----|----|-------⌫|
sesportes decui ureimist	--|-----|-|---⌫--||---|
depoitiers	-|-------|
sacure es toitmisse	-|---|--⌫---|----|
a bien aorner cell e	|---|-----|----⌫|
de coulomnes	-|--------|
depa uemans	-|--⌫-----|
etdetouzbiaux aornemans	-|-|---|----|--------|
le s aut resygli ses less oit	--⌫|---⌫--|----⌫--|----⌫--|
et cellesanz plusap aissoi t	-|----|---|---|--⌫------⌫|
plusy mistet	---||---|-|
dec uer antier	-|-⌫--|-----|
quetuitsiautrede uantier	--|---|-|----|--⌫------|
mont a nma	---|-⌫--|
cilzroissaintdenis	---|---|----|----|
a la par fin i fu	|-|---⌫--||-|
quantdecest	----|-|---|
siegle trespasa	-----|-------|
mesmo nts ainteygl i sequasa	--|--⌫-|-⌫----|---⌫-⌫-|----|
bienslortoloit	----|--|-----|
gentis honm es donnoit	-----|----⌫-|------|
po urceau cunsapressamo rtdist	--⌫-|-|--⌫---|----|-|--⌫-|---|
que lo steldanferan aquist	--||-⌫---||----|-|-----|
cloui sses	-----⌫|--|
filzregnaa pres	---|----|-⌫---|
malferefu angres	--|---|-|-----|
f amepri n t b el eet	-⌫--|---⌫-⌫|-⌫--⌫|-|
d o ulignaigedes	-⌫-⌫|-------|--|
saynes n ee	-----|-⌫-|
anceltemps q uies t anciens	-|--|----|-⌫-|--⌫|------|
liab basdes aint marc	-|--⌫--|-|-⌫---|---|
o umont debie ns y abonda	-⌫|---|-|---⌫-||-----|
etsi limistnon	-|-|-|---|--|
ch ampflori	--⌫-------|
unpoapre s	-|-|----⌫|
cho se uoire	---⌫-|----|
liglisses ain tbenarsus loire	|------|-⌫---⌫|----|--|----|
clouisquiadontroi s regnoi t	-----|--|----|---⌫|------⌫|
quifole man tse demen oit	--|----⌫---⌫|-|-----⌫--|
ilfasoit mal et	-|-----|--|-|
le corsmonseigneursaintdenis	-|---|--|-------|----|----|
banimontdeshonest emant	---|---|---------⌫----|
que lanp orta uilainema nt	--|--|-⌫---|---------⌫-|
forcelosta	----||---|
quedi eunehom e nan douta	--|--⌫-|-|---⌫||-|----|
l undes brazlibrisa	|-|--|---|-|----|
dontan leur e aparutp or	---|-||---⌫|-----|-⌫-|
quei lantraanfrenis ie	--|-⌫|----|-|------⌫-|
do ntilnisipuis	--⌫-|-||--|---|
montfu cilzrois	---|-|---|---|
desmesurez	---------|
etant ouz maus a s seurez	-|-|-⌫--|---|-⌫-⌫-----|
glouz fuyurai s luxurieus	----|-|-----⌫|--------|
lechier r eslierresanuieus	-------⌫-⌫-|------|------|
m anson giers etdemauues	-⌫-----⌫----|-|-|-----|
mesilotune	--|-|-|--|
bonne fame	----|---|
con clamoitlaroyne batant	|-|------|-|----|-----|
me so ufferraiatant	-|--⌫-------|----|
yyfil zotdecourtoisafaire	-|---⌫|-|-|-------|-----|
thier ri childeric etclotaire	-----⌫-|--------|-|-------|
tuitfur ent roiaprez lor pere	---|---⌫--|--|----|--|---|
la r oynebatantl ormere	-|-⌫---|-----|-⌫-|---|
qui mo ntdecuer dieuh ono ra	--|--⌫-|-|---|---|-⌫---⌫-|
yy abayesestora	-|-----|-----|
ancoi squ ellep artistdeuie	-----⌫--|---|-⌫-----|-|--|
lunech iellelautrecorbie	|--|--⌫----||----|-----|
riche sso ntet bienaornees	-----⌫|--⌫-|-|---|------|
rantesbie n estorees	-----|---⌫|-------|
yyanses tu tancelmal aige	-|--|--⌫--⌫|-|--|---⌫---|
clouisliroisanraige	-----|-|---|-|----|
otregn épuisfumors	-|----⌫-|---|-|---|
asaintden isfumissescors	|----|---⌫-|-|--|--|---|
mesancoisque i l	--|--------|-⌫|
d ieuxqueauan t esle ust	-⌫---|--|----⌫|----⌫--|
quer ois defrancefuclo taire	--|-⌫--|-|-----|-|---⌫----|
sesfilzquipoisotbien	--|---|--|-||--|---|
yyan suesquiplusnele	-|--⌫|-----|---|-|-|
cildericsonfreresrois fe u	-------|--|-----|---|--⌫|
ebroyns fuse s co nduisi erres	------|-|--⌫|--⌫------⌫----|
le roya u me	-|----⌫-⌫-|
a nt rodu i sierres	-⌫--⌫----⌫-⌫------|
cilz not pas	---||-|--|
sai nteyglise ch ier	---⌫--|-----|--⌫--|
leuesquedostunsaint legier	|------||----|----|-----|
fist il anmedeusles	---|-|-------|--|
et assezdautrestorman sfaire	-|----||-----|------⌫|----|
unsgentis honmainf roi	--|-----|--|-----⌫--|
degrantsan	-|----|--|
etd egrantrenon	-|-⌫|----|----|
otfetme schi ef	-|--|--⌫----⌫-|
cilzmainfroi zli colp a lechief	---|--------⌫|-|----⌫|-|----|
an sonleumisgarans	-|--|--|--|-----|
q ui achilde bertfuparans	-⌫-||------⌫---|-|-----|
qu a ntroischil d eri c	--⌫-⌫-|---|----⌫-⌫---⌫|
sifu roisth ierriz li ma inn ez	-|-|---|--⌫-----|-|--⌫---⌫-|
q uant li roi sthie rris	-⌫---|-|---⌫|----⌫---|
uin t afin	---⌫||--|
s i fu esl eusroi	-⌫|-|---⌫--|--|
antegresil ot	---------|-|
non son pere	--|--|---|
etdamebege otnon sa	-|---|---|-|--|-|
par lesbaronse sl eusf eu	--|--|-----|-⌫--⌫--|-⌫-|
pe p ins boniusticiers	--⌫-⌫--|--|---------|
et d e cuerco urageus et	-|-⌫|---|--⌫------|-|
det outsonroyaumeanmez	-|-⌫--|--|------|----|
nenus sescontreresne	-|--|--|--------|-|
sibaronli donnerent fame	-|----|-|--------|---|
petrus unemon thaut e	-----|--|---⌫|----⌫|
decelle dameyyfilzore nt	-|----|---|-|---|---⌫-|
grimoars etd re uesnonorent	-------|-|-⌫--⌫--|--|----|
cilzdreuesqu ens	---|-----|--⌫--|
dechampaig ne fu	-|--------⌫-|-|
etgrimo ars a tandansfeu	-|-----⌫--|-⌫------|--|
ten irledeu oit	---⌫-|-|---⌫--|
to uteuoie mist mont sacure	--⌫------|---|---|-|---|
roispepinou fetdeluxu re	---|----|-|--|-|----⌫-|
auuiuantet	-|-----|-|
fi stildecemainte di fame	--⌫-|-|-|-|-----|--⌫---|
al bandeune	--⌫----|--|
nob le puc e ll e	---⌫-|---⌫-⌫--⌫|
fude pepinanci nt ecelle	-|-|----|----⌫--⌫|----|
s eurfu un	-⌫--|-|-|
hautb ar onnonmé	---|-⌫--⌫-|-----|
quiestoitclamé	--|-----|-----|
de cellepucellez zfil ot	-|----|------|-⌫|--|-|
quichall esma rtiaxpuisnon ot	--|-----⌫-|--⌫----|---|--|-|
decestu i a nf anttelairay	-|-----⌫|-⌫--⌫--|-|-----|
des autresy yte conteray	--|-----|-⌫|-|-------|
grimo ars quifu douse t	-----⌫--|--|-|---|-⌫|
pelerinai ge	---------⌫-|
asaintlambert queli ai dast	|----|------|--|-|--⌫---|
etqu esonneurillicomtast	-|--⌫||-----|-|-|------|
untraistes sergensraimbau t	-|-------|------|-------⌫|
le cu erm au uesetbaut	-|--⌫-|-⌫--⌫--|-|---|
ac ui lons	|-⌫-|---|
tansot con tanc i e ́	---|-|---⌫----⌫-⌫-⌫|
oucorszz dartlanci é	-|---|-|---|-----⌫-|
lautresfrer es po semain ti nt	|-----|----⌫-|-|-|----⌫--⌫-|
dreues yyans s eterre tin t	-----|-|--|-⌫|----|---⌫|
mors fuautre man tnepotestre	---|-|-----⌫---⌫|-|--|----|
ans inquep lot adi eu	---⌫----|-⌫--||--⌫-|
le m estre	-|-⌫----|
pepinsa nfumazetan gres	-----|-⌫|-|--|-|--⌫---|
tempsu esquiap rez	----|-⌫----|--⌫--|
morsfupepinsa grant honnor	---|-|-----||----|-----|
etses filschallesti n t l onnor	-|--|---|------|--⌫-⌫||----|
quisesfilz	--|--|---|
debastote sté	-|---|-|-⌫---|
ans inquecom getai	---⌫----|--|-||-|
roisfumes g rant destorbeyot	---|-|--|-⌫---|-------||-|
carforsetbonsa mis	--|---|-|---|-⌫--|
etlafor ce outre pas a	-|-|---⌫-|----|---⌫|
liforstout lefleuu e qua ssa	-|---|---|-|-----⌫|---⌫--|
ans inc f uro ischalle martiax	---⌫--|-⌫|--⌫-|-----|------|
quifistamainsprodommesdiaux	--|---||----|--------|----|
for sfieretfe alchiere	---⌫|---|-|--⌫-|-----|
e t la co n ciance petite	-⌫|-|--⌫-⌫-----|-----|
enraison pofereanelui	-|-----|-|---||----|
e t chascuns seplaig noit de	-⌫|-------|-|-----⌫---|-|
a celuite mpsliuandre	|----|--⌫--|-|-----|
sarradinq ui fortsecon tindren t	-------|-⌫-|---|-|---⌫-------⌫|
cillacit ed esanz prindren t	--|-|---⌫|-⌫|---|--------⌫|
etatroyes anchampaigneuindrent	-||-----|-|---------|-------|
m o ntgrant	-⌫-⌫-|----|
genta ntraus habonde r e nt	---|-⌫--|--|-------⌫-⌫-⌫-|
uandeuurelechastelfonderent	--------|-|------|--------|
challes martiauxl eseffasa	------|-------|-⌫-|-----|
etde sonpaisleschaca	-|-|--|---|--|----|
unfilotqui	-|--|-|--|
otn onpepin	-|-⌫-|----|
quis ouffri	--|-⌫-----|
maintegrant hu tin	-----|----|--⌫--|
petizfumesmontfuh ardiz	----|-|--|---|-|-⌫----|
saige sa n	-----⌫|-⌫|
faizcourtoisa ndiz	---|-------|-⌫|--|
quan tchalles fu m orsroile	----⌫|------|-|-⌫--|--|-|
etanlaroyautele mirent	-|-|-|------|-|-----|
quantque sonpere	-------|--|---|
toutrefupar lefils ol u	---|---|--|-|--|-⌫--⌫|
challe sott ol uausyglise s	------⌫|-|-⌫--⌫|--|------⌫|
etdeser ite esetm almisses	-|-----⌫---⌫-|-|-⌫-|-----|
tr estout ran di	--⌫-----|---⌫-|
e trestabli	-⌫|-------|
tui tlibaronmontlonorerent	---⌫|-|----|---||--------|
mont hautedam e li	---|----|---⌫|-|
don nerent	---⌫-----|
q ui grant terr eetgrantd emoine	-⌫-|----|----⌫|-|----|-⌫-----|
c halle main e	-⌫-----⌫----⌫|
quidieuxtantde gracemontra	--|----|---|-|----|-----|
et t antesgransguerresout ra	-|-⌫----|----|------|---⌫-|
queancora n	--|----|-⌫|
parlelans ouuant	----|--|-⌫-----|
genet andiraiplus	-|-||-|----|---|
a munprepos ue uilreu enir	|--|-----|--⌫--|---⌫---|
porcoigetai cifai tteni r	--|--|-||-|-|---⌫|----⌫|
porlef aitchilperic s auoir	--|-|-⌫--|--------|-⌫----|
qui otpo sanetgrant auoir	--|-|-|--|-|----|----|
pourceth iebert tairecité	---|-|--⌫-----||-|------|
t restou tecest e autorit e	-⌫------⌫-|----⌫|-------⌫|
pource quen ecroiesquilcouuaigne	---|-|--|-⌫|-----|-|-|--------|
