enl enornostre	-||---|-----|
ioanbaptistee desai n t thomasdinde	---|-------||-|---⌫-⌫|-----||---|
ed emaintesau t r es uertu z	|-⌫|------|--⌫-⌫-⌫-|-----⌫|
desaint ger mainde paris fit	-|----|---⌫---|-|----|--|
iglisesa i nt	-----|--⌫-⌫-|
germainoroc	------|-|-|
m is ma intesen l	-⌫-|--⌫----|-||
auter ehi fu	----||-|-|
seuelizgautiers de lezzia qui f ut	------|-------|-|-----|--|-⌫-|
filz sospice	---|-----||
mainzautres eparco	----|-----||--|-|
sain tgermain	----⌫|------|
deleziaequi	-|----|---|
donakarlesasaint	---|-----||----|
germaind e paris tota	------|-⌫|----|---|
quiaffiertdei usq u a	--|------|-|-⌫---⌫||
fontdeltresf orsc el a q uil	---|--|---|-⌫--|-⌫--⌫|-⌫|-|
maiso ndebeagniae l abes	-----⌫|-|------|||---|
ladonaa sonn euo wllmede	-|---||--|-⌫--|----|-|
pa r isbeaus nepzde c estaterr a	--⌫-⌫-|----|---|-|-⌫---|----⌫|
s eras homalabe desai nt	-⌫---|--|||--|-|---⌫-|
ge rmain dep a riserendra shen yy	--⌫----|-|-⌫-⌫--||------⌫|--|-|
costea u s e	------⌫-⌫||
un cuer decerf	-|---|-|---|
lofedebe rb ezil d onaal arceu esque	-|-|-|--⌫--⌫---|-⌫--|||-----⌫----|
debord euelarceuesqu es	-|----⌫-|||---------⌫-|
paren tyysolde	-----⌫|-|--|-|
deniersdela tab ble	------|-|-|---⌫--|
ai g uolans mandabataille	--⌫-⌫-----|----|-------|
karl e ma ineamauretaigne	----⌫-⌫--⌫--||----------|
karle ssiuinc ap r es	-----⌫|-|---|--⌫-⌫-|
demauretagniee	-|----------||
fitliglisesaintd enis	--||-----|----|-⌫---|
mist karlesyy	---|-----|-|
cor s sainzeaut res	---⌫|----||---⌫--|
u ertuzmai ntes entra lauter	-⌫----|---⌫---|----||----|
e u n apetitaporteap res aiguo lans	|-⌫-⌫|-----|----|--⌫--|-----⌫---|
a iosta sesos	-⌫----|--|-|
q uiesten tre	-⌫-|--|--⌫--|
c osnacemaur etaigne	-⌫----||----⌫------|
karles r eng iasesos	-----|-⌫---⌫-|--|-|
co m andaag indenantoil	--⌫-⌫---||-⌫-|-|------|
deuersgirondee terr i s	-----|------||----⌫-⌫|
dearde na e	-|----⌫-||
liduxnembreselidux	-|--|------||-|--|
nai me same narentobeau s	---⌫--⌫|---⌫-----|-|---⌫|
yymirechiualierseocgiersesi	-|---|---------||------||-|
co n p a ignon yymir erollanse	--⌫-⌫-⌫-⌫----|-|---⌫|------||
siconpaigno na utres	-|---------⌫|-⌫----|
tuitic est ferirenten	---|--⌫--|-------|-|
aiguolanteaucesirentdeuss arrazins	--------||---------|---|-⌫-------|
yy mireelitresaiguola ns	-|---||-|---|-------⌫-|
aba tuzapress	---⌫--|----||
e nfuitaigu olan s	-⌫|---|----⌫----⌫|
uers arnaguesela mira u s	---|-------|||-⌫----⌫-⌫|
de raib es	-|----⌫||
enfui tuers m auretaignee	-|---⌫|---|-⌫---------||
o b graice	-⌫|-----|
der oll ant s is nepz	-|-⌫---⌫--|-⌫-|---|
s enentr a enzmauretag niel espee	|-|----⌫|--|--------⌫--||----|
i lesi co npagnon	-⌫||-|--⌫------|
ocidrentyymiresarraz ins dec rest iens	-------|-|---|------⌫--|-|-⌫----⌫---|
i oc mortnombredeyym ire	|-|---|-----|-|-|-⌫--|
furentseuelial	-----|-----|||
igl iseque	---⌫--|--|
s ainz marcausfit enl	-⌫---|------|--|-||
saintest einekarlesfitzzchapele d e	----|---⌫---|-----|--|-|------|-⌫|
saintromana upoi dasp remun t	----|----|-⌫|--||---⌫-----⌫|
seuelili autree par	-----|-|----||--|
amo rdaus baronsquihifu rent	---⌫|---|-----|--|-|--⌫---|
seuel i imist enlauter	-----⌫||---|-||----|
del apointe	-|-⌫|-----|
da uclo no streseignore main t es	--⌫|--|--⌫---|------||----⌫-⌫-|
autres uertuzapresf itlacha pele	-----|-----|----|-⌫-|-|---⌫---|
saintlezaire oriestalor is	----|------|-|---|----⌫-|
es iconpa ign onapresen labaie de	|-⌫|-----⌫---⌫-|----|-||----|-|
cumbesqui futia disab aiefi t	-----|--|--|--⌫--|--⌫--|--⌫|
porterlesau tresorhamolt	-----|--|--⌫---|-|-|---|
r eliquesde saintemaintes	-⌫------|-|----||------|
autresue rtuzapresass egiakarl	-----|--⌫---|----|---⌫---|---|
arnaguesob ses genz eesta hi zz	-------|-|--|---||---|-|-|
e si lo prist e	|-|-|----||
oci sthiyy mire	---⌫-|-|-|---|
sarr azi ns eaiguolanzs	----⌫---⌫-||--------||
ablaiuese landrisli	|------||------|-|
chapd aines	-----⌫----|
ala apresob yy	--|----|-|-|
mirecrestiens e	---|--------||
fut mol tgrantdamageen la terra de	--|---⌫|----|-----|-|-|----|-|
cumilsento rnet	--|-||-|--⌫---|
aiguolansu inctapres	--------|-⌫---|----|
e si lotroba	|-|-|----|
tresf ontain ese	---|-⌫------⌫-||
conbatetse i	-------|--⌫|
miresa rrazinseyymi recrestie ns	---|--⌫------||-|--⌫-|-------⌫-|
qu ant ai guol anso ctmortlandric	--⌫--|--⌫----⌫--|-⌫-|---|------|
chapdain eilgita sespeee n	--------⌫|-|---||----|-⌫|
l aig ue quar	|---⌫-|---|
n e uole it qu eli sarrazin	-⌫|----⌫-|--⌫|-|-------|
l og ui ss ant	|--⌫--⌫--⌫--|
e artauss en	|-----||-|
es chapaob	--⌫----|-|
y ymirecre stienseuint s	-⌫|---|---⌫-----||---||
en a karle	-||----|
co mentaueitesté e	--⌫---|----|----||
kar lalaapres	---⌫|--|----|
or li mort es t oen tesi	-|-|---|--⌫-⌫---⌫||-|
gra ntduelil esi	---⌫-|---|-||-|
conpaign onapresfit zz	--------⌫-|----|--|-|
chap elade	----⌫--|-|
d ameaamarieequi fut seue lizlandris	-⌫--|-|----|---|--|----⌫--|------|
conpai gnonepar	------⌫---||--|
eausm ist enl auterlo chepsai n t	---|-⌫--|-||----|-|---|---⌫-⌫|
au bi n efituna	--⌫--⌫||--|--|
martin enlauaue mi st	-----|-|-|--||--⌫-|
delout erreliques	-||---⌫-|-------|
m artin eassezda utreseapres	-⌫----||----||-⌫----||----|
dona arn a guesaartaut	---|---⌫-⌫---||-----|
terr aq uiaffiertiquistfezdura	----⌫|-⌫-|------|-----|--|---|
delagirondedeiusqu anantoil	-|-|------|-|----||------|
l aiorguisdescon fitlessarra zins e	-⌫-|-|---|------⌫--|--|-----⌫---||
rollanzretintmauret ag nie	------|-----|------⌫--⌫--|
a son obz apresala karl ablaiu e s	|--|--|----|--|---||-----⌫-⌫|
obt otasost er ollanze	-|-⌫--||--||-⌫-----||
ol iuier stro uare nt lesgenzaigol ant	--⌫-----⌫|---⌫----⌫-|--|---|-----⌫--|
fo rsdelau ilesise conb atirent	--⌫-|-|-|-⌫--|-|-|----⌫------|
oblage ntaiguo lantedu ramolt	-|-|--⌫-|-----⌫---||--⌫-|---|
chapples emesleament	-------||---------|
entrarentsenob	--------||-|-|
eau s en lauilee	---⌫|-|-|---||
tuare nttoz lessarraz ins qui ne	-----⌫-|--|--|------⌫--|--|-|
uogrent estracres tien eceausqui	------|----|----⌫---||----|--|
uoloent estracre stien	------|----|---⌫----|
netuoent mie eapresieturpins	-|-----|--||----|-|------|
cerch ai toteslesyglises de	-----⌫-|----|--|------|-|
uile que ai guolan saueitde str ui tes	---|--|--⌫------⌫|----|--⌫---⌫--⌫--|
fors ligli se e le	---||----⌫-||-|
saintroman	----|----|
ornegunssarra zins	-|-----|-----⌫---|
poete ntr ernem auferelaenz	---|-⌫---⌫-|-|-⌫-|---|----|
hayy corssainzsaint	-|-|---|----|----|
saintromartiquistbonseu rez	----|-----|-----|------⌫--|
sainzromanssifu t daf friqueepar	----|-----|-|--⌫||--⌫-----||--|
uoizdangel e uint	---||-----⌫|---|
ablaiu e s	|-----⌫-⌫|
si auetabl ai ueszzydre que	-|---||--⌫--⌫--|-|---|--|
sarrazinaoroent eut empsblaize	-------|------|-|-⌫---|-----|
q ui er et reisdela	-⌫-|--⌫-|---|-|-|
uilesainz roma nz	---|----|----⌫-|
uin c en lauilee	---⌫|-|-|---||
lonom x mcrist elisarrazin	-|--|-⌫|----||-|-------|
cuidarentloociree dei ssirent li	--------|-|----||---⌫------|-|
quesilordenaorot il	--|-|--|-||----|-|
eretmors e	---|---||
illordi stqu	-|--|--⌫-|-|
m e nassanta	-⌫-⌫------||
lorde quil ao roe nt	--|-|-|-|--⌫---⌫-|
cill imenarentequant	--|||-------||----|
il lotconiuréde	-||-|-------|-|
part deildeuinc	---|-|-|-----|
cendreapres sainzromans	-----|----|----|-----|
i fitzzyglise sain t sau ueor	|--|-|-----|----⌫|---⌫---|
a baie e par lapreeirad elui	-⌫---||--|-|------|-⌫|--|
deshi fitm ain t	--|-|--|-⌫---⌫|
m iracleemaim ement	-⌫-----||----⌫----|
sorl adamedel auile	--|-⌫|---|-|-⌫|---|
e sormaint eautragent de	|--|-----⌫|----|---|-|
maladie eapresrollanz fe rma	------||----|------|--⌫--|
liglis esaint	|-----⌫|----|
romainehimist	-----||-|---|
chenoinese oliuers fitl	--------||------|--||
saintsauueor ehifitabai eeapr esli	----|------||-|--|----⌫||---⌫-|-|
bonsreissenalaa	---|---||-|--||
auban obto tas ostesilo	----|-|--⌫-||--||-|-|
p ristequi	-⌫---|---|
o ci st les sarrazins qui	-⌫--⌫-|--|--------|--|
crerene uoloent en deequ i	----|-|------|-|-|---⌫|
yy iglisesluna fu	-|------||--|-|
saintuin centquiequirep osetesainz	----|---⌫---|--|---|---⌫---||----|
r eleue z a p reszzautre	-⌫-----⌫|-⌫-⌫--|-|----|
yglisesaintgiro ntedonalat erreau	-----|----|----⌫-||---|-|-⌫---|-|
co m ptedeng uolesme a	--⌫-⌫--||---⌫------||
tallia ferdele on	------⌫--|-|--⌫-|
estoitlicheseinenz	-----|-|---------|
apres sena lakarlesu e rs	----||-|-⌫-|-----|-⌫-⌫-|
monmo r aupas	-----⌫|-|--|
de monmor tr ou a la gent	-|-----|--⌫--⌫|-|---|
aiguo lante lui meismeequi	-----⌫---||--|-----|---|
rollanze s iconpaignon to lirent	------||-⌫|---------|--⌫-----|
lo p aspar for cee	-|-⌫-|--|---⌫-||
labataill e desique	-|-------⌫|------|
asaint andres	|----|-----|
elaif u mo rslireis dese billee	|--|-⌫|--⌫-|-|---|-|--⌫----||
apresyymire sa rrazin	----|-|---|--⌫-----|
edec rest iensy ymir eefurent	|-|-⌫----⌫---|-⌫|---⌫||-----|
seu eliasa intandree	---⌫--||--⌫--|----||
esteine q ui	------|-⌫-|
eriantd esertese	-----|-⌫------||
aiguolanzs	--------||
en fuitparmer	-|---|--|--|
abordeauobses reis e karlobson	|------|-|--|---||---|-|--|
nauir e passaoltra	-----⌫|----|----|
ob ro l lante o bses	-|--⌫-⌫---||-⌫|--|
oze paruiueforce	-||--|---|----|
uinca l o rmouteequi	---||-⌫-⌫----||---|
fitchapele desaint martin	--|------|-|----|-----|
dequ irollanzlendema i n quantli	|---⌫|------||------⌫-⌫|----|-|
floz de l amersenfu	---|-|-⌫|--||-|-|
passa oltratoz	----|----|--|
sos esiuinc	--||-|---|
uile debordeau eencon tr a	---|-|------||-----⌫--⌫|
zzsarrazinquisalotdeporte r si	-|-------|--||---|-------⌫|-|
o cistrollanz	-⌫---|------|
aueit lemelior chiuaud epa enime e	----|-|-----|-----|-⌫|--⌫----||
rollan sleiss asesar me s eson	------⌫|-----⌫|--|--⌫--⌫||--|
chiual epris t lesarmes a usarrazin e	-----||----⌫|--|----|-⌫|-------||
alaab or deauesiu incabordeau	--||-⌫--⌫---||-|-⌫--||------|
a unaporte oraue tdesusz z	|--|----|-|---⌫|----|-⌫|
sarrazinqu ilaueitmort siauet	-------|-|-|----|---|-|---|
nomsal atra psliportiersquantlo	--|---⌫----⌫-|-|-------|----|-|
uitsilapelae	--|-||----||
bensiazuosuenguz sire	--|---|--|-----|---|
sala traps e ro l l anzlidist qu il	----⌫----||--⌫-⌫-⌫--|-|---|-|-|
litenguistson chiualqu ilhireit	-|-------|--|-----|-|-|-----|
parlerausdamese	-----|--|----||
munta apui	----|---|
e sa luabra idemu ndeieur a cae	|--⌫--|---⌫-----⌫--|----⌫-⌫-||
a totesquil l es ma riere t	|----|-|-|-⌫-|--⌫-----⌫|
ederetlorles	|----|--|--|
meliors chiualiers del	------|---------|-||
osteel escuidarentque	--||--⌫-|--------|--|
salatrapse quantil s e	--------||----|-|-⌫|
demostrasi n	-------|-||
oguirente lesmoltgrantioi	-------|-⌫--|---|----|--|
illordeman dacumpoirroitauerla	-|--|-----⌫-|--|-------|---|-|
li deissirentque	-|---------|--|
aiguolanzeretal e zanob b lese ncontre	--------|---|--⌫-⌫||---⌫-⌫--|-⌫------|
ato zl esreisde paenimequ il	|--⌫|-⌫-|---|-|------|-|-|
liuengiant se c orreero llanzs entit	-|-------|--⌫-⌫---||--⌫----|-⌫----|
le ssarr azins qu ieissia nt	--⌫|----⌫----|--⌫|------⌫-|
de lauil e eprist congiedaus	-|-|---⌫||----|-----|---|
montas or son chiuauel i	----|-⌫-|--|-----||-⌫|
sarrazin sdeman d etsi co est	--------⌫|-----⌫-⌫-|-|-|--|
salatraps ei ldist	--------||-⌫|---|
soir ollans ilrollanze li	--|-⌫-----|-|------||-|
r e isd elubie se laiss ent	-⌫-⌫-|-⌫|----|-|-----⌫--|
chiuaus correi lfiert	------|----|-⌫|----|
rollantparl	------|--||
e scuqueto t leli faussa	-⌫--|--|--⌫|-|-|-----|
e rollanztrait dur en dac taucoube	|------|----|---⌫--⌫--|--|----|
li don ets o r leaumeque	-|---⌫-|-⌫-⌫||----|--|
tot lo trencheiusqu	--|-|------|----|
rollanzocistyysarrazins	------|----|-|--------|
deuant lesdames ainzque	-----|--|----|------|
partist deuant	------|-----|
lauileil nepuecsoffrir	-|---|-|-|---|------|
sarraz insepassas en arrei raa	------⌫--||----||-|-----⌫-||
lor muntapresuin drentyy ducd e	---⌫---|----|---⌫----|-|--|-⌫|
fr ance qui amenarentyym ire chiual i ers	--⌫---|--|--------|-|-⌫--|------⌫-⌫--|
cofu aubinsliborguong	-|-|-----|-|-------|
eliduxgeri ns	|-|--|----⌫-|
deloerregne	-|--------|
guanel osli traitreseangeliers	------⌫-|-|-------||--------|
d aq ui tain erollanzparco	|--⌫--⌫----⌫|------|--|-|
u ole it m au	-⌫---⌫-|-⌫-|
aguanelosepartit	|------|-|-----|
d e lostkar le	-⌫||--|---⌫-|
ob yymirechiualier se	-|-|---|---------⌫||
alas enasenonpres de	--||-||----|---|-|
au matinqu a n t	-|----|--⌫-⌫-⌫|
ilfu leue z si oit	-|-|----⌫|-|--|
messeeuiteissi r d eubois	----||--|-----⌫|-⌫-|---|
una ce rgie blanchea pres	--|--⌫---|------|-⌫---|
f it armer tote	-⌫-|----|---|
eala apreslacergie	|--|----|-|-----|
semisten giro ndeeil	-|---|-|----⌫--||-|
tuitapres e seguerent	---|----||--------|
la aunaa ba ie de aa croizqu i	-||--|-⌫--⌫-|-|-|----|--⌫|
iadismes lis arrazinl auian t	----|--|-|-⌫------||-----⌫|
destr uiteeturpinsentra en labaiee	-----⌫---||------|----|-||----||
trouacumclodilla	----|--|-------|
la fundaapresse nala	-|----|----||-⌫|--|
rollanzsor	------|--|
bordeauepa s salaiguealonc	------||--⌫-⌫-||----||---|
pontlai or sa inz	---|--|-|--⌫--|
seurinsi ezeit	------|-⌫----|
m aint autrecorsainteturpins	-⌫---|----|--|----||------|
entraen liglis ee	----|-||-----⌫||
troua enzz	----|-|-|
lesren desq ue l iglise	--|---⌫--|-⌫-||-----|
auoite le suertuzq uiestiantapress	----||--⌫|-----|-⌫-|------|----||
enala ro lla nze turp ins	-|--|--⌫---⌫-||----⌫--|
alauilelaior ilaueitlaisséles	|-|---|--|-|-|----|------|--|
dames elesdamesauoientgarni	----||--|----|------|----|
lorsa lecontrelessarra zinsrollanz	--|--⌫-|-----|--|-----⌫---|------|
assalie quie seic onpaingnon	-----|-⌫--||--|-⌫---------|
mol t du rementeunssa rrazinsleua una	---⌫|--⌫-----||--|--⌫------|---|--|
esc halecontrela sale orles	---⌫---|-----|-|---|-|--|
cuid ahi montere	----⌫|-|-----||
rollanz lancezzpaue	------|----|-|--||
ausarra zin q u e	-|-----⌫--|-⌫-⌫|
seficha onmur	-|----|-|--|
quant couirentlisa rra zin se sen	----|-|-----|-|--⌫---⌫--|-||-|
foirente r o llanztrenchales	------||-⌫-⌫----|------|--|
bar roilzd ela	---⌫----|-⌫|-|
porte sicumdeploc	----|-|--|-|---|
sientr a enz iusqu a una	-|----⌫|--|----||--|
ai g ue quiha nom ladeuiseequ i	--⌫-⌫-|--|-|--|-|-----|---⌫|
tro u aguoliasque aiguo lans	---⌫-⌫|------|--|-----⌫---|
hiaueitlai ssé obyymire sa rrazins	-|----|---⌫---|-|-|---|--⌫------|
equifutmoltgranz	---|--|---|----|
labat al ie esiocidrentyymire	-|---⌫--⌫-||-|-------|-|---|
sarr azinsadon csenfui tl i	----⌫----|----⌫||-|---⌫|-⌫|
reisdebugie	---|-|----|
u ers arcaiss onli	-⌫--|-------⌫-|-|
sarrazindel a uilequiuogrent estr e	-------|-|-⌫|---|--|------|----⌫|
bap tiz é nem orire ntmieec il quine	---⌫---⌫-|-|-⌫-----⌫-|--||-⌫-|--|-|
uogrentestraba ptizécil	------|----|--⌫-----|--|
fur entmort quant ka rlessoc que	---⌫--|---|----|--⌫---|--|--|
bordeauseret pris ilui ncob	-------|---|---|-|--⌫-|-|
ses oz efut	--|-||--|
moltdolen sparqu il	---|-----⌫|--|-|-|
s eret irascuz obluipar	-⌫---|------|-|--|--|
guanelon a donc	-------|-⌫---|
fitpaizobs on neuo	--|---|-|-⌫-|---|
ap res turpinsc ercha lesyglises	--⌫--|------|-⌫----|--|------|
de lauilelapra m eireque ce rcha	-|-|---|-|---⌫-⌫---|--|--⌫---|
ce fu iceladesaint seurin	-|-|----|-|----|-----|
meson tenssaintmarcaulaueit	--|-|---|----|-----||----|
edifieeaa benedicteeu lenor	------|-|--------|-||---|
s ai nt sauueore s ainz marcausen	-⌫--⌫-|------||-⌫---|------|-|
fit u naenl	--|-⌫-|-||
enorsaint estein e	---|----|------⌫|
ehi fit zzauter de terra or	|-|--|-|----|-|----|-|
moltprecioses uertuzquar	---|--------|-----|---|
mis sire s ainz marcaus couertitlo	--|---|-⌫---|------|-------|-|
pobledeb ord eaue	----|-|-⌫---⌫--||
aa benedicte	-|--------|
aue itcou erti pa r	---⌫-|---⌫---|--⌫|
l amor de taignequi	|---|-|-----|--|
l ailalaquere lai	-⌫-||--|----|--|
la sainteuergiaque	-|-----|-----|--|
nost rasir es	----⌫-|---⌫-|
balia asa intpie rr eemis s ira	----||--⌫--|---⌫--⌫||--|-⌫--|
sainzpierr esla	----|-----⌫-|-|
baliaamon seignor	----||--|------|
saintmarca u	----|-----⌫|
marcausenresucita zz	------|-|-------|-|
sonco npaignon	--|--⌫-------|
enla uoie de rom ee	-|-|---|-|---⌫||
aaben dicteenfranxittotes	-|---⌫----|-|------|----|
debo rdeau quiesteen t	-|--⌫----|--|------⌫|
a uca nsse t que lis arr azinaoroente	-⌫|--⌫----⌫|--|-|-⌫---⌫---|------||
en gita lodiablequiere ten	-|---|-|-----|--|---⌫|-|
engar it sonmaritqui eret	-|---⌫-|--|----|--|---|
d uxdea uphi libert adon c	-⌫-|-|-⌫|---⌫-----|----⌫|
creig uitphiliberznostraseignor	-----⌫--|--------|-----|------|
f ermement e	-⌫-------||
m issires s ainz	-⌫-|----|-⌫---|
marcaus quantil dep a rtit les	------|----|-|---⌫-⌫---|--|
amouretagn iequ eaa u eronique	|---------⌫-|--⌫|-|-⌫-------|
au oitaportésili balia	--⌫--|------|-|-|----|
una mo l t	--|--⌫-⌫|
granteschipa	----|------|
am adamesai nte	|-⌫|---|---⌫--|
benedicteelautr e partiatramisten	--------|||----⌫|-----|------|-|
