formCicom mence li seconzliures.	---|-|---⌫----|-|-----|-----||
en ceste cruelté so ie nt deltot	-|----|-------|--⌫--⌫-|--|--|
misho rsdeceloffice.	--|--⌫-|-|--|-----||
Lie mpereeurual entinset u aleriens	-|-⌫-------|---⌫-----|-|-⌫-------|
]Se au cuns	|-|--⌫---|
ueulte streau ocatuns	----|-⌫---|--⌫---|--|
iuge et auo cazen	---|-|---⌫--|-|
u ne meismecausequ er ilcouienta uoir	-⌫-|-----|----|--⌫-|-|------|-⌫---|
aucun edifferenceentre	-----⌫|---------|----|
les iugesetlespatrons .	--|----|-|--|------||
Ede uant tot es les	|--⌫---|---⌫-|--|
autreschosestuitliauo chat defendent lespledeeursen tel	-----|-----|---|-|---⌫---|--------|--|--------|-|--|
maniere queilne praignentpascongié	------|--|-|-|--------|--|------|
delesdengi ernede	-|--------⌫-|-|-|
mesdi replus queli p rofizde	-----⌫-|---|--|-|-⌫----|-|
le requiertfacent cequela	-|-------|-----|-|--|-|
causereq uiert etsatr empent det ort	----|---⌫----|-||---⌫-----|-|-⌫--|
Que rse a uc unsestsi	---⌫|-|-⌫--⌫--|--|-|
ianglierresqueilliso itauisquelen	----------|--|-|-|--⌫-|---|--||-|
ne doiep as pledierpar reso nsmes	-|---|-⌫-|------|--|----⌫-|--|
parmesdizil sofferraapeticement de sa	--|-----|-|-------|----------|-|-|
lordoitpas donner	--|---|--|-----|
sigrantlic e nce	-|----|---⌫-⌫--|
queaucunslest labesoigne	--|-----|---|-|-------|
et s entre metedefer ee nnui às on auersai re ou	-||-----⌫---|-|---⌫|-⌫---|-|-⌫-|-------⌫-|-|
enapert ouentraison .	-|----|-|-|------||
Enseurque totl iauoca znefacenulmarchi é	-|---|--|--|-⌫|-----⌫|-|---|--|------⌫-|
nenuleconuenanceo celui queila	-|---|---------||----|--|-||
empr is àdefendre	----⌫-|-|-------|
d e cels àqui il	-⌫|---|-|--|-|
l istàprendrenedespis e	-⌫--|-|------|-|------⌫|
cequecilq ueildef entlidorra par	-|--|--|-⌫-|-|---⌫--|-|----|--|
uolentéporlagrace	-------|--|-|----|
deson offi ce.	-|--|----⌫-||
nalo igneleplet	|---⌫---|-|---|
de songré.	-|--|---||
lacité deRommel iennoréhommequiceloffice	-|----|-|----|-⌫|------|----|--|--|-----|
uoldrontes lire aient congiéde	-------|--⌫---|----|------|-|
defendre causes	-------|-----|
tan tcomiluoldro nts ique il	---⌫|--|-|------⌫-|-⌫|--|-|
nep reignen t pasde ceachesondeg aa i gn ier	-|-⌫-------⌫|--|-|-|------|-|-⌫--⌫-⌫--⌫--|
uilainement ainz q uerent	----------|---|-⌫-----|
p ar ceac roisse mentdeloenge .	-⌫-|-|--⌫------⌫---|-|-----||
sont ataintqueilbee ntà gaa inge t	---|-----|--|-|---⌫-|-|---⌫--|-⌫|
à deniersils eront nombré entrecels	-|------|-|-⌫----|------|----|---|
q uisonttresu il si comme	-⌫-|---|-----⌫-|-|----|
get éet forsl igné.	---⌫-|-|-----⌫----||
Quicumques ueult donc e streauocatde	---------|----|---|-⌫---|-----|-|
c elsàq uinosauons o tr o ié	-⌫--|-|-⌫-|--|----|-⌫--⌫-⌫--|
queillesoien til a pe rs one d auocaz	--|-|-|-----⌫|-||--⌫--⌫--||-----|
sanz plustantcomme ilsentremetdauocatie	---|---|---|----|-||-------||-------|
Et necui t pasaucuns	-|-|---⌫|--|-----|
quesenn eur soitamenuisieeseil	--||---⌫--|---|---------|-|-|
lebesoigd e st ers oiet	-|-----||-⌫--⌫-|-⌫-|-|
lessiél adro iture d esooir .	------|-⌫|---⌫----|-⌫|----||
Cil meis meemper eeurdi ent etli empereresGr aciensdien t	--|----⌫-|-----⌫---|--⌫--|-|-|--------|--⌫-----|----⌫|
] L endoitporuo irqu een	||-|---|-----⌫-|--⌫|-|
tacort cilquisont plus nobl e	-|---|--|--|---|---|----⌫|
ouparmer itesoupar	-|--|---⌫---|-|--|
aagenes oi ent	---|-|-⌫--⌫--|
pas t ui t d unepa rt ie	--|-⌫--⌫||--|--⌫--⌫-|
siqueilcouiegne que lautrepartie	-|--|-|-------|--||----|-----|
s oi tsos tenue parlesrudes et par	-⌫--⌫|---⌫----|--|--|----|-|--|
le sno ui al s .	--⌫|--⌫--⌫--⌫||
E por ceseenun e cort	|--|-|-|-|--⌫|---|
so nt tantseulement deusou p luseurqu isoie ntdeg raign eur	--⌫-|---|--------|---|-|-⌫-----|--⌫|----⌫-|-|-⌫-----⌫--|
renommee queliautreli offices al iugesoit	-------|--|-|----|-|------|-|---|---|
de departirles auocazi ueleme ntsi	-|-------|--|-----|-⌫------⌫-|-|
quelunep ar tie	--||--|-⌫--⌫--|
saide autreta nt	|---|-------⌫-|
com m e lautre .	---⌫-⌫||----||
¶Eseaucuns estquirefu stàedierà	||-|-----|--|--|----⌫-|-|----|-|
aucunedes partiesquantliiuges l	-----|--|------|----|-|----||
en a u r a am o nestépa rtele xcusatio n	-|-⌫-⌫-⌫|--⌫-⌫-----|--⌫|--|-⌫--------⌫|
qui nepuisseestrep roueeilpe rde	--|-|-----|----|-⌫----|-|--⌫--|
l aco rtet s a chequel i	-⌫|--⌫-|-|-⌫-⌫--|--|-⌫|
offic esdauocatiene l iporra iamésestrere ndu z .	-----⌫-||-------|-|-⌫|----|-----|----|--⌫---⌫||
¶E se aucuns de cel squipleden t	||-|-----|-|---⌫|--|------⌫|
es tdescouerzque ilaitf etm archié o	--⌫|--------|--|-|--|-⌫-|-⌫------||
plus eurs à chascunp ar	----⌫---|-|------|-⌫-|
soi etqueilait t oluà	--|-|--|-|--|-⌫--|-|
son auersaire partelbarat pooird	--|--------|--|--|----|----||
au oirautretantdefendeeurs ilm ostresa nzdote queil so stient	--⌫--|--------|----------|-|-⌫----|--⌫-|---|--|-|--⌫-----|
d es loialcaus eetsiaperceuraqueil	-⌫--⌫----|----⌫|-|-|--------|--|-|
a escharni élauctorité aliuge	|--------⌫-||---------|-|---|
Li emp ereres	-|---⌫-----|
Le onsdità unp reuost.	--⌫--|--|-|-|-⌫-----||
Nusne semeteen la	--|-|-|---|-|-|
comp aigniedesauocazne	----⌫-----|--|-----|-|
entacort nee liugementpr oui ncial n e	-|-|---|-|-⌫|-------|--⌫---⌫----|-⌫|
pardeuant au c unautre iuge se iln est e mbeuz	--|-----|--⌫-⌫-|----|---|-|-||--|-⌫----|
des sainzmisteres dela religi on	--|----|-------|-|-|------⌫-|
crestie ne .	-------⌫-||
a utrema niere enta cortparaucun enging	-⌫---|--⌫----|-|-|---|--|----|-----|
tes offices	--|------|
sostendradamagede.	--------|-----|-||
liur esdorpor cond empne me nt	----⌫-||-|--|----⌫-----⌫--⌫-|
Ecil meismesqu icontre nostre	|--|------|--⌫|-----|-----|
sageest ablissement	---|---⌫----------|
oseraemprendrel	----|--------||
of f iced auocatieet	--⌫-⌫--||-------|-|
doteralededefendemen t quiest	-----|-|-|----------⌫|--|--|
deue ezilseraostezdel o ffi cedauocatie	----⌫-|-|---|----|-||-⌫---⌫-||-------|
e tperdra s esbiens etsoste nd ra painedep ardura ble	-⌫|-----|-⌫-|----|-||----⌫--⌫-|----|-|-⌫------⌫--|
E sach ent	|----⌫--|
ligoue rneeu rdescontreesqu e cilenquibaillie ́	-|----⌫-----⌫|--|-------|--⌫|--|-|--|-------⌫|
ce sera fetperdra lamoi tie ́dese sbiens	-|---|--|-----|-|---⌫---⌫|-|--⌫|----|
ets os te ndra paine dessil	-||--⌫--⌫---|----||----|
Cisttyt rese stdesauocazàdiuers	---|---⌫--|-⌫-|--|-----|-|-----|
LiempereresAnt oin es	-|--------|---⌫---⌫-|
Se tu cuidesque	-|-|-----|--|
lipatronsdelacause	-|------|-|-|----|
ait m uee laue rit éet tu l epuez	--|-⌫--|-|--⌫---⌫-|-|-|-⌫|---|
prouer sentence sera do nnee	-----|-------|---|--⌫---|
contreluiporso nm esfet	-----|--|--|--⌫|-⌫----|
et puis orral	-|---|---||
enautrefoiz	-|----|---|
laprincipalc ause.	-|--------|-⌫---||
tu nemostres quei laitmueela	-|-|------|--|-⌫|--|---|-|
uerité tu serasen coupezdefausaccuseme ntet	------|-|----|--⌫-----|-|---|--------⌫-|-|
l eschose squi furentiugiee sco ntre quoi l en	-⌫-|-----⌫|--|-----|------⌫|--⌫---|---||-|
liapel apasser onttenables .	-|----⌫|--|---⌫--|-------||
Liemp e reeurualentins etG racianset	-|---⌫-⌫----|--------|-|-⌫------|-|
ualerians dient.	--------|----||
Nosn euolonspas	--|-⌫|-----|--|
quecilquipa r for ce	--|--|--|--⌫|---⌫-|
doiuentàleurp a ïs seruises	------|-|---|-⌫-⌫--|-------|
et defendementsen esloigne nt neque	-|----------||-|--------⌫-|-|--|
ilail lent	-|---⌫---|
Neporquantnosl e ur otr oionsque il	---------|--|-⌫-⌫-|---⌫----|--|-|
aient es c ausesoff i ces dauocaz etaillen tà	----|-|-⌫----|---⌫-⌫--||-----|-|------⌫|-|
cort enlorproprescitezen	---|-|--|------|----|-|
telma niere	--|--⌫----|
neleur so itpa s	-|---|--⌫-|--⌫|
otroiéàestr econtre le preu	------|-|----⌫|-----|-|---|
delacitéenq uoiil	-|-|----|-|-⌫--|-|
ontcestee nneur.	--|----|-⌫----||
LiempereeurArthemesetHonoiresdi ent .	-|--------|-------|-|-------|--⌫--||
Aucunsdesauo cazqui nest	-----|--|---⌫--|--||--|
pa sliezdes	--⌫|---|--|
lazdela cortne reçoiuepaslesbailliesdes	--|-|-|---|-|-------|--|--|-------|--|
contreessiqueàcelsq uilescouoiteronten	-------|-|--|-|---|-⌫-|--|----------|-|
soit c lose le ntree et à	---|-⌫---||-⌫----|-|-|
celsquinele uoldr ontpas nen	---|--|-|-|-----⌫--|--||-|
soitpasfo rcefete	---|--|--⌫--|---|
L emp ere eurT h eodose etHonoires die n t .	|---⌫---⌫--|-⌫-⌫-----|-|-------|---⌫-⌫||
Liauocatdetacort e td etozle siugemenz	-|-----|-|-|---|-⌫|-⌫|--|--⌫|-------|
puiss entau tresicomelic heualier aque rreàleurpropre seigneurie	-----⌫--|--⌫----|---|-|-⌫-------|----⌫--|-|---|-----|---------|
au tr es icom ele urproprechat elquant que il ont	--⌫--⌫--⌫|---⌫|--⌫-|-----|----⌫-|----|--|-|--|
aqui spar celofficeet par	----⌫|--|--|-----|-|--|
cel e acheson	---⌫|------|
ap résla m ortleurpe re s.	--⌫---|-|-⌫--|---|--⌫--⌫||
LiempereeurDi oclici ans	-|--------|--⌫------⌫--|
et ua leriansdient.	-|--⌫------|----||
Quanqu en os auons do nné parla l argescede no str e co rage	------⌫|-⌫-|----|--⌫---|--|-|-⌫------|-|--⌫---⌫|--⌫---|
as auocazde lagrantpreuosté dOrient por	-|-----|-|-|----|--------||-----|--|
lareuerence	-|--------|
d eleu restuides	-⌫|---⌫|-------|
ce meis mesachent	-|----⌫-|------|
lipatron des causesdelano ble	-|-----|--|-----|-|-|--⌫--|
preu osté durbicaire qui	----⌫----||--------|--|
leurestdo nnépar	---|--|--⌫---|--|
cest present establi ssemen t.	---|------|-------⌫------⌫||
Cilmeismeempereeurdie nt .	--|-----|--------|---⌫-||
Nosestablisson squenu lecure	--|-----------⌫|--|--⌫-|---|
neso iteniointene	-|--⌫-|-------|-|
partapre uosténe	--|-|---⌫-----|-|
p ar autreiugeasauocaz	-⌫-|----|---|-|-----|
deuant toidoiuen t ma intenir lescausesea ucuns	-----|--|------⌫|--⌫------|--|-----||-⌫----|
necuitpas quenule chosedo ieest re	-|---|--|--|---|----|--⌫-|---⌫-|
e niointeasauocaz de scontrees	-⌫------|-|-----|--⌫|-------|
ne à cels	-|-|---|
Nulemaniere d e se ruisenesoit	---|------|-⌫|--⌫----|-|---|
donce nio intea sauocaznen ule autrechose	---|-⌫---⌫---|-⌫|-----|-|-⌫--|----|----|
nel eur soitcommandeefors iugement en	-|-⌫--|---|--------|---|-------|-|
celleutan tseulementoùil on tloffice	--|--|---⌫|--------|--|-|--⌫||-----|
dauocatie.	|-------||
Etlioff ice squie ssaier a	-|-|---⌫---⌫|--|-⌫------⌫|
a ̀ bruisier l esruelesde cesteloisofferra	-⌫|-------|-⌫-|-----|-|----|--|-------|
Cilmeismeempereeu rdi en t.	--|-----|--------⌫|--⌫--⌫||
Nosi uionsquel auocatiedela tresnoblep reuostéd	--|-⌫----|--||-------|-|-|--------|-⌫-------||
Illir e aitautretexpriuilege setau tretexqu it ancecom me	-----⌫|--|-------|---------⌫|-|--⌫-----|--⌫--⌫---|---⌫-|
lauocatiede la hautepreuo st é	|-------|-|-|----|-----⌫--⌫-|
dOrien t a.	|-----⌫|||
Cilmeismeempereeurdient.	--|-----|--------|----||
Porce que l au oc ati e dela	----|--||--⌫--⌫---⌫|-|-|
preuostécomprise parlenombre d e	--------|-------|--|-|-----|-⌫|
auoca z quine	-----⌫|--|-|
pu entestrecr euzna petici ez	--⌫--|----|--⌫--||-⌫------⌫-|
no sc ommandonsquecil qui	--⌫|-⌫--------|--|--|--|
compaignieuienent àestr epatron	---------|------|-|----⌫|-----|
des cho sesquiapa r tienentàla bo r se	--|---⌫--|--|---⌫-⌫------|-|-|--⌫-⌫-|
lempe reeursoi ent	|----⌫----|---⌫--|
gardéfrancdes lazdetoteuil cond itionetil	-----|----|--|--|-|---|--|----⌫----|-|-|
eli fi l que ilontengendrez ouqueil	|-|--⌫|--|-|--|--------|-|--|-|
engenderron t .	-----------⌫||
Epuis qu ei lau rontmis	|---|--⌫|-⌫|--⌫---|--|
ius celofficeet unsanzse raaco m pli zil se	--|--|-----|-|--|--|--⌫-|---⌫-⌫---⌫|-|-|
departentdela compai gnieasauocazetsoiento	--------|-|-|------⌫---|-|-----|-|-----||
lescont esdenostre cons ist oire.	--|----⌫-|-|-----|----⌫---⌫---||
Esicomman dons	|-|------⌫---|
parl auctor ité dece stel oi quetot	--||------⌫---|-|--⌫--|-⌫-|--|--|
ceque liauo cat deta hautecort porront	-|--|-|---⌫--|-|-|----|---|------|
conq uerreparaucun casouparau cunti tre	----⌫----|--|----|--|-|--|--⌫--|--⌫--|
soie ntleu rautresi comme leur	----⌫-|---⌫|------|----|---|
proprenequenusd el eurlignage	-----|-|--|--|-⌫|-⌫--|------|
ch ale n genul edr oituresiquetotes cez c hosessoie nt tenable s	--⌫---⌫-⌫-|---⌫|--⌫-----|-|--|----|--|-⌫----|----⌫-|-------⌫|
enlauocatie	-||-------|
d el apreuosté d	-⌫|-⌫|--------||
urbicai re .	-------⌫-||
Cilmeismeempe reeu r	--|-----|----⌫----⌫|
desauocaz de tahautecortou de	--|-----|-|-|----|---|-|-|
lapreuoste ́d Illire oudurbicaire oudecels	-|--------⌫||-----|-||--------|-|-|---|
quidefenden tle s	--|--------⌫|--⌫|
causesesiugeme nzdes	-----|-|------⌫-|--|
co n treesr eçoit	--⌫-⌫----|-⌫-----|
parl eslectiondec onsieg eledonet la poes té	--||--------|-|-⌫------⌫|-|--|-|-|----⌫--|
de gouerner	-|-------|
aucune contreequant ilauratenu es a baillie	-----|------|----|-|---|----⌫|-⌫|------|
enterig nement et sanzaucuncorrumpe m entde sa renommeeil ait	-------⌫-----|-|---|----|--------⌫-⌫--|-|-|-------|-|--|
po estéde	--⌫----|-|
r eueniràl o fficedoncilfuostez etde	-⌫-----|-||-⌫----|---|-|-|----|-|-|
quoiil solo itgaagnie rce	---|-|----⌫-|-------⌫|-|
que mestiersli ert n eil ne lisoitpas	--|-------|-|--|-⌫|-|-|-|---|--|
defenduparaucuneenuieq ue ilne	------|--|-----|----|-⌫-|-|-|
puissen t dere chiefdefen dre causesc ommedeuant	-------⌫|----⌫----|-----⌫--|-----|-⌫---|-----|
Liempere eur	-|------⌫--|
An toin eset Marcdient.	--⌫----⌫-|-|---|----||
Noscommandonsqueli	--|---------|--|-|
du iauocat	--⌫|-----|
quisonttroué plushaute ntacortsoient esleu	--|---|-----|---|---|-⌫|-|---|-----|----|
chascunt ierzanaldefendementde	------|-⌫---|-|-|----------|-|
labo rsel empereeuroceles mei smes	-|--⌫--||--------||----|---⌫---|
ens eignesdedignité	---⌫-----|-|-------|
etdepri uilege s qu eci lauoit	-|-|---⌫------⌫|--⌫|--⌫|----|
qu i deuantceestoittozseusfe z p a tro nset	--⌫|-----|-|-----|--|---|--⌫|-⌫-⌫---⌫-|-|
defen d erresde laborselempereeu r	-----⌫-⌫----|-|-|----||--------⌫|
L iempe rere sLeonsdit.	-⌫|----⌫----⌫|----|--||
] Nosestablissonsqueil ne liseàn ulà	|--|-----------|--|-|-|---|-|-⌫-|-|
ac ompaignierau cu nen	--⌫---------|--⌫--⌫|-|
loff icedauocatie	|---⌫--||-------|
au ocazque lah autepre uosté	--⌫---|--|-|-⌫---|---⌫-----|
pr endraàso nt conseil.	--⌫----|-|--⌫-|------||
Enusnesoit aut rementac o mpaigniez	|--|-|---|---⌫-----|--⌫-⌫--------|
a ̀la compaignie	-⌫|-|---------|
desa u ocazde ton siegese il nemostre	--|-⌫-⌫---|-|--|----|-|-|-|-----|
gouerneeurdelacontr e edontil	---------|-|-|-----⌫-⌫|---|-|
fu nezt e l chosepar q uoiilap eire qu eil	-|--|-⌫-⌫|----|--|-⌫--|-|--⌫---|--⌫|-|
nest passoz mi sa ̀uil	|--|--|---⌫--⌫|-⌫|--|
c ondi tionneà lafortune	-⌫----⌫---|-|-|-|------|
d esmenues genz se li	-⌫-|-----|---|-|-|
ligouernierresdela cont ree està	-|-----------|-|-|----⌫--|--|-|
examinerl eeseiln isont il le	-------|-⌫||-|-|||---|-|-|
facepardeuantl e defendeeurde l chasteldo ntilest	---|--|-----|-⌫|---------|--⌫|------|--⌫-|-|--|
Esiuolonsqueli mestrededroit	|-|-----|--|-|-----|-|----|
iuren t et tesmoig nentpar escritquecil	-----⌫|-|-------⌫---|--|-----|--|--|
quiueltestremisen l acompaign ie des auocaz	--|---|----|--|-|-⌫|--------⌫-|--|-----|
set a ssezde	--|-⌫---|-|
droitesiuolonsque	----||-|-----|--|
auoc azdetahautecequi	----⌫-|-|-|------|--|
ormaint ienent	-|-----⌫-----|
lescaus es	--|----⌫-|
ouquidecie nauantles	-|--|-|-|-⌫|----|--|
ma inte n drontsoientpardeuant le sa utresen	--⌫----⌫-⌫----|-----|--|-----|--⌫|-⌫----|-|
cel nom bre.	--|---⌫--||
quetot no suol onsque illis eàcels	--|--|--⌫|---⌫--|--|-|---⌫|-|---|
q uiserontt rouéles .	-⌫-|-----|-⌫----|--||
tons iege àmaintenircause spar de uantleuisconte	--|-⌫---|-|--------|-----⌫|--|--⌫---|-|-------|
oup ardeua ntlepreu ost delsiegelempe reeur	-|-⌫-|----⌫-|-|----⌫--|--|----||----⌫----|
o upar deuantle conted	-⌫|--|-----|-|----||
Orien toupa rdeuantlesuic aireso u pardeuant	-----⌫|-|--⌫|-----|--|---⌫----|-⌫|--|-----|
lesgouerneeu rsdesc o nt rees.	--|---------⌫-|--|-⌫-⌫--⌫---||
Cil meismeempereresdit.	--|-----|--------|--||
No se stab l is sonsqueil	--⌫|-⌫----⌫-⌫--⌫---|--|-|
nesoitpasentoniugement en	-|---|--|-|--|-------|-|
qu anzanz lipatrons	--⌫--|--|-|------|
lempereeur	|--------|
a it parfet son	-⌫-|-----|--|
offi ceainzuolonsq u eillefeni sse en	----⌫-|---|-----|-⌫-⌫|-|-|----⌫--|-|
de usanzseulonc	--⌫-|--|------|
lancienecostume sanstozle s priuilegesq ueliprince	|------|------|---|--|--⌫|---------|-⌫-|-|-----|
enarriere s otroierentàc elecom pai gni e	-|-------⌫|---------|-|-⌫--|---⌫---⌫---⌫|
Liemper ere sLeons dit.	-|-----⌫---⌫|----|--||
]Nosauonspardroit	|--|----|--|----|
r e ceula requesteasauocazdelanob le	-⌫-⌫--|-|-------|-|-----|-|-|---⌫-|
c i téd Ali xandre	-⌫-⌫--||---⌫-----|
queil no s ontenuoieedel as em blee	--|-|--⌫|--|------|-||--⌫--⌫---|
d eleurco rtetdelpatron aschosesqu iapartienent	-⌫|---|--⌫-|-|--|-----|-|-----|--⌫|----------|
