siqueseuent	-|--|-----|
t esgansfaitile st depeciez	-⌫-|---|---|-|-⌫-|-------|
autrefoi s soies	----|---⌫|----|
c hastoiez	-⌫-------|
q uautru in e uue llesmal	-⌫|-----⌫|-⌫|---⌫---|--|
quis o r toidoiereuer tir	--|-⌫-⌫|--|---|-----⌫--|
telsporc hascelo umal daut rui	---|----⌫----|--⌫|--||---⌫--|
me isme uientsorlui	--⌫---|----|--|--|
siconli leusfistdelgolpil	-|--|-|---|---|--|-----|
que i luo loit	--|-⌫|--⌫---|
mettreaessi l	-----||----⌫|
d ungolpiluosreconte	|-|-----|--|------|
cun eo rse trou aetuit	|--⌫|-⌫--|----⌫|-|--|
fo rmentl ipriaet requist	--⌫----|-⌫|---|-|------|
q u elesof fris t	-⌫|--|---⌫----⌫|
quil li feist	-|-|-|----|
taisfaitelem auais g olpis	---|---|--|-⌫----|-⌫----|
qu etan tpareschaitis etuis	--⌫|---⌫|--|-|------|-|--|
iesuifaitil telsconie suel	-|--|---|-|---|--|-|---|
se l teif er aimalgreitonuuel	--⌫|-||-⌫--⌫-|------|--|---|
orfu faitelelaiester	-|-|---|--|--|----|
s e ieten oi maisparler	-⌫|-||-|-|---|-----|
tenirporas	----|----|
ba t raia monbast on	--⌫-⌫--||--|----⌫-|
tantla li g olpise nchauci ee	---|||-|-⌫----|-⌫-------⌫-|
quelo rcec estoit correcie	--||-⌫--||-----|-------|
aprescorrut porluferi r	----|-----|--|-|----⌫|
etilfo i porli	-|-|--⌫|--|-|
t an t quill	-⌫--⌫|-|-||
amen ee elboisson	|---⌫-|-|------|
lesespinestot	--|------|--|
lo ntatachie	|-⌫-|------|
etenco nbree	-|----⌫----|
et pa r lapellontd eti r ee	-|--⌫|-|--||--|-⌫---⌫-⌫-|
n epotauant aler	-⌫|--|----|---|
n e por nulle	-⌫|--|----|
rien retorn er	---|------⌫-|
l ors re uint ligolpisarriere	-⌫--|--⌫---|-|-----|------|
sil asa llie	-|||--⌫---|
perderiere	--|------|
lorseconmencaa	|---|-------||
etlirepristademander	-|-|------||-------|
ma luaisgolpisquef eras	--⌫----|-----|--|-⌫---|
l orsaligolpisrespon du	-⌫--||-|-----|------⌫-|
c ed ontfaiil ietaipr oiee	-⌫|-⌫--|--|-|-||-|--⌫---|
dont ie tauoie menaciee	---|-||----|-------|
bie nd oit estreetremanor	---⌫|-⌫--|----|-|------|
ce queprodom d iraporuoir	-|--|-----|-⌫--|--|---|
e stila uis	-⌫-|-|-⌫--|
quelorparolle estentrepr is	--|--|------|--|-------⌫-|
conli en gin sde maintes ge ns	--|-|--⌫---⌫|-|------|--⌫-|
qui pa r con selfal lent	--|--⌫|---⌫--|---⌫---|
unslionsfu dema l	--|----|-|-|--⌫|
siatozcesbarons	-||--|--|-----|
miresuoloitquilli queiss ent	----|-----|-|-|-|------⌫--|
qued esad olorlou gu arissent	--|-⌫|-|-⌫---|--|--⌫-------|
dientn engerraia	----||-|----|-|
se cu erdeserf	-|--⌫-|-|---|
amaingierna	|-------|||
lorsassemblason par lement	---|-------|--|---⌫-----|
louse rfmandentni uint niant	--|--⌫-|------|||---|----|
que siparent etsiami	--|-|-----|-|-|--|
lenauoien tdeu ant	|-|------⌫|---⌫--|
une autrefoiz ifu	--|----|---||-|
etil iuint tozeffreez	-|-||---|--|------|
dontli distrentqueiluoloient	---|-|-------|--|-|-------|
soncuerauoirsi	--|---|----|-|
lou si eroient	|--⌫--⌫------|
liserflo isis en al a	-|---||-⌫|-||-|--⌫|
eta peinn essen escha spa	-||-----⌫-||-|-----⌫--|
latiercefoiz	-|-----|---|
ler emanderent	-|-⌫---------|
iuint siloutueren t	|---|-|--|------⌫|
ainsqu e ilparf ustesco rch i ez	---|--⌫|-|--|-⌫--|----⌫---⌫-⌫-|
estligol pist antaproch iez	--|-|---⌫--|-⌫--|------⌫--|
quillorauoi t louc uer emblé	-|-|--|----⌫|--|-⌫--|-----|
si lotmaingiéetdeuoré	-||-|-------|-|------|
conil l en uo loientp or ter	--|-||-|--⌫-----|-⌫--⌫--|
sinenporent	-||-|-----|
miet rouer	--|-⌫----|
et entr azentien nentlor plait	-|---|-|-|----⌫---|--|----|
sideman dentquiceatfait	-|-----⌫---|--|-|-|---|
quiloucuerlorauoi temblé	--|--|---|--|----⌫|-----|
faithon teet uilte	---|---⌫-|-|----|
lesbestesquiestoi e ntpr es	--|-----|--|-----⌫-⌫-|--⌫-|
sorentlou golpi zetengres	-----|--|-----⌫|-|-----|
afell oneta	|----⌫-|-||
dient qui le	----|--|-|
cueramai ngié	---||---⌫----|
lorsontl e	---|--|-⌫|
golpiz apellé	-----|------|
se li ontloucue rdemandé	-|-|--|--|---⌫|-------|
illoriurapar s airement	-|--|---|--|-⌫-------|
quil nel auoiteuneant	-|-|-||----|-|----|
signo rfai t ilaf ierai	-----⌫|---⌫|-|--⌫----|
que on que slou cuernemania	--|--⌫---⌫|--|---|-|----|
piresseroitd	----|-----||
au trebest e	--⌫--|----⌫|
l enmede uroitcoperl ateste	|-|-|--⌫----|----|-⌫|----|
s encontrelou	|-------|--|
ma lausignor	--⌫|-|-----|
eusse f aitteldeso nor	----|-⌫--|--|----⌫--|
or e nalonsdeuantleroi	-|-⌫|----|-----|-|--|
et si uenez tuit auecmoi	-|-|----|---|---|--|
endesrainera i	-|----------⌫|
n ense ra ime screuz derie n	|-|--⌫--⌫|--⌫-----|-|---⌫|
lorsenuont deuantlebar on	---|-|---|-----|-|---⌫-|
s ilor mostrerentlar aison	-⌫|--|---------|-|-⌫----|
dient qu il	----|-|-|
lors aligolpi srespon du	---||-|-----⌫|------⌫-|
sirefa itilcem est auis	---|--⌫-|-|-||--|---|
iluuelent met reen	-|------|---⌫-|-|
ceuqueian ert non ques nefu	--|--|-||--||--⌫---|-|-|
ne qu eiamaisne ertue u	-|--⌫|-----|-|--|--⌫|
conlicers fua cor t	--|-|---|-||---⌫|
etpor o cirea raisonnez	-|--|-⌫---|-⌫--------|
peinneeneschapa	-----|-|------|
quantlatercefoizrepaira	----|-|----|---|------|
sa chiez ilnauoitmiecuer	--⌫----|-||----|--|---|
que ilneueni stanulfuer	--|-|-|----⌫-||--|---|
s en s cuerfu etsensr emembranc e	-⌫--⌫|---|-|-|---|-⌫---------⌫|
porcereuintpar obliance	--|-|-----|--|-------|
seroiedeslo ials	-----|-----⌫---|
tropseroiemaluai s et f al s	---|-----|------⌫|-|-⌫--⌫|
seencontreuos tresan te	-|-------|---⌫--|---⌫-|
loreu sselo ucueremblé	--|--⌫--|--⌫|---|-----|
lilyonsrespont uo iradit	-|----|------|--⌫-||--|
l austia n i	|---|-|||
bien deu on slougolpillessi er	---|---⌫--⌫|--|-----|-----⌫-|
quesainssenpuiss erepairier	--|----||-|-----⌫|--------|
parmeismecester a ison	--|-----|----|-⌫-⌫---|
quant folspre ntsaigeaconpa gno n	----|---|---⌫-|----||-----⌫---⌫|
s aucune rien u uellentp artir	|-----|---|-⌫------|-⌫----|
lisai ges uuetlem extenir	-|---⌫--|---|-|-⌫-|----|
saparo llel autredecoit	-|----⌫--||----|-----|
lamensonge	-|-------|
poruerteicroit	--|-----|----|
dite t d elur icon	--|-⌫|-⌫-|--⌫---|
q ueiadis fure ntconp agnon	-⌫-|----|----⌫-|----⌫----|
lie ricon sd euo it estre	-|-⌫-----⌫|-⌫---⌫-|----|
contreles chien s et	-----|--|-----⌫|-|
alule sdeuoitfaireentendre	|-|--⌫|-----|----|-------|
quantlileusi roi tproieprendre	----|-|---|-⌫---⌫|----|------|
etlileus de uoitluaidier	-|-|---|--⌫---|-|-----|
c onilenuarr oit loum estier	-⌫-|-|-|----⌫--|--|-⌫-----|
zz aignial pristlil eus	-|------|----|-|-⌫--|
sil escrie rentlipastor	-||------⌫---|-|-----|
etli chie n	-|-|----⌫|
l aloienthuant	|------|----|
etil al a au boisf uant	-|-|--⌫|-|---|-⌫---|
l ehericon letentre pris	-⌫|------|--|-----⌫---|
ape lleetditamis	---⌫--|-|--|---|
por amor deu	--|---|--|
u ienmoi aidier	-⌫--|--|-----|
tune m idoi smie	-|-|||---⌫|--|
li leusatditaid e	-|---|-|--|---⌫|
queiaconseil n	--|-|------||
auras parmo i	----|--|--⌫|
liericonslaescrié	-|------|||------|
ames enfanspo ezcont er	|--|-----|--⌫-|----⌫-|
etpare nse gnes reme mbre r	-|--|-⌫---⌫---|----⌫----⌫|
quep oure so nt etorfelin	--|-⌫---|--⌫-|-|------|
lileusbaisele	-|---|----|-|
etil sahert	-|-||----|
aso ngreg non	|--⌫|----⌫--|
ace sleurescesta fichi ez	|--⌫|-----||--|-⌫-----⌫-|
ocesbrochesetafichiez	|--|------|-|-------|
uolsistouilda gnast	------|-|-|--⌫----|
orl i est utquill ouportast	-|-⌫|---⌫-|-|-|-⌫-|------|
co n ils enfuol uuenuz	--⌫|-||-|-||-⌫|----|
li herico nsestdescend uz	-|------⌫-|--|-------⌫-|
des orzz c hesne est monte z	---⌫-|-|-⌫----|--|-----⌫|
l ors estoitli	-⌫--|-----|-|
lous regard ez	---|------⌫-|
silli priaqu	|-|-|---|-|
i l desc en di	-⌫|----⌫--⌫-|
deuant les chiensetde f fendist	-----|--|-----|-|--⌫-⌫------|
li he rico nsresponta tant	-|--⌫----⌫-|------||---|
ami s faitiluat	---⌫|---|-|-||
s aol l etoi deton	-⌫---⌫-⌫|--|-|--|
la charenaieset lapel	-|---|-|---|-|-|--|
setutepuezici garir	-|-|-|---|--|----|
q ua to inequier niant p artir	-⌫||--⌫|-|----|----|-⌫----|
sem eussesorans	-||-----|----|
mais iet ai bi ensoruezié	---|-||-|--⌫-|--------|
c epuet len ueoi rde	-⌫|---|--|----⌫|-|
qu iuuettrair sonc onpag non	--⌫|---|----|--|-⌫-----⌫--|
ilmeis m es estenconbr és	-|----⌫-⌫-|--|-------⌫--|
autreestdeliurez	----|--|-------|
del uilai netdel serpent	--|-----⌫|-|--|------|
uos m oste raiconfaitement	--|-⌫----⌫--|-----------|
orenten sembl eco npagni e	----|--⌫-----⌫|--⌫------⌫|
etloialtei et foipluuie	-|-------|-|--|-----|
l iuilainsa userpentp roia	-⌫|------|-⌫|------|-⌫---|
etpa r amorlicon manda	-|--⌫|---|-|---⌫----|
quel ataportas t	--|-⌫-|-------⌫|
zzfoislouior pa r t el	-|---|--|--|--⌫|-⌫-|
que grant se nliensegneroit	--|----|--⌫|-|----------|
et qu erichehome lou feroi t	-|--⌫|----|---|--|-----⌫|
se limostraouelefu	-|-|-----|-|--|-|
et oueleotlonc tens geu	-|-|--|-|---|---|--|
l i uilainsnapas oblié	-⌫|------|||--|-----|
quelatneliaap or té	--|--|-|-||--⌫--⌫--|
ensegnason tresor	------|--|-----|
s a t e rr el ia faitarer	-⌫|-⌫-⌫--⌫|-⌫||---|---|
s eliensegnaas emer	-⌫|-|------||-⌫---|
tant lidonaoretargent	---|-|---|-|-|-----|
que meruelleu inta	--|-------|-⌫--||
masbienli dist	--|---|-|---|
quello uperdroit	-|-|--⌫|-------|
de quele orequ	-|----|--|-|
eleuoldroit	--|-------|
s e deniantlimeffaisoit	-⌫|-|----|-|---------|
que bienetmalfa ir e	--|---|-|--|--⌫--⌫|
liuilains alaenmaison	-|------|--|-|-----|
safemmecont ala raiso n	-|----|----⌫|-|-----⌫|
qu ilotoi de	-|-|-|-|-|
elerespont hastiuem ent	--|------|--------⌫--|
sei luolo itsoncons eil croire	-|-⌫|----⌫-|--|----⌫--|-----|
qu ilenporoitaboin	-|-|-|-----||---|
chieftr ere	----|--⌫--|
oci ela siferabien	---⌫|-|-|---|---|
puiz n e ladotera der i en	---|-⌫|-|-----|-|-⌫-⌫-|
endou teenest	-|---⌫-|-|--|
biensedoi t deliurerde li	---|-|---⌫|-------|-|-|
n aura d outed esonmalfait	|---|-⌫---|-⌫|--|------|
lou boc e l lipo rt	--|---⌫-⌫|-|--⌫-|
plain de lait	----|-|---|
etpuizsasice a terre ius	-|---||----||----|--|
etpuiz se traiezz	-|---|-|----|-|
ser pens ira auant	---⌫---|--|----|
s ahachetiegnetlatr enchant	-⌫|----|------|-|--⌫------|
ai tre courement	--⌫|--⌫--------|
liu ilainsdit que	-|-⌫-----|--|--|
lou letapris atotsenua	--|--||---||--||-|-|
lou bocelmist d eua ntlapiere	--|----|---|-⌫---⌫-|-|----|
entres tzzpoi arriere	-|----⌫|-|--|------|
li serpent ui nt que uolo it boiure	-|------|--⌫-|--|----⌫-|-----|
etli uilai n slauotdescoiure	-|-|-----⌫-⌫|-|--|--------|
la ha chehauceporferir	-|--⌫--|----|--|----|
et eleoi l ou co pu enir	-|--|-|-⌫-|--⌫|-⌫---|
enlapiererentr a	-|-|----|-----⌫|
etliuil ainss en	-|-|---⌫---||-|
ne demora que	-|-----|--|
landem ain	------⌫--|
berb i s auuilain	----⌫-⌫|-|-----|
furent illue c	-----|-----⌫|
mortestrouees	-----|------|
l is erp enslesacor ees	-⌫|-⌫---⌫--|--||---⌫--|
son enfan tociste lbercuel	--|-----⌫|----|-⌫|------|
dontli uila insa uoitgrant duel	---|-|----⌫--|-⌫---|----|---|
etparmaltalent etparire	-|--|--------|-|--|--|
asafemm ec onmencea dire	|-|----⌫|-⌫------||---|
cizmausesta uenu spar	--|---|--|-⌫----⌫|--|
femme f aitilconcellemoi	----|-⌫--|-|-------|--|
tue s donécons el demal	-|-⌫|----|----⌫-|-|--|
felloncruel etdesloiaul	-----|----|-|--------|
e lerespontason baron	-⌫-|------||--|----|
iene saiconseilneraison	-|-|--|------|-|-----|
fors tant quete	---|---|--|-|
uoise sali	-----⌫||-|
selicriepor deume rci	-|-|---|--|--|--⌫--|
auu ilai n esttart quelia ut	-|-⌫----⌫|--|---|-|-||-⌫-|
plai nbocelp ristdele ttot chaut	----⌫|----|-⌫---|-|--⌫|--|----|
la serpent	-|------|
ene stuenusdoutousement	-|-⌫-|----|-----------|
sacolpe batmercicria	-|----|--|----|---|
etliserpensli de manda	-|-|------|-|--⌫----|
queilq uer oitatotsonlet	--|-|-⌫---⌫--||--|--|--|
m erci fai t il de	-⌫---|---⌫|-|-|
m onforfet	-⌫-|-----|
quenossoonsanc iamis	--|--|----|---⌫|---|
con no s auons esté iadis	--|--⌫|----|----|----|
autr ementnosd eon s amer	----⌫----|--|-⌫---⌫|---|
setumeuuezle taporter	-|-|-|---|--⌫|------|
anciconmepr imesfois	---|----|--⌫---|---|
iltiertrenduie	-||---|----|-|
loulaitmetr as a	--|---|----⌫-||
mon pe rtuz	--|--⌫---|
e tp uiz s e tetrair ase n suz	-⌫|-⌫--|-⌫|-|-----⌫-|-⌫|--|
net euueliau eorsi	-|-⌫|---|-|-⌫--|-|
q ue ie n etecroiraiiames	-⌫-|-|-⌫|-|------|----|
nesai conmen tietecroiroie	-|--|------⌫|-|-|-------|
tantcon en cestepiereuo ie	---|--|-|----|----|--⌫-|
loucopquetahache fer i	--|--|--|-|----|---⌫|
etieresatres	-|-|---|---|
quen t loubieruer rasdeu antti	----⌫|--|---|---⌫--|---⌫--|-|
otesenfes fumorspo r m oi	|--|----|-|---|--⌫|-⌫-|
qued em oit estuet rememebrer	--|-⌫|-⌫-||-----|---------|
tunemed ois pasobl i er	-|-|-|-⌫--|--|---⌫-⌫-|
seloncic estemeses tance	-----|--⌫---|-----⌫----|
t el eamorettel bie nuolance	-⌫--⌫|---|-|--|---⌫-------|
conentr enosdeuons	--|----⌫|--|-----|
sans m a lfai reet sens mal	---|-⌫-⌫|---⌫-|-|---|--|
ice st otroiquenos	---⌫-|----|--|--|
si que iamaisnenos cr eon s	-|--|-----|-|--|--⌫---⌫|
e nc iestsouent a uenu	-⌫--⌫|--|-----|-⌫---|
de pluso rsfemes	-|-----⌫-|----|
que s iconselle	--|-⌫|-------|
lor signor	--|-----|
qui lorreuien t	-||--|------⌫|
mainte femmec onseillea faire	-----|----|-⌫-------||----|
se dontplu so r uoi tamort traire	-|---|---⌫--⌫|---⌫||---|-----|
sageshomnedoit pasentendre	----|--|-|---|--|-------|
nafolefemmec onsel p rend re	||---|----|-⌫----|-⌫----⌫-|
co nf ist icilp arsa	--⌫|-⌫--|---|-⌫-|-|
cedonti lottraualet	-|---|-⌫|-|-----|-|
mo lt eustau oirga agnié	--⌫-|---|--⌫--|--⌫-----|
eustforconsillié	---|------------|
iad isfusi engordelis	---⌫-|-|-|---------|
limu lez qu esa mble soris	-|--⌫--|--⌫|--⌫---|----|
qu i lne uoloitens onpar age	-|-⌫|-|-----|-|-⌫-|---⌫--|
en sonsemblantenson l ignage	-|--|-------|-|--|-⌫-----|
fam etrouerqueil p reist	---⌫|-----|--|-|-⌫----|
aura fam esedist	---|---⌫|-|---|
que estse dontli	--|--|-|---|-|
mulsrespont	---|------|
adontplusf ort	|---|---|-⌫--|
entotlo u mont	-|--|--⌫|---|
oil faitel e	--|---|--⌫|
dedensmoi gi tet	-----|--|--⌫|-|
f aitsezniz	-⌫--|--|--|
aenmoisifortmo rtier	|-|--|-|---|--⌫----|
qu elenepuisse trepercier	-|--|-|-----|---------|
fuit e tdesoruient	---|-⌫|----|----|
nu le ch ose nela detient	--⌫-|--⌫--|-|-|------|
li mul es ditconmentchaeles	-|---⌫-|--|------|------|
or aio i dures noueles	-|-|-⌫|----|------|
i ecuidoiesihautmonter	-⌫|------|-|---|-----|
or me conuienta	-|-|-------||
etaclineram ana ture	-||-----||-⌫|--⌫---|
texestdistlatorzauentur e	--|--|---|-|---|-------⌫|
maisone tsiretien	-----|-⌫|-|-----|
uuellespornule rien	------|--|---|---|
plusdesprisier	---|---------|
secuid ees saucier	-|----⌫|--⌫------|
outres ondroitetaleuer	----|-⌫-|----|-|-----|
ke plus b aslestuetretorner	-|---|-⌫-||-----|-------|
ianesaur assi l oinga ler	-|-|----⌫-|-|-⌫---|-⌫--|
quetupuisses fa me	--|-|------|--⌫-|
quiia soitsia ton el ite	--|-|---|-||--|--⌫--|
conlasoris ete pe ti te	--|-|-----⌫--|--⌫--⌫-|
einsia u ienta s orgueillous	----|-⌫-⌫---|-⌫|----------|
assorcui di ezas enuu ieus	-|------⌫--⌫-|-|----⌫---|
qui sequierentque ne	--|-|-------|--|-|
la reuertent ou ne	-|--------|-|-|
u ouroi ent	-⌫-----⌫--|
dun escharbotconte et	|-|--------|----|-|
tro uéenescrit	---⌫--|-|-----|
enzz fu mier	-|-|--⌫---|
con il fusaous demen gier	--|-|-|----|-|---⌫---|
etamo ntgarda	-|---⌫-|----|
siuitlaigreconi l u ola	-|--||----|--|-⌫|-⌫--|
moltparloutie nt	---|--|--|---⌫-|
a orgui lleus	|-----⌫----|
en son cuerestoitenuieus	-|--|---|-----|------|
as autresescharbos ledist	-|-----|--------|-|---|
quelorespo ndeslor mefis t	--|--|----⌫---|--|-----⌫|
laigleauoitcortois	|----|----|------|
neuerneoi sel	-|--|-|--⌫--|
saoul neporroienta le r	----|-|--------|-⌫--⌫|
neu erneporoie ntuole r	-|-⌫-|-|------⌫-|----⌫|
ai esgardét o t e ior	-|-------|-⌫-⌫-⌫|--|
tenonstuit	-----|---|
ase i g nor	|--⌫-⌫-⌫--|
s i ha utuolaque ne	-⌫|--⌫-|---|--|-|
u int embas	-⌫--|-|--|
uoisetbasseetcoi e	---|-|----|-|---⌫|
nestpasplush a ute	|--|--|---|-⌫-⌫--|
autresiestmes co rsluisa nz	------|--|--|--⌫-|-----⌫-|
conestl isuens tot	--|--|-⌫|----|--|
ne eniuern e e n	-|-|---|-⌫|-⌫|
ne welmaisen fu mierentrer	-|--|---|-|--⌫---|-----|
oautresoisiausu ueluoler	|-----|------|-⌫--|----|
si coni luiuront	-|--|-⌫|------|
etirai laou il	-|---|-|-|-|
ado ntconmencaa chanter	---⌫-|-------||------|
et m oltla id ementa	-|-⌫--|--⌫--⌫----||
der rierelaiglefistz zsaut	---⌫----||----|---|-⌫|---|
queilcuidauoler	--|-|----|----|
ai nzquilfutgaires alez	--⌫-|-|-|--|-----|---|
estordizfuet	-------|-|-|
nep ooitmi e	-|-⌫---|--⌫|
hautmonter	---|-----|
nasonfumiera ss ener	||--|-----|-⌫--⌫---|
fa imauoitetme ngie ruoloit	--⌫-|----|-|--⌫----⌫|-----|
etpar destrecesepleingnoit	-|--|-------|-|---------|
nel icha loitsoisiausloi s t	-|-⌫|---⌫---||------||--⌫-⌫|
ne seli zzd au s l	-|-|-|-||--⌫||
esc harnis t	---⌫------⌫|
nia n tp lus quefaita ugo rpil	---⌫-⌫|-⌫--|--|---|-⌫|--⌫---|
quant le sb estesloutiennetuil	----|--⌫|-⌫----|--|------|--|
orneme chaut	-|-|-|----|
qu eshomm etien gne	--⌫-|--|-⌫|----⌫--|
uersouoisiausmaisque ieuie gne	---|-|------|---|--|-|---⌫--|
dedenslafientedou cheual	-----|-|-----|--|-----|
quedefaim aidoloretmal	--|-|---|-|----|-|--|
meismess ontiugiez	------|-⌫--|-----|
se npre n n entqu ilnepueentfaire	|-⌫----⌫-⌫-⌫--|-|-|-|-----|----|
silesco ui ent arieretraire	-|--|--⌫--⌫--|-----|-----|
d unsingledit qui enc ontra	|-|-----|--|--|---⌫----|
p a rzzch emin	-⌫-⌫|-|--⌫---|
una isnequeilluecsestut	-|-⌫---|--|-----||----|
mer uilla soi que nesemut	---⌫----|--|--|-|-|--|
etquil nelilassoitlauoi e	-|-|-|-|-|------|-|---⌫|
et queue rlu nes as oploie	-|--|--⌫|-|-||--⌫-----|
a lusehu ertedurement	|-|-|--⌫---|-------|
si lapellap ermaltalent	-||-----|-⌫-|--------|
biensaidit il queie feroie	---|--|--|-|--|-|-----|
semesdensacoilliruol oie	-|--|---|-------|---⌫--|
p arcest es sempleuosa ssomme	-⌫-|---|--⌫-----|--|-⌫-----|
quenciestd el	-|---|--|-⌫||
org oillous home	---⌫------|---|
tantsefi een sa	---|-|--⌫|-|-|
quilmeismesehurteet blesce	-|-|-----|-|----|-|-----|
ainsiauint quepar un an	----|----|--|--|-|-|
un bois plen tedeglan	-|---|----⌫-|-|---|
lesporsiontm isetchaciez	--|---||--|-⌫-|-|------|
li taissonzs	-|-------||
estaconpagniez	--|----------|
ens embleoaussireco nut	---⌫----||--|-|----⌫--|
queporsestoi tet estredu t	--|---|-----⌫|-|----|--⌫|
com liporc uindrentenmaison	--|-|---|-------|-|-----|
etilenuit loccision	-|-|-|--||-------|
li taissonzconmenceacrier	-|-------|-------||----|
a ren oiere t aiur er	|---⌫---|-⌫||---⌫-|
quetaissonses t sespiezmuca	--|-------|--⌫|--|---|---|
conolespor s	--||--|---⌫|
souen tauientdes	-----⌫|-----|--|
conilcuident est reau ancié	--|-|------|---⌫-|--⌫-----|
autrescostumes uu elent prendre	-----|-------|--⌫----|------|
sont plusors fonta	---|------|---||
ausen te ndre	--|--⌫--⌫---|
maiscon il	---|--|-|
sontap erceu	---|--⌫----|
deplusorsenson t	-|------|-|---⌫|
unsleuscefua conpagniez	--|---|-|-|-⌫---------|
a azzheric on acontiez	||-|-----⌫-|-------|
orauint quelileusfupris	-|----|--|-|---|-|---|
ur isona ditami	--⌫---||--|--|
aide moisedextait	---|--|-|--||--|
lihe ri cons	-|--⌫--⌫---|
re spontetdit	--⌫----|-|--|
par foiiene te	--|--|-|-|-|
puezaidier	---|-----|
asaintuai re iraiproier	|--------⌫-|---|-----|
ezprisetli ez	-|---|-|--⌫-|
soie sparluiaid i ez	----⌫|--|--|---⌫-⌫-|
quec ut quet ul i promeis	--|-⌫-|--|-⌫|-⌫|------|
telchose conques nef eis	--|----||-----|-|-⌫--|
tonueu teconuie ntatenir	--|--|-|------⌫-||----|
a in squet upu issesdepartir	-⌫--⌫|--|-⌫|--⌫----|-------|
souent u o itdet ant e gent	-----|-⌫-⌫-|-|-⌫---⌫|---|
quautres doie p orausparler	-|-----|---|-⌫-|--|-----|
et lor mesaigeb ien	-|--|------|-⌫--|
u nsaiglessi	-⌫-|-----|-|
estoit iriez	-----|----|
uerun ostor	--|-|----|
etcorreciés	-|---------|
tozlesoisiau sfis taune r	--|--|------⌫|---⌫|----⌫|
apreslostor les fit	----||----|--|--|
qui ento r luiuen u	--|----⌫|--|---⌫|
etqui ai dierliuoloient	-|--|--⌫---|-|-------|
se s ordoiaetmalbailli	-||-----|-|--------|
senfuient desozli	|-|-----|----|-|
com e lesatest eaforsmise	--|-⌫-|-|----⌫||---|---|
po rpensasoiennuleguise	--⌫-----|--|-|---|----|
neuuet e lpaisa res ter	-|---|-⌫|---|-⌫---⌫--|
en iraoutrela mer	-|--|----|-|--|
hon tequei lout faite	---⌫-|--|-⌫|--|----|
toziors maisli	--|---|---|-|
seroitretraite	-----|-------|
comele fuenmerentree	--|--|-|-|--|-----|
siaunemoe encont ree	-||--|--|------⌫--|
sili demandaetenqui st	-|-|------|-|-----⌫-|
ou elealoitceleli	-|--|----|---|-|
si l iconnut sauilonie	-|-⌫|-----|-|------|
paisertfo ie	---|--|--⌫-|
lors l alamoe respondue	---|||-|--|--------|
demandalis	------|-||
eleertuen ue	--|--|---⌫-|
sanzcelos t il qui lah o ni	---|--|--⌫-⌫-|--|||-⌫-⌫-|
etlagruel irespondi	-|-|---|-⌫|-------|
a ifait el eauuec moi	-⌫|---|--⌫|----|--|
dontteloge enbone foi	---|-|---|-|---|--|
quetuuoisesen taco ntree	--|-|-----|-|-|--⌫----|
qua ntde ce luin es	---⌫-|-|--⌫--||-|
greignormalpuetele allo rsfaire	-------|--|---|--|----⌫-|----|
lagrue ses t	-|---||--⌫|
miseelrepaire	---|-|------|
ceste fab le	----|---⌫-|
ai p o r ceretraite	-|-⌫-⌫|-|-------|
cilqu ison tplein	--|--⌫|---⌫|----|
de mauuai sestre	-|------⌫|----|
etenlor cont reeme ffo nt	-|-|--|----⌫--|--⌫---⌫-|
illa guerpisse ntsisen	-|-|---------⌫-|-||-|
porniantlais sent	--|----|----⌫---|
quaraillorsl oufon t sien pis	---|------|-⌫-|---⌫|-|-|--|
l ormau ua is cuerdoiuent laissier	-⌫-|---⌫--⌫-|---|------|-------|
nonmielor pais laiss ier	--|--|--|---|-----⌫--|
u nsprestr es uoutiadi sentendre	-⌫-|------⌫-|---|----⌫|-------|
un lo ufalestres	-|--⌫-||------|
faireentendre	----|-------|
aditliprestesa ditlileus	|--|-|------||--|-|---|
quim o ltestoitco ntralieus	--|-⌫-⌫-|-----|--⌫--------|
u aditli prestesdiamoi	-⌫|--|-|------|-||--|
dilileusla letr e	-|-|---|-|----⌫|
dit liprestesdiauan t	--|-|------|-|----⌫|
di tli leusaidonct ant	--⌫|-|---|||---|-⌫--|
respontlipre stes	------|-|---⌫---|
etditlileus ie ne	-|--|-|---|-|-|
semblesies pel	-----|-|--⌫--|
etditlileu saignel ai g nel	-|--|-|---⌫|-----|--⌫-⌫--|
li prestesdistqu euertetoche	-|------|---|--⌫|----|----|
telenpense te l	--|-|----|--⌫|
en laboche	-|-|----|
d e pluso rs	-⌫|-----⌫-|
se dontilpensent d ela	-|---|-|------|-⌫|-|
estpa r lorbocheconeu	--|--⌫|--|----|----|
ainsoiz que d autresoitseu	------|--||----|---|--|
laboc hemontrele	-|---⌫-|-----|-|
e ncordoie eledel parler	-⌫---|---|--|--|-----|
uneserpenztrespassaia	--|------|--------|-|
parmizzch a mps etres lanca	----|-|--⌫-⌫-|-⌫|----⌫----|
lidistregardeto i	-|---|------|--⌫|
portesneentdemoi	-----|----|-|--|
autresiestdes ueziez	------|--|--|-----|
comilsesontaconp e ing ni ez	--|-|-|---|-----⌫-⌫---⌫--⌫-|
entrau sseuuelent	---|--⌫|-|------|
t ants ecuidentsoruezier	-⌫--|-⌫|------|--------|
quel iunss orl aut re ne	--|-⌫|--|-⌫-||---⌫-|-|
netexsorfaizsor ausn	-|--|------|--|--||
