COUS T UMES	----⌫-⌫---|
meut tel conuenanceetdoit direl a	|--|--|---------|-|---|---|-⌫|
conuenance dequoi	---------|-|---|
quoi el e fuc artelpuete l ees tre que	---|--⌫|-|-⌫-|--|---|-⌫-⌫|--⌫--|--|
Iehansdoi t estre contrainsatenirla	-----|---⌫|----|--------||----|-|
s illa co nnoist	|-|-|--⌫-----|
o u eleestprouu ee	-⌫|--|--|-----⌫-|
c ontre li	-⌫----|-|
ett e lq ue	-|-⌫-⌫|-⌫-|
Etle squelesneson t	-|--⌫------|-|---⌫|
te n iril estd i t	--⌫-⌫-|-|--|-⌫-⌫|
oucha pi tre	-|---⌫--⌫--|
des conuenance s .	--|----------⌫||
laconuenance estparletr es	-|---------|--|--|----⌫-|
il doitfere l ire les letres par	-|---|---|-⌫--|--|-----|--|
deuantla iustic e en lieu de sademandeetde	-----|-|------⌫|-|---|-|-|------|-|-|
ceparole ilasséssoufisanme ntouchapitre qui parole des	-|-----|-|-----|----------⌫-|-|-------|--|-----|--|
obligacionsfetesp ar	----------|----|-⌫-|
L esdemandes	-⌫-|-------|
desdouaires sonta sse ́sbrief car	--|-------|---|-⌫---⌫-|----|--|
l afame doit dire	-⌫|---|---|---|
Sir eiedema ntmondou aire- ouiedemant	---⌫|-|----⌫-|--|---⌫---||-|-|-----|
quemesdouairesme	--|--|-------|-|
soit d eui sésou es si eutés en tel terrequi fu	---|-⌫---⌫---|-|--⌫--⌫-----|-|--|----|--|-|
a telho m mequifumesmarisde laq uele	|--|--⌫-⌫-|--|-|--|----|-|---⌫---|
te rreil es toitte nans	--⌫--|-|--⌫---|--⌫---|
etprena nsauiourq u il	-|-----⌫-|-|---|-⌫|-|
m e spousa-oulaquele	|-⌫-----||-|------|
t erre li desc endide sonpere oude	-⌫---|-|----⌫---|-|--|---|-|-|
s amerede sonaieul	-⌫|---|-|--|----|
oudesaie ule lemariagedurant deliet	-|-||---⌫--|-|------|-----|-|-|-|
demoi-etoff rira prouue rce qu	-|--||-|---⌫--||------⌫|-|-|
eleditsi les t niéde pa rtieetd oit	--|--||-⌫|--⌫|---|-|--⌫---|-|-⌫--|
especefierquelpar t ieel eidemande si comme lamoitié	---------|---|---⌫-⌫-|--⌫||------|-|----|-|------|
selefupremierefame aumortou	|--|-|-------|---|-|---|-|
lequart selefu secondefame	-|----||--|-|------|---|
aumort ou luit ismesele fu	-|---|-||---⌫---||--|-|
latiercefame	-|-----|---|
I l conui ent fe r eaucunefo is	-⌫|-----⌫--|--⌫-⌫|-----|--⌫-|
demand eseur bai lo useur garde	------⌫|---|---⌫|-⌫|---|----|
denfa ns sousaagiéssi doitl	|----⌫-|----------|-|---||
s a demandeentelemani ere	-⌫|------|-|---|----⌫--|
Sireiedemantlebail-oulagarde se	---|-|-----|-|---||-|-|----|-|
pere s oum erequil agar d e	----⌫|-|-⌫--|--|-⌫|---⌫-⌫|
aparti entquantliuns	------⌫--|----|-|--|
ie doiauoir	-|--|----|
p ar droitetpar reso n commele	-⌫-|----|-|--|----⌫|----|-|
pluspr ochiens quiapartiegneas	---|--⌫------|--|---------|-|
enfansd u costédont lifiés	-----|-⌫|-----|---|-|----|
Mes selenforme	--|-||-|----|
sa demandeseur	-|------|---|
ga rdeilneconuientpasdire	--⌫--|-|-|-------|--|---|
soit d u c osté	---|-⌫|-⌫----|
do nt leritages muet c ar liperes	--⌫-||-------|---|-⌫-|-|----|
en portela	-|----|-|
gardede sesenf ansde ler itage depa r	----|-|--|---⌫--|-||--⌫----|-|--⌫|
lam ereet lamere de	-|-⌫--|-|-|---|-|
leri tage deparlepere	|---⌫---|-|--|-|---|
garde desen fans	----|--|--⌫---|
uient aplusloi n gtienparentquepere	----||---|---⌫-⌫----|-----|--|---|
est c eau plu s	--|-⌫|-|---⌫|
prochie netgardel	-------⌫|-|----||
eritageet les biensde s enfansd e	------|-|--|----|--⌫|-----|-⌫|
quelqu eco stéquilui e gne .	------⌫|--⌫---|-|-|--⌫-⌫--||
Et c o mmentbaus	-|-⌫-⌫----|---|
e tgardedoiuentestremainten uetladisferencequi est	-⌫|----|------|----|-------⌫|-|-|---------|--|--|
entrelunetl autreilest	----||-|-||----|-|--|
dit ouchapitre	--|-|-------|
quiparolede	--|-----|-|
bail et degard e.	---|-|-|----⌫||
Orueonsdesdema ndesquidoiuentestre	-|----|--|----⌫---|--|------|----|
fet espourforce.L e ndo it	---⌫-|---|----|||-⌫|--⌫-|
S ir eu esla	-⌫--⌫|-⌫-|-|
at ortetsans res onilo use scommandemens uint	|-⌫--|-|---|---⌫-|-|-⌫|--⌫|-----------|---|
entel lieuet m	-|--|---|-||
telforc e etdoit	--|----⌫|-|---|
nommerlaforceq uel ettou t e la maniere	-----|-|----|-⌫--|-|---⌫-⌫|-|------|
offrirlo iapr ouuerenla	-----|--⌫||--⌫----|-|-|
illamisau antsiles tniéde	-|||--|--⌫--||-|--⌫|---|-|
Etquantil adittoute	-|----|-||--|----|
lama nier edufetildoi t requerreque la	-|--⌫----⌫|-|--|-|---⌫|-------|--|-|
uileni e li soitamendeeet	------⌫|-|---|------|-|
l i damagesrendus s il eut damagepar	-⌫|------|-----||-|--|-----|--|
Autrementconuientfere	--------|-------|---|
sademandequantlens eueutplaind r ede nouuele	-|------|----||-|-⌫|---|------⌫-⌫|-|------|
des sai s inecarnouueledessaisinesont	---⌫---⌫-⌫--|--|------|---------|---|
denouuel es t ab lissemen tsidoit	-|-----|--⌫-⌫--⌫--------⌫|-|---|
on s uirlestabliss em ent	-|-⌫--||---------⌫--⌫--|
enf ere sademande.	-|-⌫--|-|------||
Donquesdoit	------|---|
ondir e e nceste maniere	-|---⌫|-⌫|----|------|
mades s aisiet	||---⌫-⌫---|-|
detel chose	-|--|----|
d e no uuel etd oitnomm erce dequoi	-⌫|--⌫---|-|-⌫--|----⌫-|-|-|---|
dessaisise tse force	--------|-⌫|-|----|
li fufete aladessais inebienle	-|-|---||-|-------⌫--|---|-|
puetmetreauant	---|----|----|
ensonclaim.	-|--|----||
Etpu isquant	-|--⌫-|----|
ilato u tlefetcontéil	-||--⌫-⌫|-|--|-----|-|
le doit offri r a prouuer	-|---|-----⌫||------|
si lestniésde partie etdoit requerrequ	|-⌫|--|----|-|-----|-|---|-------|-|
r esaisistoutent i erem ent.	-⌫------|---|---⌫-⌫----⌫--||
La demandequi estfete po urtourblede ssaisine	-|------|--|--|---|--⌫-|------|--⌫-------|
sed oitfereen	-|-⌫--|---|-|
autre manierequec elede ladess aisinecar il	----|------|--|-⌫--|-|-|----⌫-----|--|-|
ad isferenceentred essaisineet	|-⌫--------|----|-⌫--------|-|
tourbled essaisine.	------|-⌫--------||
Don quesdoitondireencestemaniere	---⌫---|---|-|---|-|----|------|
Sire uesla	---|--|-|
Ieh anqui me tourblee tempe echema	---⌫-|--|-|------|-⌫|----⌫---|-|
saisineenlaquel e iestoiepesiblementet doit	------|-|------⌫||-----|----------|-|---|
direla maniere	---|-|------|
delempeechements i	-||-----------|-⌫|
commesil lia	----||-|-||
def endu q uilnen esploite ou s ila	---⌫---|-⌫|-||-|-------|-||-||
fetmenacesaceus	--|------||---|
q uiiuouloi entouurer	-⌫-||------⌫--|-----|
ousiliafetfere	-||-|||--|---|
arre stparleseigneurouaucun autreempeechement	----⌫-|--|-|-------|-|----|----|-----------|
sem blable aceus .	---⌫-----||---||
of frira prouuer l	--⌫---||------||
empeechement sil	-----------||-|
lies tniésde par tieet	-|--⌫|----|-|---⌫--|-|
requerrequeli	-------|--|-|
empeechemenslisoitostés	-----------|-|---|-----|
siquilpuist iou i rdesasa i sine ouil	-|-|-|----|---⌫-⌫|-|-|--⌫-⌫---|-|-|
es toitpremierement.	--⌫---|-----------||
Etdesforc esetde sn ouuelesd essai sines et destourbles	-|--|----⌫-|-|--⌫|-⌫------|-⌫-----⌫----|-|--|-------|
dessaisinescomment	----------|------|
l enen do itpledi eretquel	|-|-|--⌫-|-----⌫-|-|---|
disfer enceila d e l unealautre	------⌫---|-||-⌫||--|||----|
ilestdit ouchapitre qu ideces.	-|--|--|-|-------|--⌫|-|--||
III.choses paro le.	---|-----|----⌫-||
Autresdemandespue entes tr e fetes lesqueles son t plus	-----|-------|---⌫--|--⌫--⌫|----|--------|---⌫|---|
peril leusesq u ec elesquenous auon sd i tes	-----⌫-----|-⌫-⌫|-⌫---|--|---|----⌫|-⌫-⌫--|
des susce sont l esdemandesquisontfetes pourcas	---⌫--|-|---|-⌫-|-------|--|---|----|---|--|
d ecrime .	-⌫|----||
Etdecele s	-|-|----⌫|
de mandesson t ilpluseuret	--⌫-----|---⌫|-|------|-|
pueentestr e fetesen .	-----|----⌫|----|-||
II.maniere slunepar	--|-------⌫||--|--|
feredroi te	---|----⌫-|
d ema ndecommea c usere sco ntrecel ui	-⌫---⌫--|----|-⌫-⌫-----⌫|--⌫---|---⌫-|
a quilenmetsuslecas de	|--||-|--|--|-|--|-|
crimeet en icelesdemandesse	----|-|-|-----|-------|-|
co n ui entil	--⌫-⌫--⌫--|-|
ferepartieetdi reen itelemaniere	---|-----|-|--⌫-|-|----|------|
Sireues la	---|--|-|
Iehan quiaf et telm u rtre- ou	----|--||-⌫-|--|-⌫-⌫---||-|
teltraïson - outel	--|-------||-|--|
ho micide-outel rat -outelarson -	--⌫-----||-|--|--||-|--|----||
roberie etdoitnommer le s casdequoi il	------|-|---|-----|--⌫|--|-|---|-|
lacuseeto ffrirlesaprouu ersilest	|----|-|-⌫----|--||-----⌫-||-|--|
nie ́de pa rtieet re querrequedroi te iusticeen	---⌫|-|--⌫---|-|--⌫-----|--|----⌫-|------|-|
soitfete.Lau t re	---|---|||--⌫-⌫-|
uoie de denonc iacionsi est	---|-|------⌫-----|-|--|
daut re manierecarcil q ui	|---⌫-|------|--|--|-⌫-|
denoncei ln econuientpasqu ilseface	------|-⌫|-⌫|-------|--|-|-|-|---|
droite m e n t partie	------⌫-⌫-⌫-⌫|-----|
Ain c ̧ oispuetdire enceste manie re	---⌫-⌫-⌫--|---|---|-|----|-----⌫-|
uousde non ce que	---|--⌫---⌫-|--|
Iehansa fettelfet qu iapar tientauous	-----||--|--|--|--⌫|----⌫----||---|
auengie rc omme	|------⌫|-⌫---|
abonneiusti c e	|----|-----⌫-⌫|
et es t lifess i	-|--⌫|-|--|-⌫|
clersetsinot oires quilne c o nui en tpas	----|-|-|---⌫----|-|-|-|-⌫-⌫---⌫--⌫|--|
enfacedroiteme ntpartiecontrelietdoit	-|---|--------⌫-|-----|-----|-|-|---|
direcommentli fes e stclers si	---|------|-|--|-⌫-|----|-|
f u f esde u antg ra nt plent éd e g e nt	-⌫|-⌫-|--⌫-⌫--|-⌫--⌫-|-----⌫-|-⌫|-⌫-⌫-|
ousilseuantaq uil	-||-|-|----|-⌫|-|
leferoit ouena ucune autr emaniereparqu oiil	-|-----|-|-|-⌫----|----⌫|------|--|--⌫-|-|
aper e qu e	----⌫|--⌫|
li fessoitc lerscar tel fetq uisont	-|--|---|-⌫---|--|--|--|-⌫-|---|
siapertdoiuentestre ueng iéparl	-|----|------|----|----⌫--|--||
iug et out	---⌫|-⌫--|
soit cequenusnesenfe ra dr oitement	---|-|--|--|-||-|--⌫-|--⌫-------|
Etcommentlendoitaler	-|------||-|---|---|
auantenc asdecri m e s oitpar	----|-|-⌫-|-|---⌫-⌫|-⌫--|--|
acusersoitp ar denoncier i lest di t ouch apitre des	-----|---|-⌫-|--------|-⌫|--|--⌫|-|--⌫-----|--|
Mo utde d emandes sontetp ue ntestre fetespour mout	--⌫-|-|-⌫------|---|-|-⌫--⌫-|----|----|---|---|
d echo sesdesquelesnousnauo n spasparle ́especiaument	-⌫|---⌫--|--|-----|---||---⌫-⌫|--|-----⌫|-----------|
Mesparcelesque nous auons ditesl en	--|--|----|--|---|----|----||-|
doi tentendrequen tout es	---⌫|-------|-|-|----⌫-|
de ma nd es eten	--⌫--⌫--⌫-|-|-|
toutesreque stes qu e lenfetaiustice	-----|-----⌫---|--⌫||-|--||------|
lesque usrequestesetdeman d es touc h entle seigneu r	------⌫-|--------|-|-----⌫-⌫-|----⌫-⌫--|-|-------⌫|
oupartiel en	-|-----||-|
doitdirelac hose que	---|---|-|-⌫---|--|
lendema ndeet	|-|----⌫--|-|
combien e tparquelresononla	------|-⌫|--|---|----|-|-|
u eutauo iretreque rreq u edroisenso i tfes	-⌫--|---⌫-|-|-----⌫--|-⌫-⌫|----|-|--⌫-⌫|--|
etoffrir a prou u erce q uel	-|-----||----⌫-⌫-|-|-⌫-||
enme taua ntsil estniéde	-|--⌫|---⌫-||-|--|---|-|
Aucunefois auient ilquecil	-----|---|-----|-|--|--|
qu ipled enefe tpa s d roitement	--⌫|----⌫|-|--⌫|--⌫|-⌫--------|
demandecon tr epartieainçoi sfet requesteas on s eigneu r si	------|---⌫--⌫|-----|-------⌫|--|-------||-⌫-|-⌫------⌫|-|
ille req uiert quillere ço iuea	-|-|---⌫----|-|-|-|--⌫---⌫--||
fiefouqu ilostes a	---|-|-|-|---|-⌫|
maindesaterre oudes esbiensqu il	---|-|-|----|-|-|-⌫-|----|-|-|
a saisisouquillemete ensaisined	|-----|-|-|-|-|---|-|------||
aucunechose qu	-----|----|-|
ildemande ou qu i l	-|------|-|-|-⌫|
liface rendreceq ue	-|---|-----|-|-⌫-|
liatolu oue mbl éouosté par	-||---|-|-⌫---⌫-|-|----|--|
Entoutes t eusrequestese ten autresquelesqu	-|-----|-⌫--|--------|-⌫|-|-----|-----|-|
eless oien t	---|-⌫----⌫|
quisont f etesa seigneurouaiust iceli	--|---|-⌫---||-------|-||----⌫--|-|
doit pren dre	---|----⌫--|
gardeselarequ este qui estfete t ouchepart ie	----|-|-|----⌫---|--|--|---|-⌫----|----⌫-|
Ie h an s esttena nsde laterre que	--⌫-⌫--⌫|--|----⌫-|-|-|----|--|
Pierresrequier ta a uoir	------|-------⌫||-⌫---|
ous il saisilachose	-||-|----|-|----|
Pierrealarequestede	-----||-|-------|-|
Iehanet quant il	----|-|----|-|
larequ este touche	-|----⌫---|-----|
nedoi t p as	-|---⌫|-⌫-|
ferelarequeste	---|-|-------|
deuantquelaparti e soitsemonse	-----|--|-|-----⌫|---|------|
Etqu antele uient encour t	-|--⌫--|--|----|-|----⌫|
Pierres doitrecor der larequ estequ il fi st au	------|---|-----⌫--|-|----⌫---|-|-|--⌫-|-|
s eigneurou alai ustice	-⌫------|-||-|-⌫-----|
Iehansdo itrequ err eauseig neur	-----|--⌫-|----⌫---⌫|-|----⌫---|
quilnefacepasla req ueste	-|-|-|---|--|-|---⌫----|
Pierreet doit direlesresonspou rquoiil	-----|-|---|---|--|-----|---⌫|---|-|
doi tpasfe re	---⌫|--|--⌫-|
Pierres lessieu esresonspourquo ili sires li doit	------|--|----⌫-|-----|---|---⌫|-|----|-|---|
fe resarequeste.	--⌫-|-|-------||
Etainsipue test re lipl esentamés ent re lesparties	-|----|---⌫|---⌫-|-|--⌫-|-------|---⌫-|--|------|
sans fered emande	---|---|-⌫-----|
liuns co nt re	-|--|--⌫--⌫-|
l autree tpu eentp erdre	|----|-⌫|--⌫---|-⌫----|
o ugaaignier	-⌫|--------|
aussibien co m me sil auoientfete	----|---|--⌫-⌫-||-|------|---|
Etse lisiresfetlare qu este quili	-|-|-|----|--|-|--⌫--⌫---|--|-|
sansapeler la	---|-----|-|
par t ieaqui e letouch eceneuautriensa in ço is	---⌫-⌫-||--|-⌫-|-----⌫|-|-|---|----|-⌫--⌫---⌫-|
doitestrerapeleequant	---|----|------|----|
partiemous tr equelese deut	-----|----⌫--⌫|-|--|-|---|
de lareq ueste quiestfete	-|-|---⌫----|--|--|---|
doit estredamagiésp ourr equestequ i soit	---|----|--------|-⌫--|-⌫------|--⌫|---|
fete end errierede	---|-|-⌫------|-|
luideuan tqu ilsoitoïs et apelés	--|-----⌫|-|-|---|---|-|------|
eni ugeme nt	-|-⌫-----⌫-|
Metlesrequeste sc onue nabl es	--|--|--------⌫|-⌫----⌫----⌫-|
q uisontfetes lesquelesnus nedeb a t	-⌫-|---|----|--------|--|-|---⌫-⌫|
ou que len ne	-|--||-|-|
puetdebat re po urce	---|-----⌫-|--⌫-|-|
quel e nuoitcl e re coustume pourle	--||-⌫|---|--⌫-⌫-|-------|---|-|
requereur -sicomme se len	--------||-|----|-||-|
requiertla saisine	-------|-|------|
d es bien saumortcommeexecuteurs oucom meoirsou	-⌫-|----⌫|-|---|----|---------|-|---⌫-|---|-|
aucuneautre	-----|----|
requeste aussicle re - t eu s request e s pueent bienli seigneur	-------|----|---⌫-||-⌫--⌫|-------⌫-⌫|-----|---|-|-------|
etles iusticesferedusquesatant	-|--|-------|---|------||---|
lade batepouraucunereson	-|--⌫---|---|-----|----|
carliseigneuretlesiusticesdoiuent	--|-|-------|-|--|-------|------|
fereetmai ntenircequ eclerecou stume d onnedus quesa	---|-|---⌫-----|-|--⌫|----|---⌫----|-⌫---|---⌫---||
c e qui estdi tencon tresoi tprouuécar	-⌫|--|--|--⌫|-----⌫--|---⌫|------|--|
lescleresch oses	--|-----|--⌫---|
doiuen t alerdeuant lesorbes .	------⌫|---|-----|--|----||
telcoustumeen courtlaiedepledier commeen	--|-------|-|----|---|-|------|----|-|
courtdecrestientécaren lacourt decrestientél	----|-|----------|--|-|-|----|-|----------||
enb aillealapartieen	-|-⌫----||-|-----|-|
escritsa dema nde puisquela demande	-----|-|----⌫--|---|--|-|------|
XL .s. ou depl us	--⌫|-|-|-|--⌫-|
etenteuslieusiade.	-|-|---|----|||-||
XX .s. ou d eplus.	--⌫|-|-|-⌫|---||
Etsibaille lentousl eserre mens duplet	-|-|-----||-|---|-⌫-|----⌫---|-|---|
etcopieduditas tesm oins	-|----|----|-|----⌫---|
etsiestto us	-|-|--|--⌫-|
li pl e s maintenuspar escris	-|--⌫-⌫|--------|--|-----|
fait onrien	---|-|---|
en cou rtl aiese lonc	-|---⌫-|-⌫--|--⌫---|
nostrecoustu mede	-----|------⌫-|-|
Beauuoisins car lennepledepasparescrit	----------|--||-|-|----|--|--|-----|
ainc ̧ois conui entf eresa	----⌫---|-----⌫--|-⌫--|-|
demande ous a reque stesans	------|-|-⌫|-----⌫--|---|
escrit e trecordertoute s	-----|-⌫|-------|-----⌫|
lesfois quelen reuient	--|---|--||-|------|
encourt separtielerequier t du sques	-|----|-|-----|-|-------⌫|--⌫----|
a tantquelesp arole ssont couch iee se niu gement	|---|--|--|-⌫-----⌫|---|-----⌫---⌫|-⌫|--⌫-----|
Etconuie n tque li homm e p arqui	-|------⌫-⌫|--|-|----⌫|-⌫-|--|
liiugemensdoitestrefe s retienente nleur cuersce	-|-------|---|----|--⌫|--------|-⌫|---|----|-|
seurqu oi ildoiuent	---|--⌫-|-|------|
Me s uoire stque pou r c eq uem emoi res	--⌫|---|-⌫-|--|---⌫|-⌫|-⌫-|-⌫----⌫--|
sont escoulouriant etquefor t	---|------------|-|--|---⌫|
choseseroitare tenir si gran t	----|-----||--⌫----|-|----⌫|
plentéde paro le scommeilconuientenmoutde	------|-|----⌫--⌫|----|-|-------|-|---|-|
querelesli bai llis	-------|-|---⌫---|
oulaiusti ce pue t e tdoitarestere n escritbriement	-|-|-----⌫-|---⌫|-⌫|---|------|-⌫|-----|-------|
ceseurquo i le s partiesentendent a	-|---|---⌫|--⌫|------|--------||
a uoiriugement	-⌫---|-------|
seles par tieso n taprouuer	-|--|---⌫---|-⌫-⌫||------|
pl useur sarticl esli unscontre l a utreilpuee nt	--⌫-----⌫|------⌫-|-|--|-----||-⌫---|-|----⌫-|
baillieren	-------|-|
es cr i tce qu ilentend ent	--⌫--⌫-⌫|-|-|-|------⌫--|
a prouue r	|------⌫|
etteusescrisapelel	-|---|-----|----||
en rebriche s .	-|--------⌫||
