LicuensAmilesfumou ltpreusetsenéz.	-|----|-----|-|---⌫-|----|-|------|
so ntcouchiesetmi ses D	--⌫-|-------|-|--⌫--||
ui enunmo is se	-|-|-|--⌫-|-|
Dexme donneuie	--|-|----|--|
Ason conma ntiert	|--|-----⌫-|---|
espousseeet prinse.Et	--------|-|------|-|
d ist li roisCe	-⌫--|-|---|-|
neuozdiie mieAin zla	-|--|-|-|--|---⌫|-|
pan réz franscheualiers nob il e.	---⌫---|----|---------|---⌫--⌫-|
Enui sle f aitmaisnel	----⌫|-|-⌫--|---|-||
ose desdire. Bel issa nsl	--|-------|---⌫----⌫-||
cortoisemeschi nne E ntres ses densen conmensa	-------|------⌫--|-⌫----|--|---|--⌫-------|
Dextenprestlebar naigeSauézse i gnor quex	--||-|----|-|---⌫----|-----|--⌫-⌫---|---|
decouuen tDes queli hom	-|------⌫|--|--|-|--|
prentf a me	----|-⌫-⌫-|
loiaument Moult	--------|----|
fait quefoxquant il safoili	---|--|--|----|-|-|--|-|
ment.Lic uensAmis otfaitson	----|-|-⌫---|---|-|---|--|
s a ire mentDe	-⌫-⌫---⌫---|-|
uersle c ie lu intun sangres	---|-|-⌫--⌫|-⌫--|--⌫|-----|
uol antDesor	---⌫--|----|
lesp a ule Amid emainten antSassistliangressachiéz	|---⌫-⌫--|--|-⌫|-------⌫--||-----|-|-----|-------|
certainneme nt Onques nelui rentnelirois	-----------⌫-|-----|--|--⌫---|-|-|---|
Enz en l oreillel ico nseilla	--|-||------|-⌫|--⌫------|
formentDi uaAmicom te	------|-|-|--|--|-|
uoino nsaichantTup re ïzfa meau	--|--⌫--------|-|-⌫--⌫--|--⌫-|-|
losd etesparansQue	--|-⌫|--|-----|--|
naplus bele	||---|---|
cheualiersne serian s.Hui iur esautreDeu	---------|-|------⌫-|--|---⌫-|----|--|
po i seform e nt.M oult gransmartyresd e ta char	--⌫-⌫-|----⌫-⌫--|-⌫---|----|-------|-⌫|-|---|
t ena tent	|-|-⌫---|
Tuser asla dresetm eziausausimentNe	-|---⌫-|--⌫---|-|-⌫-----|-------|-|
teparron toil ne	-|------⌫|--|-|
de ntIa niaurazaïde	--⌫-|-|||----|----|
dami nedepar en t	|--|-|-|---⌫--⌫|
ForsdYzor éet	---||----⌫-|-|
dAmileleg ent. -Ie n en	|----|-|-⌫---|--||-|
puismaisbonne	---|---|----|
choseuat en.Lamoie char	----|-||--|-|---|---|
quant tuwe uls s i	----|-|--⌫--|-⌫|
Etsien faideltou tatonconmant.	-|-|-|--|--|---⌫||--|-------|
Belissant beleiurézie	--------|---|-----|-|
uousa tan z.	---|-⌫---⌫-|
-Sire distelleo rendroitmain t enant Tout auos tre	----|---|---|-⌫-------|----⌫-⌫----|---||---⌫--|
d euis e.La fille Charlesestut agen oill ons	-⌫----⌫-|-|----|-----||----||---⌫----⌫--|
Seig nor di stellefra nccheualierbaron	----⌫--|--⌫-|---|---⌫-|--------|----|
Cardeuiséz por moi	--|-------|--|--|
ces teraison.-uol entiersdamme	---⌫-|------|----⌫------|----|
un scheu a liersrespont.	--⌫|----⌫-⌫----|-------|
uoziurrerézor en droit aband onQu euo zpanre ́ z	--|--------|--⌫--⌫----||----⌫-|--⌫|--⌫|-----⌫-⌫|
Amil ele baron	----⌫|-|----|
Auloëment d Amison co m pa ingnon Ne	-|-------||--|--|--⌫-⌫--⌫-----|-|
antr eul sdouzne	---|---⌫|---|-|
meteréz tanson.-Siredist elleuolenti ersl eiurronz	-------|------|----|---|---|-------⌫--|-⌫|------|
S i maïtD exetli	-⌫||---|-⌫-|-|-|
saintquicisontQue ie pa n r aiAmil ele	----|--|-|---|--|-|--⌫-⌫-⌫-|----⌫|-|
baron A uloëme ntdAmisonco mpaingn onN eent r	----|-⌫|------⌫-||--|--|--⌫-------⌫-|-⌫|---⌫|
mouuraiiatanson.LicuensAmis fu cheualiers	------|-|------|-|----|---|-|---------|
pr eudomIl en	--⌫----|-|-|
apellel a maisnieCha rlon Seign ordist	-----|-⌫|------|---⌫---|-----⌫-|---|
iladou b é zuozbaronQuelemper eres	-|----⌫-⌫--⌫|--|----|--||-----⌫---|
ma prestéz	||-------|
compain gnons Po r aleri usqua	-------⌫----|--⌫|---|-⌫---||
B laiuies . Nost re	-⌫-------⌫|----⌫-|
empereres s ifistm oulta loer. Ouuoit	--------|-⌫|---|-⌫---||----|-|---|
le con tep ri n stlen	-|---⌫-|-⌫--⌫-⌫-||-|
aapelleruassaxd istil defolieparl éz.Ne uoz	|------|-----|-⌫--|-|-|----|----⌫---|-|--|
mouur éz huim ais	-----⌫--|----⌫--|
delacitéIusqua dem ain que il	-|-|----|----||---⌫--|--|-|
iertaiorné	---|------|
Cha rgerai uoz	---⌫-----|--|
ce ntche ualie rsarméz Seür	--⌫-|---⌫-----⌫-|-----|----|
porroizpar	------|--|
alerPoi do uteroizlama isn ieHa rd ré. Etdistli cue ns	---|--|--⌫------|-|--⌫---⌫-|--⌫--⌫---|-|---|-|---⌫-|
conmandéz .La nuitiiurentd escial	----------⌫|-|---||-----|-⌫---|||
L i cuens Ami s s est par	-⌫|----|---⌫||--|--|
matin leue ́z	----|----⌫-|
Ilenapelle sescheualiersmenb rézSeignor	-|-|-----|--|---------|----⌫---|------|
a doube r. Et cilrespondentSico m	-⌫-----⌫-|-|--|---------|-|--⌫|
uozconman déz.	--|------⌫----|
Lesselesmistrentes destriers seio rnézBueuesli	--|----|-------|-|--------|----⌫----|-----|-|
anfesles conu oiaa ssézUne	----|--|----⌫--|-⌫----|--|
grantlieuepui ssen est	----|----|---⌫||-|--|
re torne ́z.ua	--⌫-----⌫--|-|
s enAmisligentizet li bers Si	|-|---|-|-----|-|-|---|-|
ladamme. EnnonDeu sirece distGarn ier sli	-|-----|-|--|--|---|-|---|----⌫---⌫|-|
Qu antnoz uenr ons alacitéde	--⌫--|--|----⌫--||-|----|-|
BlaiuiesFere ́zuosno c es	-------|----⌫-|--|--⌫-⌫-|
riches et honorables Et	-----|-|---------|-|
enaprézquantell essero ntfaitez	-------|----|---⌫-|----⌫-|-----|
Droituer s Riuiers	----|---⌫|------|
leriuaige Sisai s iréz	-|------|-|---⌫-⌫----|
uosho nors	--|--⌫---|
et uosmarch esQue l	-|--|-----⌫-|--||
donnees.Licuens A mi s	-------|-|----|-⌫--⌫|
entraensonchemin Celuiquiua	----|-|--|-----|----|--|-|
deBlaiuies	-|-------|
PassaT orainnee tPoitiers autressi	----|-⌫------|-⌫|-------|-------|
ASain tIe han sont	|----⌫|--⌫--|---|
Angel iLanuitiiurent li cheu aliergenti l Desci	-----⌫|-|---||-----|-|----⌫----|-----⌫|----|
queil f u esclarci.	--|-|-⌫|--------|
De loriorneesne s aic ompe	-|--|------|-|-⌫-|-⌫---|
mardi uindren taBla iuies	----|-------⌫||---⌫----|
l afo r tci tui r ent	-⌫|--⌫-⌫|--⌫|--⌫-⌫--|
lesnésde uers	--|---|-|---|
B ordiaxuenirLes uoilesdroitezouli	-⌫-----|----|--|-----|------|-|-|
mastso nt a ssi z.	---|--⌫-|-⌫---⌫-|
De xdistlicuensquionquesnementi s	--⌫|---|-|----|--|-----|-|-----⌫|
Comceste uille	--|----|----|
enr ichechemin Bienait deDeul i	-|-⌫---|-----|---|--|-|--|-⌫|
roisd eSaint Denis	---|-⌫|----|----|
Qui me donna Lubias aucleruis.Apié	--|-|----|-----|-|---|---||---|
descentdou bon	------|--|--|
destrier de	-------|-|
prisSeshomes	---|--|----|
Seignor baron cedi st Amislib er	------|----|-|--⌫-|---|-|-⌫-|
Noznenterronshuimais	--||--------|------|
enlacite ́Iusquademainqueli iorsparra	-|-|----⌫|----||-----|--|-|---|----|
clersQue a	----|--||
grant ioiei u oldrommezentrer.I cila i ronsdou	----|---||-⌫--------|------|-⌫-|--⌫-⌫---|--|
ester. Apiédescendentdes	-----||---|---------|--|
d estr iersseiornézIluec	-⌫----⌫---|--------|----|
tendirent etpauillonsettre ́sLa nuit i iurentdesci	--------|-|--------|-|---⌫-|-|---||-----|----|
aiorner.D eulsuozlairaiiciendroitester	-------||---|--|-----|--|------|----|
Amile uoldrommezre torner.Soncompaingnon a	----|---------|--⌫------|--|----------||
pri n saregreter	---⌫-⌫||-------|
Sirecompainsou iestezuoza le ́z Ier fuli	---|-------|-|-----|--|-⌫--⌫-|--|-|-|
eüsteznomméQu euozdeu ̈stez	------|-----|--⌫|--|---⌫----|
ueniretretorn er. Or sa iie	----|-|------⌫--|-|--⌫|-|
bien quaf in	---|-||-⌫-|
ie stezalézOcisuoz alitraïtr es Hardréz.	--⌫---|----|---|--||-|-------⌫-|--------|
Puisresgarda tout	---|-------|---|
c o ntreual lesprés Siuitlesloges les	-⌫-⌫------|--|----|-|--|--|----|--|
pauillon slestre ́sHé la sdistilorai ie	--------⌫|--|---⌫-|--|--⌫|---|-|-|-|-|
tr opr egné	--⌫-|-⌫----|
Ceestl iro is quime uientafoler	-|--|-⌫|--⌫-|--|-|----|-----|
QueLubias e stparente	--|-----|-⌫-|------|
Hardré.Mais tantestbonneces t e b ele	-------|---|---|--|----|---⌫-⌫|-⌫--|
citézEtenforc ie	-----|-|------⌫-|
d el egiersbachelers Mienanciantn e	-⌫|-⌫-----|--------|---|------|-⌫|
lairo ntentrer.	-----⌫-|------|
SeDexma ïtmauuaistié	-|--||-⌫--|----------|
aipansé.Or	-|------|-|
n el lairoiepor	-⌫-|------|--|
membrescoperSeDexmaït quenaillea	------|----|-|--||---|--||----||
eulspar ler	---|---⌫--|
ueoir quilsontet	----|-|-|---|-|
ter rené.Miex	---⌫-|---|---|
ainzmorir quegel	---|----|--|--|
lais pora lerQu antmesc ompainsen esta	---|----⌫--|--⌫--|--|-⌫------|-|--||
mortliuréz.La s	---|-------|--⌫|
n en uerra i m aismie.	|-|-----⌫|-⌫--|---|
Licuen sAmilesfumoultgentizetfiers Iluest	-|----⌫|-----|-|----|-----|-|----|-|---|
aube rcsialiaume lacie ́	----⌫-|-|||----|-----⌫|
Ce in tea lespee si	--⌫--⌫-|||----|-|
destri er A soncol p entunescu	------⌫-||--|--|-⌫--|-|---|
dequa rtierEten son	-|---⌫----|-|-|--|
poing un roit tran cha ntespié. On ques	----|-|---|----⌫---⌫-|------|--⌫---|
nel di stseri antne	--|--⌫-|----⌫--|-|
esc u ierNesLu bias	---⌫-⌫--|--|--⌫---|
neluoltilpasnun cier.P armi	--|---|-|--|---⌫----|-⌫---|
por tes en istt ouzesl aissi éz. Licu e nsAmis	---⌫-||-|--|-⌫--|---⌫-----⌫---|-|--⌫-⌫-|---|
enmileprése	---|-|---|-|
sietLafilleCharle letenoitem bracié Ilne	---|-|----|-----|-|-----|--⌫------|-|-|
acolerne bais ier .Lecompaingnonauoit il	-----|-|----⌫---⌫|-|----------|----|-|
f orment chier	-⌫-----|----|
Bien le connutsorlau ffer rant corsier.uass ax	---|-|-----|--||--⌫----⌫---|-------|----⌫-|
mou l tp arie stezor fiers. uoléz n ozuozlaui lle	---⌫-⌫|-⌫-|--⌫---|-|-----|-----|-⌫-|--|-|--⌫--|
chal ongier	----⌫-----|
Licuenslen tent	-|----||--⌫---|
sileconnutm oultbienCelle	-|-|-----|-⌫---|---|----|
ui nt corranttouzesla issiézApiédes ce nt del au ffer rant	--⌫-|------|---|----⌫------||---|---⌫--⌫-|-||--⌫----⌫---|
corsierTr encheles lasdeson	------|--⌫----|--|--|-|--|
el m euer gierL e	--⌫-⌫|---⌫---|-⌫|
hauberc laitcoulerasespiés. Ilsentrecorrent	------|---|-----||--|-----|-||-----------|
acol er et	----⌫-|-|
baisierDe lornouuelles seuo ldront acoi ntierQue beles	------|-|--|--------|-|--⌫-----|----⌫----|--|----|
sont adire . Orsontlicon teandui	---||----⌫|-|---|-|---⌫-|----|
elpréassiz.	-|---|-----|
ueïstbaisier	-----|------|
etconioïrDex	-|-------|--|
homecui pitie ́n en	---|--|-----⌫||-|
preïst. EnnonDeusire cedis tlicuens Amis	-------|-|--|--|---|-|---⌫|-|----|---|
aimortHa rdré uostre anemiS iuozamaingBelissant	-|---|--⌫----|-----|----|-⌫|--|-----|--------|
uis. uoz lapanrézque	---|--|-|------|--|
lirois lem a dit. Amiles l	-|---|-|||---|-----||
oitmoult io ianse n deuint Lorss	--|----|--⌫---|-⌫|-----|---||
en trecorre ntb ai s ieret	--⌫--------⌫-|-⌫--⌫-⌫--|-|
EnnonDe usire licuensAmiles distLe	-|--|--⌫|---|-|----|-----|---|-|
miencouuine	---|------|
uoz raura iietost	--|-----⌫|-|---|
dit. Léztamoilliermecouchaiiedor mir .	---|---|-|-------|-|------|-|---⌫---⌫|
Ilnasibeleen s eissante	-|||-|---|-|-⌫-------|
païs Mo u lt	----|--⌫-⌫-|
m esmerueil co men	|--------|--⌫|-|
poéz sou ff rir.Amis	----|---⌫--⌫---|---|
len tent s en a gieté unris	|--⌫---||-||-----|-|--|
Lors serecorrentbaisieret conioïr.Lafille	---|-|--------|------|-|--------|-|----|
Cha rleen gie te	---⌫--|-|---⌫-|
un gran tsouzp irSeignordistell ep orlessai ns	-|----⌫|-----⌫-|------|---|---⌫|-⌫-|--|---⌫-|
fist Siuo zsamblézd aler	---|-|--⌫|-------||---|
et deueni rEtdelabouche	-|-|----⌫|-|-|-|-----|
etdesiexet dou	-|--|--|-|--|
ui sQueiene saili qu ex e st mesmaris.	--⌫|--|-|-|--|-|--⌫-|-⌫-|--|-----|
Am isl ententsen a giete ́unris	--⌫-||-----||-||-----⌫|-|--|
En z an l oreillea	--⌫|-||------||
co nseillier liprinstEnnon	--⌫--------|-|-----|-|--|
Deu damm emescompains	--|----⌫|--|-------|
uintSeDexmaït cisti ert uo s t re maris.Ne	---|-|--||---|---|-⌫--|--⌫-⌫-⌫-|-----|-|
erréc oma nn emis. - EnnonDeusire	----|-⌫-|-⌫--⌫----|-⌫-|--|--|---|
maisc om charnexa mi s	---|-⌫-|------|-⌫--⌫|
hono ree.Lanuitlelaissent	----⌫---|-|---|-|-------|
aube clereQue Belissan t	---|----|--|--------⌫|
ont aumonstier m enee .Li	--|-|-------|-⌫----⌫|-|
Amiles la ilu ecespousee.Elpalai smont ent	-----|||---⌫-|--------|-|-----⌫|----⌫--|
demoree Grans	------|----|
noces firen t lifildes franc hes meresCom	----|-----⌫|-|--|--|-----⌫--|----|--|
licuen s prinst	-|----⌫|-----|
La nuitlaissieren tdesciala ube	-|---|----------⌫|----|||-⌫--|
ifu r entQu il des tendirentles trésetles	|--⌫-⌫--|-|-|---⌫--------|--|----|-|--|
aucub esEt	-----⌫-|-|
rechargierentle sso mmiersetl esmurles Loret l	------------|--⌫|--⌫-----|-|-⌫-|-----||-|-||
les r iches uesteüresPa rmilaporte entrerent	--|-⌫----|---------|--⌫--|-|----|--------|
adroiture.	|--------|
EtLu bias estencontr eu enue.	-|--⌫---|--|-------⌫|-⌫----|
Ouuoi tAm i sil a	-|---⌫|--⌫|-|||
amenteüe Qui sontce sgensqui	--------|--|---|--⌫|---|--|
u i e nnent parcesruesDist licu en s	-⌫-⌫-⌫----|--|--|---|---|-|--⌫--⌫|
Damm enesoiéz	----⌫|-|-----|
esperdueCestlagen s Charleal a	-------||--|-|---⌫|-----||-⌫|
barbechenue Ces	----|-----|--|
amero izsedemoiaue ́z	-----⌫-|-|-|--|---⌫-|
cure.-uolentierssire mais	----|----------|---|---|
seür e fuisseQu enuost re	-----⌫|-----|-|-|----⌫-|
lita nquenuitm egeüsseQuen	--|-⌫-------|-⌫|------|--||
ifustmise lauostreespeenue.	|---|---|-|-----|----|---|
D istlicuensDa mmebien	-⌫--|-|----|--⌫--|---|
s eroitm aismesu reMaislesdolorsaiiemoult	-⌫----|-⌫--|----⌫-|---|--|-----|-|-|----|
g ra ns eües	-⌫--⌫-|----|
cor sme sont outrecorrues. Lamerc iDeu	---⌫|-|---|----|-------|-|----⌫|--|
perdent etfu ient.EzBelissant qu i	------|-|--⌫----|-|--------|--⌫|
d es cent de la m urle	-⌫--⌫---|-|-|-⌫---|
Et Lubiasestencontreuenue.Cort oisem e ntl	-|-----|--|-------|-----|----⌫-----⌫-⌫-||
un nela utre	--⌫-||-⌫---|
salue Loramistie ́z fumoulttostdesr ompueAin z	----|--|-------⌫-|-|----|---|----⌫----|---⌫|
fustuespresnelanuisfust	---|------|-|-|---|---|
uenue. Susanpa l aismontarenta	-----|--|-|--⌫-⌫--|--------||
droit ureAssez iotdes p o onsetd esgrues	-----⌫--|----||-|--|-⌫-⌫--|-|-⌫-|----|
Cili ou gleor	--|-⌫--⌫----|
uiole ntetta burnent Onques texioienefu	-----⌫-|-|--⌫------|-----|--|---|-|-|
ai nzma isueüe	--⌫-|--⌫-|----|
Com d e laf illeCh arle. Licuen sAmis	--|-⌫|-|-⌫---|--⌫----|-|----⌫|---|
senest a léz	|-|--|-⌫---|
co uc hier Deiouste luiLubias samoillier. Qu antgabéont	--⌫--⌫---|-------|--|-----|-|--------|--⌫--|----|--|
assézet delitié	-----|-|-------|
Ettouto ntfaitqu ant queanlitafi ert	-|---|-⌫-|---|--⌫---⌫--|-|--|---⌫--|
Lamaledamme le n prinstaa rraisnie r	-|---|----||-⌫|-----||-⌫--------⌫|
Siredistelle	---|---|---|
moultme puismerueillierDed ant Amileuostre	----|-|---|----------|-|-⌫--|----|-----|
compain gnon	-------⌫---|
chierQuenuersH ardrése	----|-|-----|-⌫-----|-|
combatitlautrier .	-------||-------⌫|
siensse ria nsmeieh i le	----|--⌫---⌫-|-|---⌫|-|
enlabata ille otun	-|-|----⌫---|-|-|
aubale strier	------⌫-----|
Hardre ́ feri	------⌫|---|
dunnesaieteelchief Mort labatitd ou	|---|-----|-|----|---||-----|-⌫-|
bo ncor rantdestrier.Licuens Am ile s	--⌫|---⌫---|--------|-|----|--⌫---⌫|
uintlatouzesla issiéz	---|-|---|----⌫------|
S itraist l e spe eet	-⌫|-----||-⌫---⌫|-|
li cop ale	-|---⌫|-|
chief Cont re lat erre	----|----⌫-|-|-⌫---|
lesotil bien couch ier.	-|--|-|---|-----⌫---|
Maisparl ap ostre	---|--||--⌫----|
requiertSeie uif	-------|-|-|--|
ta ntq u e	--⌫-|-⌫-⌫|
uei ngnea lesclairier Il	---⌫---|||---------|-|
nenmenranemurlet ne sommierAinzle	|-|----|-|-----|-|------|---|-|
fer ai e nmach artre	---⌫-|-⌫|-|--⌫----|
lancierD amm esui delaui lle.L i cuensAmisfu	------|-⌫---⌫|--|-|-|--⌫---|-⌫|----|---|-|
neuoltmie souffrir nee ndurerDou	-|---|--|-------|-|-⌫-----|--|
c omp ai ngno nc	-⌫---⌫--⌫----⌫||
one n deïstuilté. Au m atinnet quantil fu	-|-⌫|-----|------|-|-⌫------|----|-|-|
enestuenus	-|--|----|
chiés Gaut ieralostelSon	-----|----⌫--|||----|--|
compaingnonenp rinstaapellerSi redistildes or	----------|-|-⌫----||------|--⌫-|---|-|--|-|
uozleu ézFaite z uoshomesgarn ir	--|---⌫--|-----⌫|--|----|----⌫-|
et conraer .Droituers	-|-------⌫|----|---|
Riuierss il uoz plaisteniréz.Etsaisiroiztoutes	------||-|--|-----|-|-----|-|--------|-----|
fr emetéz.Et cil respon t Sicom uozco nmandéz.	--⌫-------|-|--|------⌫|-|--|--|--⌫--------|
Isnellementsestuestuse t	----------||--|-----|-⌫|
leue ́zEtfistseshomesgarn ir et	----⌫-|-|---|--|----|----⌫-|-|
conra er .Parmila porte	-----⌫--⌫|----|-|----|
issidelacité uas	---|-|-|----|-||
etli ber.Sesch ierscompainsleconu oiaasséz	-|-|---|--|--⌫---|-------|-|----⌫--|-----|
granslie uespuiss	----|---⌫--|---||
enes tretornézM ai sainzse	-|--⌫|--------|-⌫--⌫|---|-|
sontbais ié et a cole ́Plor antse de partire nt.	---|----⌫--|-|-⌫----⌫|----⌫--|-|--⌫-------⌫--|
Amilesliprouzetli chata i nne sOlui	-----|-|----|-|-|-----⌫-⌫---⌫||--|
en mai nnelafille	-|---⌫--|-|----|
Ch arlemainne.	--⌫----------|
Passent les terre setles	------|--|-----⌫|-|--|
citézestraingne suinrent a	-----|----------⌫|------||
D u nneune eue desru bain eEnzgransdromons etensbar ges	-⌫-⌫--|--|--|-----⌫----⌫|--|----|------|-|--|---⌫--|
e n entrent	-⌫|------|
Naigen tetsyglentlich eualier	------⌫|-|------|-|--⌫------|
D euan t l aportearriu erenti l	-⌫----⌫|-⌫|----|-----⌫----|-⌫|
se mpres.Cilde	--⌫-----|--|-|
gr antio ie endemai nnent. EzAmile en saui l le.	--⌫--|--⌫-|-|-----⌫-----|-|----|-|-|--⌫-⌫--|
A milesaRiuiersla cité.Cil dela	-⌫----||------|-|-----|--|-|-|
u illeliontfaitfeauté	-⌫---|-|--|---|------|
Quebien connurentBelissant	--|---|--------|--------|
auuiscle rEt lesbarons qui au	-|--|---⌫|-|--|-----|--|-|
roiont esté. Icilairon s	--|--|-----|--|------⌫|
dou co nteAmile ester	--|--⌫--|----|----|
Am ideu ommezretornerL eua illant	--⌫|---⌫----|-------|-⌫|--⌫-----|
c ontede Blaiuieslaci té.	-⌫---|-|-------|-|--⌫---|
Lid isalanglelies t bie nauere ́zMoult	-|-⌫-|||----|-|--⌫|---⌫|-----⌫-|----|
liabaisse et	-|------|-|
angoisselinésEt	-------|-|---|-|
liretra nchedure mentliparl ersMais	-|-----⌫---|----⌫---|-|----⌫--|---|
agrantpie ce n en fu licu ens	|----|---⌫-||-|-|-|--⌫--|
retéz Qu antLubiasl e c oilli	-----|--⌫--|-----|-⌫|-⌫----|
entel hézL amaledamme cuiDex	-|--|---|-⌫|---|----|--|--|
pui s tmaldonne rQ ue	---⌫-⌫|--|-----⌫|-⌫-|
