cuers esu eille	----|---⌫----|
seton e stat ene s tmenor	-|--|-⌫---|-|-⌫-⌫|----|
m ontpourauo irhen or	-⌫--|---|---⌫-|---⌫-|
qui ueu tamersis ededui e	--|---⌫|---|-|-⌫|-----⌫|
det ouzpoinzau gre d e samie	-|-⌫--|----|-|--|-⌫||---|
ouian enaraautrem ent	-|-||-|--|------⌫--|
lacointement	|----------|
cesreull esque ietairetretes	--|-----⌫-|--|-||-|-------|
nes on tpasp orlesriches fetes	-|-⌫--⌫|--|-⌫-|--|-----|----|
qui as sez adeni ers ou p r endre	--|--⌫--||----⌫--|-|-⌫-⌫----|
mest ierdemon artaprend re	----⌫--|-|--|--|------⌫-|
q uidon neco m bienqu	-⌫-|---⌫-|--⌫-⌫-----|
ilsoitrude	-|---|---|
ilna quefe r ed	-|||--|--⌫-⌫||
autreestude	----|-----|
famedelegiersabandonne	---|-|-----||--------|
bi a u xdonze tgranz lidonne	--⌫-⌫-⌫|---|-⌫|----|-|----|
p lusnoi rquemore	-⌫--|---⌫|--|---|
soitd e hongrieoud aygremore	---|-⌫|------|-||--------|
es tami esorse	--⌫|---⌫|----|
p ourtantquilmete	-⌫--|---|-|-|---|
mainab orse	---||-⌫---|
ches cunfaitauriche	----⌫--|---|-|----|
gra ntfeste	---⌫-|----|
c onbienquece	-⌫-----|--|-|
soitni cheb es te	---|--⌫--|-⌫--⌫-|
tout bienuenu	---|---|---|
et lepourepourfoltenu	-|-|----|---|--|---|
fam equisilesg enzescorche	---⌫|--|-|--|-⌫--|-------|
n e npriseri ennemes	|-⌫|----|--⌫-|-|--|
qu antlesdo nzatel z	--⌫--|--|--⌫-||---⌫|
amans faillent	----|-------|
lo rbarbesescoua nts en aillent	--⌫|-----|------⌫-||-|------|
ilnaneio ie	-|||-|--⌫-|
enf a mequi sise	-|-⌫-⌫-|--|-|-|
elneu eutpasamiau oir	-|-|-⌫--|--|--|--⌫--|
rie nnep riseforsson auoir	---⌫|-|-⌫---|---|--|----|
iafamedebo nne	-|---|-|--⌫--|
nier tpardonnerplustost	|---⌫|--|-----|---|---|
mes les e nset	--|-|-⌫-⌫-|-|
l aco urtoisie	-⌫|--⌫-------|
amila f a it	--|-|-⌫-⌫-|
quisoncuer	--|--|---|
enamer esdrec he	-|---|------⌫-|
nep rengepasgardear iche s ce	-|-⌫----|--|----||-⌫----⌫-⌫-|
mesquelap ersoneamee	-----|-|-⌫-----|---|
soitd egransbontesaorn ee	---|-⌫|----|-----|----⌫-|
homm equin e uaut r iens	----⌫|--|-⌫|---|-⌫---|
neuautpo ramerbie n lesey	-|---|--⌫|---|---⌫|-|--|
quer qua ntses	---|---⌫-|--|
ric hescessabesse nt	---⌫-----||------⌫-|
toutes sesualue sl el essent	-----|--|-----⌫|-⌫|-⌫-----|
quiueutamerparf etement	--|---|---|----⌫------|
aingele corsp remierem ent	----|-|---|-⌫--------⌫--|
b onte touziorsdemore	-⌫---|---|---|-----|
m esri chescefauten poy de h ore	-⌫-|--⌫-----|---|-|--|-|-⌫--|
en que l maniere	-|---⌫|------|
tu doizpreertami e	-|---|----||---⌫|
orteuoildire s anztarder	-|-|---|---|-⌫--|-----|
commentdoiztesamorsg arder	------|---|--|----|-⌫----|
poy t e uaudro ita	--|-⌫|------⌫-||
setamorestoit tostfaillie	-||---|-----|---|------|
pourcenfautil quamour	---|--|---|-|-|----|
parartsoit par	--|--|---|--|
artma intenue	--|--⌫------|
aussifortestceseutnenderre	----|---|--|-|---|--|----|
abien g arder co m me aquerre	|---|-⌫----|--⌫-⌫-|------|
quer lesaquespetitua ud roient	---|--|----|----|--⌫--⌫-----|
sesagementgardeznestoient	-|-------|-----||-------|
pourcendoitc il	---|--|---|-⌫-|
grantc ure m etre	----|-⌫--|-⌫---|
qu i damerse ueu t ent remetre	--⌫||---|-|---⌫|---⌫------|
q uesesamorsdurementd urent	-⌫-|--|----|-------|-⌫----|
sonco ura gea sseurent	--|--⌫---⌫-|-⌫-------|
po urrienquilauien ge	--⌫-|---|-|-|-----⌫-|
que param or retienge	--|--|--⌫-|-------|
cilestcoua rt etdece u	--|--|----⌫-|-|----⌫|
tel creancheestmeu	--|-------|--|--|
ianie rtpar lesars de toulete	-||--⌫-|--|--|--|-|------|
fine amourqui senepa rfe te	---|----|---⌫-|-|--⌫---⌫-|
ne cr oientelz	-|--⌫-|-|---|
s orche r ies	-⌫-----⌫-⌫--|
quercene sontquemoqueries	---|-|-|---|--|--------|
seetherbesu ausissent	-|-|-----|-⌫--------|
iamesamorsnedepartissent	----|----|-|-----------|
mesilnestpas	--|-||--|--|
i ssideuoir	-⌫--|-|---|
circesenpoutaperceuoir	----||-|---|---------|
iason parmedee	----|--|----|
la ueeestreu eee	-|--|----|-⌫--|
neaulixespars	-||-----|--||
pour nep o u r sorcher ie	---|-|-⌫-⌫-⌫|-------⌫-|
g artoid etout efelo n nie	-⌫-|--|-⌫|----⌫|----⌫-⌫--|
estreb ien det	----|-⌫--|-||
soiesdouz cortoisamiable	----|---|------|------|
se uersli eueuzestr eaggr eable	-|---|--⌫|---|----⌫|----⌫----|
tadouchouretta	-|-------|-|-|
courtoisie	---------|
t euaudrontmie xquequenul die	-⌫|-------|---⌫|-----|--|--|
quetabeau te neporroitfe re	--|-|----⌫-|-|------|--⌫-|
dou zparler fettouteg ent	---⌫|-----|--|----|-⌫--|
ueuzqu amorneteless e	---|-|---|-|-|----⌫|
de b onsarsaprendre necesse	-|-⌫--|--|-------|-|----|
quer il teferontcompaig nie	---|-|-|-----|-------⌫--|
q ua n tta	-⌫--⌫-⌫|-|
biauteserafaillie	-----|---|------|
bi autene puetlonctempsdurer	--⌫---|-|---|---|----|----|
doi tasseurer	---⌫|-------|
il n est nuliour quelnedechiee	-||--|--|---|-|-|-|------|
mesle s en s	--|-|-⌫--⌫|
touziorsmontepliee	---|---|---------|
homm eestc ontresauolente	----⌫|--|-⌫----|-|------|
tantost fronchietesdente ́	------|------|-|-------⌫|
ch eue lzcanus	--⌫---⌫-|----|
a utrement nen uiellira nus	-⌫-------||--⌫-------|--|
pourcendoiz t us e tues sa ge	---|--|---|-⌫|-⌫|-|-|--⌫-|
sie ntrodiretonco urage	-|-⌫-------|--|--⌫----|
que senzet ualour	--|---|-|-----|
tesecourge	-|-------|
commentquebiaute sescolor ge	---------|-----||-------⌫-|
n esfo rche	-⌫-|--⌫---|
a tabiaut egu arde r	|-|-----⌫|--⌫----⌫|
partoicoutiuerne	--|--|-------|-|
ulixe ssanz a uoirbiaute	-----⌫|---|-⌫---|-----|
outdesamans lareaute	--|--|----|-|-----|
parobeirdeuotement	--|----|---------|
puet a mordurerlongueme nt	---|-⌫--|----|--------⌫-|
ueut ferelecontrere	---|---|-|-------|
amorseutses cor nesretrere	---|---|--|---⌫--|------|
te nchonssust oute r ie n e schiu e	--⌫-----|--|-⌫---|-⌫--⌫|-⌫-----⌫|
seueusquamo rlonguement uiue	-|---|-|---⌫|---------|---|
finamoru e utsanz faus serie	--|---|-⌫-⌫-|---|----⌫----|
d edouzparleres tre norri e	-⌫|---|-----|--⌫--|-----⌫|
tenchi eraffiertasmari ez	------⌫-|------|-|----⌫-|
q uerelzsontense mbleli ez	-⌫--|--|---|----⌫---|--⌫-|
si quetench onsneie lousie	-|--|-----⌫--|-|--⌫-----|
nenpeue ntfere departie	|-|----⌫-|---|-------|
lesmariez nipeuentperdre	--|-----|||-----|-----|
quarilnesepeuentdesh erdre	---|-|-|-|-----|----⌫----|
des am ansissin	--|--⌫--|---||
f am e n estauers da mi e	-⌫--⌫||--|----||-⌫--⌫|
a miedoittou z iorsoir	-⌫--|---|---⌫|---|--|
chosedontsedoitesioir	----|---|-|---|-----|
a finquel esoit lieeet	|--|-|--⌫|---|---|-|
del a mantetde sauenue	-||-⌫---|-|-|-|----|
pourehommeam ontaendurer	----|----||-⌫--||------|
seueutamor feredu rer	-|---|---|---|--⌫--|
mou t lifaut souf frir poursami e	---⌫|-|---|----⌫---|---||---⌫|
queleric hene	--|-|---⌫-|-|
f erei t mie	-⌫----⌫|--|
finz amans doiuent cemesembl e	---|----|------|-|-|-----⌫|
toutes foiz auoird elict ensemble	-----|---|----|-⌫----|-------|
e tgieuset	-⌫|----|-|
ianglesdeletables	------|---------|
telzchos es fontamo u rsdurables	---|----⌫-|---|---⌫-⌫-|-------|
s et adameu eu tdi re	-⌫|-⌫|---|-⌫--⌫|--⌫-|
chosequ itedoie de sple re	----|--⌫|-|---|--⌫----⌫-|
uers liete doizsoufriret	---|--|-|---|------|-|
else ra ap resdebeneire	-|--⌫-|--⌫--|--------|
se tus euffres	-|-|-⌫------|
onq uessi g rants ens ne f eis	---⌫--|-|-⌫---|-⌫--|-|-⌫--|
paci enceuai nt toutesc hoses	----⌫---|---⌫-|-----|-⌫----|
combie nquilsoie ntorg ueilloses	------⌫--|-|----⌫-|---⌫--------|
s ele ueutu erstoi estriuer	|--|---|-⌫--|--|-------|
tu neladoiz pasauiuer	-|-|-|---|--|-----|
dehau tparler ne den oisier	-|---⌫|-----|-|-|-⌫-----|
mespardo u z	--|--|--⌫-⌫|
langage apeisier	------|-------|
sel eueut ar guerarg ue	|--⌫|---|--⌫---|---⌫-|
pour li equel ne soitesperdue	---|--⌫|-|-|-|---|-------|
preuuequ antque leprouuera	-----|--⌫----|-⌫-|-------|
niequ anq uel eniera	--|--⌫---⌫|--⌫|----|
se rireueu toliedoiz	-|---|---⌫||--|---|
se pleurer	-|------|
u e ut pleure et sosp ir e	-⌫-⌫-|-----|-|----⌫--⌫|
touzio rsdoiz	---|--⌫-|---|
fe re autelchiere	--⌫-|----|-----|
quelcommandemen t qu e le fa ce	---|-----------⌫|-|-⌫-|--⌫-|
fai le s anza rrester en place	--|-|-⌫--|-⌫------|-|----|
sineseraia departie	-|-|---|-|-------|
l amordetoinede tamie	|---|-|--|-|-||---|
gieuzaggrea bles	----|------⌫---|
desdeiz deses ches	--|---|--|--⌫---|
ou destables	-|--|-----|
ioueolieen teleman i ere	---||--|-|---|---⌫-⌫--|
quet ua ies	--|-⌫|-⌫--|
t ongieuahont efer e	-⌫-|---||----⌫|---⌫|
outacaancemal re tr ere	-|-|-----|--|--⌫--⌫--|
aitlepr izetlenour	--|-|--⌫-|-||----|
etquetu soies le	-|--|-|----|-|
ueutpo rsoid edire	---|--⌫|--|-⌫----|
aucun no mbregeteroudire	----|--⌫---|----|-|---|
tudoi zmesgeterporfere	-|---⌫|-------|--|---|
quel sachepl usque	-|-|----|--⌫-|--|
toi denombre	--|-|-----|
enque llieu quetadame uiengne	-|---⌫|---|--|-|---|------|
def ereli lieu tesouuiengne	-|-⌫--|-|---|-|---------|
siqueelle ne soitgr euee	-|--|---|-|---|--⌫---|
enpresseneenassemblee	-|-----|-|-|--------|
lieuz ladoiz aiesier	----|-|---|------|
sanzrioter	---|-----|
etsanznoisier	-|---|------|
chauceson pie a lafiee	-----|--|--||-|---|
oud esc ha uce silli	-|-⌫---⌫--⌫--||-|-|
sonmireourdoizsou steni r	--|------|---|---⌫-----⌫|
ets esmainsentonsain t en ir	-|-⌫-|----|-|--|---|-⌫--⌫-|
pour eschauferse ilsontfroid es	---|--------|-|-|---|-----⌫-|
i asoiezcen que tu	-⌫|----|--|--|-|
en ref roid e s	-|---⌫----⌫-⌫|
s ele commandeque tu	|--|-------|--|-|
aum ar chi e	-|-⌫--⌫---⌫|
etq ue tu l	-|-⌫-|-||
u ah astiuementcelepart	-⌫|-⌫---------|---|---|
etp lus tar t d elie ten part	-|-⌫--|---⌫|-⌫|--||-|---|
seaucun ueutque t e nrem aignes	-|----|---|--||-⌫|---⌫-----|
ua touzdizet neter efraign es	-|---|--|-|-|-|-⌫-------⌫-|
gar deque por	---⌫-|--|--|
rie n ne tauiengne	---⌫|-||-------|
que compai gni e t ereti en g ne	--|------⌫---⌫|-⌫|----⌫--⌫-⌫-|
c hansete lleuoille	-⌫---|-|-⌫--|-----|
que uiengesl aquique	--|------|-⌫|-----|
s endu i lle	|-|--⌫-⌫--|
tantos t uerslie	------⌫|---|--|
ta uoie esdresche	-|---|--------|
amoursnont curede pere sche	-----||--|---|-|----⌫---|
pieset u n as	--|-|-⌫||-|
tu n edoizdou termont ne ual	-|-⌫|---|---⌫--|---|-|--|
pluienegelee	----|-|----|
auerstada me	----|-|--⌫-|
a mors sont	-⌫---|---|
queq uenulme die	----⌫-|--|-|--|
especedecheualeri e	-----|-|---------⌫|
genzpo oro uset uouilzetfreles	---|--⌫---⌫-|-|-----|-|-----|
nesontmiedig nes pourelle s	-|---|--|---⌫--|---|----⌫|
amo rueltmai nteni r	---⌫|---|---⌫-----⌫|
gra nsdo lours a	---⌫-|--⌫----||
as oustenir	|-⌫-------|
i l nest pas mes t ierqu il s	-⌫||--|--|---⌫-⌫--|-|-||
defroitn ede uentnedepluie	-|----|-⌫|-|---|-|-|----|
maintefoizfroi tet	-----|---|----⌫|-|
teger rasdeloncetde le	-|---⌫--|-|---|-|-|-|
d el anu ita la	-⌫|-⌫|--⌫-||-|
pourle gredet amie	---|-|--|-||---|
maintefoiz	-----|---|
perd ras t onrepos	----⌫--|-⌫-|----|
pourespier	---|-----|
les lieux repos	--|----|----|
porrasten ir	-----|---⌫-|
nen puis se uenir	|-|----⌫-|----|
pouriouerot ada metendre	---|----||-⌫|--⌫-|-----|
tef audraala	-|-⌫----||-|
foizdescendre	---|--------|
parunedou touse fenestre	--|--|---⌫----|-------|
quiaam i e siam est re	--||--⌫-⌫|-||-⌫---⌫-|
s eufrestelzperilz	-⌫-----|---|-----|
defi ncuerteseront	-|--⌫|---|-|-----|
qu erf amenaderientelioie	--⌫-|-⌫--|||-|---|--|---|
comme quib ienuer s	----|--|-⌫--|---⌫|
lies enploie	--||------|
p oin t s etu loublies	-⌫---⌫|-⌫|-||------|
seron t t es amo ursdeparties	-----⌫|-⌫-|---⌫--|--------|
en b ougliern a pastantde guardes	-|-⌫------|||--|---|-|------|
comme enamorsseb ieni gardes	----|-|----|-|-⌫--||-----|
deriotenest pasdeliure	-|----||--|--|------|
estat d amer	----||---|
queril nestmal doulornepaine	---|-||--|--|-----|-|----|
quin esoit en	--|-⌫|---|-|
am orcertaine	--⌫-|-------|
aiesami abl es et	---|---⌫---⌫-|-|
les gen ztadame seschanbrieres	--|---⌫|-|---|--|----------|
salu erdoizp arsondr oi tnon	----⌫-|---|-⌫-|--|--⌫--⌫|--|
chascune comment quelaitnon	-------|------|-|-|--|--|
donner lordoiza borseouu ert e	-----|--|---||----|---⌫---⌫|
se ro nsade serte	--⌫--⌫|-|--⌫----|
petitdechoseloragree	----|-|----|--|----|
mesqu egayement	-----⌫|-------|
soit donnee	---|-----|
saches quebienenpleeras	-----|--|---|--------|
don zque tulo rferas	---⌫|--|-|--⌫|----|
ierespa re ulzledengié	----|--⌫|-⌫--|--------|
euf don néqu e ufmengie ́	--|---⌫--|-|-⌫-|------⌫|
gransdonznedoinsesatamie	----|---|-|------|||---|
iene letecomm ande	-|-|-|-|----⌫---|
gans c outea lsborsescheinturetes	---|-⌫-----⌫-|-----|-----------|
lidoin ses prop reset	-|----⌫--|----⌫--|-|
ente mpsque po mm es	-|--⌫--|--|--⌫--⌫-|
etcherises	-|-------|
noizresinzoufrui s	---|-----|-|----⌫|
dautre sguise s	|-----⌫|-----⌫|
serontbons	-----|---|
enprese n te	-|-----⌫-⌫-|
mont li plera	---|-|----|
seronment ente	----||---⌫---|
enuoieli enun	-----|-|-|-|
propr eetneitn e n	-----⌫|-|---||-⌫|
soies l anier	----|-⌫----|
direporras	---|-----|
setu essage	-|-|-|---|
quenu oiezte	-|---⌫---|-|
s unt du uil age	-⌫--|-|---⌫--|
i o li se tnouuel et	-⌫-⌫--⌫|-⌫|------⌫-|
puesenu oierunchapelet	---|---⌫---|-|-------|
cenprouu eraquequenul die	--|-----⌫--|-----|--|--|
quebiente menbredetamie	--|---|-|-----|-||---|
onquesui uantqui bienseu st	-----|--⌫---|--|---|---⌫-|
nedistqu een donz blasmeeust	-|---|--⌫|-|---|-----|---|
dexlito illecors	--|-|--⌫---|---|
quid it qu en donzpuetblasme auoir	--|-⌫-|-|-|---|---|-----|----|
cancho nsenuoie	------⌫-|-----|
et biau sditi es	-|----⌫|----⌫-|
quetu meismes arasd itiés	--|-|------|---|-⌫-----|
combien que telchos e	------|--|--|----⌫|
poiuai lle	--|---⌫--|
siest cenuneremenb raille	-|--|--|--|------⌫-----|
ditie zont unpoideloeng e	-----⌫|--|-|--|-|-----⌫|
mes amieg ranzd onzca lenge	--|---|-⌫---|-⌫--|--⌫----|
qui faitgranz d onztostaamie	--|---|----|-⌫--|---||---|
amo restparorcons eilli e	---⌫|--|--|-|----⌫-----⌫|
s o uide ou hosmeryu enoit	|-⌫---|-|-----||-⌫----|
ettouzsesbiau z	-|---|--|----⌫|
ditiez tenoit	-----|-----|
seil na portoit aucunechose	-|-||-⌫------|-----|----|
tost liseroitla porte clo se	---|-|-----|-|----|---⌫-|
famen es t mi e	---||--⌫|--⌫|
biena pri se	---|-⌫---⌫-|
quecouuoitise asiesp r ise	--|---------||-|---⌫-⌫--|
mespoienestquisages seent	--|--|-|--|--|----|----|
combien queestre	------|--|----|
leuoudreent	-|--------|
metdouzpar ler en tond it i e	--|---|---⌫--|-|--|-⌫--⌫-⌫|
ue uzbienestr eaquitié	--⌫-|---|----⌫|-------|
bia u d itiequisouuentlenuee	---⌫|-⌫---|--|------||----|
uautbienundon a lafie e	---|---|-|--||-|---⌫|
s eaucunech o seueuzfere	-⌫|-----|--⌫-⌫-|---|---|
p euzprofet a bletre re	-⌫--|------⌫-⌫--|---⌫-|
fai quetadamele	--|--|-|---|-|
sisentendrapou rbi e npaiee	-||-|-----|---⌫|--⌫-⌫|----|
seueu z atonseriantd onner	-|---⌫||--|------|-⌫----|
mesf etpard on n er	----⌫-|----⌫--⌫-⌫-|
a ugea tadameetli	-⌫--||-|---|-|-|
si q uefaitsoitasapreere	-|-⌫-|---|---||-|-----|
tefaitentremetre	-|---|---------|
dec hose o uilconuiengne metre	-|-⌫---|-⌫|-|---------|----|
me te du suen enbonneestriene	--⌫-|-|---|-|----|-------|
ettu en soustiengesla	-|-|-|----------|-|
combi enqu edufereaie sfeste	-----⌫----⌫|-|---|---⌫|----|
t udoi ztoutf ere	-⌫|---⌫|---|-⌫--|
asa reque ste	|-|-----⌫--|
lesgraces etgrezenretiengne	--|-----|-|---|-|--------|
etle profitdeuerstoyuieng ne	-|-|-----|-----|--|-----⌫-|
se bi en ueuz amors re tenir	-|--⌫-|---|----|--⌫----|
pouresbahi	---|-----|
te doiz tenir	-|---|----|
des grans biautes ta	--|----|------|-|
dame chiere	---|-----|
etdesatres noble ma nier e	-|-|-|---|----|--⌫----⌫|
selleauesturobe moree	|---||----|---|----|
ou blancheou uerte	-|------|-|----|
o u mellee ouiauneouue rmeille	-⌫|-----|-|----|-|--⌫------|
diquele lisiet	-|-|--|-|---|
amerueille	|--------|
se deiouaux d	-|-|-----||
etproprem en tenlumi nee	-|-------⌫--⌫|------⌫--|
bia utetoutso rmo nte	---⌫--|---|--⌫---⌫--|
auerslie nestd es	----|--||--|-⌫-|
iouaux cont e	-----|----⌫|
est en cote	--|-|---|
sa nztarde r	--⌫-|-----⌫|
diquele t efet	-|-|--|-⌫|--|
lyqu egardepr enge	-|--⌫|----|--⌫---|
queblasm eou fr oit nelisoru ienge	--|-----⌫|-|--⌫--|-|-|----⌫----|
seellea g uinpleou	-|---||-⌫-----|-|
queu u rec h ief	----⌫-⌫---⌫-⌫--|
loeson a bitderechie f	--|--|-⌫--|--------⌫|
gu isequ else	--⌫--|-|-|-|
di qu illisietqueque nul die	-|-|-|-|---|-----|--|--|
selle c ar oleous elledanc e	|---|-⌫--⌫--|-||---|----⌫|
tudoizloer sa contenanc e	-|---|---|-|---------⌫|
ch ante surtoutechose	--⌫---|--|----|----|
loesauoizmelodi ose	--|-|---|------⌫--|
quantl e gieuseraabessié	----|-⌫|---|---|-------|
et ta da m earadelessié	-|-|--⌫-⌫|--|--------|
achanterou	|------|-|
a cenplaindret	|--|-------||
tu doiz loertout	-|---|---|---|
et sa contenancedeliet	-|-|---------|-|---|
issiporras tu	---|-----|-|
ga rdertes	--⌫---|--|
amors longuement	----|---------|
quiueutam er nefachemie	--|---|--⌫-|-|----|--|
songremesle gredesamie	--|--|--|-|--|-||---|
seignorieens emble	--------|---⌫----|
n e puentdurerce mes emble	-⌫|----|----|-|-|-⌫----|
setadamees tcruele	-|-|---|--⌫|-----|
pource n ne te	---|--⌫|-|-|
desasse ur e	-------⌫--⌫|
quercesontlesfam esquis oient	---|-|---|--|---⌫-|--|-⌫----|
quimiexuers	--|---|---|
lors amans se nploient	---|----||-⌫-------|
s i sagementla lo ee t pri se	-⌫|-------|-|--⌫|-⌫|---⌫-|
nepergeestre	-|----|----|
nefaypa sq ueton uou tdestrie	-|--|--⌫|-⌫-|--|---⌫|------|
