silzliuresquestcien	---|-----|-|--|-|-|
uienen bi entimarrai sanzdoute	---|-|--⌫-|||-----|---|----|
liai gnea xdistnem est a mere	-|--⌫----⌫|---|-||--|-⌫---|
lachie uremesdou ce conmere	-|----⌫--|--|---⌫-|--|---|
messiresuu et	--|----|--⌫-|
que manorrice	--|-|------|
s oitelefait b ienson o ffice	-⌫--|--|---|-⌫--|--|-⌫----|
ie uispor cequen sasaison	-|--|--|-|-|-|-|-----|
tondemesmaistresma toison	----|--|-------|-|-----|
iedoifairesa	-|--|----|-|
qua r ieuiss ou	---⌫|-|--|-⌫-|
pe rs abontey	--⌫|-⌫|-----|
uoilu ersma mere	---|-⌫--|-|---|
tost m auras tolu l obaler	---||----|---|-⌫|----|
iamois miezsuccierlachiurele	|----|---|------|-|-------|
q u estreplongiezen ta boele	-⌫|----|-------|-|-|----|
l ilechierre s atant	-⌫|---------⌫|----|
l i aig neax	-⌫|---⌫---|
retorneensonpart	------|-|--|---|
suremant u iureet enliesce	-------|-⌫---|-|-|-----|
soremont e to uterichesce	--------⌫|--⌫--|-------|
quide s pan tenchaitisus a ige	--|--⌫-⌫---⌫|-|------|--⌫-⌫--|
s esbienssers es t sans seignoraige	-⌫-|----|---|--⌫|---|----------|
abondroitainon de seignour	|--|----|-|--|-|-------|
quisesbien sdespen t	--|--|----⌫|------⌫|
chose nedema nder moillou r	----|-|----⌫---|-------⌫|
que trouer ueraicons oi llour	--|-----|----|----⌫--⌫----|
etneestchosequipisuaille	-|-|--|----|--|--|-----|
qui fausemantconsoille	--|--------|--------|
deconsoildoner	-|------|----|
faintemant	---------|
uaignentmains m axcertai nnemant	-------|----|-⌫-|------⌫------|
d epiez dedanzfitarmeure	-⌫|---|-|---|--|------|
et d e iou an teachien	-|-⌫|---⌫--⌫-||----|
piezot legi eretdan z p oignant	---|-|----⌫-|-|---⌫|-⌫------|
fortiouanteetentrepr ei g nant	---|------|-|-------⌫--⌫-⌫---|
detoutcelodesui t	-|---|-|-|-----⌫|
de iouantl itost laproesc e	-|-----|-⌫|---|-|------⌫|
e td es piezlalegeretey	-⌫|-⌫-|---|-|--------|
etdes for z denz lafermetey	-|--|---⌫|---|-|-------|
u nlieure o t uniourretenu	-⌫|-----|-⌫|-|---|-----|
es t m a lau enu	--⌫|-⌫-⌫|--⌫--|
qu ardesaboichedefferm ee	--⌫-|-|-|-----|-------⌫-|
lifustt ostlabe st ee schapee	-|---|-⌫--|-|--⌫--⌫|-⌫------|
ses m aitres	--|-⌫-----|
li chienslires pontbeaz	-|-----|-|---⌫---|---|
enmoniouantcepuism entoiure	-|--|-----|-|---|-⌫-------|
nepotb estemonpiedecoiure	-|--|-⌫---|--|--|-------|
mauillesceabon	-|-------||--|
droit seuante	----|-|----|
doumerite desaiouante	--|-----|-|-|------|
de ma proesc eetdemagloire	-|-|------⌫|-|-|-|-----|
do i tdemor er quel que	--⌫-⌫|-----⌫-|----⌫--|
ieuoisbien	-|---|---|
qu amoursest tostmorte	-|-----|--|---|----|
quiperdonernelac omport e	--|--|----|-|-|-⌫------⌫|
chescunsd etant	-------|-⌫|---|
conpuetseruir	--|---|-----|
puetamour desseruir	---|----|--------|
tandisqueiefisl esgransdons	--------|-|--|-⌫-|----|---|
adonc recuiieles guierdons	----|----|-|--|--------|
o r suisuiezpa ulese tnerci	-⌫|---|---|--⌫---|-⌫|----|
etnu nsnehademoi me rc i	-|--⌫-|-|-|-|--|--⌫--⌫|
n ene st nunscu ide moi seuiegne	-⌫||-⌫-|---|--⌫|-|--|-------|
nequ idemoi paroletie gne	-|--⌫|-|--|-----|---⌫--|
senmoniouan tmeposamer	|-|--|-----⌫|-|--|---|
nemedoizora ndro it b lamer	-|-|---|-|-⌫|---⌫-|-⌫----|
r endrem e doiz	-⌫----|-⌫|---|
enmau illes ce	-|-|-⌫-----⌫-|
l o seru is e de	-⌫|----⌫--⌫|-|
ma iuenesce	-|-------|
s aichesmal	-⌫-----|--|
aisapoinne mise	-|-|-----|---|
a mal uaisfai t seruise	|---⌫---|---⌫|------|
a sesser sne	|--|---⌫|-|
a sa maignie	|-|------|
nesparmehons ploinsdefelonie	|------|---|-----|-|------|
libois comance for ta bruire	-|---|------|---⌫||-----|
etles lieu res pro ignentafuire	-|--|----⌫--|---⌫-----||----|
estants ont arestees	-----|-⌫--|-------|
de pa ou r toutese sg arees	-|--⌫--⌫|-----|-⌫--⌫----|
tant l esf istp aou r e s maier	---|-⌫-|-⌫--|-⌫---⌫|-⌫-⌫----|
quales seuol oient	-|---|-|---⌫----|
iusquatant queles	----||---|--|--|
raignesu ir ent	------|-⌫--⌫--|
qu enlesta n tperpaoursaillirent	-|-||----⌫-⌫|--|----|---------|
liunsd istha ons e sperance	-|--|-⌫--|--⌫--|-⌫-------|
departno snestpaslameschance	-|---|--⌫||--|--|-|--------|
legieremantdote	----------|---|
paournaitenl	----|---|-||
aigue se bo te	----|-|--⌫-|
cuersquestpaourousp er	----|-|--|-------|-⌫-|
se dote enchose	-|---|-|----|
q uestsegure	-⌫|--|-----|
decorsauonslegieretey	-|---|----|---------|
m esdec uerauonspoure tey	-⌫-|-|-⌫--|----|-----⌫--|
dat ruich osealonsf acant queste	|--⌫--|--⌫--|----|-⌫----|-----|
p orcenou s fa itp aourmole ste	-⌫-|-|---⌫|--⌫-|-⌫---|----⌫--|
qu ar quiuuet l au truicho s eambler	--⌫-|--|---||--⌫---|---⌫-⌫|-----|
souantsue t	-----|---⌫|
depaourtrambl er	-|----|------⌫-|
ci lf a itno suuetamones ter	--⌫|-⌫-⌫-|--⌫|---|------⌫--|
quenesperantdauonsdoter	-|-|-------|-----|----|
quepaourtant	--|----|---|
nenospresso it	-|--|------⌫-|
quespera ncenous de l a i s soit	-|------⌫--|---|--⌫-⌫-⌫-⌫-⌫---|
esperancelocuerrelieue	--------|-|---|------|
que paourtro psoutema nt gr i eue	--|----|---⌫|-------⌫-|--⌫-⌫--|
pere spera nce fortreprise	--|-⌫-----⌫--|---|------|
est mainteuicto irecon quise	--|-----|-----⌫--|---⌫----|
q uard emort	-⌫--|-⌫|---|
furentenbalance	-----|-|------|
mainz qu epuiss alueesperance	----|--⌫|---|-⌫---|--------|
l ichieu re sanuai	-⌫|-----⌫-||-|--|
en po rchet	-|--⌫----|
o uburg i zlaisse son bo uc het	-⌫|----⌫-⌫|-----|--|--⌫--⌫--|
iusafertaunesa rruir e	--||---||--|--⌫-----⌫|
qu estestach iez af ortclouhuire	-|--|------⌫--||-⌫--|--------|
l a mere sonenfant ensoi gne	-⌫|---|--|-----|-----⌫--|
q uebiendesoi garde	-⌫-|---|-|--|----|
beaxfils tenezuosd	---|---|----|--||
nalezpasioantperlopar t	|---|--|----|--|-|---⌫|
taur oitiai fait	|---⌫--|--|---|
lilous qui nainmeton lignaige	-|---|--||----|--|-------|
liche u riztoz coisest	-|---⌫-⌫--|--|--||--|
pou apreslilou s est uenuz	--|----|-|---⌫|--|----|
aluscoiemant t ape etbote	||-|-------|-⌫--|-|---|
pe t itc olfiertdesa	--⌫-⌫-|-⌫-|----|-|-|
gran tplote	----⌫|----|
dechieurecontref aitlag u ise	-|------|-------⌫--|-|-⌫-⌫--|
au che uridit pergran tfointi se	-|---⌫--|--|--|----⌫|------⌫-|
be ax fiz oure moitostlaporte	--⌫-|--|---|--|---|-|----|
mon laitt aigu ardéque t	--|---||-|--⌫----|--||
licheuriz ditfo us	-|------|--|--⌫-|
pe rillou s	--⌫------⌫|
ie conois bien que tues	-|-----|---|--|-|-|
est e de lai fauschiuroterres	---⌫|-|--|---|-----------|
tu sa mb le	-|--⌫--⌫-|
moutbien estrelerre s	---|---|----|-----⌫|
porceuuezm ameresamble r	--|-|---|-⌫|---|------⌫|
quetumepuissesmiez	--|-|-|------|---|
ie t euoisperune	-|-⌫|---|--|--|
e tbien sa i	-⌫|---|--⌫|
conoistre t a face	--------|-⌫|---|
ie primou tpout on ch iuroter	-|--|---⌫|--|-⌫-|--⌫------|
ua tent netepuis	-||--|-|-|---|
rie nsdot er	---⌫-|---⌫-|
lifil zquitien tlen soignemant	-|---⌫|--|----⌫||--⌫---------|
de son per euit saige man t	-|--|---⌫|--|-----⌫---⌫|
etcil quin ou uuetretenir	-|--|--||-|---|------|
apoi nnespuetabienuenir	|---⌫---|---||---|----|
liflours deb o ncomancemant	-|-----|-|-⌫-⌫|----------|
fait fruitdebon definemant	---|----|-|--|---------|
cil qui neuuet croir edoctrine	--|--|-|---|-----⌫|-------|
sambleestred emale	-----|----|-⌫|---|
u nse rpent n orrit ens atauble	-⌫|--⌫----|-⌫----|-|-⌫|-----|
u nshonsmout lofist a miabl e	-⌫-|---|---|-|---|-⌫-----⌫|
tant l adoucoittantl aplaig noit	---||-------|---||------⌫---|
q uelopainensama inprei gnoit	-⌫-|-|---|-|-|--⌫-|----⌫----|
en sin cain o rricelebeste	--⌫---⌫|-|-⌫-⌫--|---|----|
lipr o ud on sg rant tensen	-|--⌫-⌫--⌫--⌫|-⌫---|---|-|
grantfeste	----|----|
apres enio antse corrouce	----|-|--⌫--|-|-------|
etsonseignouren	-|--|-------|-|
sa m a inbloce	-|-⌫-⌫-|----|
futo rnez enmoleste	-|--⌫---|-|------|
quarlo serpe nt fier t sus lateste	---|-|-----⌫-|----⌫|--|-|----|
lipr oudons permout	-|--⌫-----|--|---|
grantcorrouz	----|------|
abien pres l if ustlicolrouz	|---|---|-⌫|-⌫--|-|--|---|
en une roicheotsamaison	-|--|-----|-|-|-----|
p or auoir	-⌫-|----|
pou reteytoillitsasustance	---⌫----|------|-|-------|
aupro udomee t perditc heuance	-|---⌫----|-⌫|-----|-⌫------|
ilcuidedexso itcorrociez	-|----|--|--⌫-|--------|
decequostle	-|-|-|--|-|
serpantb laciez	------|-⌫-----|
auserpentme rciuaiproi er	-|------|--⌫--|--|----⌫-|
cilneliu o st	--|-|-|-⌫-⌫-|
paisoutroier	---|-------|
mai sli dis t	---⌫|-|---⌫|
paisne stencourfaite	---||-⌫-|-----|----|
tuquiersmercil	-|-----|----||
espee tra ite	----|---⌫--|
t an tcon tu portessigrant	-⌫--⌫|--|-|-----|-|----|
nesui iepais surqueiesaiche	-|--|-|---|--|--|-|-----|
demainamoi	-----||--|
retornerés	----------|
l achose quemuezame rés	-⌫|----|--|---|---⌫---|
san zarmesauuect oi	---⌫|----|----|-⌫-|
ieuousdonrairic he sce	-|---|-----|---⌫--⌫--|
ie suid esse rpe nz qu elon c la inme	-|--|-⌫-|--⌫---⌫-|--⌫|--|-⌫--⌫---|
f ees t ost	-⌫--|-⌫--|
estrichescuiia inme	--|-----|--||-⌫---|
de granta uoirg ar doisla some	-|----|-⌫---|-⌫--⌫---|-|---|
to sten aifait richez zproud ome	--⌫-|-|-|---|----|-⌫|-----⌫--|
liprou d onsde tout	-|----⌫-⌫--|-|---|
sanzp ort er	---|-⌫---⌫-|
aicheneui sarme	----|-|--⌫----|
son filamo inne	--|--|---⌫---|
l ande mai n	|----⌫---⌫|
cil licou rtsustoutmainnemain	--|-|---⌫-|--|---|---------|
deuan t laface deson per e	-----⌫|-|---|-|--|---⌫|
lefistmorirdemortamere	-|---|----|-|---|----|
liperesbiensa ncuidefuir e	-|----|---||-⌫|----|----⌫|
me scil l o	--⌫|--|-⌫|
sosttrop bienconcluire	---|---|---|--------|
contreluideforcesempoint	-----|--|-|----||------|
laceesdanslop oint	---|-|---|-|-⌫---|
as alanguequilotforchue	|-⌫|-----|-|-|-|------|
le ntoiseta nt que	|-⌫-----|--⌫-|--|
cilq uiunefoizma malm is	--|-⌫-|--|---|||----⌫-|
s aichene suipai s	-⌫----|-|--|---⌫|
poumenui t	--|-|---⌫|
safau seamis tie	-|---⌫-|----⌫--|
puis queieuoi s ama uais ti e	----⌫--|-|--|-⌫|--⌫----⌫--⌫|
die cil f o lnes enpercoit	--|--|-⌫-⌫|-||-|------|
selaseco nde	-|-|----⌫--|
q uest defoimuable	-⌫|--|-|--|-----|
c estfie rechosedomaiaubl e	|--|---⌫-|----|---------⌫|
quiserepent desa folie	--|-|-----|-|-|----|
ie liperdoinsper c o rtois ie	-|-|-------|--|-⌫-⌫-----⌫-|
qu ardeperdon doitauoirgrac e	--⌫-|-|-----|---|----|----⌫|
bon cu erlo porchace	--|--⌫-|-|-------|
quiune f oizma uolu	--|--|-⌫--|||---|
etpuis apresmec uid e	-|---|----|-|-⌫---⌫|
lip r e miersmesf a it est imer	-|-⌫-⌫-⌫----|----⌫-⌫-|---⌫---|
qu a secon m euuetuenime r	-||----|-⌫|---|------⌫|
licorbe azunmuydefr om ant	-|-----⌫-|-|--|-|--⌫--⌫--|
deuant lo louen iugemant	-----|-|--|-|-------|
simpleberbizdemande	-----|-----|------|
a re n drelicomande	|--⌫-⌫--|-|------|
li berbizr espont	-|-----|-⌫-----|
beaxdouzsire	---|---|---|
auosn e doit nunscont redire	|--|-⌫|---|---|----⌫-----|
uostre uelontey u uil b ienfaire	-----|-------|-⌫--|-⌫--|----|
q uantq ueuos pl aitilme	-⌫-----⌫-|--|--⌫--|-|-|
doi tplair e	---⌫|-----⌫|
mesq ueiourm asignez coma nt	----⌫-|---||------|----⌫-|
pui sse porchac ier cel froman t	---⌫--|-------⌫--|--|------⌫|
lilou slotermine l i mest	-|---⌫|-|------|-⌫|---|
cele pers afoi lipromest	---|--|-⌫|--|-|------|
q ua corbea ldoit	-⌫||------⌫|---|
aiournommeysenzplus atandr e	|---|-----|---|---|------⌫|
a i our depaiemant	|-⌫--|-|-------|
requiert sadateaitiue mant	-------|-|---|------⌫---|
respon t c oue n a nc e	------⌫|-⌫---⌫-⌫-⌫--⌫|
neuaut riensconfait perdotance	-|---|----||-|---|--|------|
quiest cilqui locontredie	--|--|--|--|-|--------|
puisq ueu uillegardersauie	-----⌫-|-⌫----|-----|-|--|
pour ce mestue te nsap resance	---|-||-----⌫|-⌫|-|-⌫------|
outroiersafausesentence	-------|-|----|-------|
apristsoul timantcombatre	-----|----⌫-----|-------|
l oubarat p er barat	-⌫-|----|-⌫-|----|
ton outraige	--|-------|
pe rm onsauo ir	--⌫|-⌫-|----⌫-|
uuil aceste	---||----|
foiz deceuoir	---|-------|
cis texam plesnosdoneentandre	---⌫|----⌫---|--|---|-------|
c omant paourn os	-⌫----|----|-⌫-|
doi td effendre	---⌫|-⌫-------|
paou rqu ichiet encuer	----⌫|--⌫|----|-|---|
e s tabl e	-⌫-⌫----⌫|
nonpase n cuerfoletmu able	--|--|-⌫|---|--|-|--⌫---|
cil qu itostchan cel e	--|--⌫|---|----⌫---⌫|
por u ne pet itenouele	--|-⌫-|---⌫--|-----|
cuersuaill antdomesaige	----|-----⌫--||--|----|
quina pa isflai nchissantcoraige	--|||--⌫-|----⌫--------|------|
ent ouzleusdoitestre excus a ble	-|-⌫--|---|---|----|-----⌫-⌫--|
quilifaitchos eesp ouantauble	--|-|---|----⌫|---⌫---------|
lidr oizsuetlesconsaznoter	-|--⌫--|---|--|-----|----|
per quoi fortc ue rss e pu etd ote r	--|---|---|-⌫--⌫-|-⌫|--⌫-|-⌫---⌫|
ui rgecuilo n uu et fai re outraige	--⌫--|--|--⌫|--⌫-|---⌫-|-------|
porcorrompresonpucelaige	--|--------|--|--------|
f r ansque	-⌫-⌫--|--|
ne soit submise	-|---|------|
a u ilserui tutsafranchise	|-⌫-|-----⌫--|-|--------|
perildem ortoude	----|-|-⌫--|-|-|
force con troint forman t	----|---⌫-----|------⌫|
ce sontl esyyplusnot ables	-|---|-⌫-|-|---|---⌫----|
sau trescauses troues samblables	|--⌫---|-----|-----|---------|
desam blantsamblant iugemant	-|---⌫----|-------|-------|
c edi s t la lat requi	-⌫|--⌫-⌫|-|---⌫-|--|
chosepertel paour	----|--|--|----|
nedoitchoir	-|---|----|
enplaitn e en	-|----|-⌫|-|
car eleneu autsimple mant	--|--|-|-⌫--|------⌫---|
ennu lcommunaliugemant	-|--⌫|-------|-------|
neuautdo ncchosequestesto rc e	-|---|--⌫-|----|-|--|----⌫--⌫|
baratouperforce	----|-|--|----|
dementirner ecoit pointd onte	-|-----|-|-⌫----|----||---|
cuigriezuiolan ce	--|----|------⌫-|
e spao nte	-⌫----⌫--|
encont r etelneuautchalonge	------⌫-⌫|--|-|---|-------|
qu ardroits osti ent celem a nconge	--⌫-|----|-⌫----⌫--|---|-⌫-⌫-----|
un uilainchaluemor tla moche	-|-----|-----|---⌫|-|----|
sap oignantb oche	-|-⌫------|-⌫---|
cil sefiertpor ce	--|-|----|--|-|
qu illafiere	-|-|-|----|
celesenfuitpuis t ornee rri ere	---||-|---|---|-⌫---|-⌫---⌫--|
l ouil a in fi ert c ome	-⌫|---⌫-⌫-|--⌫--|-⌫--|
s enretorne fuiant	|-|------|-----|
liuilain s	-|------⌫|
dit tuuasquerant	--|-|--|------|
tond errierio uren	--|-⌫-----|--⌫-|-|
moi ferant	--|-----|
pertoi mateste uire	--|--|-|----|---|
ou seme morztuprenz arire	-|-|-|---|-|----||---|
seietefiertues	-|-|-|---|-|-|
quaprescenepo rrastu	-|----|-|-|--⌫---|-|
des tiensco pspuis	--|----|--⌫-|---|
prousostenir	---|-------|
quargranzmau sne manpuet	---|----|---⌫|-||-|---|
por soffrirma	--|------|-|
forceestgarni e	----|--|-----⌫|
entoi nea i plain	-|--|-|-⌫|----|
pointdeuie	----|-|--|
ieusreceuoir	---|-------|
si feraisauo i r	-|----|----⌫-⌫|
cilne doi t i oera nu lui	--|-|---⌫|-⌫--||--⌫--|
quine uuetconio o italui	--|-|---||-|--⌫-⌫-||--|
cilquiuueti oer p e rmen iere	--|--|---|-⌫--|-⌫-⌫|---⌫---|
seloncc e c onlo fiertrefi ere	-----|-⌫||-|-|----|----⌫--|
ilne pesso it mesure	-|-|-----⌫-|-----|
connelotenit ain iur e	|-|-|-|----||--⌫---⌫|
car souantpersolaz coman ce	--|-----|--|----|-----⌫-|
liieusdon uientgra nt maluoillanc e	-|---|--|----|---⌫-|-----------⌫|
liuulpilla cioigne a pelle	-|-----|-|------|-⌫----|
ent raison	-|-⌫-----|
uolu nte yse dex meuoie	----⌫---⌫|-|--|-|---|
l onc ten sha de	-⌫--|---⌫|-|-|
uosfai re io ye	--|---⌫-|--⌫-|
uenez auuecmoien	----|----|--|-|
si maingeronsagr ant	-|---------||--⌫--|
lauiandeestapa ro i llie	-|-----|--|---⌫--⌫-⌫---|
la cioign eouuulpi l se fi e	-|------⌫|-|-----⌫|-|--⌫|
samaisonlanmoinne	-|-----||-|-----|
pornoiant lif ai t a uoirpo inne	--|-----|-|-⌫--⌫|-⌫---|--⌫---|
doneyl i a iuiandec l e re	----|-⌫|-⌫|-----|-⌫-⌫-⌫-|
ne li futdoucenea mere	-|-|--|----|-|-⌫---|
alacioigne telpastu re	|-|------|--|-----⌫-|
ne afiertselonc sanature	-|-----|-----|-|-----|
mesch osebien sustancio use	--|--⌫--|---|---------⌫--|
etengrantcol bien s auerouse	-|-|----|--|---|-⌫-------|
li u ulpiz	-|-⌫----|
enbeuantmainiue	-|-----|------|
dolouresco mmue	-----|----⌫---|
ladolour li	-|-----|-|
faitc onc euoir	---|-⌫---⌫----|
comantdoitre nart	-----|---|--⌫---|
d e r e nart part de fainmorant	-⌫|-⌫-⌫---|---|-|---|-----|
sonc hemin sanuaimurmurant	--|-⌫----||-|--|--------|
landemai n	|-------⌫|
troue enmi sa	----|---|-|
re nartmout d oucemantlipr oie	--⌫---|---|-⌫-------|-|--⌫--|
uienansi demarrons	---|-|-|--------|
grantfeste	----|----|
lauiandeest	-|-----|--|
ia toutepreste	-|----|-----|
ienec roiconques maisgostee	-|-|-⌫--||-----|---|-----|
fut uiandeplussa uoree	--|-----|---|--⌫----|
chieslacioigneren arz antre	----|-|------|---⌫--|----|
q ui bien cuid oi t emplirson uantre	-⌫-|---|----⌫--⌫|-----|--|-----|
failliasesp erance	-----|||---⌫-----|
d euia ndeu oitla	-⌫|---⌫--|-⌫--|-|
samblan c e	-------⌫-⌫|
lasu s tancene	-|--⌫-⌫----|-|
p uetauoir	-⌫--|----|
cefu fait porlui	-|-|---|--|--|
danzzzpot deuoirr e	---|-|--|-|-----⌫|
auo itmis e	---⌫-|---⌫|
lauian deper	-|----⌫-|--|
grant fointise	----|-------|
lac ioigne porso iuang ie r	-|-⌫-----|--|--⌫|----⌫--⌫|
uoitlarena rt n anpuet ma ing ier	---|-|----⌫-||-|---|--⌫---⌫--|
l odou r santetuoitlacolour	|----⌫|---|-|---|-|-----|
mesn en puet	--||-|---|
au oirlaua lou r	--⌫--|-|--⌫---⌫|
l ifai nsliest d ouu oir	-⌫|---⌫-|-|--|-⌫-|-⌫--|
mesderie nsnelifu st soul ee	--|-|---⌫-|-|-|--⌫-|----⌫-|
a u moin squilp ue t e n quiseior n e	-⌫|----⌫|-|-|-⌫--⌫|-⌫-⌫--|-----⌫-⌫|
maisonretor ne	-----|-----⌫-|
ensinccontre rena r tdescoc he	-----|-----|----⌫-⌫|------⌫-|
lacioigne saproprefloche	-|------|-|-----|-----|
ontous est quantde cu zs euoit	-----|--|----|--⌫--⌫|-⌫|---|
a mi auoit	-⌫-|----|
traisons estlo i alet bone	-------|--|--⌫-⌫-|-|---|
