di reledoit	--⌫-|-|---|
en son tref	-|--|---|
deuant luicanter	-----|--|-----|
messel archep restre	----||------⌫-----|
maisanchois sestoit	---|------||-----|
fais confes	---|-----|
ettrestoute lios	-|--------|-|-|
senestoie n tplus aseur	|-|------⌫-⌫|---|----|
carchiexest enclosdebon m ur	--|----|--|-----|-|--|-⌫-|
q uiestconf e s est	-⌫-|--|----⌫-⌫|--|
lirois fis t ses tromp es	-|---|---⌫|--|-----⌫-|
p lu sgrans	-⌫--⌫|----|
sonnerpour segent esbaudir	-----|---|-|---|-------|
adontprisent toutaissir	----|------|---||----|
seu rl esd estrier s	---⌫|-⌫-|-⌫-------⌫|
armé sensanle	-----⌫|------|
et chiex et airset terreentranle	-|----|-|---|-|----|-|-----|
li r oisseseskieleso rd ene	-|-⌫--|--|-------|-⌫--⌫--|
seurse sfiexlepremiere	---|--⌫|---|-|-------|
l asecondeseu ryseng rin	-⌫|------|---⌫|-----⌫--|
quirenarthet degra ntcuerfin	--|-----|--|-|---⌫-|---|--|
se urb rikemerle chierfletierch e	--⌫-|-⌫------|-|-----|-|------⌫|
entrep rimee ttierche	----|-⌫---|-⌫|------|
est oitet lequartebailla	---⌫--|-|-|-----|-----|
asyy ouilm out se fia	-|-|-|-|-⌫--|-|--|
lecameletledromadaire	-|----|-|-|---------|
delequin ten e me doi taire	-|-|----⌫-|-⌫|-|--|----|
cheliliroisc aiele et guye	----|-|---|-⌫----|-|---|
nulnen i aqui	--||-|||--|
pourrienf uie	---|---|-⌫--|
etatardieu	-||------|
l elim echon	-⌫|---⌫----|
baillasonr oial go nfanon	-----|--|-⌫---|--⌫-----|
serreemente nun t ropel	---------|-⌫|-|-⌫----|
maine liroi slesunpra el	----|-|---⌫|--|-|---⌫-|
seskiele et soncors	|------|-|--|---|
quar ca la rch eprestr etimer	----⌫-||-⌫---⌫-------⌫|----|
cantecleret be linaussi	--------|-|--⌫--|----|
pourchequilsontpreuethardi	---|--|-|-|---|---|-|----|
lirois abataillea meschief	-|---||-------||-------|
yy mile contreyym ilgrief	-|---|-----|-|-⌫-|----|
p aourane moustre	-⌫---||-|------|
gentuaamonnestant	---|-|----------|
de bienfai r e et c hascuns respo nt	-|---|---⌫-⌫|-|-⌫------|-----⌫-|
ca uiour duipreudonmeseront	|-⌫|---||-|--------|-----|
lorsse smu euenttoutconmun al	---||-⌫---⌫----|---|------⌫-|
enuonttout le fonsdunual	-|---|---|-|---||-|--|
amontu i enent desi auplain	----|-⌫-⌫----|---|-|----|
queiltrou uerontpresquen	--|-|----⌫-----|-----|-|
dege n t a bat aillerengu ie	-|--⌫-⌫||---⌫----|-----⌫-|
qui toutie rentd e	--|---|--⌫---|-⌫|
renar tpaour an en puetmais	-----⌫|----|||-|---|---|
li r o iset biengreastlepais	-|-⌫-⌫-|-|---|-----|-|---|
e tles d amagesr estorast	-⌫|--|-⌫-----|-⌫-------|
q ue re na rsaett out le wast	-⌫-|--⌫--⌫-||-|-⌫--|-|---|
e tdelmeffai tle	-⌫|--|------⌫|-|
clam as tquite	----⌫--⌫|----|
silfust q u	|-|---|-⌫|
e n parlast a l e fuite	-⌫|------||-⌫|----|
semeist silosastdehont e	-|----||-|----|-|----⌫|
renarsqui bien	-----|--|---|
set queche monte	--|--|--|----|
de guerreetuoitliro i s	-|-----|-|---|-|--⌫-⌫|
aet quil e na lemeilleur	|-|-|-|-⌫||-|-------|
a se uolente	|-|------|
enluimeis mesape nsé	-|--|----⌫--||--⌫---|
sag es est	---⌫-|--|
qu ifa itd esontort	--⌫|--⌫-|-⌫|--|---|
son droitse mesiresamort	--|----|-|-|----||---|
etto ut chilochis	-|--⌫-|---|----|
qui oluisonts atantd	--||--|---|||---||
i lse roituen giés	-⌫|--⌫---|---⌫----|
de mortetseroiecachiés	-|---|-|-----|-------|
l im ie ndure gnehors	-⌫|-⌫--⌫|-|--⌫--|---|
etens eroieenlefinmors	-|-|-⌫----|-|-|--|---|
pais nepuisfai re	---|-|---|---⌫-|
aieho nnou r	--|--⌫----⌫|
carchascun suoit bienlemeil lo ur	--|-------⌫|---|---|-|----⌫--⌫-|
en a i e tse iemumelie	-|-⌫|-⌫|-|-||-----|
amenplusbelie ne	|--|---|--|-|-|
queien ai eduroipardon	--|-||--⌫|-|--|-----|
etsim a rontc hier	-|-||-⌫---|-⌫---|
etsimepo rraibien uengier	-|-|-|--⌫---|---|------|
d yse ngrin que ie naipointchier	|---⌫----|--|-||-|----|----|
et auroile	-|-|--|-|
porr ai mer l er	----⌫-|---⌫-⌫-|
pour chequeparlui recaupe r	---|--|--|--|--|-------⌫|
etparse nconse ilfi st lirois	-|--|--⌫|-----⌫-|--⌫-|-|---|
les saus si cuit bienains un	--|---|-|---|---|---|-|
estre gran s	----|----⌫|
maist resde lostel	-----⌫--|-||----|
aq uerra iun l ostel	--⌫-----⌫|-|-⌫-|--|
d edensun mo i sque	-⌫----|-|--⌫-⌫|--|
silmoroi t	|-|-----⌫|
demoiie croi fer oit	-|--|-|---|---⌫--|
souurainbailli euet s iseroie	-------|------⌫-|-|-⌫|-----|
bausdesenfantset	---|--|------|-|
si porroi e	-|------⌫|
estre rois tesuenspuetuen ter	----|---|--|---|---|---⌫--|
etme sanemismoutgr euer	-|--⌫|-----|---|--⌫---|
e t faired ausmeu olent e	-⌫|----||--|-|-⌫-----⌫|
ilottoutc hepe nsé	-|-|---|-⌫-|--⌫---|
aso n conseil ieh isoncuer	|--⌫|------|---⌫|--|---|
de pa isfaireetdist anul	-|--⌫-|----|-|---||--|
enc on tresonsigneur	---⌫--⌫--|--|------|
abatail leet silochio it	|------⌫-|-||-|-----⌫-|
le gentetle	-|---|-|-|
roi seroit il	--|-----|-|
pour che quitespar fo i	---|--|-----|--|--⌫|
en ser oit essillie	-|---⌫--|-------|
etieetto uteme	-|-|-|--⌫--|-|
mais sauésuousqueie ferai	---|-----|---|--|-|----|
descau setnus	------⌫|-|--|
criermer c hiauroinoblon	----|---⌫-⌫-|-|--|-----|
ie saibie n qu e	-|--|---⌫|--⌫|
iauraipardon	|----|-----|
m a iss ensi estoitq u eli r o is	-⌫-⌫-||---|-----|-⌫-⌫|-|-⌫-⌫-|
mettre enson defois	-----|-|--|-----|
e tne meu a us ist p ardonner	-⌫|-|-|-⌫-⌫--⌫--|-⌫-------|
sencourouc ieuousuoei lrouuer	--|------|-|---|----⌫|-----|
et conm ander s ecouruss oie	-|----⌫----|-⌫------|-⌫--|
iemen u oisfaitesm e gentc oie	-||-|-⌫--|-----|-⌫|---|-⌫--|
s o itiusques aur oi ne	-⌫-⌫-|------|-|-⌫-|-|
ienousflechis lesa lua	-----|------|-|--⌫--|
etli prie pourdieu merch i	-|-|---|---|---|-----⌫|
her ois nobles ie	-|-⌫--|-----|-|
c onmemesfaispresd amender	-⌫---|------|---||------|
de canques	-|------|
uaurre ́sconmander	------⌫-|--------|
seur mi et decorsetd	---|-|-|-|---|-||
rois iememecenton	---|-|-|--|-|--|
ensouroin o t	--|-|--||-⌫|
kes me rueillier	|--⌫--⌫--------|
dechequil uoitde	-|--|-|-|---|-|
sondestri er	--|------⌫-|
deschen d i et rena rt leua	-------⌫-⌫|-|----⌫-|---|
parpais lebaisa	--|---|-|----|
et lipard onna	-|-|----⌫---|
t ousmesfais	-⌫--|------|
et ueutquilsoit	-|---|-|-|---|
atous ioursmais	|---|----|---|
des onostelli conmanderres	-|-⌫-|----|-|-----------|
deso n conseilli bare terr es	-|--⌫|------|-|----⌫----⌫-|
respont auroi naffiert	------|-|--||------|
quei e s oie a	--|-⌫|-⌫--||
conse ilderoi	-----⌫-|-|--|
sescon dis tplusesprent	|-----⌫---⌫|---|------|
leroiettouts o n	-|--|-|---|-⌫-⌫|
ma u t alent	--⌫-⌫-⌫----|
pardonn alirois	-------⌫|-|---|
letai sso n	-|---⌫---⌫|
tous lesautr es pardon	---|--|----⌫-|-----|
fist et connoistquilsemesfit	---|-|-------|-|-|-|-----|
don t ase gentenoiant	---⌫||-|---|-|----|
queysengrins liconsilla	--|--------|-|-------|
ensianob lon s	---||---⌫--||
tresto ussesme sfais	------⌫-|--|--⌫----|
dont o ndistsou uen tquegrantpais	---|-⌫|---|---⌫---⌫|--|----|---|
gisten biengra nt guerre a lefie	---|-|---|---⌫-|-----||-|--|
deioieeutlatelcr ierie	-|---|--|-|--|--⌫----|
con nioistpointdieutonnant	|-|||---|----|---|------|
dela endroits e	-|-|------|-⌫|
part at ant	---|--⌫--|
unsmes quionques ne cessa	--|--|--|-----|-|----|
duscaleroineetcon ta	---||-|----|-|---⌫-|
q uelir oi s e trenarspaisié	-⌫-|-|-⌫--⌫|-⌫|-----|------|
sesontetsont entr eb a isié	-|---|-|---|----⌫--⌫-⌫----|
c ele partenuintle	-⌫--|---|-|---|-|
seu r unpalefroide rauine	---⌫|-|-------|-|-----|
deioi e cantant legrant	-|---⌫|------|-|----|
ioie s ilnaime paramou rs	---||-||---|--|----⌫-|
quantuin tauroisiles a lue	----|---⌫|-|--|-|-|-⌫-⌫--|
deioiefusi espe rdue	-|---|-|-|----⌫---|
quen grantpieche ne potparler	-|-|----|-----|-|--|-----|
renarsle courutdesm onter	-----|-|-----|----⌫----|
dup ale froi et	-|-⌫---⌫---|-|
iuslem ist	--|-|-⌫--|
aleterr e etpuis	|-|----⌫|-|---|
sil assist	-||-----|
se urun blasonpaint de	--⌫-|-|-----|----|-|
enrimeen haut etencons eil	-|---|-|---|-|-|----⌫--|
p ar olentd	-⌫--⌫----||
unetd el ensanle	-|-||-|------|
dam edistrenars queuoussanle	---⌫|---|-----|--|---|----|
decestepaise ledist bien	-|----|---|-⌫-|---|---|
se urun pa lefroinubiien	--⌫-|-|--⌫-----|------|
atantesteuou sd ameenmain	----|---|---⌫|-⌫--|-----|
f eme re nart quiparun main	-⌫--|--⌫---|--|--|-|---|
sotquepaisfu c onli	--|--|---|-||-|-|
de leioie fusi afflite	-|-|---|-|-|------|
quengran tpiech emotne sonna	-|-|----⌫|-----⌫|--|-|----|
n o blese n co ntreala	-⌫-⌫---|-⌫-⌫--⌫---|--|
salueetilli	----|-|-|-|
li roistantostle descendi	-|---|------|-|-------|
dupalef roile dameape le	-|-----⌫--|-|---|---⌫-|
son cambrelenc et le nouuiele	--|---------|-|-|-------|
quepaisestenmaupetruisfach e	--|---|--|-|---------|----⌫|
a ss auoirque c hascuns lesach e	-⌫--⌫----|--|-⌫------|-|----⌫|
on faches onnerlessain s	-|----|-⌫----|--|----⌫|
carsigrans i oi en efuains	--|-|----|-⌫--⌫|-⌫|-|---|
etappareillierlefe ster	-|-----------|-|--⌫---|
conp our le	|-|-⌫--|-|
roiencourtiner	--|----------|
fache le casteletlesrues	----|-|-----|-|--|---|
et quel es gens gransetmenues	-|--|-⌫-|---|----|-|-----|
fach e n tfeste contrele ro i	----⌫-⌫-⌫|----|-----|-|--⌫|
tas dit reuiena	|-|--|-----||
e tfai les damoisiau si ouster	-⌫|--|--|---------⌫|-⌫-----|
pour plusroinoblonhonnerer	---|---|--|-----|-------|
le c lergie apourcession	-|-⌫-----||----------|
faiuenircon t re	--|----|---⌫-⌫-|
roinobl on	--|----⌫-|
chiex senua c	----||-|-||
onques ne cessa	-----|-|----|
sotfaitchec onl iconman da	|-|---|--||-|-⌫|------⌫-|
dont ret ourne et contel affaire	---|---⌫----|-|----||------|
d emaupetruis	-⌫|---------|
etqu efait	-|--⌫|---|
adedenslespresducaste l	|-----|--|---|-|-----⌫|
que to u t	--|--⌫-⌫|
li ionedamoisel	-|---|-------|
iiouste ntcontreleue nue	|------⌫-|-----|-|--⌫--|
leroi etqu ilni	-|--|-|-|-|||
quinesoitto utee ncourtinee	--|-|---|--⌫--|-⌫---------|
et s estliquisine aprestee	-||--|-|------|-------|
com e pourseoi r aumengier	---⌫|---|----⌫|-|------|
renarsfaitconmunbannonchier	-----|---|-----|--|-------|
to ut soient	--⌫-|-----|
da rmesdesgarni	|-⌫---|-------|
noblescrierauss i	-----|----|----⌫|
lefi s tettoutse desarmerent	-|--⌫-⌫|-|---|-|----------|
et de leurreubess	-|-|---|-----||
atournerent	----------|
etreuinren tioie faisant	-|--------⌫|---|------|
renarsuint auro i tou t errant	-----|---|-|--⌫|---⌫|-----|
etlidistque tanse st	-|-|---|--|---|-⌫-|
car b ienesteure	--|-⌫--|--|---|
ainsq ue nmaupet ruis soienttuit	-----⌫|-⌫|------⌫---|-----|---|
al esmouuoir	||--------|
ma i nenttel bruit	--⌫-⌫---|--|----|
detimbre sde coretd	-|------⌫|-|--|-||
q uetombirlesuausetlesp lainnes	-⌫-|-----|--|---|-|--|-⌫------|
et le terrecrauler	-|-|----|------|
e tr enarsluesprista	-⌫|-⌫----|---|----||
c he mo tet	-⌫-|--⌫--|
bas se t etseri	---⌫--⌫|-|---|
i a iioierameneechi	|-⌫|---|------|--|
quantdite fu	----|---|-|
cestecanchon	----|------|
ferantde s espe rons	-----|--⌫|----⌫---|
enuoieen maupetruisbatant	-----|-|---------|-----|
qu etoutuie gnentpetitet grant	--⌫|---|---⌫----|----|-|----|
cont re lero ietl eroine	----⌫-|-|--⌫|-|-⌫|----|
d esiamau petru is nefine	-⌫--||---⌫-----⌫-|-|---|
limes s es	-|--||-|
conmandea i s sir	-------||-⌫-⌫--|
dont oissiés trom pes	---|-------|----⌫--|
gransifu lisonset l ibruis	----||-|-|---|-|-⌫|----|
quechesero itun sgransdedu is	--|--|----⌫-|--⌫|----|----⌫-|
deraconterlanc hesbrisant	-|-------|----⌫--|------|
uienent etliplusourcantant	------|-|-|------|------|
et seurpa lefroisasambu e s	-|---|--⌫------||-----⌫-⌫|
les damesric hement ue stues	--|----|---⌫-----|--⌫----|
sal uent haustement	---⌫---|---------|
e t se compaigniee nseme nt	-⌫|-|---------|-⌫-----⌫-|
liroisno bles	-|---|--⌫---|
les res a lue	--|---⌫-⌫--|
seur destre sesiexr ue	---|-----|--|--|-⌫-|
quantn anientysen g rinueu	----|||----|----⌫-⌫--|--|
a gra ntmeru eilleseu	|---⌫-|----⌫-----|-|
e rraumentapeleun	-⌫-------|----|-|
qui nemeto it point	--|-|----⌫-|----|
ouysengrins	-|--------|
ilest alés	-|--|----|
aseste ntesdi	|--|--⌫---|-|
moi po urcoi	--|--⌫-|--|
uol enti erschedist chi expar	---⌫----⌫--|--|---|---⌫-|--|
q ue renarsli oc hist	-⌫-|-----|-|--⌫---|
senfilet luimeism es mist	--|--|-|--|-----⌫-|---|
engrantperils i	-|----|----|-⌫|
ilnest ac ordés	-||--|--⌫-----|
nafferroit pasq u	|--------|--|-⌫|
il uenistchi	-|-----|--|
oruatos tdi st	-|-|---⌫|--⌫-|
liroispou rl i	-|---|---⌫|-⌫|
dilu i queuoeilaluiparl er	-|--⌫|--|----||--|----⌫-|
e ts eliferai amender	-⌫|-⌫|-|----|------|
chequil fu	--|-|-|-|
nau rés etlemort	---⌫---|-|-|---|
sen filetc hiexpoint nese	--|--|-|-⌫---|----|-|-|
enroumantsanspoi ntde latin	-|------|---|---⌫-|-|----|
lidis t po urcoixmlemande	-|---⌫|--⌫-|--|-|-|----|
ysengri nsseurune	-------⌫-|---|--|
mu lee stmon te ́s regne ne sache	--⌫-|-⌫-|---⌫--⌫-|----|-|----|
duscadontqu	---|------|
ilu i nt en leplach e	-|-⌫-⌫-|-|-|-----⌫|
ou liro is	-|-|--⌫-|
puisrenarthuca	---|-----|---|
et d istcesteguerreseurmo i	-|-⌫--|----|-----|---|--⌫|
prengetrena rsd istielo troi	----|-|----⌫-|-⌫--|-||-⌫---|
si re etm eme c	--⌫-|-|-⌫|--⌫|
dutoutseu ruous	-|---|---⌫|---|
ysengrins fu	--------|-|
unpeu estou s	-|--|-----⌫|
ma is lir oi slale s	--⌫-|-|-⌫--⌫|-|--⌫|
sique li u nsl	-|--|-|-⌫-||
autrebaisa	----|----|
mai sn esaiqueleamende	---⌫|-⌫|--|----|-----|
ren ars deche	---⌫--|-|--|
que ilochist	--|-|-----|
lef il yse ngrintoutnepuis	-|-⌫-|---⌫----|---|-|---|
raco nterduscamaupet ruis	----⌫---|---||------⌫---|
necesse rentp ar legrantporte	-|-----⌫---|-⌫-|-|----|----|
entr eren tensquimou t	----⌫----⌫|--|--|---⌫|
c o ntre leroi tousreuestis	-⌫-⌫---|-|--|---|-------|
uint li cl e rgies eta hau t cris	---|-|--⌫-⌫----|-||---⌫|---|
aincsi gra nt	---|-|---⌫-|
ioie ne uitnus	---|-|--|--|
le r oietsemaisnie	-|-⌫-|-|-|------|
iotruen ecauchie	|-|--|-⌫|------|
ouilneustbehou rtetfeste	-|-||---|-----⌫-|-|----|
li auqu antcant oient de geste	-|----⌫--|----⌫----|-|----|
danse nttument	-----⌫-|-----|
espringentbalent	---------|-----|
et c hilbachelerlegiersa le nt	-|-⌫--|-------|-----|--⌫--⌫-|
etliplus fortgietent	-|-|---|---|------|
il n es tieusde	-||--⌫|---|-|
nul emanie r e	---⌫|-----⌫-⌫|
ipeustueiriouer	|----|---|----|
rena rs a f aitl	----⌫-||-⌫--||
iauec orner	---|-⌫----|
aumengiersirentquemiex	-|------|-----|--|---|
as taules n ire m est wis	-|-----|||--⌫-⌫--|--|
dont furent	---|-----|
se ruirichem ent	--⌫--|------⌫--|
detres tousbiensonn iement	-|----⌫---|----|---⌫-----|
ou leuer d oumengi er	-|----|-⌫-|-----⌫-|
re nars duneschekier	--⌫---||-|--------|
tout definorau ro i	---|-|--|-|-|--⌫|
esches yym a rsd	-----|-|-⌫-⌫-||
esch ekiers oles esches	----⌫-----||--|-----|
lirois distque richeses ch es	-|---|---|--|-----|--⌫--⌫-|
seroi t de tel iouel trouuer	-----⌫|-|--|----|------|
liroisala apresdonner	-|---|--|----|-----|
a leroine un	|-|----|-|
so ntres or	--⌫|----⌫-|
lip ierreualoitnen	-|-⌫----|-----||-|
tout le tres or deroumen ie	---|-|----⌫-|-|------⌫-|
chascundon nachequilfu	------|---⌫-|--|-|-|-|
chascuncheual ier	------|------⌫--|
o tdeluiun h anap d	-⌫|-|--|-|-⌫---||
che fu assesauoectelgent	--|-|----|----|--|---|
etchascunsbaneres o t dor	-|-------|------|-⌫||-|
unecoupeetu n	--|----|-|-⌫|
destrier sor	-------|--|
destriersualo it yymars	--------|----⌫-|-|---|
etchas cunescuierrena rs	-|----⌫--|------|----⌫-|
fi st donneryyliu re sde to urnois	--⌫-|-----|-|---⌫--⌫|-|--⌫-----|
chascunsdistc ain c	-------|---||---⌫|
maissi courtois	---|-|-------|
princhesnefu nequilsera	-------|-|-|-|-|-|---|
tropgra ns siresquiuiuera	---|---⌫-|----|--|-----|
che sera monc hascunsre s pont	--|---|--|-⌫------|--⌫-⌫---|
lorsatant caroler enuont	---|----|------|-|---|
tres toutensanle	----⌫---|------|
pou rdeduire	---⌫|------|
car chosenon t qui	--|----||--⌫|--|
leur puist nuire	---|----|----|
entreleroin e	----|-|----⌫|
ethersen t	-|------⌫|
tint liroisrenars ensement	---|-|---|-----|-------|
tint entrehers ent etharouge	---|----|----⌫--|-|------|
lel upardequiertderouge	-|-⌫-----|--|--|-|----|
drapbienuestie etcointeri au s	---|---|-----|-|--------⌫--⌫|
quimoutfaisoit	--|---|------|
tin taharo uge eta	---⌫||----⌫--|-||
tintala utreles	---|||-⌫---|--|
main amai n	---||---⌫|
etli lup ar stin ta boursee	-|-|---⌫--⌫|---⌫||------|
lesingesseetamas k elee	-|-------|-||---⌫-⌫---|
eta bleraintenoitb ruians	-||------|-----|-⌫-----|
litors carc estoit leuramans	-|---|--||-----|---|----|
etl i bous	-|-⌫|---|
imena lek ieure	|---|-|-⌫----|
ionec heestoit si m ieure	-----⌫-|-----|-|-⌫----|
c onenfais oit par t out s esgas	|-|-|----⌫--|--|-⌫--|-⌫-|--|
alec aroletint li	|-|-⌫----|---|-|
i l et kenue lisueri s	-⌫|-|----|-|-----⌫|
gra nttans aquifu ses amis	---⌫-|---||-||-|--|---|
canteclerli c os iala	--------|-|-⌫-||--|
osescinq poui lles carola	|--|---|----⌫---|-----|
eturediauslipapegaisprist	-|-------|-|-------|----|
mehautlagache	-----||-----|
etsi l i dist	-|-|-⌫|---|
orcarolonet	-|------|-|
s ican tons	-⌫|---⌫---|
haut etcl er ie cuit	---|-|--⌫-|-|---|
nous ar ons	---|--⌫--|
anquenuitle	--------|-|
pris de le fes t e	---|-|-|---⌫-⌫|
a cheiour ni otonques be ste	|--|---|||-|-----|--⌫--|
qu inecaro lastet canta s t	--⌫|-|----⌫---|-|-----⌫-⌫|
etquisoncorsn i	-|--|--|---|||
esprouuast	---------|
n iotche lui nefa che io ie	||-|---⌫--|-|--⌫--|--⌫-|
etrois noblespourch e c on loie	-|---|-----|---|--⌫||-||--|
e n h autconmenchaa	-⌫|-⌫--|--------||
uousn al és miet ou tensiqueie	---||--⌫--|--|-⌫--⌫|---|--|-|
neu ous ne uo usn i sariés	-|-⌫--|-|--⌫-|||------|
ne uous ne uousn	-|---|-|---||
isarié s aler	|------⌫|---|
quantotfinees ecanchon	----|-|----|-⌫|------|
lorscan taenhautdundoucson	---|---⌫-|-|---||-|---|--|
laroin ecom en uoisie	-|----⌫|--|--⌫-----|
i a nes e rais ansamou rento utemauie	-⌫|-|-⌫-⌫--|-⌫--|----⌫|-|--⌫--|-|--|
apresle roinecanta	----|-|----|----|
renars qui def incuerl	-----|--|-|-⌫-|---||
cestecanch o nauois	----|-----⌫-⌫||---|
tresdouchedameiolie	---|-----|---|----|
oii é s mon cuer	---⌫--⌫|--|---|
quiu ousp rie	--|-⌫--|-⌫--|
apresrenart cantaherhens	----|-----|----|------|
quideialousieots en sens	--|-|-------|-|-⌫-|---|
desuoiiétcherondet	---------|--|-----|
hedi e uschelemat rai	-|--⌫-⌫-|----|||-⌫--|
qui ma tolum on am i	--|||---|-⌫-|--⌫|
quantileurent as s esfesté	----|-|-----|--⌫-⌫-|-----|
tantqueilfu rent tout lassé	------|-|--⌫---|---|-----|
onmistl estau les pu islauer	-|---|-⌫-|---⌫--|--⌫-|----|
uonttout s	---|---||
assi eentau souper	----⌫---|-|-----|
se ruif urentdepluseurs	--⌫--|-⌫----|-|-------|
apress ouper fontlesu arles	----|-⌫----|---|--|-⌫----|
lis puis uontcou chier	--|---|---|---⌫----|
matinc onuitr aier	----||-|--|-⌫---|
lesoleil etpui sseleuerent	-|-----|-|---⌫|-|-------|
ligrants igneuret d emanderent	-|----|-⌫-----|-|-⌫---------|
congied aler enleur p ais	-----||---|-|---|-⌫--|
pour lareueoir	---|-|------|
etlisaudoiier ensement	-|-|--------|-------|
q ui lessienspaia	-⌫-|--|----|---|
s i bie nquechascuns sen l oa	-⌫|---⌫|--|-------||-|-⌫-|
en leurpais en son talé	-|---|---|-|---⌫|---|
ysengrinsacongie trouué	--------||------⌫|-----|
rois nobl esli otroie	---|----⌫-|-|-----|
errant s en u aite ttin tse uoie	-----||-|-⌫--|-⌫|---⌫|-|---|
dr oitemen tenuers s elouuiere	--⌫-------⌫|-----|-⌫|-------|
dont este ntrésense taisnier e	---|--|-⌫-----|-|-|--------⌫|
liroi snoblesconbien	-|---⌫|-----|--|---|
aa r e nart lecongie tpris	||-⌫-⌫---|-|------⌫|---|
etlir oine	-|-|-⌫---|
a dame emmain	|---|-----|
etsachiésquencor iert	-|-------|-|----|---|
il en uontrenarsle s conuoie	-|-|---|-----|--⌫|------|
iuscau nefou r ki euoie	---||-⌫-|---⌫-⌫--⌫|---|
etp uisret ourne	-|-⌫--|---⌫----|
asonm anoir	|--|-⌫----|
lecu erplain	-|--⌫-|----|
demau uaisu oloi r	-|---⌫---|-⌫----⌫|
uo uso r rés chi apres	--⌫-|-⌫-⌫---|--|----|
tousio ursfude m alfaire	---|--⌫--|-|-|-⌫-|----|
conmentil ouurapuis	------|-|----|---|
leprologeconmen cher ai	-|------|------⌫----⌫-|
amoursetcaritesetdieus	-----|-|------|-|----|
estunecosesestgrans dieus	--|--|---||--|----|----|
quantentr e nousfalonsa m ours	----|----⌫|---|-----||-⌫---|
quen auonsparfaitesamours	--||----|--------|-----|
par lidi eu	--|-|--⌫-|
cariteauoi r	-----|----⌫|
poon sm ais aui our duiauoir	----⌫|-⌫--|-|-⌫--||-|----|
am ons miexetor etargent	--⌫--|---|-|-|-|-----|
d ontauari ssestropa rtgent	-⌫--|-----⌫---|---|-⌫-|---|
presquetous cheus	------|---|----|
qui sonto u monde	--|---|-⌫|----|
deuss ent plus	-----⌫--|---|
ces t liclerg ie s	|--⌫|-|-----⌫--⌫|
p arcuimondé	-⌫-|--|-----|
plu saumon deenmondé	---⌫|-|---⌫-|-------|
d euriens estreparleur bonneoeure	-⌫------|----|--|---|----|----|
maistesau preechie r nousoeure	---|--|-|--------⌫|---|----|
lebouch eetnous ensengneafa ire	-|-----⌫|-|---|-------||--⌫--|
lebien q uiest tous	-|---|-⌫-|--|---|
daut r eaf faire	|---⌫-⌫|--⌫----|
parc h e ne seconuertist nus	--|-⌫-⌫|-|-|---------|--|
etes tmaislimondessi	-|--⌫|---|-|-----|-|
deuertusetde uissespl ains	-|-----|-|-|-----|--⌫---|
sediex ne l fa itmain s	-|---|-||--⌫-|----⌫|
di uersplains	--⌫---|-----|
enertolessate nasfais	-|--||--|----⌫--|---|
diex nousdeffende de teusfais	---|---|-------|-|---|---|
etlido uche	-|-|--⌫---|
uier gemarie	----⌫-|----|
que nousnaionsuoiemarie	--|---||----|---|----|
seleso eur e sd edi euadroit	-|--|-⌫---⌫-⌫|-⌫|--⌫-||----|
r ega rdon salui iron s droit	-⌫---⌫----⌫||--|----⌫|----|
iletsisaint	-|-|-|----|
apostr e s ilo chascuns s aint	------⌫|-⌫|-|-------||---|
autantquilfisentetcon fort	-------|-|-----|-|---⌫---|
aronsdedieusoi ons co nfort	----|-|---|---⌫--|--⌫|---|
carlisir esnousertco nfors	--|-|---⌫-|---|--|--⌫----|
quencrois secombaticonf ors	-|-|----|-|------|--|-⌫--|
m a i spoiregardonsa se m ort	-⌫-⌫-⌫|--|--------||-|-⌫--|
car couuoitise si nousmo rt	--|---------|-|---|--⌫-|
lescuers ethaine etenuie	--|----|-|----|-|----|
et renars quioumondeenuie	-|-----|--|-|----|-|--|
doleursquil	------|-|-|
mai sp our luiencachierduregne	---⌫|-⌫--|--|--------|-|----|
cestfors des cuers	|--|---|--|----|
uousendirai	---|-|----|
un e b r anqu ecar trop d ire	--⌫|-⌫-⌫----⌫|--|---||--|
seurluietp ourchefaite lai	---|--|-|-⌫--|--|----||-|
pluseurn esaiouc ler coulai	------|-⌫|--|-|-⌫---⌫|-|--|
s e di eu plaistenamenderont	-⌫|--⌫-|-----|-|---------|
etrenartdausen cac hero nt	-|-----||--|-|---⌫----⌫-|
quant arb reuienen tenuerd our	----|---⌫-|------⌫|-|----⌫--|
elmo i s daurilet	-|--⌫-⌫||----|-|
e n ba udour	-⌫|--⌫----|
sontlioi s elparmi lebos	---|-|--⌫-⌫-|----|-|--|
quesescrie li roussignos	--||-----|-|---------|
droi t encel	----⌫|-|--|
tansetencelm ois	---|-|-|--|-⌫--|
i ertmesiresnoblesl i	-⌫--|-|----|-----|-⌫|
a léscachier ou bosasdains	-⌫---|------|-|--|-|----|
de ioi eetd eleecheplai n s	-|---⌫|-|-⌫|-----|----⌫-⌫|
ach ec otles oi siaustentir	|--⌫||-|--|--⌫----|-----|
liconmen cheares ouu enir	-|------⌫--||---⌫---⌫---|
de harougefameaulu part	-|------|---|-|--⌫---|
pou r cu ia mouresprent etart	---⌫|--⌫|-⌫---|------|-|--|
de sifin de sirrier	-|-|--|--⌫------|
quilnese puet assasiier	-|-|-|-|---|--------|
dalipenseret achedist	||-|-----|-||--|---|
si h aut quelibos	-|-⌫--|--|-|--|
en tentis t	-|------⌫|
