des criteau ons la	---⌫----|--⌫--|-|
gen t nefut si traie	---⌫|-|--|-|----|
be a usiredeu sla uostreaie	--⌫-⌫|---|---⌫|-|-----|--|
anos seignorsq e irespondrons	|--|-------|-⌫-⌫|----------|
quante nnoz terres	----|-⌫|--|-----|
reuendron s	---------⌫|
a bondreitporfo l snos tendront	|--|----|--|--⌫-⌫|--|-------|
d esquan t lauerite sauront	-⌫-|----⌫|-|-----|------|
carporlanternelauessie	--|--|-------|-|-----|
lor aportonsniadqi lnie	--|-------|||-|-||--|
qe fero nssofrironsl ei n si	-|----⌫-|--------||--⌫-⌫-|
n eplacea de ucarui f h oni	-⌫|----||--⌫|--|--⌫|-⌫--|
serionsa trestozio rsmes	------||------|--⌫-|--|
ainceisreu e rti rons	------|---⌫-⌫---⌫---|
sanzdemoureruers romearier e	---|-------|---|---|-----⌫|
sisaurons parquelemaniere	-|------|--|----|------|
ep arquisumessigabbez	|-⌫-|--|----|-|-----|
sensontretornez	|-|---|-------|
parontis plein gn oient	--|--|-|-----⌫--⌫----|
parordrea toz	--|----||--|
lescard enaus	--|----⌫----|
si distr en tqemoltpar	-|-----⌫--⌫|-|---|--|
lipapes ueinse	-|----|----||
yp ocrites	--⌫------|
quantui lescincespor	----|--⌫--|-----|--|
de uielz dras	-|----|---|
lorot faitdoner	--|-|---|----|
n erentpas	|----|--|
en fanzporgaber	--⌫---|--|----|
lor sein gno rs qui	--|----⌫---⌫-|--|
lalestranmistrent	-|--|-----------|
tr estozcod istrent	--⌫----|-|-⌫------|
rich e smananze poestis	----⌫-⌫|-----||------|
paillessamiz e porpres bis	------|----||------|--|
en orentasez plussanz ga s	-|----|---|---|---|--⌫|
qetozliromein deu iez d ras	-|--|-|-----|-|-⌫--|-⌫--|
eporco pas si	|--|-|--|-|
li papesga be r n es	-|----|--⌫--⌫||-|
carseustildeuerite	--|----|-|-|-----|
lor fust amendé	--|---|------|
oncfeupene rt pluscheruendue	--|----||-⌫-|---|---|-----|
tres t oteen fut lacourte smue	----⌫-⌫--|-|--|-|----|-⌫---|
grantnoiseqe fe soient	----|----|-|--⌫-----|
li messager	-|-------|
quisepleingnoient	--|-|-----------|
ta ntqenislide	--⌫---|--|-|-|
amich i er	--|--⌫-⌫-|
gregoire amont	-------|----|
i esqal autier	-⌫--|||-----|
ou donq e s lamess ec hantot	-|----⌫-⌫|-|----⌫|-⌫-----|
elapleintee sc o utot	|-|------|-⌫--⌫-⌫---|
ense mblement od les man aces	----⌫-------|-|--|---⌫---|
e porcol o rs	|--|-|-⌫-⌫-|
apreslesgraces	----|--|-----|
quantfutd it	----|--|-⌫-|
e rraumentsa nsplusde re spit	-⌫-------|--⌫-|---|-|--⌫---|
lescincettes deuant nomees	--|--------|-----|-----|
ad pa rensomlau tierposees	-|--⌫|----||--⌫---|-----|
siseimist ius e n oreison	-|--|---|--|-⌫|------|
ater repardeuotio n	|---⌫-|--|-------⌫|
lu poeplepresen t	-|-----|------⌫|
deudeproiantomnip otent	--|--------|-----⌫----|
qesigneapertdeingna st monst rer	-|----|----|-------⌫-|-----⌫--|
dom alpoeplepeustp rouer	--|-|-----|----|-⌫----|
qecoqot enuoiéde r ome	-|-||-|------|-|-⌫--|
segonl ancienec ostome	----||------|-⌫-----|
desseinz qeinsilusol entfaire	--|----||----|-|---⌫--|----|
dutreliqeestree	--|-----|----||
seint uair e	-----⌫----⌫|
esicom re l iqeenor é	|-|--|--⌫-⌫--|----⌫-|
p ues quantorentasezouré	-⌫--|----|----|---|----|
susde la terresei drescot	--|-|-|----|--|------|
e lesmessag e sapel ot	|--|------⌫-⌫|----⌫-|
qui n ore nt pas ent rinef ei	--||---⌫-|--|---⌫---|-⌫-|
si sf ist es terpl usproef desei	-||-⌫--|--⌫--|--⌫-|----|-|--|
ou toz por ent apertuoier	-|--|---⌫--|----|----|
les cinces	--|-----|
paren som l altier	--|--⌫--||-----|
pue sfistco mli p apesdelei on	---⌫|---|--⌫|-|-⌫---|-|---⌫-|
quitan t pa r ertdegrantrenon	--|---⌫|--⌫|--|-|----|----|
erraument p ristuncout elet	--------|-⌫---|-|----⌫---|
trenchant apointep etitet	--------||-----|-⌫-----|
senp oins t les cince s souentme nu	|-|-⌫----⌫|--|-----⌫|-----|--⌫-|
do m lor sif ist	--⌫|---⌫||-⌫--|
deus s a u ertu	---|-⌫|-⌫---|
carparmitotesles p ointures	--|----|----|--|-⌫-------|
sicomdeuiuescreatu r es	-|--|-|----|------⌫-⌫-|
forsli san cs uermeilz	---|-|---⌫-|-------|
de us tantesth a uttis	--⌫-|---|--|-⌫-⌫-|--|
se inz co nse ilz	--⌫--|--⌫---⌫--|
fesoientlors	-------|---|
li messagiers	-|---------|
qui ainceistant par erent fiers	--|------|---|--|----|----|
q ui dont furentplus	-⌫-|---|-----|---|
qu antai n zerent plus orgu ill ou s	--⌫--|--⌫-⌫|----|---|----⌫---⌫--⌫|
e plus con fu s e	|---|---⌫--⌫||
qua nt fu re ntainzplus	---⌫-|--⌫--⌫-|---|---|
sorqui dez	------⌫--|
en sem bleod trestotelagent	--⌫---⌫--|-|-------|-|---|
quiuitce lm i racle pre sent	--|--|--⌫|-⌫-⌫----|---⌫---|
aune uoizt oz e sc rioient	|--|---|-⌫-|-⌫--⌫------|
quiesbahizeroient	--|------|------|
beaupere de ushauti smesire	---|---|--⌫-|-----⌫--|---|
la quiuertutan tparestmire	-|--|----|---⌫|--|--|---|
qui tant es	--|---|-|
pi des epuissanz	--⌫--||-------|
denousc hai tifsl asrep en t anz	-|---|-⌫---⌫---|-⌫-|---⌫--⌫-⌫--|
eneiessiltepleis t	-|---||-|-|-----⌫|
couitlideami	-|--|-|-|--|
regi ers odeusse	----⌫--|-|--|-|
mist aterre	---||----|
sipristrenttozdeareq u erre	-|--------|--|-||---⌫-⌫---|
qon qesdourernesecesserent	|--⌫--||----|-|-|--------|
tantq etrestot es closeserent	-----⌫|-------⌫-|-----|----|
lesplaiese li sancsesta nchiez	--|-----||-|----|----⌫-----|
domtoz e ndeuioiouse	--|--|-⌫|--|-----||
anostresireomnipote nt	|-----|---|--------⌫-|
gra cesrendoi entdeu otement	---⌫--|------⌫--|---⌫------|
ea gre g oir eso n serf chier	||---⌫-⌫---⌫|--⌫|---|----|
si prist rentlors	-|-----⌫---|---|
lim essagier	-|-⌫-------|
delpa pel esci n ces	--|--⌫-|-⌫-|--⌫-⌫--|
enboistes sicom ai nzfermees	-|------|-|--|--⌫-|------|
sisportoie ntlieze io iant	-||-------⌫-|---||--⌫---|
a l orterresgraces	|-⌫-|-----|-----|
a d eu de ses sei ntes uertuz	|-⌫-|-|--|---⌫---|-----|
elorsquant fu ren treu enuz	|---|----|--⌫---⌫|---⌫---|
t anto st alo r seingnorsc ontoient	-⌫----⌫-||--⌫|--------|-⌫-------|
desreliqes q i sa portoient	--|------||-⌫|-⌫--------|
trestote la	-------|-|
dit e aue nture	---⌫|---⌫----|
ecilerrant od dig n e c ure	|--|-----|-|---⌫-⌫|-⌫--|
deum erciantlu	--|-⌫------|-|
lesrecuren tagran ten or	--|-------⌫||----⌫|--⌫-|
s is mistrent	-⌫||-------|
enl eu seinte	-|-⌫-|----||
unautr eape rtme rueillouss ig ne	-|----⌫|---⌫-|--⌫--------|-⌫--⌫-|
uos puesre c onterde gregoire	--|---|--⌫-⌫----|-|-------|
quibend eit	--|--|-⌫--|
mise stre enm emoire	--|-⌫---|-|-⌫-----|
uns riche s	--|-----⌫|
oemromeine re it	--|-----|-⌫--⌫-|
femm e desp iseit	----⌫|----⌫----|
a torteagr ant	|---|||--⌫--|
sifutporiceste acheison	-|--|--|-----|-------|
pa rnomdel	--⌫|--|--|
pape escumun gié	---|-------⌫---|
uersqu itantpar ere itirié	---|--⌫|---|--|---⌫-|----|
qe por poineduta ragier	-|--|--|-|--|-⌫-----|
pot de lu iuengier	--|-|--⌫|------|
t an tertde g rant aucto rite	-⌫--⌫|--|-|-⌫---|-----⌫---|
passico m iluota	--|-|--⌫|-|--||
nepo roectotson	----⌫---|--|--|
qenquelqe g uiselocceist	|-|-----|-⌫---||------|
force oupar	----|-|--|
par artoupar subduct ion	--|--|-|--|-------⌫--|
mais desquantpar fo rcenepot	---|--|----|--|--⌫--|-|--|
detrahison	-|-------|
sepo rpensot	-|--⌫------|
siquereitadiue etsocco rs	-|------|----|-|-----⌫-|
a nes aiquels enchanteor s	|-|-⌫-|----|----------⌫|
qepar d onerqeparpramettre	-|--|-⌫---|-|--|--------|
tantq is sedurent	----|-|-|-----|
e ntremettre	-⌫---------|
a g r e goire t olirla	|-⌫-⌫-⌫----|-⌫---|-|
parengind a rtde	--|----||-⌫-|-|
tantso utifmententrahison	---|--⌫-------|-|-------|
q oem n eustde luisospecon	|--||---|-|--|-------|
li so rcer e	-|--⌫----⌫|
erenttenebrous	----|--------|
p remesse coueitous	-⌫------|--------|
carqui sere ittantalumez	--|--|----⌫-|---|-----|
ne fust depecune assor bez	-|---|-|-----|-----⌫--|
por qei qil l espera stauei r	--|--||-||------⌫-|----⌫|
parsenspar	--|---|--|
art ouparsau e ir	--|-|--|---⌫-⌫-|
quel qe fus t a d reit ou a to r t	---|-|---⌫||-⌫---|-||--⌫-⌫|
lu pape luirendreient	-|---|--|---------|
colupramistrentueir em ent	-|-|----------|----⌫--⌫--|
esidiseient nisc om ment	|-|-------|--|-⌫--⌫---|
sa c heual	||-⌫----|
senueitque lqe part	|-|---|---⌫--|---|
tantlu feronsd	---|-|-----||
engine dart	----|||--|
porqei qe lucheual ue ions	--|--|-|-|-----|--⌫---|
icoqenepe usso ns	--|-|-|--⌫----⌫-|
ason cors fair e	|--|---|----⌫|
qes pirt maligne ensoncheu al	|--⌫---|------|-|--|----⌫-|
entrir a par	------⌫|--|
e nchantement	-⌫----------|
si lc ruci ratant cruaument	-||-⌫----⌫-|---|--------|
q ensembleamduitrub ucheront	|-------|----|----⌫-------|
si q e lescous	-|-⌫|--|---|
lorbr isero nt	--|--⌫-----⌫-|
moltparereit dicestcoua nt	---|--|----||----|----⌫-|
liditauoiltre	-|--|-------|
lez e i oiant	--||-⌫----|
quant un iorlauoieag ueitot	----|-|--|-|---|--⌫-----|
pa r ontlipapespasseruot	--⌫|--|-|----|-----|--|
sego n cous tomeenoreisons	----⌫|----⌫---|-|-------|
sarmoner as	-------|-|
e station s	-⌫-------⌫|
sifistsessorceorse ster	-|---|--|-------|-⌫---|
iostela u oieoudutpasser	----|-|-⌫--|-|--|-----|
enunhautleu	-|-|---|--|
tanteminent	---|------|
qe benpo rentape rtement	-|--|--⌫---|---⌫------|
lupapeodsoncheual	-|---|-|--|-----|
ors porrez iam erueille oir	--|-----|-|-⌫-------|--|
pasauant autre	--|----|----|
errotlipapes	----|-|----|
simpl emen t	-----⌫----⌫|
uquantuin t endrei t les	-----|---⌫|------⌫|--|
co qu idleonsneours	-|--⌫-|----|-|---|
ne tigrenele part	-|----|-|--⌫---|
n autrebes t e de malepa rt	|----|---⌫-⌫|-|---|--⌫-|
plus cruaumentne	---|--------|-|
q elicheualqil	-⌫|-|-----||-|
carlorsend i uerse maniere	--|---|-|-⌫-⌫----|------|
saillit auantepue sariere	------|----||---⌫|-----|
com iugleres	--|-------|
quised ebrise	--|-|-⌫-----|
pues erraument	---|--------|
enau tre guise	-|--⌫--|----|
s oiui rot tres toten uiron	-⌫-|--⌫--|----⌫--|--⌫----|
pl usuistementqechampion	--⌫-|--------|-|-------|
q uisouz le sc use m osleenchamp	-⌫-|---||-⌫--⌫|-|-⌫---|-|----|
siarbrotnisdes p iezdauant	-|-----|--|--|-⌫--||----|
co m c hieu re quan trampis tporie r re	--⌫|-⌫----⌫-|----⌫|------⌫|--|--⌫-⌫-|
qapoi ne reuersot	||--|-|-------|
od cosep risttant aescoure	-|-|-|-⌫---|---||------|
h isdousementesanz de moure	-⌫----------||---|--⌫----|
qenegunfreinn e lpottenir	-|----|----|-⌫||--|----|
siloiss ezn is	-||----⌫-|-⌫-|
tanth enir	---|-⌫---|
q e ben pu e ssezi urers anzfable	-⌫|--|--⌫-⌫---|-⌫---|-⌫--|----|
qenso nuentreotluuif	|-|--⌫|-----|-|-|--|
carue irem ent	--|--⌫----⌫--|
tant desreierpasnepeust	---|-------|--|-|----|
ne quidessezco e nestl a som me	-|--------|-|-⌫|--|-⌫|---⌫-|
qeia mesfustdantezpar	-|--⌫--|---|-----|--|
ne qecilqui suslui se sist	-|-|--|--|--|--|-|---|
iauifdelui	-|--|-|--|
sen partesist	|-|--------|
il faitue ire ment	-|---|--⌫---⌫---|
sinostresireomnipote nt	-|-----|---|--------⌫-|
neleustdelamortgardé	-||---|-|-|---|-----|
maisoncporcoliamide	---|--|--|-|-|--|-|
ne striun e sael e ne guerpit	|-⌫----|-⌫|----⌫|-|------|
ainceislorspar seintesp erit	------|---|--|----|---⌫---|
s e n auer titde le nemi	|-⌫|----⌫--|-||-⌫---|
dontsischeuause reits aisi	---|--|------|-⌫---|-⌫---|
si seseingnade sa	-|-|------|-|-|
meindes tre	---|---⌫--|
or s poezoir	--⌫|---|--|
uertudepr estre	----|-|--⌫----|
onc plus totn esefut seingn é	--|---|--|-⌫|-|--|------⌫-|
q esis cheualn	-⌫|--|-----||
ereitsané	----|----|
plussim plesneseitaingnels	---|---⌫---|-|---|-------|
siertnisli	-|--|--|-|
miraclestantbels	-------|---|---|
q odluseintsign ede lacroiz	|-|-|----|----⌫|-|-|----|
ass or ceors	-|-⌫--⌫----|
tolitlesoilz	----|--|---|
autresicomdune tariere	------|--||--|------|
lorf ustpe rcee lalumiere	--|-⌫--|--⌫---|-|------|
si commandot	-|--------|
er raumentl ors	--⌫------|-⌫--|
leseniettastuilmen t fors	--|--------|------⌫|---|
del leu ouiserent cutez	--|--|-|-|----|----|
ei nsifut p arlesassorb ez	--⌫--|--|-⌫-|--|------⌫-|
to teap ertelatraison	--⌫-|--⌫---|-|------|
ca rtantost en	--⌫|------|-|
confes sio n	------⌫---⌫|
laueritereqenoisso ient	-|-----|----------⌫---|
regehissanz co m	----------|--⌫|
is eroient	-|------|
parcel a uoiltredeceuz	--|--|-⌫------|-----|
pues furentnis t antconuertuz	---|-----|--|-⌫--|--------|
qispri strent de ablea neier	|-|---⌫-----|--⌫---||----|
si se fes oientbapto ier	-|-|---⌫----|-----⌫--|
elnom de seintetr in ite	-|--|-|-----|--⌫--⌫--|
maisueirem entoncli s e rf de	---|------⌫--|--|-|-⌫-⌫-|-|
neloruot lor ueuerendre	-|--|--|--|---|-----|
co p oetoembenen tendre	-|-⌫--|--|--|--⌫-----|
qemaeslam aleartneleussent	-|---|-|-⌫--|--|-|-------|
parquei lup o ep le deceuss ent	--|---|-|-⌫-⌫--⌫-|-------⌫--|
a inceis l esleissot assorbez	-⌫-----|-⌫-|------|-------|
m ai sueirement	-⌫--⌫|--------|
tantertdiscre z	---|--|------⌫|
neuotqissofrisisse nt	-|--||-|----------⌫-|
mesa isedom isp erississent	----⌫--|--|-|-⌫----------|
ainc eislesfi stiesq	----⌫--|--|--⌫-|---|
a lmo urir	-⌫|--⌫---|
d eseinteiglise sostenir	-⌫|-----|-----|-------|
reconter soele ntde sei ntgregoire	-------|-----⌫-|-|---⌫-|-------|
lidite ngleis unaltre	-|--|-⌫-----|-|----|
faitpasatrespasser	---|--||---------|
al pas ser	-|---⌫--|
delnoblemarc heilt raian	--|----|----⌫---|-⌫----|
qi emperieree reit roman	-|--------|-⌫---|----|
en trespassantsoudeement	-|----------|---------|
seremembr ot dun iuge ment	-|-------⌫-||-|----⌫---|
luquel lidi ttraian fes eit	-|---|-|--⌫|-----|---⌫--|
icisttraians empereiour	----|------|---------|
ert esmeuuniour	--|----|-|---|
sournes ai	---|-|-⌫-|
quele gent	----|---|
c onquerr e	-⌫-------⌫|
qu ant esuostres	--⌫--|-|--|---|
parmilag uer re	----|-|-⌫---⌫-|
encon treluienze lche min	-----⌫--|--|--|-⌫|---⌫--|
uneued ued e	--|---⌫-|-⌫|
ueneit plo ranteesche uelee	-----|---⌫----|-----⌫----|
com f emmede	--|-⌫---|-|
doelforsenee	---|-------|
pl ein sttot enplora nt	--⌫---⌫-|--|-|-----⌫-|
misfizfistseleest tei regna nt	--|--|---||--|--|--|-----⌫-|
agra nt doloro ccis	|---⌫-|----|-⌫---|
maisporicoqe	---|--|--|-|
de lamor t	-|-|---⌫|
poezfairerecourer	---|----|-------|
fai lasoueaus par dreitue nger	--|-|------|--|----|--⌫---|
donc responditli em per iere	---|--------|-|--⌫---⌫---|
so efreteifis tsilfille c hiere	--⌫---|--|---⌫||-|----|-⌫----|
tant qe iosoiereuenuz	----⌫-|-|---|------|
del eir eouors	-||---⌫|-|--|
su iesme uz	--⌫|----⌫-|
es aches i a	|-⌫----|-⌫|
nereu endra i	-|---⌫-----⌫|
plustost qe nete u engerai	---|---|-|-|-|-⌫------|
uifsoi e e sené	--|---⌫||----|
donc distla ue dueorsdeusiuaill e	---|---|-|--⌫--|--|---||-----⌫|
situtemoerz enla	-|-|-|----|-|-|
qu i mefe ra dreitaprestoi	--⌫|-|--⌫-|----|----|--|
ici l f istsilquiapres	---⌫|-⌫--||-|--|----|
pre cheinempereoursera	---⌫----|--------|---|
icofist seleqete uaudra	--|---||--|-|-|-----|
sautreqe tei	|----|-|--|
etac orone entantreceit	|-|-⌫----|-|---|-----|
q uelemerit e aura sditant	-⌫---|-----⌫|----⌫||----|
neq uidfist silqe tantne	-|-⌫--|---||-|-|---|-|
sissi auien t	|---|-----⌫|
de pro uenoie	-|---⌫|-|--|
res ponditlau edueorsdeuloie	---⌫-----|-|-⌫---|--|--||--|
nete u autdonqesasezmiez	-|-|-⌫--|-----|---|---|
tantcom tuesseins e h eitiez	---|--|-|-|----||-⌫-----|
qedicestgriefiustice	-||----|----|------|
s e n aieslesg reze	|-⌫|---|--|-⌫--||
les graces	--|-----|
q ascient tameriteperges	||-----|-|-----|-----|
loiiersa utruireserges	------|-⌫----|-------|
liempere re sauerti t	-|------⌫-||------⌫|
qe ueirs est	-|----|--|
co qelui adit	-|-|--||--|
quercompunction	---|----------|
desesplourse	-|--|-----||
desa raison	-|-|-----|
tantqelors sanzplus dedemou re	-----|---|---|---|-|-----⌫-|
meismelour e	-----||---⌫|
de sonche ualsemit a terre	-|--|---⌫--|-|--||----|
esifeseit tanto stenqerre	|-|-----|-----⌫-|------|
delditmu rdrela	--|--|--⌫---|-|
ue ire estrace	--⌫--|------|
s iqonc del	-⌫||--|--|
li unedelap lace	--⌫|-|-|-|-⌫---|
ne se mutpornegun b e s oing	-|-|--|--|----|-⌫-⌫-⌫---|
nes u sne iusne	-|-⌫-⌫|-|--|-|
sotre nd uludreitiug ement	|-|--⌫--⌫|-|----|---⌫----|
pa r sei mei smeout reement	--⌫|--|---⌫--|---⌫------|
icestfaitadonc remembrot	----|---|----|--------|
qu ant p ar l umarcheilpassot	--⌫--|-⌫-|-⌫|-------|-----|
gregoires li	--------|-|
chieramide	----|--|-|
sener tco mp unct depiete	|-|--⌫|--⌫--⌫---|-|----|
d el pr inceq uitantertpitous	-⌫-|--⌫---|-⌫-|---|--|-----|
iusteemisericordi ous	----||-----------⌫--|
qe dam nezfus tc ommescreant	-|---⌫--|---⌫|-⌫-|--------|
lors erraumentquant	---|--------|----|
iesqaseint	---||----|
pier eert paruenu	----⌫|--|------|
tantseperneitpo rla	---|-|------|--⌫|-|
d eldi tprincetantdebonai re	-⌫-|--⌫|-----|---|-------⌫-|
f or s delq uerchaudes lerme str ai re	-⌫--⌫|--|-⌫--|------|-----⌫|--⌫--⌫-|
qa presenla secon denut	|-⌫---|-|-|-----⌫-|--|
en auison luapparut	-|-----|-|------|
unangles qui	-|-----|--|
lidist defi	-|---|-|-|
de sondesir oi	-|--|----|-|
meismem en tporlur oi	-------⌫--⌫|--|-|-⌫-|
parsiqepor negunpaien	--|-|-|--|----|----|
neproi astens auiemaes	-|----⌫--|-|-⌫|--|---|
maistan t uosditot a	---|---⌫|--|-|--||
ia seitqe lesuertuz	-|---|-|--|-----|
ainzdi tes	---|--⌫--|
tantsoient leues eescrites	---|-----|----||-------|
co mcelesquison t	--⌫|----|--|---⌫|
ueires pr ouees	-----|--⌫----|
lu mo ntauctori zees	-|--⌫-|-------⌫---|
q enulnen pu sse estr edo utant	-⌫|--||-|--⌫--|----⌫|--⌫----|
nep oroecli ro mei nauquant	---⌫----|-|--⌫---⌫|------|
dicestmi racle	|----|--⌫----|
escrit derra in	-----|-----⌫-|
me screants ont	--⌫------|-⌫--|
iaseitq en uain	-|---||-|---|
sou lpor itantnome ement	---⌫|--|----|----⌫----|
q eialiseint	-⌫|-|-|----|
qui tant e rtsaiuee	--|---|-⌫-|----||
sein doctor	---|-----|
p aienempereior	-⌫---|--------|
deune deproiereit codient	--|-|----------|-|----|
e coproue nte	|-|-----⌫-||
tesmonient	---------|
par t antqe is meisme	--|-⌫--|-|-|-----|
eldialogeauantdescrit	-|------|----|------|
enz e lquartliure	--|-⌫|----|----|
ou estapertementtroué	-|--|---------|-----|
qilproueemo ustrepar raison	|-|----||--⌫----|--|-----|
qeparme isme lachaison	-|--|--⌫---||-------|
ne uo u drontpasli seint	-|--⌫-⌫----|--|-|----|
quantdeusuendra lumond iuger	----|---|-----|-|---|----|
porceus quidonc	--|---|--|---|
dam n ez seront	---⌫-⌫-|-----|
par quele cil	--|----|--|
i u stesebon s	-⌫-⌫---||---⌫|
ences teuie	-|---⌫-|--|
porlesdefunzen felo n i e	--|--|-----|-|----⌫-⌫-⌫|
qui enpecchiemo r tal	--|-|------|--⌫-⌫--|
sem oere nt	-|-⌫----⌫-|
deune deprientn erequ erent	--|-|-------|-⌫|----⌫----|
carhonteontdedeurensproie r	--|----|--|-|--|---|-----⌫|
q illorp ues separdr eit uo ier	|-|--|-⌫---⌫-|--|--⌫--|--⌫--|
p ortantnest pas grant mal coquit	-⌫-|---||--|--|----|--|-|---|
saucunsceste	|-----|----|
uertude sdit	----|--⌫---|
maisueirem entquilamescr eit	---|------⌫--|--|-|-----⌫--|
une ra is onentendre d e it	--|--⌫--⌫-|-------|-⌫-⌫-|
ne lisons pas	-|-----|--|
einsiq enegun motson ast	----|-⌫|----|--|---⌫--|
aincei s plo ruttant soule ment	------⌫|---⌫--|---|-----⌫---|
porluimoltangoissousem ent	--|--|---|------------⌫--|
sanzfairede pa rl er sem bla nt	---|----|-|--⌫--⌫-|---⌫---⌫-|
qo ncne mut leu r etantneq uant	|-⌫-|-|--|---⌫-⌫|---|-|-⌫---|
prophetes moyses	--------|-----|
aqui de u d i st	|--|--⌫|-⌫-⌫-|
qedeitqeinsi criessor me i	-|---||----|----|--|--⌫|
il neconequei	-|-|-|-|---|
p artant r esem bleq autresi	-⌫-|---|-⌫----⌫--||------|
poe it g regoi re	---⌫-|-⌫-----⌫-|
desondesi r s anzmo t	-|--|----⌫|-⌫--|--⌫|
carueirement t antparueit	--|--------|-⌫--|--|---|
ci l quile squersce rche	--⌫|--|--⌫|----|--⌫---|
elesrei ns	|--|---⌫-|
qasonserflu	||--|---|-|
pl uselemei ns	--⌫-||-|---⌫-|
so uento triee	--⌫---|-⌫---||
done emire	---||---|
coqiscomoem c harnal des ire	-||-|--|--|-⌫-----|---⌫--|
e neporqua ntnelosepas	|--------⌫-|-||--|--|
mettre araisonne hautnebas	-----||-----|-|---|-|--|
dom lipsalmist eeinsinosdit	--|-|--------⌫|----|--|--|
deu l udes irdel poure oit	--|-⌫|---⌫-|--|----|--|
ic ofaitil deu sott	--⌫|---|-|---⌫|-||
del poureappareille	--|----|---------|
dautrepartasezmiezpoons	|----|---|---|---|----|
resoudreice stesquesti ons	-------|---⌫---|------⌫--|
ne trouonspa sescrit	-|------|--⌫|-----|
qetraians fust ensi d eliure	-|------|---|---|-⌫-----|
d i nf ern qe salme fust	|-⌫--⌫--|-||---|---|
or ei sonde sein t gregoi re	--⌫--⌫--|-|----⌫|------⌫-|
carco ser eittotsanzaruaire	--|-|---⌫--|--|---|------|
a leuangilea pert	||-------|-⌫---|
ou estapertem e nt es c ri t	-|--|-------⌫-⌫-|--⌫-⌫--⌫|
oemquinestdelseint	--|--||--|--|----|
ede baptesmeregenere ́	|-|-------|--------⌫|
ianenterra elr egnede	-||------|-|-⌫---|-|
aincei s lisons	------⌫|-----|
qesimpl ement	-|-----⌫----|
deliure ertd	------|--||
infer nal tor ment	-----⌫--|---⌫---|
despeine ssoulementsen tir	--|-----⌫|--------|---⌫--|
caricomo stresanzmentir	--|--|--⌫---|---|-----|
icistserf d edom nosparlons	----|---|-⌫|--|--|------|
dialogau ssarmons	--------⌫|------|
e nzelquartliureaua ntnomé	-⌫-|-|----|----|---⌫-|----|
ouestaper t ement	-|--|----⌫-⌫----|
qalmepoet e streenin fern	|---|---|-⌫---|-|--⌫---|
e neporquant	|---------|
sise repose	-|-|-----|
liuestrep orra	--|----|-⌫---|
o uneg unm al nesentira	-⌫|---⌫-|-⌫-|-|------|
dom ildit delfeuin fernal	--|-|--|--|--|--⌫-----|
qe seingleseste	-|-------|--||
t antqetozcom pr ent	-⌫--|-|--|---⌫--⌫--|
qu idamn ez sont par	--⌫|----⌫-|---|--|
diue r setdesegalen tant	----⌫-⌫|-|------|-|---|
qet ozpecchorsnestpa sar d ant	-|-⌫-|-------||--|--⌫|--⌫-⌫--|
unaie mentdune maniere	-----⌫---||--|------|
ainziso ntlida mnépechie re	---||--⌫-|-|--⌫---|------⌫-|
parludeuiusteiugement	--|-|--|----|-------|
q u isadesserte	-⌫-⌫|-|-------|
a ches qunrent	|----⌫--|---|
diuersement ars epenez	----------|--||----|
e en diuerslius	|-|-----|---|
diuerses merites	-------|------|
p or tantdiqede speinesquites	-⌫-|---|-|-|--⌫|-----|-----|
bienpoueitestreicistt raien	---|-----|----|----|-⌫----|
maisq encielonc	---||-|---|--|
estrastpaien	------|----|
ne u ospoe t n us	-|-⌫-|---⌫|-⌫-|
oemaffer mer	--|-----⌫--|
sanz c oqi lneuo illepasser	---|-⌫||-⌫|-|--⌫---|-----|
entr inement ladreitefei	----⌫------|-|-----|--|
h uimesd icestplusn e	-⌫----||----|---|-⌫|
cardel afind e	--|-|-⌫|--|-⌫|
s eintgregoir e	-⌫---|-------⌫|
uosrecontreilaueireystoire	--|--------|-|----|------|
tan tert penible ecurious	---⌫|--|------||------|
pe nsi s ueillanze studious	--⌫---⌫|-------|-⌫-------|
degarderla cite	-|-----|-|---|
en sembleod sasaludemaine	--⌫-----|-|-|---|------|
odt otl umonddom ertclamé	-|-⌫-|-⌫|---|--|--|-----|
pastorepereeauo ué	-----||---||---⌫--|
penserqe d el labor	-----|-|-⌫-|----|
ta ntforte langor	--⌫-|----|-----|
qe l upropheteeze c hiel	-|-⌫|-------|---⌫-⌫---|
lu quelespondreem pristtantbel	-|---|-------|--⌫----|---|--|
nepoeitpasdeltotparfa ire	-|----|--|--|--|-----⌫--|
ainzlest uts on porpos retraire	---||---⌫-|-⌫-|-----|-------|
par tnistan tert greuez	---⌫|--|---⌫|--|-----|
d enemised	|-----|||
a u er s itez	-⌫-⌫--⌫-⌫---|
co rpora ufeibl esce	--⌫-----⌫|-----⌫---|
q afo rceeparuiue	||--⌫--||--|---|
trestot lest ud ee ntr elessa	------||---⌫--⌫|-⌫---⌫-----|
eses durs iors	|--|---|---|
pleinsteplora	------||----|
comcilquin ot aut re	--|--|--||-|---⌫-|
f orsqe delcor speust transir	-⌫----|--|---⌫|----|------|
carnequistal neio rne nut	--|-|----|-|-|--⌫|-|--|
tantqalafinquant	----||-|--|----|
qe saproieref ustoi e	-|-|------|-⌫--|--⌫|
transi tenpardura ble	------⌫|-|-------⌫--|
lan de sonsacre quatorzisme	|-|-|--|----|----------|
