SOIGNORSor escoutezque Désuoss oit	-------|-|-------|--|---|--|-⌫--|
.I.pelansus mo n	|||--|-|--|--⌫|
autrespa utoniers.	-----|--⌫-------||
Encontre moiuanrontduc et conteetprin ciers	-------|--|------|--|-|----|-|----⌫----|
Ces damesces puc e lles etce s	--|----|--|---⌫-⌫---|-|--⌫|
gant is moillie rs	----⌫-|-------⌫-|
Moi ̈mes l anparereso leuiaire	---⌫---||--------||-|-----|
Demand erainouelles desonfilqu i ai	------⌫---|-------|-|--|--|-||-|
LasQueporai iedir eanquel	--|--|----|-|---⌫|-|---|
liulailaisié	--||-|------|
Ienesaraicréuzque	-|-|----|-----|--|
a i eboisié	-⌫-⌫|------|
Masporicelapos trequeDexaiformant chier	--|--|---|----⌫--|--|--|-|------|----|
Ainzme lairaiferir . Xu.co us anzou	---|-|-----|----||-||--⌫-|--|-|
Que Floouant netruis e	--|-------|-|-----⌫|
mons ei gnourdroi turier	--|-⌫--⌫----|----⌫-----|
Ric hierssel ieueetch auceDexlep outconsoilier	---⌫----|-|-⌫---|-|--⌫---|--|-|-⌫--|---------|
Ilaiuestulaubert	-|-|----||-----|
etailermelacié	-|-||---|-----|
Puis aicintel e spée aupo ind	---|-|----||-⌫----|-|--⌫-||
orantailié	-|--------|
Asoncolsonesc upuisa ip rislecongi é	|--|--|--|---⌫|---|-⌫|-⌫--|-|-----⌫-|
de la ui lequantil fu	-|-|--⌫-|----|-|-|
O nq uesDexnefi thone	-⌫--⌫--|--|-|--⌫|---|
àcuipréit c ongié.	-|--|-----|-⌫-----||
l auil e pan sedecheuau chier	-⌫|---⌫|---⌫-|-|------⌫----|
I l e ntrai en.I .boisautet	-⌫|-⌫----|-||||---|--|-|
grant etp lenier.	----|-|-⌫-----||
A lis ue do u boistrouai.I	||--⌫-|--⌫|---|-----|||
.cheual ier	|------⌫--|
QuifutfizEmelonquidux	--|--|--|-----|--|--|
futdeBauiers	--|-|------|
QueSarazinsauo ient desaterrechacié.	--|-------|---⌫---|-|-|----|------||
Leuezestoitmatin por soi es belaiier	----|-----|----|--|--|--⌫-------|
.Xu. lieu es plenier esauoit leboi scerch ié	|-||----⌫-|-------⌫-|----|-|---⌫|-----⌫--|
Q ue nifus entr emès	-⌫-|||---⌫--|-⌫----|
Sar azinsnepaiens.	---⌫----|-|-----||
Esgarde deuantsoisiuit	------|-----|--|-|--|
uenir Ri ch ier	----|--⌫--⌫--|
queil onquespoutestmontezou destrier	--|-|-----|---|--|-----|-|-------|
Etbroiche lecheu auletuaiferirRich i er	-|------|-|----⌫--|-|--|----|----⌫-⌫-|
QuantR ichie rslaiu e ́u	----|-⌫-----⌫-||-|-⌫-⌫-|
pas resoinié	--|--------|
Sel unsfutorgoulouset	-||--|--|--------|-|
liaut re splu sfiers	-|---⌫--⌫|---⌫|----|
Li uns ne doignai	-|--|-|------|
l autre parler neac oitier.	|----|-----|-|--⌫-----||
Gr antzcoussesontdoneze sescuzdecartiers	--⌫---|---|-|---|----|-⌫|----|-|-------|
Totesploin es lorlancess eso ntiustrabu chiez	----|-----⌫-|--|-----|-⌫|--⌫-|--|-----⌫----|
Puistraiientl esespées	---|-------|-⌫-|------|
a u poi ndourant ailié	-⌫|---⌫||--|---⌫-----|
Gr anz coussesontdonez sorles hiaumes ue rgi ez.	--⌫--|---|-|---|----|--|--|------|--⌫---⌫-||
Oncpornéa ntneuistele stour commancier	--|--|----⌫-|-|--|--|-⌫----|---------|
leselm esuergiez .	--|---⌫-|------||
Richier sai	-------⌫|-|
tr aitIoieusemorze stcuiilanfiert	--⌫--|------|---|-⌫-|--|-|-|----|
Ilatien t leuer sa ulsor sonelmeuer gié	-|-----⌫|-|---⌫--⌫-|--|--|---|---⌫---|
Quetotlaiporfandu iiu squeau	--|--||-|--------⌫|--⌫---|-|
nou dou braier.	--|--|-----||
Ri chiersesto rtsoncou psil	--⌫-----|----⌫-|--|---⌫|-||
aimorttrab uch ié.	-|---|----⌫---⌫--||
Q uant celui o tocis meruoilesan futliez	-⌫---|----|-⌫|---|--------|-|--|---|
Caril c udoitqu ifut	--|-|-⌫----|-||--|
despaiens r en oiez	--|-----|-⌫--⌫---|
Elassimarlaifaittant	---|-|--||-|---|---|
a i maul espl oiti é	-⌫|---|----⌫----⌫-|
SeDame dex nan p anse	-|----⌫--||-|-⌫---|
porla sue pitie ́	--|-|--|-----⌫|
Onquesmaisnefitchose	-----|---|-|--|----|
dontantfut	--|---|--|
coroc iez.	-----⌫--||
Illaisailoucheminsi	-|-----|--|-----|-|
setintausantier	-|---|-|------|
D usqueauchatelloupe r e àcest	-⌫----|-|-----|--|--⌫-⌫|-|---|
mort cheualie r	---|--------⌫|
Ne ce ssene ne finesi	-|--⌫--|-|-|---|-|
estuenuz Richiers.	--|----|-------||
D esoz .I.pinfo ll upor desus	-⌫---||||--|--⌫--⌫|--|----|
.I .lorier	|||-----|
E st Ric hiers desçanduzquimult	-⌫-|---⌫----|---------|--|---|
fit àprisier .	--|-|------||
Lidux fut peresau	-|--|--|----|-|
mort Emelonde	---|-----|-|
u en uzestporde sdu reo .XXX	-⌫--⌫-|--|--|--⌫---⌫-|||--|
. cheualiers	|---------|
Biensontuestuzd erminesdeb liausantailiez	---|---|-----||------|-|-⌫----|--------|
Portentoitoursdemuef aucon s etespriuier s	------|------|-|--|-⌫-----⌫|-|---------⌫|
Sor leuedeIenor uindrent esbelai ier.	--||--|-|----|-------|-------⌫--||
parole ie st uenuzRichie rs	-----||-⌫-|----|------⌫-|
Trestouzles salua i qu e bienfut ansaigniez	-------|--|-----⌫|--⌫|---|--|---------|
CilDamedex	--|------|
deglo irequiest laisus ou	-|---⌫--|--|--|-----|-|
uosga rt tre stoz ans anble n obiles cheualier	--|--⌫-|---⌫---|---⌫----|-⌫-----|--------|
Nesai quiest li siresneuosanmeluoiliez	-|--|--|--|-|----|-|--|-|---------|
C ar onques ne louui siorqu e	-⌫-|-----|-|--|--⌫|--|--⌫|
iesoie uis	-|---|--|
MasD exuossaut	--|-⌫-|--|---|
trestouzetluitrestoutpremi ers	-------|-|--|-------|-----⌫--|
I.chaitishons	||------|---|
d olanzet corociez	-⌫----|-|-------|
Quison seig nour	--|--|----⌫---|
uaiq uer re anes tran geren ier	--|-⌫---⌫-|-|--⌫----⌫-|---⌫--|
Que ansa prisontient lamirauxGa liiens	--|-|-|-----|----||------|--⌫-----|
Herbergiez moibiaus s ireporDe u	---------|--|----|-⌫--|--|--⌫|
ledroiturier.	-|---------||
Pormic este forestai.II.ior scheuauchié	----|-⌫---|-----|-||-||---⌫|----------|
Defourrene dauoi nenemeingai me sdestrés	-|-----|-||----⌫-|-|------|--⌫|-------|
Emelonsl eregardelouuit bel cheua lier	------|-⌫|------|--|--|--|-----⌫---|
Belemant liadituersaul	-------|-||--|------|
au le za ̀ pié .	--⌫--⌫|-⌫|---||
Por l amou r Damedeusaroisuos abergiez	--||----⌫|------|-----|--|-------|
à dem ainneperdras . I .	-|---⌫--|-|------||||
Sonmar echau	--|---⌫----|
demoineapalelepluschier	------|----|-|---|----|
Etli aicommandé	-|-|-|--------|
uaisipran cede strie r	--|-|---|-|--⌫-----⌫|
Doufainetd elauoineait	--|---|-|-⌫||-----|--|
ase z àmengier	---⌫|-|------|
Etmemo inelaisu islec ors	-|-|--⌫--|-----⌫-|-|-⌫--|
doucheualier.	--|--------||
Monmant elli	--|----⌫-|-|
aportelou muedre etlepluschi er	-----|--|-----|-|-|---|---⌫-|
Etsi garde très	-|-|----|----|
bienqu easezaitàm engier	---|--⌫|---|--|-|-⌫-----|
cors méimesbien lemeconraez.	---|------|---|-|-|------||
EtillirespondiSiremoultuelont iers	-|-|-|-------|---|----|------⌫---|
Limarechaus	-|--------|
anmoin el ebondestrie ́corant .	------⌫|-⌫|--|-------⌫|-----||
Lichanbellanz	-|----------|
aporte.I.garnemant	-----||||--------|
mo utchier	--⌫-|----|
Et grant manteldermin epandiau	-|----|-----||-----⌫|----|-|
co ulpRichier	--⌫--|------|
Et puislan	-|---||-|
amené ou grant p al ais plenier	|----|-|----|-⌫--⌫--|------|
Etli aidonéleu esi	-|-|-|----||--⌫|-|
l asietau diner	|----|-|----|
Asez otuenoison	---|-|-------|
etc laréetu i n uiez .	-|-⌫----|-|-⌫-⌫|---||
Lisenec ha us moimes li	-|-----⌫--⌫-|-----|-|
aideuanttreinch ié.	-|-----|-------⌫--||
Elasmari mengaid emaule hourei cis i et	---|--||-----|-⌫|----|----|-⌫-|-⌫-⌫-|
SeDamedex nanpansepor lasuepitié	-|------||-|----|--|-|--|-----|
Onquesmaisnefit	-----|---|-|--|
chose do ntantse r epantier	----|--⌫|---|-|-⌫-------|
N edonfuttantmar rizà nul	-⌫|--|--|---|---⌫--|-|--|
iorsdesolciel.	---|----|---||
RI CH IE RS futoupalais au mengierfu tessis	--⌫--⌫--⌫-|--|-|-----|-|------|--⌫|----|
Asezo tàmengiéetcl are ́	---|-⌫|-|------|-|--⌫---⌫|
et u iezuin.	-|-⌫--|--||
Il nedem oraigairesqu e.I .escuiers	-|-|---⌫---|-----|--⌫||||-------|
Quiport ois on	--|----⌫-|-⌫-|
s eignorque Richiersotocis.	-⌫-----|--|-------|-|---||
Lanoiseestaméu e	-|----|--|-----⌫|
po rtre sto t lepaïs	--⌫|---⌫---⌫|-|----|
Mul tporestgranzlidaus quantEme lons	---⌫|--|--|----|-|---|----|---⌫---|
.III I . foizs e paumaisor le	|---⌫||---|-⌫|-----|--|-|
could esonfiz	---|-⌫|--|--|
Plusliaidem andéEscuiersqui	---|-|-|---⌫----|-------|--|
-Alamoi e foi sire. I .damois iaus	||-|---⌫|--|---||||------⌫---|
Qui moutes t de	--|---|--⌫|-|
sesarme sco r aigouset ardiz	--|----⌫|--⌫-⌫-----|-|----|
Messiressiottortquip remiers	--|----|-|-|---|--|-⌫------|
-Siredie nt siomepormafo i	|---|---⌫-|-|--|--|-|--⌫|
Qui laisusaumengiere stoup alaisasi s.	--|-----|-|------|-⌫-|-|-⌫----|---⌫||
Ber car anfaiiotise	--|--|-|--|-----|
si lic o pele chie f.	-|-|-⌫-⌫-|-|----⌫||
antantEmelonsle sa ncudemar rir	-----|------|-|--⌫|---|---⌫--|
Si cheu alier secorent	-|----⌫----|-|-----|
àlorostégarnir	-|--|----|-----|
an uindr entcoreçousetm arris	-|-----⌫--|--------|-|-⌫----|
LaioùRichiersesto it àson	--|--|-------|----⌫-|-|--|
mengieres sis.	------|--⌫--||
aü sse ntiamortdetra i n ch ié etocis	---⌫---⌫-|-|---|-----⌫-⌫-⌫--⌫--|-|---|
QuantEmelonsangurele corsdesainDeni s	----|------|-|---|-|---|-|---|----⌫|
tochiezli ch eualier depris.	------|-|--⌫------|-|---||
Pormaut alant enmonteto z	--|----⌫----|-|----|--⌫|
le s degrez mabrins	--⌫|-----|------|
Etpristdou senechau lo u couta il	-|----|--|-------|--⌫|-----⌫-|
qu e il tint	--⌫|-|---|
Talantot enso n	-----|-|-|--⌫|
cor qu eRi chie renferit.	--|--⌫|--⌫----⌫|-|----||
Emelonsfutproud ons son mautalant	------|--|-----⌫--|--|--------|
Apre ̀sseporpansai lin obi les	----⌫-|-|--------|-|-⌫---⌫--|
Quilnelocira imiecar ilserai h onis	-|-|-||-----⌫|--|--|-|----|-⌫---|
Trèspord euantRichie rf erilemacelin	----|----⌫----|------⌫|-⌫--|-|------|
DesusRichieran u olentles	----|------|-|-⌫----|--|
esclaces douuim.	-------|--|--||
uersau sditEmelon smaul em antma s	------⌫|--|------⌫|----⌫--⌫--||-⌫|
Dedo toz anfanzen	-|-|--|-----|-|
terrenauoiec	----||----||
onchersf iz	-|----|-⌫-|
por orgueildetrenc hiéet	--|------|-------⌫---|-|
Iete feraiencuitozles	-|-|----|----|--|--|
manbres tolir.	------|----||
Q u antlentandi Richierstozl i	-⌫-⌫--||------|-------|--|-⌫|
Il laissai le men gier de paourqu el ef it	-|------|-|---⌫---|-|----|--⌫|-⌫|-⌫-|
RICHIERSu it	-------|-⌫-|
Emelons le b on	------|-|-⌫-|
ducdeuan tsoi	--|-----⌫|--|
Porlamorso nanfantcoroc ̧ouzetdestroi t	--||---|--⌫|-----|-----⌫---|-|-------⌫|
Paou r otd ou c out e l	----⌫|-|-⌫-|-⌫---⌫-⌫|
queliuersauzt enoit	--|-|------|-⌫----|
lan ferast etociattotfroit.	|-|-----|-|----|--|----||
Ri chierssesiIoieuse qui	--⌫-----|---|------|--|
giso itiost esoi	----⌫-|----⌫|--|
Puisi ontandous lespiez sitressaïli	---|-⌫--|-----|--|---|-|-------|-|
uers auz ce dit Richierspor l a foiqu e u o s	----⌫--|-|--|-------|--|-⌫|--|--⌫|-⌫-⌫|
N i ertmais legiers	|-⌫--|---|------|
li pandresn elociresde moi	-|------|-⌫||-----|-|--|
Porlaf o ique	--|-|-⌫-⌫|--|
uos doiian e uosmantirai	--|--|-|-⌫|--|-------|
I eerroiehui mat impo rmicebruer oi	-⌫|-----|--|---⌫-|--⌫--|-|-----⌫-|
.I.ch eualier trouaide	|||--⌫------|-----|-|
mouttr e ̀s g ran tboufoi	---|--⌫-⌫-|-⌫---⌫|-----|
uer s moi san uintpoig n ant à moutricheconroi	---⌫|--||-|---|----⌫-⌫--|-|---|----|-----|
Siparfutorguelousne	-|--|--|--------|-|
uotparleràmoi	--|-----|-|--|
.I.gr a nt copme dona i	|||--⌫-⌫-|--|-|----⌫|
sor m o nescuàdroit	--|-⌫-⌫|---|-|----|
Etie referiluiçousaichiezde menois.	-|-|-----|--|---|-------|--⌫-----||
Saich eizseie laimortc efut pormon	-----⌫--|-|-||-|---|-⌫|--|--|--|
Cartrestot autresireféitildemoi.	--|------|------|------|-|-|--||
Saichie z queiln ai homeconteneduc	-------⌫|--|-||-|---|----|-|--|
Miauznamase a uoir	----||----|-⌫---|
iléutmort	-|---|---|
Masfaites unechose siferoiz	--|-----|--|----|-|-----|
quecortois	--|------|
P orpluspr ou uos	-⌫-|---|--⌫-|--|
tanront cheualier	------|--------|
et bor gois	-|---⌫---|
Ormer andez mes armes	-|-|-⌫----|--|----|
et trestotmon conroi	-|------|--|-----|
Siuenezlaideforsco n batre	-|----|--|-----|--⌫-⌫----|
ancontremoi .	-------|--||
Sepouzuengier	-|---|------|
tonfizdon tuas	--|--|--|-|-|
le cornoir	-|--|---|
Nan doiz est re blamezan co u rt à	|-|---|---⌫-|-----|-|--⌫-⌫-|-|
duc neroi.	--|-|--||
-uarsazditEme lonsia m ar	|-----|--|---⌫---|-|-⌫-|
anparleroiz	-|--------|
Ainz uo stoudrai latest enepo rairemenoir .	---|--⌫|------|-|----⌫|-|--⌫--|-------||
-Sireced itRichiersmoutgranzpechiezsaroit	|---|-|-⌫-|-------|---|----|------|-----|
sa isondemandéuossa roit	--⌫---|-------|--|--⌫---|
H er soir me habergastesp or lamoursDe u	-⌫-|---|-|----------|-⌫-||-----|--⌫|
Trestotas éurestes m onco rsetmonauoir	------|--⌫--------|-⌫-|--⌫-|-|--|----|
Certesi ocis ton filtrestotsorsmondesfoi	-----||---|--|--|------|---|--|-----|
o céiseilmocéitcecroi.	-⌫-----|-||-----|-|---||
Pre ssuisquemed esfande uer stoncorsorandroit	---⌫|---|--|-|-⌫------|---⌫|--|---|--------|
fiz mess ailipremie rspo r son	--||---⌫---|------⌫-|--⌫|--|
Quan t Emelonslantantn e s at que dire	----⌫|------||-----|-⌫|-⌫-|--|---|
Pu is apelleRich iercomia oïr poroiz	--⌫-|-----|----⌫--|--|-|---|-----|
u ersauzd i t Emelo nste	-⌫-----|-⌫-⌫|-----⌫-|-|
tan dras tuàdroit	---⌫---|-|-|----|
- Oïl cedi t R ichiersporla foique	|---|-|--⌫|-⌫------|--|-|--|--|
Il liaiafié	-|-|-|----|
et bienpleu i por foi	-|---|----⌫|--|--|
EtEmel onsailuisanz nulautredesroi	-|----⌫--|-|--|---|--|----|-----|
P artansie rt	-⌫-|---|--⌫-|
l a bataileneporairemeno ir.	-⌫|------|-|----|------⌫-||
DexaïtàRichie r carEmelons	--|---|-|------⌫|--|------|
a id roit .	-⌫|-⌫---||
Se sarmesl iai faitap orter	--⌫|----|-⌫|-|---|--⌫----|
So ncheuaulli	--⌫|------|-|
a meinent quipas men gié	-⌫------|--|--|---⌫---|
nesonfoin quaporté	-|--|---|-|------|
li auoi t.	-|----⌫||
Q u antR ichiersla i	-⌫-⌫--|-⌫------||-⌫|
uéumoutioianzan estoit .	---|---|-----|-|-----||
EME LONSpristRichierleprouzetle l oiaul	---⌫---|----|------|-|----|-|-|-⌫----|
degrezdemabre	-----|-|----|
l anmoinecontrauaul	|------|---------|
Desozlesoliu iersou ̀s es	----|--|----⌫---|--⌫|-⌫-|
homesl aisai.	----|-⌫----||
Sorelisontcor uz	---|-|---|---⌫-|
deplus de.XIII .	-|---|-||---||
Il léusentia mort s	-||------|-|---||
Em el ons lorlaisai t	--⌫--⌫--|--|------⌫|
M a sEmelonsaniurele	-⌫-⌫|------|-|---|-|
corsSain t Lie mart	---|----⌫|---⌫---|
sera i tochiezli	----⌫|------|-|
nob il esue rsauz	---⌫--⌫-|--⌫----|
Car ilseu ot desfandreas a rmesà	--|-|-|-⌫-|--------|-|-⌫---|-|
Q uedesuis s on desfoimonanfant tuéai	-⌫-|-----|-⌫-|-----|--|-----|---|-|
Iaa ur ailabata ill e	-|-⌫--⌫-|-|----⌫---⌫|
quepoint nedem o r ai.	--|----|-|---⌫-⌫-⌫-||
Emelons s adobailou	------||-----|--|
au berandossai	--⌫--|-------|
Pui s cintTroincheso ué u ne espéequi l	---⌫|---|----------⌫--|-⌫-|-----|-|-⌫|
anpoignai.	--------||
Emelonsfut	------|--|
proudonsmontezes to u cheuaul	-------|-----|--⌫|-⌫|------|
S a ̀ Ric h ieruetioteri an e saloe rai	|-⌫|---⌫-⌫--|--|----|-⌫|-⌫||----⌫--|
Des gr anzc ousdeIoous e ancui sa	--|--⌫--|-⌫--|-|-----⌫|----|-|
pa r taurai.	--⌫-⌫|----||
DEce fitEmelo ns	-|-|--|-----⌫-|
que cheu ali ers	--|----⌫---⌫--|
àRich iertrestoz	-|----⌫--|------|
ses garnema nz	--|-------⌫-|
Libe r ss anadobai totetinelemant .	-|--⌫-⌫||-|-----|--|-|--------||
sa l efutmises imontean laufe r rant	--⌫-⌫|--|---|-⌫|----|-||----⌫-⌫---|
de la uillea ̀es peronsbroic hant	-|-|----|-⌫|--⌫-----|-----⌫---|
E tEmelon sle	-⌫|------⌫|-|
suitàesperon s broic han t	---|-|-------⌫|-----⌫---⌫|
Queilcrient queR ichi ersnes	--|-|-----|--|-⌫----⌫--|-||
anaulas tfu ant	-|-----⌫|--⌫--|
néant le panseR ichiers n an aitalant	-----|-|----|-⌫------||-|-|-----|
RICH IERSpo intlec heuaul parmilebr ue roi	----⌫---|--⌫--|-|-⌫-----|----|-|--⌫--⌫--|
Etc hosiE melon lou bond ucdeuan t soi	-|-⌫---|-⌫----|--|--|-⌫-|-----⌫|--|
Damed eure clamai oùil	-----⌫-|--⌫-----|--|-|
fianceauoit	-----|----|
Ciuoi.I.cheualier	-|--||||--------|
moutfi er a ̀grantdesroi	---|--⌫-|-⌫|----|-----|
Porsonfizqueiocisla utrier	--|--|--|--||---||-⌫-----|
ce pois emoi	-|----⌫|--|
S e uientàmoiconb atr e etocire me	-⌫|----|-|--|----⌫---⌫|-|----|-|
ai tortce rtes etilai droit .	-|---|--⌫---|-|-|-|----||
Orpriiea ̀ ce lui	-|--|-|-⌫|--⌫--|
qui fu mis enla	--|-|--|-|-|
c ors medesfande de honteetd	-⌫--|-|-------|-|----|-||
Qe Floouan t mon	-|-------⌫|--|
sire puissea ncoresrau oir.	---|-----|-⌫-----|---⌫--||
Saluimecombat o ieg ran t foliesaroit.	||--|-|------⌫-⌫-|-⌫---⌫|----|-----||
Orfera iunecho sedonferai queco rtois	-|----⌫|--|---⌫-|--|----|--|--⌫----|
Por pl usprouzm an tan rontcheua lier	--|--⌫-|----||-|---⌫---|-----⌫---|
etborgoi s	-|------⌫|
Cri erai limerciporamours	---⌫---|-|----|--|-----|
Deule uoir	--|-|---|
Poralarmede son f iz	--|||---|-|--|-⌫-|
dontillaile cournoir	---|--|-|-|---|---|
sires aitlarmequi sorn osa i	----|--||---|--|--|-⌫-|-⌫|
Etse plu xtruisan lu n eorgu ilne	-|-|---⌫|----|-|-|-⌫|----⌫-|-|
Demespée Ioieu se tex .I II.cous	-||-----|-----⌫-|--||-⌫-||---|
auraitalant de conba treen uer s moi	----|-----|-|-----⌫--|--⌫---⌫|--|
Iem aisn auraimestierànuliordes or	---⌫--||----|------|-|--|--|---⌫-|
Emelomuers Ri chierapoignoit .	-----|---|--⌫----|--------||
uersa uz d it Em elonsprouz est esetcortois	-----⌫-|-⌫-|--⌫----|----|---⌫-|-|------|
Tu nedoign asfoïr	-|-|-----⌫-|----|
por autrene p or	--|----|-|-⌫-|
T orneça icel es cusiteco nbatàmo i	-⌫---|---⌫|--|--⌫-|-|-|--⌫---|-|--⌫|
Dèso rt erons	---|-⌫|-⌫|---|
testriues ie ne squier	--|-----|-|--⌫|----|
plusauoir.	---|----||
-Sirecedit Richie rs granz	|---|-|--|------⌫-|----|
foli es aroit	----⌫|-⌫----|
Ma sfates une cho sesi	--⌫|----|--|---⌫-|-|
feroizquecortois	-----|--|------|
mor certes çoupoise moi	--|-----|---|----|--|
Pordonemoi	------|--|
samort por	-|---|--|
amo rs Dexlouuoir	---⌫-|--|--|---|
Quemerc iait	--|----⌫|--|
de la rmeIe susli	-||-⌫--|--⌫--|-|
uera isr ois	----⌫-|-⌫--|
-uersau s di t	|------⌫|--⌫|
