Monsieurl arc euesquede	-------||---⌫------|-|
auoyentcrainct edaucunsqu i lz	------|-------⌫||-----|-|-⌫-|
ueoyent marche r quis	------|------⌫|--||
approchoientetluyfo rtsanglantseretira à eulxcomme	-----------|-|--|--⌫-|-------|-|-----|-|---|----|
aumillieu du campetestoitlen sei gne du	-|------|-|---|-|-----||--⌫---⌫--|-|
Bourgongn e toute despec éetellem entque ll e	---------⌫|----|------⌫--|------⌫--|-|-⌫--⌫|
na uoit pas ung p i ed	|-⌫---|--|--|-⌫-⌫-|
delon gu euret	-|---⌫--⌫--|-|
lenseignedes archier sdudict	|-------|--|-------⌫|-----|
Ilny auoit pasquaran tehommes	-|||----|--|------⌫-|-----|
entoutet nou sy ioig nismesqui	-|---|-|---⌫||----⌫-----|--|
nestions pas t renteentrèsgrantdoubte	|------|--|-⌫----|-|----|----|-----|
In c ontine ntilchan gea decheual etle luy baillaung	--⌫-⌫------⌫-|-|----⌫--|-|-----|-|-|--|-----|--|
quie stoitl or ss onpaige q ui	--|-⌫----|-⌫--⌫|-⌫-|----|-⌫-|
auo it n om	---⌫-|-⌫-|
Quing yquidepui saestécon gne u	-----⌫|--|-----⌫||----|---⌫---⌫|
Ledict co ntese	-----|--⌫--|-|
lecham p po urrallier	-|----⌫|--⌫-|------|
ge nsmaisie uey	--⌫-|---|-|--|
telle demyeheu re quenousqui	----|----|---⌫-|--|---|--|
e stion sdemou réz	-⌫-----⌫|-----⌫---|
la ̀ n eauions loeil	--⌫|-⌫|-----||---|
queàfuyr silf ustmarché cent hommes	--|-|---||-|-⌫--|------|---|-----|
I lue noit à nou s	-⌫|--⌫---|-|---⌫|
dixhommesuing t	--|-----|----⌫|
hommes quedepiedquedecheual lesgensde	-----|--|-|---|--|-|-----|--|---|-|
piedlassézetblesséztantdel outraigequeleu r	---|------|-|-------|---|-||-------|--|---⌫|
auions faitle mat inque aussides enn emys	-----|---|-|---⌫-|--|----|--|---⌫---|
Peu àp eu en uenoit	--|-|-⌫-|-|-----|
No strec hampestoit aussiraso ù demyeheuredeuantle	--⌫---|-⌫---|-----|----|--|-⌫-|----|----|-----|-|
bl é estoit sigrant	--⌫-|-----|-|----|
et àl heurelapouldrelaplus	-|-||----|-|------|-|---|
te rribledumon de toutle champ	--⌫-----|-|---⌫-|---|-|----|
semé de mors	----|-|---|
et deche u aulx etnesecongnoissoi t	-|-|---⌫-⌫---|-|-|-|-----------⌫|
nulhom me mortpour la	--|---⌫-|---|---|-|
Incont inentue ismessaillirle contede	------⌫----|--⌫----|------|-|----|-|
Pol du bo ysquiauoitbien q uaranteho mmes d	--|-|--⌫-|--|----|---|-⌫------|--⌫---||
arm esauecquesluyet	---⌫-|-------|--|-|
sonen seigne etmarchoit droitànouse t	--|--⌫-----|-|-------|----|-|---|-⌫|
cro issoitde gensmaisilznous	---⌫-----|-|---|---|--|---|
sembloyentb ien loing	---------|-⌫--|----|
Onluyen u oyatro is	-|--|--⌫-⌫--|---⌫-|
o u quatrefois prierqu	-⌫|-----|---|----|-|
ilseha s tastmaisilne	-|-|--⌫-⌫---|---|-|-|
semuapointet ne	-|--|----|-|-|
uenoit quelepaset fistpr endredes l ances	-----|--|-|--|-|---|--⌫----|--|-⌫----|
gens quies toientàterr eetue noit en	---|--|--⌫-----|-|----⌫|-|--⌫---|-|
o rdreq uidonnag randresconfor tànozgens	-⌫---|-⌫-|----|-⌫---|---------⌫|-|--|---|
ets eioing ni rente nsemblea uecgr antnombreetuin drent	-|-⌫|-----⌫--⌫---|-⌫------|-⌫--|--⌫--|-----|-|---⌫----|
la ̀oùno usesti onsetn ous trouuasmesbien huytcens	--⌫|--|--⌫-|----⌫--|-|-⌫--|---------|---|---|---|
hommesd armes	-----||----|
Dege nsd e piedpeuou	-|--⌫-|-⌫|---|--|-|
nulzqui gard èrent bie n ledictco ntequ	---|--|----⌫-----|---⌫|-----|--⌫--|-|
eus t lauictoire	---⌫|-|-------|
entie ̀recar i lyauoit	-----⌫--|--|-⌫||----|
u ngfossée t u negranth ay eentre l es d eux	-⌫-|-----|-⌫|-⌫-|----|-⌫--⌫|----|-⌫-|-⌫--|
De lapart duroy	-|-|---|-|--|
fuistle conte	----|-|----|
plusieursautreset bienhuitcenshommesd	--------|-----|-|---|---|---|-----||
Aucunso ntu oul udire que ledictconte du	-----|-⌫-|-⌫---⌫|---|--|-----|----|-|
Ma ineauoi tintelligenceauecqueslesd ict z	--⌫--|----⌫|-----------|-------|----⌫---⌫|
Bourg uygno n smaisàla ueritéiecroyquil	-----⌫-----⌫-⌫|---|-|-|------|-|---|-|-|
nenfutoncques r ie ns	|-|--|------|-⌫--⌫-|
I ama isp lu sgrantfuytte	-⌫---⌫-|-⌫--⌫|----|-----|
nef utdesdeuxcostéz	-|-⌫-|--|---|------|
espec ia ldemou re ̀rentl esdeuxprinces	-----⌫--⌫|-----⌫--⌫----|-⌫-|---|------|
Du costédu roy sen fu ytu nghomme	-|-----|-|--||-|--⌫-|-⌫-|----|
de sta tiusquesà	|-⌫---⌫|------|-|
L usygnen sansrepa i stre	-⌫------|---|----⌫-⌫---|
et ducosté	-|-|-----|
unga utre hommedebien iusquesa u	--|-⌫---|----|-|---|------|-⌫|
Cesdeux nau oyentgarded esemord r el	--|---||--⌫----|----|-⌫|-|----⌫-⌫||
u nlau t re	-⌫||--⌫-⌫-|
Estantainsic esdeuxbata i llesrengées	-----|----|-⌫-|---|----⌫-⌫---|-------|
lun edeua ntl	|--⌫|----⌫-||
a utreset ir è rent plu sieurs coup sdecanonquit uèrent	-⌫---|-|-⌫--⌫--⌫---|---⌫-----|----⌫|-|----|--|-⌫------|
de s gensdun cost e ́et d autre	--⌫|---||-|----⌫-⌫|-||----|
Nul nedesiroitp lusdecombattre	--|-|-------|-⌫--|-|--------|
Etesto itnos treb endeplus grosse quecelledu	-|----⌫-|---⌫--|-⌫---|---|-----|--|----|-|
Tou t esfoissapers onn e prese nte	---⌫-⌫-----|-|----⌫---⌫|-----⌫--|
e stoitgrant chose etlabonnep arollequil teno yt	-⌫----|----|----|-|-|----|-⌫-----|-|-|----⌫-|
auxgensdarmes e t	--|---||----|-⌫|
croyueritabl ementàceque	---|--------⌫----|-|-|--|
ienaysceuque	|-|-|---|--|
seneust esté	-||---|----|
luyseul quetout senfu st	--|---|--|---||-|--⌫-|
Aucuns denos tre cos tédesiroientqueon	-----|-|---⌫--|---⌫--|---------|--|-|
recommenças tetparespecia lmonsr	------------⌫|-|--|-------⌫|----|
H autbourd inqui	-⌫--------⌫-|--|
disoit qu ilu eoitunefil le de gens	-----|-|-|-⌫---|--|---⌫-|-|---|
qu isenfuyoientetquieu st peut rouuer	--⌫||-|-------|-|--|--⌫-|--|-⌫-----|
archierslenombredecen t pou r	-------|-|-----|-|---⌫|---⌫|
trauers d elahay e to utfustmarc he ́	------|-⌫|-|---⌫|--⌫-|---|----⌫--⌫|
denostre costé	-|-----|-----|
Estans surcepropoz etsur	-----|--|-|-----|-|--|
cespensé es et	--|------⌫-|-|
sansnull eescarmouchesuruyntl en tréede	---|----⌫|----------|------||--⌫----|-|
E tse re tiraleroyà	-⌫|-|--⌫---|-|--|-|
Corbueiletn ousc uydion sq u	-------|-|-⌫--|-⌫------⌫|-⌫|
il se logeas tet parcastDau entu r ese	-|-|------⌫|-|------||--⌫----⌫-⌫|-|
mist le fe uenu ngca que	---|-|--⌫|-|-⌫-|--⌫--|
dep o uldre	-|-⌫-⌫----|
roy auoit estéetseprintàaucunes charret t e s e t	--|----|----|-|-|----|-|------|-------⌫-⌫-⌫|-⌫|
tout dulong de	---|-|---|-|
lagranthayee t c u ydions	-|----|---|-⌫|-⌫-⌫-----|
q ue ce f ussent le ursfeuz	-⌫-|-|-⌫-----|--⌫--|---|
Le con tede	-|---⌫-|-|
Polquibien sembloit	--|--|---|-------|
chef deguerre etmon srde	---|-|-----|-|---⌫-|-|
Hau tbourdinencores pluscommandèrentqueon amenast	---⌫-------|------|---|------------|--|-|------|
l e c h arr oyau	-⌫|-⌫-⌫---⌫-|-|
proprelieulà	-----|---|--|
oùnousestionset	--|---|------|-|
queon n ousc louyst etainsi	--|-|-⌫--|-⌫-----|-|----|
Comme nous esti onslà en bataille et	----|---|----⌫--|--|-|-------|-|
ral li ézreuindr entbeaucoupdesgensduroyquiau oyent	---⌫--⌫--|-------⌫--|-------|--|---|-|--|--|--⌫----|
chassécuydansque tou tfustga igné pour eul x	------|------|--|---⌫|---|--⌫----|---|---⌫|
etfurentc ontrainct z de	-|-----|-⌫---------⌫|-|
p asserpar mynous	-⌫----|---⌫-|---|
A ucunseneschappèren tetl e	-⌫----|-|------------⌫|-|-⌫|
pl usseperdirent	--⌫-|-|--------|
De ge nsdenom	-|--⌫-|-|--|
de ceulx du roymo uru tm essi re	-|----|-|--|--⌫---⌫|-⌫----⌫-|
Geoffrayde	-------|-|
Bellin legrandseneschal	-----|-|----|--------|
F locque t cappitainedu p arty des	-⌫------⌫|---------|-|-⌫---|--|
Bo urguygnons mour utme ssire	--⌫---------|----⌫-|--⌫----|
Philippesde	--------|-|
Lala inetd egensà pied	----⌫-|-|-⌫|---|-|---|
et menuzgens	-|----|---|
plusquede ceul x du roymaisdegen s	---|--|-|----⌫|-|--|---|-|---⌫|
de ch eual en	-|--⌫---|-|
mourutplus du	-----|---|-|
partyduro y	----|-|--⌫|
Deprisonnier sbonsles gens	-|----------⌫|---|--|---|
duroy en eurent	-|--|-|-----|
d es meilleursde ceulxq uifuyoien t	-⌫-|--------|-|----|-⌫-|-------⌫|
Des deux partyesy	--|---|------||
mou rutde uxmillehomm esdu	---⌫--|--⌫-|----|----⌫-|-|
moinset f utla chosebiencombattueet setrou ua	----|-|-⌫-|-|----|---|--------|-|-|----⌫-|
desdeuxc ostézde	--|---|-⌫-----|-|
gensdebienetdeb ienlasches	---|-|---|-|-|-⌫--|------|
Mais cefut grantchoseà	---|-|--|----|----|-|
monaduis de	--|----|-|
s eralliersurle cha mp	-⌫|------|--|-|---⌫-|
etestretroisouquatre heuresen c est es tat l	-|----|----|-|-----|-----|-|-⌫--|--⌫--||
un deuantlautre	-|-----||----|
Etdeuoye ntbiene stimer	-|------⌫-|---|-⌫-----|
le sdeuxprincesceu lxquileurtenoye nt bonne	--⌫|---|------|---⌫-|--|---|------⌫-|----|
compaig nye àcebesoing	-------⌫--|-|-|------|
Maisilzenfeirentcomme	---|--|-|------|----|
n onpointcommeanges	-⌫-|----|----|----|
Telperditses officese testatzpou r	--|-----|--|------|-⌫|-----|---⌫|
estr e fuy	----⌫|--|
etfurent donnézà d	-|-----|------|-||
a utres quiauoyent fuy dixlieue s	-⌫----|--|------|--|--|-----⌫|
plu sloing	---⌫|----|
Ungdenostre coste ́perditauctoritéetpriué d e	--|-|-----|-----⌫|-----|---------|-|-----|-⌫|
laprésencedeson	-|--------|-|--|
mais treu ng moysaprèse utplus dau ctoritéque	----⌫--|-⌫-|---|-----|-⌫-|---||--⌫-------|--|
Closque no us feusmesd e	---|--|--⌫-|------|-⌫|
ce charroychascunse	-|------|------|-|
loge alemyeulxquil	----⌫|-|-----|-|-|
Nousauyonsgrant	---|-----|----|
nombredeblesse ́zetlapluspart	-----|-|------⌫-|-|-|-------|
fortdescour aigé zetespouen tézcr aign ant	---|-------⌫-----⌫|-|-------⌫---|--⌫----⌫--|
quece ulxde	--|--⌫--|-|
Pa r isauec de ux censh o mmesd	--⌫-⌫-|---|--⌫-|---|-⌫-⌫---||
arm es qu il yauoitauec	---⌫-|-|-||----|---|
eulxetle marescha l	---|-|-|--------⌫|
Ioachi n lieutenant duroy e n lad icte c it é sortissent	------⌫|---------|-|--|-⌫|---⌫---|-⌫--⌫-|---------|
etque loneustaffai rede	-|--||-|---|-----⌫-|-|
deuxcostéz	---|------|
Commelanuyt futt o u te	----|-|---|--|-⌫-⌫-⌫-|
clos eonord onna cinq uantelances	----⌫|-|---⌫---|----⌫----|-----|
po urueoiroùlero ye s toitlogé	--⌫-|----|--|-|--⌫|-⌫-⌫---|----|
Ilyen alla paraduent ureuingt	-||-|---|--|------⌫--|----|
I lyp ou oit auoir	-⌫||-⌫--⌫--|----|
troisg etzdar c den ostre ch amp	----|-⌫--||--⌫|-|-⌫----|--⌫--|
i usqu esoùnous	-⌫----⌫-|--|---|
cuydi onsleroy	-----⌫--|-|--|
Cependantmonsr	--------|----|
Charroloisbeut e t	---------|---|-⌫|
mengeaungpeu	-----|--|--|
e tchascun	-⌫|------|
en sonendr oitet luyf utadoubée sa	-|--|----⌫--|-|--|-⌫-|-------|-|
a uoitaucol	-⌫---|-|--|
Aulieuo ù	-|---|-⌫-|
ilmengeafa llu tosterquatre ou cin q	-|-----|--⌫---⌫|----|-----|-|---⌫|
hom me smorspour luyfaireplaceety eutl	---⌫--⌫|---|---|--|----|----|-||--||
on d eux boteauxdepail le	-|-⌫--|------|-|----⌫-|
En remua ntungdec es	-|-----⌫-|--|-|-⌫-|
pouuresg en snudzcom mençaà dem a nder àboi reet	------|-⌫--⌫|---|---⌫-----|-|---⌫-⌫---|-|---⌫-|-|
onluy gectaunpe u detysan ne	-|--|----|-|--⌫|-|-----⌫-|
en la b ou chede quoy	-|-|-⌫--⌫--|-|---|
ledictseigneur	-----|-------|
auo itbeulecueurluir euintetfut	---⌫-|--|-|----|--|-⌫----|-|--|
congneuetestoit ungarchier nommé	------|-|-----|--|------|-----|
Sauarotde corpsdudic t seigneurfortrenomméetfut	------|-|----|-----⌫|-------|---|-------|-|--|
penséet guery	-----|-|----|
en conseil qu il es toitde	-|------|-|-|--⌫---|-|
faireetoppina lepremie rle c onte	----|-|-----|-|------⌫|-|-⌫---|
quelonestoit	--||-|-----|
enperiletconseilloittyrer àl	-|----|-|----------|----|-||
aubed uiourleche m yn	---|-⌫|---|-|---⌫-⌫-|
Bourgongneet	---------|-|
queonbrulast	--|-|------|
unepar t ye du char roy e t	--|---⌫-⌫-|-|----⌫--|-⌫|
sauluers eulle mentlartillerie aussiquenul	------|-⌫-----⌫---||---------|----|--|--|
nemen astcharroysil	-|---⌫--|------||-|
nauoitplus	|----|---|
lan cesetque	---⌫--|-|--|
dedemourerlàsa ns	-|-------|--|--⌫-|
uiure sentre	-----⌫|----|
P arisetle roynestoit po ss ible	-⌫---|-|-|--||-----|--⌫--⌫---|
Aprèsoppinamonsr de	-----|-----|----|-|
H autb ourbi nass ezen cestesubstance saufsça uoi r	-⌫----⌫-----⌫|---⌫-|-|----|--------|---|----⌫---⌫|
auantquerapport eroyentceu lxqui estoyentd ehors	----|--|-------⌫------|---⌫-|--|-------|-⌫----|
Troisouqu at r e a utress emblable s	----|-|--⌫--⌫-⌫|-⌫----|-⌫--------⌫|
Lederniermonsrde	-|------|----|-|
Contayq ui distd ès	-----|-⌫-|---|-⌫--|
quecebruyt	--|-|----|
seroiten l osttou t	-----|-||--|---⌫|
se mectro it enfuyttee tquil	-|------⌫-|-|-----|-⌫|-|-|
seroitprins de uant	-----|----|--⌫---|
quileustfa ict uingt l ieu es	-|-|---|--⌫--|----|-⌫---⌫-|
Etdistplusi eurs	-|---|-----⌫---|
rais ons bonneset q uesona duise stoit	----⌫--|-----|-|-⌫-|--|-⌫---|-⌫----|
quechascun feista umyeu lxqu il pourro it ces te	--|------|----|-⌫|----⌫-|-|-|------⌫-|---⌫-|
nuytet qu el e matinà la ubeduiour	---|-|--⌫|-⌫|----|-||-⌫--|-|---|
o na ssa il listle	-⌫|-⌫---⌫--⌫---|-|
ro yet quilfailloitmour ir la ̀	--⌫|-|-|-|-------|----⌫-|--⌫|
ou uiureett rouuoit cechemyn	-|----|-|-⌫------|-|-----|
plus seurque depre ndr elafuy tte	---|---|--|-|---⌫---⌫|-|---⌫--|
Enuironmynuytreuindrent ceulx	------|-----|---------|----|
qui auoient estémysdehorsetpouezpenser	--|------|----|--|-----|-|----|-----|
quilzn e stoyent poin t	-|--||-⌫------|----⌫|
allézloinge tra ppor te ̀rentq ueleroyestoi t	-----|----|-⌫|--⌫----⌫--⌫----|-⌫-|-|--|-----⌫|
logéàces feuzq ue auoient	----|-|--|---|-⌫-|------|
Incontinent ony enuoy adautr esetune he ure	----------|-||-----⌫||----⌫-|-|--|--⌫--|
ap rèsseremettoitchasc u nens on	--⌫---|-|--------|-----⌫-⌫|-|-⌫-|
estatdecombat tre	----|-|------⌫--|
Laplusparteurentmyeulx	-|-------|-----|-----|
enuyedefuyr	----|-|---|
Commeuin tleiour ceulxquonauoitmysdehors	----|---⌫|-|---|----|-|-|----|--|-----|
re ncontrèrentungchartie r	--⌫-----------|--|-------⌫|
quiestoità no usetauoitestépr insl e matin	--|-----|-|--⌫-|-|----|----|--⌫--|-⌫|----|
quilapportoitunecouc hedeui nduuillaige et	-|-|--------|--|----⌫-|-|--⌫|-|-------|-|
leurdistquetoutsenestoitallé	---|---|--|---||-|-----|----|
Ilzenuoyèrentdire cesnouu ellesàl	--|----------|---|--|----⌫----|-||
ostetenuoyèrent	--|-|----------|
iusqu eslà	-----⌫-|--|
Ilztrouuèrentcequil	--|----------|-|-|-|
disoit etler euindrentdiredo nt lacom p aignye	-----|-|-|-⌫--------|---|--⌫-|-|---⌫-⌫-----|
eutgrant ioy eetyauoit assez	--|----|---⌫|-||----|----|
degensquidisoientlors quil	-|---|--|-------|---|-|-|
failloitallerapr e ̀s quifaisoie ntbien maigrechèreune	-------|----|---⌫-⌫-|--|-------⌫-|---|-----|-----|--|
heur ede ua n t Iauoyeungcheualextrèmeme ntlas uieil	----⌫|--⌫--⌫-⌫||----|--|-----|----------⌫-|--|----|
Ilbe ut ungsceau plainde u in	-|--⌫-|--|----|----|-|-⌫-|
Para ucuncasd a ue nture il ymist	--|-⌫---|--||-⌫--⌫----|-||---|
laissa y acheue riamaisne lauoye	------⌫|------⌫|-----|-||----|
trouué sibon	------|-|--|
Quant ilfutgr anti ourtout m o nta	----|-|--|--⌫--|-⌫--|---|-⌫-⌫--|
àcheual etles	-|-----|-|--|
batai llesqu iestoyent escla rcies	-----⌫---|--⌫|-------|-----⌫----|
Toutesfoisilreuen oitb eaucoupdegensqui	---------|-|-----⌫--|-⌫------|-|---|--|
auoyent est e ́cachéz èsboys	------|---⌫-⌫|------|--|---|
Ledictseign eurde	-----|-----⌫--|-|
Charroloysfeit uenirungcordelie r ordon né	---------|---|----|--|--------⌫|-----⌫--|
deparluyàdireq u ilu enoitdel	-|--|--|-|---|-⌫|-|-⌫----|-||
B retonset q uece	-⌫-----|-|-⌫-|-|
iourilzdeuoye n testr e	---|--|------⌫-⌫|----⌫|
làq ui resconforta assez los t	--|-⌫-|----------|----||--⌫|
maischascunnele	---|------|-|-|
Tantostaprès e nuiron dix	------|-----|-⌫-----|--|
heur esdumati narriua leuic hancell ier	----⌫-|-|----⌫|-----|-|---⌫-------⌫--|
Bretaigne appellé	--------|-------|
R ouuill eet	-⌫------⌫|-|
Madréauecquesluy do ntay pa rlécy dessus	-----|-------|--|--⌫-|-|--⌫---|-|-----|
et ame n èrentdeux archiers	-|---⌫-⌫-----|---|-------|
de lagarde	-|-|----|
Br etaigneport anss e s hocqueton squi	--⌫------|----⌫--|-⌫-⌫|---------⌫|--|
resconfortatrèsf ort la	----------|----|-⌫--|-|
co mpaign yeet futenquiset	--⌫------⌫-|-|--|-----|-|
louéde safuittec ons ideran tlemurmure quiestoitc o nt re	----|-|-|-----|-⌫---⌫------⌫|-|------|--|-----|-⌫-⌫--⌫-|
luyetplusencoresde	--|-|---|------|-|
son retour	--|-----|
etleurfist cha scunbo nneche ̀re	-|---|---|---⌫---|--⌫--|---⌫--|
Toutce iourdemou raen coresmonsrde	---|-|---|-----⌫-|--⌫----|----|-|
Charroloys surlecham pfortioyeux estimantlagloiresienne	---------|--|-|----⌫|---|-----|-------|-|-----|-----|
qui depu isluyacoustébiencherc ar	--|----⌫-|--||------|---|---|-⌫-|
oncque s puisn eusa deconsei l	------⌫|---|-⌫|--|-|------⌫|
d hommemai s	|----|---⌫|
dusienpropre	-|---|-----|
Etestoit trèsinutillepo urla	-|-----|----|-------|--⌫-|-|
gu errepa raua n tceiou retn	--⌫---|--⌫----⌫-⌫|-|---⌫|-||
a ymoitnullechosequiyappartintmaisdep uis	-⌫----|----|----|--||--------|---|---⌫--|
changèrentsespensées car ilya	----------|--|-------|--|-|||
co ntinuéiusq uesàsamort	--⌫------|----⌫--|-|-|---|
Et pa rlàfut	-|--⌫|--|--|
finéesauie etsamaisondestru icteetsi	-----|-|--|-|-|-----|------⌫---|-|-|
