kicest secletrop	-|---|----|---|
ontlo cuera lsecl etropacli n	--|-|---|-⌫|----⌫|---|----⌫|
e tpeior u iemainnentqueiuiu nesarracin	-⌫|----|-⌫-|-------|--|---|-|-------|
ne siord nesu nt	-|-|--|-|--⌫-|
mieche neliub arb arin	--|---⌫----|-⌫---⌫---|
soffret deus	------|---|
uen ir a male fin	---⌫-||---|--|
m aluaisdefins estchosela plusmaleeurose	-⌫-----|-----|--|----|-|---|---|-----|
kionke spoustestreetlaplusperil hose	-|----⌫|----|----|-|-|---|-----⌫---|
qui dece nestsoniose	--|-|-||--|------|
et del aderr ain eorequisiestpourose	-|-|-⌫|----⌫---⌫|--|--|-|--|------|
la derrai n e oremainnetaio ie	-|------⌫-⌫|--|------||--⌫-|
etdel bien etdel	-|--|---|-|--|
malf a itl encomme ncement	--|-⌫-⌫-||-------⌫------|
ki bon s hom estceleoreet desiretet	-|---⌫|--|--|---|--|-|------|-|
maisr ien splusne re dotetqui pechie ressesen t	---|-⌫---⌫|---|-|--⌫----|--|------⌫--|-|---⌫|
la bonegentsoi	-|---|---|--|
hasten tdel monde	------⌫|--|----|
are lenquir	|--⌫------|
nefin e ntne	-|---⌫-⌫-|-|
loiornelanuitdeu seruir	-|--|-|-|---|--|-----|
bienuule nt	---|----⌫-|
granttormentet grant painnesoffr ir	----|------|-|----|-----|-----⌫-|
mai skedeuslorconsen teabonefi nuenir	---⌫|-|---|--|------⌫-||---|--⌫|----|
quar lid efinsfaitl an rmeenciela	---|-|-⌫----|---||--⌫--|-|---||
d eua le ir	-⌫-|-⌫--⌫-|
u en enferlafaitplonchier ett orment eir	|-|----|-|---|--------|-|-⌫------⌫--|
senzde unest	---|--⌫||--|
nule chosequit antf a cet	---|----|--|-⌫--|-⌫-⌫--|
nenenestriens e lmondec	-|--|--|----|-⌫|----||
um puisttantr edo te r	-|----|---|-⌫---⌫--⌫|
en ihesumise lur	-|----|---|--|
ui eetlurfiance	--⌫|-|--|-----|
et desagra zeperdre	-|-|-|---⌫-|-----|
et red otance	-|---⌫-----|
sep ar lur floibletetle sauient	-|-⌫-|--|---------|--⌫|-----|
mesch eance	-----⌫----|
aderr ain sles fait	|----⌫---⌫|--|---|
deu s uenir	---⌫|----|
arepen tance	|-----⌫----|
porce doitbienlihom nostres anior	--|-|---|---|-|--|-----|-⌫----|
kar sil est em	--||-|--|-|
llait mieperir	|---|--|----|
etbi e nseit	-|--⌫-⌫|---|
ke tostpuet l ommem es auenir	-|---|---||---|-⌫--⌫-----|
ate steitpo rlolait repentir	-|-⌫----|--⌫|-|---|-------|
deudenoiatsainz pier resma i silsen repentit	--|------|----|----⌫--|--⌫-⌫|-||-|-------|
deuauoitilameite t porli	--|----|-|----|-⌫|--|-|
maismut malde finatiudasquisepe ndit	---|--|--|--⌫----|----|--|-|--⌫---|
saue izporcoice fut carmalot deu seruit	----⌫-|--|--|-|--|--|--|-|--|-----|
beazsir e sancormeditespue t	---|---⌫-⌫|----|-|----|---⌫|
om fai reamendance	-|---⌫-|--------|
donpechiettantcom n at dun	|-|------|---||-||-||-|
altre repent ance	----|------⌫---|
dul ceamiefait i lce	---⌫-|---|---|-⌫|-|
sachie za fiance	------⌫||-----|
ki detoz nesacor de perduz	-|-|--|-||----⌫-|-----|
estsenzdota nce	--|---|----⌫--|
deus dist as	---|---|-|
pech eo rs del maluos consireiz	----⌫--⌫-|--|--|--|--------|
etde totuostre cuer	-|-|--|-----|---|
a moiuos returne iz	|--|--|-------⌫-|
mabele sueruostreanrmeseperdre	-|---|---|-----|----|-|-----|
ala p aroledeupur ement engardeiz	|-|-⌫----|--|---⌫----|--------|
q uantdeu sl ocuer	-⌫---|---⌫|-⌫|---|
nommat et il lotot i mi st	-----|-|-|-|--||--⌫-|
neuol tpas keliomen	-|---⌫|--|-|-|-|-|
en partlaissast	-|---|-------|
en part s it enist	-|---|||-⌫----|
maisilu oltk a s	---|-|-⌫--||||
amur fin ement reue nist	---|---⌫----|----⌫---|
etalam urde de une	-|||--⌫-|-|--⌫|-|
puet nuzreuen ir	---|--|-----⌫-|
tant qu il delamale oureneseu ult	---|-|-|-|-|---|---|-|-|-⌫--|
nesenre pent	-||-|--⌫---|
silnesenuul tpartir	|-|-||-|---⌫|-----|
et sil n es e nd epart ne pue t	-||-|-⌫||-⌫|-⌫----|-|---⌫|
ad eupl aisir	|-⌫-|--⌫----|
quimercitu ul tauoir	--|-----|-⌫--⌫|----|
etadeu returneir	-||--|--------|
senz ura ierepentancenesepuet acordeir	---|---⌫-|---------|-|-|---|-------|
ne liu ultse nz samur	-|-|-⌫--|--⌫-||---|
de us sagrazedon e ir	--⌫-|-|----|---⌫-⌫-|
etsamu r nati lmietan t	-||---⌫||-|-⌫|--|---⌫|
quil uu ltmalourer	-|-|--⌫-|--|----|
es enzlamur	|-⌫--||---|
dedeun e puet sagraceauoir	-|--|-⌫|---|-|----|----|
il lamurdeu na t bi e nlosach iez	-||---|--||-⌫|--⌫-⌫|-|----⌫--|
keilzbiensqui lonkes fa cettantkelmal	----|----|-|-⌫|----|--⌫--|---||-|--|
u olt mano ir	-⌫--|----⌫-|
al salueme ntdela nrmene	-|-------⌫-|-||-⌫---|-|
lipuetriensualoir	-|---|----|-----|
ysayasr ed ist laue iz	-----|-⌫--⌫--|----⌫-|
uou sso ieznet	---⌫|--⌫--|--|
quiest cequic efaitquit ot	--|--|-|--|-⌫|---|--|-⌫-|
l o maliu s met	-⌫|--|--⌫|--|
etrete nirnen	-|----⌫--||-|
u ultnegrantnepetitet	-⌫--|-|----|-|------|
e tpuisqu il l atlaissiétma isne	-⌫|-----|-||-|--------|--⌫-|-|
sen entrem e t	|-|------⌫-⌫|
quiurai s repe ntanz esttre st ot lop ech iet lait	--|----⌫|----⌫----|--|---⌫--⌫-|-|-⌫---⌫--|---|
maisquiala fo iz mal	---|--||-|--⌫-|--|
etalafoiz bi en	-||-|---|--⌫-|
n equidie z iaporce quil lagrascedeu	-⌫|------⌫|-|--|-|-|-|-|-----|--|
perduz est kenki lfacetsiltotlo	-----|--|---|-⌫|----||-|--|-|
dontlirespo nt	---|-|-----⌫-|
la damm eienosecontredire	-|----⌫|-||--|---------|
ce keuos auei zditma isiauoi oitdire	-|-|--|----⌫|--|--⌫-||---|--|---|
kenul bien	-|--|---|
nuns uetmet reen	--|-⌫--|---⌫-|-|
oblitnostresir e	----|-----|---⌫|
etl amaluaisege ntsoffrent po r	-|-⌫|-------|--⌫-|-------|--⌫|
deumarti re	--|-----⌫-|
kipordeu sofret	-|--|--|-----|
painequipor	----|--|--|
deusoitraualle	--|--|-------|
ki lespo ures	-|--|--⌫---|
aiuetqu ide son painl ortalle	----|--⌫|-|--|---|-⌫-|----|
kenuzbiens neper istcequidoie sen zfalle	-|--|----|-|---⌫--|-|------|---⌫|----|
bele suer distlisiresuosaueiz	---|---|---|-|----|--|----|
bienp arleit	---|-⌫-----|
car solun clascr i ture	--|-----⌫|-|---⌫-⌫---|
solonclauer i teit	-----|-|---⌫-⌫---|
neserontia nulbienpe rdut	-|-----|-|--|---|--⌫---|
en ce stsecl e u enl	-|--⌫-|----⌫||-||
autreser ontgueredoneit	----|---⌫--|----------|
kib ie n font etlomaln euulenttot laissier	-|-⌫--⌫|---|-|-|--|-⌫|-----|--|-------|
delurbiensuk esoit reciurontlorlowier	-|--|----||-⌫|---|--------|--|-----|
m aisalaioie deuneporon taprochier	-⌫--||-|---|--|-|-----⌫|--------|
sedelma lne soi	-|--|--⌫|-|--|
uu lente nlu ruie enlo ngier	--⌫---|-⌫|--⌫|--|----⌫----|
to zlesmazquil	--⌫|--|--|-|-|
poroient n efunt	-------|-⌫|---|
et pordeu s enre traientquel lowe renauron t	-|--|--||-|--⌫------|---|----⌫|-|-----⌫|
painne den ferma ins	-----||--⌫--|--⌫--|
m ains de malsofe ront	-⌫---|-|--|----⌫---|
maisnauront ia	---||-----|-|
repos neia	----|-|-|
t a nt cumliom mal faits est	-⌫-⌫-|--|-|-|--|---||--|
ildeu anemi s	-|--|-----⌫|
orip enseizu os mimessil nat lo	-||-⌫-----|-⌫-|----||-||-|-|
ser oitdon tdroitur ekedeus	---⌫--|---⌫|-------⌫|-|---|
fust sesamis	---|--|---|
son pechi et entraist enpar adis	--|-----⌫-|-------|-|---⌫---|
por leuosdimadamme quiuultsanrme	--|-|--|-|-|----|--|---||----|
d etozm azdoit	-⌫|--|-⌫-|---|
soncors et	--|---|-|
son corage	--|-----|
altrementnesoipu et enue rdeuacordeir	--------|-|--|--⌫-|----⌫|--|-------|
nepuets ilnesttozneze n	-|---||-||--|--|--|-⌫|
pa radisentrei r	--⌫----|------⌫|
ommepeche or	---|-----⌫-|
nedoit nul z de chac i e r	-|---|---⌫|--⌫----⌫-⌫-⌫|
lido it lobienquilfaitdesconsill ier	-|--⌫-|-|---|-|-|---|----------⌫--|
bien facene sancorn euultlomal	---|---|-||----|-⌫|---|-|--|
pri etdeuquil liuul het soncorage changier	---⌫-|--|-|-|-|---⌫--|--|-----|-------|
se limalzh ombienf ait nelendoit	-|-|---|-⌫-|---|-⌫--|-||-|---|
neporlobienquil	-|--|-|---|-|-|
faitdeltot assegureir	---|--|--|---------|
bienl iface th om sauoirkebon fa it	---|-⌫|----⌫|-⌫-|-----|-|--|--⌫-|
ma isse tozmaz n e	--⌫-|-|--|--|-⌫|
la itsanrmen e pu etsaluei r	--⌫-||----|-⌫|--⌫-|------⌫|
solo n c c equeuos	----⌫-⌫|-⌫|--|--|
ditesla d ameliresp o nt	----|-|-⌫--|-|----⌫-⌫-|
moisemblet ketot cil	--|------|-|--|--|
quialtruiau oiront	--|-----|--⌫--|--|
atortet a usu ressa lueir	|---|-||---⌫--|--⌫----|
sepromiersnon trendut	-|-------||--⌫|-----|
ceke mal c onquisont	-|-|--|-⌫-----|--|
dammedist li sainzomn i	----|---|-|----|-|||
a ueizpa smepris	-⌫---|--⌫|-----|
ce ke toloi tem bleit et ausuree s t	-|-|-----⌫|--⌫----|-||----|-⌫-⌫|
nelaitonkesnuluientr eir emparadis	-|---|----|----|----⌫--|-|------|
sepromiers	-|-------|
r endutcequ emal at	-⌫----|-|--⌫|--|-|
et s ilnela t	-||-|-||-⌫|
dontrendretant sedoitp luspe ner	---|-----|---|-|---|-⌫--|--⌫--|
plusdoitiuner uoilier et	---|---|----|------|-|
p lus souentoreir	-⌫--|-----|----|
maissilrendre lo puetne ne	---||-|-----|-|---|-|-|
luult restorer	|---|-------|
at otal tr uiauoirne	|-⌫-|--⌫--⌫-|----|-|
puete nciel monteir	---|-⌫|---|------|
s ilnelrent niertia	|-|-||---||---|-|
quite s k euosdiroieplus	-----⌫|-⌫|--|-----|---|
car detortne uultrienno stresires	--|-|---|-|---|---|--⌫---|----|
por at monteirenp aradis lassus	---⌫-|------|-|-⌫-----|-----|
s edeuantn esacorde secestfais ne	-⌫|-----|-⌫||-----|-|---|---|-|
cideuroienten tendrelisaniorlibaron	-|--------|--⌫-----|-|-----|-|----|
quirobent quiguerr oient	--|-----|--|-----⌫----|
qui nefu ntse malnon	--|-|--⌫-|-|--|--|
las comme ntrendront ilde ta nt for faitraison	--|-----⌫-|-------|-|-|--⌫-|---⌫---|-----|
unsdoniersdetortmaine	--|------|-|---|----|
aperditio n	|--------⌫|
p erilhosechose	-⌫-------|----|
estmal auoirgaangnier	--|--|----|--------|
cars olun cce	--|-⌫----⌫|-|
quilcreist	-|-|-----|
so loncce la tom	--⌫---|-||-⌫|-|
necilq uil	-|--|-⌫-||
puets apaine	---|||----|
n on laissier	-⌫-|-------|
b ienestfors deteillazquiseseit	-⌫--|--|---|-|---|--|--|-|---|
de slacie r	--⌫------⌫|
biensoidoit homgardeir	---|--|---|--|------|
derobeirdetoloir	-|-----|-|-----|
quar griefch o se	---|----|--⌫-⌫-|
es t delrendregriefsenfaitdepa rtir	--⌫|--|-----|----||-|---|----⌫---|
hom puet e nune fo sselegierement salhir	--|---|-⌫|--|--⌫--|----------|-----|
maisnenpuet quiest enzs a	---||-|---|--|--|--|||
painenon reissi r	----|--|------⌫|
teilzestcantilestri chesdeuenuz	----|--|---|-|--|--⌫---|------|
daltremaleauenture	|----|---|-------|
des orenauant	--|-|-|----|
uulfa it il tenirmesure	--|--⌫-|-|----|-----|
gra nzpechiezest	---⌫-|------|--|
naimaisd it eilguaaniecure	|-|---||--⌫--|------|---|
la issierceke fair esolo it	--⌫-----|-|-|----⌫|----⌫-|
maislusur eretient etcequ il	---||----⌫|------|-|-|-|-|
uent achate et reuent	---|-----|-|-----|
si en fa it son esploit	-|-|--⌫-|--|------|
et porqu ilplus netotbien salueirse	-|--|-|-|---|-|--|---|------|-|
maistantqu i latetus e lobien qui	---|---|-|-⌫|-|-|--⌫|-|---|--|
siensn estmie	----||--|--|
nequidiezqui ln efac et	-|------|-|-⌫|-⌫|---⌫-|
pec h ie t e t fe l onie	---⌫-⌫--⌫|-⌫|--⌫-⌫---|
ilenfaitsondelitci lcui c e fu t	-|-|---|--|----|--⌫|--|-⌫|--⌫|
trop est simples quiqu ide tkedeus	---|--|------|--|--⌫---⌫|-|---|
teilmaloblie	---|--|----|
ki del malsoiret rait	-|--|--|--|---⌫---|
bienfait iluoirement	---|---|-|--------|
e tdelbien	-⌫|--|---|
fai reat il bonenc onmencement	---⌫-|-|-|--|---⌫----------|
il atconquis atort	-|-|------||---|
setot nerent	-|--|-|---|
neli prome tet nulzde	-|-|-----⌫--|---|-|
s anrmesalueme nt	|----|-------⌫-|
il maine tson delitdec e	-|-----⌫|--|----|-|-⌫|
quilattoloit	-|-|-|-----|
li prourescuicefut	-|------|--|-|--|
mur tdef ainetdefroit	---⌫|-|-⌫--|-|-|----|
neliuultmercitfaire	-|-|---|-----|----|
nescumploreirlouoit	--|--|------|-|---|
puis sipriet ke deusm ercia bles lisoit	---|-|----|-|---|-⌫-----⌫---|-|---|
n elide sc ons eilmie a	-⌫|-|--⌫--⌫---⌫--|--||
deum e rcitproi er	--|-⌫-⌫---|----⌫-|
nealmonesdoneir n ealeir al	-|------|-----|-⌫|----|-|
mais s il deuantne	---||-|-----|-|
a ltruichosel ai ssier	-⌫----|----|-⌫--⌫----|
dontseratmutd ege ntdistlad a mme	---|----|--|-⌫|--⌫-|---|-|-⌫-⌫--|
cekelis anior	-|-|-|-⌫----|
to le ntcant	--⌫--⌫-|---|
serattot rendut	----|--|-----|
s i lnesuntdistli	|-⌫|-|---|---|-|
sir esa conf esse	---⌫-||----⌫---|
ensicumdit uosaine	---|--|--|--|-|-|
uerruntiaihesut	------|-|-----|
chierssiresdist ladamme cum	-----|----|---|-|----|--|
pl usuo so iparle r	--⌫-|--⌫|-⌫|-----⌫|
t antmoi deliteplus deuosaescolt eir	-⌫--|--|-----|---|-|--||------⌫--|
uosp laist ancoruulunpou	--|-⌫----|----|--|-|--|
par d emandeir puetomaprend r e	--|-⌫-------|---|-|------⌫-⌫|
eta mendeir	-|-⌫------|
silmoistuettozles mazke i	|-|--|----|--|--|--|-||
aifaizreg ehir	-|---|---⌫---|
etaco nfessiondemes pechiezuenir	-||--⌫-------|-|--|------|----|
centemepartnemoip ue tsouenir	------|---|-|--|-⌫--⌫|------|
c arcommen tporo i t hom	-⌫-|------⌫|----⌫-⌫|--|
totparcuerret enir	--|--|---|---⌫---|
dec ed ont moisouient fer aima penitance	-|-⌫|-⌫--|--|------|---⌫-|-|--------|
kedeu e nront	-|---⌫-⌫----|
lialtredontie nairamembra nce	-|----|---|-||-|--------⌫--|
bele suerdist lisir esaiez en	---|---|---|-|---⌫-|---|-|
neuosestu etauoi rde	-|--|----⌫-|----⌫|-|
cenule dotance	-|---|------|
kantcil quisoi	---|--|--|--|
r epe ntaconfessionu ient	-⌫---⌫-||---------|-⌫---|
de quantquilatelcuerseni ante n	-|------|-|-|-|---|-|--⌫--|-⌫|
il re geihistetdontlui ne	-|--⌫------|-|---|--|-|
l oclai metdeust otquite silalmal	-⌫|----⌫--|---|-⌫-|----||-|-|--|
sil auien t dist la d amekepuislen	|-|-----⌫|---|-|-⌫--|-|---||-|
re souieni e	--⌫-------⌫|
droi zes tfaitil kelors	----⌫|--⌫|---|-|-|---|
ac o nfessionuengnie	|-⌫-⌫-------|------|
ets oluncloconseildel p restre	-|-⌫----|-|------|--|-⌫-----|
s oimaintienie	-⌫-|---------|
ia neseratperdu zmaiscal	-|-|----|-----⌫|---||-|
mal nereuienie	--|-|-------|
bealz sireetseli	----|---|-|-|-|
prestresn e l	-------|-⌫||
seitbie nconsillier	---|---⌫|---------|
seit ladroitepenita ncechargier	---|-|-----|------⌫--|-------|
iratila unal tre	---|-||-|--⌫--|
quilo sacheadrecier	--|-|----|-------|
ki bon shomsoit qui	-|---⌫|--|---|--|
sachet l o i eret d es loier	-----|-⌫-⌫-⌫-|-|-⌫--⌫----|
ieuosoifaitli s ires	-|--|-|---|-|-⌫---|
sagement dema ndeir	-------|----⌫----|
ca rkideses	--⌫|-|-|--|
forfaizso iuultbiend eliureir	------|--⌫|---|---|-⌫-------|
qu ilpu ista pr eslamorts en z	-|-|--⌫--|-⌫--⌫-|-|---|-⌫--⌫|
tache a deualeir	----||--|----|
bi endoitaplussag ehome lauoie demandeir	--⌫-|---||---|---⌫|---|-|---|--------|
teilzestquis e ntremet de plaies a saneir	----|--|--||-⌫------|-|-----||-----|
quilnes eit	-|-|-|-⌫--|
guai resbienlamezinetrouer	----⌫--|---|-|-----|-----|
ettresq uil nepu e t l	-|-----⌫|-|-|--⌫-⌫||
ommede so nmalre l eueir	---|-|--⌫|--|--⌫-⌫----|
biendoitunaltrequerremais qu il lopuist	---|---|-|----|-----|---|-|-|-|----|
pordespitne pori renedoitil es chiweir	--|-----|-|--|-⌫-|-|---|-|--⌫------|
sonpas torquisanr m e atentre p rise agu ardeir	--|---⌫--|--||---⌫-⌫|-|-----⌫-⌫---||--⌫-----|
uoitq uillouulhet enlafosseieteir	---|-⌫|-|-|-----|-|-|----|-----|
kensemble luicha oir	|-------|--|---⌫--|
miezl ouientreturner	---|-⌫|----|-------|
tresqu il ataso nmie	-----|-|-||--⌫|--|
laplaie d emostreie	-|----|-⌫--------|
etbienuoi t kepar	-|---|---⌫|-|--|
luine puetestre saneie	--|-|---|----|-----|
paral truil i puet estredoneie	--|--⌫---|-⌫|---|----|-----|
parrai son neuait	--|---⌫--|-|---|
m iei ecuit cuice	-⌫-|-⌫|---|--|-|
teilz murtparenfert e qui	----|---|--|------⌫|--|
bingarirporo it	--|----|----⌫-|
qa rcil nelseitsane ir qui sanerlo deuroit	--⌫|--|-||---|----⌫-|--|----|-|------|
ets il cepuet	-||-|-|---|
enten dre ne n enquiert	-----⌫--|-||-|-----|
a ltreroit	-⌫---|---|
sensiestafoleiznestaff oleizpardroit	|---|--|------||--|---⌫----|--|----|
kidecepa uratseuoitqu erre	-|-|-|--⌫-|-|-|---|--⌫---|
unplussag e	-|---|---⌫|
quisache tdel me stieretquien	--|-----⌫|--|--⌫----|-|--|-|
ait lusage	--||----|
puis metet ensamainso nc orset son	---|----|-|-|---|--⌫|-⌫--|-|--|
k ilpui stparsonconseilr e coure i r sondamage	|-|---⌫-|--|--|------|-⌫-⌫-----⌫-⌫|--|-----|
diettotpuremen t dequantk ilat	---|--|-------⌫|-|-----|-|-|
nestpasur aisrepentanzse	|--|--|--⌫--|--------|-|
deq uantcumli commandeseuolentiers	-|-⌫----|-|-|-------|-|---------|
uolentiersferattotmais	---------|----|--|---|
kedolantcuerait	-|-----|---|--|
ki uultqu edeuslecl aimet	-|---|--⌫|---|-|--⌫----|
d etozs espechiz q uite	-⌫|--|-⌫-|-----|-⌫---|
pluschiere at penitance fortetgrant que petite	---|-----|-|--------|---|-|----|--|-----|
cefisentli	-|-----|-|
bon hommequi deuinren t hermi te	--|----|--|--------⌫|-----⌫-|
si cumtrueu et lis ant	-||-|-----⌫-|---⌫--|
dessain zmoinesd egypte	--|----⌫|-----||-----|
ki uraisrepentanz estonkesne	-|----|--------|--|----|-|
de k antko mli command emai su olentierslotroie	-|-⌫---|-⌫|-|-------⌫|---⌫|-⌫--------||-----|
be nseit k epenita nc elo descombre etdeloie	--⌫|---|-⌫|------⌫--⌫|-|--------|-|-----|
etapres son traua ilenparadis	-|----|--|-----⌫-|-|------|
uult purement enuerdeu a co rdeir	---|-------|----|--|-⌫--⌫----|
quantdeus uoldratlo corset la nrm e deu iseir	----|---|------|-|---|-||-⌫---⌫|---⌫----|
n ulcontred itpu ist dontmer cittroueir	-⌫-|-------⌫-|--⌫--|---|---⌫--|------|
bienlicouient	---|-|------|
celui lamaindroit epor te r	----|-|---|-----⌫|---⌫--⌫|
u oist lau	-⌫---|-||
fac etlorappresu reo ietlad eu paro le	---⌫-|--|-------⌫-|-⌫--|-|-⌫-|----⌫-|
de uanitet soi gar tdeiuiu	-|------|--|---⌫|-|---|
etdekarole	-|-|-----|
onkesnesentremeted ec hose	----|-||--------|-⌫|-⌫---|
quisoit fole	--|---|---|
kar cant l anrmes	--|---||----||
enu aitselene st	-|-⌫--||--||-⌫-|
sachiez ke	------|-|
paine aur at ma is sifortet s i dur e	----|---⌫-|--⌫-|-|---|-|-⌫|---⌫|
poroitdireneh om	-----|---|-|-⌫-|
