CO N STANTIN OPLE	--⌫-⌫-------⌫---|
alem aison	|-|-⌫----|
autauern iersipre ntil	-|------⌫--|-|---⌫-|-|
A ndrome si l enmaine	-⌫-----|-||-|----|
il ensenp alais	-|-|--|-⌫----|
Qu ant cheuint l endemainpar	--⌫--|--|---||-------|--|
matinsipr ist lih aus	----|-|--⌫--|-|-⌫--|
Andro mesi l	-----⌫-|-||
e nmaineilup a lai sdeuant l empereeur	-⌫|----|-||-⌫-⌫---⌫|-----||--------|
Kyrsaacsl euitsilidemanda	-------|-⌫|--|-|-|------|
Andromes pourcoi as	-------|---|--|-|
t usi faitemen ttraÿten seigneur lempereeur	-⌫|-|--------⌫|----|--|-------||--------|
Manuelet pourcoim or drisis t use	-----|-|---|--|-⌫--⌫-----|-⌫|-|
femmeetsen	----|-|--|
p ourco iastu si u ol e ntiers	-⌫--|--⌫|-|-|-|-⌫--⌫-⌫-----|
chia xqueilen	----⌫|--|-|-|
p esoit que tuestoiesem pereres	-⌫----|--|-|------|--⌫------|
etpourc oimeuoloies tu	-|---|-⌫-|-|------|-|
fai reprendre	---⌫-|------|
Andr omesl ire spondi	----⌫---|-⌫|--⌫-----|
Taiss iésuo usfistil que i eneuousende ngn eroie	-----⌫---|--⌫-|---|-|--|-⌫|-|---|-|--⌫---⌫----|
Quant liempereres	----|-|--------|
Kyrsacsoï qu ilnelen dengneroit respondre	------|--|-|-|-||-|---------|--------|
s ifistman dermoltd e chiausdeleuile	-⌫|---|---⌫--|---|-⌫|-----|-|-|---|
quiluenissentdeuantlui	-|-|--------|-----|--|
Quantilfurentdeuan tli uenu sileurd ist	----|-|-----|-----⌫|-|---|-|---|-⌫--|
li emper eres	-|-----⌫---|
Seigneurueschi	-------|-----|
Andr omequitanta faitde mauset	----⌫--|--|---||---|-|---|-|
auousetasautres	|---|-|-|-----|
Ie ne porroiemiecheme sanle faire iustichede	-|-|------|--|--|-|----|----|-------|-|
lui aleuo lontéd e	--||-|--⌫-----|-⌫|
uous t ousmaisie le	---|-⌫--|---|-|-|
uou sbailleafaire ent chouqueuous	---⌫|-----||----|--|---|--|---|
Adont sie n f ur ent childe le uilemolt	----|-|-⌫|-⌫--⌫--|---|-|-|---|---|
liésilepri sent	---|-|-|---⌫---|
tant q ueliund isentque o n l	---|-⌫-|-|-|-⌫----|--|-⌫||
au tre queonleboulist enu nec audiere pourplus	--⌫--|--|-|-|------|-|-⌫-|-⌫------|---|---|
uiu relongementetpenerliautre que	---⌫-|--------|-|----|-|----|--|
o nletrainas t t ant	-⌫|-|-------⌫|-⌫--|
n e se peu re nt acorderentr au s	-⌫|-|---⌫--⌫-|------|---|--⌫|
de quelmortnequeltormente ille peussentdestruir e	-|---|---|-|---|-------|-|-|-------|--------⌫|
tan t qu il y eutun	---⌫|-|-||--|-|
sa gehomm e quidis t	--⌫-|----⌫|--|---⌫|
Seigneu r seuousme uoliéscroir e i euousenseingneroie	-------⌫|-|---|-|------|-----⌫|-⌫|---|------------|
co mment nous n ous	--⌫----|---|-⌫--|
porrie mes trop bienueng ierde lui	------⌫--|---|---|----⌫--|-|--|
Ieai unca moe l	-|-|-|--⌫---⌫|
e nmai sonqui estle plusordebe stee tle	-⌫|---⌫--|--|--|-|---|---|--⌫--|-⌫|-|
plusfoireu s e et leplus lai d e	---|------⌫-⌫|-|-|---|---⌫-⌫|
Nousprenderon s	---|---------⌫|
Andr omes sile	----⌫---|-|-|
d espoulleronstre stoutnu sil eloieronsaudosd ucamoel	-⌫-----------|---⌫----|-|-|-⌫|-------|-|--|-⌫|-----|
siquesesui sag e sli iertdroitensu	-|--|--|--⌫---⌫-⌫|-|---|----|--||
cul sileme sr onsd	--|-|-|--⌫--⌫--||
un kiefdeleuiledusquesa	-|---|-|-|---|------||
Si sep orron tadonq uesbienuengi er totchil ettoutes	-|-|-⌫-----⌫|-----⌫--|---|-----⌫-|--|---|-|-----|
c heles aquiilamesfait	-⌫----||--|-||------|
ac orderenttout	--⌫-------|---|
chis eut ditsiprenentil	---|--|--|-|------|-|
Andr omesi l e loientil	----⌫--|-|-⌫|-----|-|
chil eut deuise ́	---|--|------⌫|
Sicommeil menoientcontreual leuile siuenoient chil	-|----|-|-------|--------|-|---|-|-------|---|
aq uiilauoit	|-⌫-|-|----|
me ffa itsi	--⌫---⌫-|-|
le d ebrocoientetdepicoie ntetferoient	-|-⌫---------|-|--------⌫-|-|-------|
liundecoutiau sliautredalesneslitiers	-|-|-|-------⌫|-|----||------|-|----|
d espees etdisoient	|-----|-|-------|
uous pe ndistesmenpereet	---|--⌫------|--|---|-|
si geustesame femmeafor che	-|------||-|----||---⌫--|
Etles femmes	-|--|-----|
qu i fillesilauoi t prisesa forchelesa c oient	--⌫|-----|-|----⌫|-----||-----|-|--⌫-⌫----|
par les gr enons	--|--|--⌫----|
etfi sen tlita n t	-|--⌫---⌫|-|--⌫-⌫|
delepureho nte quequant	-|-|---|--⌫--|--|----|
iluirrentalautr e kiefd e	-|------|||----⌫|---|-⌫|
leuile n auoit	-|---||----|
ilmie decharseu rleco rs d e	-|--|-|---|---⌫|-|--⌫-|-⌫|
puis prisentlesossi	---|------|--|-|-|
lesgeterenten u n elongaingne	--|-------|-|-⌫-⌫|---------|
En telema nier e	-|---|--⌫----⌫|
seuengierentildecheltraït eur	-|---------|-|-|---|------⌫--|
Kyrsaacsfue mpereres pourtraist onsuslesportausdes moustiers	-------|-|-⌫-------|---------|-|--|--|------|--|--------|
Kyrsaacauoites téemper eresparmirac leetcomment	------|----|--⌫--|-----⌫---|--|-----⌫-|-|------|
met oit le coroneu chiefdune	---⌫--|-|-----||----||--|
Dame dautre etco mm entliangle s c ou pale corde	---||----|-|--⌫--⌫--|-|-----⌫|-⌫--⌫-|-|----|
de larcdont	-||--|---|
Andromesleuautferirpourchouchedis oient	-------|-|---|----|---|---|--|---⌫----|
ques eslignagesauo it	--|-⌫-|-------|---⌫-|
Aprés silip rist moltgrans	-----|-|-|-⌫---|---|----|
talensdeue irsenfrerequi e n païsnieestoit	-----|-|--⌫-|--|----|--|-⌫|-------|-----|
enpriso n tant qu	-|-----⌫|---|-|
messag es siles enuoi a querresenfrere	------⌫-|-|--|-----⌫|-----|--|----|
Tant lequisentqueon leurfist	---|-|------|--|-|---|---|
entendre quil	-------|-|-|
estoite nprisonil	-----|-⌫|-----|-|
alerent chelepa rt	------|----|--⌫-|
Quantiluinrentlasiledemandere nta s	----|-|------|-|-|-|---------⌫-|-⌫|
Sarrasinset li	--------|-|-|
Sarras in auoientoï	------⌫-|------|--|
dir eque liuaslésestoitfrer es l	---⌫|--|-|------|-----|----⌫-||
empereeur d e	--------|-⌫|
Constantinoblesilen tinrent moltpluski e r	-------------|-||-|------|---|---|--⌫-⌫|
etdisen t qui ln	-|-----⌫|-|-⌫||
enr endero ientmiesansgrantauoi r ta ntqueli message	-|-⌫------⌫---|--|---|----|----⌫|--⌫-|--|-|------|
l eurdo nneren ttantdoret darg entcomme il	-⌫--|--⌫------⌫|---||-|-||---⌫--|----|-|
demanderent	----------|
Quantileurent ch e lui	----|-|-----|--⌫-⌫--|
racatés is en reuinren t	------|-⌫||-|--------⌫|
arr ie re e n	---⌫--⌫-|-⌫|
Coustanti noble	---------⌫----|
Quandli e mper eres	----|-|-⌫----⌫---|
Kyrsa acsuitsenfrere si enfumol tliés	-----⌫--|--|--|----|-|-|-|---⌫|----|
etmoltenfistgrantf este et	-|---|-|---|----|-⌫---|-|
chisrefuaussimolt li és dechouques esfre res	---|---|----|---|--⌫--|-|---|--|-⌫-|---⌫--|
fuempereres e tdechou qu ilau oit	-|--------|-⌫|-|---|-|-|--⌫--|
empirepar se for che	-----|--|-|---⌫--|
Chusuaslés	---|------|
auo it non	---⌫-|--|
Ne demorawairesaprésqueliempereres	-|-----|-----|-----|--|-|--------|
s esfrereslefistbailliudetoute se terre	-⌫-|-----|-|---|------|-|----|-|----|
etk eman deeur	-|-⌫----⌫----|
Adontsi senorgueillis id e ch ele baillie qu	----|-||----------|-⌫|-⌫|--⌫--|------|-|
il eutq uelesgensde	-|--|-⌫-|--|---|-|
toutl empirel erenom mo ienttropet r edoutoientpourchou	---||-----|-⌫|-----⌫--⌫---|---|-|-⌫---------|---|---|
q uiles toitfrer es lempereeure t	-⌫|-|--⌫---|----⌫-||--------|-⌫|
pour c houque li empereresl amoit tant	---|-⌫--|--|-|--------||----|---|
Apréssia uint	-----|-|-⌫---|
un io ur que l i empereresalacachi erensefo rest	-|--⌫-|--|-⌫|--------|--|-----⌫-|-|-|--⌫---|
sinefaitm aise l	-|-|---|-⌫--|-⌫|
Alexes sesf reres	-----|--|-⌫----|
siu ientil enl e fo restouliempereresestoit	-|-⌫---|-|-|-⌫|--⌫---|-|-|--------|-----|
si lepr ent	-|-|--⌫--|
ilpar traïson sil icreualesiex	-|--|-------|-|-⌫|----|--|--|
Apre ́squantil eutc hefaitsi le fist	----⌫-|----|-|--|-⌫-|---|-|-|---|
me treen pr ison q ue	--⌫--|-|--⌫---|-⌫-|
Quantil e ut chefa it	----|-|-⌫-|--|--⌫-|
reui ntarriereen	----⌫-|------|-|
Coustanti nob lesifistacro irequeliempereresses	---------⌫---⌫-|-|---|----⌫--|--|-|--------|--|
fre resestoitm ors	---⌫--|-----|-⌫--|
couro unerae mpere euraforche	-----⌫---||-⌫-----⌫--||-----|
Quantlimaistres aufil	----|-|-------|-|--|
lempe reeur	|----⌫----|
Ky rsac ui tqu elionc lesale nfan t eut	--⌫---|--⌫|--⌫|-|---⌫--|||-⌫----⌫|--|
tr aÿ sen	--⌫--|--|
pere et qu il s estoitfais empe rerespartrai ̈son	---|-|-|-||-----|---|----⌫----|--|----⌫---|
sinefait maiselsi p rentil	-|-|---|---|-|-|-⌫---|-|
lenfantsi le faitmeneren	|-----|-|-|---|----|-|
Alemain gnease	-------⌫--||-|
sereurquiestoitfemmel	-----|--|-----|----||
empereeurd	--------||
Alemain gnecaril	-------⌫--|--|-|
ne uoloitmi eque	-|-----|--⌫|--|
ses oncle sne	--|-----⌫|-|
lefesist destruir ee testoit	-|-----|--------⌫|-⌫|-----|
plus d roi s oir sque	---|-⌫---⌫|---⌫|--|
Alexe ssesonclesnestoit	-----⌫|--|-----||-----|
Orauésoi ̈c omment	-|----|--⌫|-⌫-----|
K yrsacuintauantet	-⌫----|---|----|-|
comment il	------|-|
fuempe reresetcommentsesfixalaen	-|----⌫----|-|------|--|--|--|-|
Alemaingne po ur q ui licroisié e tli	---------|--⌫-|-⌫-|-|-------|-⌫|-|
uenicie n enuoie re ntparlec onsel	-------⌫|------⌫--⌫-|--|-|-⌫----|
dumarch isde	-|-----⌫-|-|
Monferras l eur m aist resicommeuousaués	--------|-⌫--|-⌫----⌫-|-|----|---|----|
oïenl es toire	--|-||--⌫----|
deuantpour che q uileussentacoi sond	-----|---|--|-⌫|-|------|----⌫--||
Coustanti noble	---------⌫----|
Oruous dironsde chelenfante t des	-|---|-----|-|---|-----|-⌫|--|
croisiésetcommentlicr oisié	--------|-|------|-|--⌫-----|
enuoie ren tpourluietcomment ilalerent en	------⌫---⌫|---|--|-|------|-|------|-|
Coustantin o ble et	----------⌫-⌫--|-|
comme ntilleconquisent	-----⌫-|-|-|---------|
Quan tlimarchise utditasp ele rins	----⌫|-|------|-⌫-|--|-|-⌫---⌫---|
u eniciens quequi aroitchel enfant d ont	-⌫-------|--|--|----|---|-----|-⌫--|
nousauo n s pa r leipard e uantil a roitboine	---|---⌫-⌫|--⌫-⌫--|--|-⌫-⌫---|-|-⌫---|----|
acoiso n daler en	------⌫||---|-|
C oustantin obleet dause stoirersi f isentli	-⌫---------⌫---|-||--|-⌫------|-|-⌫----|-|
croisiéatire r	-------|-----⌫|
deuscheualiersmoltbienet mol tbelemen tsi les enuoierent	---|---------|---|---|-|---⌫|-------⌫|-|--|---------|
Alemaign ep ou rchuuasletq uilu eni st aauset	--------⌫|-⌫--⌫|--|-----|-⌫|-|-⌫---⌫-||--|-|
seli manderent quilli	-|-|--------|-|-|-|
aider oientse n	-----⌫----|--⌫|
droi ta conquerre	----⌫||--------|
Qua ntlimessage	---⌫-|-|------|
uinr ren ta lecourt lempere eurd	----⌫---⌫||-|----||------⌫--||
Alemai ngnelaouliuasle ́s estoitseli	------⌫---|-|-|-|-----⌫-|-----|-|-|
messagequeon leurauoitc arquiéa dir e	------|--|-|---|----|-⌫------||---⌫|
Quant l iuas léso ïcho u	----|-⌫|---⌫---|-⌫-|---⌫|
etentendile m an dementque li	-|------|-|-⌫--⌫-----|--|-|
hauthommec roisiéli	---|----|-⌫------|-|
auoientmand ésien fumolt	------|----⌫-|-|-|-|---|
lie ́s etmoltenf is tg rantfeste et	---⌫-|-|---|-|-⌫--⌫|-⌫---|----|-|
molt fistbiausanlantasmessag es	---|---|---|------|-|------⌫-|
qu ilsenco nseill eroit	-|-||-|--⌫------⌫----|
alempereursenseroug e	||-------|--|------⌫|
Quantli empereresl en tendisi respondiauuasl etque	----|-|--------||--⌫----|-|-------|-|----⌫-|--|
belecaancheliest oitauen u esi	---|------|-|---⌫--|----⌫-⌫|-|
li loa bien	-|--|---|
quily alast et seli	-|-||----|-|-|-|
dist qu ilnaroitiamaispointdesenhyr etage	---|-|-||----|-----|----|-|--|---⌫----|
sen parlaiuede	--|--||---|-|
Dieuet descrois ié snelau oit	---|-|--|-----⌫---⌫|-||--⌫--|
Liuaslésentendibienquel iempereresli donnoi tboin	-|------|------|---|--|-⌫|--------|-|------⌫|---|
conselsi satornaauplus	-----|-||-----|-|---|
belementqu	-------|-|
il peutsisen	-|---|-||-|
uintauecles messages	---|---|--|-------|
etdeuant chequeliua slésn eli message fusse nt	-|-----|--|--|-|--⌫----|-⌫|-|------|-----⌫-|
I adressis	-⌫----|-||
enfu liest oresale ́s en l isle	-|-|-|---⌫---|---⌫-|-||---|
Corf autpour chouquele	----⌫--|---|---|--|-|
Pask eestoit	----⌫|-----|
Maisquan t liestore s muta aler isif ist	---|----⌫|-|------⌫|--||---||-|-⌫--|
on la iierdeu s galiespour	-|--⌫---|---⌫|-----|---|
aten dre lesmessageset le uasle t	----⌫--|--|-------|-|-|-----⌫|
Etsei orn erent lipele ri nen	-|---⌫---⌫----|-|----⌫--⌫|-|
Corf auttantqu e	----⌫--|---|--⌫|
liuasléset li m essag euinrent	-|------|-|-|-⌫-----⌫|------|
Quantli uaslés	----|-|------|
etlimes sage	-|-|---⌫---|
Ia dre ssitrouuerent	--⌫---⌫|-|---------|
ch esdeusgaliesque on	--⌫-|---|-----|--|-|
leurauoi tlaiiessi semisenten	---|----⌫|-----|-|-|-----|-|
mersi senalerenttantquiluinrenta	--|-||-|------|---|-|-|------||
Cor fautlaouliestor esesto it	---⌫---|-|-|-|-----⌫-|----⌫-|
Quantli homme	----|-|----|
uirre n tqueli	-----⌫-⌫|--|-|
uasle ́suenoitsialerenttout encontre lui siles a luerent	-----⌫-|-----|-|------|---|-------|--|-|-|-⌫-⌫------|
e t selifisentmoltgrantfeste	-⌫|-|-|-----|---|----|----|
Quan t liu aslé suitque lihaut	----⌫|-|-⌫-----⌫|--|--|-|---|
h ommelouneroien ts iett ousli es tores	-⌫---||---------⌫|-⌫|-|-⌫--|-|--⌫----|
qui luequesestoitsifusi liésquenushons	--|------|-----|-|-|-|----|--|--|---|
Ado ntsi uintlimar ch isauantsi	---⌫-|-|---|-|---⌫--⌫-|----|-|
p ristle uasletsi lenmenaaueclui	-⌫---|-|-----|-||-|---|---|--|
Quantliuaslésfula	----|-|------|-|-|
adontsi sasanle re nttoutli	----|-||------⌫--⌫-|---|-|
hau t baron	---⌫|----|
etlid uxde	-|-|-⌫-|-|
u enicealetentele	-⌫----||-|----|-|
marchisetparlerentd unescosesetd	------|-|--------||---|----|-||
tan t q ue il lidemanderentque il f eroit pour	---⌫|-⌫-|-|-|----------|--|-|-⌫----|---|
au ssillefaisoi ent	--⌫||-|-|------⌫--|
empereeur etsillifaisoientcorone porter	--------|-||-|-|--------|-----|-----|
Coustantinobleetill eurresp ondiquilferoitqu anque il	-------------|-|-|-⌫--|----⌫---|-|-|-----|--⌫----|-|
uaurroient	---------|
Tantpar lerent	---|---⌫-----|
que ildi st quil do nro ital ost.cc.	--|-|--⌫-|-|-|--⌫---⌫-|||--|---|
milem arsetqu il t enr oitle	---|-⌫--|-|-|-|-⌫---⌫--|-|
nauie una n a sencoust etqui l	----|-|-⌫||--|----|-|-|-⌫|
i roito utremer auec	-⌫---|-⌫---|--|---|
au sa toutse n pooir e t quitenroit	--⌫||---|--⌫|----|-⌫|-||------|
touslesi oursdesau i e .x.m .h ommes	---|--|-⌫---|-|-|-⌫-⌫|----⌫|-⌫----|
aarmes enlete re	|----|-|-|--⌫-|
doutre mer	|----|--|
a sencou st etquil douroita touschi aus	|--|---⌫-|-|-|-|------||---|---⌫--|
de lost q ui se dep artir oi entde	-||--|-⌫-|-|---⌫-----⌫--⌫--|-|
Coustantinobl e aaleroutremer u iande dusque sa	-------------⌫||---|----|--|-⌫----|------⌫||
Ado ntfurenttresto utlibaronde lostma ndei et	---⌫-|-----|------⌫-|-|----|-||--|--⌫---|-|
uenicienet quantilfurent totas sanlé sise	-------|-|----|-|-----|--|--⌫-----|-|-|
uenice sip arlaaaus	-----|-|-⌫---||--|
Se igneurfistli dux or auonsnousr a isnauule	--⌫-----|---|-|--|-|----|---|-⌫-⌫-------|
acoisondaleren	------||---|-|
Co u stanti nob le seuousle	--⌫-⌫------⌫---⌫-|-|---|-|
loéscarnousauo ns	----|--|---|---⌫-|
le d roito ir	-|-⌫---|-⌫-|
Or yeut il auc un squine s	-||--|-|---⌫--⌫|--|-||
acordere n tmie	--------⌫-⌫|--|
Coustantinobleains di soie nt	-------------|---|--⌫----⌫-|
Baquefe ronsn ou sen	-|--|--⌫---|-⌫--⌫|-|
Coustanti noble	---------⌫----|
Nous auo ns nopele rinage	---|---⌫-|-|----⌫-----|
afaireet au si pourposeme nt daler e n	|----|-|--⌫-|----------⌫-||---|-⌫|
Bab yloineouen	---⌫-----|-|-|
Alexandr eetnon auies nenou sd oit	--------⌫|-|-|-⌫----|-|---⌫|-⌫--|
siuirqueunanetia	----|--|-|-|-|-|
estla moitiésdelanee	--|-|-------|-||---|
Etli autre	-|-|----|
disoient encontr e	-------|-------⌫|
Que feronsnou s en	--|-----|---⌫|-|
B ab ylo inen e en	-⌫--⌫---⌫--|-⌫|-|
Ali xa nd re quant	---⌫--⌫--⌫-|----|
nousn auonsuiande	---||----|-----|
neauoirpar	-|----|--|
coi nous ypui s sons	--|---||---⌫-⌫---|
Miex nousuient i lanch ois queno usy	---|---|----|-⌫|----⌫--|--|--⌫-||
aill on s qu e n ousconquesto ns uiandeet auoirpar	----⌫--⌫|--⌫|-⌫--|---------⌫-|-----|-|----|--|
raisnauleacoisonquenousy	--------|------|--|---||
aillo nspour	-----⌫-|---|
mori rd efain	----⌫|-⌫|---|
Adontsiporron sforf aireet	----|-|------⌫|----⌫---|-|
ilnousoffre auenirauec nous etatenir	-|---|----||----|---|---|-||----|
nona uie etnostreestoreencore	-|--⌫--|-|-----|-----|-----|
a sencoust	|--|----|
marchis de	------|-|
Monferrasym etoitplus pain e	--------||-⌫----|---|----⌫|
q ue nusquiyfust daleren	-⌫-|--|--||---||---|-|
Coustantino blepourchequ	-----------⌫--|---|--|-|
ilse uoloit uengier	-|-|-----|------|
du nmesfai t	|-⌫|------⌫|
queli emper eres	--|-|-----⌫---|
Coustantinobl equil	-------------⌫|--||
empirete noi t liauoit fait	-----|--⌫---⌫|-|----|---|
Or uouslaironsichi	-|---|------|---|
lest oresi uous dir onsle	|---⌫--|-|---|---⌫--|-|
mesf ait d ont	----⌫--|-⌫--|
limarchis haoit l empereu rde	-|------|----||-------⌫|-|
Co u st antinobl e	--⌫-⌫--⌫--------⌫|
Ilauintquelimarchis	-|----|--|-|------|
Caurras sesfreresfucro isié s et	------|--|-----|-|---⌫-----⌫|-|
mer etmenadeusg alies etsen	--|-|---|---|-⌫----|-||-|
Coustantinoble	-------------|
Cons tantinobles iparlaa lempereu ret li empereres	----⌫---------|-⌫|----|||-------⌫|-|-|--------|
le bienuieng na	-|---------⌫-|
e tl e salua	-⌫|-⌫|----|
enchupointuns h a ushons	-|--|----|--|-⌫-⌫-|---|
delech i té	-|-|--⌫-⌫--|
assi s lempere u ren	----⌫||------⌫-⌫|-|
Consta ntinoble si quel iemp ereres n	------⌫-------|-|--|-⌫|---⌫-----||
ennos oitissir	-||--⌫--|----|
marchisui tchousi demand acom m e nt chestoit qu e	------|--⌫|---|-|------⌫|---⌫-⌫-⌫-|-|-----|--⌫|
chillauoit si faitement assisne ne	---||----|-|--------|----|-|-|
