#MET A#T e xt URI	----⌫-|-⌫-⌫--⌫--|
#M ETA #DEAFhtt p//ww w.d e a f-page.d e/bibl /b ib99m.php# Meraugis F	--⌫---⌫|---|---⌫-----⌫---⌫-⌫-⌫--------⌫------⌫--⌫----------⌫--------⌫|
#META#ARLIMAhttps// www.arl ima.net/qt/raoul_de_houd enc .h tmll#mer	-----|-----|-------⌫-------⌫------------------------⌫---⌫--⌫-------|
#META#Auth orRaoul	-----|----⌫-|----|
de Houdenc	-|------|
lluec setintp or esbahi	----|-|---|-⌫-|-----|
Laquis quantiluoittantch emin	-----|----|-|---|---|--⌫---|
Et dit Sireceestla	-|--|---|-|--|-|
Iene uossai auantmene r	-|-|--|--|----|----⌫|
saiass ener	--|---⌫---|
cheminno snostend ron	-----|--⌫|--|----⌫--|
QueMeraugis quenosqueron	--|-------|--|--|-----|
Medistsetrouerleuousiss e	-|---|-|-----|-|-------⌫|
Que la destr e uoiet enisse	--|-|-----⌫|---|-⌫-----|
Sanzdesuoiieri usqua m ar di.	---|--------|-⌫---||-⌫--⌫--|
Liiorzest passe zet uez	-|---|--|-----⌫|-|--|
.IIII. uoies. Ienensaiplus	-----|-----|-||-|--|---|
Mesto rnez ou aual	--|--⌫---|-|---|
estroiteouceleg ra nt	-------|-|---|-⌫--⌫-|
uosirez auant	--|---|----|
IiraiaprésLors sentorna	|---|-----|---||-|----|
LOutredotez	|---------|
quiregarda	--|------|
Et distLaquis estil eins i	-|---|-----|--|-|----⌫|
Quetune sez auantdeci	--|-|-|--|----|-|-|
DeM erau gi sneu ent ne	-|-⌫----⌫--⌫|-|-⌫--|-|
O ïl.- Laquiss	-⌫---||-----||
Deme spee i auroie droit.	-||-⌫---||-----|-----|
Mesportant leles	--|--|---|-|--|
Queie uueil	--|-|----|
que Mera ugisuoie	--|----⌫---|---|
Sa honte.O r tenuaceleuoi e	-|-----|-⌫||-|-|---|---⌫|
Einsim eplest. S eztu porquoi	----|-⌫|-----|-⌫-|-|--|---|
trueuesainzde	------|---|-|
Diqueielqu ier etsi l i c onte	-|--|--|--⌫--|-|-|-⌫|-⌫---|
Quensondespit tai fetlahonte	-|-|--|-----||-|--|-|----|
honi retnepo rqua nt	----⌫|-|----⌫----⌫-|
A ude partir	-⌫|--⌫-----|
m ediitant	-⌫|-|----|
folio11 2c	-------⌫-|
Quel escu port eM eraugis	---|---|----⌫|-⌫------|
es cu ento z païs	--⌫-|-|--⌫|----|
Leuueilconoist reseie l tru is.	-|----|-------⌫-|-|--⌫|---⌫--|
S irefetLaquisbienuospuis	-⌫--|--|-----|---|--|---|
deuiser.Lors lidit	-------|---|-|--|
Del escuselonc cequil uit	-||---|-----|-|-|-|--|
ertfez.Atantsen	--|---||---||-|
Cha scu nssenpa rt.Einsi lefont	---⌫---⌫-||-|--⌫--|----|-|---|
n es entresont	-⌫||--------|
A Deu. TantaLaquis	|---|---||-----|
Qu ea u ma ti npresdune	--⌫|-⌫|--⌫--⌫|---||--|
Deuant lesplains	-----|--|-----|
d elaBacloche	-⌫|-|-------|
A M eraug isaconseü.	|-⌫-----⌫-|--------|
Lidoine l a ape rce ü	------|||---⌫---⌫-|
Auantselmostre aMeraugis.	----|--|-----||--------|
Ci lqui setorneuersLaquis	--⌫|--|-|----|---|-----|
Lesgardee tchoisis tpardeuant	|------|-⌫|-------⌫|--|-----|
Qu iluetdunoeil lautreplorant.	-|-|--||-|---||----|-------|
Mout lenpesapar ue ri té	---||-|---|--|--⌫--⌫--|
Bien sot qu ot fe t lOutredoté	---|--|-|-|--⌫||---------|
Encontreui ntsel salua .	-------|--⌫-|--|-----⌫|
Totesuoi esli demanda	----|---⌫-|-|------|
Questce Laqui sQ uit a c e	-|--|-|-----⌫|-⌫-|||-⌫|
E tcillir esp ont en treset	-⌫|--|-|-⌫---⌫--|--⌫-----|
Sireuosde uosmepla in g	---|--|-|--|-|---⌫--⌫|
Queporuosma	--|--|--|||
uosmenuo i aste smaugrémien	--||----⌫-⌫----⌫|------|---|
dontiesauoiebien	---|-|-----|---|
Qu eia entiers	--⌫|-|------|
nen reuendroie .	|-|----------⌫|
Ore st einsi	-|-⌫-|----|
queieuo udro ie	--|-|--⌫----⌫-|
Moriro u erragiermon	----|-⌫|-------|--|
OraMeraugis honteet dueil	-||-------|----|-|----|
uoire si g rantquei lnes et	----|-|-⌫---|--|-⌫|-|-⌫-|
Quedire ai n zsemauditethet	--|---|--⌫-⌫|-|-----|-|--|
EtditLaquisbie nsa ietu oi	-|--|-----|---⌫|--⌫|-|-⌫-|
Que tues ma ubaillizpormoi.	--|-|-|--⌫-------|--|---|
Ce tai iefe t	-||-|-|--⌫|
quet en diro ie	--||-|----⌫-|
Porcequelah onteenestmoie	--|-|--|-|-⌫---|-|--|---|
Sez tuqueprom etr eteuueil	--|-|--|----⌫---⌫|-|----|
Ienete puisrendretonoeil	-|-|-|---|-----|--|---|
Neïs p ortoi d oner le mien.	----|-⌫-|--|-⌫---|-|----|
sezouilest	--|-|-|--|
imaine.Ie te	|-----|-|-|
Qu e seiel	--⌫|-|--|
truistotmaintenant	----|--|---------|
Terendra i-	-|------⌫||
ouilmocirra -	-|-||-----||
dontil le t e creua .	---|-|-|-⌫|-----⌫|
Ha dit Laquisen	-|--|-----|-|
sosp irant	----⌫----|
Seie iames	-|-|-|--|
uiuoi etant	-----⌫|---|
Queie ueïssecors	--|-|------|---|
uos.II . e nsembl een	--|---⌫|-⌫------⌫|-|
.I.champ f ors	--|----|-⌫--|
Combatreale s peed	-------|||-⌫-⌫--||
Tant que fust astestestr enc h ie r	---|--|---|-|-----|--⌫---⌫-⌫--⌫|
Onques de ri ens silieznef ui	-----|-|--⌫--|-|---|-|-⌫-|
Carie heuoset s ihe lui .	--|-|-|--|-|-⌫|-|---⌫|
Mescen iertia	--|-||---|-|
cari elles s ai	--|-⌫-|---⌫-⌫-|
Hui a.III. iorzmesie	--||----|---|--|-|
Ouilalanequildeui nt.	-|-|--|-|-|-|----⌫--|
lauo i equ e iltint	-|--⌫-⌫|--⌫|-|---|
Neuintil pasenc es te terre.	-|---|-|--|-|-⌫--⌫-|-----|
.C.dëable	--|------|
lepuissen tquerre	-|-------⌫|-----|
plus al eraprés	---|--⌫-|-----|
Ainç oi s m enuoisaLampag rés	-----⌫--⌫||-|---||------⌫---|
Porseiornermalad essu i.	--|-------|-----⌫-|--⌫-|
DitMerau gisOnq u esnefui	--|-----⌫--|---⌫-⌫-|-|--|
Plusdolanzqueie su i	---|-----|--|-|--⌫|
mesne re torn erai	--|-|--⌫----⌫---|
Enmon païsainçoistaur a i	-|--|----|-------||---⌫-⌫|
DelOutre doté	-||-----⌫----|
siu engié	-|-⌫-----|
Qu il enaura	-|-|-|---|
lepoingtrenchié.	-|----|---------|
plusLaquissen uet	---|-----||-|--|
D olanzdou grant duei lqueilfet	-⌫----|--|----|----⌫|--|-|--|
Plore Li doine tendr e me nt.	----|--⌫----|-----⌫-⌫--⌫--|
Cuich aut-P lorer n i uau t	--|--⌫--||-⌫----|||---⌫|
Meraugis oirre quiuet	-------|----|--|--|
Lesplumeoren mainteterre	|--------|-|-----|----|
Ladem andétantqu au matin	||---⌫----|---|-|-|----|
Iostelam e r presdun	----|-|-⌫-⌫|---||-|
uit.I.r ochemout	--|--|-⌫---|---|
grifaigne .	---------⌫|
L arocheert loing enlamo ntaigne	-⌫|----|--|----|-|-|--⌫------|
Mouthauteto ted une pierre	---|----|--⌫-||--|-----|
En tozt e nsuerz	-|--|-⌫-⌫-|---|
qu eleestoitd	-|--|-----||
Borde e en to ralareo nde.	-----⌫|--⌫--⌫||-|---⌫---|
Desuscelerochere on d e	----|---|----|--⌫--⌫-⌫|
Q ui ert l a	-⌫-|--|-⌫|
p lus hau tedou	-⌫--|---⌫-|--|
uitMeraug islasusamont	--|------⌫-|----|----|
Bieniusqu a.XII.	---|----||----|
da moiseles.	--⌫--------|
Iluecsesiee ntles puceles	----|-|----⌫-|--|------|
En .I. p raielsoz	-|--|-⌫----|--|
.I.lorier.	--|------|
Ent oztensse ruentdepledier.-	-|-⌫-|---|--⌫----|-|--------|
De quoiDece	-|---|-|-|
qui a es té-	--||--⌫---|
Nonpa sianensera parlé	--|--⌫|-||-|---|-----|
Par elesneia	--|---|-|-|
Ainz i tienent tozte nslorpl ez	---||------|--|--⌫-|--|--⌫-|
fo lio113a	--⌫------|
D ecequiestaaueni r.	-⌫|-|--|--||-----⌫-|
Et cilquipensa dou uenir	-|--|--|----|--|----|
Est acoruzplusque le pas	--|-----|---|--|-|--|
Desozlarocheeneslep as	----|-|----|-------⌫-|
Alaentor mesiln	--|----|--|-||
Par oum onte rqu	--|-|-⌫----⌫|-|
ilni auoit	-|||----|
Huisne fenestre n edegr é.	---|-|-------|-⌫|----⌫--|
Deuslafistde gr é.	---|-|---|-|--⌫--|
Mout es to ithau te	---|--⌫--⌫-|---⌫-|
et de beau	-|-|---|
Et Meraugisa laentor	-|-------|-⌫-|----|
Troistors ou plus	----|---|-|---|
et lorscria	-|---|---|
D amesparou	-⌫---|--|-|
Unedesdamesr es po ntlués	--|--|----|-⌫--⌫--⌫-|----|
Beaussireil ni aa	----|---|-|||||
uost reoés	----⌫-|---|
Par oumonter mesdites nos	--|-|-----|--|----|--|
Queuosu olez.-I euueil auos	--|--|-⌫----||-⌫|----||--|
Parler.I.poi . -Ditesnos	-----|--|---⌫||----|--|
Queuos uolez.-Ce n	--|--|-----||-||
auintonq ues	----|---⌫--|
Que i edeci	--|-⌫|-|-|
f e t Meraugis	-⌫-⌫|-------|
D i eoia nz	-⌫-⌫|---⌫-|
t ozqueiai	-⌫-|--||-|
Mesfetes moilasusmonter.	--|----|--|----|------|
Celec ui anuieapa r ler	---|-⌫-|----||--⌫-⌫--|
Seuetse oirselletdebatre.	-|--|--⌫--|--|--|-------|
Et cilc ri a .III. foizou.IIII.	-|--|-⌫--⌫|----|---|-|-----|
Ainçois q uenule	-------|-⌫-|---|
li uou sis t	-|---⌫---⌫|
Respondret ant quuneau tre	--------|-⌫--|-|--|--⌫--|
. II. foizou	-⌫--|---|-|
.III.aucheualier	----|-|--------|
D iluec uo s couientc on sei lli er	|----|--⌫|------|-⌫--⌫---⌫---⌫-|
e nhautne montenu s .	-⌫|---|-|----|--⌫-⌫|
Et Merau gis qu in epuet	-|-----⌫--|--⌫|-⌫|---|
Prendre lic rieDitesmo i	------|-|-⌫--|----|--⌫|
De Ga uuainleneueuleroi	-|--⌫----|-|----|-|--|
Sauezenuosn ulesno ueles	----|-|--|-⌫---|--⌫----|
Lors dit la damedesp uceles	---|--|-|---|--|-⌫-----|
D iuacheualiersanuieus	-⌫--|---------|------|
en se tucroir e meueus	-|-|-|-----⌫|-|---|
L auoie adestreco ntremont.	-⌫|---||-----|--⌫--------|
O utrecestbois aupiédoumont	-⌫---|---|---|-|---|--|---|
Troue rasia	-----⌫--|-|
unechapele	--|------|
Et unecroiz onques plus	-|--|----|-----|---|
Nefu. Q uantala croizuend ras	-|--|-⌫---||-|----|----⌫--|
A lac r oizteconseilleras.	|-|-⌫-⌫--|-|------------|
Et cilrespontetditi t ant	-|--|------|-|--|-⌫-⌫--|
Quantuo sdecequeie dema n t	----|--⌫|-|-|--|-|----⌫-⌫|
Nouelesdites nem auez	------|----|-||---|
O rme d ite sse uossauez	-⌫|-|-⌫---⌫|-|--|----|
fo lio 113b	--⌫---⌫---|
P aroui i r aiplusdroitch emin	-⌫-|-||-⌫-⌫-|---|----|--⌫---|
esplume or Merl in.	-------⌫-|----⌫--|
Iae norraip arlerce	-|-⌫|----|-⌫----|-|
C ele respontEsg ard emoi	-⌫--|------|---⌫---⌫|--|
lesplumeoriisui.	|--------|||---|
Assez p orrasm u ser me shui	----|-⌫----|-⌫-⌫--|--⌫|--|
Queia plus	--|-|---|
t en diron	|-|----|
Nece neq uoine	-|-|-|-⌫--|-|
Etc ilquin e seioëmie	-|-⌫-|--|-⌫|-|---|--|
Lie uela t e stesi lor	---⌫-|-|-⌫-⌫--|-|--|
Come nt puc elee stc e	----⌫-|---⌫--|-⌫-|-⌫|
L i nainsme	-⌫|----|-|
distpres a	---|---||
S ei a mest r ouer ledeuoie	-⌫|-⌫|--|-⌫-⌫---|-|-----|
Nuliorquepa rl erenorroie	--|--|--|--⌫--⌫-|-|-----|
cestesplume or	---|-------⌫-|
Siimus erai	-||---⌫---|
Cemestauis parçadefors.	-||--|---|--|--|------|
Par sain tDenis esemescors	--|----⌫|-----⌫|-|--|---|
Peü stparforcealerl as us	----⌫-|--|----|---|-⌫--⌫-|
Iecui tq ue	-|---⌫|-⌫-|
seüss eplus.	------⌫|----|
Celere spon t comesorfete	---|--⌫----⌫|---|------|
B ienfustel e	-⌫--|---|--⌫|
sihaute fete	-|----|---|
Laroc he q uantuosnipoe z	-|---⌫-|-⌫---|--|||---⌫|
Monterpar force ori iu pez	-----|--|----|-||--⌫--|
m anuit.Lor ss est	|-----|---⌫||--|
Mera ugis asauoieprise	----⌫---||-|---|----|
S icorrociez	-⌫|--------|
com iles toit	--|-|--⌫---|
Etcheuau chetantqueiluoit	-|------⌫--|---|--|-|---|
La chapele e tla croiz deuant	-|------|-⌫|-|----|-----|
Me son ques riensnee u iuant	--⌫|--⌫---|----|--|-⌫----|
Neui tento rl acro izdemarb r e.	-|--⌫|----⌫|-⌫|---⌫-|-|----⌫-⌫-|
Elplanistre	-|--------|
soz. I.haut arbre	--|-⌫-|---|----|
Desc enten lachapeleentra	----⌫--|-|-|------|----|
Partotc erche mesnitroua	--|--|-⌫----|--|||----|
Cr eature l ors sen reuient	--⌫-----|-⌫--||-|------|
EtditOr sa i	-|--|-|--⌫|
Cele quici mafet uenir.	---|--|-|||--|-----|
HeDeusque por rai	-|---|--|---⌫--|
lacr oi zet	-|--⌫--⌫|-|
qu efe rai	--⌫|--⌫--|
Quim econseillera -Nesai .	--|-⌫|----------||-|---⌫|
Eins isen uetci l dem entant.	----⌫||-|--|--⌫|---⌫------|
Ets ami equi fudeuant	-||---⌫|--|-|-----|
Lacroizesgarde contremont.	-|----|------|----------|
En. I. braz	-|-⌫-|---|
Aunesletresdorueües.	|---|-----||-|------|
Ap r ésquan t elleso tleu ̈ es	--⌫-⌫--|----⌫|-|--|-⌫|---⌫-⌫-|
folio113 c	--------⌫|
S esf roie etdi t ahaute	|---⌫---|-|--⌫||----|
Sireen ces t	---|-|---⌫|
brazde cele croiz	---|-|---|----|
Aunesl etres dor uermeilles	|---|-⌫----||-|---------|
Mes les l etresdïentmerueilles.	--|--|-⌫----|-----|----------|
E t cilquib ie n	-⌫|--|--|-⌫--⌫|
lir esa u oit	---⌫|--⌫-⌫--|
Rega rdaen la croizet	----⌫--|-|-|----|-|
Leslet res qui	--|---⌫--|--|
dïent ita nt	-----|---⌫-|
Cheualierst uquiuasquerant	---------|-⌫|--|--|------|
Con s eilsetrouer le	---⌫-⌫--|-|-----|-|
.I.gi eutepart.	--|--⌫-|-|----|
uezci.III.uoies	--|-|----|----|
Ceste pre miereuoie	----|---⌫----|---|
Anonlauoie sanzmerci	|--|-|---|---|----|
Et bien sachessetuiuas	-|---|-----|-|-||--|
Queia m erci	--|-|-⌫---|
netroueras.	-|--------|
Etsetuueusmerciauoir	-|-|-|---|----|----|
Derienitant sache sde uoir	-|---|----|-----⌫|-|---|
noienzdouretorner.	-----|--|--------|
Porc esetu ueus latorner	--|-⌫|-|-|---|-|-----|
m esueusreperi er	-⌫-|---|------⌫-|
Citecouient mercil essier.-	-|-|------|----|-⌫-------|
s econdecomanon-	-⌫-----|--||---|
Cestla uoieco ntre re son.-	|--|-|---|--⌫---|--⌫----|
P orquoi-Cestlegier ap rouer	-⌫-|---|||--|-----||-⌫----|
Contre reson tes tuetourer	-----|----||--⌫---|----|
Partotsetu uasceleu oie .	--|--|-|-|--|---|-⌫---⌫|
Ianusqu icele	-|--|--⌫|---|
part sauoie	---||----|
Ne trouera en	-|------|-|
Homenequi resonli fac e.	---|-|--|----|-|---⌫-|
Etl atierce quitorne	-|-⌫|-----|--|----|
Est sanzn onetbien	--|---|-⌫-|-|---|
ledoit es tre .-	-|---|--⌫---⌫-|
Por quoisanznon	--|---|---|--|
- Ienensaip lus	|-||-|--|-⌫--|
Forstantquon ques nenreuintnu s	---|---|-|--⌫---||-|-----|--⌫|
Parciquil as e uous isttrere.	--|-|--|-⌫|-⌫|----⌫--|-----|
E tporceque	-⌫|--|-|--|
nus nen repere	--||-|-----|
sau oirou iluont	---⌫--|-|-|---|
N equil deuienentne s	-⌫|-|-|--------|-||
Reperié pa rail lors ounon.	-------|--⌫|---⌫---|-|---|
est lauoiesanznon.	--|-|---|---|---|
Orpues choisi re tsi	-|---|------⌫|-⌫|-|
L a queldes.II I. quetuuoudr as.	-⌫|---|--|---⌫-|--|-|-----⌫--|
Aprés iceditMera ug is	-----|--|--|----⌫--⌫-|
Deces t c onseilq ueiaiapris	-|---⌫|-⌫-----|-⌫-||-|----|
Nemesa i ie mieuzcons eil lier	-|-|--⌫|-|----|----⌫---⌫---|
pl us merueil lier	--⌫-|-------⌫---|
oiquedautre c hose.	-|--||----|-⌫----|
Q u en d i roie	-⌫|-|-⌫-⌫---|
Alapa rclos e	|-|--⌫-----⌫|
Choisir mestuet cecouie nt mon.	------||-----|-|-----⌫-|---|
Damefet ilqu ellaferon -	---|--|-|--⌫-|-|----||
- Coment Sinesauez -	|-----|-|-|----||
ele mesalez	--|--|---|
soit ie uoss i urai.	---|-|--|-⌫-⌫----|
Illi respontDame iirai	-|-|------|---||---|
Cele sanz no n einsimeplest	---|---|--⌫|----|-|----|
Encez .II. a utr esme despl es t	-|--|---|-⌫---⌫-|-|-----⌫--⌫|
Contreres one t sanz merci.	-----|---⌫-|-⌫|---|-----|
aprenta m ouoird ici	-----||-⌫----||--|
Quec elepa rtn	--|-⌫--|--⌫-||
a poin td ebie n.	|----⌫|-⌫|---⌫-|
Mescel eautre neme	--|---⌫|----|-|-|
bone uoieounon	---|---|-|--|
Enco ntreceme ditreson	----⌫---|-|-|--|----|
aille plusseüre me nt	----|---|------⌫--⌫-|
Iene saiouqu em alemen t	-|-|--|-|--⌫|-⌫------⌫|
Suiiedoutot	--|-|--|--|
asseürez.	---------|
Alonfe t c i l fetcele Alez	---|--⌫|-⌫-⌫|--|---|---|
Lor s n iaplusatants enuont	---⌫||||---||---||-|---|
Lauoie sanz	-|---|---|
non et tantont	--|-|---|--|
Ch eu auchié quilont trespasse e	--⌫--⌫------|-|-|--|---------⌫|
L aforest io steu ne ramee	-⌫|-----|--⌫--|-⌫-|----|
S en is sirentfo rs enlaplaigne .	|-|--⌫-----|--⌫-|-|-|-------⌫|
Auantdesoz	----|----|
u nemon taigne	-⌫-|---⌫-----|
Ont lacité	--|-|----|
sanz n onueüe	---|-⌫-|----|
Qu i pu isfulacitéperd ue	--⌫|--⌫-|-|-|----|----⌫-|
Aes son oescar	|-|--|--|--|
illaqu i st	-|-|--⌫-⌫-|
A p rés etengr antfess enmist	-⌫-⌫---|-|-|--⌫--|--||-|---|
D etro uerla nel	-⌫|---⌫--|-|--|
tr ouap as.	--⌫--|-⌫--|
Ei nsili cheualiersle	--⌫--|-|---------|-|
uet cheuauchant uers la cité.	--|----------|---|-|-----|
O nquesnu le de sab e auté	-⌫----|--⌫-|-|-|-⌫-⌫----|
Ne uittrop ert bele adeuise.	-|--|---|--|---||------|
Bienestoitporl a merassise	---|-----|--|-⌫|--|-----|
De uant li	--⌫---|-|
bat oitgra nt nauire	---⌫--|---⌫-|-----|
Beauh aureia	---|-⌫---|||
n i otquedire.	||-|--|----|
Enfindegrant richeceestoit.	----|-|----|------|------|
Einsi licheualier s uenoit	----|-|---------⌫|-----|
Quiencontre.II.da moiseles	--|-------|---|--⌫-------|
Un nai n d eua nt.Sele s son tbeles	-|---⌫|-⌫---⌫--||---⌫|---⌫|----|
Ce nefet pa s	-|-|--|--⌫|
ademander.	|--------|
Deuantfont a lornainpo rter	-----|---||--|---|--⌫---|
.I.fuiretet.IIII.roi seus.	--|-----|-|-----|---⌫----|
Licheuali ers	-|-------⌫--|
Puceles sesa s aluees.	------|--||-⌫------|
uosauezlesbornespa ss ees	--|---|--|-----|--⌫--⌫--|
folio 114a	-----⌫---|
Fontelessi	---|---|-|
Forsenalant dïent mar	---|-|----|-----|--|
Sihaut quebienles e nten di .	-|---|--|---|--|-⌫----⌫--⌫|
Lich euali ersplusn aten di	-|--⌫-----⌫--|---||----⌫-|
Ai nçoiss en uet grant aleüre	--⌫-----||-|--|----|------|
Tantquungarço n parauenture	---|-|-|------⌫|--|-------|
Aen contrésilesalue.	|--⌫------|-|-|-----|
L i garçonsqui pas	-⌫|-------|--|--|
Sarres temes	|-----⌫-|--|
cefu petit.	-|-|-----|
Autantcomcelesli	-----|--|----|-|
L iditonque splusnen p orta.	-⌫|--|-----⌫|---||-|-⌫----|
Licheual iersquis arresta	-|------⌫---|--||------|
Sesmer ueilleet lorsdit samie	|-----⌫-----|-|---|--||---|
Cezgenz n e	--|---|-⌫|
masseür entmie.-	|-------⌫--|---||
fet il.-Sirene sa i	--|--||---|-|--⌫|
Forssoli tant	---|--|-⌫---|
quepaora i	--|---|-⌫|
Sigrant qu onques mesn oigr eigno r.-	-|----|-|-----|--||-|--⌫-----⌫-||
Etuos de qu o iN aiiez paor	-|--|-|--⌫-⌫||----|---|
DeriensBie nsachi e zsanzdo tance	-|----|---⌫|-----⌫-⌫|---|--⌫----|
Seiene pe r tparmesche ance	-|-|-|--⌫-⌫|--|------⌫---|
Iaporpaorrien sneperdron.	-|--|---|----⌫|-|-------|
Soiiezto te seu ̈re alon	-----|--⌫-|---⌫--|---|
ie.E insienparlant	--|-⌫---|-|------|
S en uon t etsiapro chen ttant	|-|---⌫|-|-|----⌫----⌫|---|
De lacitéque c il	-|-|----|--|-⌫-|
cheuali erquid edenz sont-	-------⌫-|--|-⌫----|---||
Les aperçurent. -Etquefirent	--|-----------||-|--|-----|
QuoiAusitostcomil	---|---|---|--|-|
lesui rent	--|--⌫---|
Ilc ornere ntelchastelp rise.	-|-⌫------⌫-|-|------|-⌫----|
Lor sselacitéfust espri se	---⌫|-|-|----|---|-----⌫-|
Ni eüstpasgreignort umoute	||----|--|-------|-⌫-----|
Etli cheualiersquiescoute	-|-|---------|--|------|
Latumoute-quil ot corne r	-|------||-|-|-|-----⌫|
Prisee te insilafont aler	----|-⌫|-⌫---|-|---|---|
Com sileüssentle portpris	--||-|-------|-|---|---|
N otpas ensac ont reeapris	|-|--|-|-|-⌫---⌫--|----|
Quencornast p rise sanzrie ns pren dre.	-|-|------|-⌫---|---|---⌫-|----⌫---|
Decefetil ne sai	-|-|--|-|-|--|
Quece puetestre -Sirenon	--|-|---|----||---|--|
FetLidoin e nosnesauon	--|------⌫|--|-|----|
Qu eceser a.- Soit	--⌫|-|---⌫-||---|
qu es tre ueut	-|--⌫--|---|
A ssez c o rnentcequem e deut	-⌫---|-⌫-⌫----|-|--|-⌫|---|
Fetli cheualiersnule ch ose	--|-|---------|---|--⌫--|
Dela cité	-|-|----|
fu clo s e	-|---⌫-⌫|
uoi entparmilapo rteissir	---⌫--|--|-|-|--⌫--|----|
L agente tla terrecourir	-⌫|---|-⌫|-|----|-----|
fol i o 114b	---⌫-⌫-⌫---|
Doupuep lequi f or ss e n	--|----⌫-|--|-⌫--⌫||-⌫|
Niremaintdameq ui nisoit	||------|---|-⌫-|||---|
uenu eet totes	----⌫|-|----|
uontchantant.	---|--------|
Lespuce lesdont iot ta nt	--|----⌫--|---||-|--⌫-|
uienentc han tant etfontcar oles	------|-⌫---⌫---|-|---|---⌫---|
Sig ranzqu	-|-⌫---|-|
onq uesasmaier oles	---⌫--|-|-----⌫---|
Neuei ̈stesgreignorsd euan t	-|---⌫----|--------|-⌫----⌫|
