kiuoltoïrcha ncun debeausemblant	-|---|---|---⌫---|-|---|-------|
liest cuue nant.	-|--|----⌫---||
oreesp u runequiathardementgr ant	--|---⌫-⌫---|--|-|--------|--⌫--|
gardesurdestresaueügu inemant	----|--|-----|||---|--⌫------|
qui ontab atutreis forzr eis	--|--|--⌫--|----|---|-⌫--|
morz liti erzseuaitf uiant	---|-|--⌫--|-|---|-⌫----|
pren tundestrier silrentagu i nemant.	----⌫|-|-------|--|---||--⌫-⌫-----||
li qu ons isaltk arçun	-|--⌫--||---||-----|
nese p rent	-|-|-⌫---|
sirefaitilseru isemas	---|---|-|----⌫--||-|
feitgrant.	---|----||
maracointerunt pai entu nhard ement	--|----------|---⌫-|--⌫|----⌫----|
u os tremerci	-⌫--⌫--|----|
del b on des trerc urant.	--|-⌫-|---⌫---|-⌫----||
mu ltmun tt enuicilende streit gra nt.	--⌫-||--⌫|-⌫--|---|-|--⌫-----|---⌫-||
treit alespee dunt le	----|||----|---|-|
puntfudargent	---|-||-----|
sifi e rtu n	-|--⌫-⌫-|-⌫|
turc kel ateste enprent .	---|-|-⌫|----|-|----||
otessen uait muni oieescrïan t	---||-|---|----⌫--|--------⌫|
a curuçuse le spaensdetrenchant	|--------|--⌫|----|----------|
alsiles fentcum feit la	---|--|---|--|---|-|
nue leu ent.	--|-|-⌫--||
troueoliuer e	----|-----||
estu lte rollant	----⌫-||------|
e garinlen orman t	|----|-|-⌫-----⌫|
gefrei daniou erotoldlal emant	-----||----||-----||--⌫----|
quisecumbaten tmult ad ure ment.	--|-|--------⌫|---|--⌫---⌫---||
distote s pe reomnipotent	---|---⌫|--⌫-|---------|
te lscompaingnuns aloueioquerrant.	--⌫-|-----------|----|-|-------||
ensemb lelicheu a leruaillant	------⌫-|-|----⌫-⌫--|-------|
roillentlur armes	-------|--|----|
cumeful dr equifen t	---|---⌫--⌫|--|---⌫|
asbranzd a scerfunttel	-|----||-⌫---|---|--|
martelem ent	--------⌫--|
noreit deudel c ieltonant	|----|--|--|-⌫--|-----|
f orment lesduten ta rabiepersan t	-⌫-----|--|-----⌫|-⌫---||------⌫|
le sme lï ans etu rceaffricant.	--⌫|--⌫---⌫--||--⌫-||--------||
l ireisga rsietrembleentresagent.	-⌫|---|--⌫---|------|----|-|---||
nostreemperere es tasdegr ez alez	-----|-------|--⌫|-|----⌫-|---|
grantgen t kenturliu eitheitez	----|---⌫||----|-|-⌫--|-----|
s oreeu stog iernefeü st	|--|--⌫-|--⌫--|-|----⌫-|
me sirrez.	--⌫|----||
enpris unest	-|----⌫-|--|
d e chaene sli ̈ez	-⌫|------⌫|--⌫--|
meis lesma ins adeliuereselesp iez	---|--|--⌫--||--------||--|-⌫--|
par mil e grosdel	--|-|-⌫|---|--|
co r sestatach iez	--⌫-⌫|--|-----⌫--|
setch eualers	--|--⌫------|
legardentbien preisez .	-|------|---|------||
ogie rcesch aenesm alasc hiez	----⌫|--|--⌫----||-----⌫---|
enquorm eble sce ntdehez ait qui en es tlez	-|---|-⌫|---⌫---⌫-|----|--|--|-|--⌫|--|
folieparlez	----|-----|
ka rparmahu ns iuu smesen	--⌫|--|----⌫|-⌫|--⌫|--|-|
nusdestreindrumelesmains eles piez.	--|-----------||--|----||--|---||
iaen tauiemes	-|-|-|--|--|
le alsne s e rrez .	--⌫--|-|-⌫-⌫---||
sienest multirrez	-|-|--|---|----|
hast e le sise leu a en piez.	----⌫-⌫-|-|-|---⌫|-|---||
q uatreatoccispar eusne	-⌫----|-|----|--|--|-|
serra mesliez	----|--|---|
delatu rhalt eale streistreb uc hiez	-|-|--⌫|----⌫||--⌫|----|----⌫--⌫---|
q uan taualuindrentles c olso rentbrisez.	-⌫---⌫|---|-------|--|-⌫--|-⌫---|-----||
br iseles c hainessi	--⌫--|--|-⌫-----|-|
s e n estdeliu er ez.	|-⌫|--|-----⌫--⌫-||
qu ant e stdeliuer e li bon	--⌫--|-⌫-|-------⌫|-|--|
dene isogier	----⌫-|----|
al einzke potestuenu	-|---|-|--|--|---|
aldestrie r	-|-------⌫|
enfr e n él ak iln	----⌫-⌫-⌫-||||-||
ia esqu ier	||----⌫--|
bienestarmé aleidecheualer.	---|--|----||--|-|-------||
quantmuntéf u sicumenceah uchier	----|-----|-⌫|-|------||-⌫-----|
al est uruoismescompaingnuns	||---⌫-|---|--|-----------|
desorem es	--|--|-⌫-|
dei lesg r an zcolps enpleier.	--|--|-⌫-⌫--⌫|----|-------||
demeinuendraita ntmepoiezpr eier .	-----|------|--⌫-|-|----|--⌫---||
deumendefended emal	--||-|------|-⌫|--|
e dencumbre r.	||--------⌫||
istde laporte	--|-|-|----|
sibrocheledestrer	-|-----|-|------|
ueit alestur tutu n chiminplener .	---|||----|--|-⌫|-----|-----||
quan tu int alcham psiit ruua garnier	----⌫|-⌫--|-|----⌫|-||-⌫---|------|
rollant e naimes e o tese galtier	------||-----||-⌫--||------|
grantioiefu nttre stut	----|---|--⌫-|---⌫---|
leuont b eis er	-|---|-⌫---⌫-|
puiss i dema ndents ilest	---|-⌫|----⌫----||-|--|
s eineentier.	-⌫--||-----||
respuntqu eseineste legier	------|--⌫|---|--||-----|
unquesn iertplus	-----||---|---|
f erircheua l er.	-⌫---|-----⌫-⌫-||
quants unt ense m bleli iu stu r	----|-⌫--|----⌫-⌫--|-|--⌫---⌫|
ogierf u nt untre stur	----|-⌫-⌫-|-|---⌫---|
centenontm ort	---|-|--|-⌫--|
a glaiue ea	|-----|||
ueitsen garsie alquor enairrur	---||-|-----|-|---|-||----|
garirka r ni	----|--⌫|||
a defendur.	|-------||
ue its en fuiantsen zure	--⌫-||-|-----|---⌫|--|
de su i ur.	-|--⌫-⌫-||
otes l en chasce	---||--⌫-----|
parungrantualee	--|-|----|----|
ensamainporte	-|-|---|----|
cureç çuses esp e e	------⌫----||---⌫-⌫|
altre m ainlagranttargebendee	----|-⌫--|-|----|----|-----|
g arsiequ e sefuit a	-⌫----|--⌫|-|---||
purencuntre r	--|--------⌫|
asa resdne	|-|-----|
quantil ap rosmesiliditsapensee	----|-|--⌫----|-|-|--|-|-----|
purdeu ditil d ite meisi rere is	--|--|--|-|-⌫--|--|--⌫-|--⌫-|
deuezanui tc onreer cesfran ceis	----||---⌫|-⌫-----|--|----⌫---|
alezuu sq uerrel e	---|--⌫|-⌫----|-⌫|
nelmangereientpu rmilmarsd orkeneis	--|----------|--⌫|--|---||-------|
a ltr e m es	-⌫---⌫|-⌫-|
fe ites ç oest mangiera burge is	--⌫---|--⌫|--|------||-----⌫-|
l ire is garsi eestformentcuruciez	-⌫|--⌫-|-----⌫|--|------|-------|
purlesparoles	--|--|------|
quilia afic hiez	-|-|||----⌫---|
led estrierbrochedese spu runsdorez .	-|-⌫------|-----|--|-⌫---⌫---|----||
ia sefe u ̈st biendo tineluengez	-|-|--⌫-⌫--|---||-⌫----|-----|
quantle dest riercesta de quat re piez	----|-|----⌫---|----|-|----⌫-|---|
uo lsis tununaterr eest uersez	--⌫----⌫||--||----⌫|--|-----|
esunbrazdestreparmi liest brisez .	|--|---|-----|--|-|-|--|-----||
ai n ceisk il	--⌫-⌫---||-|
peust releuerensespiez	----|------|-|--|---|
liquons rollant estaliap rosmez	-|----|------|--||-|--⌫-----|
kasmai nsle pren tunkesnefu	|-|---⌫-|-|----⌫|----|-|-|
lirei ss escrie barun s nemetuchiez	-|---⌫||-----|-----⌫|-|-|------|
merentlauiemedun ez .	-|---|-|--|-|---⌫-||
lidui barun ont lerei	-|--|----|--|-|--|
acharleslontse mprespresenté	|------||--|--⌫----|--------|
illenaa pariss a	-||-|||----|-⌫|
c itémene ́	-⌫---|----⌫|
francsne sublientliuassaladu ré	-----|-||------|-|-----|---⌫--|
ainzkefeust	---|-|----|
uespre uli	-----||-|
soleil culchié	-----|-------|
ure ntlec hamp e prisela cité.	---⌫-|-|-⌫---||----|-|----||
quan tlumorra deitel	----⌫||-|---|-|---|
me ssagier	--⌫------|
bien de iuent tu itpursa lme prier	---|--⌫----|--⌫-|--||-⌫--|----|
kesi a id apai ens	-|-|-⌫--⌫|---⌫--|
a traue rser	|-----⌫---|
