enu nedespartie sdegrecequi	-|-⌫-|--|------⌫|-|----|--|
siauintilec	-|----|---|
achillesencontra l eroyde messe	-------|-------|-⌫|--|-|----|
etlef eri sidureme ntquea	-|-|-⌫--|-|------⌫-|--||
abatiet lifi st p laiemortelpui s	----|-|-|--⌫-|-⌫---|-----|---⌫|
sabessaet le uo lto cirre	|-----|-|-|--⌫-|-⌫----|
qu antthe le f usleg arant i	--⌫--|---⌫--⌫-⌫-|-|-⌫-----⌫|
cou urid esonescuet	---⌫--|-⌫|--|---|-|
aachillesqueil neloceis t	|-------|--|-|-||-----⌫|
aur oitmie lecue rde	---⌫--|--|-|---⌫|-|
luiueoirmorir	--|----|----|
.lorslidemanda	|---|-|------|
achi llespo rquoi etildistbien	----⌫---|--⌫|---|-|-|---|---|
ayyanzpassez queiea rriue	|-|--|-----|--|-|-⌫----|
parauentur eenc estp ais	--|-------⌫|-|-⌫--|-⌫--|
et ilm erecutamolt	-|-|-⌫|----||---|
g rantioie	-⌫---|---|
honora.si ne leto ucha	-----||-|-|-|--⌫---|
puisachilles	---|-------|
mespresde mort	--|---|-|---|
estoitdou copqueilliauoit	-----|--|--|--|-|-|----|
quan tcilde	----⌫|--|-|
messeui rentqueil	----|--⌫---|--|-|
orentperdulor se ign orsisen	----|----|--|--⌫---⌫-|-||-|
foyr entliuns	----⌫--|-|--|
caliautres	-|-|-----|
la lagaaig nierentles	-|-|-----⌫------|--|
grizoiset aqueillirentsi	------|-|-----------|-|
sigrantr i ch ece comm efine	-|----|-⌫-⌫--⌫--|----⌫|---|
m erueilles.	-⌫--------||
etquantliroysde me sse	-|----|-|---|-|--⌫--|
uitqueamorir leconu enoit	--|--||----|-|----⌫----|
et que il n	-|--|-||
auo itnulen fantsi	---⌫-|--|--⌫---|-|
dist q ueilfes oit ho irde son	---|-⌫-|-|---⌫--|--⌫-|-|--|
porlamord e herc ulessonperequisa	--||---|-⌫|----⌫---|--|---|--|-|
terrelia uoitune	----|-|-⌫---|--|
foiz rendue	---|-----|
carunsro ys	--|--|--⌫-|
le guerreoitet	-|--------|-|
uoloitdese riteretporceque	-----|----⌫----|-|--|-|--|
maydas i bie nqueilo ci st	|---|-⌫|---⌫|--|-|-⌫--⌫-|
qu icha l angoitmat erreetla	--⌫|---⌫-⌫-----|-|-⌫---|-|-|
merenditouteenp aisporcete	-|----|----|-|-⌫--|--|-|-|
lessegemonregneet t enfa z	----|-|--|----|-||-|--⌫|
seignor. etsi	------||-|-|
que i l te	--|-⌫|-|
po isedemo idontgetesai	--⌫--|-|--⌫|---|-|-|--|
bongre . si te	--|--||-|-|
enseuelissescomm elen doit	-----------|----⌫|--|---|
r oy et gardesla	-⌫-|-|-----|-|
terr eetaimes	----⌫|-|----|
lagent cartues	-|---|--|-|-|
de bon peresi soiesbons .et	-|--|---|-|----|---||-|
quantilotcedit s imorut	----|-|-|-|--|-⌫|----|
etei nsifenisa	-|--⌫--|---|-|
quant li r oysde messefu	----|-|-⌫--|-|----|-|
fistthelefus que i la uoit fet	---|-------|--|-⌫|-⌫---|--|
royeth o irdesonregne	--|-|-⌫-⌫-|-|--|----|
e nse ueli rmolt	-⌫---⌫----⌫|---|
ric hementc o mme roy et li	---⌫-----|-⌫-⌫--|--|-|-|
fistfaire to utes lesdroi turesquelen	---|----|--⌫---|--|----⌫----|--|--|
de uo itfai rea telpersone.	--⌫--⌫-|---⌫-||--|------||
etquantilliot cefaitsi	-|----|-|-|-|-|---|-|
sezirent th elefus etachilles	-------|--⌫-----|-|-------|
lepaisalo ruolente	-|---||--⌫|------|
etg arni rent	-|-⌫----⌫---|
molttr es bie n le sfortresces	---|--⌫-|---⌫|--⌫|---------|
d elat erre.	-⌫|-|-⌫---||
apresce separti	----|-|-|----|
ach illesporalerarr ie rsa l os t	---⌫----|--|---|---⌫--⌫-|||--⌫|
de sgrizois.sidistli	--⌫|------||-|---|-|
roy st helefus	---⌫|-⌫------|
quilseniroitau eclui	-|-||-|----|--⌫-|--|
achilles d ist	-------|-⌫--|
ceneferoi zuos	-|-|-----⌫|--|
demorez en cestpais	------|-|---|---|
etuo stenez	-|--⌫|----|
biengarnizdeble	---|-----|-|--|
uinetdeuia n despore nu oier	--|-|-|---⌫-⌫--|--|-⌫--⌫---|
en n ostreos tsemestieren	-|-⌫----|--⌫|-|------|-|
eins isep artiach i lle s douroy	----⌫|-|-⌫---|---⌫-⌫---⌫|--|--|
thelefu s e ter ra	-------⌫|-⌫|--⌫-|
tantq ui lest	-----⌫|-⌫|--|
uenuzalost desgrizois	----|||--|--|------|
ouilfumolthonorezet	-|-|-|---|------|-|
agrant ioie	|----|---|
r eceuz .siloracontémot a m ot	-⌫----||-|--||-----|--||-⌫-|
tot sona ffaireet comme	--|--|-⌫-----|-|----|
estoitdemorez roysdoupays de	-----|------|---|--|---|-|
m essequimoltestoi tplanteis	-⌫---|--|---|-----⌫|-------|
de tozb iens et commeilli	-|--|-⌫---|-|----|-|-|
dit queilse tenis t garnizde	--|--|-|-|-----⌫|-----|-|
uinetdeui andes	--|-|-|--⌫----|
pore nuoi er	--|-⌫----⌫-|
mest ier enau iens.	----⌫--|-|--⌫---||
furentmolt liezles	-----|---|---|--|
grizoisetdistrentque	------|-|-------|--|
auoites tébon apense me nt q u e	----|--⌫--|--|------⌫--⌫-|-⌫-⌫|
porroitauoirmestie r . apre s dist	------|----|------⌫||----⌫|---|
achilles seign or unpoi uos	-------|-----⌫-|-|--|--|
diree tconter decelsqui	---|-⌫|-----|-|---|--|
uindrente n laydedo uroy priant.	-------|-⌫||---|--⌫|--|-----||
roya umede	----⌫--|-|
sezilei uintli roys	-----||---|-|---|
bu storpantalu se tadrastus qui	--⌫---|-------⌫|-⌫|-------|--|
amenerent mo ltb elecheu aleri e	--------|--⌫-|-⌫--|----⌫-----⌫|
bien appare illiee.	---|------⌫-----||
et delacont reee	-|-|-|----⌫---|
d eeuropei uint mesacuskara s	-⌫|-----||---|------|----⌫|
macius e tnesti us. etdelacomme qui	-----|-⌫|-----⌫-||-|-|------|--|
t antestbonpai siuintun	-⌫--|--|--|---⌫||---|-|
merueil leux am i ra ntquiesto it	-------⌫---|--⌫-⌫--⌫-|--|----⌫-|
apelezeufrem es.dela	-----|------⌫-||-|-|
uin tpoti us.et douroyaume	---⌫|----⌫-||-|--|------|
decys onieliroysr uffus .de la	-|---⌫---|-|---|-⌫----||-|-|
detra celir oysfeleu s	-|---⌫-|-|-⌫--|-----⌫|
archanus .et	-------||-|
delaterredepoe neli	-|-|----|-|---⌫-|-|
royspre tesimus quiamenaol ui	---|---⌫------|--|----||-⌫-|
tropeusunsi encosin qui	------|-|--⌫-|----|--|
es toi t preuzetuaillanz .	--⌫---⌫|----|-|-------||
delaco ntreede	-|-|--⌫----|-|
duiroyliroys miscen eet calamus.	--|--|-|---|------⌫|-|------||
delaterredeboe ce iuindrent	-|-|----|-|---⌫-||-------|
affima sfoyns lipreu z et	------⌫|----|-|----⌫|-|
anficasqui longuement s	------|--|---------||
entre sto ientgu e rroi émes ence	-----⌫---⌫---|--⌫-⌫----⌫-|--|-|-|
esto ienten	----⌫---|-|
debocine un	-|-----|-|
ro yau memoltsauuageiuindr e n t	--⌫---⌫-|---|------||-----⌫-⌫-⌫|
son frereepyt r us.	--|----|----⌫-⌫-||
royaumedefalfagloinequi estoit	------|-|----------|--|-----|
lointaing pais	--------|---|
iuint l ir o ys	|---|-⌫|-⌫-⌫-|
phelimenisqui	---------|--|
est oitli plus	---⌫--|-|---|
hom sque len poist tr ouuerennu l	---⌫|--|--|----|--⌫----|-|--⌫|
pais etgrant	---|-|----|
me rueillefu de	--⌫------|-|-|
ce que iluint desiloing	-|--|-|---|-|-|----|
amena grant compaignieetbele	----|----|---------|-|---|
auec queslui quiarm ezestoie n ttrop	----⌫---|--|--|---⌫-|------⌫-⌫|---|
desguiseementetmol trichement	------------|-|---⌫|--------|
aorné .deethi opeiu int li	-----||-|----⌫--||-⌫--|-|
persesetamen a oluinemangon	-----|-|----⌫||--|-------|
lefi lsa suer	-|--⌫|-|---|
qu imoltest oit	--⌫|---|---⌫--|
riches cheualierset	-----|---------|-|
e tsi iuinthersesunsnobles	-⌫|-||---|-----|--|-----|
princes qu imolt	------|--⌫|---|
estoitpreuz	-----|----|
etuaill an zetestoi tsi resd	-|-----⌫--⌫|-|-----⌫|--⌫--||
une citequena pele nochieres	--|---|-|-|-⌫---|--------|
luigra ntco m paigni ed	--|---⌫-|--⌫-⌫------⌫||
archiers q ui tuitestoient	-------|-⌫-|---|-------|
p lusnoir quemore.etcha scu n	-⌫--|---|--|---||-|---⌫---⌫|
detozlesautresq uege	-|--|--|-----|-⌫-|-|
uosainomez amenaos oig rant	--|-|----|----||-⌫-|-⌫---|
c ompaignie deb ons cheua lie r s	-⌫--------|-|-⌫--|-----⌫---⌫-⌫|
tozarmés e tbien app a re illiezet	--|-----|-⌫|---|---⌫-⌫--⌫-----|-|
tuitestoient b ien	---|-------|-⌫--|
deui n etdeuiand es et detoutceque	-|--⌫|-|-|-----⌫-|-|-|---|-|--|
m es tier lorestoitet d ient	-⌫--⌫---|--|-----|-|-⌫---|
qu ildesfendrontbien l acitedes	-|-|----------|---|-⌫|---|--|
grizois .lors	------||---|
grizoisunconseil	------|-|------|
en t r auxet	--⌫-⌫|--|-|
distrent qu il i roient	-------|-|-|-⌫-----|
asse gier lacite	----⌫---|-|---|
.sifirenttoutes	|-|-----|-----|
lornes armer	--|--|----|
etapp areillieret	-|---⌫--------|-|
aproch ierentuers la	------⌫-----|---|-|
pristrentport.lipremiers	--------|---||-|-------|
desnes sifu prot heselaux	--|--|-|-|----⌫-------|
estoit p reuz etgarnizde	-----|-⌫---|-|-----|-|
etapresluiissi rent	-|----|--|----⌫---|
touzle sa utresgrizois.etquantle s	---|--⌫|-⌫----|------||-|----|--⌫|
troyenslesuirent si issire n t	------|--|-----|-|------⌫-⌫|
dela citequiainzainz	-|-|---|--|---|---|
mielz mielzetles ass aillirent au	----|----|-|--|---⌫--------|-|
descendredesnes.laotune	--------|--|--||-|-|--|
moltdoloreusebatai l leetmol tgrant	---|--------|-----⌫-⌫-|-|---⌫|----|
pe rteirecurentles	--⌫--||-------|--|
grizoisetmoltplus eussent	------|-|---|---|------|
estégreué ce	----|-----|-|
ulixes etliroy sprothese laux qui	-----|-|-|---⌫|--------⌫---|--|
merue illosementle	-----⌫---------|-|
bi en.etpar	--⌫-||-|--|
deuerslestroyensle	-----|--|------|-|
refistmoltbienroy	-----|---|---|--|
pers equ i	----⌫|--⌫|
molt debonsar chiersauoitauecques	---|-|---|--⌫-----|----|-------|
lui.etpalamidese tachil les	--||-|--------|-⌫|-----⌫--|
soste noientmoltgrant	-----⌫-----|---|----|
batail le siui ntpa lamides	------⌫-|-|--⌫-|--⌫------|
ensonpoindreetencontraqua nor	-|--|------|-|-------|---⌫--|
quicousins est oitau	--|------|---⌫--|-|
roym angnor	--|-⌫-----|
fe ri si du rment	--⌫-|-|--⌫----|
de sa lancequ e	-|-|----|--⌫|
letrespercadoutreenoutreet	-|--------||----|-|----|-|
labatimo rtenlaplace .mes	|----|--⌫-|-|-|----||--|
tou zlestroyensl efesoi tbien	---⌫|--|------|-⌫|-----⌫|---|
caril oc ioi t	--|-|--⌫---⌫|
etabat oit	-|----⌫--|
quancque il	-------|-|
ateig no it auant l uisi	-----⌫--⌫-|----|-⌫-|-|
parauen tur eler oythessalauxe nmi	--|----⌫---⌫|-|-⌫-|---------|-⌫--|
uoi e et leferisi durment	---⌫|-|-|---|-|------|
parmile corsdune	----|-|---||--|
percale cuer ouuentre	----|-|---|-|-----|
dontlesgrizois	---|--|------|
furent moltdo lent	-----|---|--⌫---|
e t corrociécarile stoit	-⌫|--------|--|-|-⌫----|
b onscheua li erspreuzricheset	-⌫--|-----⌫--⌫--|----|-----|-|
p uissa nz degrantman ere.e tmolt	-⌫-----⌫-|-|----|---⌫--||-⌫|---|
eussentesté plusdomagié	------|----|---|-------|
grizois quei lne furent	------|--|-⌫|-|-----|
ac hille s	--⌫-----⌫|
iuintotoutgrant compaigniedeb ons	|---|----|----|---------|-|-⌫--|
cheuali er s liquel fi rent	-------⌫--⌫|-|---|--⌫---|
merueillesdarmes et lesont	---------||----|-|--|--|
recul é e t	-----⌫-|-⌫|
m is par uiue force	-⌫-|--|---|----|
de denz lacite.et ilesto ientia	--⌫---|-|---||-|-|----⌫---|-|
uers l a nuits iretornerentles	---|-⌫|---|-⌫|----------|--|
gr izo isalornaui es	--⌫---⌫-||--|----⌫-|
etf ir ent hor s	-|-⌫--⌫--|---⌫|
traire te ntes e t pauei llons	-----|--⌫---|-⌫|-----⌫----|
et selogierent droit	-|-|--------|----|
ci teetsachiezque li olz	--⌫-|-|------|--|-|--|
es t oit moltmerueilleusem entgrant	--⌫-⌫--|---|-------------⌫--|----|
et belaesgarder .	-|--||-------||
quant litro yen	----|-|---⌫--|
furentenlor cit e	-----|-|--|---⌫|
ildistren t queil istroient	-|-------⌫|--|-|--------|
horsa landemainmatinetles	---|||-------|----|-|--|
assaud r o ient.	------⌫-⌫-⌫---||
lors establili	---|------|-|
prianzh ectorsiree tmestre	-----|-⌫----|---|-⌫|-----|
sonostliqu ie x ordena	--|--|-|--⌫--⌫|-----|
etes tabliy y bataillese ten	-|--⌫----|-⌫|--------|-⌫|-|
chascuneeschiele auoitgran t	-------|-------|----|----⌫|
debons cheual iers.enlapremi ere	-|---|------⌫---||-|-|-----⌫--|
eschieleest oitclanconde lice	-------|---⌫--|------|-|---|
roy s estoitdelaterrede	---⌫|-----|-|-|----|-|
la s e c onde eschie lee stoit	-|-⌫-⌫-⌫---|------⌫-|-⌫----|
liroyscicinalo r	-|---|--------⌫|
det race.enla	-|-⌫---||-|-|
tierc ees t oitli roys	-----⌫|--⌫-⌫--|-|---|
mi cere s defri ze etauec	--⌫----⌫|-|---⌫-|-|---|
lu isa nti pus	--⌫|--⌫---⌫--|
etal cam us.e nla	-|--⌫---⌫-||-⌫|-|
quartee sto i t troy lus qui	-----|-⌫---⌫-⌫|----⌫--|--|
fubienarmezet a ppareilliez	-|---|----|-|-⌫----------|
quanthectorleuit	----|-----|-|--|
bienappareilliédist	---|-----------|---|
uo strepr oesce	--⌫---|--⌫----|
e tuostre gr ant	-⌫|-----|--⌫--|
hardement me fetgr ant poor	--------|-|--|--⌫--|---|
queuo sneuosenb atez	--|--⌫|-|--|---⌫---|
tantau an tque	---|--⌫--⌫---|
uosne npuissiez	--||-⌫|-------|
re torner .enla quinteeschi ele	--⌫-----||-|-|-----|-----⌫--|
est oitliroyshupo zligranz	---⌫--|-|---|----⌫|-|----|
cheualiers olui. enla siste	---------||--||-|-|----|
estoitremusl iroysdecyson ie	-----|----|-⌫|---|-|-----⌫-|
etpolimadas fu sir es	-|--------|-|---⌫-|
etcom mandierresde cele esch iele .enla	-|---⌫---------|-|---|----⌫---||-|-|
septiemeestoit	-------|-----|
liro ysdepeonne	-|--⌫-|-|-----|
d ecelsfusires	-⌫|---|-|----|
dei pheb us.enl uitieme	---⌫----⌫-||-||------|
estoi truffuslif ilzgohasli	-----⌫|-----|-|-⌫--|----|-|
quie xaloitarmeze nbatail l e	----⌫|----|----|-⌫|------⌫-⌫|
s or unmoltric hecha r degran t	-⌫-|-|---|---⌫-|---⌫|-|----⌫|
manieredont	------|---|
les roesestoient	--|---|-------|
d ebenuset es to ientbendee set	|-----|-|--⌫--⌫---|------⌫|-|
ferrees definoretles limon s	------|-|--|-|-|--|-----⌫|
estoientde fin yuo ireouure ́molt	-------|-|--|---⌫--|-----⌫|---|
sou tilmentetlitabernacl es	---⌫------|-|-|---------⌫-|
den hautestoitcouuerz	|-|---|-----|------|
cuir boulid olifant ouuré	---|----||------|-----|
precieuseset doretdazur et	---------|-||-|-||---|-|
dromadaireletreo i ent	---------|-|----⌫-⌫--|
m en oientsiestoit	-⌫--⌫----|-|-----|
moltreg a rdez	---|---⌫-⌫---|
de toutes genz.enla	-|-----|---||-|-|
nueuiesme fu liroy sfrion et	--------|-|-|---⌫|----|-|
les otenconduit	--|-|-|------|
pi t ago rasundestrentefilzle roy	--⌫-⌫---⌫--|-|--|-----|---|-|--|
p riant .etladi ziemeeschiele	-⌫----||-|-|--⌫----|-------|
cond uithe ctor etot oluitouz	----⌫--|--⌫---|-|-||--|---|
celsquie stoientnez d e	---|--|-⌫------|--|-⌫|
laciteetyy	-|---|-|-|
des esfrere sd e par	-|-⌫-|-----⌫|-⌫|--|
so n p ere dont	--⌫|-⌫--|---|
liunsotnon	-|--|-|--|
oudinia u xl isecons ant oniu sli tierz	-------⌫-⌫|-⌫|-----|---⌫----⌫|-|----|
cedrasliquar zdelons	-----|-|----⌫|-----|
liqu i nssilicionsli sistes	-|--⌫-⌫-|--------|-|-----|
quint aliensliseptimesfo medelus	-----⌫-----|-|-------|--⌫------|
lihu iti emes q uassibilanzli nueui esme s	-|--⌫---⌫---|-⌫----------|-|-----⌫----⌫|
dynasdaronetli	----||---|-|-|
diziemesdo roscalusquif ilz	-------|--⌫-------|--|-⌫--|
esto ita ladamoisele	----⌫-||-|--------|
estoit degra nt biauteet morut	-----|-|---⌫-|-----|-|----|
deluialen fan t er.etquan t	-|--|||--⌫---⌫-⌫-||-|----⌫|
hectorotainsiordeneesto utes	-----|-|----|-------|--⌫---|
e schiele ssifistouurir	-⌫-------⌫|-|---|-----|
mestresportesde	------|-----|-|
quidar danidesestoit	--|---⌫------|-----|
et il estoit montezsorun	-|-|-----|-----|--|-|
meru eill euxde strierquigal ate e	----⌫----⌫--|--⌫-----|--|---⌫---⌫|
apelez que o ranslafaeeli	-----|--|-⌫---|-|---|-|
enuoiéla quele l am oit	------|-|----||--⌫--|
so rtout eriens	--⌫|----⌫|----|
meshe cto rneuolt	--|--⌫---⌫|-|---|
on ques a uoircompagnie de lui .	--⌫---|-⌫---|--------|-|--||
uinthectorauroypriantet	---|-----|-|--|-----|-|
lidist b iau	-|---|-⌫--|
nositronshors e t	--|-----|---|-⌫|
uos soiezau	--|----|-|
portesato utesl es	-----||--⌫---|-⌫-|
apie que uosauez etg ardezque	|--|--|--|---|-|-⌫----|--|
uos nis siez hor s se	--||--⌫---|---⌫|-|
ge nelemande car sela	-|-|-|----|--|-|-|
tournepar d euersnosa	-----|--|-⌫----|--||
descon fiture	------⌫-----|
que uos nosrece uo izsique	--|--|--|----⌫--⌫-|-|--|
aiezreproch eet li	---|-------⌫|-|-|
biax f ilzgelefere	---|-⌫--|-|-|---|
uolentierssicomtu	---------|-|--|-|
cargeaimoltgr ant fian ceen	--|-|-|---|--⌫--|----⌫-|-|
proesce .et	------||-|
auec le roy	---|-|--|
pri a nz de morayydesesfilz	---⌫-⌫-|--⌫---|-|-|--|---|
destrente. li	--|-----||-|
un s ot non	--⌫|-|--|
einsif urentordeneesle seschiele s	----|-⌫----|-------|--⌫|--------⌫|
et dunep arte t d	-||--|-⌫--|-⌫||
quant l esgrizoise t lestroyens	----|-⌫-|------|-⌫|--|------|
orentordenél o rb atailles s i	----|------|-⌫-⌫|-⌫-------|-⌫|
cheu aucherentles unsc on treles	----⌫--------|--|--|-⌫--⌫--|--|
a utres.et	-⌫----||-|
li p remierqui	-|-⌫-----|--|
assemb lere nt si fur ent hector	------⌫----⌫-|-|---⌫--|-----|
et p atr oclus	-|-⌫---⌫----|
q u imolt estoientbon	-⌫-⌫|---|-------|--|
cheualie ret corageux. sibri za	--------⌫|-|-------||-|---⌫-|
patroclussa la nceethecto r	--------|-|--⌫--|-|-----⌫|
le feri de telayr q ueil limist	-|---|-|--|--|-⌫-|-|-|---|
lefe r del a lanceparmile	-|--⌫|-|-⌫|----|----|-|
corpset le trebuchaenlaplace	----|-|-|-------|-|-|----|
.e tquantmerionsuit	|-⌫|----|------|--|
patroclus m ortsienfu moltc or r oci ez	--------|-⌫--|-|-|-|---|-⌫--⌫-⌫---⌫-|
sentramoient	|----------|
degran ta morsi brochecheualdes	-|----⌫|-⌫--|-|-----|-----|--|
esperonsco ntr ehector	-------|--⌫---⌫|-----|
et lefiert	-|-|----|
det el manie reque a	-|-⌫-|-----⌫-|--||
t errelefe tuers er et prins	-⌫---|-|--⌫|----⌫-|-|----|
eu stestéce ne	--⌫-|----|-|-|
troylusq uili uint a	------|-⌫-|-|---||
secorset le	-----|-|-|
lors uintilec li duxd athen es	---|---|---|-|--||-----⌫-|
abatitro ylusmesassez	----|---⌫---|--|----|
tos tfu remo nte z	---⌫|-|----⌫---⌫|
quarilestoit	---|-|-----|
preuze thar di z e t legie rs.	----|-⌫|---⌫--⌫|-⌫|-----⌫-||
quantmeregart	----|-|-----|
si semel le rent	-|-|---⌫--⌫---|
touzle sunscontre	---|--⌫|--|-----|
lesautre s	--|-----⌫|
laot meru eill eux gra nt etfier	-|-|----⌫----⌫--|---⌫-|-|---|
estour et tr es doleruseocision	-----|-|--⌫-|-------|------|
dunepart et dautre	|--|---|-||----|
annuiz seroitdoura cont e r.	-----|-----|--|--⌫----⌫-⌫||
si au i nt	-|--⌫-⌫-|
que polidamas o cistm elans	--|--------|-⌫---|-⌫----|
quiniesestoithelene	--|---|-----|-----|
don tliroys menelaus	---⌫|-|---|-------|
cor rociezapresrocistleroy	---⌫-----|----|-----|-|--|
celidusquiamisestoit	------|--|---|-----|
a la reyne	|-|----|
d efe me nie	-⌫|--⌫--⌫--|
.etthelamonuint	|-|-------|---|
et a bati polida mas	-|-⌫---|------⌫--|
a terre s il	|----|-⌫||
en menoitprisl i	--⌫-----|---|-⌫|
roys menelaus	---|-------|
quanthectoris oruint	----|-----||-⌫-----|
re queust .alaparfinneporent	--⌫-----|||-|-----|-|-----|
end urerl estro ien squar trop	---⌫---|-⌫-|---⌫---⌫|---|---|
es to ie ntgr antgentlesgrizois	--⌫--⌫--⌫-|--⌫--|---|--|------|
mesmerueil le use ment	--|-------⌫--⌫---⌫---|
les yyfreres	--|-|-----|
hector q uiest oient	-----|-⌫-|---⌫----|
ses fr erestantsolement de	--|--⌫---|---|-------|-|
quas ibilans qui estoit uns d es	----⌫------|--|-----|--|-⌫-|
yy filzauroy	-|---|-|--|
que mo rt labati dont	--|--⌫-||----|---|
furen t molt	-----⌫|---|
corro ci é .et	-----⌫--⌫-||-|
hurezqu imoltbon archier sestoit	----|--⌫|---|--|-------⌫|-----|
f er ihector	-⌫--⌫|-----|
uismes hectorli corut	--|--|-----|-|----|
leferi dete l fo rce p armi	-|---|-|--⌫|--⌫--|-⌫---|
la teste duneespee q ueill if endi	-|----||--|----|-⌫-|-|-⌫|-⌫---|
enyymoistiez etchei	-|-|-------|-|---|
a terre.ap res	|----||--⌫--|
choisihe ctor	-----|--⌫---|
et brochacontre	-|-----|-----|
luide tel ayrque ater re le	--|-|--|--|--||---⌫-|-|
trebuchaet	-------|-|
ocist.queuos	----||--|--|
iroiege tou teiourcontan tdesuns	----|-|---⌫-|---|------⌫|--|--|
e t d esautre s	-⌫|-⌫-|-----⌫|
mesqu etantque	-----⌫|------|
la bataill efu grant	-|-------⌫|-|----|
etdolor euseet	-|-----⌫---|-|
quemolt iot de	--|---||-|-|
a folezd unepartet	-⌫----||--|---|-|
tantque tuitlicampen	------|---|-|---|-|
couuertmestro p	------|--|---⌫|
granzann uiz	----|---⌫--|
s eroitatoutdireetco nter ce	-⌫----||---|---|-|--⌫---|-|
quif ufetacel	--|-⌫|--||--|
quarilnest nusqui	---|-||--|--|--|
nom brerne nomer c els	---⌫---|-|----|-⌫--|
quimo r z etafolezifurent	--|--⌫-⌫|-|-----||-----|
par tetdautre	---⌫|-||----|
p ar finfurentgrizoisdesconf it et	-⌫--⌫--|-----|------|-------⌫-|-|
eust e stéfinde	---|-⌫---|--|-|
laguerre se	-|-----|-|
fortuneleustsoufe rt	------||---|-----⌫-|
m es thelamoniu s aiauxqui	-⌫-|----------⌫|----|--|
co usin sestoithect or et	--⌫----⌫|-----|----⌫-|-|
e syo na lasuer aur oy priant	-⌫---⌫-|-|---|-|-⌫-|-----|
liquiezestoitauecl esgrizois	-|----|-----|---|-⌫-|------|
ettozio r zsestoitcombat uz	-|--|--⌫-⌫||-----|------⌫-|
ahector siauint quil s	|-----|-|----|-|-||
entreconnurentet sentrefirent	-------------|-||----------|
grantioieet	----|---|-|
hect ormener a	----⌫-|----||
troiepor ueoirsonparen te	----|--|----|--|-----⌫-|
n i u ol t alerquar ildist	||-⌫--⌫|---|---|-|---|
ilenser oi t blaumez de sgr izois	-|-|---⌫--⌫|------|--⌫|--⌫----|
maisgeu ospridistil	---|-|-⌫-|--|---|-|
facoizretr aire uos genz	-----|----⌫---|--|---|
que molt nosa ue zhui dom agié.e t	--|---|--|-⌫--⌫|--|---⌫----||-⌫|
fisthector com	---|-----|--|
t helamoniu sli requistetfist	-⌫---------⌫|-|------|-|---|
r e trairesagent	-⌫-⌫-----|-|---|
etentrerente nlaci teouil	-|--------|-⌫|-|--⌫-|-|-|
fu re nt molthonoreementeta grant	--⌫--⌫-|---|----------|-||----|
ioie receu.	---|----||
l or s mande re ntles mi res	-⌫--⌫|-----⌫--⌫-|--|--⌫--|
quiestoientenlacite	--|-------|-|-|---|
fuditqu ilalas sentpar	-|--|-|-|----⌫---|--|
toutuisiter	---|------|
gu eriretsaner	--⌫---|-|----|
d elor poo ir les bl eciezet	-⌫|--|---⌫-|--|--⌫----|-|
naurezet ilsi	-----|-|-|-|
celenu itnesotrienspr ianzde	---|--⌫-|-|--|----|--⌫---|-|
filquiauoitest é	--|--|----|---⌫-|
ba ta ille.quant li	--⌫--⌫---||----|-|
grizoi s furen t en	------⌫|-----⌫|-|
lor t entes etpaueillon s	--|-⌫----|-|---------⌫|
i lpr ist rentco nse ilderequerre	-⌫|--⌫---⌫---|--⌫---⌫-|-|-------|
tr iuestantque limor tfeu ssent	--⌫---|------|-|---⌫|---⌫----|
en seuel i etles plaiezgueriz sii	--⌫-----⌫|-|--|-----|-----|-||
enuoiere nt. et	--------⌫-||-|
quan tli troyen	----⌫|-|-----|
entendirent cesnouelessisen	----------|--|------|-||-|
conse illie rent etlos troierent	-----⌫-----⌫---|-||--⌫--------|
etlor s f urentpl eu ies triue setd	-|---⌫|-⌫----|--⌫--⌫--|-----⌫|-||
une part etd a u tre.etqu a ntil	--|---|-||-⌫-⌫--||-|--⌫-⌫-|-|
ce acordé sialachascun	-|------|-|--|------|
querreetreuer c h i er	-----|-|-----⌫-⌫-⌫-⌫-|
son a mientreles	--|-⌫-|----|--|
morzou champou	---|-|----|-|
labatail leauoit	-|------⌫-|----|
estélafesoien tli ami	----|-|-------⌫|-|--|
morzchascundou sie n grantdue l et	---|------|--|---⌫|----|---⌫|-|
telbre t ettelcri	--|---⌫|-|--|--|
d une partetd	|--|---|-||
aut requel enn	---⌫-|--|-⌫-||
ois tpasdieutonan t.	---⌫|--|---|-----⌫||
messortouzcels quiploroient	--|--|---|---|--|--------|
et fesoie ntduel lefesoit	-|------⌫-|---|-|-----|
a chill esdep atroclus	-⌫-----⌫-|-|-⌫-------|
estoit quarmol tsentramoien t	-----|---|---⌫||----------⌫|
e t souuent sepaumoi t sor luiet se	-⌫|------|-|------⌫|--|--|-|-|
lesdengoitet	---------|-|
complaignant halasc omc ia	-----------|-|--|-⌫-|-⌫||
m aledestin ee	-⌫--|------⌫-|
dece que geonq ues	-|-|--|-|---⌫--|
uosenuoiaienla	--|------|-|-|
bataillesanzmoi	-------|---|--|
m ale oi tesoitloreque	-⌫---⌫--⌫-|---||--|--|
ge n e fuila ouceluiuos	-|-⌫|--|-|-|----|--|
ateintainsiquars egeieusse	-----|----|---|-⌫|-||----|
ge nesa iho me	-|-|--⌫|--⌫-|
qui uos eustmor t	--|--|---|---⌫|
sanzmoih a	---|--|-⌫|
