en un iorgedepresseizde	-|-|--|-|---------|-|
c rucieme ntsei prochainki l	-⌫-------⌫-|--|-------|-||
amerentcharneilment et en amantlaper sewirentil	------|-----------|-|-|----|-|---⌫-------|-|
ladonere ntaz e nc h an t eors por auo irlaiue de	-|------⌫-|-|-⌫--⌫-⌫--⌫-⌫---|--|---⌫-||---|-|
s alutparke il del	-⌫---|--|-|-|--|
fonzest inderoient lanrme	---|---⌫---------||----|
dec elei acui charpar arsdenchanteorsoi	-|-⌫---||--|---|--|--||---------|--|
efforcie rent daid iera te n s .	--------⌫---||---⌫--||--⌫-⌫||
gieres fut	-----|--|
eleameneiea unflue tetenl	--|------||-|----⌫|-|-||
aigu emisee tla	----⌫|---|-⌫|-|
soiefforcier entmultlongement li	--|---------⌫--|---|--------|-|
encha nteordefairepar lurenchantemenzke	-----⌫----|-|----|--|--|-----------|-|
c ilkie nleiastoit	-⌫-|-|-⌫|--|-----|
entre izlidiablese isteroi t .	-----⌫-|-|------|-⌫-------⌫||
lomeru ilhousiugementde d eu quant parartperuerse	-|----⌫-----|-------|-|-⌫-|----|--|--|-------|
u nsdiables	-⌫-|------|
delei futbo teizsodaine menti	-|--|--|--⌫---|-------⌫---||
entrat la legions .	-----|-|------||
dunkescomenza te lede tanmouemenzestr e demeneiede	-----|-------⌫|-⌫-|-|--|-------|----⌫|-------|-|
tantesuoiz etd etan criorsa frinteirde qu a n z	-----|---|-|-⌫|--|-----||-------|-|--⌫-⌫-⌫|
astoitte nue.	-----|--⌫--||
d unkesentrer enten conseilhsei	-⌫----|------⌫--|-|-------|--|
parentregehissantla colpedela	-----|----------|-|----|-|-|
senfegeries iamenerent	---------|-⌫|--------|
ce l eial ho norablehom me	--⌫-⌫-|||--⌫------|---⌫-|
fortu neitloueskeet silaissie ren t cel e i	-----⌫---|-|----|-|-|-------⌫---⌫|---⌫-⌫|
la queilecan tilot	-|-----|---⌫|-|-|
reciut sisoi donatpar pluisors i ors etnuizen	-----|-|--|----|--|-------|-⌫--|-|---|-|
detan tef fo rciemente stiutilen proierese n combienil	-|---⌫|--⌫--⌫-------|-⌫----|-|-|-------|-⌫|------|-|
trouat este irencon tre so ilacompangie	-----|----⌫-|-----⌫--|--⌫|-|--------|
de legion.	-|-----||
quant il nientaprespluisorsi orsla	----|-|----|----|-------|-⌫--|-|
renditensisaine et	-----|---|----|-|
ha liegre alsi	--⌫-----|---|
com li diables onkesn eust	--|-|------|----||---|
enleipropredro iture.	-|--|-----|---⌫----||
en un al trete nsalsiment	-|-|--⌫--|--⌫-|-------|
cizmeis mes hom	--|----⌫--|--|
liseri anz	-|----⌫--|
d eltotpoissantdeudunpo rsis hommeescoustfors un	-⌫-|----------|--||-|--⌫---|----|------|---|-|
li queizmaligne sespirs quan til	-|----|-------⌫|-----|----⌫|-|
ia auespri ssantlo	-|-------⌫----|-|
ior ueoitla	--|----|-|
hor esecreie deshommes ilsoifo indanzestrealcun	---⌫|------|--|-----|-|--|--⌫-----|----|----|
e stra nge comenz atenuiron aleirles	-⌫----⌫--|------⌫-|------|----|--|
est reiesde la cit eite tacrieirolosaint	---⌫----|-|-|---⌫--|-⌫||-----||-|----|
h om me for tuneitlo ueske	-⌫--⌫-|---⌫-----|-|----|
ilat b oteitun	-|-|-⌫----|-|
estrangehomme	-------|----|
fors de s on hos teil .	---|-|-⌫-|---⌫---||
g equieruge doiue r ep oseir ete n sa	-⌫|----||-|----|-⌫--⌫----|-|-⌫|-|
citeitnelpuis pastroueir.	-----|-||---|--|------||
dunkes s e oi tu nshomen	-----|-⌫-⌫--⌫|-⌫-|--|-|
son h osteilauocsa femm e et un petit	--|-⌫-----|---|-|----⌫|-|-|----|
filhaz carbon sliqueiz oianz lauoiz	---|-|------⌫|-|----|----|-|---|
de c eluiet	-|-⌫---|-|
demandanzqu eile c hoseli ueske s liauoitfait	--------|--⌫---|-⌫---|-|-----⌫|-|----|---|
enuiat celuiahosteilsi lo fist seoir auoclui	-----|----||------|-|-|---|----|---|--|
deioste les	------|--|
et quant il entrechaniableme nt parleuentalcuneschoses c ilmalignes	-|----|-|----------------⌫-|--------|------|-----|-⌫-|-------|
es pirs e nuaits on petitfilh silogettat	--⌫---|-⌫----|-⌫-|----|---|-|-|-----|
meismescarbo nsetla man es	------|-----⌫-|-|-|---⌫-|
escost f or slanrmede	-----|-⌫--⌫||----|-|
liqueizchaiti shomueueizconut	-|----|------⌫|--|-----|----|
celui loqueil	----|-|----|
ilau oitr eceu tulo	-|--⌫--|-⌫----⌫||-|
queil ilauoit receutuloqueil li	----|-|----|-----||-|----|-|
ueskesauoitfors	-----|----|---|
queilecho sedisons nos	-----|---⌫-|-----|--|
estrekeli an ciens anemispristosementdocire el	----|-|-|--⌫----|-----|----|------||----|-|
hostei lde celuiki luiqui danz estreun peleri nl	------⌫|-|----|-|--|---⌫---|----|-|------⌫||
auoitasoiuochiét	----||--|-------|
porherbergie r	--|---------⌫|
pluisorschosespieres semblentestrebones	-------|-----|-----|-------|----|----|
mais eles nesont p as bones careles	---|---|-|---|-⌫-|----|--|---|
n esontpasfaitesde bon	-⌫|---|--|-----|-|--|
dec eestke	-|-⌫|--|-|
la ueriteiz	-|-------|
dist eleuuangilesetesoez est	---|-|--------|-|--|--|--|
f elonst oz tesco rs sera t tenebrous.	-⌫----|-⌫-|--|--⌫-|----⌫|--------||
car can tp eruersees t laint entions kideuant uat	--|---⌫|-⌫------|--⌫|-|---⌫------|-|-----|--|
si estmaluaisetote laoe ureki siut	-|--|-------|---|-|--⌫--|-|---|
ia s oitcekele se mbledroite.	-|-⌫--|-||--|--⌫---|-----||
qu ariequidecest	--⌫-|-|----|---|
h om me kifu tueueizquant	-⌫--⌫-|-|--⌫|-----|----|
i ldonat alsic omla	-⌫|----|---|-⌫-|-|
h ospitaliteitnient	-⌫-----------|----|
auoi r delitiétde loeuredepie teit	----⌫|--------|-||----|-|---⌫---|
mais dela detractiondel	---|-|-|---------|-||
car lasiwanz paine fistconoistre ke	--|-|-----|----|---|--------|-|
cildeuan tal anz reciuemenz	--|-----⌫|--⌫--|---------|
sen z culp e.	---⌫|----⌫||
quarilso nt	---|-|--⌫-|
ki poruec studoientbienfaire parkeilobscu r ent	-|-----|--------|---|----|--|-|-|-----⌫-⌫--|
la grasce de	-|-----|-|
l ourang e	|------⌫|
d a ltrui etilne so ntmie	|-⌫----|-|-|-|--⌫-|--|
pautd elbiencui ilfontmais	---|-⌫-|---|--|-|---|---|
del lo s d ebien do nt il le salt resapr e s sent	--|--⌫|-⌫|---|--⌫-|-|--⌫|---⌫--|---⌫-⌫-⌫---|
queile chos ege aesme cesthommeki	-----|----⌫|-|----|---|----|-|
lo maligneespirreceuten hosteilmiezauoi rentendut	-|------|----|-----|-|------|---|----⌫|-------|
aprisementkea l oeur e park e ilseroit	|--------|-|||----⌫|--|-⌫|-|-----|
ueuz mieldres choses	---|-------|-----|
a uoir faitke lieue s keskeilreceustcelui	-⌫---|---|-|-|---⌫-⌫--|-|-|------|----|
cuilihom d elsanior fortunatusauoitforsboteit.	--|-|--|-⌫-|-----|---------|----|---|-----||
ensi estcomditest.	---|--|--|--|--||
fi nsd eloeurep roeuet keli	--⌫-|-⌫||----|-⌫-----|-|-|
reciuemenznefut pas	---------|-|--|--|
nezenoeure .	--|-|----||
a unaltretensquantu nshom auoit	|-|----|---|----|-⌫-|--|----|
pe rduelal umiered es oezi lfut ameneiza	--⌫---|-|-⌫-----|-⌫-|--|-⌫|--|------||
luisidemandatlaiuede saproiereet	--|-|-------||---|-|-|------|-|
quarcantli	---|---|-|
h omdeufaite lorisonempres satazoezde	-⌫-|--|----||-----|------⌫--|-|--|-|
celuienhel e m entrendu e	----|-----⌫-⌫-⌫--|-----⌫|
l alumieresenalatdeses oez	-⌫|------||-|---|-|--|--|
lanuizdauogleteit.	-|---||---------||
estre cezchoses li cheualzd	----|--|-----|-|------||
un c he ualierfu ttorneizen deruerie ensi	-|-⌫--⌫-----|--⌫|------|-|-------|---|
keil au isunkes deazpl uisorspoutestr e	-|-|--⌫------||--|--⌫-----|---|----⌫|
tenuz maisceazcuiilunkes pout	----|---|---|--|-|----|---|
e n uair lur menbr esde schirat de	-⌫-⌫---|--|-----⌫-|--⌫------|-|
s es mors.	-⌫-|---||
dunkes lic heualz loiezenalc une m aniered eaz pluisors	-----|-|-⌫-----|----|-|---⌫--|-⌫-----||--|-------|
futam eneiza lommededeu	--|--⌫----|||---|-|--|
liquei zm aneskilaestend uemaindonat a	-|----⌫|-⌫---||-||------⌫-|---|----||
so n chie f l ens enge de lacroizsi muat tote	--⌫|----⌫||---⌫---|-|-|----|-|---|---|
sa f orsenerieentraitablete it	-|-⌫--------|-|-----------⌫-|
sikeilenapres f ut plussu eiz	---|-|-|----|-⌫-|---|--⌫--|
fustdeuant cele	---|-----|---|
deruerie .	-------||
dunkeslich eualiers	-----|-|--⌫-------|
soncheualcui il ui tpar	--|-----|--|-|--⌫|--|
enhe lcoma ntdemiracle es t remueitd e	----⌫|----⌫-|-|------|--⌫-⌫-|----|-⌫|
sa derueriepensa t	-|-------|-----⌫|
offriracelmeism esaint hom me.	-----||--|-----⌫|----|---⌫-||
refus a t uoloiraprendreeticil	-----⌫-⌫|-----||------|-|---|
perseueraten proier es	---------|-|------⌫-|
offrande ne fustde spitieli	-------|-|---|--⌫-----|-|
sainzhomtint	----|--|---|
lamoien euoiede sdouspartie set si oitl a	-|-----⌫|---|--⌫|---|------⌫|-|-|--|-⌫|
proiere delcheua lieret	------|--|-----⌫---|-|
si refusat apr en drelodon	-|------||--⌫--⌫--|-|--|
demo str eieuertu tquar anz oisd onatlodigne	----⌫---⌫--|-----⌫|---|---⌫--|-⌫---|-|----|
priseten apresprist	---|-|-|----|----|
lo cheual kia lui futofferz	-|-----|-||--|--|-----|
quarp artant ke	---|-⌫-|---|-|
il lo ueoitestrecontristeitseil nel	-|-|----|----|----------|-|-|-||
p arla cariteitkilo destrainstachatatce	-⌫-|-|-------|-|-|---------|------|-|
auoitp asm est ier	----|-⌫-|-⌫---⌫--|
etc e nedoi	-|-⌫|-|--|
pastaisir d es uertuz decest homm equa runspoures	--|-----|-⌫-|-----|-|---|----⌫|---⌫|--|-----|
uielh arsfut amen eiza moietensicom la	-----⌫--|--|----⌫--||--|-|---|--|-|
paroledesuielharstoztensamoi so l t	-----|--|-------|--|---||--|--⌫-⌫|
estreamiablege dem andai ce lui studiouseme n tdontilas to it.	----|------|-|---⌫----|--⌫--|-----------⌫-⌫|---|-|--⌫--⌫-||
l iq ueizre spon di t soiestrede	-⌫|-⌫---|--⌫----⌫--⌫|--|----|-|
la cite it tu dertine.	-|----⌫-|--⌫------||
demandepereconustufortuneit lo	------|---|----|-|--------|-|
l iqueizdist	-⌫|----|---|
ge l conuet	-||---|-|
bienlo conu.	---|-|---||
dunk esi oinsge	----⌫-|-⌫---|-|
ap resgetoi proi	--⌫--|-|--|---|
di setuconus	-|-|-|----|
alcunsdeses miraclese t a moides irantfaiconoistre	-----|-|--|-------|-⌫||--|---⌫----|--|--------|
qu eizhomilfut.	--⌫--|--|-|--||
liq ueiz disti cil	-|-⌫---|---|-⌫--|
ho mfutloinzdes	--⌫|--|----|--|
homes cuinosor u eons.	----|--|--|-|-⌫---||
ca r to tcekeilproiat l o	--⌫|--⌫|-|-|-|-----|-⌫|
totpoissantdeuce pristil alsicom	----------|--|-|----|-|---|--|
il loproia t.	-|-|-----⌫||
delqueilgeraconteraicest	--|----|-|---------|---|
un miraclekiorenpresen t	-|------|-|-|-|------⌫|
cortamon cor age .	---||--|---⌫--||
q uar en unior uinren tligoth ed eleiz	-⌫--|-|-|--|------⌫|-|----⌫|-⌫----|
la cite ittudertinekisoihasteiuentaz p arties	-|----⌫-|--------|-|--|---------|-|-⌫-----|
derauenne.	-|------||
mai s ilpris entdousp etizenfanz de	---⌫|-|----⌫--|---|-⌫---|-----|-|
laposse ssionla q ueilepos sessions suzgis oital aci	-|-----⌫----|-|-⌫----|---⌫-------|------⌫--||-⌫|-|
deuantditeciteit	-----|---|-----|
tu dertine.	--⌫------||
qu antcefut	--⌫--|-|--|
nu n ciétalsaintismebaronf o rtuneite nh ele mentenuoiats i	--⌫-⌫----|-|--------|----|-⌫-⌫------|-⌫--⌫---⌫---|------|-⌫|
apele i r cez	-----⌫-⌫|--|
meismesgot hes .	------|---⌫--||
les quei z il aparlanzdesueif	--|----⌫|-|-------|-|----|
sermonstudiatanzoisapaisenteir lura spreteit	-----|------|-----|----------|--|-⌫-------|
etenapr esparlat disanz ge uos	-|-|---⌫-|-----|-----|-|--|
donr aiqueil pris keuosuoleiz	----⌫-|----|---|-|--|-----|
etsiren deiz	-|-|---⌫---|
les enfanzonscuiu os aueizpr iset a	--|--------|--|-⌫-|----|--⌫-|-||
moidoneizcestdon	--|-----|---|--|
de uostregrasce .	-|-----|-----||
dunkes icil ki	-----|---|-|
semb leue tes trelur	----⌫----⌫|--⌫--|--|
priousre sponditdi sanz	-----|--⌫------|--⌫---|
nossumesapparelhiét	--|----|-----------|
defairequeilealtre ch os ecui tucomandescarcez	-|----|-----|----|--⌫--⌫|--|-|-------|--|--|
enfanz onsne renderonsnosennu lemani e re	------⌫--|-|--------|--|-|--⌫-|----⌫-⌫-|
m anezatsueiflihonor ables	-⌫-----|----|-|-----⌫----|
homdisanztu	--|-----|-|
m oicontristes etsin	-⌫-|---------|-|-||
o spastonpere.	-⌫|--|--|---||
nemoiuui l hespas con tristeirke c ene	-|--|---⌫-⌫--|--|---⌫-------|-|-⌫|-|
a itatoini entde mestier	-⌫-||--|--⌫--|-|------|
maiscilmeismes got hesparm ananz	---|--|------|---⌫--|----⌫----|
enlafierteit deson cu er se nalat	-|-|-------|-|--|--⌫-||-⌫|---|
en d en o iant .	-|-⌫--⌫-⌫---||
maise l altre i orcant il deuoit	---|-⌫|----|-⌫-|---|-|-----|
forseissirsiuintderechiefal	---|-----|-|---|--------|-|
loquei l de cez	-|----⌫|-|--|
m ei smesparolespro iatlopa resliueskesporles	-⌫--⌫---|------|---⌫--|-|--⌫--|-|-----|--|--|
deua nt dizenf anzon s .	----⌫-|--|---⌫-----⌫||
etquantil en n ulema nieren euoltconsent ira	-|----|-|-|-⌫--|--⌫----|-⌫|---|-------⌫-||
re ndredunkes distliueskes contristei zge saike c e	--⌫---|-----|---|-|-----|----------⌫|-|--|-|-⌫|
netoiatpas me stierketut	-|--|-|--|--⌫----|-|-||
enuasmoicont risteit.	-|--|--|----⌫------||
par olesde spitatligothes et	---⌫---|--⌫-----|-|-----|-|
il retor n eiz	-|-----⌫-⌫--|
a so nho steilceazmeismesenfanz	|--⌫|--⌫----|---|------|-----|
d e cuia stoittraiti ét mis sorcheuazenuoia t	-⌫|--|-⌫----|------⌫--|--|--|-----|------⌫|
deuan ta uocse s hommes.	-----⌫|-⌫--|--⌫|-----||
eti lmane sm on tanzlo che ual sewit apre s.	-|-⌫|----⌫|-⌫--⌫---|-|---⌫--|----|----⌫||
etquant ile n celemeismeciteit	-|----|-|-⌫|---|-----|-----|
astoituenu zdeuant la glisedelbieneuro usapostele	-----|----⌫|-----|-|----|--|--------⌫-|-------|
perrondunk es	-----|----⌫-|
g laza tlipie z desoncheua l.	-⌫----⌫|-|---⌫|-|--|-----⌫||
li qu eizchai t auocluie t	-|--⌫--|----⌫|---|--|-⌫|
coissedecelui brisat sike	-----|-|----|-----|---|
liosas toitp ar tizen	-|-|--⌫---|-⌫--⌫--|-|
douspartie s .	---|------⌫||
dunkesfutil	-----|--|-|
leueiz entreles mainsetremeneizasonhosteil .	-----|----|--|----|-|-------||--|------||
li quei zen uoiathastius siremenat	-|----⌫|--⌫----|------|-|------|
lesenfa nz cuiil auoit deuant en uoiét et	--|----⌫-|--|-|----|-----|--⌫-----|-|
lhonorableb aro n	|--------|-⌫---⌫|
fort uneitdisanz geto iproi	----⌫----|-----|-|--⌫|---|
pereenuoie amoito n diake ne.	---|-----||--|--⌫|-----⌫-||
lidi akene s de l ueskequan tilastoit uenuzalgisant	-|--⌫-----⌫|--⌫|----|----⌫|-|-----|----|-|-----|
dunkesamenatenme iles enfanzlesqu eizdet ot	-----|-----|----⌫|--|-----|--|--⌫--|-|-⌫-|
en tot auoit	-|--|----|
denoiét ke il	-------|-|-|
neles rendero it pas al	-|--|-------⌫-|--|-|
ue ske si les rend ita	--⌫--|-|--|----⌫-||
so ndiakenedisanz	--⌫|------|-----|
amon sa nior	|--|--⌫---|
loueskeporue c ketumaldesis a moielleuosge	-|----|-----⌫|-|-|-------||--|------|-|
maisreprentl esenfanzcui tude mandas e t	---|------|-⌫-|-----|--|-|--⌫-----|-⌫|
sip roiepormoig etoi pro i.	-|-⌫---|--|--|-⌫|--|---⌫||
gieresli diaken es prislesenfanzre m en a talues ke	-----|-|------⌫-|---|--|-----|--⌫-⌫--⌫-⌫|-|---⌫-|
a cuimanesli honorables fo r t un eizdonat	|--|----|-|---------|--⌫-⌫-⌫--⌫--|----|
aigue benite disanz uamultto stsigette	----|-----|-----|-|---|--⌫-|-|----|
cele iso rl o	----⌫|--⌫|-⌫|
co r s del	--⌫-⌫|--|
gi eres senalatli diakenes al gotheet il	--⌫---||-|---|-|-------|-|----|-|-|
deuenze ntreizesparst lai gueben ite sor les menbr esde	-----|-⌫-----|------||--⌫--|---⌫--|--|--|-----⌫-|-|
lai guebenite tochat la coiss edel gothe	|--⌫--|-----|-----|-|-----⌫|--|----|
tote lab risurefut	---|-|-⌫-----|--|
en si fermeie etlacois se	--⌫-|------|-|-|----⌫-|
restab liea ladeuantr ienesalutke	------⌫--||-|-------⌫---|----|-|
i lencelemeismehores oi	-⌫|-|---|-----|---|-⌫-|
leu atdellitetlo	---⌫-|--|--|-|-|
cheualmonte itf a i soitlacomencieuo ie	-----|-----⌫-|-⌫-⌫-⌫---|-|-------|--⌫-|
alsi co m ilunk es neust	---|--⌫|-|---⌫-||---|
soffertalcu neblezuredeson cors	------|----⌫-|------|-|--|---|
etf aitest	-|-⌫--|--|
kecilk ineuolt alsaint h omme fortuneitrendre	-|--|-⌫|-|---|-|----|-⌫---|--------|-----|
auoc p rislesenfanzsug eza	---|-⌫--|--|-----|---⌫-||
obe dienceke il	---⌫-----|-|-|
lesd onat senz	--|-⌫---|---|
prisdessozmeneizpar p oin e.	---|-----|-----|--|-⌫---⌫||
gieresquan tces chozes	-----|----⌫|--|-----|
furent fine iesdunke sestudiat	-----|----⌫--|-----⌫|-------|
li uielharsencorr aconte irdel uialcunes	-|-------|----|-⌫------⌫-|-|-⌫-|------|
maisp artant	---|-⌫-|---|
alcan tastoient pr esenz az qu eiz	-----⌫|-------|--⌫----|-|--⌫--|
enhor teir geastoieo ccupeizetiaa stoit	-----⌫---|-|-----|-⌫------|-|-|-⌫----|
uenue p lushoredelior	----|-⌫--|---|--|--|
sinemoiliut pasl onge m entoirles faiz	-|-|--|---|--|-⌫----⌫-⌫--|--|--|---|
d elh onorable	-⌫||-⌫-------|
fortuneitlesqueiz g euu e lh toztenzoirsi ce	--------|--|----|-⌫|--⌫-⌫-|--|---|--|-|-|
maisenlaltreior cilmeismesuielhars racontat	---|-||----|--|--|------|-------|-------|
deluiunechoseencorplus	-|--|--|----|----|---|
meru ilhouse disanzenicelemeismecitei ttudertin e	----⌫------|-----|-|----|-----|-----⌫|--------⌫|
marcellus unshomdebone oeuremanoitauocsesdous	--------|--|--|-|---|----|-----|---|--|---|
li qu eiz ue na ntlomaldelcor sme ism eiaauesp rissa nt	-|--⌫--|--⌫--⌫-|-|--|--|---⌫|--⌫---⌫|-|-----⌫-----⌫-|
lotr ess aint sethmedi	-|--⌫-|-⌫---|-------|
dela paske fut mor s.	-|-|----|--|---⌫||
cui corspartan tkeil astoitlonz	--|---|--|---⌫|-|-|-----|---|
aporteirne po utpas en celmeismeior	|------|-|--⌫-|--|-|--|-----|--|
estreenseueliz.	----|--------||
et quant mor a nce ast oitdel	-|----|---⌫-⌫--|---⌫--|--|
te nsaparemplir ladettedelasepult urelesserors	--⌫-||--------|-|----|-|-|------⌫--|--|-----|
deceluiaf flitesdesamort	-|----|--⌫-----|-|-|---|
corurentplora nzal hon orablebaron	-------|-----⌫-|||---⌫-----|----|
fo rtuneits icomencerenta	--⌫------|-⌫|----------||
crieirag r andes u oiz	-----||-⌫-⌫----|-⌫--|
aluinossa uonsketutie nsla	|--|--|--⌫---|-|-|---⌫-|-|
uie d esapost e les tunettoies	--|-⌫-|-----⌫-⌫--|-|-------|
les lepr ous tuillumines l esau o gles	--|----⌫--|-|--------|-⌫-|--⌫-⌫---|
uienets ire su scitenostre	---|-|-⌫|--⌫--⌫----|-----|
k imaneskeiloi t	-⌫|----|-|-|--⌫|
lur frere es tre	--|----|--⌫--|
mortdunkes	---|-----|
comen za tet il meismesa	-----⌫--⌫|-|-|------||
plore ir deceluisilurrespond i tdisa nz ale izd e	-----⌫-|-|----|-|--|-------⌫-⌫|----⌫-|---⌫-|-⌫|
cietned it espascez chosescar ce	-|-|-|-⌫--⌫-|--|--|-----|--|-|
estlicomanz de l	--|-|-----|--⌫|
totpoissantdeuacuinepuetnuzdes	----------|--||--|-|---|--|--|
h ommesenc ontre aleir.	-⌫----|---⌫----|----||
etquan tceless e nfurentaleiess i re mei s tli	-|----⌫|----||-⌫|-----|-----|-⌫|--⌫---⌫-⌫|-|
ueskes dolenzdela mortde	-----|-----|-|-|---|-|
m ais enl a pr e ssiw ant	-⌫--|-||-⌫--⌫-⌫|---⌫--|
iordel diemenge deuant lalbe	--|--|-------|-----||---|
de liorleua nt apelats esdous diakeness i uint	--⌫|--|----⌫-|-----|-⌫-|---|-------|-⌫|---|
alamaisonde lmort	|-|-----|--⌫|---|
ilaproch atal liuuli	-|------⌫-|-|--||-|
cor sgisoi tse nzanrme	---⌫|-----⌫|--⌫-|----|
soidonateno rison.	--|----|-|-⌫----||
etquantilout fait esaproi ere	-|----|-|--|----⌫|-|----⌫--|
dun kessoile uatetsisistdeleizlo	---⌫--|--|--⌫--|-|-|---|-----|-|
cors delm ort .	---|--|-⌫--||
etnientpargra ndeuoiz	-|----|--|---⌫--|---|
uochat lomo rtparsonnomdisanzfrere marceaz.	-----|-|--⌫-|--|--|--|-----|----|------||
eticil alsicomsu eif	-|---|---|--|--⌫--|
dormanza lauoisine	------||-|------|
u oizi a soitcekepetitefust esue ilhie z	-⌫--|-⌫|---|-|-|-----|---|----⌫-----⌫|
aour itmanesl esoezetilregardanzal ueske	----⌫-|----|-⌫-|--|-|-|--------|-|----|
okea s f ait	|-|-⌫|-⌫--|
acuires pondit li	|--|---⌫-----|-|
ue s kesdisanzkeai gefait	--⌫-⌫--|-----|-|-|-|---|
e tici ldistel iord	-⌫|---⌫|---|-|--||
ieruinrentilduikimoigetter entfors	--|------|-|--|-|--|------⌫--|---|
delcorsetmenerentenu nbon	--|---|-|-------|-|-⌫|--|
maishui futu n s enuoiezkidistr emeneiz	---|--|--|-⌫-⌫|------|-|---|-⌫------|
lo carli ue skesfort uneiz	-|--|-|--⌫---|----⌫----|
uintensamaison .	---|-|-|-----||
otparempliescez paroles manesg uarit de sa enfermeteit	-|---------|--|------|----|-⌫----|-|-|----------|
etsimeist en ceste	-|-|----|-|----|
uiep luslon gement.	--|-⌫--|---⌫-----||
e tnekedentnedoit	-⌫|-------|-|---|
l ompas croireke	-⌫-|--|-----|-|
ilpe rdi tlo liu	-|--⌫---⌫|-|--|
cuiil auo itpriscar n estpas dotousec hose	--|-|---⌫-|---|--||--|--|------|-⌫---|
par lesproieresdeso nproiorpot	--|--|-------|-|--⌫|-----|--|
miez ui ureapressamort kietd euantsa	---|--⌫--|----|-|---|-|-|-⌫----|-|
mortst udiat p lais ira lt o tpoissan tdeu.	---|--⌫----|-⌫----⌫-|-⌫|-⌫-⌫--------⌫|--||
mai sporcoidi sonsno s	---⌫|--|--|--⌫---|--⌫|
desauie pluisorsch ose squantnos	-|-|--|-------|--⌫---⌫|----|--|
ioske s aoralcors dece luite nonstan e nsengemenz	-----⌫||-|-|---|-|--⌫--|--⌫---|--|-⌫---------|
quardesloier ce azki ontlesdiables	---|-------|--⌫-|-|--|--|------|
gua rirl e smal ade sq uant esfoiesom lipro ietpar la	---⌫--|-⌫-⌫|---⌫---⌫|-⌫----⌫-|----|-|-|---⌫--|--|-|
foidalsicomiluiuanz	---|---|--|-|-----|
auoita cc onstumeita faire	----|-⌫--⌫--------||----|
senzentr elaissement e nsipers eueret a ses mortes	---|----⌫----------|-⌫--|----⌫-----||--|-----|
mais i l moiplaistpieresencorazpartiesde	---|-⌫|--|-----|-----|----|-|------|-|
lacontrei eu aleireremene ir	-|-------⌫|-⌫-----|------⌫-|
lesparolesde manarration	--|------|-|-|--------|
de s que iz moi auint	--⌫|---⌫-|--|----|
a u oiroit	-⌫-⌫--|--|
m ultgrandesmiraclesdela boche	-⌫--|------|-------|-|-|----|
delho norablefo r tuneitcu ir amen brancefislo nz	-||--⌫------|--⌫-⌫-----|--⌫|-⌫----⌫-----|--|--⌫-|
cides soure.	-|---⌫----||
kis oue ntesfoizi oskesoramoi	-|-⌫---⌫---|---|-⌫----|-||--|
uenanzqua ntila mo i racontetlesfaizdesuiel hars	-----|---⌫-|-||--⌫|-------|--|---|--|----⌫---|
s i moisoletde	-⌫|--|----|-|
nouelerefe ction.	-----|----⌫----||
quarunsfute n	---|--|--|-⌫|
celemeismecontreiemart yriusparnom	---|-----|-------|----⌫----|--|--|
multd euozserianz de ltotp oissantdeuki	---|-⌫---|------|--⌫|----⌫------|--|-|
donatces teense ngedel tesmoi n	----|---⌫-|----⌫--|--|------⌫|
d esauertut.	-⌫|-|-----||
q u antpar un ior li f rere	-⌫-⌫--|--|-|--|-|-⌫---|
d ecelu i o rent fait	-⌫|----⌫|-⌫---|---|
un paindeso zlescendres etobli eitemp resseira	-|---|----⌫|--|------|-|----⌫--|---⌫------||
luilensengede la croiz	--||------|-|-|----|
alsi com en	---|--|-|
celecont r eie lescrus painssolentens engierd	---|----⌫-⌫--|--|---|----|-----|---⌫-----||
unfustpar keilsoientu eutes trepartitpar	-|---|--|-|-|-----|-⌫--|--⌫--|-----|--|
quatreq uartierscil	-----|-⌫-------|--|
m eismesserianzde deu	-⌫-----|------|-|--|
fut presenzet	--|------|-|
siconutparmiea zraco ntanz keil ne	-|----|----|--⌫|----⌫----|-|-|-|
fu tpasens engiez.	--⌫|--|---⌫-----||
etquan t iacilpai nsastoitc ouer zdecarbonse t	-|----⌫|-|--|---⌫-|-----|-⌫----⌫|-|------|-⌫|
dec endresdunkesdist porcoi ne	-|-⌫-----|-----|---|--|--|-|
lauei z uosens engie ́t	|----⌫|--|---⌫-----⌫-|
lique i zcezc hoses disanz	-|---⌫-⌫|--|-⌫----|-----|
l ensengede	|------|-|
lacroizfi st	-|----|--⌫-|
de sondoitencontrelescherbons.	-|--|---|-------|--|-------||
liq ueizpainsc antfutensengiezenhe le m entdonatun grand	-|-⌫---|----|-⌫--|--|--------|----⌫--⌫-⌫--|----|-|----|
sonalsicom unsgra nzpozeust	--|---|--|--|---⌫-|--|---|
s o nei t elfou.	-⌫-⌫---⌫|-|--||
liqueiz painscuizquant il e na p res futfor s	-|----|----|---|----|-|-⌫|-⌫-⌫--|--|---⌫|
traizdelfousi	----|--|--|-|
fu ttroueizense ngiez	--⌫|------|----⌫----|
dece le croiz cuine fis t	-|--⌫-|----|--|-|---⌫|
pasli a tochemen zmaisla foi z.	--|-|-⌫--------⌫|---|-|---⌫||
encel meisme	-|--|-----|
li u alsiment un euazestditeinterrorinekides	--⌫|-------|--⌫|--|--|---|----------|-|--|
p lu isorspar	-⌫--⌫----|--|
