Carleslireisnos tre	-----|-|---|---⌫--|
Espaign enau run tdemort guarant	-------⌫||--⌫---⌫|-|---|------|
OliuerDiçones aiioblasme	-----||---|-|-⌫-|-|-----|
Ioaiueütl es	-|-|----|-⌫-|
S a rrazins d	-⌫-⌫------||
Esp ai gne	---⌫--⌫--|
C uuerz en suntliuale	-⌫----|-|---|-|--||
lesmun ta igne s E lilarize	--|---⌫--⌫----⌫||-|----||
trest utes les plaign es	-----⌫---|--|------⌫-|
Granz sunt	----|---|
l es ozdecele g entestrange	-⌫-|-|-|---|-⌫--|-------|
au ummu lt	--⌫-|--⌫-|
petite cumpaigne	-----|--------|
Mi stalenz enest g raigne	--⌫|-----|-|--|-⌫-----|
Da mnedeunesesang le s	--⌫-----|-|--|---⌫--⌫|
Que iapurme i perd et	--|-|--|--⌫|----⌫-|
Melzuoeillmu rir quehuntage me	---|-----|--⌫--|--|------|-|
Pur benf erir lemp erereplus	--|--|-⌫---||---⌫----|---|
Rollant estpro ze	------|--|---⌫||
Oliue rest sage	-----⌫|--|---|
Am bedui untm erueill usuasse lage	--⌫----|--|-⌫-------⌫-|-----⌫---|
asche ualseas arme s	-|---⌫---||-|----⌫|
Iapur murirneschi ue r unt ba taille	-|--|----||-----⌫--⌫-⌫--|--⌫-----|
licunteel ur paroles	-|----||-⌫-|------|
Fel u npaie npargrantirur cheualchent	---⌫-⌫|----⌫|--|----|---|----------|
Rollan t ueezenalques	------⌫|---|-|-----|
Cistnussunt pré s mais tropnuse s t	---|--|---|----⌫|---|---|--|-⌫-⌫|
uost re olifan suneruos nel deignastes	----⌫-|-----|----|--|--|---------|
Fustil irei s	---||-⌫|---⌫|
nioüssumdamage	||------|-----|
Guardezamuntdeuerslesporzd	------|----|-----|--|---||
uee ir poezdolenteest la rereguarde	---⌫-|---|------|--|-|---------|
Kic estefait iamaisne n fer ataltre	-|-⌫---|---|-----||-⌫|---⌫-|----|
tel ultr age	--|----⌫--|
Mal seitdel coerki elpizse	--|---|--|---|-|-|--|-|
Nusremeindrumenesta l enlaplace	--|---------|-|----⌫|-|-|----|
Parnosiert	--|--||--|
colpselica ples	----||-|--⌫---|
Rollantueitque	------|---|--|
bataille se rat	-------|--⌫--|
Plusse faitfiers que le on	---|-|---|----|--|--⌫-|
Franc eisescriet	-----⌫--|------|
Oliuerapel at	-----|----⌫-|
Sire cumpainz amisne ldireia	---|-------|---|--⌫|---|-|
Liem perere ki	-|--⌫-----|-|
Franceisnos lais at	-------|--|----⌫-|
XX.miliee n mi sta u ne	--|----|-⌫|--⌫-||-⌫-|
Sunes c ï entr e nen ioutun cua rd	--|--⌫-⌫--⌫----⌫||-||--|-|---⌫-|
Pursunseignu r de it	--|--|------⌫|--⌫-|
humsusfrirgranzmalsEendu rer e	--|------|----|---||----⌫--||
forz frei zegranz c halz	---|----⌫||----|-⌫---|
Sindeit homperdr e del s ance d e	--|---|--|-----⌫|--|-⌫--||-⌫|
Fi erde ta	--⌫-|-|-|
lanceeiode	----||-|-|
M abonees pee quelireis medu nat	-⌫|---|--⌫--|--|-|---|-|--⌫--|
i moerc direpoe tkilau r atque	|----|---|---⌫|-||--⌫-⌫-|--|
e l e fut anobleu a s salD altre	-⌫-⌫|--||----|-⌫-⌫-⌫--||----|
p art est li arceue squ es	-⌫--|--|-|------⌫---⌫-|
Su ncheualbrocheemuntetunlariz	--⌫|-----|-----||-----|-|----|
Franceisapeletunsermunl ur ad	-------|-----|-|-----|-⌫-|-|
Seignursbaruns	-------|-----|
Carl esnus	----⌫-|--|
laissatc i	------|-⌫|
Purnost rereideuu mn us ben muri r	--|----⌫-|--|----⌫|-⌫-|--|----⌫|
Chrestïen tetaid ezasustenir	----------⌫--|---⌫-||-------|
Batailleaur ez uosen	-------|---⌫-|--|-|
estes tuz fi z	----|--|--⌫|
oilzueezles	---|---|--|
Cl amezuo z	--⌫---|--⌫|
cu lpess ipreiez	--⌫---|-⌫|-----|
Asoldraiuozpuruozanmesguarir	-------|--|--|--|----|-----|
Se u os murezestere z seinzmartirs	-|-⌫-|----|------⌫|----|------|
Si egesaurezelgrei gnor pareï s	--⌫---|----|-|----⌫---|------⌫|
Franc eisdes cendent	-----⌫--|---⌫------|
ate resesuntmis E larce uesque	|--⌫-|-|---|--|||----⌫-----|
Deules beneïs t	--|--|-------⌫|
Par pen itence lescumandetaferir	--|---⌫-----|--|-------||----|
Fra nceissedrecen tsiseme tentsur piez	---⌫----|-|------⌫|-|-|--⌫---|--|---|
Bensun tasols eq uit es de	--|---⌫|----||-⌫---⌫-|-|
l u r pecch ez Elarceuesquede	-⌫-⌫|-----⌫-|||---------|-|
Deul es ad seignez	--|-⌫-|-|------|
Puissuntmun t ezsur lu rcuranzdes tr ers	---|---|---⌫-⌫-|--|--⌫|-----|---⌫--⌫--|
Adobezsuntalei	-----|---||--|
de cheualer s E	-|--------⌫||
debataill e sunttuitapareillez	-|-------⌫|---|---|---------|
Ro llan t apelet	--⌫----⌫|-----|
S ire cumpainz mult benle sauïez	-⌫--|-------|---|--|-|------|
Guenelunnos adtuzespi ̈ez	-------|--|-|--|----⌫--|
Prisenadore	---|-|-|-||
aueir edeners	----||-----|
Liemperere	-|-------|
nosdeureitbenuenger	--|------|--|-----|
Marsilie den os	-------|-|-⌫-|
ad fait marchet	-|---|------|
Mais a sespeesl estuuratesleg er	---|-⌫|-----||-------|-----⌫-|
Espaigne en estpass et	-------|-|--|----⌫-|
ueill antifsun boncheualcurant	-----⌫----|--|--|-----|-----|
P ortetsesarmesmultli	-⌫----|--|----|---|-|
s untauenanz	-⌫--|------|
Maissunespiet uaitli be rs p almeiant	---|--|-----|---|-|--⌫-|-⌫-------|
Cuntrelecie luait lamure turnant	-----|-|---⌫|---|-|---|------|
Lacieten suun gu n fanun	-----|-|-|-|--⌫-⌫----|
Le srenges li batentio squ asmains	--⌫|-----|-|-----|--⌫--|-|----|
Corsadmultgent leuis	---|-|---|---|-|--|
clere riant	---||----|
Suncumpaignun aprés le uaitsiu an tE	--|---------|-----|-|---|---⌫--⌫||
Fra ncelecleimenta	---⌫--|-|-------||
Sarrazi nsregua rdetfierement Eue rs	-------⌫-|-----⌫---|--------||--⌫-|
Franceishumelesedulcement	-------|------||--------|
Silu r add itunmot	-|--⌫|-|-⌫-|-|--|
curte isement	-----⌫------|
Sei gnurs ba ronssuefpa s alez tenant	---⌫----|--⌫---|---|--⌫|---|-----|
Cist paienuontgr antmatirie querant	---|----|---|--⌫--|------|------|
Encoiaurumuneschecbele	----|----|-|-----|--||
Nuls re isde	---|--⌫-|-|
Fra nce no utunkes siua illant A	---⌫--||-⌫-|----|-|--⌫-----||
cez paroles	--|------|
uuntles ozaiusta nt	---|--|-|------⌫-|
Oliu er N ai cure	----⌫-||-|---|
deparl e r	-|----⌫-⌫|
uo streolifanne	--⌫---|-----|-|
deignast es s u ner	--------⌫-|-⌫-⌫--|
Carlu n mie	-----⌫|--|
uo snenau ez	--⌫||-|--⌫-|
se tm otniaculp es l i	--⌫|-⌫-||||----⌫-|-⌫|
Cilki lasuntnefuntmi e a blasmer	--|-|-|---|-|---|--⌫||------|
Karcheualchezaqu an queu os	--|---------||--⌫--⌫--|-⌫-|
Seignorsbar unselcampuos	-------|---⌫--|-|---|--|
Deuuospri ben seiez purpensez	--|--|--|--|----|--------|
Decolpsferir dere ceiu reededunerL enseign e	-|----|----|-|--⌫----⌫-||-|----||-------⌫|
Carle ni d euumublïer	----|||-⌫---|------|
A icestmo tsunt	|----|--⌫|---|
France isescrïet	------⌫-|-------|
Ki dunc oïst	-|---|----|
M unioiedemander	-⌫-----|-------|
De uasse lagelipoüst	-|-----⌫---|-|-----|
Puissi cheualchent	---|-|----------|
sigrant fiertet	-|----|------|
Br ochentad ait	--⌫-----|-|--|
purleplustostaler	--|-|---|---|---|
S iuun tferirquefer eientilel	-⌫|---⌫|----|--|---⌫----|-|-|
Sarrazins nesunt	--------|--|--|
F rancsepaien sasles uus	-⌫----||-----⌫|-|--|--|
Marsilieila d numAëlroth	-------|-|-⌫|--|-------|
Tut pre mereinscheualchetdeuant	--|---⌫------|---------|-----|
Fra nceisu aitdisantsimalsmo z	---⌫----|-⌫--|-----|-|---|--⌫|
Franceishoi	-------|--|
iusterezas noz	-------|-|--|
Tr aïtuosad kia	--⌫---|--|-|-||
gu arder uo s out	--⌫----|--⌫|--|
Fols estlireiski uos	---|--|-|---|-|--|
la issat a sporz	--⌫----|-⌫|---|
Enquoi p erdrat	-----|-⌫-----|
Francedu lcesunlos	-----|--⌫--|--|--|
Charlesli magnesledestr e	------|-|-----|-|-----⌫|
braz d el cors	---|-⌫-|---|
Deussigr antdoelen out	---|-|--⌫--|---|-|--|
Sun cheual	--|-----|
bro c hetlaisetcurreaesforz	---⌫-⌫--|-----|----||-----|
fer irliquensq uanqueilpoutL e scutlifreint	---⌫-|-|----|-⌫-----|-|---||-⌫---|-|-----|
elosb ercli	||---⌫--|-|
T ren chetle pizsilibrisetlesos	-⌫---⌫---|-|--|-|-|-----|--|-|
eschinelideseuretdel do s	------|-|-------|--|--⌫|
Odsunes pietlan mel igetet fors	-|--|--⌫---||--⌫-|-⌫|----|---|
E npeint l eben faitlibrandirle c ors	-⌫-----|-⌫|--|---|-|------|-|-⌫--|
Plei n esahanste	----⌫-⌫|-|-----|
delche uall abat	--|---⌫--||---|
Endousmeitiezliad	-|---|------|-|-|
Neleserat çoditq ue	-|------|--|--|-⌫-|
Ultreculuert	----|------|
Ca rlesn estmiefol	--⌫---||--|--|--|
Netrai ̈sununkes am erne	-|----⌫---|----|--⌫-|-|
Ilfistqueprozquilnus laisad aspo rz	-|---|--|---|-|-|--|-----|-|--⌫-|
Francedulc esunlos	-----|----⌫|--|--|
Francs nostreestli p remer s col ps	-----|-----|--|-|-⌫-----⌫|---⌫-|
N os auumdrei tmais cistglut ununttort	-⌫-|---|----⌫|---|---|----⌫-|--|---|
ie s tsiad	|-⌫-⌫|-|-|
F als ar on	-⌫---⌫--⌫-|
Icil erfrerealr ei	---|-|----|-|-⌫-|
Iltin tlate re	-|---⌫|-|--⌫-|
Suz cel nen at plus	--|--|--|-|---|
encrisme f elu n	-------|-⌫---⌫|
E ntreles dousoilz mult	-⌫---|--|---|---|---|
outlargelefr ont	--|----|-|--⌫--|
pied mesurer ipo u t	---|------||--⌫-⌫|
Asezadd oel q uantui t	---|-|-⌫--|-⌫---|--⌫|
morts unneuold	---|-⌫-|-----|
Ist de l aprese	--|-|-⌫|----|
sisemet enbandunE	-|-|--|-|-----||
sies cri etle nseig ne pa ie nor	-|--⌫---⌫-||-⌫-----⌫-|--⌫--⌫--|
Fr anceis est multcuntrariu s	--⌫-----|--|---|---------⌫|
E nquo iperdra t	-⌫----⌫|------⌫|
Franced ulceson ur	-----|-⌫---||--⌫-|
Oliu er si nadmult grantirur	----⌫-|--⌫|-|---|----|---|
Lecheual brochetdesor i ezesperu ns	-|-----|------|--|--⌫-⌫-|------⌫-|
uai t lef eriren	---⌫|-|-⌫---|-|
baron Lescut l i freintelosberc li	----||----|-⌫|-----|||-----|-|
limetlespansdel	-|--|--|---|--|
Pleine saha nst el	-----|-|--⌫---⌫||
abatmort des ar çuns	---|---|--|--⌫----|
Guardet atereue it gesirle	------||---|--⌫-|----|-|
Siliaddit p arm u l t	-|-|-|--|-⌫-|-⌫-⌫-⌫|
fie re raison	---⌫-|-----|
manac esculue rtionaiessoign	-----⌫-|-----⌫-|-||-|------|
Francs k art r ésbenlesueintrum	-----|-⌫-|-⌫-⌫--|--|--|-------|
Munioieescrietçoestlensei gne	------|------|--|--||-----⌫--|
Un s re isi estsiad num	--⌫|--⌫-||--|-|-|--|
Corsab lix	------⌫--|
Barba rinse st d un estrage paï s	-----⌫---|-⌫-||-|------|----⌫|
Siapeladle ́	-|-----|--⌫|
Sarr azins	----⌫----|
Ce ste batailleben lapu um	--⌫--|-------|--|-|--⌫-|
Franceisiadase z petit	-------||-|---⌫|----|
Ce lski ci s untdeuumaueirmult	--⌫-|-|-|-⌫--|----|----|---|
Charles niert	------|||--|
u nsulguarit	-⌫|--|-----|
O r estleiurqu els	-⌫|--|-|--|-|--|
estuu ratm urir	-----⌫--|-⌫---|
Be nlen tend it	--⌫||--⌫----⌫-|
liarceuesques	-|----------|
S uzcieln athumequetant uoeill ethai ̈r	-⌫-|---||-|---|--|---|------⌫-|---⌫-|
S un che ualbrochetdese sp erunsdorfi n	-⌫-|---⌫--|------|--|-⌫--⌫----||-|--⌫|
Pa r grant uertutsil	--⌫|----|-----|-||
estaletferirL e scu tlifreinst losbercli	--|---|----||-⌫---⌫|-|------||-----|-|
descu mfist	-----⌫----|
Sun grantespiet	--|----|-----|
lecorslimist	-|---|-|---|
Empeintleb e n quemor t lefait	------|-|-⌫-⌫|--|---⌫|-|---|
P leinesa hanstel abat mort el chem in	-⌫----|-|-----||---|---|-|----⌫-|
Guardet arere uei t le gl utungesir	------|----|---⌫|-|--⌫---|----|
Ne la issera t queni paroltçodit	-|--⌫------⌫|--|||-----|--|--|
Culuertpai enuos iauezmentit	------|---⌫-|--||---|-----|
Carlesmis irenus estguarant	-----|-|-⌫--|--|--|------|
Franceis n unt ta lent	-------||--|--⌫---|
uo zcumpaignunsferu nstrestuz rest ifs	--⌫|----------|----⌫-|------|----⌫--|
Nuuelesuos d i mortuosestoetsusfrir	------|--|-⌫|---|--|-----|------|
Nuldeuusnesublit	--|-|--|-||----|
Cistpremer colpest	---|-----|---|--|
Munioieescri etporle camp	------|-----⌫-|--|-|---|
Ge rinsfiert	--⌫---|----|
Mal primi sde	---⌫-----⌫|-|
f reint la buclede cr istal	-⌫----|-|----|-|--⌫----|
Lun eme it ietli	|--⌫|--⌫--⌫--|-|
turn etcuntreual L	----⌫-|--------||
osberc liru mp tentres que a la charn	-----|-|--⌫--⌫|------⌫--||-|----|
Sunbon espiet enzelcors	--|--|-----|--|-|---|
Li paiens chetcuntreualaunquatLanme de	-|-----|---|--------||-|---||---|-|
luien portet	--|-|-----|
Sa thana s	--⌫-----⌫|
AO IEs iscump ainz	--⌫||-⌫-|----⌫---|
Gerersfiertl amurafleL escutlif reint e	-----|----||-------||----|-|-⌫----||
lid esma ilet	-|-⌫----⌫---|
S unbonespi etlimetenlacuraille	-⌫-|--|----⌫-|-|--|-|-|-------|
Empe in tle	----⌫--⌫|-|
b ienparmi le	-⌫--|--|-|-|
corslipa sset	---|-|--⌫---|
labatelcamppleinesa	|---|-|---|-----|-|
Gente est nostre ba taille	----|--|-----|--⌫-----|
Sansun li du xiluait ferir	-----|-|--⌫|-|---|----|
lalmaçurL escut	|-------||----|
lifrein st	-|-----⌫-|
osbercsneli estg uarant pro d	------|-|-|--|-⌫-----|---⌫|
Trenche tl il e	-------⌫|-⌫|-⌫|
coerlefir i eele pul m un	---|-|---⌫-⌫||-|---⌫-⌫-|
Quemortlabatqu iquenpeist u	--|---||---|--⌫|-|-|----||
arceue sq ue	------⌫--⌫-|
Ci st co lp	--⌫-|--⌫-|
estdebaronE	--|-|----||
Anseïs laisetle	------|-----|-|
che ualcurre	---⌫--|----|
Siuaitferir	-|---|----|
T ur gisde	-⌫--⌫--|-|
Turteluse Lescut li freintdes uz	--------||----|-|-----|---⌫-|
Des unosbercli	-|-⌫-|-----|-|
derumpitles d ubles	-------|--|-⌫----|
Delbonespiet elc o rs	--|--|-----|-|-⌫-⌫-|
limetla mure	-|--|-|---|
Em peinstle	--⌫-----|-|
b entut lefe rlimistul tre	-⌫-|--|-|--⌫|-|---|--⌫--|
Pleine sahan ste	-----|-|---⌫--|
elcamp mo rtletre sturnet Çod ist	-|---|--⌫-|-|---⌫------|--|-⌫--|
C ist colpestdeprod um e	-⌫--|---|--|-|----⌫--⌫|
Enge lersli	----⌫---|-|
Gu as cuinzde	--⌫--⌫----|-|
Sun cheualbroche tsilil aschetlaresn e	--|-----|------⌫|-|-|-⌫-----|-|----⌫|
Siuait ferir	-|---|----|
E scremiz de	-⌫------|-|
escut del col	----|--|--|
li f reinte	-|-⌫----||
escantelet	---------|
De sun osbe rcliro mpitlau entaille	-|--|----⌫-|-|--⌫---|-|-⌫-------|
Silfiert elpiz entreles	--|----|-|--|----|--|
dousfurceles	---|-------|
ab atmort de la sele	--⌫-|---|-|-|---|
Turne t estes aperdre	-----⌫|----||-----|
Estorg ans	------⌫--|
e scuten la penedeuant	-⌫---|-|-|---|-----|
Q uetutlitrenchetleuermeill eleblan c	-⌫-|--|-|-------|-|-------||-|----⌫|
Desunosbercli	-|--|-----|-|
a drumputlespans	-⌫|-----|--|---|
Elco rslimet su n	-|--⌫-|-|--|--⌫|
bonespiettre chant	--|-----|---⌫----|
Quemortl abatdesunch eual curant	--|---||---|-|--|--⌫---|-----|
Aprés lidist	-----|-|---|
aurezguarantE	----|------||
Berenger il	-------|-|
Ast rama rizL	---⌫----⌫--||
escut lifrei nst	----|-|----⌫--|
descumfist	---------|
Sun fortespiet	--|---|-----|
parmi lecors lim ist	--|-|-|---|-|-⌫--|
Que mort l abatentremil	--|---||---|----|--|
XII. persli.X . en	---|---|-|--⌫|-|
eni adremésuifs Çoest	-||-|-----|---|--|--|
Chernubleselique ns	---------||-|---⌫-|
Margarizestmultuaillant	-------|--|---|-------|
che uale rsEbels efor zei s nelse leg er s	---⌫----⌫-||---||---⌫||-⌫-⌫---||---⌫--⌫|
Le cheu alb rochetuaitferir	-|----⌫-|-⌫-----|---|----|
OliuerL escut lifreintsuzlabucle	-----||----|-|-----|--|-|----|
Lezlecostet liconduist	--|-|-----|-|-------|
su n espiet	--⌫|-----|
Deus leguaritque llc orsne	---|-|-----|-|-⌫-|-⌫--|-|
l adtuchet	|-|-----|
Lahanstefr uiss e tmie nena batiet	-|-----|--⌫----⌫-⌫|--||-|-⌫-----|
Ultr e senuaitquilniaddest u rber	----⌫||-|---|-|-|||-|----⌫-⌫---|
gresle purles s oens	-----|--|--|-⌫---|
Laba taille estme rueilluse	-|--⌫-----|--|--⌫--------|
Rollantmienes	------|--|-||
as oü ret	--⌫---⌫--|
Fiert delespiet tant	----|-||-----|---|
cumeh a n ste liduret A .	---|-⌫-⌫-⌫--|-|----|||
Xu. co lsladfraite eperdue	--|--⌫-||-|-----||-----|
Durend alsaboneespeenue	------⌫-|-|---|----|--|
Sun cheual brochetsiuaitferir	--|-----|------|-|---|----|
ChernubleL elme li freintuli carbuncle luisent	--------||---|-|-----||-|--------|------|
Trenchet le	-------|-|
corselache ueleü re	---||-|---⌫------⌫-|
Silitrenchatlesoilzel a	-|-|-------|--|---||-⌫|
Leblancosberc duntlamai leestmen ue	-|----|-----|---|-|---⌫-|--|---⌫-|
E t ut lecorstresqu	|-⌫-|-|---|-----|
e nlaf urcheüre	-⌫|-|-⌫--------|
Enz e nla s eleki	--|-⌫|-|-⌫--|-|
est aorbatue	--||-|----|
Elcheu al est lespeearesteüe	-|----⌫-|--||----|--------|
Trenche t l es chinehu nc n i	-------⌫||--⌫----|--⌫-|||
out qu i s iointure	--|--⌫-⌫|-------|
mortel pred surle rbedrue	---|-|---|--||-⌫--|---|
Aprésli dist	-----|-|---|
Culue rtmar i moüstes	-----⌫-|--||-------|
Mahumetiania urezaiude	------|-|||-⌫---|----|
Partelglutunnert b a tailleoi ue ncu e	--|--|-----||--|-⌫-⌫-----|-|--⌫---⌫|
Ro llantp armi	--⌫----|-⌫-|-|
lechampcheualchet	-|----|---------|
Durendal ki ben trenchet	-------|-|--|-------|
Sarrazinslu rfaitmultgrantda mage	--------|--⌫|---|---|----|--⌫---|
Kiluiueïs t lungetermorts ul	-|--|-----⌫||-|----|---|-⌫||
L isanc tuzclers gesirparcele	-⌫|---|--|----|----|--|---|
Sanglantenadelo s berc	-------|-|-|||-⌫-⌫---|
Sunbon cheual le cole lesespalles E	--|--|-----|-|--||--|-------||
Oliuerde ferir ne	-----|-|----|-|
XII.pernen deiuentaueir bla sme E	---|--||-|------|----|---⌫--||
Franceisif ierentesi	-------||-⌫-----||-|
Moere ntpaien e	-----⌫-|----||
alquanz enipasment	------|-||------|
Distlar ceuesqu e	---||--⌫-------⌫|
Ben ai tnostrebarnage	--|--⌫|-----|------|
Munioiee scrietçoest	------|-⌫-----|--|--|
lensei gne	|-----⌫--|
Ol iuercheualchet	--⌫---|---------|
es tfraitenen adqueuntr unçun	--⌫|-----||-|-|--|-|--⌫-----|
E uaitferirun pai en	|---|----|-|---⌫-|
escutli fr ei nt	----|-|--⌫--⌫-|
kiest ad ore	-|--|-|-||
Forsdelatestelime tl esoilza nsdo us	---|-|-|----|-|--⌫|-⌫-|---|-⌫----⌫-|
El a cerueleli	|-⌫|------|-|
chet aspiezdesuz	---|-|---|----|
tresturn etodtut.	--------⌫-|-|--||
uII. C.deslur	----⌫-|--|--|
Lahanste brisete escli ceti o squaspo inz Ço	-|-----|-----||-----⌫--|-⌫-⌫--|-|--⌫--|--|
Cumpainzquefaitesu os	-------|--|-----|-⌫-|
Entelbataille	-|--|-------|
naicure debastun	|-|---|-|-----|
Fer s eacers i deit a ueir	---⌫||----||---|-⌫---|
u alor Uestuostreespee ki	-⌫---||--|-----|----|-|
Halteclere adnum	---------|-|--|
Dor estlihelz edecri stal	|-|--|-|---||-|---⌫---|
N e lapoi traire	-⌫|-|--|-----|
feri roiiosi	----⌫|-|-|-|
gr antbosoign	--⌫--|------|
