quibonscountesuoet entendre	--|---|------|---|-------|
bennuslefruns	--|--|-|----|
detutleleiruns	-|--|-|------|
uers la fieres edunct urnez	---|-|----|-⌫|---|-⌫----|
b e le nicek ar enparlez	-⌫-⌫-|---|-⌫-|-|-----|
lafier ee n riantse dr es ca	-|----⌫|-⌫|----|-|--⌫--⌫-|
e s espluspriuez	|-⌫-|---|-----|
neubliamie da ndrias	-|----|--|--⌫|----|
netintpa s saparoleagabs	-|---|--⌫|-|-----||---|
elelapeleunpoil is uzri t	--||----|-|--|-⌫|-⌫----⌫|
karmutliplo ut ceoqe il	--|--|-|---⌫-|--|-|-|
lafiereout tostsuncunsei lpris	-|----|--|---|--|------⌫|---|
uusme s tes	--||-⌫-⌫--|
tuzueraisami s	--|-----|---⌫|
ieo ai iafetel treis cho isi	--|-|-|--|-|----|---⌫--|
eusferaim unam i	--|----|-⌫-|--⌫|
lunestlefizlerei de russie	|-|--|-|--|-|--|-|-----|
elautreest duc d e normandie	||----|--|--|-⌫|--------|
letierceestfizlereidei rlande	-|-----|--|--|-|--|-|-⌫-----|
me req uert e demande	-|---⌫---||------|
mesnaiunc ore	--||-|---⌫--|
bene nq uis	--|-⌫--⌫--|
queldecestrei se rtm is	---|-|--|----⌫|-⌫-|-⌫-|
mesc i lu ol ent	--||-⌫|-⌫--⌫--|
suffri rs ul desqes almatinet	------⌫|-⌫-|-----|-|------|
silurdirrai	-|--|-----|
tutmunp u rpe ns	--|--|-⌫-⌫---⌫-|
es tuus auis	--⌫|--|---|
ke co seitsens	-|-|---|---|
certesfetdriasdameoil	-----|--|----|---|--|
li reisest ta ntfran cs	-|---|--|--⌫-|----⌫-|
suprend rapascoq uit	-------⌫-|--|-|-⌫--|
karletermeest asezpetit	--|-|----|--|---|----|
aces parolesreturnerent	|--|------|----------|
a l re itutissi	-⌫|--⌫|--|---|
le mustr erent	-|-----⌫----|
ententelibarun	-----||-|----|
kel enedemande	|--⌫|-|------|
for sreis un	---⌫|----⌫-|
liter mesestdunez	-|---⌫--|--|----|
atantsesuntt res tuz pa rti	----|-|---|-⌫---⌫--|--⌫--|
uaite li sontu it	---||-|--|--⌫-|
mut suiurnenta	--|--------||
grantdeduit	----|-----|
aseziout beiuree manger	---||--|-----||-----|
autre sde duz tres qe al	-----⌫|--⌫--|----⌫-|-|
la fiereest enla	-|----|--|-|-|
chamb reentree	-----⌫-|-----|
unke ne fu t si trespan s ee	---|-|--⌫|-|-------⌫-⌫-|
es torekar el e ueitb en	--⌫|--|--|--⌫|---|-⌫-|
deplusr ep leitir n iad	-|---|-⌫--⌫-----|||-|
mutceestei tleiur e s forcee	--|-|-----⌫|-|--|-⌫-⌫-----|
pursun u n cled estre au isee	--|--|-⌫-⌫--||----|--⌫---|
mesoreestuenu e nce lliu	--|--|--|---|-⌫|--⌫|--|
tu zentenderaa	--⌫|--------||
lautr e giu	|----⌫|--|
o re reest ent r ée ngrantpeine	-⌫-|----|---⌫-⌫-|-⌫|----|----|
adape lé ismeine	-|---⌫--|------|
uussauez fetele be le	--|----|--|--|--⌫-|
coment epurquei iome m or	-----||--|---|-|-|-⌫-|
ben au ez ueuebeleamie	--|--⌫-|---|---|---|
cum aiestéui asaill ie	--|-|----|-|------⌫-|
ioaitditnepusdesdire	-|--|--|-|--|------|
d etreishomes me stoite sl ire	-⌫|----|----||-⌫----|-⌫--⌫--|
si neme saial quer tenir	-|-|-|--|-|---|----|
karmulz uodreiele murir	--|---|------|-|----|
ke lemeill ur de	-|-|-----⌫-|-|
meulzuoi l deshe riteeatendre	----|---⌫|-----⌫----|------|
atutdis senz prendrem ari	|--|--|---|------|-⌫--|
k edel tut	-⌫|--|--|
p erdimunami	-⌫---|--|--|
lafi ere tutenpluran tprie	-|--⌫--|--|-|------⌫|---|
c uns eil lezmenmabelle	-⌫---⌫---⌫--||-|-|----|
dameieonesai	---|--|-|--|
me suneren uusendirrai	--⌫|--|--|--|-|-----|
quel autrecu nseil potl	---|----|--⌫----|--||
qu ant u usuolezm eulz	--⌫--|-⌫-|----|-⌫---|
uostr e terre	-----⌫|----|
tuteperdrekeuos treami	---|-----|-|---⌫--|--|
fforsdeldesc ouer ir tutissi	----|--|----⌫----⌫-|--|---|
certesimeine co nestpruz	-----|-----|-||--|---|
iduncsengabereinttuz	----||-|--------|--|
q ua ntsiriche uouaiuo é	-⌫--⌫-|-|----|--|-|--⌫-|
si auerai unuad le tamé	-|-----|-|---⌫--⌫|---|
keunc nefistcheualerie	-|--|-|---|---------|
a tuz disserreieh unie	|--|--|------|-⌫---|
purdeu imeis neore en tendez	--|--|-----⌫-|--|--⌫-----|
siieomes dine lme celez	-|--|---⌫-|-||-|----|
se pu ssetantbe le	-|--⌫--|---|--⌫-|
euersl erei	|---|-⌫|--|
si engigner	-|-------|
k eil fist aukesdem unpru	-⌫|-|---|----|-|-⌫-|--|
p urmeintenirmunriche	-⌫-|--------|--|----|
keaunte rme uousist	-||-|--⌫--|------|
eunturn eme ntci pren dre	|-|----⌫---⌫-|-|----⌫--|
ki sule ment	-|----⌫---|
treiz iurzdurast	----|---|-----|
kelepris d iloc	-|-|---||---|
enpo rtast	-|--⌫----|
c er tesio	-⌫--⌫--|-|
l prendr eiaseign ur	|------⌫-||-----⌫-|
ia natenderei e auant le iur	-||---------⌫|----|-|--|
karse misamisestenu i e	--|-|--|---|--|-|-⌫-⌫|
ion equit pask e	-|-⌫|---|--|-⌫|
illelestmie	-|-|---|--|
neuengese d eu me	-|----|-|-⌫-|-|
siilnulrenas	-|-|--|--|-|
a rmes ualt	-⌫---|---|
e seilneuent	|-|-|-|---|
duncsa iioben	---|--⌫|-|--|
kede pruesce n iad	-|-|------|||-|
ne i oduncnuldestr ece	-|-⌫|---|--|-----⌫--|
sei mutgrant	--|--|----|
nel au era i ia a n ul for	-||--⌫---⌫|-||-⌫-|--|
me sqe humme deustcr e u erleq uor	--⌫|-|--|-|----|--⌫-⌫-⌫-|-|-⌫--|
certesimeisneben uus	-----|------|--|--|
uildeltutleferuntsi	|-|--|--|-|-----|-|
uio tu tlepais p erde r ai	|-|--⌫|-|---|-⌫----⌫-⌫-|
autrementse ignurnepre ndrai	--------|--⌫----|-|---⌫----|
imein e l otesi ensuzrit	-----⌫||-||-|-|-----|
mul t liplestceoq	---⌫|-|----|--||
eleliad dit	--|-|-|--|
d ameore seezrecunfortee	-⌫--|--|---|----------|
oreestesadreitasenee	--|----||----|-----|
ore auezcunseila estr u s	--|---|------||----⌫-⌫|
unk emessi bo nneeustes uus	---⌫|--|-|--⌫|-|-----|--|
par matin et	--|-----⌫-|
quant la ubeescreue	----||-⌫--|------|
meleager desun litleu e	-------|-|--|--|---⌫|
tut s unt ase mblélibarun	--|-⌫--|---⌫----|-|----|
enunpred esuz ledan iun	-|-|--|-⌫---|-|---⌫--|
elireis ela fier e	|-|---||-|----⌫|
enmicelpre d e scenduzsunt	---|--|--|-⌫-⌫------|---|
amf ionnesee st	---⌫--|-|-|-⌫-|
pas targé	--|-----|
de uanteus tuzceoes tadrec e ́	--⌫---|--|--|--|--⌫|-----⌫-⌫|
dital reisi reses baruns	--|-|--|--⌫-|--|-----|
uodreentoi rlurrespuns	-------|--⌫|--|------|
la f ierel eesgarda suuent	-|-⌫---|-⌫|------|-----|
l amaneent	|--|----|
demaltalenttut er oui	-|--|-----|---⌫|-⌫--|
deliuerementenpi ez sailli	-----------|-|--⌫-|-----|
unpoideparlersehasta	-|--|-|-----|-|----|
am fio nuusn el frez ia	--⌫---⌫|--|-⌫||---|-|
keiouo illeprendreasegnur	-|-|--⌫---|------||-----|
karn estorepasdetel ualur	--||--|--|--|-|--|----|
e pur neentt antmehastez	|--|----|-⌫--|-|-----|
ioquit qeianip artirez	-|---|-|-|||-⌫------|
ele fistbenkele lestucea	--|---|--||--||------|
huimesguer esn enp arlera	--|--|----⌫-||-|-⌫-----|
lafiere dunc	-|----|---|
p aro leal rei	-⌫---⌫-|-|--|
s ireentendezamei	-⌫--|-------||--|
uuseces ba runske ueici	--||--|--⌫---|-|--|-|
mut d ebon quer requerepri	--|-⌫|--|---|-----||--|
ke tel ch ose me	-|--|--⌫--|-|
cunseillez	---------|
ke purme iblasmén eseez	-|--|--⌫|------|-⌫|---|
bensauezt uituoiai fa i t	--|----|-⌫--|--|-|--⌫-⌫|
mult harreiekeilfustde ffait	---|------|-|-|---|--⌫----|
karatantserreireh unie	--|----|-------|-⌫---|
l es iur zde m a uie	-⌫-|---⌫|-|-⌫|--|
m esseiluusueneitatalent	-⌫-|-|-|--|-----||-----|
de a ssemblerunturneim ent	-|-⌫-------|-|-------⌫--|
atreisiur s sulement durer	|----|---⌫|-------|----|
kilelos en p urreit po r ter	-|-|--|-|-⌫-----|--⌫-⌫--|
ki k e il seit	-|-⌫|-|---|
deque lpara ge	-|---⌫|----⌫-|
iol pren draimut de	-||----⌫---|--|-|
bonc urag e	--|-⌫----⌫|
l icheualerquantill oi rent	-⌫|-------|----|-||--⌫---|
estrangementsenesioirent	-----------||-|--------|
ceschun sahaute	-------⌫||----|
u oizseescrie	-⌫--|-|-----|
lcu ntreditesmie	|--⌫--------|--|
encel preteussis milauei t	-|--|--|---|--|--|----⌫|
dunt ch escun grant	---|--⌫----|----|
ioieenaueit	---|-|----|
chesc un q uidoutpar	-----⌫-|-⌫-----|--|
ha rdement	--⌫------|
benu eintrel eturneiement	--|-⌫-----|-⌫|----------|
tut li plusurcestgrante rent	--|-|-----|---|------⌫---|
re imutben le	--⌫|--|--|-|
aparcuter raument	------|--⌫------|
uolentbone ment	-----|----⌫---|
ot rei é l	--⌫---⌫-||
a dpar bonam ur	-⌫|--|--|--⌫-|
mei s asistle	---⌫|----|-|
ke cilde sestranges p ais	-|--|--⌫|--------|-⌫--|
ip oussentestreal	|-⌫------|----|-|
liudeui sé	--|----⌫--|
desu z le dangunen zle	----⌫|-|-----|--⌫|-|
amfion gueresneparla	-----|-----|-|----|
enepurqu ant nel i pesa	|-------⌫--|-|-⌫|---|
l aut rui sens uaultpluske	|---⌫--|---|----|---|-|
f femmeset	-⌫----|--|
benferes un bon	--|---|-⌫-|--|
edun c sun tfe mmesmut	|---⌫|---⌫|--⌫---|--|
kesie ngignentnus trestuz	-|-|-⌫-------|--|------|
qe mutsuntsages	-|--|---|----|
quantli rei s etutsisbarnages	----|-|---⌫||--|--|-------|
e l i de deu s	|-⌫|-|---⌫|
sunt deceu sul	---|----|--|
par deusfe mmes	--|---|--⌫---|
liba runs esunt	-|--⌫--|-⌫|---|
tuz partiz	--|-----|
les u ns lezlesautres	--|-⌫-|--|--|-----|
seitbautn eenue isé	---|---|-⌫|----⌫---|
est guer es heté	--|----⌫-|----|
ilalto rtcartute laterre	-|-|--⌫-|--|---|-|----|
estapeseede laguerre	--|-----|-|-|-----|
lire is qua ntcelcunseilfu tpr is	-|--⌫-|---⌫-|--|------|--⌫|--⌫-|
senestalezensun	|-|--|---|-|--|
egeonneseubliamie	----|-|-|----|--|
enli curteise spie	-|-|------|-⌫---|
bena d c es oueres entendu	--|-⌫|-⌫-|-----|------|
querbe nrete nu	---|--⌫|----⌫-|
horsdecalabretosts	---|-|------|---||
a barletuen t	|-----|---⌫|
pas nesuiurne	--|-|------|
asunsegnur	|--|-----|
a dbenm ustré	-⌫|--|-⌫-----|
quanqu esc ilourent deuisé	------⌫-|-⌫-|-----|------|
tut li ad cuntélema nere	--|-|-|-----|-|--⌫---|
ecumi lui t bellafiere	|--|-⌫|--⌫|--|-|----|
cumeledesun eine talen t	--|--|-|--|---|-----⌫|
demandaleturneiment	------|-|---------|
ipomedo nmut	-------⌫|--|
ath o lomeulad	|--⌫-⌫----||-|
kid ureme ntd euen mercie	-|-⌫-----⌫-|-⌫-|-|-----|
sir eor e auerez uost re amie	---⌫|--⌫|-----|----⌫-|---|
co estcok e i ouu s dis	-|--|-|-⌫|-⌫|--⌫|--|
oreuuspenez	--|--|----|
dau ergrantpr is	|--⌫-|----|--⌫-|
mes trefet i lquan tseursui	---⌫--|--|-⌫|----⌫|---|--|
kee npec eneenprendraalt rui	-|-⌫|---⌫|-|-|------|---⌫--|
ne m en uodraitrop haster mie	-||-|-----|---|-----|--|
decun que resit ostmamie	-|---⌫---⌫-|-|-⌫--||---|
deuant c oqe ai tantquis	-----|-⌫|-|-|---|---|
etantp urchacé tantlosepr is	|---|-⌫-------|---|--||--⌫-|
kelumentende parres un	-||-|------|--|---⌫-|
pur tut si	--|--|-|
iosui pru z enun	-|--|---⌫||--|
mestresauezqe iouodreie	-----|----|-|-|------|
kenulne sache qeio	-|--|-|----|-|-|
i o uoildece stpaispar tir	-⌫|---|-|--⌫-|---|---⌫--|
lereid ecezilleseruir	-|--|-⌫|------|-----|
mestresouentfe tcil qesage	-----|-----|--⌫|--|-|---|
ki s etbencuu rer suncurage	-|-⌫-|--|---⌫--|--|-----|
me in t homeen	--⌫--⌫|---|-|
d ecou ere	-⌫----⌫--|
kemeulzliuaudrei tcelersaouere	-|----|-|-------⌫|----|-|----|
meinsua l t	----|--⌫-⌫|
tr op d irekec ele r	--⌫-|-⌫--|-|-⌫---⌫|
kis is auereit am esurer	-|||-⌫------|--⌫-----|
ci lkimut parole	--⌫|-|--|-----|
po tastenir neent	--⌫|------|----|
ke aukunefei z	-|-----|---⌫|
folurned ie	----|-|-⌫-|
le belteisire stcu rteisie	-|--|-----|-⌫-|--⌫------|
l e fous s eil parole	-⌫|---|-⌫|-|-----|
au kun e feizahurte	--⌫---⌫|---|-----|
neuoilsimestrearestermes	-|---|-|-----|------|--|
a seza i cheuaus eherneis	-⌫--|-⌫|------||------|
li mestr esrespun tbonement	-|-----⌫-|------⌫|-------|
sirealuostrecumandement	---|-|-----|----------|
ipomedon adcungepr is	-------|-|----|--⌫-|
desun pere	-|--|---|
odl ui enmeinepu cele	-|-⌫-|-|----|--⌫---|
sa cusineerte mut	-|-----|--||--|
od luienmeine	-|--|------|
tr eis des trers	--⌫--|---⌫----|
bra ches ebons l euerers	---⌫---||---|-⌫------|
eosturs ebea usesparuers	|-----||---⌫-|--------|
benuolanz esors	--|-----||---|
lestreischeuausk ilme ine ods ei	--|----|------||-|--⌫--|-|-⌫-|
el mun tna ueitsi	-|---⌫||-⌫---|-|
kiteus tre ispoustesliger	-|---|---⌫-|----|------|
n epurornepurnul dener	-⌫|--|-|-|--|--|----|
li unsert blan cscumn eifnegee	-|--|--|----⌫-|--|-⌫--|----|
e outlacrinesideugee	|--|-|----|-|-----|
nou tsi sueueseieelmunt	|--⌫|-|----|---|-|---|
ben fetgroserunt	--|--|---||---|
remuant ase sperunstendr e	------|-|-⌫------|-----⌫|
detreisesteit	-|----|-----|
cestuileme indre	-----|-|--⌫----|
liu a dletqecelui menout	-|-⌫-⌫---|-|----|-----|
une lance blanche por tout	--|----|------|---⌫---|
erunpenunc el	-|-|------⌫-|
dun bl anccendal bon ebel	|-|--⌫--|-----|--||--|
elaseleblanchereesteit	|-|---|------|-------|
mut ben auen eit	--|--|----⌫--|
e cilr e port outunescu	|--|-⌫-⌫----⌫--|-|---|
demutbon dubleeblancrefu	-|--|--|----||----|---|
kicesbl anchesarmespor ta	-|--|--⌫-----|----|---⌫-|
tuziurz deuantlesautres	--|---|-----|--|-----|
n eentloinz	-⌫---|----|
me s unpetitet	--⌫|-|------|
a presuen tunautreu a dlet	-⌫---|---⌫|-|----|-⌫-⌫---|
kiremeineu nbeldestrersor	-|------|-⌫|--|------|--|
ke plusreluistke	-|---|------|-|
ne fet o r	-|--|-⌫|
meinsesteit mesmuter t be aus	----|-----|--|--|--⌫|--⌫--|
tostalanzepr esteignaus	---|----||--⌫--||-----|
cilreporte unescuue rmail	--|------|-|---|--⌫----|
kifla m beiecumso leil	-|---⌫-⌫---|--|--⌫---|
une lancete inteen sement	--|----|--⌫---|--⌫-----|
de bo ns inoplesurargen t	-|--⌫|-⌫-----|--|-----⌫|
odlensegn e uermeile e bele	-||------⌫|-------||---|
eu ermeill eesteit lasele	|-⌫-------⌫|-----|-|---|
tutescesa rmessuntuermei l le s	----|--|-⌫---|---|------⌫-⌫--⌫|
reflambe antescumesteiles	--------⌫----|--|-------|
kiuental drein	-|---|-|----|
unneirdestrier	-|---|-------|
m eineenmain	-⌫---|-|---|
oduncurt peilmutrel usant	-|-|---|---|--|---⌫----|
ri c he cheual ertebengrant	--⌫-⌫-|-----|--||--|----|
elmuntn en out si	-|---||-|--|-|
belebe st e	---|--⌫--⌫|
decru pe decolede	-|---⌫-|-|--||-|
de bones aleures	-|----|------|
enmorese en te rresdures	-|----||-|--⌫---|----|
l unse nzestancher	|-|--⌫-|--------|
quatreiurzpoindreae s lesser	-----|---|------||-⌫-⌫-----|
ela selek i sist desure	|-|---|-⌫|---|-----|
a sezfut plus n eirekemeure	-⌫--|--|---|-⌫---|-|----|
esiree steit ne i re	|-|---⌫----|--⌫-⌫-|
odune neire	-|--|----|
qu onussance	--⌫--------|
e li uadle zki	|-|-----⌫|-|
unneirescu portea	-|---|---|----||
apreseusue nent ces u adlez	----|--|--⌫---|--|-⌫----|
kim einent	-|-⌫-----|
l euerersebrachez	-⌫------||------|
tholome ureestapre s uenu	-------⌫|----|----⌫|---|
surungr antchacurtundu	--|-|--⌫--|-----|----|
eforz cilcha cur	|---|--|---⌫--|
semblebenueneur	-----|--|-----|
colporteuncorngros	--|----|-|---|---|
belarc lipental dos	--|--|-|---|-|--|
a se zarcunsmutert	|--⌫|-----|--|--|
pen sun hacacesunc h u rneis	--|--|----||--|-⌫-⌫-⌫----|
a s ezout saete sedraz	-⌫-⌫-|--|-----⌫||---|
ses chens liuuntdetutes parz	--|----|-|---|-|----|---|
ipomedonreueintapres	-------|------|----|
aukettesloi nz	-------|---⌫-|
neent trop	----|---|
pu r lapudreq i esteit	--⌫|-|----|||-----|
loinzde saroutese teneit	----|-|-|----|-|-----|
ces c uniurta ntcum il erre rent	---⌫-⌫-|--|--⌫-|--|-|----⌫---|
siordene mentalerent	-|------⌫---|------|
esinuntgueres su iurné	|-||--|-----|--⌫-----|
or esunten sezile entré	--⌫|---|-|-----|-----|
for es t sun tu enu	---⌫--⌫|---⌫|-⌫--|
li bois ertue rzebenfoillu	-|---|--|--⌫-||--|-----|
ecelboin sretenti st	|--|----⌫|-------⌫-|
ede schanz	|--⌫|----|
des oiseausfremist	--|------|------|
p er en tcesfoilles ecesflurs	-⌫--⌫--⌫|--|------||--|----|
kiaime dunc	-|---|---|
pe nsedam urs	--⌫--||--⌫--|
ipome don pas	-----⌫--|--|
n e seublie	-⌫|-|----|
keilaseznepens t	-|-|---|-|----⌫|
fet u etchantant	--|-⌫-|-------|
surunbelpalefrei a mblan t	--|-|--|-------|-⌫-----⌫|
bel tensfeseit	--|---|-----|
egrant c hali ne	|----|-⌫----⌫-|
il meis me ades tras a	-|----⌫-|----⌫--|-⌫|
le g ere men t uestuzestei t	--⌫-⌫---⌫---⌫|-----|-----⌫|
u n manteld	-⌫|-----||
un samit aueit	-|----|----|
desuncoll auei taualé	-|--|--||----⌫|-----|
a nduilespa ns auei tieté	-⌫---|--|--⌫-|----⌫|----|
desunpalfrei	-|--|------|
mut ch euachepargran tnoblei	--|--⌫-----|--|----⌫|-----|
epurl ahadleou tuncha pel	|--|-⌫|----|--⌫|-|---⌫--|
de fresaus aturnémutbel	-|------|------|--|--|
aorpu rtreit a beaus butuns	|-|--⌫-----||----|-----|
uncsi blancsnedepouns	--|-|-----|-|-|----|
chauc esaueitdunpaile fr eis	-----⌫-|----||-|----|--⌫--|
uncplus ri che soutquensne	--|---|--⌫---⌫|--|----|-|
uns espe runs outdefi n	--|----⌫---|--|-|--⌫|
enind eleoutfetunmo r	-|---⌫|-|--|--|-|--⌫|
les peres sulk ei laueit	--|----|--|-⌫|-⌫|----|
un s r eis esliger ne lpurreit	--⌫|-⌫--|------|-||------|
a se zch aua uchepargrant brut	-⌫--⌫|--⌫---⌫---|--|----|---|
ladameis ele kilcu nd ut	-|------⌫--||-|--⌫--⌫-|
ffu tuestueenueisement	---⌫|-----|----------|
puis tutdescriuren eent	---|--|--------|-⌫---|
elboisuntlun gementerré	-|---|--|---⌫-----|----|
g ueres nesteitdel iu rpassé	-⌫----||-----|--|--⌫|-----|
nenefutm ietrop m atin	-|-|--|-⌫-|---|-⌫---|
uers palerne uun t	---|------|---⌫|
i locout sur né lirei s	-⌫--|--|---⌫--|-|---⌫|
rei nepres d unmeis	---⌫-|---||-|---|
meleageres teit celiur	-------|--⌫---|--|--|
e t utsiueneur	|-⌫-|-|-----|
chace renla forest uenu	-----⌫|-|-|-----|---|
i lout sescum paignuns perdu	-⌫|--|--|---⌫-------|----|
t restusfors capan eus	-⌫-----|---|-----⌫--|
eunuadletiln iout	|-|-----|-|||--|
cerfo urentacuilli	---|-⌫----|------|
ki presdecel cheminchai	-|---|-|--|-----|---|
lireisl e fit d un cesc o r cer	-|---|-⌫|--|-⌫--⌫|---⌫-⌫-⌫--|
edesfaireeenha rdeil ler	|-------||----⌫-----⌫--|
larute est pr esdilocu enue	-|---|--|--⌫-||---|-⌫---|
lireisad l a nois e	-|---|-|-⌫|----⌫|
ilse esmeru ailleesi sautsus	-|-|------⌫----||-|---|--|
aue zoicap aneu s	---⌫|-|---⌫----⌫|
une grantgen tpoezoir	--|----|---⌫|---|--|
leusencelcheminuenir	---|-|--|-----|----|
bienad cinquante anz edeusmeis	---|-|--------|--||---|---|
