#META#TextURIYuain	-----|------|----|
#META#DEA F	-----|---⌫|
#META#F EW	-----|-⌫-|
#META #ARLIMAhttp s//www.arlima.net/ad/chreti en_de_troyes.htm l# li o	-----⌫|-----|----⌫---------------------------⌫----------------⌫--⌫--⌫|
#MET A#AuthorChrétien deTr oye s	----⌫-|-----|--------|-|--⌫---⌫|
#M ETA # AuthorBorn	--⌫---⌫|---------|
#META#AuthorBornAmb	-----|------------|
#META#Auth orDied	-----|----⌫-----|
# META #AuthorDiedAmb	-⌫----⌫|------------|
#META #Aut horFl1	-----⌫|---⌫-----|
#M ETA# A utho rFl2	--⌫---|-⌫----⌫---|
# META# Te xtTitleYuain	-⌫----|--⌫------|----|
#ME TA#TextSubtitleLe Cheualier	---⌫--|-----------|-|--------|
#META# Textuol s	-----|-------⌫|
#META#TextS ubi romance	-----|-----⌫--|------|
#META#Tex tDo mlit	-----|---⌫---⌫|--|
# META#Translationfalse	-⌫----|----------|----|
#META#Collection	-----|---------|
#META#C oll ectionNo	-----|-⌫---⌫-------|
#META#TextDescARLu ersoctosyllabiquesàrimes	-----|----------|-⌫--|--------------|-|----|
#META#TextDesc uers8	-----|--------⌫---||
# META# TextDateARL 1178-1181	-⌫----|----------|--------|
#META # TextDateAdi	-----⌫|----------|
#META# Text D ateMin1178	-----|----⌫-⌫-----|---|
#ME TA#TextDateMax1181	---⌫--|----------|---|
# META# EdE dit or	-⌫----|---⌫---⌫-|
#M ETA# EdPl ace	--⌫---|----⌫--|
#META # EdPublisher	-----⌫|----------|
#META#Eduol	-----|----|
#META#EdYear	-----|-----|
#ME TA# EdPages	---⌫--|------|
#META#MsBase	-----|-----|
#META#MsOther	-----|------|
# META# MsN um	-⌫----|---⌫-|
#M ETA#MsDateARL	--⌫---|--------|
# META #MsDateAd i	-⌫----⌫|--------⌫|
#META # Form	-----⌫|---|
#META#Complete	-----|-------|
#M ETA#N oWord s	--⌫---|-⌫-----⌫|
#META#N oLin es	-----|-⌫----⌫-|
#META#Dial Auth	-----|----⌫---|
#META#Dial Scribe	-----|----⌫-----|
#META#Scan URL https //fr.wikisource.org/wiki/Yuain_ou_le_Cheualie r_a u_Lion	-----|----⌫--|-----⌫---------------------------------------------⌫---⌫-----|
#META#ScanURI Oth er	-----|-------⌫---⌫-|
# META# Ark ID	-⌫----|---⌫-|
#META#L cc nID	-----|-⌫--⌫--|
#META#Oclc ID	-----|----⌫-|
#META#WebAuthor	-----|--------|
#META#O RCIDWe bAutho r	-----|-⌫------⌫------⌫|
#META#WebReuiewer	-----|----------|
#META#ORC IDRe uiewer	-----|---⌫----⌫-----|
#META#Mis cInfo	-----|---⌫----|
unknownedi tion	------|---⌫---|
Quilouéetconseilli e ́mont	--|----|-|---------⌫-⌫||--|
Porle b esoingqueil yuoient	--|-|-⌫-----|--|-||-----|
pren dr emotroient	----⌫--⌫||-------|
Etie lferayporlor besoing.	-|--⌫|----|--|--|-------|
S imeïsmes a uous	-⌫|-------||---|
Quasegn ou r refuser nedoy	-||----⌫--⌫|------|-|--|
Boncheualieretfilzde roy.	--|--------|-|---|-|---|
Oral ada moi selle	-||-⌫|--⌫---⌫----|
Qua nquelleuouloitentre s ait	---⌫--|---|------|-----⌫-⌫--|
EtmesireY uainsestplu ssire	-|-----|-⌫----|--|---⌫|---|
Queil n os a st pe ns e rne dire	--|-||--⌫-⌫-|--⌫--⌫-⌫|-|---|
dam eauecli lenmaine	---⌫|---|-||------|
Enlasal equiestoitplaine	-|-|---⌫|--|-----|-----|
Dech euali erset d aut res g en z	-|--⌫-----⌫--|-||---⌫--|-⌫--⌫|
EtmesireYuai ns	-|-----|----⌫-|
Quameru eillestout	-||----⌫-----|---|
l esgarde rent	|-------⌫---|
Etcontrelituitseleuer e nt	-|-----|-|---|-|-----⌫-⌫-|
Ettuitse lieuenteten clin en t	-|---|-|------|-|--⌫----⌫--⌫|
Monseg neurYua i ndi ̈ent	------⌫---|---⌫-⌫|--⌫---|
Cestci lquema dame prendra	|--|--⌫|--|-|---|------|
Dehaiz estquili	-----|--|--|-|
d ef fendra	-⌫--⌫-----|
Ca rmerueil l esamble preu domme.	--⌫|-------⌫-⌫|-----|----⌫-----|
Certesl emper eïs deRomme	-----||-----⌫---|-|----|
Ser oit e nlibien mariee.	---⌫--|-⌫|-|---|------|
Ca rleüst il	--⌫||----|-|
Etelleluydenuemain	-|---|--|-|--|---|
Ainssintparloietuiten ren c.	-------|------|---|-|---⌫-|
la salleen	-|----|-|
Ouladam es al aseo ir	-|-|---⌫||--⌫|---⌫-|
La outu it lapurent uoir .	-|-|--⌫-|-|-----|----⌫|
EtmesireYuains samblantfist	-|-----|-----|-------|---|
Q uasespiezseoir seuousist	-⌫||--|---|----|-|------|
Quantelleleua amont	----|---|---|----|
Dela p arole	-|-|-⌫----|
Le seneschalqu eil	-|--------|--⌫|-|
Siqu el le	-|-|--⌫-|
soitdetou z	---|-|---⌫|
Lorscommencelicene scha uz	---|-------|-|----⌫----⌫-|
Q uin estoit ner estisnefaulz	-⌫-||-----|-|-⌫----|-|----|
Segnorsfe tilguerenoussort	------|--⌫|-|----|---|---|
Nest iou rque	|--|---⌫|--|
lirois nes	-|---|-||
De quanqu il se puet haster	-|-----|-|-|---|-----|
Pour uenirnos terresgaster.	---|----|--|-----|------|
Ainscoizqueq uinzaine past	-------|--|-⌫-------|---|
Seratou teliuree agast	---|---⌫-|-----||---|
Sebonmantenour ni	-|--|--------|||
Quemadamese mari ast	--|-|---|-|----⌫--|
N amie e ncore	||--|-⌫----|
sis o nparc	-|-⌫-⌫|---|
Sile feis t	-|-|----⌫|
Mors est sessiressilipo ise.	---|--|--|----|-|-|--⌫---|
terr equ unetoise	----⌫|-|--|----|
Cil quitoutcest païzt en o it	--|--|---|---|----|-⌫--⌫-⌫-|
Etqui mout bienyauenoit	-|--|---|---||------|
Cestgrant duelque poya	|--|----|---|--|--||
Famen eset	---|-⌫|--|
porterescu	-----|---|
Nene setd elanc eferir	-|-|--|-⌫|----⌫|----|
Moutamender ete n du it*	---|------|-|-⌫-⌫--⌫--|
Sepuetdeprendre .i.bonsegnour.	-|---|-|------|--|--|-------|
Ainzmaiznenotmestierg regnour.	---|---||-|-|------|-⌫-------|
Loezli tuitquemari	---|-|---|--|---|
Ainzquelacoustume remaigne	---|--|-|-------|-------|
Quien cestchas telaes té	--|-|---|----⌫--||--⌫--|
.lx.an z apassez.	---|--⌫||------|
mo tdï en tt uitensamble	--⌫|---⌫--⌫|-⌫--|-------|
Quea fairebien lorresambl e.	--||----|---|--|-------⌫-|
Ett restuita upiéli	-|-⌫------|-⌫|---|-|
Desonuoloiren	-|--|-----|-|
g ran tlatiennent	-⌫---⌫|-|-------|
Sisefetp rierde son bon	-|-|--|-⌫---|-|--|--|
Toutaut resi c o nmal grésien	---|---⌫---|-⌫-⌫|--|---|---|
Otroie cequ	-----|-|-|
ellefeï st	---|----⌫-|
Ce chas cunli c ontredeïst	-|----⌫--|-|-⌫----------|
Etdist Segnieur	-|---|-------|
des q uil uoussiet	--|-⌫|-|---|---|
Cecheu alierq uil ez m oysiet	-|----⌫----|-⌫-|-⌫-|-⌫-|---|
Mamoutp r iee etm o ut requise	||---|-⌫-⌫--|-|-⌫-⌫-|------|
Enmonnoretenmonseruise	-||----|-|-|--|------|
Seueut mestre	-|---|-----|
et ielenmerci	-|-||-|----|
Etuous lenmerciez aus s i.	-|---||-|------|---⌫-⌫-|
Nonquez m ezcer tesne l	|-----|-⌫-|---⌫--|--⌫|
Saymou t oÿ parler	|-|---⌫|--|-----|
Sihauzhonsest c esachiez	-|---|---|--|-⌫|------|
C estfil zleroy Urien.	|--|---⌫|-|--|-----|
estdehaut pa rage	--|-|---|--⌫---|
Est il desigr an tuacelage	--|-|-|-|--⌫--⌫|-------|
Et t ant acourto isieet senz	-|-⌫--||------⌫---|-|---|
Quede slouernem edoitlen.	--|--⌫-----|-|-⌫|---||--|
D e mons egneu r Yuain ce	-⌫|----⌫-----⌫|----|-|
Au ezbienoÿparler tuit	--⌫-|---|--|-----|---|
Etce estilquime	-|-|--|-|--|-|
Plus hautsegnou r	---|---|------⌫|
qua moynafiert	-||--||-----|
Au ra y auiou rquecesera.	--⌫--⌫|-|---⌫|--|-|----|
Cis ti our ce	---⌫|-⌫--|-|
uous f ete squ e sage	---|-⌫---⌫|--⌫|---|
79 c.2 1 34	--⌫---⌫-⌫-|
Queenfaçons le maria g e	--|-|------|-|-----⌫-⌫|
estfoulzqui	--|----|--|
Deso n preu fairepasni	-|--⌫|---|----|--|-|
Tantli pr ïent	---|-|--⌫----|
que lleotroie	-|-⌫--|-----|
Ceq u ell efist	-|-⌫|---⌫|---|
to ute uo i e	--⌫--|--⌫-⌫|
QueAmoursafair eliconmande	--|-----||----⌫|-|-------|
Ced ont losetcon ce ildem a nde	-|-⌫--|--|-|---⌫--⌫-|---⌫-⌫--|
Mezaplusgrant honneur le	--||---|----|------|-|
Quantell ealelos de	----|---⌫||-|--|-|
Et les p roieresriens ni g rieu en t	-|--|-⌫------|----|||-⌫----⌫--⌫|
Ainzliessaucentet co nseillent	---|-|--------|-|--⌫--------|
Lecuerafer eson tallen t.	-|---||---⌫|--|------⌫-|
Lech eualquin euap aslent	-|--⌫---|--|-⌫|-|-⌫-|---|
S auancequant	|-----|----|
onl es peronne	-||--⌫------|
uoiantt ou z	-----|-⌫--⌫|
sesbaron cedonne	--|----|-|----|
Lada mea monsegn eur Yuain.	-|--⌫-||-------⌫--|-----|
Parl a maindun	--|-⌫|---||-|
siench apelain	---|--⌫------|
la damede Landu c	-|---|-|-----⌫|
Ladamequi fufilleau duc	-|---|--|-|----|-|--|
Ceiourmaimessa nzdelay	-|---|-----|--⌫-|----|
L espousa et	|------|-|
firent l es no ces.	-----|-⌫-|--⌫---|
Asezyot mitreset croces	---||-|-----|-|-----|
Sesesue sques etses abez.	--|----⌫----|-|--|----|
Mou tyot gent etmoutrichesse	---⌫||-|---|-|---|-------|
Etmoutyot ioieetliesse	-|---||-|---|-|-----|
Plus quel co nte r n euoussauroie	---|---|--⌫---⌫|-⌫|---|------|
Quantlo nc tempsp ense ́ y aroie	----|--⌫-|----|-⌫----⌫||----|
enueil tairequepoi	-|---|----|--|--|
Ore st m esireY uainssire	-|-⌫-|-⌫----|-⌫----|---|
E tla * mort	-⌫|--⌫|---|
esttostobliés	--|---|------|
ocistestmarié s	----|--|------⌫|
Ens a fameetens amb legisent	-|-⌫|---|-|---⌫---⌫-|-----|
genz aiment plusetprisent	---|-----|---|-|------|
Lic onquele	-||----|-|
mort nefirent.	---|-|------|
Quidurerentduque sa	--|-------|-----⌫||
Queliroysuintala	--|-|---|---||-|
me rueil le	--⌫-----⌫-|
Delafonta ine e tdel perron	-|-|-----⌫--|-⌫|--|-----|
E tauec lisico npangn on	-⌫|---|-|-|--⌫------⌫-|
Cartrestuitcildesa menie	--|-------|--|-|-|----|
Furentencel e cheuauchiee	-----|-|---⌫|----------|
Cunztrestouzceuzn	|--|-------|---||
Ets i a ditm e si reKe u s	-|-⌫||--|-⌫-⌫--⌫-|--⌫-⌫|
Ay ̈ Questordeuenuz	--⌫|-|--|-|------|
Yuainsqu ant iln est sa uenuz	-----|--⌫--|-||--|-|----|
Quise uat a* ap rezmeng ier	--|-|---⌫-|--⌫--|----⌫--|
Quil yroit son	-|-|----|--|
cousin uengier	-----|------|
Bienpertqu ec efu apre z uin	---|---|--⌫|-⌫|-|----⌫|--|
Fuiz s enes t	---||-|--⌫|
i e le d euin	-⌫|-|-⌫---|
Quil niosastuenir	-|-|||----|----|
Moutceuant adegrant	---|-|----⌫|-|----|
Mout est hardizquilouer s	---|--|-----|--|----||
Dece do ntautrenelalose	-|-|--⌫-|----|-||----|
Nen atemoig desalosenge	-|||-----|-|-|------|
Cenestp a rforcede loenge.	-||--|-⌫-⌫|----|-|------|
Mouta entre	---||----|
m auuez et	-⌫----|-|
Que l imauuayz dele z	--|-⌫|------|----⌫|
Dist de luiunesgrans	---|-|--|---|----|
Sitienttoutes lesgenzafo les	-|----|-----|--|---||--⌫--|
Et cuidequo nnel e	-|----|-|-⌫|-|-⌫|
congnoisse.	----------|
a uroitgra ntangoisse	-⌫----|---⌫-|-------|
S e il ooitd ire	-⌫|-|---|-⌫--|
Les proessesqui so nt	--|-------|--|--⌫-|
cecertezbien	-|-----|---|
Aumaluaizqu ilna	-|------|-|-|||
Et cilseprise	-|--|-|----|
et cil se uante	-|--|-|----|
Quilnetrueuequi	-|-|-|-----|--|
pourli mente .	---|-|-----⌫|
ditq uile ndira	--|-⌫-||-⌫|---|
Tuitsetaissent ne l ii ra	---|-|-------|-|-⌫|-⌫-|
Et desuaillan z cri e le	-|--|-------⌫|---⌫|-|
Etlesmau a izgieteaunu an.	-|--|---⌫-⌫-|----||-|-⌫--|
A insi me si re Ke usparloit	-⌫---|--⌫--⌫-|--⌫-|------|
E tmesi reGauuai ns d isoit	-⌫|----⌫-|------⌫-|-⌫----|
Mercimesi reKeusmer ci	----|----⌫-|---|---⌫-|
MesireYuains	-----|-----|
Ne sauezq ueleessoigneila.	-|----|-⌫---|-------|-|-|
Onquesuoirtant nes auill a	-----|---|---|-||-----⌫|
Q uei l deïst	-⌫-|-⌫|-----|
deuousuillenie	-|---|-------|
Deta ntilfaitcortoi sie.	-|--⌫-|-|---|------⌫---|
-Si refet ilet iementaiz	|--⌫-|--|-|-|-||-|---|
N em enore zparlerhuimaiz	-⌫||-|---⌫|-----|------|
Des qu e ieuo i quil uous	--|--⌫|-|--⌫|-|-|---|
u erssadel y aueplainbacin	-⌫----|-||-⌫--|----|----|
Sorleperrondesouzlepin	--|-|-----|-----|-|--|
Et plus t tantostm outfondanment.	-|----⌫|------|-⌫--|----------|
Netarda mie longue ment	-|----|--|------⌫---|
Mes ire Yu ainssanznularest	---⌫--|--⌫---|---|--|----|
Ent raarmezen	---⌫-|----|-|
Etuintplus tost queles	-|---|---|---|--|--|
Sor un cheu al	--|-|----⌫-|
Fort et hardiet conb atant.	---|-|----|-|----⌫-----|
E t mesireKeus out talent	-⌫|-----|---|--|-----|
Q ui ldemanderoi t labataille	-⌫|-⌫|----------⌫|-|-------|
Car quiexquefust	--|----|--|---|
lades ina ille*	-|---⌫---⌫----|
Iluoloi t conm encier touziors	-|-----⌫|----⌫-----|-------|
Le s melleesetlesestourz	--⌫|------|-|--|------|
Ouilyeu ̈stgr an t	-|-||--⌫--|--⌫--⌫|
Leroy en pri edeuant	-|--|-|---⌫|-----|
Quecesteb atailleli lais t.	--|----|-⌫------|-|----⌫-|
Keusdistliroysdes	---|---|-|---|--|
quiluousplais t	-|-|---|-----⌫|
Quedeuantt ouzlauezrouuee	--|-----|-⌫--||---|-----|
Ne uous doi tpas	-|---|---⌫|--|
Keuslenmercie e* puis	---||-|------⌫-|---|
Seor li puet.i.poi	-|-|-|---|--|--|
M esir eY uainsliezen sera	-⌫----⌫|-⌫----|---|-|---|
Etmout uolentie rs len fera	-|---|--------⌫-||-|---|
Quebien lerec on gnoist aus	--|---|-|---⌫--⌫-----|--|
L escu apris	|---||---|
Et Keus lesiensi centresla issent	-|---|-|---|-||--------⌫-----|
Ch euauzcuer ent etlancesbaissent	--⌫----|----⌫--|-|-----|-------|
Queil tenoient empongnez	--|-|-------|--------|
.I. poy les ont alongni ees	--|--|--|--|-------⌫--|
Tant queparlescamoizlestindren t	---|--|--|--|-----|--|-------⌫|
Et acequeilsentreui ndrent	-||-|--|-||-------⌫-----|
Det excoupzmou tsemerueillie re nt	-|-⌫-|----|---⌫|-|----------⌫--⌫-|
Quandeus l eslance speçoierent	-|-----|-⌫-|-----⌫|----------|
Etuon tdesq u esau poinz.	-|---⌫|----⌫-⌫-|-|-----|
MesireY uainscopsipuissan t	-----|-⌫----|--|-|-------⌫|
L idonnaque	-⌫|----|--|
d esorl acelle	-⌫|--|-⌫|----|
Keuslatournebouele	---|-|-----------|
Etl ihiaumes	-|-⌫|------|
P lu sd annuy fereneliquiert	-⌫--⌫||----|---|-|-|-----|
Mesire Y uains	-----|-⌫----|
ainssoizdesc ent	-------|----⌫--|
tre rre* le	---⌫---|-|
ch eu a* prent.	--⌫--⌫-|-----|
Senfumouta	|-|-|---||
telyo t bel	--||-⌫|--|
Nesepottairede	-|-|--|----|-|
Ainsiains iconorgesié s	----|----⌫|--|-|------⌫|
uousquilesautres desp isiés	---|--|--|-----|----⌫-----|
Etnep ourquants	-|---⌫-------||
est ilbien	--|-|---|
Con leu ouspa rdoinst	|-|-|-⌫--|--⌫------|
ch es tef ois	--⌫--⌫-|-⌫--|
ainsm a i sneuous auint .	---|-⌫-⌫-⌫|-|---|-----⌫|
Entre tant de u antlero i	----|---|--⌫-⌫--|-|--⌫|
Mesire Yuainetpa r le	-----|----|-|--⌫|-|
cheua lenlama in	-----⌫|-|-|--⌫-|
Pour chequ eil	---|--|--⌫|-|
liuoloitrendre	-|-----|-----|
Si l idi st Si refaitesprendre	-|-⌫|--⌫-|--⌫-|-----|------|
Chelcheualqueie mef feroie	---|-----|--|-|---⌫-----|
du uostrer etenoie.	-|-----|-⌫-------|
qui es tesuousfait	--|--⌫--|---|---|
Ne u ousc onnistroiedesmois	-|-⌫--|-⌫---------|--|---|
81a .2 278	---⌫--⌫--|
Seienonmer	-|-|-----|
neuou sooi e	-|---⌫|---⌫|
Ou desa rméne	-|----⌫---|-|
uousue oie.	---|--⌫---|
-Ch eestYuainque	|--⌫|--|----|--|
ch iueés.	--⌫|-----|
Sen fu Keusdehonte asonmés	|-|-|---|-|----|-------|
mo rsetdesconfis	--⌫-|-|--------|
Quil dis tqu i	-|-|---⌫|-||
senestoit fui s.	|-|-----|---⌫-|
moutlie ́ en sont	---|---⌫|-|---|
Quid eson duelg ra nt ioiefont.	--|-⌫|--|---|-⌫--⌫-|---|----|
Maislirois	---|-|---|
grantioieen mena	----|---|-|---|
Etmesi re Gauain	-|----⌫-|-----|
Chenttansplus gra nt ioiequenus	----|---|---|---⌫-|---|--|--|
Quiali compaign iee üst	--||-|--------⌫-|-⌫---|
Quache ual ierque il	-||---⌫---⌫--|--|-|
Et lirois li requiert	-|-|---|-|-------|
Seilli p laistqueil li	-|-|-|-⌫----|--|-|-|
Conmen til	------⌫|-|
au oitesploitié	--⌫--|---------|
Car mout lauoit	--|---||----|
grantcouuoitié	----|---------|
De s auoirdutout	-|-⌫----|-|---|
deson estre	-|--|----|
Etconmen tileucpooit estre.	-|------⌫|----|----|-----|
trestou tconté	-------⌫|-----|
Legrantseruicheetlebonté	-|----|-------|-|-|-----|
Que l e da moiselelifist	--|-⌫|--⌫------|-|---|
Onquesde riens	-----|-|----|
entrepris t	---------⌫|
Neriens nulenioubl ia.	-|----|---|||----⌫--|
Etapréscheleroy proia	-|-----|--|-|--|----|
Q u eil e ttuitsic heu alier	-⌫-⌫|-|-⌫|---|-|-⌫---⌫----|
uenissent oluiherbegier	--------||--|--------|
C onnoret ioielifer ont	|----|-|---|-|---⌫--|
Quan tolui herb egie ́s eront.	----⌫||--|----⌫----⌫|-⌫-----|
Etliro isdit queuolentiers	-|-|--⌫-|--|--|---------|
Li fer ont .uiii.iourstousentiers	-|---⌫--|-----|----|---|------|
honnoretcompagnie.	-----|-|---------|
Etmesire Yuainsl enmerchie	-|-----|-----||-|------|
Nedem ou ré nulpointni sont	-|---⌫--⌫--|--|----|||---|
Maintenant monte n tsisen	---------|-----⌫-⌫|-||-|
uerslechastelle droite uoie.	---|-|------|-|-----|----|
Etm e sireYua ins en	-|-⌫-⌫---|---⌫--|-|
De uantlaroute .i.esquier	--⌫---|-|----|--|------|
Etportoit.i. ostoir	-|------|--|-----|
Pou rcheque ilnesouspreïssent	---⌫|--|--|-|-|-------------|
Led amequesesg ensfeïssen t	-|-⌫--|--|--|-⌫--|--------⌫|
Contrel e roisesmaisons b eles.	-----|-⌫|--|--|------|-⌫----|
Etquan ti l orentlesnouu ele s	-|----⌫|-⌫|----|--|----⌫---⌫|
Duroy qu i uien t	-|--|--⌫|----⌫|
grant ioie	----|---|
quilanou uele	--|-|---⌫---|
soitliésetqui n e n	---|----|-|--||-⌫|
Et ladam e tou s lessem ont	-|-|---⌫|---⌫|--|---⌫--|
Etprïent* qu een c on tre liuo isent	-|-------|--⌫|--⌫-⌫--⌫--|-|--⌫----|
Quedefairesauol e n te ́	--|-|----|-|---⌫-⌫-⌫--⌫|
Estoienttres tuit aprest é.	-------|----⌫---|------⌫--|
Encon treleroyde	-----⌫--|-|--|-|
EnuontseurgenscheuausdEspaigne	-|---|---|---|------||-------|
Sile saluentm out	-|-|------|-⌫--|
haut ement	----⌫----|
L eroyArtur	-⌫|--|----|
premiereme nt	----------⌫-|
compagnietoute	--------|----|
Bienuien gne fon t	---|----⌫--|---⌫|
il chesteroute	-|-----|----|
Quidesipreudonmesest pla ine.	--|-|-|---------|--|---⌫---|
Benoissoit chilquiles	-----|---|---|--|--|
boinshostesn ousdonn e.	----|-----|-⌫--|----⌫-|
Contreler oi lecha stiaus	-----|-|-⌫-|-|---⌫-----|
desoiesont forstrait	-|---|---|---|----|
Etestenduapa r emen t	-|------||--⌫-⌫----⌫|
Etdesta pisfontpau ement	-|--|--⌫--|---|---⌫----|
Etrefont unautreapareil	-|-----|-|----|------|
Quepourle calourdu	--|---|-|-----|-|
Keuures* lesruesde c ourtines.	-------|--|---|-|-⌫--------|
Licor etli so n	-|--|-|-|--⌫|
d esbuis ines	-⌫-|----⌫---|
font lechas tel sir esoner	---|-|----⌫--|-|-⌫-----|
n ioïst pa s t onner.	||----|--⌫|-⌫-----|
ouch ant ent lespucheles	-|--⌫---⌫--|--|-------|
S onnentfl eütes	-⌫-----|--⌫-----|
et freteles	-|-------|
Timbrestabletesettabour.	------|-------|-|------|
Etdautre p artfon tlor	-||----|-⌫--|---⌫|--|
Lilegier b acheler qui salent	-|-----|-⌫------|--|-----|
Tretuitde ioie se trauaillent	------|-|---|-|----------|
Etachesteioierechoiuent	-||-----|---|---------|
Le roy sic onf aireledoiuent.	-|--|-|-⌫-|-⌫---|-|-------|
Etladam e en estforsissue	-|-|---⌫|-|--|---|----|
Dundrapemperialuestue	|-|---|-------|-----|
Robe der mine tout e	---||--⌫---|----⌫|
Sorsonch i efune	--|--|--⌫-⌫-|--|
calendesche	----------|
Toutede rubin saterchie	----|-|-----⌫|-------|
pas lachi ere	--|-|---⌫--|
Ainsl o ts i beleets i riant	---||-⌫|-⌫|---|-|-⌫|----|
Queleestoita u	-|--|-----|-⌫|
mienens ciant	---|---⌫----|
Plusbelequ e nuled ieu esse.	---|---|--⌫|---|-⌫---⌫----|
Entour li fu lai oiee spesse	-----|-|-|-|-⌫--|-⌫-----|
Etdisoie nttr e stuitatire	-|------⌫-|--⌫-⌫----||---|
Bie nuiengnel iroiset le	---⌫|------|-⌫|---|-|-|
Des rois etdes	--|---|-|--|
seigne ursdumonde	------⌫--|-|----|
Nepu etestrec a to usresponde	-|--⌫-|----|||--⌫-|-------|
Liroisquiuoituers liuenir	-|---|--|---|---|-|----|
sonestrief t enir.	--|------|-⌫----|
8 1d. 2375	-⌫---⌫---|
E tche neue util pas	-⌫|--|-|--⌫-|-|--|
Ainsseh astatantdudescendre	---|-|-⌫---|---|-|--------|
Quildescendileusq ui	-|-|-------|---|-⌫||
Bienuien gne	---|----⌫--|
parchentmile fois	--|----|---|---|
Li roismesiresetbenois	-|---|------|-|-----|
SoitmesireGauainses	---|-----|-----|--|
-uostregentcors	|-----|---|---|
etuostrechiés	-|-----|-----|
Fai tliroisbele creature	---⌫|-|---|---|-------|
Ai t io ieet	--⌫|--⌫-|-|
auen t ur e.	----⌫-⌫--⌫-|
P uis l embrachap armilesflans	-⌫--||-------|-⌫---|--|----|
Liroi s conmegentix	-|---⌫|----|-----|
Et el e luitout a	-|--⌫|--|---||
pla inb ras.	---⌫-|-⌫---|
Desautresparole nefas	--|-----|-----|-|--|
C onm enteleles conioÿ	-⌫---⌫--|--|--|------|
Maisonques hom	---|-----|--|
parlernoÿ	-----||--|
Denule genttantcon ioïe	-|---|---|---|---⌫----|
T an thono ree ett ant s eruie.	-⌫--⌫|----⌫--|-|-⌫--|-⌫-----|
Delei oieassésuous	-|-|-⌫--|-----|---|
co n taisse	--⌫-⌫-----|
Se mapa rolene	-|-|--⌫---|-|
gastaisse.	---------|
Mais seulementdelac ointa nche	---|--------|-||--⌫-----⌫---|
ueulfaireunebrie ́ sramembranche	---|----|--|----⌫-⌫|-----------|
Quifu faiteapr iu éconseil	--|-|----||--⌫--⌫-|------|
lune et lesoleil.	---|-|-|------|
Saués de quiieuou sueuldire	-----|-|--|-|---⌫|---|---|
Chilq uide scheualiersfu sire	---|-⌫-|--⌫|---------|-|---|
seurtousfurenonmés	---|---|-|--------|
Doit bienestre	---|---|----|
soleilclamés.	-----|-------|
Pour monseigneurGau uainle di	---|----------|---⌫---|-|-|
luiesttout a utr essi	--|--|---|-⌫---⌫---|
Cheual erie e nlu minee	------⌫---|-⌫---⌫----|
Con lisolausla	--|-|-----|-|
E spantse srainset	-⌫----|--⌫|----|-|
clarté rent	------|---|
Par tout l e slie usouilresplent .	--|---|-⌫-⌫|---⌫-|-|-|--------⌫|
Etdecheli ref ais lalune	-|-|----|---⌫--|-|---|
Dontil n epu ete s tre que une	---|-|-⌫|--⌫-|-⌫-⌫--|--|--|
Degrant foyetde grantaÿe .	-|----|--|-|-|----|----⌫|
Etneporroie	-|-|------|
Solementpourleloncrenon	-------|---|-|---|----|
Maispourche queLuneteotnon.	---|---|--|--|-----|-|---|
L e damois e leot n on	-⌫|------⌫-⌫-|-|-⌫-|
Et f u uneauena ntbrunete	-|-⌫|--|-----⌫-|------|
ett resnoble et	-|-⌫--|----|-|
trescointe.	---|------|
A monsei gneu rGauuains aco inte	|------⌫----⌫|------||---⌫---|
Quimout lepriseetmoutlaime	--|---|-|----|-|---||---|
Etpourches	-|---|--||
amiele claime	---|-|-----|
Queleauoit de	-|--|----|-|
mortgarandi	---|------|
S onconpagnonetsonami	-⌫-|--------|-|--|--|
lioffresonseruic he.	-|----|--|------⌫--|
licon teetde u ise	-|---⌫-|-|--⌫-⌫--|
Acongrantpainee leconquist	|--|----|----|-⌫-|-------|
Sadamet an t queele	-|---|-⌫--⌫|--|--|
Monseignor Y u aina m ari	---------|-⌫-⌫--||-⌫--|
Etconm en t el e	-|----⌫--⌫|--⌫|
Des ma insa	--|--⌫--||
cheusquilequeroient	----|--|-|--------|
Ent reusestoit silneueoient	---⌫|--|-----|--|-|------|
Mesire Gauuainsmou tenris t	-----|-------|---⌫|-|---⌫|
Decheque lel ic onte	-|--|-|-⌫-|-⌫|-⌫---|
Madamoiseleieuousdoing	-|--------|-|---|----|
Eta mestiere tsans	-||------|-⌫|---|
Untelcheu ali e r con iesu i	-|--|----⌫---⌫-⌫|--|-|--⌫|
Ne mecangiésia p ournului	-|-|-------|-|-⌫--|----|
S eamen derneuousquidi e ́ s	-⌫|----⌫--|-|---|-----⌫-⌫-⌫|
Ies ui uostreset	-|-⌫-|------|-|
uoussoiés	---|-----|
auantmadamoise le.	----|-|-------⌫--|
- uostremerch isirefaitele .	|-----|-----⌫|---|---|---⌫|
Ainsichildoisentracointoient	----|---|--||--------------|
Etliautreadaut resiuoient	-|-|----|-|---⌫--|------|
o tplus desoissa n te	-⌫|---|-|------⌫-⌫-|
Don tchascuneest oitbelee t	---⌫|-------|---⌫--|---|-⌫|
Et nobleetcointepreus etsage	-|----|-|-----|----|-|---|
Gentefenmede haut parage	----|----|-|---|-----|
Sisiporent mou t so ulag ie r	-|||-----|---⌫|--⌫----⌫--⌫|
Etdac oler	-||--⌫---|
