cil ki seiuen tdelettrure	--|-|------⌫|-|-------|
que uncne uit	--|--|-|--|
ne meuz feussent asun ta lent	-|---|-------||--|--⌫---|
apreslur distdelurseignur	----|--|---|-|--|------|
quebiensemblot	--|---|------|
untentreeussihonuré	--|----|--|-|------|
de tut esparz li	-|---⌫-|---|-|
untencliné	--|-------|
l ele alh umeunt dunc pri s	-⌫|--⌫-|-⌫--|--|---|---⌫|
siluntdesiréemaumis	-||--|------||-----|
pursun ueirdi t li	--|--|---|--⌫|-|
fi renthunte	--⌫---|----|
oe zl essam ple	--⌫||-----⌫--|
n epeot mieodletricheur	-⌫|---|--|-|-|-------|
li leaushum	-|----|--|
auerhon ur	---|---⌫-|
lem uoilletric her	--|-----|----⌫--|
e parmencunge	|--|-------|
fausiuge r	---|----⌫|
dunasnedit	|-|---|--|
kiencuntra	-|-------|
f ier silsal ua	-⌫--|-||---⌫-|
deustesa utf rered euste saut	---|-|--⌫-|-⌫---|-⌫--|-|---|
l ileunsuit lasnebau t	-⌫|----|--||---|---⌫|
si li respun t hastiuement	-|-|------⌫|----------|
des qua ntf umessi presparent	--|---⌫-|-⌫---|-|---|-----|
dis t li asnesmer ueillesoi	---⌫|-|----|---⌫------|-|
mut preisezautre sbestes	--|------|-----⌫|-----|
tuquides bien	-|-----|---|
siest fail e	-|--|----⌫|
quenuls ne te cuntreuaile	--|---|-|-|----------|
uienoreodmeie nsumcel	---|--|-|--|-⌫|--|--|
ul es be stes ensemblesunt	|-⌫-|--⌫---|-------|---|
eieo tefraiiabienu eer	|--|-|---|-|---|-⌫--|
esipurrezaparceuer	|-|-----|--------|
queelesaue runtpourdemei	--|---|---⌫---|---|-|--|
autresigrant cum detei	------|----|--|-|--|
lile unsestale ́odlui	-|--⌫--|--|---⌫|-|--|
surle m untuuntamdui	--|-|-⌫--|---|----|
de suz lemuntenlaualee	--⌫--|-|---|-|-|----|
otdebestesgrantassemblee	-|-|-----|----|--------|
recha ne r	-----⌫--⌫|
e sileidementa crie r	|-|--------||----⌫|
quelesbestessedepartiren t	--|--|-----|-|----------⌫|
tel poure urentsifui rent	--|---|-⌫----|-|---⌫---|
liasnesdi tueiz tuamis	-|----|--⌫|---|-|---|
ceoqueie otea ueiepr ami s	--|--|--⌫|-|-⌫---|--⌫---⌫|
liad r espundu	-|-|-⌫------|
ceo n estmiepurtauertu	--||--|--|--|-|----|
ne purfiertek en teias	-|--|-----||-|--|-|
mes p urle criqu e tucrias	--|-⌫-|-|--|--⌫|-|----|
que tant lurs embleespoe ntable	--|---|--|-⌫----|-----⌫-----|
q uetuztetie nentpur deab le	-⌫-|--|-|---⌫---|--|----⌫-|
siestdelorgui ll us felun	-|--|-||-----⌫--⌫-|----|
qu ep armanaceepartencu n	--⌫|-⌫-|-----||--|-----⌫|
e espoentela folegent	|-------|-|---|---|
e q uidebiena escient	|-⌫---|---||------|
quenulsne lde ie cuntre ster	--|---|-||--⌫-|------⌫---|
des quil or ru nten hautparl e r	--|-|-|--⌫--⌫-|-|---|----⌫-⌫|
u n liunsfumut	-⌫|----|-|--|
trauaillez	---------|
edecure tuten nuiez	|-|---|--|--⌫----|
enunegraue fists unli t	-|--|----|---|-⌫-|--⌫|
mutfu maladesa sundit	--|-|------||--|--|
les bestesfist asei ueni r	--|-----|---||--|----⌫|
kar il uol eitceodistchoisir	--|-|---⌫--|--|---|------|
k imeu z purreit	-⌫|---⌫|------|
enb oischacer	-|-⌫--|-----|
e sauiand e purchacer	|-|-----⌫|--------|
u nseunsles	-⌫-||--|--|
sisocieitedeuurot	-||-----||------|
meuz lesuoleit	---|--|-----|
issimanger	---|-----|
qu e aprescurenetrauail ler	--⌫|----|---|-|-------⌫--|
ligupi lzfuod eusalez	-|----⌫-|-|-|--|---|
hors delagr aueest arestez	---|-|-|--⌫--|--|------|
de sno uel esuolei t oi r	--⌫|--⌫---⌫-|-----⌫|--⌫|
uousistauantue n ir	------|----|--⌫-⌫-|
sistsilesguarda	---|-||-------|
iriementlidemanda	-------|-|------|
purque i ilne uoltuenir auant	--|---⌫|-|-|---|----|----|
eligu pilzli respunt	|-|--⌫---|-|------|
il n iosaler	-|||-|---|
k arnenuei n ulretu rner	-⌫-||-|--|-⌫-|----⌫---|
desbestes qu eeinzentrerent	--|-----|--⌫|---|--------|
epuruusueerialerent	|--|--|---||------|
decurtarei es tensement	-|---||--|--⌫|-------|
teusie ntrelegerement	---||-⌫---|---------|
meuzliuau dreit	---|-|---⌫----|
ensus est er	-|--|---⌫-|
purn uuelesescuter	--|-⌫-----|------|
cirecun te d	-|-----⌫-||
que pri st unuileina	--|---⌫-|-|-----||
cumpai n un	------⌫-⌫-|
cunteren tlurparag e	--------⌫|--|-----⌫|
siparlere nt delurli gnag e	-|-------⌫-|-|--|--⌫----⌫|
liliunsdist	-|----|---|
fi zs uiarei	--⌫|-⌫-||--|
dist liuileinsua	---|-|------|-|
a unmur sunt amdu iuenu	|-|--|---|----⌫|---|
ileo cad li l euns	----⌫|-|-|-⌫---|
de fors laporteunepei nture	--⌫---|-|----|--|---⌫----|
cumun uilein parauent ure	--|-|-----|--|-----⌫--|
hache osci s t unle un	----|----⌫-⌫|-|--⌫-|
siapelasuncumpainun	-|----|--|--------|
k i fistcestesemb l anceici	-⌫|---|----|----⌫-⌫---|--|
humme u liuns itantme	----||----|----|-|
ceofistun humdistliuilei ns	--|---|-|--|---|-|-----⌫-|
ods es enginse odsesmeins	-|-⌫-|-----||-|--|----|
du n cadli liuns respundu	--⌫-⌫|-|-|----|-------|
ceo e st atut puple co neu	--|-⌫-||--|----|--⌫--|
quehum seitentaillere	--|--|---|--------||
meslile uns	--|-|--⌫--|
nelseitpasfere	-||---|--|---|
oreen irum sensem bleca	--|-|----⌫|--|--⌫--|-|
li uileinsueit sil	-|------|---|-||
aun chastell	|-|------||
issiauientq ueen	---|-----|-⌫-|-|
aueienti liugée nple t	------|-⌫|----|-⌫|---⌫|
un barun queotmesfet	-|----|--|-|-----|
pruuezesteitd etrai sun	-----|-----|-⌫|----⌫--|
s il fist geter	-⌫||---|----|
a sun liun	|--|---|
al u ng tensot est é gar dez	|-⌫-⌫-|---|-|---⌫-|---⌫--|
c urt enchae nez	-⌫--|------⌫--|
e il locistign elepas	|-||----|---⌫-----|
mesnigar daarmes	--|||---⌫-|----|
liliunsat an tsende pa r t	-|----||-⌫--⌫||-|--⌫--⌫-⌫|
eliu ileinsq uem utfutart	|-|-⌫-----|-⌫-|-⌫-|-|---|
quil senfuissentde ileoc	-|-||-|-------|-|----|
ga stine sensuntalé	--⌫----||-|---|---|
pa rmi les lande stres pas serent	--⌫--|--|-----⌫|----⌫---⌫-----|
unautre liun	-|----|---|
en cuntrerent	--⌫---------|
aceluidit qu	|----|--|-|
meineleuilein o d sei	----|-|-----|-⌫|--|
ki sei tlaf osseapareiller	-|---⌫|-|-⌫---|---------|
u ilpurreient trebucher	|-|--------|--------|
autresiseiuenttutsi	------|------|--|-|
ial ocireitsi	-||------|-|
lecu nsent	-|--⌫----|
i lle seschar ni st	-⌫|--⌫|------⌫--⌫-|
nesuffer apasquiloces ist	-|------⌫|--|-|-|----⌫--|
purnulerien	--|---|---|
uncne p ensa	--|-|-⌫---|
li uile i nsl ot s ilmercia	-|----⌫-⌫-||-|-⌫||-----|
l ia d ditbo ng r e	-⌫|-⌫|--|--⌫|-⌫-⌫|
li liunsli ad du nc	-|----|-|-|--⌫-|
semblotcumeinz otfet	------|--|---|-|--|
dit li uilei nsaut reme nt uet	--|-|-----⌫-|---⌫----⌫-|--|
io uusdiseinzfet li	-|--|--|---|--|-|
fussu mscumpainuns	-----⌫-|---------|
memustrastesune	-|---------|--|
surune perepa raue nture	--|--|---|--⌫|---⌫----|
mesieoteaiplus uerrurmustree	--|--|-|-|---|-----|------|
adescuuert	|--------|
lasesgardee	|-|-------|
par essamplenusueuta pre ndre	--|-------|--|---|-⌫---⌫---|
deitni en t	---|--⌫--⌫|
a fablekees t demencuinge	|----|-|--⌫|-|--------|
ne a peint urequesemble sunge	-||-----⌫--|--|-----|----|
ceoest a creire du n thumue itl oure	--|--||-----|--⌫-⌫|--|--⌫-||---|
quelaueritetutde scou re	--|-|-----|--|--⌫----⌫-|
un epulceceo dit iadismunta	--⌫|----|--|--|----|----|
chamailsilcheuacha	------|-||-------|
desiquee nunautre cuntree	------|-⌫|-|----|------|
duncsest la	---||--|-|
pulcepurpense e	----|--------⌫|
siadmerc ié	-|-|----⌫--|
le chameil	-|------|
quesisuefdeden zsunpeil	--|-|---|-----⌫|--|---|
laueitensembleodliportee	|----|-------|-|-|-----|
iamesparseinefustalee	----|--|--|-|---|---|
p ursuntrauaillaser uireit	-⌫-|--|------|-|---⌫-----|
mutu olenterssi ele p oeit	--|-⌫-------|-|--|-⌫---|
licham e l li ad	-|----⌫-⌫|-|-|
res p undu	---⌫-⌫---|
queuncd e li charg iez	--|--|-⌫|-|-----⌫--|
nenesot que ele fust	-|-|--|--|--|---|
nequeele lifesist	-|--|--|-|-----|
issi uet de	---|--|-|
lap ou regent	-|-⌫--⌫-|---|
s ias r iches	-⌫|-|-⌫----|
unt aprismement	--|----------|
form ent lesquidentcuruc ier	----⌫--|--|------|-----⌫--|
damagef eire e ennuier	-----|-⌫---||------|
dun h ulchetcunte la	|-|-⌫-----|----|-|
que desquea unefur miere	--|-----||--|---⌫----|
el tens d yuern est eitalez	-|---||----|---⌫--|---|
p ar aue ntureest	-⌫-|---⌫----|--|
einzent rez	---|---⌫--|
uiandedemandae	-----|------||
karnenaueit	--||-|----|
ensa mei sun nensun recet	-|-|---⌫--||-|--|----|
dist la fu rmiequeias tudun cfet	---|-|--⌫---|---|-|-|---⌫|--|
quant uianded eussesguainer	----|-----|-⌫-----|------|
enauste t e i p ur chacer	-|---||-⌫-⌫|-⌫--⌫-----|
ieochant fetilesideduis	--|----|--|-||-|-----|
aautres bes tesmes orene	|-----|---⌫--|--|--|-|
kileme ueule reguerduner	-|-|-|----|----------|
pu rceomestutic i	--⌫|--||----|--⌫|
dist la furmiechantore	---|-|-----|----|--|
parcelefei queie o	--|---|--|--|--⌫|
me uz fust quetutepurchassasses	--⌫-|---|--|-|-|------------|
elmeisdauste si	-|---||---||-|
guainasses	---------|
quefussezs i	--|-----|-⌫|
defreitmurant	-|----|-----|
eanului us	||----|-|
uiande que rant	-----|---⌫---|
purqueitedurreiea m anger	--|---|-|------||-⌫----|
qu a nttuamei ne pu zaider	--⌫-⌫-|-||--|-|--⌫|----|
purceode fe nt quenul	--|--|--⌫--⌫-|--|--|
ennunchalern	-|--------||
sulumc eo queche scundeitfeir e	----|-⌫-|--|---⌫---|---|----⌫|
se deitpene r	-|---|----⌫|
de bien atre ire	-|---|----⌫--|
plusestch erisiladqueipr endre	---|--|--⌫--||-|-|---|--⌫----|
que siaau tru i se deitentendre	--|-||--⌫---⌫|-|---|-------|
ples tuusoirdeune corne il e	----⌫|--|--|-|--|-----⌫--⌫|
quesasi stsur	--||---⌫-|--|
l e dosde uneoeile	-⌫|--|-|--|----|
odlebek la feridurement	-|-|--|-|---|-------|
saleinelitolia s prem ent	-|----|-|---|-⌫-⌫----⌫--|
la b erbizliaddit purqu e i	-|-⌫----|-|-|--|--|--⌫-⌫|
cheuachestuis si	--------|-|--⌫-|
si fera sbien	-|----⌫|---|
seezune piecesurle chien	---|--|----|--|-|----|
si faia lu i	-|--||--⌫|
distlaco r n eile par	---|-|--⌫-⌫-⌫---|--|
ne t estut mie trauail ler	-||----|--|-------⌫--|
qu etu medeiesense i gner	--⌫|-|-|----|----⌫-⌫---|
ieosui piecatutens eignee	--|--|----|--|---⌫-----|
tant s ui sage	---|-⌫-|---|
bien s aisurkii eopui sseer	---|-⌫-|--|-|-⌫-|---⌫|---|
ea suiurtut	||----|--|
nu smus tre parre spit	--⌫|---⌫--|--|--⌫---|
queceoes tueirs kelem	--|--|--⌫|----|-|--|
p ar es sampleeparrepreche	-⌫-|--⌫-----||--|-------|
bienseitchazkibarbeill ecche	---|---|---|-|----|-|-⌫----|
bien saparceitliueziez	---||-------|-|-----|
lesqueilsilpeotauersuzp iez	--|-----|-|---|---|--|-⌫--|
unricheshume cheuachaia	-|-----|---|-------|-|
parmiun champsiesgar da	----|-|----|-|-----⌫-|
uduiserfensembleparloent	|--|---|-------|-------|
esiestreitemen tcunseiloent	|-|-----------⌫|----------|
cumsilfussent	--||-|------|
entregrantgent	----|----|---|
uers eust urnad eliurement	---|--|-⌫---|-⌫---------|
demanda lur pur quelmester	------|--|--|---|-----|
uoleientsie streit cunseille r	-------|-|-⌫-----|---------⌫|
quant nulhum mepresde	----|--|---⌫-|---|-|
ne nul lurpa roleluroeit n	-|--|--|--⌫---|--|---||
li unr espundial se ignur	-|-|-⌫------|-|--⌫----|
quilnaueient nulepou r	-|-||------|---|---⌫|
einzlur semblotuezeure	---|--|------|------|
quilparloentde tel mesure	-|-|-------|-|--|-----|
suuentli nu nsauant	-----|-|--⌫|-----|
de teu chose mustren ts embl ant	-|--|----|-------⌫|-⌫----⌫--|
pu r autregent	--⌫|----|---|
su zu ezier	--⌫--⌫----|
nepeotauer mester	-|---|---|-----|
du nmire cuntekisegna	|-⌫|---|----|-|----|
un richehu mme qui lgarda	-|----|--⌫--|-|-⌫|----|
enunegrand e enfermete	-|--|-----⌫|--------|
p uisaueitlesanccomande ́	-⌫--|----|-|---|-------⌫|
a safilleq ue elele sgarda s t	|-|----|-⌫-|--||-⌫------⌫-⌫|
que nulerienn	--|---|---||
pa rle sancceo dist	--⌫|-|---|--|---|
c onustreit	-⌫--------|
quelenferm etes espe res aueit	---|------⌫--|-⌫-|--⌫--|----|
la me schi ne	-|--⌫----⌫-|
porta lesanc	----|-|---|
enzsa chambre	--|-|------|
desuzun b anc	----|-|-⌫--|
mesmut liestmesauen u	--|--|-|--|-------⌫|
kar tutlesancadespand u	--|--|-|---|-|------⌫|
nelos adirene	-||--⌫|---|-|
neautre cunseilne s ot	-|----|------|-|-⌫-|
messememesfist	--|-|----|---|
e sun san c les sa	|--|---⌫|---⌫-|
tantquelimir es lotueu	---|--|-|---⌫-||-|--|
e parl esanc	|--|-⌫|---|
a par ce u	-⌫---⌫--⌫|
quecil ert preinzqui lotles s é	--|--|--|-----|--||-|---⌫-⌫-|
lerichehu mme ad mutesmaié	-|----|--⌫--|-|--|------|
quilqu idotb ienauer en fant	-|-|--⌫---|-⌫--|---|--⌫---|
saf illefis tuenirauant	-|-⌫---|---⌫|----|----|
tantpardestre i ttant paramur	---|--|------⌫-⌫|---|--|---|
li estut cunustrela uerrur	-|----|-------|-|-----|
delsan clidistqueel e	--|---⌫|-|---|--|--⌫|
eq u eli autre esteitdeli	|-⌫-⌫|-|----|-----|-|-|
autresi uet d e stricheurs	------|--|-⌫-⌫|--------|
desla rruns	--|--⌫----|
desboiseu r s	--|------⌫-⌫|
enkilafelunieme int	-|-|-|------|--⌫--|
pareusmemess untateint	--|--|----|-⌫--|-----|
quantmeinsse gar dentdeestrepris	----|----|-|---⌫---|-|----|---|
si sunten cuntr éeocis	-|---|--⌫-----⌫-||---|
d unuile indit	|-|----⌫-|--|
kise giseit	-|-|-----|
cuntre lesoleilse	-----|-|-----|-|
adens gis eittutdescouert	|---|---⌫--|--|--------|
esespertuisesteit o uert	|--|------|-----|-⌫---|
unsescharboz	--|--------|
ded enzentra	---⌫--|----|
eliuileinssenesueil la	|-|------||-|------⌫-|
grant mallifisttantque	----|--|-|---|---|--|
les teit alezcunter	|--⌫---|---|-----|
limires d i st q u	-|----|-⌫-⌫-|-⌫|
il esteitp rein z	-|-----|-⌫----⌫|
or efumu t pisquenefueinz	--⌫|-|--⌫|--|--|-|-|---|
kar liuilei ns bienle crei	--|-|-----⌫-|---|-|---|
elifouspeo plesqu i l l oi	|-|---|---⌫---|-|-⌫||-|
dientque ceoest signe fiance	----|--|--|--|-----⌫-----|
enp our sunte endutance	-|-⌫--|---||-|------|
niadceluiki	||-|----|-|
bien necre it	---|-|---⌫-|
quegr ant mallur au enir	--|--⌫--|--|--|--⌫---|
tantestfolpeoples	---|--|--|------|
nunc reab les	--|-⌫----⌫--|
quee nue ineschosesnun	--|-⌫|--⌫---|-----|--|
unt lu rcreancee	--|--⌫|------||
lure spei r	--|-⌫----⌫|
l euile ing ueitentpursauei r	-⌫|----⌫-|-⌫------|--|-----⌫|
enfesdeueitnestre	----|-----|-----|
li escarboz pa rl afenestre	-|-------|--⌫|-⌫|-------|
uilen t rasenest eiss uz	|-|--⌫-⌫-||-|--|----⌫-|
duncfure ntil tuz deceuz	---|----⌫-|-|--|-----|
par cesteessamp l e le uus di	--|----|------⌫-⌫|-|--|-|
de lnun sau ant	--⌫|--|---⌫--|
e stau tresi	-⌫-|--⌫----|
ki creientceo	-|------|--|
queestre nepeot	--|----|-|---|
uuanitezl eoste emu e t	|------|-⌫|---||--⌫-⌫|
uileincunteque gueita	-----|----|--|-----|
dedenzsunhussi espia	-----|--|--|-|----|
un autrehumme uit	-|----|----|--|
sur sunlit	--|--|--|
odsafem mefistsu nd elit	-|-|---⌫-|---|--⌫|-⌫---|
allasfetilquei ai	----|--|-|---|-|
dunc lia dlafemmeresp undu	---|-|-⌫|-|----|----⌫---|
queiauezuusb e aus ireamis	---|---|--|-⌫-⌫-|-⌫--|---|
u n autre hummeceo mertauis	-⌫|----|----|--||--|---|
surle lituustient enbracee	--|-|--|--|----|-------|
du ncditlafemm e	--⌫-|--|-|----⌫|
tutcurucee	--|------|
biensai fetelene dut	---|--|--|--|-|--|
que ceoest uostre uiellef ol ie	--|--|--|-----|-----|-⌫--⌫-|
tuuelsmencoinge	-|---|--------|
tenir aueire	----||----|
ie luifet ilsil	-||-|--|-|-||
deibien creire	--|---|-----|
puru eri tequanketu	--|-⌫---⌫-|-----|-|
asmains lepre nt od	-|----|-|---⌫-|-|
li len meine	-||-|----|
aun e cuued e ewe plei ne	|--⌫|---|-⌫|--|----⌫-|
ded enzlacu ue lefist garder	---⌫--|-|--⌫-|-|---|-----|
puis licumencea demande r	---|-|------||-------⌫|
qu iluei tdedenz cillidit	-|-|---⌫|-----|--|-|--|
que sunym aginememesuit	--|--|--⌫----|----|--|
purceodi stele niestu pas	--|--|--⌫-|--||--|-|--|
dedenzlacuueodtu ztesdras	-----|-|---|-|--⌫|--|---|
sit uueie sun e	-|-⌫|----⌫|--⌫|
tunedezpas	-|-|--|--|
auercreance	---|------|
ent esoilz queme ntent	-|-⌫-|---|--|--⌫----|
distl iuileinsieomerepent	---|-⌫|------|--|-|-----|
chescundeit meuzcreireesauer	------|---|---|-----||----|
ceoquesafemmelidit pur ueir	--|--|-|----|-|--|--|---|
queceoquecisfausoilzueient	--|--|--|--|---|---|-----|
que parue ue	--|--|--⌫-|
le foleien t	-|-------⌫|
parceste es sa mple nusdeuise	--|----|--⌫--⌫---|--|-----|
quemeuzua utsenequointise	--|---|--⌫-|--||--------|
a m ein te g ent	|-⌫---⌫-|-⌫--|
quesisaueirs nesi pare n t	--|--|-----|-|-|----⌫-⌫|
dunautreuilein uoilc i	|-|----|-----|---|-⌫|
femmeuit aler	----|--|---|
uers l a forestsundruod li	---|-⌫|-----|--|--|-|-|
a p reseusue t cils	-⌫-⌫--|--|--⌫|--||
s isestd ed enzlebois musciez	-⌫||--|-⌫--⌫--|-|---|------|
ecil r eturne tutiriez	|--|-⌫-----|--|----|
safemme leidi steblasma	-|----|-----⌫-||-----|
e ladamelidemanda	|-|---|-|------|
pur queiparla sti ssiuers li	--|---|-----⌫-|-⌫--|---|-|
esesbar unsli respundi	|--|---⌫--|-|-------|
quilotueus unlecheu r	-|-|-|--|-⌫-|------⌫|
kili fis thunte edeshonur	-|-|---⌫|----||-------|
odliuers laforest	-|-|---|-|-----|
s ire f etele si uusplest	-⌫--|-⌫-|--|-|--|----|
pura mur de udit es meueir	--|-⌫--|--⌫|---⌫-|-|---|
quidastesuush u mm eueeir	--------|--|-⌫-⌫--⌫|----|
alerodm eine l meceler	---|-|-⌫-|-||-|----|
ielu ifetilel boisen trer	-||-⌫|--|-|-|---|--⌫---|
lasse fe te le morte	----|--⌫|-⌫-|----|
dema in mu rrai	----⌫-|--⌫---|
u uncorehui	|-----|--|
ama aioleauient	|-|----|-----|
tut a utr esi	--|-⌫---⌫--|
mere karielui	---|--|-||-|
unpoideua ntlurfinemen t	-|--|----⌫-|--|-------⌫|
ceofusceuapertement	--|-|---|---------|
queunsb a chelerslescundu eient	--|--|-⌫-⌫------|--|-----⌫----|
eusau trerienn	--|--⌫--|---||
oresaii eobie npr es est ma fins	--|--|-⌫-|---⌫|--⌫-|--|-|---|
mandezsir e tostme sc usins	-----|---⌫|---|--⌫|-⌫----|
sid e p a rtirums	-|-⌫-⌫-⌫-⌫------|
nos tr e aueir	---⌫--⌫|----|
noselsecle p lusremanei r	|-|-|----|-⌫--|-------⌫|
od tut lam eiepartie	-|--|-|-⌫--|-----|
memet r aienunea beie	-|---⌫-⌫-|-|--|-⌫---|
l es sez es terma bel e am ie	-⌫--⌫--|--⌫--|-|---⌫|--⌫-|
nedepartez	-|-------|
demei einsi	-|--|----|
me ncungefuquanque ieo ui	--⌫-----|-|------|--|-|
n io sf eteleplus arester	||-⌫|-⌫-|--|---|------|
