o rfaitespaixpourDie	-⌫|-----|---|---|--|
ench e m ent quifub lanche cer uinQu	----⌫-⌫-⌫--|--|-|-⌫-----|---⌫--|-|
sysaintedame iusqu	-|-----|---|----|
aleaue duRinCa r tantseruy decuer	||---|-|--|--⌫|---|----|-|---|
glorieulxd iuin Que saintees teschauch ieta ntfu	--------|-⌫---|--|-----|--⌫|--------⌫-|--⌫-|-|
debo n destin.	-|--⌫|------|
Seigneu rs cestematere neuientpoint	-------⌫-|----|-----|-|----|----|
de deuinAinsuient d un	-|----|---|----||-|
cronikeescript	------|------|
en parchemin.Cestune	-|---------||--|--|
destroisgeste squi	--|----|-----⌫|--|
royalling . La prem i eredes troiscestdu	----|----⌫|-|----⌫-⌫--|--|----||--|-|
bonroyPeppinE tla	--|--|-----|-⌫|-|
second e giestesiuientde Dö elin	------⌫|-----|-|----|-|---⌫---|
deMo nglen nel eno ble	-|--⌫-----⌫-|-⌫|--⌫--|
pall esinuient la tierch edes giest es.Seigneurs humais pourézoÿr	----⌫---|----|-|------⌫|--|-----⌫--|--------|-----|------|---|
bonnechanchon De Garinde Monglenne qui tantot	----|-------|-|----|-|--------|--|---|-|
renom.Bien	-----|---|
pardeuant oÿ	--------|--|
lemencï o n Comment	-|------⌫-⌫|------|
mereclereotlafachon	---|----|-|-|-----|
un guillaige. Laot prin s mancïonSur	--⌫|--------|-|-|----⌫|-------|--|
l eu illainGar rinqui	-⌫|-⌫-----|---⌫--|--|
ot bon guerredon	-|--|--------|
Dechequilherbergaladame	-|--|-|-|-------|-|---|
ensamaiso n	-|-|-----⌫|
lauoir la dame	|----|-|---|
otsi bonnep archonQuilauoitbonnehostelet	-|-|----|-⌫-----|-|-|----|----|-----|-|
nobl e m an ssïonEt	----⌫|-⌫--⌫-----|-|
her bergoitles g ensdenoble extrac tïonQu i	---⌫------|--|-⌫--|-|----|------⌫----|--⌫|
passoientpar la moulten yot	--------|--|-|----|-||-|
fuisson.Et	-------|-|
Garinsap prenoit senset	-----|--⌫------|---|-|
auisïonEt	-------|-|
estoitle plus belqui	-----|-|---|--|--|
est oitenu ne	---⌫--|-|-⌫-|
regïon. Ilestoit	-------|-|-----|
gentdroitetde be lle faichon.Lesyeulx	---|----|-|-|--⌫--|-------|--|----|
au oitp lus	--⌫--|-⌫--|
ua irsque not	--⌫--|--||-|
oncqueshom	------|--|
Et syla gambeb ien fa ittebeaupietet	-|-|-|----|-⌫--|--⌫---|---|---|-|
beautal lon.	---|---⌫---|
Tantestoitbien	---|-----|---|
tailliézet debelle fachonQue qui	--------|-|-|----|-----|--|--|
uaulsistfair e	-------|----⌫|
deuisïonIl	--------|-|
neust sceut rouueruo y e ne nezungoccasi on Qu e	|---|---|-⌫-----|--⌫-⌫|-|-----|------⌫-|--⌫|
l an at urequ ifistde	-⌫|-⌫--⌫--|--⌫|---|-|
conioinction Y eubsto blyéri en s ie sçay	-----------||----|-⌫----|--⌫--⌫|-|----|
nonQ ueto utne fust tantbel quilauoit	--|-⌫-|--⌫-|-|---|---|--|-|-|----|
lerenom Qu il	-|----|-|-|
pareilennulle regïon.S estoit aussyam éz entou r	-----|-|----|-------||-----|----|--⌫--|-----⌫|
enuironDe da mes et	------|-|--⌫--|-|
depucel les c ar i l	-|-----⌫--|-⌫-|-⌫|
enauoitledon Quantdeme r e	-|----|-|--|----|-|--⌫-⌫|
funéz en lapropre m aison.Or	-|---|-|-|-----|-⌫-----|-|
auoit enlauilleung	----|-|-|----|--|
cheuallie rbar on	---------⌫|---⌫-|
Sire fu de la ui lledontie	---|-|-|-|--⌫--|---|-|
f aymencïon.Deuxfilles otmoult	-⌫-|--------|---|-----|-|----|
bel lesplu s gentes	---⌫--|---⌫|-----|
ai neelaimoiten	--⌫--||-----|-|
ycellef aichonA	-----|-⌫-----||
ung ha ult	--|--⌫--|
c heuallierdenob le	-⌫--------|-|---⌫-|
extr actï onQuesp ouser d euoi te n	----⌫-----⌫-|-|---⌫----|-⌫----⌫|-⌫|
consollacïon . Sy deuoit aces noepcesdontief aymencïo n	-------------⌫|-|-----||--|------|---|-|-⌫-|-------⌫|
grant behourtet degrantaffuison.Maislemaisnee fille	----|------|-|-|----|--------|---|-|------|----|
qui Flor ette	--|----⌫---|
n o m A uoit long tempzaméGarri n	-⌫-⌫|-⌫---|----⌫----|---|-----⌫|
d Allenson Desi ardant am ou r	|-------|-|-|-----|--⌫--⌫|
espri sede tyss on.Damoureubt sc ente ment sans	-----⌫-|-|----⌫--||----|---|--⌫----⌫---|---|
nulle auis ïon Qu	----|----⌫---|-|
yregardoitsensne condicïon Ains	|--------|---|-|---------|---|
esto itsies prise du	----⌫-|-|--⌫----|-|
br andonDAmo urs qui tientlesgens	--⌫----||---⌫--|--|----|--|---|
e ns asub g iectïo n	-⌫|-⌫|---⌫-⌫-------⌫|
Sena uoi t	|-|-⌫---⌫|
en tel abusïonQu ilne	-|--|-------|-|-|-|
uoulloit d	-------||
il lecqfairrepartison	--⌫---|-----|-------|
N ef airep oursa merelemonte	-⌫|-⌫---|-⌫--|-|---|-|----|
dunb outon.Ai ns	|-|-⌫-----|--⌫-|
m ettoit sest udy ea	-⌫-----||---⌫---⌫||
noter sa cha nchon	----|-|---⌫----|
Car ilauoit	--|-|----|
e nlui music que etsi	-⌫|--|-----⌫--|-|-|
doulxs o nQued e	----|-⌫-⌫|--|-⌫|
sonchantoÿr telsolla s	--|----|---|--|-----⌫|
pr en doit onQueonamastmi eulxson	--⌫--⌫---|-|--|-|----|--⌫---|--|
fa irerellacionQueune dou lceseraine.	--⌫--|--------|--|--|---⌫--|-------|
TantfuGarrins parfaisqu il	---|-|------|------|-|-|
nyotqu a menderEtta ntsceut	||-|-|-⌫-----|-|--⌫-|----|
achesc unbeaulangaigemonstrer	|-----⌫-|---|-------|-------|
Quechescun	--|------|
l auoitchier	|----|----|
en fait et en pense r.Flourettela	-|---|-|-|-----⌫-|--------|-|
damoiselleamoi t le	---------|----⌫|-|
bacell erDe siu ray sentementquelle ne	------⌫-|-|-|-⌫--|--------|-|---|-|
durerQu e auberGarrinnef aisoittou si ours quepenser.	----|--⌫|-|--|-----|-|-⌫-----|---⌫--⌫---|--|------|
Ung iourle	--|---|-|
uaultlabelleparungua rletmande rEtGarrins y	----|-|----|--|--|--⌫---|-----⌫|-|------||
n el eu ault	-⌫|-⌫|-⌫---|
reffus e r.Quantlabelle leuoitcoulleur	------⌫-⌫-|----|-|----|-|---|-------|
prins tamue r. Etle	-----⌫||---⌫-|-|-|
dam oiselleuadoucementsaluerEtluidist	---⌫----|-|-|--------|-----|-|--|---|
Damoise lle Ih esus	-------⌫--|--⌫---|
u ouspuis ts a uuer Qu i u ous	-⌫--|----⌫|-⌫-⌫---|-||-⌫--|
puis tdou cementparsagracedonner Ioye	----⌫|---⌫-----|--|-|----|-----|---|
deuo zamours p ou r mieulx	-|--⌫|-----|-⌫--⌫|-----|
parseu erer-Garrinse dist labelle	------⌫---||-----|-|---|-|----|
fist lam erIe croy queu ous	---|-|-⌫-|-|---|--|-⌫--|
po ur ffite r	--⌫--⌫-----⌫|
Car ie nesçayau	--|-|-|----|-|
mondedechane delamer	----|----|-|---|--|
Ho mm e quim ieulx me	--⌫--⌫|--|-⌫----|-|
queuaul roitli cell erQue	--|----⌫---|-|----⌫-|--|
f aitu ostregent corpzqu	-⌫--|-⌫----|---|----|-|
faitamer. Et quan tpr emieruous	---|----|-|----⌫|--⌫----|---|
uyzseDieumepuist sa uuerM	--|-|---|-|----|--⌫---||
amou re nthierementu ous	----⌫|-⌫----------|-⌫--|
uaulchadontd onner. Mieulxn e le	-----|----|-⌫-----|-----|-⌫|-|
em ployera c eque puispenser.QuantGarinslentendy	--⌫-----||-⌫|--|---|------|----|-----||------|
gr antioye	--⌫--|---|
uamener Car deb o ncuer	-|----|--|-|-⌫-⌫|---|
lamoitsansnuluilla inpenser. Dont	|----|---|--|-----⌫-|------|---|
a l ademoiselleB i endoyAmours	|-⌫|---------|-⌫-⌫-|--|-----|
l oerQui mafaittelleamie	-⌫--|--|||---|----|---|
doucementimpetrer.Oru ous	--------|--------|-|-⌫--|
ayeencon ue nt	--|-|---⌫--⌫-|
sa nsmensonge trouuer Se	--⌫-|-------|------|-|
i a uoiearmu reset ch eual pour monte r Q uedemain me	|-⌫---|----⌫--|-|--⌫---|---|-----⌫|-⌫-|-----|-|
behourtesprouuer.Etpour l	------|---------|-|---||
amourdeuousqueiedoytantame r	----|-|---|--|-|--|---|---⌫|
Iousteroyeau plusuaillantquei e	---------|-|---|-------|--|-⌫|
pour oye trouuer.-Garri nsedist	----⌫--|-------||-----⌫|-|---|
lab elleilneuousfa ult doubt e rD	-|-⌫---|-|-|---|--⌫--|-----⌫-⌫||
auoir b on n earmur eetn	----|-⌫--⌫-⌫|-----⌫|-||
que amender.Al	--|-------|||
uostremere en	-----|---|-|
pou riézbien	---⌫----|---|
trouu er. Ie m	-----⌫--|-||
enuo izleharn azp our uostreco rpz	-|--⌫-|-|----⌫-|-⌫--|-----|--⌫--|
appre sterTrestout cequiaffie rt	-----⌫---|-------|-|--|-----⌫-|
ai osneba celler Quepleusta cellui	|-⌫---|--⌫-----|--|-----||-----|
Di euquiselai ss apenerQue si	--⌫-|--|-|---⌫--⌫|----|--|-|
bienpeuïssiéz	---|----------|
aubehour t	-|------⌫|
asse nnerQuem on pereuauls ist	----⌫---|--|-⌫-|---|-----⌫--|
au ous mon	|-⌫--|--|
corpzd on ner.Mou ltaroie	----|-⌫--⌫---|---⌫-|----|
grantioy e Qua ntGari noitlabelle	----|---⌫|---⌫-|----⌫|--|-|----|
lui auo it enconue ntD enuoyer le harnas	--|---⌫-|-|-----⌫-||------|-|-----|
pour son corpz proprem ent	---|--|----|-------⌫--|
De cuerl e n m e rc ÿatresamoureuseme nt	-|---||-⌫|-⌫-⌫--⌫--|---|-----------⌫-|
Carleu rsdeuxcuer s	--|---⌫-|---|----⌫|
estoien ttre stout dunsentement Donttou sdeux	-------⌫|---⌫----||-|--------|---|---⌫|---|
estoyentesprissi	-------|-----|-|
ardanmen tQue	--------⌫|--|
on ueo itbien	-|---⌫-|---|
la mourquieneulxsere prent.Mais	|-⌫---|--|-|---|-|--⌫-----|---|
e ncores nensceutlecheu alliernea nt Car	-⌫-----||-|----|-|----⌫-----|---⌫-|--|
sille seuïst b ienie	|-|-|------|-⌫--|-|
uousdy uraye mentDesa fillemoulttost	---|-|-----⌫---|-|-|----|----|---|
lui ostfai tpresent.	--|--|---⌫|-------|
Dieuxne le uault	----|-|-|----|
miea qui le	--||--|-|
mondeappent Car pou rueuluiauoit	----|-----|--|---⌫---|--|----|
m oullier ason t allen tEtdontles hoirs	-⌫------||--|-⌫-----⌫|-|---|--|----|
en fu rentde	-|--⌫---|-|
hardemen tQuelaloysarrasinee nprinst abbusement.Etc e lle	--------⌫|--|-|--|--------|-⌫|-----|----------|-|-⌫-⌫--|
G arr inenp ri stengen rement OtanomM abilletteSeign eu rs oyéz	-⌫---⌫-|-|-⌫--⌫-|-----⌫-----|-||--|-⌫--------|-----⌫--⌫-|----|
ys t oirede	--⌫-⌫---|-|
grand eseignourie C	-----⌫|---------||
estda r mesetd amours et	--||-⌫-⌫--|-||-----|-|
cheuallerie . Duri che ducGarinoy éztoutte	-----------⌫|-|--⌫--|--|----|--⌫--|-----|
l auieGarrinsyssitdu	-⌫|--|------|----|-|
chastelsasamie lais sie.Asonhoste l	------||||---|----⌫---||--|-----⌫|
re uien t asamereil	--⌫----⌫||-|---|-|
escryeM ere comment	-----|-⌫--|------|
uousestNelemecelle ́z mie.Nayéznul	---|--|-|-|-|-----⌫-|---||----|--|
desconforten u ousie	---------|-|-⌫--|-|
uous enp rie.Enc or e aréz	---|-|-⌫---|---⌫--⌫|----|
par moyho nne ur et	--|--|--⌫---⌫-|-|
s ei gnourie. Lafillede	-⌫--⌫-------|-|----|-|
monseigneurie	--|-------|-|
cr oyquenemehait mie .	--⌫-|--|-|-|---|---⌫|
Cheu al et harn a sa r ayenma billie Pourbehourder	----⌫-|-|----⌫-⌫|-⌫-⌫-|-|-|-----|---|--------|
dema in alef e ste	----⌫-||-|-⌫-⌫--|
iolye.Maispar ce llui	-----|---|--|--⌫---|
Seigneurqui tou t	-------|--|---⌫|
bal li e Seappointy	---⌫--⌫|-||-----||
puisuenirdema la nce esguissieIen	---|----|-|-|--⌫--|--------|-||
yesp areignerayforc ene	|---⌫---------|----⌫|-|
n e fyeQuedoye	-⌫|--|--|---|
donn e r unetellearamie	----⌫-⌫|--|----|-----|
yaura siha r d y	|---|-|--⌫-⌫-⌫|
lacomp aign ieQuioze	-|----⌫----⌫-|--|--|
reuenir uers moyune autrefyeSeDieu xsauue	------|---|--|--|----|--|-|----⌫|----|
mafor c he.Quant	-|---⌫-⌫--|----|
ladameoitsonfilzqui	-|---|--|--|---|--|
distquiliouster a	---|-|-|-------⌫|
luidistMone nffant neuouse n merlézia.	--|---|--|-⌫-----|-|---|-⌫|------|--|
Beaufilzuous	---|---|---|
estes pointdu païx p ar de chaEtse	----|----|-|----|-⌫-|--⌫--|-|-|
uousy meffaitesnul zneuo u s	---||--------|---⌫|-|--⌫-⌫|
a ydera.M a i si euous	-⌫-----|-⌫-⌫-⌫|-⌫|---|
diraybi enou u o corpzyraOuu ous	----|--⌫-|-|-⌫|----|--|-|-⌫--|
trouuerréz	----------|
chosequimieulxuouspourfitera.Carencores nescéz	----|--|-----|---|----------|--|------|-|----|
quitengenr a. Entrecyet	--||------⌫-|----|-|-|
mescorpzlete	--|----|-|-|
bi ensça y	--⌫-|----⌫|
quepart oymes corpzho n neu raura.	--|--|-⌫-|--|----|--⌫-⌫---⌫|----|
Ma iscenepeu lt cyestreet	--⌫-|-|-|---⌫-|-|----|-|
scé zc ommentil ua.S yte	----⌫|-⌫-----|-|--|-⌫|-|
priebe aufilzpour Die uqui	---|--⌫-|---|---|---⌫|--|
Laiss iézle behourd ercar mestier	-----⌫---|-|-------⌫-|--|------|
nety a.Car	-|||-|--|
pour ungseu l	---|--|---⌫|
fourfait queton corpz	-------|--|--|----|
four feraEn am enderas centcarperso nne	----⌫---|-|--⌫------|---|--|-----⌫--|
doyepor te rquantaubesoinguenra .-Dam es e	---|---⌫--⌫|----|-|------|-----⌫||---⌫|-⌫|
dist Garrin	---|-----|
di reay oÿpiech aI an eserapr isi ézchil zqui	--⌫-|-|--|-----⌫|-⌫|-⌫|---|--⌫---⌫--|----⌫|--|
sabbasseraE tqui	|--------|-⌫|--|
sefaitualloirtoudi xpl usuau ra.	-|---|------|-----⌫|--⌫-|---⌫--|
Et que uaultoresunghomme	-|--|----|---|--|----|
gr anttresor	--⌫--|-----|
aSynen dureaesse il l i ernecha nela	|-||--⌫---||----⌫--⌫-⌫-⌫-|-|--|-|-|
auoir per dupo ur lui	----|---⌫-|--⌫-|--|
quanquilenaCariaayséprouffit	-----|-|-||--|-|----|-------|
en au ra.Maiscilz	-|--⌫--|---|---|
quise fai t amer se fera.Etqu ihonnestrement	--|-|---⌫|---|-|----|-|--⌫|------------|
toudixsem aintenraEtde belle sraisonsuollentie r s parl era	-----|-|-⌫-------|-|-|-----⌫|------|---------⌫-⌫|----⌫--|
tousestasbien porte rseuoulr a Se i lmaintient	---|----|---|-----⌫|-|-----⌫|-|-⌫|--------|
toudixpour fitera	-----|----⌫-----|
Tantuaultoussysa terre.Quant	---|----|----|-|-----|----|
ladameot Garrin quia i nsy ua	-|---|-|-----|--|-⌫-⌫--|-|
parlan tAsoymeïsmes d istB ea u Sireroy	------⌫||--|-------|-⌫--|-⌫--⌫|---|--|
deBellia n t Ie uous	-|------⌫-⌫|-|---|
loe etgrac ie	--|-|----⌫-|
deGarrin monenfant Q u	-|-----|--|-----|-⌫|
e nuoyéle maué zsi belet	-⌫-----|-||----⌫|-|--|-|
saichant.Orfuissent cy endroitsesdeuxfreres	--------|-|-------|-|------|--|---|-----|
uai ll ansQuei e	---⌫--⌫--|--|-⌫|
lais say iadixdecuer tristree tdoll ant PardedensAcquitt ai nela	----⌫--|----|-|---|------|-⌫|----⌫--|--------|-------⌫--⌫-|-|
uaillantA in sydisoi t la dameau	-------|-⌫--⌫-|-----⌫|-|---|-|
gentcorpzauenantMais partant	---|----|------|---|--|---|
lesuer ra.Il zui enn entcheuauchantPourueniral	--|---⌫--|--⌫|--⌫---⌫--|----------|---|----|||
al ler entexplo i ttant. A	--⌫---⌫--|-----⌫-⌫-----||
lentrer d u	|-----|-⌫|
uilla igesalloientpercheuant	-----⌫--||-------|---------|
Queparles champz alloient gent d	--|--|--|-----|-------|---||
armes queminantEtaller ent	----|--------|-|-----⌫--|
illecques leurzcheuaulzassaiant U npreudom mee nsa te rrefou ant.	--------|----|-------|-------|-⌫|-------⌫-|-⌫|-|--⌫--|---⌫---|
Anthiaumesuienta lui	---------|----||--|
salluantE t lui dist Orbeau	-------|-⌫|--|---|-|---|
preud o nsne	-----⌫-⌫-|-|
cellantQuefontcytantde	------|--|---|-|---|-|
gensquecyuo y	---|--|-|--⌫|
appa rantIldit yauoir feste qu	----⌫---|-|--||----|----|-|
ilzuoyentcyquerant.Ainsdist	--|-----|-|-------|---|---|
le preudomsSaichiésaessïant Oïl uous t r ouueréz	-|-------|--------||-------|---|---|-⌫-⌫-------|
b onh ostel	-⌫-|-⌫----|
mainten nant.Chuz uillainGa rrinabon	-------⌫----|---|------|--⌫---||--|
hostelet grantBienyserré z	-----|-|----|---||------⌫|
s eruizdutoutauoco mmant.Fai nget auaine	-⌫----|-|---||-|--⌫-----|---⌫-|-|-----|
aurontuozde stri ers	-----|--|--⌫----⌫--|
aufreantEtsyauréz b on	-------|-|-|-----|-⌫-|
uinbienuin eulx etp oissantCarpointn	--|---|---⌫---|-|-⌫------|--|----||
estes ta illiézselonmonenssien t	----|--⌫------|----|--|-------⌫|
Sentrer enuomes tierbienuoy	|-----|-|-|---⌫---|---|--|
auosemblantMais d entreren tauuerne .	|-|-------|---||-----|-|--------⌫|
Qu ant Anthiaumeo ÿce llui	--⌫--|--------|-⌫-|--⌫---|
q uirespondoitAins y	-⌫-|---------|----⌫|
ale trauersseautrement	|-|--------|--------|
quilne doit Iladi t	-|-|-|---|-||--⌫|
a Garinuorm entchilz	|----|----⌫--|----|
a droitQueainsynous	|----|--|----|---|
aga bécarDieuxle	|--⌫--|--|----|-|
nousdeuo i t.Ettoutest parm a merequiest	---|----⌫-⌫-|-|---|--|--|-⌫|---|--|--|
de malaro it.- T aisiéz	-|--|---⌫--||-⌫------|
Ga r inpa rleDieuleurouon	--⌫-⌫-|--⌫|-|---|---|-|-|
croitCar i ay oÿ	----|--||-|--|
di re q ue	--⌫-|-⌫-|
nostrem e reestoit	-----|-⌫-⌫-|-----|
T outtel aplusbelleq ui en sontempzrengnoit	-⌫----|-⌫|---|----|-⌫-|-|--|----|-------|
mon pereatort l e	--|---||---|-⌫|
sourmenoit.Tout es toitpar Y der ne qu e	----------|---|--⌫---|--|-⌫---⌫-|--⌫|
paramoursamo itSe	--|-----|---⌫-|-|
oncqu ess e	-----⌫-|-⌫|
io uriusquad ontqu iluëoit	--⌫-|----||-⌫--|-|-|-----|
Quem erepartyquiad ce tempzpo rtoit.Toute e nchainte	--|-⌫--|----|--|-|-|----|--⌫-----|----|-⌫-------|
croy quemor t e so it.Et s estperd us noperes	---|--|---⌫-⌫|--⌫--|-||--|----⌫-|-|----|
etapetitaroit Car	-||----|----|--|
notayonsl etientque	-|-----|-⌫|----|--|
amern e le	---|-⌫|-|
pouroit. Etnousl e	-------|-|---|-⌫|
com paron s car	---⌫-----⌫|--|
onnousdeuroi tHonnoureret	-|---|------⌫|--------|-|
pr isier.Ors ommesadest roit. -Taisiéz	--⌫-----|-|-⌫----||----⌫----||-------|
uou sbeau d oulx	---⌫|---|-⌫---|
frer e Anthiame diso it. Anc or esa	----⌫|-------|----⌫--|---⌫--⌫-||
Die uxassézqu i	---⌫-|-----|--⌫|
amizpouru oit. - uo irese dist	---|-----⌫---||--⌫--|-|---|
Garrinsedonner leuoulloi tBienle	-----|-|-----|-|-------⌫|---|-|
sarie smespren dre.Ors	-----⌫---|----⌫---|-||
enuontlesenffans ausquelzm oulta nuya.	-|---|--|------|-------|-⌫---|-⌫----|
u inre nt a	-⌫----⌫-||
los telGarrin adontal lerent la.Et	|--⌫--|-----|----|--⌫-----|--|-|
l e urmere y e stoi t	-⌫-⌫-|---||-⌫----⌫|
lesregar da O lui estoitGarrin	--|-----⌫-||--|-----|-----|
aqui elle p arla.Quantles	|--|---|-⌫----|----|--|
deuxd amo iseaulxladucesseauisaNe	---|-⌫---⌫------|-|------|----|-|
les recon gne ustmieet touz	--|-----⌫---⌫--|--|-|---|
de uxle spo rtaMais n	--⌫-|--⌫|--⌫--|---||
auoientqu eungan q uantellel eslai ssa.Elle	------|--⌫|--|-|-⌫---|---|-⌫-|---⌫---|---|
uintencontreeul x etlessallu a	---|-------|---⌫|-|--|-----⌫|
S ei gneurstresbonhostel aréz	-⌫--⌫-----|---|--|-----|----|
uousan uy t ch aL eshostelzenlauille	---|--⌫--⌫|--⌫|-⌫-|------|-|-|----|
sont touse m plizpiecha.	---|---|-⌫-⌫---|------|
