ocum es ri ches	|--|-|--⌫---|
homme per cele	----|--|---|
portemismes entret	----|-----|-----|
anosli medicinedes alue teit	|--|-|-------|-|-⌫----⌫---|
uelins d elserpententrat	-----|-⌫-|------|-----|
ete ntoscha ttote	-|-⌫-------⌫|---|
umaine lig nie ieligiere mentpounscullir	-----|---⌫---⌫-|-------⌫---|----|-----|
de ce z pr e i zgrant m essedetels	-|--⌫|--⌫-⌫-⌫|----|-⌫---|-|---|
m anieresdeflors maisiuesw arz enm ei	-⌫------|-|----|---|-|---⌫--|---⌫-|
uneabis med un e perfundeteitque	--|----⌫-||--⌫|-----------|--|
molt fa ita d oteraby smes est	---|--⌫-||-⌫---|---⌫---|--|
ur aiementque cerchiezne p u et	--⌫------|--|-------|-|-⌫-⌫-|
est rel i sa cremenz de l incarnat io n	---⌫-|-⌫|--⌫------|-||--------⌫--⌫|
nostre s ignoret abysmes est	-----|-⌫----|-|------|--|
quitre sperc ieznepu etestre	--|---⌫-----⌫--|-|--⌫-|----|
lip aro l lekestfaitechars	-|-⌫---⌫-⌫-||--|----|----|
et qui hab itat ennos quiporoit	-|--|---⌫---|-|--|--|-----|
aces te abysmeaueniret	|---⌫-|-----|-----|-|
lap oroi t ence rchierperfunzest	-|-⌫----⌫|----⌫-----|------|--|
cizpuzetiunenaimies	--|--|-|-|--|-|---|
uasselencaiiuen	-----|-|--|-|-|
poiepusier	---|-----|
toteuoiessuelt ala	--------|----||-|
fi e ieenmusti r	--⌫-⌫-|-------⌫|
l e slinceueske sorlo	-⌫-⌫|-------|-|--|-|
sunt misli	---|--|-|
humoursquede	------|--|-|
d ede nz isti u q ui	-⌫---⌫-|--|-⌫|-⌫-|
pr opr eenfermeteitnem ose	--⌫---⌫|----------|-||--|
miesa bandonerd entr erencest	---|-⌫-------||----⌫-|-|---|
puixettoteuoiesespanti uati	---|-|--------|-----|-⌫||-|
s ouent sire m esmainsassicum sus	-⌫----|---|-⌫-|----|---|--|--|
l ab ochedecest puisporceu	-⌫|-⌫---|-|---|---|--|--|
mona i nrmeestatisicumte rre	--|-⌫-⌫---|--||-|-|--|--⌫--|
sensau u eceu	---|--⌫-⌫|--|
pettitchierfreire	-----|----|-----|
kemescuersatreceutde l a	-|--|----|-|-----|-|-⌫|
trestenuenefumiereque de	---|------|------|--|-|
cest p uixes tcontremontuenu e	---|-⌫--|--⌫|---------|----⌫|
uoiliure partirse nsen ui eet	---|-|--⌫-----|--⌫-|--⌫--⌫|-|
arroseruoscuersdunet resp ittites	------|--|----||--|-⌫--|-⌫------|
gotte sde laceles t ie neroseiequ	-----⌫|-|-|-----⌫-⌫--⌫-|-----|-|
esto rsessuntas sicumd	----⌫---|---|--⌫-|--||
unlinceuel	-|-------|
iuencercheper quel	-|-------|--|---|
f ilz presist an ceoscharke	-⌫--|------|--⌫---|---|-|
ou kelisainzespirizcum	-|-|-|----|------|--|
c esoitketo t e	-⌫|---|-|--⌫-⌫|
litrinitez soit	-|-------|---|
d euwalgl oreet	|----|--⌫--|-|
mismes sust ancemais quipotunqu es conosse re	-----|----⌫---|---|--|--|----⌫-|-------⌫-|
lose nsnostre signorouqui	-|--⌫-|-----|-----|-|--|
fut un kes s escon silliersperfunz	--|--⌫--|-⌫-|---⌫-------|------|
e st molt cist sacre menz nede	-⌫-|---|---|-----⌫---|-|-|
telcho se n edoien snosmies	--|---⌫-|-⌫|-----⌫|--|---|
ultrecu dieme nt ethasti ulementdonersentence	-------⌫-----⌫-|-|-----⌫------|----|-------|
ceusem bletassi que ceu	--|---⌫---|---|--|--|
fustplus cou enaulecho se	---|---|---⌫-----|---⌫-|
cil deuenistspecialmentfilzqui	--|-------|----------|---|--|
filzestoitdauantp or ceuqu	---|-----|-----|-⌫-|--|-|
el nomn en aust	-|--|-⌫-|---|
nuledot ance	---|---⌫---|
daltrepart ceuestli	|----|---|--|--|-|
s ing uler sgloreetli	-⌫---⌫----⌫|----|-|-|
souerain eho no rs	--------⌫|--⌫--⌫-|
denostreuirgenemariequ	-|-----|------|----|-|
co m une nsemble	--⌫-⌫-|-⌫------|
d eu lop e reetceunepuist	-⌫-|-|-⌫-⌫-|-|--|-|----|
mie estres ili filz	--|----|-⌫|-|---|
ne n austpri s	--⌫|---|---⌫|
charnosmismesne	---|--|-----|-|
p e raltreoqueson	-⌫-⌫|----|------|
espirerleritage	------||------|
permenant car	--------|--|
cilquiestoitli	--|--|-----|-|
sou lsfilzdelpereapelat sensdote	---⌫-|---|--|---|-----|---|---|
perceuquil	--|--|-|-|
p r i miersneiz	-⌫-⌫-⌫----|---|
deuintentr e	-----|----⌫|
pluso r sfreres	-----⌫-⌫|-----|
ceo senson	---⌫|-|--|
heritag ecui ila pelatenson	-------⌫|--|-|-⌫----|-|--|
electio nca rsinos	-------⌫|--⌫|-|--|
su m mesfr ere	--⌫-⌫--|--⌫--|
donssummes	---|-----|
assihoirdonq ues	---|---|----⌫--|
t ote nsicumnos trefoyau l es moyneres	-⌫-|-⌫--|--|---⌫--|-----⌫-⌫-|-------|
ihesucri zassemblatper	----|---⌫|--------|--|
meruill ouss acre ment enuneperso nela	-------⌫--|-⌫----⌫---|-|--|-----⌫-|-|
sostan ce deuetdelomme ensi	------⌫-|--|-|-||---|---|
al etil enno stre reconciliementpersi	--⌫-|-|-|--⌫---|-------------|--|-|
co uen auleconsoil qu ildela	--⌫---⌫---|------|-|-|-|-|
mo yen edroiturene se pertitmies	--⌫---⌫|-------|-|-|-----|---|
donanz eta luneta	-----|-|||-|-||
al trec euk aunchascu n ap er teniuet	--⌫--|-⌫-|||-|------⌫|--⌫--⌫------|
l onor etal omme	|---|-|||---|
lapitietcesteestoitl im iedre manierede	-|-----|----|-----|-⌫|-⌫----|------|-|
faire paix entre	----|---|----|
losignorqui	-|-----|--|
co rreciezestoitetloseriant ki colpaules	--⌫------|-----|-|-|------|-|--------|
estoi t ensi que	-----⌫|---|--|
l iserianz	-⌫|------|
nefust apresseizdeplus fiere	-|---|--------|-|---|----|
sentenceperlomat el e nt del	-------|--|-|---⌫--⌫-⌫-|--|
sig n orc uiildeu st auoirhonoreit	---⌫-⌫-|-⌫-|-|---⌫-|----|-------|
etke l i sires	-|-|-⌫|----|
nefustdaltre	-|---||----|
parttropp annizdetel hono rc u men	---|---|-⌫----|-|--|----⌫|-⌫-⌫|-|
lideuoi t perlapitiet	-|-----⌫|--|-|-----|
ken feroit a	|-|-----||
or eswarde di liantremen tsi	-|------|--⌫----------⌫|-|
lia ngele mismes newardent	-|-⌫----|-----|-|------|
ceste choseenlanassancede	----|----|-|-|-------|-|
ces tmo ynour g lore dientilsoit	---⌫|--⌫----|-⌫---|----|-|---|
enshalt imesadeu etente rre	--|----⌫---||--|-|-|--⌫--|
paiz asho m m esdeboneuolenteitpo rceu	---|-|--⌫-⌫-⌫-|-|---|--------|--⌫|--|
awardernede fallitunq ues	|-----|-|--⌫-----|---⌫--|
a crist n ostrefoyaul e reconciliour	|----|-⌫----|------⌫|-----------|
es pirizdecrim o ur dont	--⌫----|-|----⌫-⌫-|---|
il adespo rtastho noralp ere	-|---|--⌫----|--⌫--|-|-⌫--|
etquesis tades sa glore	-|------⌫|---|-|----|
nel iesp irizdepitietdons	-|-⌫|---⌫---|-|-----|---|
ilashom m esfustpis	-|-|---⌫-⌫-|---|--|
etmise ricor sporceuotil	-|----⌫-----⌫|--|--|-|-|
assim esti erdelespirit	---|-⌫----⌫-|-||------|
sc iencepercuilidepertemenz de	--⌫----|--|--|-|----------|-|
lacrimoretde lapi tiet	-|-----|-|-|-|--⌫---|
fustf aizsenzc onf usion il t roi	---|-⌫--|---|-⌫---⌫----|-|-⌫--|
kiloprimiezpechietaidarent	-|-|------|------|-------|
afai rema isao uertementdefallerent a	|---⌫-|--⌫-|--⌫--------|----------||
ceostr oistroischosescist	---|--⌫--|----|-----|---|
t roifure nteueetl i	-⌫--|----⌫-|--|-|-⌫|
diauleset adanseuenen	------|-|----|--|--|
sc ienceque	--⌫----|--|
dec eue fut	---⌫--|--|
si cumdist liapostle s	-|--|---|-|-------⌫|
e nla pr euaricati on	-⌫|-|--⌫---------⌫-|
maisceste ne	---|----|-|
defallitm iesal serpentqui estoit	-------|-⌫--|-|------|--|-----|
p l usuo ys ousdetoteslesaltres	-⌫-⌫-|--⌫--⌫--|-|----|--|-----|
best esm ais nen otpoent de	----⌫-|-⌫--|--|-|----|-|
pit ietli maligneseneminsqu idesl	---⌫--|-|-------|------|--⌫|--||
encomencementest	------------|--|
deuen uzhomicidescesembletq u adan s	-----⌫-|--------|-|------|-⌫|----⌫|
fu st pis qua ntil sa	--⌫-|--|---⌫-|-|-|
femme neuoltmies	----|-|---|---|
c orrecierm ais	-⌫-------|-⌫--|
la crimor dedeu dewerp i t	-|-----|-|--|------⌫-⌫|
anceosfutob e diens asauoi x	-----|--|--⌫-⌫----||-|---⌫|
de deu ha icum	-|--|--⌫|--|
bien nos fust auenuts ilicrimour sde deu	---|--|---|-----|-⌫|-|-------⌫|-|--|
aust en lu i l a	---|-|--⌫|-⌫|
force sic u menleistnomei ment	----|-|-⌫-⌫|-|----|-----⌫---|
decristetl iespirizde	-|----|-|-⌫|------|-|
crimor loraamplit ento t e s cho sese t	-----|-|-------|-|--⌫-⌫-⌫|---⌫--|-⌫|
pertotesch oses doit estre	--|----|--⌫---|---|----|
licri mours n ostr esigno rmise da uant	-|---⌫----|-⌫----⌫|-----⌫|---|--⌫---|
lapitie tdes prosm es	-|-----⌫|--|-----⌫-|
estcillesou l ec housequ etotl	--|----|---⌫-⌫|-⌫----|--⌫|--||
doitt raire	---|-⌫----|
ce s tr oischose sreconciliat nostre moyneres	--⌫|--⌫--|-----⌫|----------|-----|-------|
lommead euc est en	|---||-⌫-||--|-|
cr imour emp itie tetemsciencemais	--⌫----|-|-⌫----⌫|-|-|------|---|
consoletenforce lo deliuratil	-----|-|-|----|-|-------|-|
delamain d e sonaduersaire	-|-|---|-⌫|--|---------|
il pennitperc ons ol l	-|-----|--|-⌫---⌫-||
deson anci enedroytureetper	-|--|----⌫--|-------|-|--|
forcefist qu ilper force	----|---|-|-|--|----|
nepotret enirceos	-|--|---⌫---|---|
quirachatei t	--|--------⌫|
estoientquan t	-------|----⌫|
i l u enk eres rep airatd	-⌫|-⌫---⌫---|---⌫----||
enferet quant	----|-|----|
hommes rel euatens e mble lui	-----|---⌫---|---⌫-⌫---|--|
p orceunos	-⌫-|--|--|
pastil or de l	---|-|-|--⌫|
paind e u ie etd ent en demen t et	---|-⌫|-⌫-|-||---⌫--⌫-----⌫|-|
nos aboeuretdauue	--|-------||---|
s antiulesapienc ecarlientendemen zdes	-⌫------|-------⌫|--|-|----------⌫|--|
c hose ses piritelsetniant ui sibles	-⌫----⌫|--⌫-------|-|----|--⌫-----|
est li urais	--|-|----|
delainrmeconfermanz	-||-----|---------|
nostre cu eret	-----|--⌫-|-|
enforz a nz tote snozb ones	------⌫-⌫-|----⌫|--|-⌫---|
oy uresentoz	--⌫---|-|--|
e stud es espiritelsmaisli	-⌫----⌫-|---------|---|-|
charnalscuersquinenaperceot	-------|----|--|--|-------|
m iescel escho ses kesuntdel	-⌫--|---⌫-|---⌫--|-|---|-||
espiri tdedeuanzl i s embl et	------⌫|-|--|--|-⌫|-⌫----⌫-|
cildie te ngemissementet en	--|---⌫|-⌫|----------|-|-|
pl our desachiez	--⌫--|--------|
estmescuerscar	--|--|----|--|
iu ai oblie it amangiermon	-|-|-----⌫-||------|--|
painurayeetperfait e ueritezest	---|----|-|-------⌫|------|--|
que ne ualtn ianta	--|-|---|-⌫---||
totlomun dew aign etpo rceu	--|-|---⌫-|-⌫----⌫-|--⌫|--|
facetl enpoireme ntde	----||---------⌫-|-|
sonainrmemaisceucoment	--|-----|---|--|-----|
ente ndr eli cuers auer sen uain	----⌫---⌫|-|----|----⌫|-|---|
se trauallet cilq u iceu	-|--------|--|-⌫-⌫|--|
enho rt e retporcai certes	----⌫--⌫-⌫|-|--|--|-----|
ce uk etot	--⌫|-⌫|--|
ceulise mblet estre	--|-|--⌫----|----|
sottiequelschoseestplusuraie	-----|----|----|--|---|----|
quec e u qu el ii us de crist	--|-⌫-⌫|--⌫|-⌫|-⌫-|-|----|
soit sueys	---|----|
omm e seculer dauant	---⌫|------|-----|
siuarasquil anceos	-|----|-|-|-----|
lotarrit api ere qu apa in	-|-----||--⌫--|-||--⌫-|
etce rtesde lentende ment	-|--⌫---|-||-------⌫---|
dedentriene ueriteit u i tli	----------|-------|-⌫-⌫|-|
ainrmeetcist mangiersest	-----|-|---|-------|--|
esp iritelscar lihom	---⌫------|--|-|--|
mies soulementdepain	---|--------|-|---|
maisdetotte laparol le quiist	---|-|----|-|-----⌫-|--|--|
d ela bochede deu	-⌫|-|----|-|--|
puesmietraireen ti	---|--|-----|-|-|
sensgrantpoe nela	---|----|---⌫-|-|
uerite it deci	------⌫-|---|
at an t que	--⌫--⌫|--|
t uen sensla	-⌫|-|---|-|
sauour maisquantt ut	-----|---|----|-⌫||
enco me nces	----⌫--⌫---|
iaien leiadeletiersinen	--|-|--||-------|-|--|
est iaielemies maingiers	--|--|--|---|--------|
maisboeures	---|------|
e t ligiereme ntentre tdonsal	-⌫|---------⌫-|-----⌫|---|||
perlo boeure desa pien ce	--|-|-----|-|--⌫----⌫-|
m atistliu italledel	-⌫----|-|-⌫-----|-||
entendement	----------|
ne soitplus a	-|---|---||
esploitassas	------|-|--|
deldedentrienhommec estas saches	--|---------|----||--|-|-----|
affect ions	------⌫---|
nulechose n edeffallitennostre saluourquemestieraussen t	---|----|-⌫|--------|-|-----|------|--|------|------⌫|
nostresalueteitca rc est il	-----|--------|--⌫||--|-|
decuy ysaiesliprophetes parl at	-|--|-----|-|--------|----⌫-|
gran ttensdauantune uerged istil isserit de	----⌫|---|-----|--|----|-⌫--|-|------|-|
d e iessee t	-⌫|----|-⌫|
un efloursaparritdesaracinee tsor	--⌫|-----|------|-|-|-----|-⌫|--|
flourserep oseritliespi rizdenostre signor	----|-|---⌫-----|-|----⌫--|-|-----|-----|
li espiriz desapience	-|------|-|-------|
et dente n dementlies piriz	-||----⌫-⌫-----|-|--⌫----|
decons olet deforce l iespirizdescience et	-|----⌫-|-|-|----|-⌫|------|-|------|-|
ra amp leritliespirizd e lacr imou r	--⌫---⌫----|-|------|-⌫|-|--⌫----⌫|
nos tre signor	---⌫--|-----|
warded iliant r e mentquildis t que	----|-⌫------⌫-⌫-⌫---|-|-|---⌫|--|
aparroitdela racine et nemiesdelauerg e	-------|-|-|-----|-|-|---|-|-|----⌫|
carsilinouele	--|-|-|-----|
charsdec ristfusten l a u irgene creeie de niant	----|-|-⌫---|---|-|-⌫|-⌫-----|-----|-|----|
plus o r gen t cudarentomnepuistm i ed ireque	----⌫-⌫|---⌫|-------|-|-|----|-⌫-⌫|-⌫--|--|
fu staparuede laracine maisdelaue rgem ais	--⌫-|-----|-|-|-----|---|-|-|--⌫--|-⌫--|
uss itdelaracinecestde	---⌫-|-|-|-----||--|-|
la comune racinesi	-|-----|-----|-|
n enestmie s	|-|--|---⌫|
nenaust ma tierecomune	--|---|--⌫----|-----|
etperceuqu i l	-|--|--|-|-⌫|
distqueliespir izserepos atsor	---|--|-|-----⌫-|-|-----⌫-|--|
luisimostretila ouerte ment	--|-|------|-|-⌫------⌫---|
qu ilenlu inen	-|-|-|--⌫|--|
o tnulecont rarieteit mais porce uque	-⌫|---|----⌫--------|---|--|--⌫|--|
esp iriz nenest mies e n	---⌫---|--|--|---|-⌫|
no sa l de souredeltotsin e se	--⌫|-⌫|--⌫----|--|--|-|-⌫|-|
ilmiesennosca rlichars	-|---|-|--|--⌫|-|----|
encuuist encontre l	-------|-------||
espiritetli	------|-|-|
espirizencontrela c har	------|-------|-|-⌫--|
e tde cestbatal lenos p uist deliurer	-⌫|-|---|-----⌫-|--|-⌫---|-------|
ho mquienluinenot	--⌫|--|-|--|--|-|
nule telcho seq u ila	---|--|---⌫-|-⌫-⌫|-|
ymagereceutdeno strecha r	----|-----|-|--⌫---|---⌫|
senslo uiez	---|-|---|
li u aindecuuise	--⌫-⌫--|-|-----|
n efutmiessens choseceuq ue sainte eglisequi	-⌫|--|---|---|----|--|-⌫-|-----|-----|--|
lespiri tdeceluiquiests es	|------⌫|-|----|--|--|-⌫-|
espousetses	-----|-|--|
deusmisth u i	---|---|-⌫-⌫|
proc essionense mblela passionper	----⌫-----|----⌫---|-|------|--|
meruillousa s semblementcare nlapr ocess ionat	---------|-⌫-⌫---------|--|-⌫|-|--⌫-----⌫--|-|
et enlapassion plag et	-|-|-|------|---|-|
por ceuque nos	--|--|--|--|
summesdatoureta s	-----|-----|-|-⌫|
sageset asfoussiueuns	----|-|-|---|-|----|
quelbienf acetc istassemb lemenzet	---|---|-⌫---|-⌫--|------⌫-----|-|
et as altres p rimiers ueuns	-|-|-----|-⌫------|----|
ce qu estqu il	-|-|--|-|-|
demostretala gentseculercarceukespir itels	--------||-|---|------|--|--||-----⌫----|
chosee stnen	----|-⌫-|--|
es tmiesprimier smaisliselonclainrmeest	--⌫|---|-------⌫|---|-|-----||-----|--|
donslicuer s	---|-|----⌫|
seculer setsientendetq uela fin	-------⌫|-|-|-------|-⌫-|-|--|
d e l aioie	-⌫|-⌫|---|
porprent liploursporceu	-------|-|-----|--|--|
qui lesaltres c hoses	--|--|-----|-⌫----|
en comenc etafaireetae ns ignierproi chanzet per	--⌫------⌫-||----|-||-⌫--⌫-----|----⌫----|-|--|
parol les et p er	-----⌫--|-|-⌫-|
essa mp le prouer aouertementenlui	----⌫--⌫-|-----|----------|-|--|
mismesquantilen charap arut	-----|----|-|-|---|--⌫---|
ceuquilpe rlo propheteauoi td au a nt a nonci ét c	--|-|-|--⌫|-|-------|----⌫|-⌫--⌫-⌫-|-⌫-----⌫--||
t ote char estoit fo en s ettote	-⌫--|---|-----|--⌫--⌫|-|---|
saglore s icum	-|----|-⌫|--|
lifloursdel foenc etporceuuo ltestreessalciez	-|-----|--|----|-|--|--|--⌫-|----|--------|
perlag loredelapr ocession cilquisauoi tbien	--|-|-⌫---|-|-|--⌫-------|--|--|-----⌫|---|
petitapres	----|----|
deu oitestreliiors desa hontouse pa ssio n	---⌫--|----|-|---|-|-|-------|--⌫----⌫|
deueroitmaisauoirespe ran ce enlanon	-------|---|----|----⌫---⌫-|-|-|--|
certeit del a te mporel	------|-|-⌫|--⌫-----|
glore quantom	----|----|-|
granzaui llemenz uintapre s	----|---⌫------|---|----⌫|
essa lcemente n celuimismes quiunkes	----⌫------|-⌫|----|-----|--|----|
nefist pechietlocriator	-|---|------|-|------|
de totescriatures	-|----|--------|
enune mismes c iteit et	-|--|-----|-⌫----|-|
mismes genteten un	-----|---|-|-|-|
mis m este nsfut honorezde	---⌫-⌫-|--⌫-|--|------|-|
procession	---------|
etdediuinslo setap reslaidengiez ettorm e ntez	-|-|-----|--⌫|-|--⌫--|---------|-|----⌫-⌫---|
cuntezentrelesmalicios certestelsest	-----|----|--|-------|-----|---|--|
latr epassantioiet elsest lifruz dela	-|--⌫-------|---|-⌫--|--|-|---|-|-|
gloretempor alpor	----|------⌫-|--|
ceuouretsagementli pro fetesquesaglorechanst	--|----|-------|-|---⌫----|--|-|----|-----|
signorensiquiln eso itmi ecompuz	-----|---|-|-|-⌫|--⌫-|--⌫|-----|
tele procession	---|---------|
aitcuin ul epassionsne	--|--|-⌫--⌫|-------|-|
uoschierfrereato rnonsnos	--|----|----|---⌫----|--|
lesespiritelschosessic um	--|---------|-----|-|-⌫-|
ac eo s q ui espiritelmentuiu ent	|-⌫--⌫|-⌫-|------------|---⌫--|
etporceurepr es entons nosa	-|--|--|----⌫--⌫-----|--||
uo s lag loredelcelest ien	--⌫|-|-⌫---|--|------⌫--|
pai senlaprocessione ten	---⌫|-|-|---------|-⌫|-|
la passionuos	-|------|--|
mostrons lau oiesic eleleeceetsicil	-------|-|-⌫--|-|-⌫--|----|-|-|--|
bienaurouses ioiss emenz	---------|--⌫-----⌫----|
quiesta auen i r teu ien te nta	--|--||----⌫-⌫|-|-⌫---⌫|-⌫|-|
pe n seenlaproces sion	--⌫-⌫-|-|-|------⌫---|
ennuesseronsrauitpor	-|---|-----|----|--|
alere nc ontrecristen lai resitudet ot	---|-⌫--⌫----|----|-||--⌫-|-|-|-|-⌫-|
tondesierdesires	--|-----|------|
ce liorquant	--⌫|--|----|
crizno stre sires	---|--⌫---|----|
serit rece uz at ot s es	----|----⌫-|--⌫-|-⌫-|
menbresenlacelestiene ie rus alem portanz	------|-|-|---------|--⌫---⌫---|------|
de uictoirelaioules uirtuzdec iel etn e	-|-------|--|-|--|-----|-|-⌫--|-|-⌫|
