carleslireisnostre emperemagnes	-----|-|---|-----|-----|-----|
respontrollantne placetdamnedeu	------|------|-|-----|-------|
parentpurmeiseientblasmét	-----|--|--|-----|-------|
nefrancedulce iacheetenuiltet	-|-----|----|-|----|-|-----|
einzi fer raidedurendalasez	---||---⌫--|-|-------|---|
ma bon eespee	-|---⌫|----|
queai cei nta lcos tet	--|-|---⌫-|-⌫|---⌫--|
tutenu errezle	--|-|-⌫----|-|
bran t ensang lentét	----⌫|------⌫------|
f elun paien mari	-⌫---|----|--||
suntase mblez	---|---⌫----|
pleuistuzsun ta mort liurez	-----|--|---⌫||---|-----|
cumpainzrollantsunez	-------|------|----|
uostreo l ifan	-----|-⌫-⌫---|
carlesk iestas	-----|-⌫|--|-|
porzpassa nt	---|-----⌫-|
ieuospleuis iareturneruntfranc	-|--|-----|-|----------|----|
neplacetdeu	-|-----|--|
colirespunt	-|-|------|
queco s eitditde nul hum euiu ant	--|-|-⌫--|--|-|--|---⌫|---⌫--|
n epurpaie n	-⌫|--|----⌫|
queiaseie cornant	--|-|---|------|
enaurunt reproecem i parent	-|-----|-------|-⌫|-----|
qu antioseraienlabataillegrant	--⌫--|-|----|-|-|-------|----|
eiof erraiemil	|-|-⌫----||--|
colps eyyce nz	----||-|--⌫-|
dedurendaluerr ez l a cersanglent	-|-------|----⌫-||-⌫--|-------|
france issuntbon	------⌫-|---|--|
siferruntua ssalm e nt	-|------|--⌫-----⌫-⌫-|
iacil de spaigne	-|--||-⌫------|
nauruntdemort guarant	|-----|-|---|------|
dist ol iui erdiconesaii oblasme	---|--⌫---⌫-||--|-|--|-⌫|-----|
ioai ueu t l es	-|-|---⌫|-⌫-|
sarrazinsde spa igne	--------||-⌫---⌫---|
ualelesmu ntai gnes	--||--|--⌫----⌫---|
e t restutes	|-⌫-------|
le splaignes	--⌫|-------|
granz sunt lesozde	----|---|--|-|-|
celegentestrange	---|---|-------|
nu siauu mmu ltpetite cumpaigne	--⌫||---⌫|--⌫-|-----|--------|
respuntrollantmis talenzen estgraigne	------|------|--|-----|-|--|------|
ne placet damnedeunese sangles	-|-----|-------|-|--⌫|-----|
q ueiapurmei perdetsau alurfrance	-⌫-|-|--|--|-----|-|-⌫---|-----|
melzuoeillmurir	---|-----|----|
quehuntagemeuen g e t	--|------|-|---⌫-⌫-⌫|
ferirlemperere	----||-------|
plusnosaim et	---|--|---⌫-|
ro l lantest	--⌫-⌫---|--|
prozeoli uer	---||---⌫--|
ambedu iuntuasselage	------⌫|--|--------|
puisqueilsunt	------|-|---|
ia p u rmu rirneschiuerunt bataille	-|-⌫-⌫|--⌫--||----------|-------|
bon suntlicunteel u r	--|---|-|----||-⌫-⌫|
parol eshaltes	-----⌫-|-----|
fel unpa ienpargr an tiru rch eualchent	---⌫-|--⌫--|--|--⌫--⌫|---⌫|--⌫--------|
d ist oliuer rollant	-⌫--|-----|------|
ueezenal ques	---|-|--⌫---|
cistnussuntpres m ais	---|--|---|---|-⌫--|
trop nus estloinz carles	---|--|--|----|-----|
uo streolifansune ruosneldeignas tes	--⌫---|-----|----⌫|--|-||-------⌫--|
fustili reis n	---||-|---||
ious sum damage	|---⌫--|-----|
guarde z amuntdeuerslesporzdespaigne	------⌫|----|-----|--|---||-------|
ueei rpoez dolenteest larer eguarde	----⌫|---|------|--|-|---⌫------|
kicestefaitn enferataltre	-|----|---||-|----|----|
respuntrollantne	------|------|-|
malseitde l	--|---|--⌫|
coer k i e lpizsec uardet	---|-⌫|-⌫|--|-|-⌫-----|
nusrem ei nd rum enestal	--|---⌫--⌫--⌫--|-|----|
enla pl ace	-|-|--⌫--|
parnos i ertelicolp s e	--|--||--||-|----⌫||
li c aples	-|-⌫----|
quant rollant ueitque labatailleserat	----|------|---|--|-|-------|----|
plussef a itfiersque leon neleupart	---|-|-⌫-⌫-|----|--|---|-|------|
f ranceisescriet oliuerap elat	-⌫------|------|-----|--⌫---|
sir ecump ainz ami sneldire	---⌫|----⌫---|---⌫|-||---|
liempererekifra nceis nos	-|-------|-|---⌫----|--|
itels yymilie en mist a u nepart	----|-|----|-|---||-⌫-|---|
sun escie ntre nen iou tunc uard	--|-----⌫---||-||--⌫|-|-⌫---|
pursun seig n ur deitho m	--|--|----⌫-⌫-|---|--⌫|
susfrirgranz mals	------|----|---|
eendurerefor zf rei ze	|------||---⌫|-⌫---⌫||
granzchalz	----|----|
deit hompe rdre	---|--|--⌫---|
delsance de lachar	--|---||-|-|---|
f ier delanceeio de dur endal	-⌫--|-|----||-|-|---⌫----|
maboneesp eequeli reis	-|---|---⌫-|--|-|---|
seioimoer tdirepoet	-|-||----⌫|---|---|
dire quee le futanobleuassal	---|--|-⌫-|--||----|-----|
part estliarce ue sq uest urpin	---|--|-|----⌫--⌫--⌫--|-⌫----|
suncheual broc he	--|-----|----⌫-|
emuntet u nlariz	|-----|-⌫|----|
franceis apelet unsermun	-------|-----|-|-----|
lur add it	--|-|-⌫-|
se ign ursbaruns	--⌫---⌫--|-----|
carlesnus lais satci	-----|--|----⌫--|-|
purnostre re i d euum	--|-----|--⌫|-⌫---|
nusbenmur ir	--|--|---⌫-|
chrestie ntetaide zasust enir	--------⌫---|----⌫||----⌫---|
ba taille aure zuos enestes	--⌫-----|----⌫|--|-|----|
ka rauoz oilzueez les sarrazin s	--⌫||--|---|---|--|--------⌫|
clamezuosculpessipreiez de u	-----|--|-----|-|-----|--⌫|
aso ldraiuospuruozanmesguarir	---⌫----|--|--|--|----|-----|
seu osmurez esterezseinz	-|-⌫-|----|------|----|
siegesau rez el	-----|--⌫--|-|
greignor pareis	-------|-----|
f r ance is decenden ta tere sesunt mis	-⌫-⌫----⌫-|--------⌫||---|-|---|--|
arceuesqu ededeulesbeneist	---------⌫|-|--|--|------|
parpenitence les	--|--------|--|
c uman det a	-⌫----⌫--||
fra ncei ssedre cent sise metentsurpi ez	---⌫----⌫|-|---⌫---|-|-|-----|--|--⌫-|
bensun tasolsequitesde	--|---⌫|----||-----|-|
lurp ecchez	--|-⌫-----|
e larceuesquede deu	||---------|-|--|
lesadse ignez	--|-|--⌫----|
pui ssu ntmuntezsurlurcuranzdestrers	---⌫|--⌫-|-----|--|--|-----|-------|
adobez suntal e i	-----|---||-⌫-⌫|
decheualers	-|--------|
b a taillesunttuitapareillez	-⌫-⌫-----|---|---|---------|
rollan tape letoliuer	------⌫|---⌫--|-----|
sirecumpa inz	---|-----⌫--|
m ultben l esauiez	-⌫--|--|-⌫|-----|
que g uen elu nno s adtuz	--|-⌫---⌫---⌫|--⌫|-|--|
pris en ador eauei r edeners	---|-|-|-||----⌫||-----|
li emper er enosdeureitbenuenger	-|-----⌫--⌫|--|------|--|-----|
lir eis marsili ed en osadf ai tmarchet	-|-⌫--|-------⌫|-⌫|-⌫-|-|-⌫--⌫|------|
maisasespees l	---|-|-----||
e s tuurat esleger	-⌫-⌫-----|------|
a sporzd espaigne	-⌫|---||-------|
enest passétro llant	-|--|------|--⌫----|
surueillantifsu n buncheual curant	--|---------|--⌫|--|-----|-----|
portet s esarmesmultlisunt auenanz	-----|-⌫-|----|---|-|---|------|
maiss un espiet uaitliber s	---|-⌫-|-----|---|-|---⌫|
p almeia nt	-⌫------⌫-|
ciel uaitlamure turnant	---|---|-|---|------|
lacieten s uun gun f a nun	-----|-|-⌫|-|---⌫-⌫-⌫--|
lesrengeslibaten t	--|-----|-|-----⌫|
cors admultgent	---|-|---|---|
leui sclereriant	-|--⌫|---||----|
suncumpaign u n apres le uaitsiuan t	--|--------⌫-⌫|----|-|---|-----⌫|
e cildefran celecleiment	|--|-|----⌫-|-|-------|
u erssarr azinsr eguardetf ierement	-⌫--|----⌫----|-⌫-------|-⌫-------|
euersfranceishumelese	|---|-------|------||
ditunmotcurteisement	--|-|--|-----------|
seignursbaronssuef	-------|-----|---|
p a sal ezten ant	-⌫-⌫|--⌫-|---⌫--|
cistpaienuon tg rantmartir ieq uer ant	---|----|---⌫|-⌫---|------⌫-|-⌫---⌫--|
encoiaurumun	----|----|-|
es checbe le	--⌫---|--⌫||
defra nc e	-|---⌫--⌫|
unkes siua ill ant	----|-|--⌫---⌫--|
acesparolesuunt	|--|------|---|
leso zaiustan t	--|-⌫|-------⌫|
dist oliuerna i	---|-----||-⌫|
curedeparl er	---|-|----⌫-|
uostreolifannedeignas tes suner	-----|-----|-|-------⌫--|----|
n edec arl unmieuos nenauez	-⌫|-|-⌫---⌫-|--|--||-|---|
iln en set motn	-||-|--|--||
cilkila sunt nefuntmie	--|-|-|---|-|---|--|
karcheualc hezaquanqueu os pu e z	--|-------⌫--||------|-⌫-|--⌫-⌫|
se ignorsbaruns	--⌫-----|-----|
elcamp uo s	-|---|--⌫|
purdeuu ospriben se iezpurp ensez	--|--|-⌫-|--|--|--⌫--|----⌫----|
deco lpsferirde re ceiur e	-|--⌫--|----|-|--⌫-----⌫|
l enseignec arlen	|-------|-⌫---||
a ic estmot suntfranceis es criét	|--⌫--|--|---|-------|--⌫-----|
kidunc o istmunioiedeman der	-|---|-⌫--|------|-----⌫--|
de ua sselage li poustremembrer	-|--⌫------|-|----|--------|
puissi cheua l chentdeus parsi	---|-|-----⌫-⌫----|---|--|-|
g rantfiertet	-⌫---|------|
brochen tada itp urle plu stost a ler	-------⌫|-|-⌫-|-⌫-|-|---⌫|---|-⌫--|
siuuntferirquef ere ientilel	-|---|----|--|-⌫---⌫---|-|-|
esa rrazinsn e su ntmie	|--⌫------||-⌫|-⌫-|--|
f rancsepai ensaslesuu s aiustez	-⌫----||---⌫--|-|--|--⌫|------|
li niesmarsilie ilad anuma elr oth	-|---|-------|-|-||--|-⌫---⌫--|
tut premer eins	--|------⌫---|
che ualchetdeuant	---⌫------|-----|
de noz franceisuaitdisantsimals	-|--|-------|---|-----|-|---|
feluns f r ance ishoi iusterezasnoz	-----|-⌫-⌫----⌫-|--|-------|-|--|
traitu osad kia guar deruosout	----|-⌫-|-|-||----⌫--|--|--|
f olsestli re iskiu os	-⌫--|--|-|--⌫-|-|-⌫-|
l aissatasporz	-⌫-----|-|---|
enquoiper dratfrancedulc e	-----|---⌫---|-----|----⌫|
cha rlesl i magne sledest reb raz delcors	---⌫---|-⌫|-----⌫|-|----⌫-|-⌫--|--|---|
qua ntlotro l lantdeus sigrantdoelen out	---⌫-||-|--⌫-⌫---|---|-|----|---|-|--|
suncheual brochetlaise t	--|-----|------|-----⌫|
uaitleferi rli quensquan q ue	---|-|----⌫|-|----|----⌫-⌫-|
lescu tlifreint	|----⌫|-|-----|
e losberclides clot	||-----|-|---⌫---|
trenchetle	-------|-|
briset lesos	-----|--|-|
tutele sch ine li d eseuret d eldos	---||-⌫---⌫--|-|-⌫------|-⌫-|--|
odsunespietl	-|--|-----||
anmel igetet fors	---|-⌫|----|---|
enpeintle benfa it	------|-|--|--⌫-|
librandirlecors	-|------|-|---|
pleinesahanste	-----|-|-----|
delcheu all ab atmor t	--|----⌫-||--⌫-|---⌫|
endou smeitiezliadbrisét	-|---⌫|------|-|-|------|
nele ser a tcoditqu eni	-|--⌫---⌫-⌫|-|--|--⌫|||
ul trecu luertca rles nest m iefol	--⌫--|--⌫----|--⌫---||--|-⌫-|--|
netraisun unkes amer	-|------|----|---|
ilfistq ueprozquilnu slaisadas	-|---|-⌫-|---|-|-|--⌫|-----|-|
oi nenperdrat france dulc esunlos	-||-|------|-----|----⌫|--|--|
ferezi francs	----||-----|
nos tree stl ipremer s colps	---⌫--|-⌫-|-⌫|------⌫|----|
n o sauumdreitmaiscistglutunun tto rt	-⌫-⌫|---|----|---|---|-----|--⌫|--⌫-|
unducie st	-|--||-⌫-|
si a d num falsaron	-|-⌫|--|-------|
i cilfr erealrei	-⌫--|--⌫--|-|--|
m arsiliun	-⌫-------|
il tintla ter e	-|---|-|---⌫|
datliunebalb iun	------||----⌫--|
nenat pl usencrisme felun	-||-|--⌫-|-------|----|
e ntreles dous o ilzmul tout	-⌫---|--|---|-⌫--|---⌫|--|
grantdemi pi edmesurer i pout hom	----|---|--⌫-|------||---|--|
asezad doelquant uit mort	---|-|---|----|--|---|
su nne uold	--⌫|--⌫---|
istde lapresesisemeten	--|-|-|----|-|-|--|-|
esesescrie tl enseigne	|-||------⌫||-------|
enuersfr anceis	-----|--⌫-----|
est multcuntrariu s	--|---|---------⌫|
enquoiperdr a t fr ancedulce	-----|-----⌫-⌫|--⌫---|----|
ot l eoliu e rsi n ad multgrantirur	-|-⌫|----⌫-⌫|-||-|---|----|---|
le cheual b rochet deso r iezesperuns	-|-----|-⌫-----|--|-⌫-⌫--|-------|
guisedebaron	----|-|----|
l escutlifr ein te losberc	|----|-|--⌫---⌫|||-----|
li derumpt	-|------|
elc o rsli met les pansdelgu nfanun	-|-⌫-⌫-|-|--|--|---|--|--⌫-----|
pleinesa han ste labatm ortdesarcuns	-----|-|---⌫--||---|-⌫--|--|-----|
gu ardet a tereue i t gesi rle glutu n	--⌫----||---|--⌫-⌫|----⌫|-|-----⌫|
si liaddit	-|-|-|--|
parmultfiere	--|---|----|
deuo z m anaces culuert ion ai	-|--⌫|-⌫-----|------|-||-|
f rancskartresben les ueincr um	-⌫----|--|---|--|--|------⌫-|
munio iee scriet co estl	-----⌫-|-⌫-----|-|--||
enseigne c arlu n	-------|-⌫----⌫|
unsreisiests iadnum	--|---||--|-⌫|-|--|
bar barin s estdunpai s	---⌫-----⌫|--||-|---⌫|
siapeladl ealtr essarr azins	-|-----|-⌫|----⌫-|----⌫----|
cest ebatai lle benlapuum tenir	----⌫|-----⌫--|--|-|---|----|
kardefranceisi adasezpetit	--|-|-------||-|---|----|
celskicisunt	---|-|-|---|
deu u maueir mult	---⌫-⌫|----|---|
ia p ur charl esni ert unsul	-|-⌫-|-----⌫-|||--|-|--|
ore st l ei urqu elsestuur a tmu ri r	-|-⌫-|-⌫|-⌫-|-|--|------⌫-⌫|--⌫--⌫|
benlentenditlitu rpin	--||-------|-|--⌫---|
suzciel n ath umeq ueuoeillethair	--|---||-|-⌫--|-⌫-|-------|---|
suncheual brochet desesp e ru nsdor	--|-----|------|--|---⌫-⌫--⌫-||-|
uertu tsilestalétferir	-----⌫|-||--|----|----|
lescutlifreinst losberc	|----|-|------||-----|
li descumfist	-|---------|
sun grantespiet p armi	--|----|-----|-⌫---|
l e corslimist	-⌫|---|-|---|
empeintlebenqu emortle fait	------|-|--|--⌫|---|-|---|
pleinesahanstelabat mortelchemin	-----|-|-----||---|---|-|-----|
guardetarere ueit	------|----|---|
nelaissera tque n i	-|--------⌫|--|||
paroltcodit	-----|-|--|
culuert p aienuos iauezmenti t	------|-⌫---|--||---|-----⌫|
carles misire nusestguarant	-----|-|---|--|--|------|
nos trefranceisnunt tale ntdefuir	---⌫--|-------||--|----⌫-|-|---|
uozcumpaignu ns fe run strestuzrestifs	--|---------⌫-|--⌫---⌫|------|------|
nuuelesuosdi mo rt	------|--|-|--⌫-|
uosestoetsusfr ir	--|-----|-----⌫-|
fere zfranceisnul de	----⌫|-------|--|-|
cistpremercol p est nostre	---|-----|---⌫|--|-----|
deumerci t	--|-----⌫|
munioieescrietp o rlec amp	------|------|-⌫-⌫|-|-⌫--|
en gelers fiertm alprimis	--⌫-----|----|-⌫-------|
sis bonsesc uz un denerneli ualt	--|---|---⌫-|-|----|-|-|---|
t ut eli freintla	-⌫--⌫|-|-----|-|
buc led ecristal	---⌫-|-⌫|------|
l unemeitietliturne t	|--|------|-|-----⌫|
losb erc lirumpt entresquea	|---⌫--|-|----|--------||
sunbonesp iet enzelc orsli	--|--|---⌫--|--|-|-⌫--|-|
lipaiens chet c untreual a un quat	-|-----|---|-⌫-------||-|---|
lanmed eluienportetsathanas	|---|-⌫|--|-|-----|-------|
cumpainzgerers	-------|-----|
fiertlam urafle	----||--⌫-----|
l escu tli f re intel osbercli	|----⌫|-|-⌫--⌫--|||-----|-|
des mailet	---⌫-----|
sunb onesp iet lie n lacur ail le	--|-⌫-|---⌫--|-|-⌫|-|---⌫---⌫-|
e mpeintl ebi e n p arm i lecor slipa sset	-⌫-----|-⌫|--⌫-⌫|-⌫---⌫|-|---⌫|-|--⌫---|
quemort l abat elcamppleinesahanste	--|---||---|-|---|-----|-|-----|
distoliuergenteestnostreb atail le	---|-----|----|--|-----|-⌫-----⌫-|
san su n li dux il uaitferir l	---⌫--⌫|-|--|-|---|----||
lescutlifr einstkiest a flursead	|----|-|--⌫----|-|--||----||-|
li bonsosbe rcsnelie stgu arant	-|---|----⌫--|-|-|-⌫-|--⌫----|
tren c hetlile coer	----⌫-⌫--|-|-|---|
lefi rieele	-|--⌫--||-|
que labat qui	--||---|--|
quen pei stuquin un	-|-|---⌫-||--|-⌫-|
distlarceuesque c ist colp est de baron	---||---------|-⌫--|---|--|-|----|
eanseislaisetlec heu al c urre	|-----|-----|-|-⌫---⌫-|-⌫---|
s iuait ferir	-⌫|---|----|
turte lu se	-----⌫--⌫-|
lifreintdesuzloreebucl e	-|-----|----||---|----⌫|
des uno sbercliderum pit l es d ubles	-|-⌫-|-⌫----|-|-----⌫--|-⌫-|-⌫----|
del bones piet elcors	--|--|--⌫---|-|---|
li met l amure	-|--|-⌫|---|
empeins tle	-------⌫|-|
fer limi stultre	--|-|--⌫-|----|
plein esahanste elcampmo rtletrestu rnet	-----⌫|-|-----|-|---|--⌫-|-|------⌫---|
codistrolla ntci stcolpest	-|---|-----⌫-|--⌫-|---|--|
de p rodum e	-|-⌫-----⌫|
eengelersli	|-------|-|
guascuinz debur dele	--------|-|---⌫---|
sunche ualbroc het sili	--|---⌫--|----⌫--|-|-|
lasche tla resne	------⌫|-|----|
sifai t ferirescremizde ual t erne	-|---⌫|----|-------|-|---⌫-⌫---|
l escut del co ll ifreint	|----|--|--⌫|-⌫|-----|
e esc antelet	|---⌫------|
d es un osberclirump it	-⌫|-⌫-|-----|-|----⌫-|
lauentaille	-|--------|
silfiertelpizentre lesdous furc eles	-||----|-|--|----|--|---|----⌫---|
pleinesa hanste	-----|-|-----|
lab a t m ortde	|--⌫-⌫|-⌫--|-|
ap reslidist tur nétestesa perd re	--⌫--|-|---|---⌫---|----||----⌫-|
egualter fiert un pa ienestorgans	|------|----|-|--⌫--|--------|
su rs u nescut	--⌫|-⌫-⌫|----|
trenche tleuer meil leleblanc	-------⌫|-|---⌫----⌫||-|----|
d es unosbe r cliadrumputles	-⌫|-⌫-|----⌫-⌫|-|-|-----|--|
elcorslimetsunbon espiet	-|---|-|--|--|--|-----|
que mort labat desun	--|---||---|-|--|
cheual curant	-----|-----|
apre s lidi st ian	----⌫|-|--⌫-|-||
iaurezguarant	|----|------|
e ber eng er il fiert astramar iz	|---⌫---⌫-|-|----|--------⌫-|
lifreins tlo sbe rc lidescumf i st	-|------⌫||-⌫---⌫-|-|-------⌫-⌫-|
s u nforte scutparm i	-⌫-⌫|---|-⌫---|----⌫|
l e corsli mis t	-⌫|---|-|---⌫|
quemortl abaten tre	--|---||---|--⌫--|
m il sarrazins	-⌫-|--------|
des y yper sli yy ensuntocis	--|-⌫|---⌫|-|-|-|---|---|
nemes que dousn	-|--|--|---||
e niadremes uifs	-⌫||-|----|---|
che rnuble se li	---⌫------⌫||-|
quens marg ariz	----|----⌫---|
mar gariz es tmul t ua ill antcheualers	---⌫----|--⌫|---⌫|--⌫---⌫--|--------|
ebelse forzeisnelselegers	|---||---||-----||-----|
lecheualbrochet	-|-----|------|
u aitferirol i uer	-⌫--|----|--⌫-⌫--|
l esc utli	|---⌫-|-|
freint suz labucle	-----|--|-|----|
lezl ecostetlicond uists un e spiet	--|-⌫|-----|-|----⌫---|-⌫-|-⌫----|
deusleguaritquco rs	---|-|-----|-|--⌫-|
lahanste fruissetmie nen	-|-----|-------|--||-|
enuaitqu il ni	-|---|-|-|||
ad desturber	-|--------|
sunet sungreslepur les soens	----|--|-----|--|--|----|
la ba taillee st	-|--⌫-----|-⌫-|
merueillu seec umun e	---------⌫-||-⌫----⌫|
liq uensrol lantmi ene sasouret	-|-⌫---|---⌫---|--⌫|-||------|
fiertdelespiettantcumeh anst e	----|-||-----|---|---|-⌫----⌫|
co ls l adfraite eperd ue	--⌫-||-|-----||----⌫-|
t raitdurendalsabone espee	-⌫---|-------|-|---|----|
sunc heu alb rochetsi	--|-⌫---⌫-|-⌫-----|-|
uaitferi r c hernub le	---|----⌫|-⌫------⌫-|
le lmelifreintu li carbuncle luisen t	|-⌫--|-|-----||-|--------|------⌫|
trenchet le	-------|-|
corselacheuele ure	---||-|-------⌫--|
sili tre nchat lesoilz ela faiture	-|-|---⌫----|--|---||-|------|
