alaueillede	|-|-----|-|
descendide sonronci n et	-------|-|--|-----⌫|-|
se l essacha oiraspiez	-|-⌫---|---⌫--|-|---|
g al aad etlipr ia toutem plorant por	-⌫--⌫--|-|-|--⌫-|---|-|------|--|
amo r deceluidequi ilportoi tlen seigne	---⌫|-|----|-|--|-|------⌫||--⌫-----|
e nsonescuqu illi	-⌫|--|---|-|-|-|
otr o iast aalerauec lui	---⌫-⌫---||---|---|--|
come escuiersetl efeist c heualier .	---|-------|-|-⌫|----|-⌫-------||
cert esfetgalaadseie compaignie	----⌫-|--|-----|-|-|---------|
uous isseauo iriene terefusassemie.	----⌫---|---⌫-|-|-|-|--------|--||
si repordieufetliuaslezdo n t uospri	--⌫-|--|---|--|-|-----|--⌫-⌫|--|--|
iequeuoscheualie r me	-|--|--|--------⌫|-|
facoiz et ie uo sd i qu echeualerie	-----|-|-|--⌫|-⌫|--⌫|---------|
ser abiene nmo iem ploieese	---⌫|---|-⌫|--⌫|--⌫-----|-|
dieuplest.	---|----||
galaadresgar deleuasletquiplore mout	-----|------⌫-|-|-----|--|----|---|
tendrement	---------|
silemprent mout grantpi tieet	-||-|----|---|----|--⌫--|-|
porc elio troiei l.	--|-⌫|-|-⌫----|-⌫||
li uaslezret or ne zla	-|-----|---⌫--⌫--⌫|-|
dont n osuenonscar ilec	---|-⌫-|-----|--|---|
au rei earmes etche ual.	--⌫-|-⌫|----|-|---⌫--||
etuos led eue zbien	-|--|-|-⌫---⌫|---|
fere nemiep ormoisole ment mespo r	---|-|--|-⌫-|--|----⌫---|--|--⌫|
uneaue ntu requiiest que nus	--|---⌫---⌫-|--||--|--|--|
n epueta chiefmener e tie	-⌫|---||----|----|-⌫|-|
saibienqueuo slacheuero iz.	--|---|--|--⌫||--------⌫-||
etildist qu	-|-|---|-|
ilirauole ntiers.	-|--|----⌫-----||
siret orn emaintenantalabeie .	-|---⌫---⌫|---------|||----||
etqua nt cilde laienz	-|---⌫-|--|-|-----|
uoientqu ilreuenoit sili firent	-----|-|-|-------|-|-|-----|
grant io ieet demanderent	----|--⌫-|-|----------|
auuasle tporquoili cheuali er sestoi t	-|-----⌫|--|---|-|-------⌫--⌫|-----⌫|
reto rn ezpormoi	----⌫--⌫-|--|--|
ferecheualierfetil.	---|--------|--|-||
et ilen ont grant ioie .	-|-|-|--|----|---||
e tli bonsch eualiersd emandeouce le	-⌫|-|---|--⌫-------|-⌫-----|-|--⌫-|
au entur e estsirefont	--⌫-----⌫|--|---|---|
cilde laienz	--|-|-----|
sauezuos quele au entu r ec e est	----|--|----|--⌫----⌫-⌫|-⌫|--|
nanilfetil .	----|--|-||
orsachiez fon til	-|------|---⌫|-|
q uecees t	-⌫-|-|--⌫|
uneuoiz quiistdunedestombes de	--|---|--|--||--|--|-----|-|
n ostrecimetiere.	-⌫----|--------||
siestdet elforcequenusnel	-|--|-|-⌫-|----|--|--|-||
otquineper delepoo irdoucorsgrant	-|--|-|---⌫-|-|---⌫-|--|---|----|
tensapres.	---|----||
e ts auezuos f etgalaad dont ce leuoiz	-⌫|-⌫---|--|-⌫-|-----|---|--⌫-|---|
nanilfont cil sece ne stdel	----|---|--|-|-||-⌫-|-||
menezfetil car	----|--|-|--|
moutledesir reasauoir.	---|-|-----⌫-||-----||
donc coui entil que	---|----⌫--|-|--|
uenez onos	----||--|
lenmeinentau chie f	|-|------|-|----⌫|
d ou mostiertoutarméforsde son	-⌫-|------|---|----|---|-|--|
si li distunsdesfreres sireueez uoscel	-|-|---|--|--|-----|---|---|--|--|
grantarbreet celet ombe desoz	----|----|-|---|-⌫---|----|
oil fetil.	--|--|-||
oruosdi r aidoncfetli freresque	-|--|--⌫-⌫-|---|--|-|-----|--|
u os feroizal ezaceleto mbe	-⌫-|-----|--⌫-||---|--⌫--|
laetlaleuezeti e	-|-|-|----|-|-⌫|
uos d i queu ostroue roizdesozaucune grant	--|-⌫|--|-⌫-|-----⌫---|----|-----|----|
me rueille.	--⌫------||
atantuetgalaa dcele partetotuneuo iz qui	----|--|-----⌫|---|---|-|-|--|--⌫-|--|
gitauncris ique	---|-|--|-⌫|--|
cefum eruei lleetdistsihautquetuitle	-|-|-⌫-----⌫--|-|---|-|---|--|---|-|
p orentoir	-⌫----|--|
galaad se riant ihe sucr istn a procheplus	-----|--⌫----|---⌫-|--⌫--||-⌫-----|---|
demoicar tu me	-|--|--|-|-|
remuer d e	-----|-⌫|
laou ia ita ntesté.	-|-||-⌫|--⌫-|----||
etquantgalaad otce sinest pointesbahiz	-|----|-----|-|-|-||--|----|------|
ainzuetalatombe.	---|--||-|----||
etquanti lla u oltprendre par le	-|----|-⌫|-|-⌫--|------|--|-|
gros chie fsienuoitissir unefumeeet	---|----⌫|-|-|---|----|--|----|-|
uneflam meap resetenuoit issirune	--|----⌫-|--⌫--|-|-|---|----|--|
figurela plushisdeu sequifu st ensemblanced	-----|-|---|------⌫-|--|--⌫-|-|--------||
seseigne carbienset	-|-----|--|---|--|
queceestlia ne mis	--|-|--|-|-⌫--⌫--|
q uilidist ha	-⌫-|-|---|-|
gal aadsaintechoseieteuoi si	---⌫--|-----|----|-|-|--|-|
auiron ne ́d a nges	------⌫--⌫||-⌫---|
q ue mesp ooirs nepue tdu rerencontreta forceie	-⌫-|--|-⌫----|-|---⌫|--⌫--|-------|-|----|-|
tele sleleu.	-|--⌫|-|--||
etqua ntil ot	-|---⌫-|-|-|
cesiseseigne etmercienostre	-|-|-|-----|-|-----|-----|
s eig nor.	-⌫---⌫--||
silieu e la to mbeco ntremontet	-|----⌫|-|--⌫--|--⌫-------|-|
u oit desozunco rs g esirtotarméetuoit delez	-⌫--|----|-|--⌫-|-⌫---|--|----|-|---|----|
luiuneespee et quanqu	--|--|----|-|-----|
il couientaho m efe recheualier.	-|------||--⌫-⌫|--⌫-|--------||
etquantiluoit cesiapeleles fre res	-|----|-|---|-|-|----|--|---⌫--|
et lordistuenezue oir ce	-|--|---|----|--⌫--|-|
q ue ie ai trouésim e	-⌫-|-|-|-----|-|-⌫|
ditesqueieenferaicariesuizpr es que	----|--|-|-|----|--|-|---|--⌫-|--|
plu senfacese	---⌫|-|---|-|
d oifer e.	-⌫-|---⌫||
etciliu ont .	-|--||-⌫--||
etquantil uo ien tle corsges ir enlafosse	-|----|-|--⌫---⌫|-|---|---⌫-|-|-|----|
silidient sirei ln e coui ent que uosen	-|-|----|---|-⌫|-⌫|----⌫--|--|--|-|
facoizplus quef etenauez	-----|---|--|-⌫-|-|---|
cariac istcorsquicigis t	--|-|-⌫--|---|--|-|---⌫|
nesera r emuezde	-|---|-⌫----|-|
come noscuido n s .	---|--|-----⌫-⌫||
sise rafe t liuielz	-|--⌫-|--⌫|-|----|
honsquiotlauenturedeuiseea g a ala d.	---|--|-||-------|------||-⌫-⌫---⌫||
ilcou ientquilsoitostezde	-|---⌫---|-|-|---|----|-|
cestc i metiereet gitez forsca rlaterre est	---|-⌫-⌫------|-|----|---|--⌫|-|----|--|
beneoi teetsaintefiee	------⌫-|-|---------|
p o rquoi li co rs doucres tienmauues et	-⌫-⌫|---|-|--⌫-|--|----⌫---|-----|-|
fausni doitremanoir .	---|||---|-------||
e t lors com a nde	-⌫|---|---⌫-⌫--|
as ser ianz	-|---⌫---|
delaie nzqueillostent	-|----⌫-|--|-||-----|
forsdel afoss e	---|-|-⌫|----⌫|
et le mete ntfors dou cimetier e etcilsi	-|-|----⌫-|---|--|--------⌫|-|--|-|
et galaaddi stau preudome sireai iefetde	-|-----|--⌫-|-|-------|---|-|-|--|-|
c esteaue nturequanqueie en doi fere	-⌫---|---⌫----|------|-|-|--|---|
caria mes lauoizd onttantde	--|--⌫--|-|---|-⌫--|---|-|
malsontauen un ise raoi e.	--|---|----⌫|||--⌫-|--⌫||
ets auez uosfet galaad	-|-⌫---|--|--|-----|
porquoi tantesmerueille sensontauen ues	--|---|-----|---------⌫|-|---|----⌫--|
sir e fetcil o il bienet	---⌫|--|--|-⌫-|---|-|
diraiuolentiers	----|---------|
biensauoir	---|-----|
come lachoseouil a	---|-|----|-|-||
grant se nefiance.	----|--⌫-------||
a ta nt separ tentdoucime tiere etreuienenta	-⌫--⌫-|-|---⌫---|--|----⌫----|-|--------||
etgalaaddist auuasletquille coui entla	-|-----|---|-|-----|-|-|-|----⌫--|-|
nuit ueill erenligl is eetdemainle	---|-----⌫-|-||---⌫--⌫|-|-----|-|
fe racheualiersicomedroizes t	--⌫-|--------|-|---|----|--⌫|
etc ildistqu	-|-⌫-|---|-|
ilnedemandeel .	-|-|------|-||
sisa pareilleeinsicom e len	-||-⌫-------|----|---⌫|--|
lie nse i gne dereceuo irla hauteordrede	-|-⌫---⌫-⌫--|-|------⌫-|-|----|----|-|
cheuale riequ	-------⌫--|-|
il a tantdesirree.	-||---|-------||
etli preudonsen moine	-|-|-------|-|----|
ga laadenune chambr e etlef et desarmer	--⌫---|-|--|------⌫|-|-|-⌫-|-------|
etdesgarnirdese sarmes e tpuis lefetasseo ir	-|--------|-|--⌫|----|-⌫|---|-|--|-----⌫-|
en unlit etli ditsireuo s	-|-|--|-|-|--|---|--⌫|
medemandast esorelasen efiancede	-|---------⌫-|--|-|---⌫------|-|
cesteaue ntur equeuosau ez men eea	----|---⌫----⌫|--|--|--⌫-|---⌫-||
chiefet ie la uosdiraiuolentiers.	----|-|-|-|--|----|---------||
ences teauenture	-|---⌫-|-------|
auoit troischoses quimoltfai soient a red outer latom be	----|----|-----|--|---|---⌫-----||---⌫----|-|---⌫-|
quinesto itmielegiere ale uer	--||----⌫-|--|------||--⌫--|
lecorsdoucheua lier qu ilcouenoit git er	-|---|--|-----⌫---|-|-|-------|---⌫-|
de son leu	-|--|--|
que chascuns iooitpar quoi	--|-------||---|--|---|
ilp erdoitlaforcedoucors et	-|-⌫-----|-|----|--|---|-|
lesenset lamemo ire	-|---|-|-|----⌫--|
e t de cestrois	-⌫|-|--|----|
choses uos	-----|--|
direiebienla	---|-|---|-|
senefianc e.	---------⌫||
la to mbe qui couroitle	-|--⌫--|--|------|-|
mortsenefieladurt e	---|------|-|----⌫|
dou mondequenostre	--|----|--|-----|
sirestro ua	----|---⌫-|
q uanti luint en terre car iln	-⌫---|-⌫|---|-|----|--|-||
iauoit se durtenon.	|----|-|----|--||
car lifilz namoitleperen e	--|-|---||----|-|---|-⌫|
liperes l enfan t parquoi lia nemis	-|----||-----⌫|--|---|-|-⌫----|
lese mport oitenenfer tout pleine m ent.	--|-⌫-----⌫--|-|----|---|------⌫-⌫--||
quant liper esd escielxuit quilauoit	----|-|---⌫-|-⌫-|----|--|-|-|----|
en ter resigrant	-|---⌫-|-|----|
d urteque li unsnec onoi sso itlau t reneli	-⌫---|--|-|--|-|-⌫----⌫---⌫-||--⌫-⌫-|-|-|
unsne cre oitl au treneparolequeprop hete sli	--|-|---⌫--||--⌫--|-|-----|--|----⌫----⌫|-|
dei st ainzest ablissoient	---⌫-|---|---⌫----------|
toute iorno uiaxdi ex	----|--|--⌫---|--⌫-|
e tilenuoiasonfilente rrequiles	-⌫|-|-----|--|--|-|--⌫--|--|--|
trouatantdursen pechieet	----|---|---|-|-----|-|
por cel e dur teamoloier etporf er e	--|---⌫|---⌫-|-------|-|--|-⌫--⌫|
les cuersdespecheors	--|----|--|-------|
etquan t il	-|----⌫|-|
f ut descendu zenterreilles	-⌫-|--------⌫|-|----|-|--|
trouatozen durciz enpechie	----|--|--⌫-----|-|-----|
mo rtelsiqueausibien	--⌫---|-|--|---|---|
po istlen amoloierune	--⌫--|--|-------|--|
rochedurecomelorc u e rs .	----|---|---|--|-⌫-⌫-⌫-||
dontil distpa r la bouchedau id	---|-|---|--⌫|-|-----|---⌫-|
leproph eteie s ui senglementi usqu	-|-----⌫--|-|-⌫-|---------|-⌫---|
a tantque ie tr es passerai	-⌫------|-|--⌫--⌫-------|
cefuadireperesmout aurasconuertie	-|-||---|----|---|----|--------|
petitepartiedecest pu epledeu antm amort.	-----|-----|-|---|--⌫---|---⌫--|-⌫|---||
sim ili tu d equeli perese nuoiaen	---⌫---⌫--⌫-⌫|--|-|----|-⌫----|-|
terre sonfilpordeliur er sonpueplee store	----|--|--|--|------⌫-|--|-----|-⌫-|--|
renoue lee.	------⌫--||
cartout ausic ome le rror	--|---|---|-⌫--||-⌫---|
etla fol ie	-|-|---⌫-|
sen fo ipar lauenued elui etla	|--⌫--⌫|--|-|----|-⌫|--|-|-|
uerite fulors aparanz et	-----|-|---|------|-|
man ifesteea u tres intu osanostre	---⌫------|-⌫-⌫----⌫--|-⌫-||-----|
si resesleu sort oz a utres c heualierspor	--⌫--|----|--|-⌫-|-⌫----|-⌫--------|--|
en uoier parles estrangesterresporabatr e	--⌫----|--|--|--------|-----|--|-----⌫|
lesgreuoses auentureset porfe re	--|-------|--------|-|--|--⌫-|
conoistrecoment eles sontauenues	--------|-----|---|---|------|
len d oitu os treuenue comparerpres	--|-⌫--|-⌫--⌫--|----|-------|---|
u enueihesu	-⌫---|----|
cr istdesemblan cene mi e dehautece	--⌫--|-|-------⌫-|-|--⌫|-|------|
ettoutein sicom liprophete qui	-|---|---⌫-|--|-|-------|--|
auoientes tég ranttens deuantlauenueihesucristau oi ent	------|--⌫--|-⌫---|---|-----|-|----|----|----|--⌫--⌫--|
ano ncieelauenueihesucristet dit	---⌫----|-|----|----|----|-|--|
quil deli ureroitle	-|-|----⌫------|-|
puepl e deslien sd	-----⌫|--|----⌫||
enfertout einsi n tont anoncieeli herm ite	----|---|-----⌫-⌫|--|-------|-|----⌫--|
e tli sainthomeuost re uenueplusa	-⌫|-|----|---|----⌫-|----|---||
etdisoient	-|-------|
bi en tuitqueia	--⌫-|---|--|-|
les auentu res do uro iaumedelogresn ef audroientdeuantque	--|------⌫--|--⌫|--⌫----|-|-----|-⌫|-⌫--------|--------|
uos fu ssiezuenuz.	--|--⌫----|----||
siuosauons	-|--|----|
tantatendu dieumerciqueoreuos	---|-----|---|----|--|--|--|
d itesfet gal aa dque l i cors	-⌫---|--|---⌫--⌫|--|-⌫|---|
c arde l a tombem au ez	-⌫-|-|-⌫|----||--⌫-|
uosbienfet certain.	--|---|--|------||
etieleuos diraifet cil.	-|-|-|--|----|--|--||
licorssenefielepueple	-|---|------|-|-----|
dur teauoit	---⌫-|----|
t antdemoréqu ilerent tuit mo rtet	-⌫--|------|-|-|----|---|--⌫-|-|
auugl eparlegrant fes	-----⌫|--|-|----|--|
despechiesqu	--|------|-|
ilauoientfet deior	-|------|--|-|--|
etbi eni parutquilest oient auugle	-|--⌫-||----|-|-|---⌫----|-----|
en l aue nem ent	-||---⌫---⌫--|
ihesucrist .	----|----||
carqua ntilorent o axl er o idesrois	--|---⌫-|-|----||-|-⌫|-⌫-⌫|--|---|
etle sauueor	-|-|------|
doumondeille tindrentapecheor	--|----|-|-|-------||------|
etcui d i erentqu il	-|---⌫-⌫-⌫----|-|-|
fu sta utelc omeil	--⌫-|-⌫---|-⌫--|-|
sicrurentpluslanemi	-|------|---||----|
queilnefirentluietliurerent	--|-|-|-----|--|-|--------|
sachara mortpa r l	-|---||---|--⌫||
amonestementdo u	-----------|--⌫|
deablequi t oz iorzlor chantoit es oreil les	-----|--|-⌫-|---|--|-------|-|-----⌫--|
e t lor e stoites	-⌫|--|-⌫----|-|
c u ersentrez .	-⌫-⌫--|-----||
ce f irentil teloeuredont uaspasiens lesdeserit a	-|-⌫----|-|--|----|---|---------|--|-------⌫|
et d estruis tsi tostc omeilsot	-|-⌫-------⌫|-|---|-⌫--|-|--|
do upropheteu er squiila uoient es té	--⌫|-------|-⌫--⌫|--|-|-⌫-----|--⌫--|
etein sif urentil destr uitparlanemi	-|---⌫-|-⌫----|-|-----⌫--|--||----|
etparsonamon e st eme nt	-|--|--|----⌫-⌫--⌫---⌫-|
or deuonsueoi r	-|-----|----⌫|
coment cesteassemb leee t	-----|----|------⌫--|-⌫|
cele de lorssentracordent.	---|-|---||-----------||
l atombe sen e fie lagran tdurtedes	-⌫|----|---⌫-⌫--|-|----⌫|----|--|
gyeusetlicorssenefiea u xetlor	----|-|-|---|------|-⌫-⌫|-|--|
oirsquituitestoientmort par	---|--|---|-------|---|--|
lorpechiemorte ldontil nese	--|-----|-----⌫|---|-|-|-|
pooientmi e ost erlegierement.	------|--⌫|---⌫-|----------||
etlauoiz quidela tombeissoitsenefie	-|-|---|--|-|-|----|-----|------|
la do lereu se parole	-|--⌫-----⌫-|-----|
qu il distrent a p ilatele preuos t	-|-|-------||-⌫----|-|------⌫|
lisansdeluisoitsor nos	-|---|-|--|---|--|--|
et sornosenfanz	-|--|--|-----|
e tporcel e parole furent ilhoniet	-⌫|--|---⌫|-----|-----|-|---|-|
perdi rent aux e tq u a ntqu ilauoient.	-----⌫---|--|-⌫|-⌫-⌫-⌫---|-|------||
einsipo ez	----|--⌫-|
uosueoiren	--|----|-|
ceste auentu rela	----|------⌫-|-|
senefiancede lapassionihesucristetde	---------|-|-|------|----|----|-|-|
la sem bl anced e son auenement.	-|---⌫--⌫---|-⌫|--|--------||
et autrechoseenestencoreauenue	-|----|----|-|--|-----|-----|
au trefoiz carsi t ost com li cheualier	--⌫--|---|--|-|-⌫--|--|-|--------|
erra n tuen oientc aet	----⌫-⌫|---⌫----|-⌫|-|
il aloient uers la	-|------|---|-|
tomb e lianemisqui l es	----⌫|-|-----|--|-⌫-|
c onoissoita pecheor su ilzet o r zet	-⌫--------||-------⌫|-⌫--|-|-⌫-⌫|-|
ueoitqueil	----|--|-|
e stoientenuelopé	-⌫------|--------|
es g ra nzluxuresetesiniq uitezlorfesoit	-|-⌫--⌫-|------|-|-|----⌫----|--|-----|
sigrantpoor	-|----|---|
de sa uoiz horribl e etespoantablequeilenper doi e nt	-|-|---|-------⌫|-|----------|--|-|-|---⌫---⌫-⌫-|
lepooirdel	-|----|--|
neiamesnefausistlauenture	-|----|-|------||-------|
queli pecheor	--|-|------|
fu ssentt oz ior sentreprisse diex neuos	--⌫----|-⌫-|---⌫|--------|-|---|-|--|
ieustamené porlamene r	|---|-----|--|-|----⌫|
messi to st co me uosuenisteslideables	--|-|--⌫-|--⌫-|--|-------|-|------|
quiuossauoit auirgeeta net	--|--|-----||----|-||--|
detoz pechiezsico me	-|--|------|-|--⌫-|
honst erriens puetestren	---|-⌫------|---|----||
osa ate n dreuost r ecompaignie ainz sen ala et	--|---⌫-⌫--|----⌫-⌫|---------|---||-|--|-|
perdi totsonpooirparu o streuenue.	----|--|--|----|--|-⌫-⌫---|----||
fa illilauentureou maint cheualier	--⌫---||-------|-|----|--------|
pr ois iés e stoientessai é.	--⌫---⌫--||-⌫------|-----⌫-||
siuosaioreditel a	-|--|-|--|---|-⌫|
ueritedece stechose.	-----|-|--⌫--|----||
et g alaad	-|-⌫----|
d itquemolti a greignorsenefianceque ilne	-⌫-|--|---|||-------|---------|--|-|-|
cele nuitfugalaadserui zaumiel zquel i	---|---|-|-----|-----⌫|-|----⌫|--|-⌫|
frer eporent .	----⌫|-----||
etaumati nfis tle	-|-|----⌫|---⌫|-|
uasletcheualiersi c omea cel tens ert c os tume	-----|--------|-|-⌫--||--|---|--|-⌫--⌫---|
et quantilli ot	-|----|-|-|-|
cequ il deuoit silideman dacomentil auoit	-|-|-|-----|-|-|-----⌫-|-----|-|----|
etcildistque le n lape loit	-|--|---|--|--⌫||---⌫---|
mel yant e t estoit filz	---⌫---|-⌫|-----|---|
auroi dedanemarche.	-|--|-|---------||
biausamisfet galaadpuisq ue uosestescheualiers	----|---|--|-----|-----⌫-|--|----|---------|
etestrez desihaut	-|-----|-|-|---|
lignagec ome de r oiet de	------|-⌫--|-|-⌫-|-|-|
roin eor gardezquecheu ale r i e soit	----⌫|-|-----|--|----⌫---⌫-⌫-⌫|---|
sibienempl oiee enu osquel anorsde	-|---|----⌫---|-|-⌫-|--||----|-|
uostrelignage	-----|------|
isoitsauue	|---|----|
carausitost co m filzderoiare ceue	--|---|---|--⌫|---|-|--||--⌫---|
l ordrede cheu aler ie	|----|-|----⌫----⌫-|
ildoitaparoi rsortoz autres	-|---|------⌫|--|--|-----|
cheua liersen	-----⌫----|-|
b onteausi com li	-⌫---|---|--|-|
rais delsoleilaper t sorles	---|--|-----|----⌫|--|--|
estoile s.	-------⌫||
etcilr esp ontque	-|--|-⌫---⌫--|--|
se die x plaistlonorde che ualer ieseraenlui	-|---⌫|-----||---|-|---⌫-----⌫-|---|-|--|
carporp eine	--|--|-⌫---|
couiegnea sof frir neremaindrai lmie.	-------||---⌫---|-|--------|-⌫|--||
e tlors demandegalaad sesar mes et len li aporte	-⌫|---|------|-----|--|--⌫--|-|--|-|-----|
et m elyanslidistsiredie umer ci	-|-⌫-----|-|---|---|---⌫|---⌫-|
et lauostre u osmaue zf et	-|-|-----|-⌫-||---⌫|-⌫-|
cheualierdont	--------|---|
si grant ioie quapeine lepo rroie	-|----|---|-||----|-|--⌫----|
sauez bienqu i lestco stu me qu equ ia	----|---|-|-⌫|--|--⌫---⌫-|--⌫|--⌫||
fetcheualierilneldoitmie	--|--------|-|-||---|--|
esco nd i repardroit dou premier	----⌫--⌫-⌫-|--|----|--|------|
donquillide man dep or	--|-|-|-|--⌫---⌫-|-⌫-|
que c esoitchoseresnable.	--|-⌫|---|----|-------||
uos ditesuoi rfet ga laadmespor quoil	--|----|---⌫|--|--⌫---|--|--|---||
auez uos dit	---|--|--|
por cefetcilqueie	--|-|--|--|--|-|
demanderundon	-------|-|--|
s iuospri que	-⌫|--|--|--|
uos lemedonezcar ce est	--|-|-|----|--|-|--|
unechosedo ntiamausne	--|----|--⌫-|-|---|-|
uosuendra.	--|-----||
lauosotroifetgal aadmesq ueie e n de us seestre	-|--|----|--|---⌫--|----⌫-|-|-⌫|--⌫--⌫-|----|
granzmerc izfetmelyan s	----|----⌫-|--|------⌫|
o ruosre quieri e que uos	-⌫|--|--⌫----|-⌫|--|--|
me l essiezalero	-|-⌫-----|---||
uo senceste questetantqu eauentu ren os dep art eet	--⌫|-|----|-----|------⌫|------⌫-|-⌫-|---⌫---⌫|-|
apres seau enture	----|-|--⌫-----|
nosrassemblenemetolez	--|--------|-|-|----|
pas u ostre compai gnieporautruid on ner.	--|-⌫----|------⌫---|--|-----|-⌫--⌫--||
l ors comandequelenli ameintuncheualcar	-⌫--|------|--|--|-|-----|-|-----|--|
iluelta ler auecgalaad	-|---|-⌫--|---|-----|
etlensifetetil separt de	-|--|-|--|-|-|-|---|-|
laienz entreluie tgalaad .	-----|----|--|-⌫|-----||
sicheuauchierenttoutleior et toute la s emaine.	-|-------------|---|-|--|-|----|-|-⌫-----||
sil or aui nta unm ardi matin	-|-⌫-|---⌫-||-|-⌫---|----|
queiluin drenta u ne croiz qui	--|-|---⌫----||-⌫-|----|--|
partoi tle chemin endeus	------⌫|-|-----|-|---|
etiluienent ala	-|-|------||-|
cro izettroeu e ntlettresqu iestoien tenta illiees	---⌫-|-|-----⌫-⌫-|------|--⌫|-------⌫|----⌫------|
oufustet disoientoz	-|---|-|-------|-|
t ucheualiersqui	-⌫|---------|--|
uasauenture s querant uo izcideus	--|--------⌫|------|--⌫-|-|---|
uoies lunea destre etl	----||--||-----|-||
a utrease nestre.	-⌫---||--⌫-----||
cele a s en est retedeffentie que tu	---||-⌫--⌫---⌫-|-|------|-|--|-|
ni en tresca rtropcoui en testre	||--⌫---|--⌫|---|----⌫--⌫|----|
p r eudomeceluiquii	-⌫-⌫-----|----|--||
entre seil	----|-|-|
en uelti ssir	-|---|-⌫---|
e tse tuencele	-⌫|-|-|-|---|
adestre e n t restost	|-----|-⌫-⌫-⌫--|---|
i porr asp erir .	|----⌫-|-⌫---||
e tquantmelyanuoitces letre s si dist a	-⌫|----|-----|---|--|-----⌫|-|---||
fran s cheualiers	----⌫|---------|
pord i eulessiez moien trer	--|-⌫-⌫-|------|--|--⌫---|
en celeas en e str e carici porrai	-|---||-⌫--⌫-⌫---⌫|--|--|-----|
ie esprouer ma for ceet conoistre s	-|-------|-|---⌫-|-|--------||
i lauraiaen moiproescenehardementpar quoi	-⌫|---|-|-|--|------|-|--------|--|---|
i ed oieauoirlosd e c heu alerie .	-⌫|-⌫--|----|--|-⌫|-⌫---⌫-----||
sil u ospleustfetg a laad	|-|-⌫-|-----|--|-⌫-⌫---|
iei alasse carsicomiep ensiem	-||-----|--|-|--|-|-⌫--|-||
en getassemiel z	-|------|----⌫|
etc ilditqu	-|-⌫-|--|-|
i l nient r eraiaseli n on	-⌫|||---⌫-⌫--|-|-|-|-⌫-|
sisepartliuns	-|-|---|-|--|
del au tre	-||--⌫--|
etentrech a scuns en sauoie .	-|----|--⌫-⌫----|-|-|---||
mesatantlesse	--|----|----|
orelicontes degal aadetparole	--|-|-----|-|---⌫--|-|-----|
demelyantetc omentilliauint.	-|------|-|-⌫----|-|-|----||
