Quenul senblant	--|--|-------|
Laitle crïerger pist lab este	---|-|-----|---⌫---|-|-⌫---|
Hautlesgardenese t	---||------|-|--⌫|
fac eNosecrïergerpis tla	---⌫||--|-----|------⌫|-|
Tristanlechi endesozlu i boteO	------|-|---⌫-|----|--⌫|---||
le stortorebat	|-⌫-------|--|
Hu sdentenreuo tcrïer	--⌫----|-|----⌫|-----|
Tr istr anlaqeut a	--⌫----⌫-||----||
doutrine r	--------⌫|
Ainzquelipremier	---|--|-|------|
mo ispasast	--⌫-|-----|
Fu silechiendo nte z	-|-|-|----|--⌫---⌫|
crïersuie tsatrace	-----|----⌫|-|----|
Sornoifso rherbe ne sor glaceN	--|---|--⌫|----|-|--|----||
ira sabesteia laschant	--|-|----|-|-------|
Tantniertisnel eetr emuant	---||---|-----⌫|-|-⌫-----|
Orlora grantmes tierlichiens	-|--||----|---⌫---|-|-----|
Amer uelleslor faitgra nsb iens	|---⌫-----|--|---|---⌫-|-⌫---|
Silprentel bo ischeurelnedain s	|-|----|-|--⌫-|------|-|----⌫|
Bienlenb usche cueure	---||---⌫----|-----|
Etsile nmila ndelatai nt	-||-|-⌫--|--⌫--||----⌫-|
C omi l sauienten	-⌫-|-⌫||-----|-|
iprentmaint	|----|----|
er beget easezdesor	--⌫-|---⌫|---|----|
Arire tor ne ason se ignor	----|---⌫-||--|--⌫----|
La le maineou	-|-|----|-|
sabesteaprise	-|----||----|
M ot sontlich iendegrantseruise	-⌫-|---|-|--⌫--|-|----|------|
Seignorsmotfuelboi s	-------|--|-|-|---⌫|
Mo tioutpainesetahans	--⌫||--|-----|-|----|
En unleunoseremanoir	-|-|--||--|-------|
Dont lieueaumainne	---|----|-|---|-|
gistausoir	---|-|---|
q ueliroisl efait qu erre	-⌫-|-|---|-⌫|---|--⌫---|
Etqu elibansest	-|--⌫|-|---|--|
en sater re	-|-|---⌫-|
Por lui prendrequiltroueroit	--|--|------|---|--------|
bo isd el pain	--⌫-|-⌫-|---|
Decharuiu en tel nemengüen t	-|---|---⌫--⌫|-|-|--------⌫|
Q uepü entilse colo r	-⌫-|---⌫--|-|-|----⌫|
L or dr asron pentrainslesd ecirent	-⌫-|--⌫-|---⌫---|----|--|-⌫------|
Longuem en tpar	-------⌫--⌫|--|
Morrois fuïr ent	------|-----⌫--|
Chascu n deus soffre paineelgal	------⌫||--|-----|----|----|
nesent mal	-|---|--|
G rant poo ra	-⌫---|---⌫||
Yseutl a gente	----|-⌫|----|
Tristran porliéneser ep ente	-------|--|---|-|-|-⌫--⌫---|
Tristranrepo is efort	-------|----⌫--⌫|---|
Yseut ap or luides cort	----||-⌫-|--|---⌫---|
Qu elrepente de l a folie	-|-|------|-|-⌫|----|
Und ecestroisqu e	-|-⌫|--|----|--⌫|
Parqui ilfurent	--|--|-|-----|
descouer t	--------⌫|
Oiezconmentparun iorse rt	---|------|--|-|--|--⌫-|
Richesh o m ert et de gr and	-----|-⌫-⌫|--|-|-|--⌫--|
Lic hie nsam oitporsondedui t	-|-⌫---⌫-|--⌫--|--|--|-----⌫|
Cornoualledupaïs	---------|-|----|
Morrois erents ieschi s	------|----|-⌫|-----⌫|
Quil n iosout unsolentr er	-|-|||----|-|--|----⌫-|
Bi enlorfaisoitaredouter	--⌫-|--|------||-------|
Tristran lespeüst p rendre	-------|--|-----|-⌫-----|
I ll esfeïstasarbres	-⌫|-⌫-|-----|-|-----|
Biende uoientdonquesla isier	---|--⌫-----|------|--⌫----|
Uniorestoitoson destrier	-|--|-----||--|-------|
Gouerna l s o la undoi til	-------⌫|-⌫-⌫||-|---⌫--|
Quidecendoit dunfonten il	--|--------||-|------⌫-|
out ostél a sele	--|----|-⌫|---|
er betepaiso it nouele	--⌫---|-----⌫-|-----|
Tristran gesoiten	-------|-----|-|
saf ulli e	-|-⌫----⌫|
Estroi tementot enbrachie	------⌫-----|-|--------|
Laroïneporquilestoit	-|-----|--|-|-|-----|
Mis entelpaine e nteldestroit	--|-|--|----|-⌫|--|-------|
Endormiere nt a medoi	------|---⌫-|-⌫----|
Gouernaler t en un	-------|--⌫|-|-|
esquoi Oï leschi enspar auen ture	-----|--|--|---⌫--|--|----⌫---|
Lecerfchacentgr an t ale üre	-|---|------|--⌫--⌫|---⌫---|
Cerentlic hie naundes trois	|----|-|-⌫---⌫||-|--|----|
Porquicons el	--|--|----⌫-|
e st oit lir ois	-⌫--⌫--|-|-⌫--|
Meslez ensenble	-----|-------|
laroï n e	-|----⌫-⌫|
chacentlice rf	------|-|--⌫-|
Gouernal u int un ec harir e	-------|-⌫--|--⌫|-⌫-----⌫|
En un e l ande luin	-|--⌫|-⌫---|---|
uit celuenirqu e il bien s et	--|--|----|--⌫|-|---|-⌫-|
Que sessiresonquesplushet	--|--|----|-----|---|--|
To tsol ement sanz escuier	--⌫|---⌫----|---|------|
D ese s pero nsa	-⌫-|-⌫-⌫----⌫-||
sondestrie r	--|-------⌫|
A tantdon éque	|---|---⌫-|--|
il escache	-|------|
S ouentelcolfiert	-⌫----|-|--|----|
Li cheuauscest e	-|------|----⌫|
sorunmarbre	--|-|-----|
Gouernal s acosteaunarbre	-------||-----||-|----|
Enbuschie z est celuiatent	---------⌫|--|----|----|
Quitropu i enttostetfu iralent	--|---|-⌫-⌫--|---|-|--⌫--|---|
Nusr eto rnernepuetfortune	--|-⌫---⌫---|-|---|------|
Ne sega it oitdelarancu ne	-|-|--⌫--⌫--|-|-|-----⌫-|
Tri stranfait	---⌫----|---|
Cilqui desozlarbresestait	--|--|----||----||-----|
uit le uen irhardil atent	--|-|---⌫-|----||----|
Ditmexueutestremis a uuent	--|--|---|----|--|-⌫|---|
Queildeluinaitla uenianc e	--|-|-|--||--|-|-------⌫|
Qar pa rluiet	--|--⌫|--|-|
parsafaisa n ce	--|-|-----⌫-⌫-|
D ur e ntil es tre	-⌫--⌫-⌫-|-|--⌫--|
tuitdestru it	---|------⌫-|
Lichien l i cerfsiuentquifuit	-|----|-⌫|---|-----|--|---|
Liu asaus aprés leschiensuait	-|-⌫----|-----|--|-----|---|
Gouernal sautdesen	-------|---|-|--|
Dumalquecilo tfai t lim enbre A	-|--|--|--|-⌫|---⌫|-|-⌫----||
s espeetotlede smenbre	|----|--|-|--⌫------|
Lich iefenpr ent atot s en	-|--⌫--|-|--⌫--|---||-|
Li ueneorquil ontparf ait	-|-----|--||--|----⌫--|
S iuoient lecerfesmeü	-⌫------|-|---|-----|
Delorseign oruirentl ebu	-|--|-----⌫-|-----|-⌫|-|
Sanzl at estesoz la rbreius	---|-⌫|-⌫---|--||-⌫---|--|
t ostcor tcil	-⌫--|---⌫|--|
s enfuitpl us	|-|---|--⌫-|
Bien quident	---|------|
ce aitfait	-|--|---|
Dontlirois	---|-|---|
fi stfaireleb an	--⌫-|----|-|-⌫-|
Co rnou a lle on tante nduL un de st rois ale	--⌫----⌫-⌫--|--⌫|----⌫--||-|--⌫|-⌫---||-|
chiefperdu	----|----|
Qui meslot	--|-----|
Tr istranolero i	--⌫-----||-|--⌫|
ont tu itet es froi	--|--⌫-|-|--⌫---|
Puisonten pes	---|--|-|--|
leboislaisié Nont	-|---|------||--|
boi ss ouentchacié	---⌫|-⌫----|------|
Descel orequ	--|--|--|-|
ub oisentroit	|-⌫--|------|
Fustporch acierchascuns	---|--|--⌫----|-------|
Tristranlipreuz lencontrast	-------|-|----||---------|
uplain etp lus	|----|-|-⌫--|
Tristranseiut anlafullie	-------|-|--|-|-|-----|
Chautens faisoit sifuionch ie	---|---|------|-|-|-----⌫-|
Endo rmiz est ne sauoitmie	----⌫---|--|-|-----|--|
Quec il eü st	--|-⌫-|---⌫-|
Pa r quiildutmortreceuoir	--⌫|--|-|--|---|-------|
qu antensaura leuoir	--⌫--|-|----|-|---|
Gouernalalaloge uient	-------||-|---|----|
Latesteau mort as amaintientA la	-|----|-|---||-⌫|---|----||-|
f or ch edelarameeL	-⌫--⌫--⌫|-|-|----||
parl esche ueu snouee	--|-⌫-|---⌫---⌫|----|
Tristrans esuelle	-------||------|
uitla teste	--|-|----|
S aut esfreezsor piezsareste	-⌫--|------|--|---||-----|
Ah au te uoizcriesonme st re	|-⌫--⌫-|---|---|--|--⌫--⌫-|
Neuosmouez	-|--|----|
seürs puez estre	-----|---|----|
A cestees pee laioc is	|----|--⌫--||-|--⌫-|
Saciez cistert uostreanemis	-----|---|--|-----|-----|
Tristrandecequilot	-------|-|-|-|-|-|
Cilestocisquilpl usdo tot	--|--|---|-|-|--⌫-|--⌫--|
Pooro nttuit parla co ntree	---|-⌫-|---|--|-|--⌫----|
Laforestestsiesfreee	-|-----|--|-|------|
este rded enz	----⌫|---⌫--|
Oron t leboi s a	-|--⌫|-|---⌫||
lor talent	--|-----|
il erenten celgaut	-|----|-|--|---|
T ris tanlarc	-⌫---⌫--||--|
Ente lmanier e elbois lefis t	-|--⌫|------⌫|-|---|-|---⌫|
Riens ne t roue	----|-|-⌫---|
quiln oceïst	-|-||------|
boisuaitcerfnedai ns	---|---|---|-|---⌫-|
Seilatouche ̈ acesrains	-|-|-------⌫||--|----|
arcestmis ettenduz	--|--|--|-|-----|
S ehauthurtehaut estf eruz	-⌫|---|----|---|--|-⌫---|
Etseilhurtealarc an	-|-|-|----|||--|-|
Basestferuzeneslepas	--|--|----|--------|
Tris tran par droi tet pa r ra iso n	----⌫---|--|----⌫|-|--⌫|--⌫---⌫|
Qantotfait larc limist	---|-|---||--|-|---|
Motabuennonlarc qui ne	--||---|--||--|--|-|
Riens qu ilnefirebas	----|-|-|-|---|--|
Et motloroutpus g ra ntmestier	-|--|--|--|--|-⌫--⌫-|------|
Demain tgrantce r f lo r	-|----⌫|----|--⌫-⌫|--⌫|
f ist mengi er	-⌫--|-----⌫-|
Mestierert q uel a sauuagine	------|--|-⌫-|-⌫|--------|
L oraïdastenlagaudine	-⌫-|------|-|-|------|
Qar fallizl or estoit li painsNil	--|-----|-⌫-|-----|-|----||-|
nosoientissir as pl ains	|------|----|-|--⌫---|
Longueme ntfu ente l dechaz	--------⌫-|-|-|--⌫|-----|
M eruell es fudebuenp or chaz	-⌫------⌫-|-|-|---|-⌫--⌫---|
Deuenoi sonontgrant p l enté	-|-----⌫--|--|----|-⌫-⌫----|
Seignor cefuuniord e sté	------|-|-|-|--||-⌫---|
Eniceltensquel en	-|---|---|--||-|
Unpoiaprés la	-|--|-----|-|
Pentec oste	------⌫---|
Parunmatinalaro us ee	--|-|----||-|--⌫--⌫-|
Lio ise lchan tentl a inziornee	-|-⌫---⌫|----⌫---||-⌫--------|
Tristrande	-------|-|
lalogeouil g i s tÇaintsespee tot	-|---|-|-|-⌫-⌫-⌫|-----||----|--|
sols enistL	--||-|--||
Qu i ne faut uet regar der	--⌫|-|---|--|-----⌫--|
Parmil eb ois alab erser	----|-⌫|-⌫--|--|-⌫----|
Ainzquiluenistfu	---|-|-|-----|-|
entel pain e	-|--|----⌫|
Fuainzmais s gentta nteüst	-|---|----⌫|---|--⌫-|----|
Ma is lun porl	--⌫-||-|--||
au trenelesent	--⌫--|-|-|---|
B ie norentloraai semen t	-⌫--⌫|----|--|---⌫-----⌫|
Ainzpuisletens qu eel bois furent	---|---|-|---|--⌫|-|---|-----|
ita nt de tel neburent	---⌫-|-|--|-|-----|
Ne siconmelesto ir edit	-|-|----||----⌫--⌫|--|
B erox leuitesc rit	-⌫---|-|--|---⌫--|
Nulegenttantne	---|---|---|-|
s entramerent	|----------|
Nesi grime ntnucon pererent	-|-|-----⌫-|-|---⌫-------|
La r oïnecontreluiliue	-|-⌫----|-----|--|---|
L ichauzf ug ranz qui	-⌫|----|-⌫|-⌫---|--|
mot lesg riue	--|--|-⌫---|
Tristr an l acoleet	------⌫-||----|-|
au ezuos esté	--⌫-|--|----|
Ap rés un cer f quim alassé	--⌫---|-|---⌫|--|||-----|
ai chac ié quetot men	-|----⌫--|--|--||-|
Somelmest pris dormirme uel	----||--|---|-----|-|--|
fude uersrains fai te	-|-|---|----|---⌫-|
Deleusenl eusotfuelleatraite	-|---|-|-⌫--|-|-----|------|
Etparterrefubienionchi e	-|--|----|-|---|------⌫|
Yseutfu p remi rec ouch ie	----|-|-⌫----⌫-|-⌫----⌫-|
Tris tran secoucheett r ait s espee	----⌫---|-|-----|-|-⌫-⌫--||----|
Entreles d eux	----|--|-⌫--|
c harslaposee	-⌫---|||----|
Sa chemise	-|------|
Ys eutuestue	--⌫--|-----|
fusticelior nue	---|---|--|--|
Meruelleslo rfustm eschoie t	--------|--⌫|---|-⌫-------⌫|
Tristransesbraiesrauoit	-------|--|-----|-----|
La r oïneauoiten son do iL	-|-⌫----|----|-|--|--⌫||
aneldordes	---||-|--|
nocesleroi Oesmeraudesplanteïz	----|-|--||---------|--------|
Meruel l esfu	------⌫-⌫-|-|
li doizgr esliz	-|---|--⌫----|
A po iquelianeaus	|--⌫|--|-|-----|
Oezcomilsesont	--|--|-|-|---|
De sozle co l	--⌫--|-|--⌫|
Tri stran a mis	---⌫----||--|
Sonbrazet l	--|---|-||
autre cem estuis	----|-||--|--|
Lioutpardedesu sget e ́	-|--|--|------⌫|---⌫-⌫|
Estroiteme ntlotacole ́	----------⌫-||-|-----⌫|
Etilla rotde sesbra zça int e	-|-|-|--|-|--|---⌫|---⌫---⌫|
Lor amistié ne fu	--|-------|-|-|
pasf ainte	--|-⌫----|
Le sbouche sfuren t pres asi ses	--⌫|------⌫|-----⌫|---|---⌫--|
E tneporquan tsi ot	-⌫|---------⌫|-|-|
Quena s enbloientpas ensenble	--||-⌫-⌫--------|--|-------|
uent neco r t	---|-|--⌫-⌫|
ne trenble	-|------|
Unsraisdecent desorl aface	--|---|-----|----|-⌫|---|
Yseutque plusreluistqueglace	----|--|---|------|--|----|
Eisisendorment	---||--------|
Nepensentmalnetant ne q uantN	-|------|--|-|---|-|-⌫---||
auoit queu s de u sencel paï s	----|-|--⌫|--⌫-⌫|-|--|----⌫|
Gouerna lcemestauisS enert	-------⌫|-||--|---||-|--|
Aualelb ois au	---|-|-⌫--|-|
foresti er	-------⌫-|
Oez seignorsquelau enture	--|-------|---|--⌫-----|
Tantlor dut es tre pesme	---|--|--|--⌫--|----|
Parlebo isuintunsforestiers	--|-|--⌫-|---|--|---------|
Qui auoittroue ́	--|----|-----⌫|
lorfulliers	--|-------|
erentelboisgeu ̈	----|-|---|---⌫|
Tant a parle f uellier seü	---||--|-|-⌫------|---|
Quilf u uenuz a la ramee	-|-|-⌫|----||-|----|
Tr ist ranoutf aitsaünee	--⌫---⌫--|--|-⌫--||-----|
uitlesdormanz bien lesconnut	--|--|------|---|--|-----|
Li san s lifuitesmarriz fut	-|---⌫|-|---|-------|--|
M ot senue st tost	-⌫-||-|--⌫-|---|
quar sedoutoit	---|-|------|
metroitautreo s tage	------|----|-⌫-⌫---|
Fors latestelairoi t engage	---|-|----|------⌫|-|---|
Seilsenfuitnestpasme ruelle	-|-||-|---||--|--|--⌫-----|
enist cort a	-|--|---||
Tristr anauocsam ie dort	------⌫-|---||--⌫-|---|
Parpoiq u ilnereçurent mort	--|--|-⌫|-|-|--------|---|
Diluecendroitou	|----|------|-|
ildormoi ent	-|------⌫--|
Quideus bones li ues	--|---|----|--⌫--|
e s toient	-⌫-⌫-----|
La ou liroistenetsa	-|-|-|---|----|-|
Li for estierg r ant erreacort	-|---⌫-----|-⌫-⌫--|---|----|
Qarbienauoi t oïle	--|---|----⌫|--|-|
Quelenau oitfaitde	--||-|--⌫--|---|-|
Trist ra n	-----⌫--⌫|
Cilqui aur o ien diroit u oir	--|--|-|-⌫-⌫|-|-----|-⌫--|
Assez aroit de son	----|----|-|--|
Liforestie rbienle sauoit	-|--------⌫|---|-|-----|
Porcacor t ila tel	--||----⌫|-||--|
Marcensonpa l ai s Osesbarons tenoit	---|-|--|--⌫-⌫--⌫||--|-----|-----|
se s plaiz	--⌫|----|
Des barons ertp la in ela sale	--|-----|--|-⌫--⌫--⌫|-|---|
Lif orestierdu mon t auale	-|-⌫-------|-|---⌫|----|
E ts enest entrémot uait	-⌫||-|--|-----|--|---|
Pensez queonc ar esters	-----|--|--|--⌫----||
queiluint a sde g rez	--|-|---|-⌫|--⌫-⌫--|
Sus estmontez	--|--|-----|
Li roi sle uoituenir grant	-|---⌫|-|---|----|----|
Sonforestier a pele enerre	--|--------|-⌫---|-|---|
Soizn ou ele squisitost	---|-⌫--⌫---⌫|--|-|---|
Omesenbles quecore a	--|------|--|---||
Quichastsabeste	--|----|-|----|
porata indre	--|---⌫----|
acortdenulluiplaindre	|---|-|-----|-------|
Tusenbleshom	-|------|--|
qui aitbesoin	--|--|-----|
meso ittramis d eloin	-|--⌫-|-----|-⌫|---|
Setuueusriendi ton mesa ge A t oi	-|-|---|---|-|--|----⌫-||-⌫-|
n us hon uee ́ s ongage	-⌫-|--|---⌫|-⌫-|---|
O uchacié u osdema forest	-⌫|------|-⌫-|-|-|-----|
Escoute moiroisetoi pl est	------|--|--|-|--|--⌫--|
Etsim ententun sol petit	-|-||-----|-|--|----|
p aïsalon	-⌫---|||-|
Qui tonneuoporroitt rouer Q anc ̧oiss osast laisier	--|--|---|------|-⌫----||---⌫---||----|------|
Quil nup reïst	-|-|-|-⌫-----|
ou uenist dire	-|-----|---|
Gelaitr ouésencriemuostre ire	-||-|--⌫---||-|----|-----|--|
Senel t ensein dor rasmoi mort	-|--||-----|---⌫--|--|---|
Ie temerrai lao ui l	-|-|-----|-|-⌫|-⌫|
Etlar oïn een senble o lui	-|-|-⌫----⌫|--⌫-----||--|
poiaensenble	--||-------|
Fermementerentendormi	--------|----|------|
Grantpooroi	----|---|-|
quantlalesui	----|-|--|-|
L i rois l ent e ntboufeetsospire	-⌫|---||---⌫-⌫-|----|-|------|
Esfreez estforments aïre	------|--|------||----|
Auforestier	-|--------|
dist et conselle	---|-|-------|
Priueementdedenz	---------|-----|
endroitsontil	------|---|-|
Enune loge de	-|--|---|-|
Dormente st roitetenbrachiez	------|-⌫--⌫-----|---------|
uien tostiaseron d eus uengie z	---|---|-|----||--|------⌫|
Rois sornenprens aspre ueni ance	---||-||-|----|----|----⌫---|
Nas droiten terresanz	|-|----|-|----|---|
do utan ce	--⌫----⌫-|
Li roislid ist	-|---|-|-⌫--|
Istenla f o rs	-||-|-|-⌫-⌫-|
Si chier conme tuaston cor s	-|----|----|-|-|--|---⌫|
Nedirea nulce	-|---||--|-|
Ta ntsoitestrang en ep riuez	--⌫-|---|-------⌫|-⌫|-⌫----|
Rogeaucheminfors	---|-|-----|---|
Laon enfuetsouentlescors	-|-|-----|-----|--|---|
Ne te mouoir	-|-|-----|
ilu ecmatent	---⌫-||----|
Tantte dorraioretargent	---|-|-----|-|-|-----|
Contuu oudra siel	--|-|-⌫-----⌫|-||
Li fore stiersepartduroi	-|----⌫----|-|---|-|--|
Croizuientilue csasiet	----|----|----⌫||----|
Male gotel es	---|---|-⌫-|
eulzlic riet	---|-|-⌫---|
Qui tan tuoloit	--|---⌫|-----|
Tristran destru ire	-------|------⌫--|
Mexliuenist s oncorsconduire	--|-|-----|-⌫-|---|-------|
Qarpuismoruta sigrant honte	--|---|----||-|----|----|
Con uosor rezauan telconte	--|--|--⌫--|----⌫|-|----|
Li roisest	-|---|--|
enl achan breen tre zAs oimandatoz ses	-|-⌫|----⌫--|--⌫---⌫||-⌫-|----|--|--|
Pusloruoiaetdefendi	--|--|---|-|------|
Quilneso ienti asi hard i	-|-|-|--⌫---|-⌫|-|----⌫|
Qu ilallentaprés	-|-|-----|-----|
luiplainpas	--|----|--|
Chascun li	------|-|
cegasAal eruossous	-|--||--⌫-|--|---|
nu l e part	--⌫-⌫|---|
Ainznefu rois qui	---|-|-|---|--|
nait regart	|--|-----|
Qeln oueleauez uo soïe	--|-⌫----|---|--⌫|---|
Neuo smoue zpordit d esp ie	-|--⌫|----⌫|--|--||---⌫-|
L irois respont	-⌫|---|------|
Ne sainouel e	-|--|-----⌫|
Maisma ndé maunep ucele	---|--⌫---|||--|-⌫----|
Queialletost aliépa rler	--||---|---||---|--⌫---|
Bie nmema ndeni	---⌫|-|--⌫--|||
moignep er Giraitot seus	-----|-⌫-||---|--|---|
sormon destrier	--|--|-------|
Nemerraiperneescu ier A	-|-----|--|-|----⌫--||
cestefoiz iraisa nzuos	----|---|---|--⌫-|--|
I lresponent	-⌫|--------|
Cepoisenos	-|----|--|
Chatonsconma ndaa	------|-----⌫--||
sonfilzAeschi uerlesleussoutiz	--|---||-----⌫--|--|---|-----|
I lrespont	-⌫|------|
Laisiezmoi faire auqu esmes se z	------|--|----|----⌫-|--|--⌫|
Liroisafait sasele	-|---||---|-|---|
metreSespeeçaintsouent	----||----|-----|-----|
re gret eA l ui	--⌫----⌫||-⌫-|
tot sol lacuuertise	--|--|-|--------|
Tristranfistquantill	-------|---|----|-||
Yseult l a bele o lecleruis	-----|-⌫|---||-|---|--|
O quis en e st a léfuitisS i l les	|--||-|-⌫-|-⌫--|-----||-⌫|--|
trou e mot les mena c e	----⌫|--|--|----⌫-⌫|
Nelair apa snelor	-|----⌫|--⌫|-|--|
Mot est li rois acoragiez	--|--|-|---|--------|
D edestruireces	-⌫|--------||-|
granzpechiez	----|------|
D ela c ité	-⌫|-|-⌫---|
Etd istmexueutestre pend u z	-|-⌫--|--|---|----|----⌫-⌫|
Qu ilnep rengede ceusu eni ance	-|-|-|-⌫----|-|---|-⌫---⌫---|
Queliontfait telauilance Ala	--|-|--|---|--|-------||-|
croizuint ouci l	----|---|-|--⌫|
Dist liqu ilautisnel ement	---|-|-|-|--|-----⌫----|
Et quillemeintladroiteuoie	-|-|-|-|----|-|-----|---|
El boi s entrentquimotonbroie	-|---⌫|------|--|--|------|
Deuan t le roisemetl	-----⌫|-|--|-|--||
Lir oislesieu tquibi en s ifi e	-|-⌫--|-|----⌫|--|--⌫-|||--⌫|
Enlespeequeilaçainte	-||----|--|-||------|
Don tadonécoleemainte	---⌫||----|----|-----|
