Aiceliorkeladolor fugr ans	|---|--|-|-|----|-|--⌫--|
Eti omeïsmessuien .ui i. lieus	-|-⌫|-------|--|-|---⌫-|----|
n aur és.	-⌫---⌫---|
Nesaikenmentefuian smensui tornés.	-|--||-|----|-----⌫||-|--|-------|
gr an tperte	--⌫--⌫|----|
suifo rmen tadol és .	--|--⌫----⌫|----⌫---⌫|
Entor Orengea.c.mile dEsclé s	----|-----||--|---||------⌫|
Asise l a liforsroi sDes ramés	----|||-|---|---⌫|---⌫-----|
E nsem bl eodlui.xxx. rois desfaés	-⌫----⌫--⌫|-|--|----|---|-------|
Iusqu a un auestli siegesiurés.	----||-|-|--|-|-----|------|
Da me Guibors kita nt uosaamés	--⌫-|------|-|--⌫-|--||----|
Parmo iuosmandekeuos lesecorés.	--|--⌫|--|----|-|--|-|--------|
Por dieu si gn eurprengeuosentpi t él	--|---|--⌫--⌫--|-----|--|--|--⌫-⌫--|
Secorésnosgran taumo snef erés.	-------|--|----⌫|----⌫--|-⌫-----|
Quantil l oïrent	----|-||------|
mosn elifu	--|-⌫|-|-|
Guill amelaissent es	-----⌫--|-------|-|
les uo sretornés	--|--⌫|--------|
Elpalaismontenttouslesan ple sde g rés.	-|-----|------|---|--|--⌫---⌫|--⌫-⌫----|
hom estestra iers reme ́s .	--|--|-----⌫---|----⌫--⌫|
Ancuisaura Gu illames aucortnes	----|----|--⌫------|-|---|--|
Compoureshomestdour icheapel és	--|-----|--|--|--|-⌫---|----⌫--|
Sil estauant ou arirebo utés.	|-|--|----|-|----|--⌫-----|
De chousid istl iuil ains	-|---|-|-⌫--|-⌫|---⌫---|
sienpertassé s chi et	---|---|-----⌫|---⌫-|
enuieutés.	-|--------|
Orest G uillamestosse u s sos lol iuier.	-|--|-⌫-------|--|--⌫-⌫|--||--⌫-----|
Totle g uer pi sseut e tlaise nt estrai er	--|-|-⌫---⌫--⌫----|-⌫|-----⌫-|------⌫-|
A ine n iremest sergantne ch eualier.	-⌫--|||-----|------|-|--⌫-------|
A nquisauraGuillames au uisfier	-⌫---|----|--------|-|--|---|
C ompoure s hom	-⌫-|-----⌫|--|
puetauriche plaidier.	---|-|----|--------|
Diex distGui lla meskitotasabaillier	---|---|---⌫---⌫--|-|--|-||-------|
C ompa restuiex quii l eonuientpro ier.	-⌫-|--⌫|--|---|--|-⌫|-------|---⌫---|
S eiapo r taiseeta rge nt et ormi er	-⌫||---⌫-⌫----|-|-⌫---⌫-|-|-|--⌫-|
Cilmounorais sentet metenissen t chie r .	--||--------⌫---|-|-|--------⌫|----⌫-⌫|
ki luoientkedaïe	|-⌫|-----|-||---|
ai mestier	-|------|
Metien entuilcom autrepautonier	-|----⌫--|--|--|----|--------|
N isestabler neueulentmonde strier	-⌫-|-------|-|------|--|--⌫-----|
asistnoten lui c	----||-|-|--||
genols amisson branc da cier	-----||--|--|----|--⌫---|
Souente sfoisregretesamoillier.	-------⌫|---|------|-|--------|
Eus elpala isrentrent cil	--|-|----⌫-|-------|--|
c eualier.	-⌫-------|
Rois Loeïs les	---|-----|--|
pr is t aa raisni e r	--⌫--⌫||-⌫------⌫-⌫|
On estGuillamesli marc his	-|--|--------|-|----⌫--|
au uisfie r	-|--|---⌫|
Kitantnosfait p eneret	-|---|--|---|-⌫---|-|
tr aueilli er	--⌫-------⌫-|
Reméses t siret ousseus sousl	-----|--⌫|---|-⌫--|---|---||
o li uie r.	-⌫--⌫---⌫-|
Loeïspris tun bastondaliier	-----|----⌫|-|-----||-----|
A laf enes t re sest	|-|-⌫----⌫-⌫-||--|
alés ap oier	----|--⌫---|
Etuoit Guillame plor e r et lar moier.	-|---|-------|----⌫-⌫|-|---⌫-----|
Il lapelasi	-||----|-|
co mmenceahueier	--⌫-----||-----|
S ireGuillames	-⌫--|--------|
ale ́suosherberg ier	---⌫-|--|-------⌫--|
uostre ceualfaites b ienaasier	-----|----|-----|-⌫--|-----|
Puisreuenés	---|-------|
alac o rtpor	|-|-⌫-⌫-|--|
Tropp o uremeu tuenés orcortoier	---|-⌫-⌫------⌫|-----|-|-------|
Dontn a ués	---||-⌫---|
uos garcon n e e seuier	--|-----|-⌫|-⌫-----|
Kiuosse ruist	-|--|--⌫----|
a uostrede scauch ier	|-----|--⌫------⌫--|
D iex distliquenscom o r	-⌫--|---|-|----|--|-⌫|
pu ises ragier	--⌫-|--⌫-----|
Quantc ie x sepaine	----|-⌫--⌫|-|----|
dem oicontr aloier	-|-⌫-|-----⌫-----|
Kime deüstaloseret pris ier	-|-|-----|-----|-|----⌫--|
Desortou shomm esamerett enirchier	----|---⌫|----⌫-|---|-|-⌫---|----|
Maisparceluikitoutaaiugi er	---|--|----|-|---|||----⌫-|
Seiome puisence lpala isfichi er	-|-|-|---|-|--⌫|----⌫-|-----⌫-|
uenraains dem ain a nu tier	----|---|---⌫--|-⌫--⌫---|
De cesteespeedontlipo inses t d	-|----|----|---|-|--⌫--|--⌫||
Liquit i obi e nlateste roeignie r	-|---|-⌫|--⌫-⌫|-|----|--------⌫|
des autres	--|-----|
dedens lesancba ignier.	-----|-|---|--⌫------|
Mar mi mostrerent	--|||---------|
ni orguel ne	-|-----|-|
Ainske me parteuue l	---|-|-|----|---⌫|
aau sconsellier	|--⌫|---------|
P artel mani erese ie puis e sploitier	-⌫-|--|----⌫--|-|-|---|-⌫--------|
cor age iuau rraiesclairie r.	---⌫--||---⌫---|---------⌫-|
L orscomme nchales iex a rouellier	-⌫--|-----⌫---|--|--||--------|
Lesde ns a	--|--⌫-||
croistreetlatesteahoehier.	-------|-|-|----||-------|
Or fuGu illamessous	-|-|--⌫------|---|
l oliuierramé	|------|----|
Assé s soï laidir etra mp rosner	-----⌫||--|-----|-|--⌫--⌫-----|
Moltli a nuiemaisnel	---|-|-⌫---|---|--|
puetamender.	---|-------|
Et Loeïsfaitson	-|-----|---|--|
hom ueissir ne entrer	--|-|----|-|-----|
Tout por Guillameki tant	---|--|-------|-|---|
faitadouter.	---||------|
uoit le li q uensdelsensquide	---|-|-|-⌫---|--|---|----|
De mautalen tc omm e nce	-|--------⌫|-⌫---⌫-⌫--|
a tressuër.	|---------|
U n s fransborgoi sGuimarsloï nomer	-⌫-⌫|----|------⌫|------||--|----|
Otlui lemaine sil afait osteler	-|--|-|----|-|||---|------|
Etsonce ualr i eem e ntestabler.	-|--|--⌫--|-⌫-⌫---⌫-⌫-|--------|
Ahau tetabl el e fist	|---⌫-|----⌫|-⌫|---|
li quensniuautdech ar	-|----|||---|-|--⌫-|
Nedeblanc pain une mi eadeser	-|-|----|---|--|--⌫|-----|
Grospaind ese glefi st	---|---|-⌫|--⌫--|--⌫-|
De c el maingasibutaigueau	-|-⌫-|-----|-|--|----|-|
Lifransb orgoisli prista	-|----|-⌫-----|-|----||
Si reGui llame sgentix	--⌫-|---⌫-----⌫|-----|
nobles etber	-----|-|--|
Si belmangi er uolés	-|--|-----⌫-|-----|
uosrefu ser	--|----⌫--|
Por quoil efait esNe ledeuéscel er	--|---|-⌫|----⌫-|-|-|-----|---⌫-|
uosdes pl e st	--|---⌫--⌫-⌫-|
ielf erai amender.	--|-⌫---|-------|
Ne niluo irsireainsfaitmolt aloer	--⌫--|--⌫-|---|---|---|---||---|
Mai saOrenge quant iemenduitorner	---⌫||-----|----|-||-|--|-----|
Pleu imafa meGu ibo rcod le	----⌫|-|--⌫-|--⌫---⌫-|-|-|
N engoustero ie chouliuuel afiër	|-|--------⌫-|---|-|---|-----|
Iusq uese ro iearireretornés.	----⌫-|--⌫--⌫-|----|---------|
uo stremerchi ne	--⌫---|-----|-|
uos endo itpeser.	--|-|--⌫-|-----|
Otleliostes neliuintmie agre	-|-|-|----|-|-|---|--||--|
Ace lefoisla issaatant ester.	|--⌫-|---|--⌫---||---|-----|
Apr ésmangier fo nt les nape s	---⌫--|------|--⌫-|--|----⌫|
Augent il contefo nt sonlitato rner	-|----⌫-|----|--⌫-|--|--|---⌫---|
keuteetdundrap do utre me r	----|-||-|---||-⌫---|--⌫|
MaisaineGuillamesniuaut	---|---|--------|||---|
dor miraler	---⌫--|---|
Fresche erbeet	------|---|-|
ioinsfistl iquensaporter	----|---|-⌫|----|------|
S oursa suëre	-⌫--|-|-----|
uasentliquens	-||--|-|----|
uerssa mo i llierneseueutpariurer.	---|-|--⌫-⌫----|-|-|---|--------|
Onqesnipotdormir nereposer	----|||--|-----|-|------|
Nonqes lanuitnefinade penser	|----|-|---|-|---|-|-----|
Iusquaumatinque	----|-|----|--|
ildutai o rner .	-|--|--⌫-⌫----⌫|
LiquensGuillames sehas tado u leue r	-|----|--------|-|---⌫-|--⌫|----⌫|
Al ostefi stso nhaube re aporter	||---|--⌫-|--⌫|-----⌫-|------|
Enmilachambrelestalezendo ss er	-|-|-|------||--|---|----⌫--⌫-|
Sonbrancda cie r n i uaut	--|----||-⌫---⌫|||---|
mie o ubliër.	--|-⌫-------|
Siredistl ostes oud euésuos	---|---||----|-|-⌫----|--|
uoirdistGuillame s bienleuos doi con ter	---|---|--------⌫|---|-|--|--|---⌫--|
Iirailassus aLoeïpa rler	|---|-----||----|--⌫---|
seco rs requerreetdemand er.	----⌫-|-------|-|------⌫--|
Ma is parcelui	--⌫-|--|----|
mepuetesco ndi reetueer	-|---|----⌫---⌫-|-|---|
Et maparoleet	-|-|-----|-|
maraisonblasmer	-|-----|------|
Etuersle roimaïe des loer	-|---|-|--|----|---⌫---|
Molt ch ierementli feraicomperer	---|--⌫-------|-|----|-------|
Sired istlos tesdiexuoalaist	---|-⌫--||--⌫--|---|--|----|
Gra nsestlorg uexkeuer résas sambler	---⌫-|--||---⌫--|-|---⌫---|--⌫------|
Liroi sidoi tBlancefl orcorou ne r	-|---⌫||---⌫|--------⌫-|-----⌫--⌫|
uostreserorkimol tuosdoitamer.	-----|----|-|---⌫|--|---|----|
uerm endois d oitaunco ntedo ner	----⌫-----|-⌫--||-|--⌫--|--⌫--|
terr equeonpuistdeuiser	----⌫|--|-|----|------|
Maisain cs aus guerrenepotn uliorest er.	---|---⌫|-⌫--|-----|-|--|-⌫-|--|---⌫--|
Aincnefuterr e ta ntpeüstendurer.	---|-|-|----⌫|--⌫-|-----|-------|
C il qui la ura	-⌫-|--||-⌫--|
seporrabieuuanter	-|----|---|-----|
Que detosquensna	--|-|--|----|||
el mondeson	-|----|--|
uoirdistGuilla mesioereaudeuiser	---|---|------⌫--|-|--|-|------|
Detoutentou t	-|---|-|---⌫|
lestuet parmoial e r	|-----|--|--|--⌫-⌫|
CardouceFrance doiiopar	--|----|-----|--|-|--|
droitgard er	----|----⌫-|
Et eu bat ailleloriflanbeporter.	-|-|---⌫----||--------|------|
Et sederien meueulentcontre ster	-|-|-|---|-|------|------⌫---|
P arquoiuersausmefacentaïrer	-⌫-|---|---|--|-|-----|-----|
LeroideFrancequit	-|--|-|-----|---|
ie tostdesposer	-|---|-------|
Et desoncief forsla coroneoster.	-|-|--|---|---|-|-----|-----|
Quantliborgois laoï siparler	----|-|------|||--|-|-----|
Delapaorcommencha	-|-|---|--------|
atrambler.	|--------|
Etlimarc h isniuo ut	-|-|----⌫-⌫-|||--⌫-|
plusdemorer	---|------|
De lostelistsisen prist aaler	-||----|--|-||-|----||---|
uierslepalésplusfiers	----|-|-----|---|----|
queunsen gle r.	--|-|---⌫---⌫-|
Anc ui ie c uicferale	---⌫-|-|-⌫--|---|-|
LiquensGuill a me ses td e lostel issus	-|----|-----⌫-⌫--⌫|--⌫|-⌫||----|----|
Sousson blia% ut f u ses haubersuest us	---|--|-----⌫-|-⌫|--|------|----⌫-|
Et tient sonb rane	-|----|--|-⌫---|
soussonmantelrepu s.	---|--|-----|----⌫-|
Hautoupal ais e stlim arehisuenus	---|-|---⌫--|-⌫-|-|-⌫-----|----|
othuiskili	-|---|-|-|
fustde tenus.	---|--⌫-----|
lasaleuientliquens irascus	-|---|----|-|----|------|
trouaprineescontesetdus	----|------|-----|-|--|
Etcheualiersetiouenes etcenu s	-|---------|-|------|-|----⌫|
Etgente sdamesuestuesde	-|-----⌫|----|------|-|
Dedrasdesoie de	-|---|-|---|-|
paile aorbatus.	----||-|-----|
Liq uens Guill ames	-|-⌫---|-----⌫---|
fu bienrecouneüs	-|---|---------|
Maismalementfue ntraus recheüs.	---|-------|-|-⌫--|--|--------|
Porcekilertsi	--|-||-|--|-|
pourem en t uestus	------⌫--⌫|-----|
u nseulkilidesis tsal us	-⌫|---|-|-|-----⌫|---⌫-|
N isla roïnedonta ssésfuu e üs	-⌫-|-|-----|---|-⌫----|-|-⌫-⌫--|
Kiertsasuer amerledefüstplus.	-|--|-|---|---|-|------|----|
D e toutentoutif u m esc oun eüs.	-⌫|---|-|---||-⌫|-⌫---⌫---⌫----|
Guillame s formentfuiras c u s	--------⌫|------|-|----⌫-⌫-⌫|
De s e uru nbancsalaseoir	--⌫-⌫-⌫-|-⌫|---||--|----|
Petit senfa ut	----||-|--⌫-|
seur elo rest corus.	----⌫|--⌫|--|-----|
illuecmeüs	-----|----|
EstA i merisau perrondescendus	--|-⌫-⌫----|-|-----|--------|
E n sa compaig neauoit	-⌫|-|-------⌫-|----|
.uii.x x.escus.	------⌫-|-----|
G rans fu la nois eet li crise tlihus	-⌫---|-|-|----⌫|-|-|---|-⌫|-|--|
Franc sestormis enteslesuossaillisus-	----||--------⌫--|-|--|--|-----|---|
ContreAimeris enest	-----|-----||-|--|
lirois issus.	-|---|-----|
Or croistGui ll aumesaforce et sa	-|-----|---⌫--⌫---|-|----|-|-|
S Ermengart puetbienserar e eor u z.	|--------|---|---|---|-⌫-⌫---⌫-⌫-|
Auperron e std es ceudus Aimer is	-|-----|-⌫-|-⌫--⌫-----|-----⌫-|
EtErmengarslacomtess e	-|--------|-|-------⌫|
Aueuc liotles.iiii. desesfis	----|-|-|--|-----|-|--|--|
Ernaut l e pr eus Bueuonde Coum arci s	-----|-⌫|--⌫--|-----|-|----⌫----⌫|
S if uGuibers etBernars	||-⌫|------|-|------|
Ma is ni ertpasAïmersl i	--⌫-|||--|--|------|-⌫|
EnE spai gn e e stentreles	-|-⌫----⌫--⌫|-⌫-|----|--|
Sarr asins	----⌫----|
Us ecombat	|-⌫|-----|
nu it et pardis.	--⌫-|-|--|---|
Ainz k Aimerisfustel palais	---||------|---|-|-----|
Liuintencontre	-|---|-------|
sesg enres	--|-⌫----|
Etlaroi ̈nekimolt ot	-|-|---⌫--|-|---|-|
c lerle uis.	-⌫--|-|---|
Molt fuli quens et	---|-|-|----|-|
baisiésetioïs	-------|-|----|
Et Erme ngarslacomt essegentis	-|----⌫----|-|----⌫---|-----|
Laf ranc e	-|-⌫----⌫|
dame ki tantmalasentis.	---|-|---|--||------|
Elfa u destuefontA imeria s sis	-|--⌫-⌫------|--|-⌫----|-⌫-⌫--|
Deio stelnil eroide	----⌫--|--|-⌫|--|-|
Saint Deni s	----|----⌫|
Et lacontessesistlesle npeerris	-|-|-------|---|--||-⌫-------|
Eleertsa fille si	--|--|-|----|-|
c om dist liescris.	-⌫-|---|-|------|
L i c euali erontles si egesporpri s	-⌫|-⌫-----⌫-|--|--|--⌫---|------⌫|
ni q uisenttapis.	||-⌫-----|-----|
Souefi fiairee tla	----||-----|-⌫|-|
roseet lil is	---|-|-|-⌫-|
Liencensest	-|-----|--|
ensencenc iers	--|------⌫---|
Cilg ougleor	--|-⌫------|
ontleuruiële s	--|---|------⌫|
Gransf u laioie elpalais	----|-⌫|-|---|-|-----|
Molt iauoi t etde ua iret de	---||----⌫|-|-|--⌫-|-|-|
M a isainsl e	-⌫-⌫-|---|-⌫|
l iiors soit f enis	-⌫|---|---|-⌫---|
Au rapa our tr esto us liplus hardis.	--⌫-|--⌫--|--⌫----⌫-|-|---|------|
Nisle nperere uau roitestreaP aris	--||-⌫------|---⌫---|----||-⌫---|
EtlaroïneensacambreaSenlis	-|-|-----|-|-|-----||-----|
CardansGuil la mes auco rtn eslimarchis	--|---|----⌫--⌫--|-|--⌫-|-⌫-|-|------|
Tous s eu ss esietcor echiésetmarris	---|-⌫--⌫|-⌫|---|---⌫------|-|-----|
I rié setfi ersctto usmautalentis.	-⌫----⌫|-|--⌫--|-|--⌫-|-----------|
Diex dist liquens or suiie	---|---|-|----|-|--|-|
tropt api s	---|-⌫---⌫|
Quant ie uo ic himoupere	----|-|--⌫|-⌫-|--|---|
et m esamis	-|-⌫-|---|
Ma fr ancemered ontfuiengenuïs	-|--⌫---|---|-⌫--|--|--------|
Kene uimes. uii.ans a a complis.	-|-|-|--|-⌫---|--||-⌫-------|
souf fert mo ltsui	----⌫---|--⌫-|--|
uiexethoni s.	---|-|----⌫-|
Senem enucnge iaesra geraiuis	-|-||-|----|-|----⌫----|--|
Aicestmotest	|----|--|--|
liq uenssu s sai llis	-|-⌫---|--⌫|---⌫---|
Aincdes espeenefusespoins	---|-||----|-|-|--|----|
sa le uintd e uantLoeïs	--⌫-|---|-⌫-⌫---|-----|
Hau t aparlébi enfudetoso ïs	---⌫||-----|--⌫-|-|-|--|-⌫--|
Ihe su degloirel iroisde	---⌫-|-|-----|-⌫|---|-|
Saue celide q ui	---|---|-|-⌫-|
iesuinasquis	-|--|------|
Etmon chi erp e re dontfui	-|--|---⌫-|-⌫-⌫-|---|--|
freres etmesaut resa m is	-----|-|--|---⌫--|-⌫-⌫-|
Et ilconfonde	-|-|-------|
celmauaisroi faillis	--|-----|--|------|
Et m a serour la putain	-|-⌫|-----|-|-----|
Parqui iefuisiuieumentrecuellis	--|--|-|--|-|-------|--------|
Et e nsacor	-|-⌫|-|--|
gabésetesearni s.	-----|-|-------⌫-|
Qua ntdes cendi s ousl o liuierfoillis	---⌫-|---⌫----|-⌫--||-⌫-----|------|
Ainc des es hommes	---|-|-⌫-|-----|
niot grantnepe tis	||-|----|-|--⌫--|
Kimete nistmon de strierArab is.	-|-|--⌫---|--|--⌫-----|----⌫--|
Ma isparle ss ainskediexabeneïs	--⌫-|--|--⌫|-⌫---|-|---||------|
Nie rtpormonp ere	|--⌫-|--|--|-⌫--|
ki les luiest as s is	-|--|--|--|--⌫-⌫-|
Ie nefendroie	-|-|-------|
del brfancsiquel ceruis.	--|-----|-|-|-|------|
liroislisansli	-|---|-|---|-|
Etlaroïn eu ausistestre	-|-|-----⌫|-⌫-----|----|
OuaEstampesou elborc s ain t	-||-------|-|-|---|-⌫---⌫|
Ni aFranchoi sne so it t osesbahis	|||--------⌫|-|--⌫-|-⌫-|------|
Distlun sal autreGuillames est maris	---||--⌫|||----|--------|--|----|
Marl e ueïsme sen treren	--|-⌫|-------⌫|--⌫---|-|
ce stpais.	--⌫-|----|
QuantErmeng arsaueüsonenfa nt	----|------⌫--||---|--|----⌫-|
E tAim eri s molten furentioiant.	-⌫|---⌫---⌫|---|-|-----|------|
Delfau destue f saill irentmainten ant	--|---⌫------⌫|-----⌫----|-------⌫--|
Guill ameembracent etd erireet	-----⌫--|--------|-|-⌫----|-|
Si.iiii.frerele u o nt mo lt ac olant	-|-----|----|-|-⌫-⌫-|--⌫-|--⌫----|
Bai sierleuoldren tmesil leur	---⌫---|-|-------⌫|--|-|---|
uait tornant	---|------|
Lasoiebouce de la loresebiuant.	-|---|----|-|-|--|---------|
Par lepalaissenuo nt	--|-|-----||-|--⌫-|
resbaudisant	-----------|
o nti oieli aut resont	-⌫-|-⌫--|-|---⌫-|---|
Liqu ensGuillames uason	-|--⌫--|--------|-|--|
perecontant	---|------|
Pit e useme n t siloien t li auq uant	---⌫-⌫-----⌫-⌫|-||----⌫|-|---⌫---|
Legrantdamage	-|----|-----|
otenAlisea ns	-|-|------⌫-|
Kelio n tfaitS arrasine t	-|-|-⌫-⌫|---|-⌫------|-⌫|
Ettout ain sicom senalaf uiant	-|---|---⌫-|--||-|--|-⌫----|
scshommcsnamenaunuiuant	--|-----||----|-|-----|
Et uiuie ̈nlaissamort enlArch ant	-|-----⌫-|-----|---|-||----⌫--|
Sicompaien leuinre uten ca ue hant	-|--|----|-|-----⌫-|--⌫--⌫--⌫---|
menere ntlep alasi nBertra n	------⌫-|-|-⌫-----⌫|------⌫|
EtGuiëlinetGuich art le ua ill ant	-|-------|-|-----⌫--|-|--⌫---⌫--|
Gerartde BlaueGautierleToulosan t	-----|-|----|------|-|--------⌫|
HuondeSantes etGa rnie rlAlemant	---|-|-----|-|--⌫----⌫||------|
Guiborclaissai enOrengeplourant	------|------|-|-----|-------|
La lont asiselipaien mescreant	-||--|----|-|----|--------|
.xxx.roi sonte t . xiiii.am irant.	----|--|---|-⌫|-⌫-----|--⌫-----|
Dedens Oreng euauita ille	-----|-----⌫|-|----⌫---|
fa illa n t.	--⌫----⌫-⌫-|
Encestpaïsuen oieporgarant	-|---|----|---⌫--|--|-----|
A Loeïsc est	|-----|-⌫--|
mauaisrecreant.	-----|--------|
Maisie uoi bien q ue c uers l i uafaillant	---|-|--|---|-⌫-|-⌫---|-⌫|-|-------|
Ens en sacort me faituilains amblant.	--|-|-|---|-|---|-----|-⌫-------|
Mais pa r l	---|--⌫||
apostle kequirent	------|-|------|
Ains kemen	---|-||-|
feraitotdo l ant	----|--|--⌫-⌫--|
Etma seror leputa inmescreant	-|-|----|-|----⌫-|--------|
Loeyslotsisen uaembrunchant	----||-|-||-|-|----------|
D ontuousist estreaHui ouaDinant.	-⌫--|------|----||--|-||------|
Et Franc hois fure n tc oi etmu et t aisaut	-|-----⌫---|----⌫-⌫|-⌫-|-|-|-|-⌫-----|
Deluiaidiern ia	-|--|-----||||
nulk is enuant.	--|-⌫||-|----|
