o tzzempereeur	-⌫|-|--------|
defamene nulh oir	-|---|-|--|-⌫--|
qu i tenist	--⌫|-----|
sa terreapresluisi	-|----|----|--|-|
uind rentsi ami etli	----⌫---|-|--|-|-|
q uilpreist	-⌫|-|-----|
quiil eus t hoirsqui	--|-|---⌫|----|--|
teni ssent	----⌫----|
apres lui il	----|--|-|
dist q uil lap rendroit	---|-⌫|-|-|-⌫-------|
uolentiers	---------|
queissentlui ill i	--------|--|-|-⌫|
qu irentli	--⌫----|-|
preudonsfu	-------|-|
etrem esladam e fu	-|---⌫-|-|---⌫|-|
iu eneet n	--⌫--|-||
n uld elitdel u i ne	-⌫-|-⌫---|-|-⌫-⌫|-|
nu ldep or tet tantq ue ele	--⌫|---⌫--⌫|-|-----⌫-|--|
etil esto itauten s	-|-|----⌫-|-|---⌫|
delorsuset cou stume	-|---|-|-|---⌫----|
qu e senus	--⌫|-|--|
estoit priserra nt	-----|---|----⌫-|
rome puisquec ueuref eu	---|------|-⌫------⌫-|
s on nezil	-⌫--⌫--|-|
si bienempare ntezqu il	-|---|------⌫---|-|-|
nefuste stuiez	-|---|-⌫-----|
iusqueslandema i nque li	------||------⌫-⌫|--|-|
sage fussen tuenuzen	---|------⌫|----|-|
consis toire	------⌫----|
adont estoitfustezparmi	----|-----|-----|----|
et tantquela	-|------|-|
auriche homeprist une	-|----|---|----|--|
nuitplet as on amiil	---|---||-⌫-|--|-|
moultesp escele	----|---⌫-|---|
iutempr essonseigneur	--|----⌫-|--|-------|
bien li me mbr adesa	---|-|--⌫---⌫|-|-|
c ouuenancelad amefaint	-⌫--------|-|-⌫--|----|
et d ist ason seigneur	-|-⌫--||--|-------|
esto itm aladeet	----⌫-|-⌫----|-|
queles eleua	-|--|-⌫|---|
iou stelu ietaua la les	---⌫--|--⌫|-|---⌫-|--|
degreze t d esferma	-----|-⌫|-⌫------|
luissi trouuason	|--|-|-----|--|
am iillaconmencaa	--⌫|-|-|-------||
besieretaacoler	-----|-||-----|
etfirentl eur u olente	-|-----|-⌫--|-⌫-----|
mes sensetialou sie	--|---|-|-----⌫--|
entrae lcu e r	----|-⌫|--⌫-⌫|
a sonsei gneursise	|--|---⌫----|-|-|
le ua e tdeua laconme	--⌫-|-⌫|----⌫-|----|
potcontr eualsilesoi	--|-----⌫---|-|--|-|
conseillieril f uir ie z	----------|-|-⌫|--⌫--⌫|
luis pardeuerslu i	|--|--|-----|--⌫|
puisuinten	---|---|-|
fenestresets	--------|-||
escria et disthada me	-----|-|---|-|--⌫-|
dameriens ne	---|----|-|
ai oiuostrelech eeur	-|-|-----|----⌫---|
has irefet	-|-⌫--|--|
pourdieumerc icertes	---|---|----⌫|-----|
non feistessauueuo s tre	--|------|----|--⌫-⌫--|
ce rtesfetil	--⌫---|--|-|
ha sire pourdie u aiez	-|---|---|---⌫|---|
merci de moiiasonner a	----|-|--|-|------⌫|
cu eur efeuscert es fet	--⌫---⌫----|----⌫-|--|
ili ele uoudroie	-|-⌫|-|-------|
sir eiaseroi eiemor te	---⌫|-|-----⌫|-|---⌫-|
et dest r uite	-|----⌫-⌫---|
et ser oied emain	-|---⌫--|-⌫----|
et tuitmiparent seront	-|---|-|-----|-----|
dahazaitdame quien	----|--|---|--|-|
chau tilecdeuantau oit	----⌫|---|-----|--⌫--|
zzpu ismou lta ncien	-|--⌫-|---⌫-|-⌫----|
sirefe tele	---|--⌫|--|
ouur ezlui si eme	----⌫-||--⌫|-⌫|-|
lesserecheoir	------|-----|
certesdamei ele	-----|---|-⌫|-|
uou droiebienparfoi	---⌫----|---|--|--|
n em euerroizia me s il	-⌫|-⌫|------|--⌫--⌫|-|
fistmoultespessi que	---|----|----|-|--|
n e pooit ueoir la utre	-⌫|----|----||-⌫---|
deua ntlui s a uoitune	----⌫-||--⌫|-⌫---|--|
grant pierreele	----|-----|--|
pui ssire ditele cuer	---⌫|---|--|--|---|
nepuetmentir adieu	-|---|-----||---|
uous con mandez	---|---⌫-----|
apre sle ssa	----⌫|--⌫--|
cheoir la pierreel puis	-----|-|-----|-|---|
marieorest ma fame	----|-|--|-|---|
pourlu ichasti er nonet	---|--⌫|------⌫-|--|-|
po url uiesprouuercele	--⌫-|-⌫-|--------|---|
uise t cilsen	--|-⌫|--||-|
deualacontreual	-----|--------|
etouuril uissi	-|----||--|-|
en a la aupu iset	-|-⌫-|-|--⌫-|-|
c ele sen entra	-⌫--||-|----|
enz etferma	--|-|----|
endementresqueci la peloit	-------------|--⌫|-⌫-----|
saf am e et	-|-⌫--⌫|-|
disoitbelesuerestes	-----|---|---|----|
uouslaaualnenildi t	---|-|---|----|--⌫|
eleie ne suimie	--|-|-|--|--|
morteu o us uou driez ore	----|-⌫-⌫-|---⌫----|--|
que ie fusse elpuis	--|-|----|-|---|
or estaperte uos tre	-|--|-----|---⌫--|
etuost remauues tiei en	-|----⌫-|------⌫--|-⌫||
estoiepas asse zbe le	-----|--|----⌫|--⌫-|
ha belesueriao i	-|---|---|-|-⌫|
iesigrantduelde	-|-|----|---|-|
uousque ie cuidoie	---|--|-|------|
queuous fu ssiezcheoiste	--|---|--⌫----|-------|
eleuou sn ie nterroiz	--|---⌫|||-⌫-------|
ha bele suer pour dieu	-|---|---|---|---|
iasoneracu eur efeuset	-|-----|--⌫---⌫----|-|
se iesui prisie	-|-|--|---|-|
seraidemain	----|-----|
fust ezs im a istdiex	----⌫-|-⌫||-⌫--|---|
iene demant	-|-|-----|
ia sa uront le sbones	-|--⌫----|--⌫|----|
genz quel uieuousme	---|---|--|---|-|
mene eg rant	----⌫|-⌫---|
piece a ta ntesu ousque	----|-⌫--⌫-|-|-⌫--|--|
cueurefeus	---------|
sonaetquel esg uetes	---|-|--|-⌫-|-⌫----|
uindrent qui	-------|--|
etdirent ala dam e	-|-----||-|---⌫|
h ad ameianoi smes	-⌫|-⌫--|-||--⌫---|
nouson quesmes	---|--⌫---|--|
parler de lauilenie	-----|-|-|------|
uostr eseigneuror poe z	-----⌫|-------|-|---⌫|
u eo ir queielai	-⌫--⌫-|--|-||-|
cel ee tant conme i e	---⌫-|---|----|-⌫|
uue i l plus	---⌫-⌫|---|
celerne uousn e s au ez	----|-|---|-⌫|-⌫--⌫-|
lau iequil ma	-|-⌫-|-|-|||
meneeparfoi damefo nt	----|--|--|---|--⌫-|
nouslenmen ro n smeinte nant	---||-----⌫--⌫-⌫|------⌫---|
q uecueurefe usera sonnez	-⌫-|--------⌫|---|-----|
cert esd itelebelm	----⌫-|-⌫-|--|--||
atantlessecueuref eua	----|----|-------⌫-||
sonneretcille	-----|-|--|-|
e nm ai nent enla	-⌫--⌫--⌫---|-|-|
tourconmecilquiiu ré	---|----|--|--|--⌫--|
en estoient	-|-------|
ety fu iusq uel	-||-|----⌫-||
andemainqueil fu	-------|--|-|-|
fustezparmi la uile	-----|----|-|---|
oresire di stlentillus	--|---|--⌫-|--------|
alemperee uratorna	||-------⌫-|-----|
ladamesonse igneur	-|---|--|--⌫-----|
c este desleau te	-⌫---|-------⌫-|
t raison quela d ame fist	-⌫-----|--|-|-⌫--|---|
ason seigneurencore	|--|-------|-----|
u ousfe ra	-⌫--|--⌫-|
cestep isse uousla	----|-⌫-|-|---|-|
creezdeuostrefi lz	----|-|-----|--⌫-|
par monchi efd itl i	--|--|---⌫-|-⌫-|-⌫|
emperieresonquesmes de	---------|-----|--|-|
traitres se fam e n oi	--------⌫-|---⌫||-|
parl er sire orgardez	----⌫-|---|-|-----|
le ntillusqu e	--⌫------|--⌫|
n euousfaceausi de	-⌫|---|---|---|-|
uos t refilzo cirrenon	---⌫-⌫-|---|-⌫----|--|
fera elef etilse	---|--|-⌫-|-|-|
uo usengart	--⌫-|-|---|
sire fetli sages	---|--|-|----|
pa r m onchief	--⌫|-⌫-|----|
emperieresil nemorra	---------|-|-|----|
ata ntl essier e ntester	---⌫-|-⌫------⌫-⌫-|----|
iusques atantqu	------|------|
les port es	--|----⌫-|
fu rentfe rmees	--⌫---|--⌫----|
liemperieresui nt	-|---------|--⌫-|
empe reriz	----⌫----|
elelifistmoultlede	--|-|---|----|---|
c hiere li	-⌫----|-|
emperieresl i	---------|-⌫|
queel e auoitsire	--|--⌫|----|---|
ele ie su ilaplus	--|-|--⌫|-|---|
dolent e riensqui	------⌫|----|--|
iem enirailematin	-||-|---|-|----|
ce sachiez	-|------|
nonferoizdame	--|-----|---|
rema in droi zse	----⌫--⌫----⌫|-|
uoussiren on	---|---|-⌫-|
iemenu ue il mieulz	-||-|-⌫--⌫-|-----|
enne urque remanoir	----⌫-|--|-------|
hon teetiesui iuene	---⌫-|-|-|--|----|
grantlignage s ine	----|------|-⌫|-|
uo l ezrienscroi rechose	--⌫-⌫-|----|----⌫-|----|
uousdie e tpour ce	---|--|-⌫|---|-|
uous empu is seilausi	---|-|--⌫--⌫-|-|---|
au enirconme	--⌫---|----|
i l fis tace luiqu i	-⌫|---⌫||--⌫--|--⌫|
liurasa fam ea u	----|-|---⌫|-⌫|
roi da mepar	--|--⌫-|--|
la foiq ueuousme	-|--|-⌫-|---|-|
deuezquifucildites	----|--|-|--|----|
moiilmest auisqu	--|-||--|---|-|
amoit gueres	----|-----|
queuaudroi tmesdir es	--|-------⌫|--|---⌫-|
uousneuolezriens fere	---|-|----|----|---|
d ame fetliemper ieres	-⌫--|--|-|-----⌫----|
puillequifu	-----|--|-|
ildesdaignoit	-|----------|
fames se urtoutes ri ens	----|--⌫-|-----|--⌫--|
ettan tquil	-|---⌫--|-|
etenflasiquetuit	-|----|-|--|---|
simembrer ep ostrent	-|-----|-⌫--⌫------|
fusici enetciluintsi	------⌫-|-|--|---|-|
orine diua	----|---|
fetlirois se	--|-|---|-|
puezguarir	---|-----|
ie tedon rete rre et	-|-|---⌫-|--⌫--|-|
au oirtant c onme	--⌫--|---|-⌫---|
plerasi refet	----|--⌫-|--|
il granz mercizetie	-|----|-----|-|-|
uousguarir aimo ultbien	---|------⌫-|--⌫--|---|
liphis iciens	-|----⌫-----|
s en tremist	|--⌫------|
tantqueilfugarizil	------|-|-|----|-|
li donaame ngier	-|---||--⌫----|
paindorge eteuea	---||---|-|--||
boiuredefontainne tantqu	-----|-|--------|-----|
il dese nfla	-|----⌫---|
etqueli membres	-|--|-|-----||
aparurentzz iourli	--------|-|---|-|
dis t q uilli	---⌫|-⌫|-|-|
couueno itune	-------⌫-|--|
pardieudistli rois	--|---|---|-|---|
querreilapelason	-----|-|----|--|
seneschal e tli di st	--------|-⌫|-|--⌫-|
querez moi	-----|--|
une fame hasire fet	--|---|-|---|--|
li seneschausienela	-|---------|-|-|-|
trouuercar eles cuident	------|--|---|------|
encore ausienflez conme	-----|---|-----|----|
u oussoliezestredonez	-⌫--|-----|----|----|
u int marsdemesr entes	-⌫--|---|-|--|-⌫----|
fetli r oi s	--|-|-⌫--⌫|
uolentiers	---------|
asa fam e et	|-|---⌫|-|
dameiluous	---|-|---|
couui ent gaaingnier yy	-----⌫--|---------|-|
ma rssir e fetele	--⌫-|---⌫|--|--|
conmentuous	------|---|
gerroizditi lanuit	------|--|-⌫|----|
seuleme ntauecleroiha	-------⌫-|---|-|--|-|
feteleme rcicertesse	--|--|--⌫--|-----|-|
dexplest n onferaisi	--|----|-⌫-|----|-|
ditil ie le	--|-|-|-|
conmanthasi reie ne	------|-|--⌫-|-|-|
feroiepour terremengier	-----|---|----|------|
damequ igaaingnierne	---|--⌫|---------|-|
pe rte li uiegnece ne	--⌫--|-|-----|-|-|
uaut riensfairel	---|----|----||
sirefetelede par	---|--|--|-|--|
dieuuou sferoizdemoi	---|---⌫|-----|-|--|
u olenteq ua nt ilfu	-⌫-----|-⌫--⌫-|-|-|
anuitiélis enescha usui nt	-------|-|-⌫-------⌫-|--⌫-|
asonseigneur	|--|-------|
en lach ambreoulen	-|-|--⌫----|-|--|
le couchoitlirois li	-|-------|-|---|-|
distsenesc haus	---|------⌫---|
auezuousquise lafame	---|---|----|-|---|
qu eie uousdis sire	--⌫|-|---|--|---|
eleneueul t	--|-|----⌫|
lenlauoiecare le	--|-|---|--|-⌫-|
ge ntis famedepardieu	--⌫---|---|-|--|---|
di s tliroisli	--⌫-⌫|-|---|-|
sene s cha us	----⌫-⌫---⌫-|
meismesestai ntlecierge	------|-----⌫-|-|-----|
etfist lesserianztouz	-|---|--|------|---|
de leenzpuis	-|----|---|
safa me siuin tdeuant	-|--⌫-|-|---⌫|-----|
lempe r eeur la	|----⌫-⌫---|-|
des poillapu is selanca	---⌫-----|--⌫-|-|----|
royliseneschausferma	--|-|---------|----|
liroisiu tauecla	-|---|--⌫|---|-|
dame tantq u il	---|-----⌫|-|
sen es chau suint ala	---⌫--⌫----⌫|---||-|
cham bres ila	----⌫--|-⌫|-|
dormezuous	-----|---|
sir e ditil au roi	---⌫|--|-|-|--|
senes chaus ienons ire	-----⌫----|-|--|-⌫--|
il ilcou ui entque c ele	-|-|---⌫--⌫--|--|-⌫--|
famesena ill equ	---||-|-⌫---⌫|-|
soitaperceueparmon	---|-------|--|--|
chieffetli roisnon	----|--|-|---|--|
sire i eauoiecouuent a	---|-⌫|----|------||
ses amis que elene	--|---|--|--|-|
se roitiaconneue	--⌫---|-|------|
depardieu ditl i	-|--|---|--|-⌫|
ro i s cil sedepart i de	--⌫-⌫|--|-|------⌫|-|
atend itan tqu	-----⌫|---⌫--|
i ourze tque pr ime	-⌫---|-⌫|--|--⌫--|
pui sreui nta la chambre	---⌫|----⌫-||-|------|
etdi stdamedamecar	-|--⌫-|---|---|--|
susparm on	--|--|-⌫-|
c h iefdist	-⌫-⌫--|---|
liroisnonfera li	-|---|--|---|-|
s e neschaus	-⌫-⌫-------|
nepo tplus end u rer	-|--⌫|---|---⌫-⌫--|
m eintenant ouurile s	-⌫--------|----|--⌫|
fenestreset	--------|-|
d is t ha sirepour dieu	-⌫--⌫|-|---|---|---|
c estmafameli rois	|--|-|---|-|---|
e nsonsean t etre garda	-⌫|--|----⌫|-|--⌫----|
l eseneschaletpuisla	-⌫|--------|-|---|-|
dameapr escefu	---|---⌫-|-|-|
iriez moultdurement et	----|----|-------|-|
di stau senescha llierres	--⌫-|-|--------⌫|------|
traitrespour	-------|---|
coila meba illastes	--|-|-|--⌫-------|
uousc ertes	---|-⌫----|
guaaignierles	---------|--|
yy mar spou r couuoitise	-|---⌫|---⌫|---------|
uouse steshonizdi st	---|-⌫---|----|--⌫-|
chief s e uous	----|-⌫|---|
e stestrouuez ceenzquan t	-⌫---|------|----|----⌫|
s eraileuez	-⌫---|----|
ferai lese ul zsachie r	----|--|-⌫--⌫|------⌫|
a queu e de	|----⌫|-|
seneschaxsenfoiet	--------||-|--|-|
li roi smari a	-|---⌫|----⌫|
safamebienet bel en	-|---|---|-|--|-|
oresi ren auez uous	--|--⌫-||---|---|
oiq uelisene schaus	-|-⌫-|-|----⌫-----|
couuo itisedauoiro r	-----⌫----||----|-⌫|
esgarde zconment il le n	-------⌫|------|-||-⌫|
auenuilestdesheritez	----|-|--|---------|
a toutiourzetsafame	|--------|-|-|---|
mariee a utr esi	-----|-⌫---⌫--|
uou s prendreg arde	---⌫|------|-⌫---|
uous e stes sicou u oiteu s	---|-⌫---|-|---⌫-⌫-----⌫|
de o irle s parol esa	-|-⌫-|--⌫|-----⌫-||
sagesetcouuoitiseuous	----|-|---------|---|
ueintra si	------|-|
essill iezet	------⌫--|-|
honteusseurterrede	------|---|----|-|
mesmaie iem ie car	|-----|-|-⌫-|--|
miamimemeint endront	-|--|-|-----⌫------|
etrichementor siuous	-|--------|-|-|---|
en coui eg nebi en	-|----⌫--⌫-|--⌫-|
ne uousyga rdezcil	-|---||--⌫---|--|
q uiriensn i o ntne	-⌫-|----|||-⌫-|-|
doiue ntauoirenseront	-----⌫-|----|-|-----|
se ign eurpa rmo nchief	--⌫---⌫--|--⌫|--⌫|----|
li roisnon s erontcar	-|---|--|-⌫----|--|
di que nul e	-|--|---⌫|
ne le p uetgarantirq u	-|-|-⌫--|-------|-⌫|
ilne muire	-|-|----|
certessire	-----|---|
uo us feroizque sages	--⌫-|-----|--|----|
ainsint r emestiusqu es l	------|-⌫----|-----⌫-||
a ndemai nqueliemp erieres	-⌫------⌫|--|-|---⌫------|
fuleue z et	-|----⌫|-|
l e pale sempl i	-⌫|----⌫|----⌫|
baronsdelaterreli	-----|-|-|----|-|
em pe rieres	--⌫--⌫-----|
apelas essers alez	----|-⌫-|---|---|
dist ilprenez	---|-|-----|
silemafolezsire a	-|-||-----|---||
uos trecon ma ndementils	---⌫--|---⌫--⌫------|-||
e nalere nt	-⌫|-----⌫-|
a la iaol e et	|-|----⌫|-|
enm en ere nt pa rdeuan t l	---⌫--⌫---⌫-|--⌫|-----⌫||
em peree urcon treu a l	--⌫-----⌫-|---⌫----⌫-⌫|
lesd egrez etsen	--|-⌫----|-||-|
aloie n tp armi l esrues	-----⌫-⌫|-⌫---|-⌫-|---|
der om e et tuit	-|-⌫--⌫|-|---|
leueoi ent	-|----⌫--|
auoientgrantpitie atant	------|----|----|----|
que s esmestres uint	--|-⌫-|------|---|
auoitnonmalcuidarz l i	----|--|---------|-⌫|
pitiedeson	----|-|--|
sempassaou treet	|-|----|--⌫--|-|
cheuauchatan tq u i l uint	--------|---⌫--⌫|-⌫|---|
ausd e grez	--|-⌫-⌫---|
de la s aleil descendi	-|-|-⌫--|-|-------|
assezfu quisonc heual	----|-|--|--|-⌫----|
il uientdeuant l	-|----|-----||
empereeursilesalu eli	--------|-|-|----⌫|-|
emp erie res	---⌫----⌫--|
n eliren t	-⌫|-|---⌫|
saluainzle mauditl i	---|---|-|-----|-⌫|
s agesli respondi	-⌫---|-|-------|
po urcoime	--⌫-|--|-|
u ouspo ur c e fetil	-⌫--|--⌫-|-⌫|--|-|
uousauoi ebailliémon	---|----⌫|-------|--|
filzet u ous lia uez	---|-|-⌫--|-|-⌫--|
parole etsiuost	-----|-|-|---|
prendre m afa m e	------|-⌫|--⌫-⌫|
etpou rcele faz	-|---⌫|-|-|--|
i edestruirehasi re fet	-⌫|--------|-|--⌫-|--|
merciseuous	----|-|---|
sanziugement etsanzle	---|-------|-|---|-|
conseil de	------|-|
u osbar onsle	-⌫-|---⌫--|-|
des truisi ez	---⌫------⌫-|
ausiauenirco nmei l	---|-----|--⌫--|-⌫|
fistalancien	---|||-----|
sage desafame	---|-|-|---|
con m ent l enauint	---⌫-⌫--||-|----|
fetliemperieres	--|-|---------|
d ite s lemoicar	-⌫---⌫|-|--|--|
ancie nsageorroie ie	-----⌫|---|-----|-|
uolentiers	---------|
lauieetsiorroie	-|--|-|-|-----|
uolentiers	---------|
conmentsafameledecut	------|-|---|-|----|
sire elene	---|--|-|
s engardamoultbien	|-|----|----|---|
conmesagesditeslemoi	----|----|----|-|--|
liemperieres	-|---------|
sireenuoiez	---|------|
dontuo stre	---|--⌫---|
filz que rreuolen tiersfe t	---|---⌫--|-----⌫----|--⌫|
ila ssezf u qui	-|-⌫---|-⌫|--|
reuintarieresliu allez	-----|------|-|-⌫----|
lempereeure tason	|--------|-⌫||--|
mestrepuisrefumis en	-----|---|---|--|-|
laia ole et	-|--⌫--|-|
me ssiresmaucuidarz	--⌫|----|---------|
conmencason con te	-------|--|---⌫-|
sireilot enceste	---|-|-|-|----|
uilezzs a ge uie let	---|-|-⌫-⌫-|---⌫|-|
deg rantaage qui	-|-⌫---|---|--|
moultotr iche	----|-|-⌫---|
bone siamiuindr enta	---|-|--|-----⌫--||
li direntquilpreist	-|-----|-|-|-----|
fameetapai nnes	---|-||---⌫---|
uerr oiziauie l	----⌫--|-|---⌫|
ho mequiuolentiersne	--⌫-|--|---------|-|
pr aigne iu enefame il	--⌫----|--⌫--|---|-|
distqueillali	---|--|-|-|-|
queissentil	--------|-|
li qu irent	-|--⌫----|
iuene etbele	----|-|---|
etblon del isagesen	-|----⌫-|-⌫|----|-|
ot euesyyil fu	-|---|-|-|-|
sesaagespassez	--|----|-----|
la damefu aue c son	-|---|-|---⌫|--|
seig neurzz	----⌫---|-|
anqueonques folien e	-|--|-----|----|-⌫|
l if istiasoit ce	-⌫|-⌫--|-|---|-|
tale nt au	----⌫-|-|
c hiefde l anuint	-⌫---|-||-|---|
a umosti er	-⌫|-----⌫-|
dei oustesa mere	-|-⌫----|-|---|
lid ist dameie	-|-⌫--|---|-|
nulsoul a zde	--|----⌫-⌫|-|
monseig neurorsachiez	--|----⌫---|-|------|
quei euueilamer	--|-⌫|----|---|
fuifillefetla mere	--|----|--|-|---|
cenef erastupa s	-|-|-⌫---|-|--⌫|
damesiferaiueulsle	---|-|----|----|-|
tu ferepar mon conseil	-|---|--|--|------|
dameieloq uetu	---|-|-|-⌫-|-|
essaiesauant tonseigneur	------|----|--|-------|
u olentiersm eree td e co i	-⌫--------|-⌫--|-⌫|-⌫|--⌫|
b ele fill ed uneseue	-⌫--|----⌫||--|---|
entequiest	---|--|--|
en uo streuer gierqu	-|--⌫---|---⌫---|-|
aim epl usque touz les	---⌫|--⌫-|--|---|--|
autresarbres	-----|-----|
failacouperpuis	--|-|-----|---|
uerrasquil	-----|-|-|
pl estil neme tue ra	--⌫--|-|-|-|---⌫-|
lafil leatant	-|---⌫-|----|
reuint lad amea son	-----|-|-⌫--||--|
hostelet demandaou ses	-----|-|------|-|--|
li dist qu	-|---|-|
il estoitaleze sbatre	-|-----|---|-⌫-----|
so npalefr oiapres son	--⌫|------⌫-|----|--|
ue neeurausch iens ele	--⌫----|--|--⌫---|--|
lors zz sien sergents i	---|-|---|------|-⌫|
lid istpren u ne	-|-⌫--|---|-⌫-|
coignieeetuien	-------|-|---|
auec mo i dame	---|--⌫|---|
uolen tiers	-----⌫----|
ilen trere ntel u ergier	-|--⌫-----⌫-|-|-⌫-----|
pu i s dist	--⌫-⌫|---|
aceluicoupemoicest e	|----|----|--|----⌫|
ente hadamedi t i l	---|-|---|--⌫|-⌫|
o seroiecest	-⌫-----||--|
en te monseigneur si	--⌫-|--|-------|-|
teco nma n tcertes dame	-|--⌫---⌫-⌫|-----|---|
nonferai ladame	--|----|-|---|
l acoignieede la	-⌫|-------|-|-|
celui puisconmence	----|---|-------|
