formCico umence	---|-|--⌫-----|
lapr oiereq e elefetauoi ta	-|--⌫----|-⌫|--|--|----⌫||
nostreSign or.	-----|----⌫-||
Et sorissonauoite usigra ntforcec onqes	-||------|----|-⌫|-|---⌫-|----||----|
sitos tnehauc ̧ason chiefcomil p lut et	-|---⌫|-|----⌫-|--|----|--|-|-⌫--|-|
t oun a et	-⌫---⌫|-|
Qan tce uitse inzBeneoizet	---⌫|-|--|--⌫--|------|-|
neporroitarriere repeirie ral	-|------|------|--------⌫|||
abeïeilse comença m ou ta	-----|-|-|-------|-⌫--⌫||
co mpleindreetsidistBelesuernostreS i res te	--⌫--------|-|-|---|---|---|-----|-⌫-⌫--|-|
be nei ̈eQe es t	--⌫---⌫-|-|--⌫|
ElerespondiaseintBene oitet si l idist	--|-------||----|----⌫--|-|-|-⌫|---|
Beausfre reietepriéettune uousis	----|---⌫-|-|-|----|-|-|-|-----|
oïrmap roiere .	---|-|-⌫-----||
Iepriai anost re Signoret i lmoï	-|----||----⌫-|-----|-|-⌫||--|
etente ndi.	-|----⌫--||
setupuezets imed eguerpizsirepeire	-|-|---|-|-⌫|-|-⌫-------|-|------|
a tabe ïe.	||---⌫--||
SeinzB eneoizne	----|-⌫-----|-|
potissirforsd e lamesonsidemoranonmi e	--|----|---|-⌫|-|----|-|-----|--|--⌫|
par sa uolentéelleu	--|-|-------|-|--|
uoloit parsa uo lentéde mo rer.	-----|--|-|--⌫-----|--⌫--⌫--||
Einsi ntdemorer enttote la nuit	-----⌫-|-------⌫--|---|-|---|
en semblesis e refir entetsao ulerent de	--⌫-----|-|-⌫|-----⌫--|-|---⌫------|-|
parlerdes esp er i tueus par oles.	-----|--|---⌫--⌫-⌫----|---⌫---||
Lendemein fulia irs etli	--------|-|-|-⌫--|-|-|
tensrapesiez	---|-------|
et esclarciz.	-|--------||
L a damoiselerepeira arriere asa ceailleet seinz Beneoiz	-⌫|--------|------|------||-|------|-|----|------|
as abeïe.	||-----||
Qantu intautierzioretli seinz	---|-⌫--|-|----|--|-|-|----|
ho m est oitenoris sons i lleuaamontses eu z	--⌫|---⌫--|-|----⌫---|-⌫|---|----|--|--⌫|
en lairsi uitlarmede sasere u r	-||--|-|--||---|-|-|----⌫-⌫|
qi enguisede	-|-|----|-|
coulo nestoitdel corsissueetsis en	-----⌫|-----|--|---|----|-|-||-|
aloitalahaute cedes cieus .	----||-|-----⌫-|--|----||
homen otmo utgrantioiepor ce qeele	--|-|-|--⌫-|----|---|--|-|-|--|
ene stoit porteeenlah autegloiresien	-|-⌫----|-----|-|-|-⌫---|-----|-|-|
rendigrac esan ostreSig nor	----|----⌫-||-⌫----|---⌫--|
e t loengesetnoncha	-⌫|------|-|-----|
ces techoseasesfre res.	---⌫-|----||--|---⌫--||
Et puisenuoiamou t	-|---|-----|---⌫|
i snelementporlecors q ilfu st a labeïe	-⌫--------|--|-|---||-|--⌫-|||-----|
aportezpor enfoïrenune sopo uture qui l me i ̈s mes	------|--|------|-|--|----⌫----|-|-⌫|--⌫-⌫--⌫--|
auoi t fetea son o ésa p are llier	----⌫|---||--|-⌫--|-⌫-⌫---⌫----|
Qantlifrere orentfet	---|-|----|----|--|
ceqelisei nzhomlorau o i t	-|-|-|---⌫-|--|--|--⌫-⌫-⌫|
comandéc eestqeliseinzcor sfust apo rtez	-------|-⌫|--|-|-|----|---⌫|---|---⌫---|
sei nzBeneoize t s i frerel	---⌫-|------|-⌫|-⌫|----||
enfoïrentmout hon orablementsicom ildure nt.	---------|---|---⌫---------|-|--|-|----⌫-||
Etau ssicomila uoie nt estédunepensee	-|--⌫--|--|-|-⌫----⌫-|----||--|-----|
enuersnostreSig no r	-----|-----|---⌫--⌫|
etdu ncuersanznule deuise	-||-⌫|---|---|---|-----|
etsanznul departemen t nient plus nefurent	-|---|--|----------⌫|----|---|-|-----|
l orcors departizpar sepouture .	-⌫-|---|-------|--|--------||
Ap résce auintq	--⌫---|-|----||
desparties d elacontr eeauoit	--|------|-⌫|-|-----⌫-|----|
q iSernanduz estoit apelezsiestoi t a bbe sduneabbeïe	-⌫|--------|-----|-----|-|-----⌫|-⌫---⌫||--|------|
q euns hauzhomauoit fete.	-⌫|--|---|--|----|---||
Cilabbesauoitaco stume deuenir ueoir	--|----|----||--⌫----|-|----|----|
s eint Ben eoit et uisiterch ascun	-⌫---|---⌫---|-|------|--⌫----|
an poroïre tpore ntend re sessein te sparoles	-|--|---|-⌫|--|-⌫-----⌫-|--|----⌫--⌫|------|
A doncauintaun iorq	-⌫---|----||-|--||
ilorent moutparléensembleent reus deusdesei nte	-|----|---|-----|-------|---⌫|--|---|-|---⌫--|
ilfuoredeco uchi ere t	-|-|--|-|--⌫----⌫-|-⌫|
dereposercargrantpi ece	-|------|--|----|--⌫--|
estoit iatrespas see.	-----|-|-------⌫--||
Seinz Beneoizse coucha	----|------|-|-----|
en un ha utleu etliab b es secouchaen	-|-|--⌫-|--|-|-|--⌫-⌫-|-|-----|-|
uneplusbasse	--|---|----|
chamb re etlordecipl ese couchie renten	-----⌫-|-|--|------⌫|-|-------⌫---|-|
une habit a cleqi tenoit acelechambre .	--|-----⌫-⌫--|-|-----||---|------||
a m ienuitet	|-⌫-----|-|
lifrer e dormoient seinzBen eoiz se leua por	-|----⌫|--------|----|---⌫---|-|---|--|
diresesmatines.	---|--|------||
Lors u in ta la	---|-⌫--⌫||-|
fenestresicomençasesorisson safere a n ost re	-------|-|-------|--|-------⌫||---||-⌫---⌫-|
T a ntostse re sgarda	-⌫-⌫----|-|--⌫-----|
si t resgrantcla rte ́	-|-⌫--|----|---⌫---⌫|
resplendir qela nuit	---------|-|-|---|
ottoutesse steniebre s	-|-----|--⌫|--------⌫|
Etencele grant clart ésicomi lmeïmes	-|-|---|----|-----⌫-|-|--|-⌫|------|
rac ont aetdist	---⌫---⌫|-|---|
uitil d e uantl uitout	--|-|-⌫-⌫---|-⌫-|---|
Etsic om il ce	-|-|-⌫-|-|-|
rega rdoit agr antme rueilleil uit lame	----⌫----||--⌫--|--⌫------|-|--||--|
desaintGerm e indeChapl es qe	-|----|----⌫-⌫-|-|-----⌫-|-|
liangeleempo rtoi ent es	-|-----|----⌫----⌫--|-|
Etporceqeli	-|--|-|-|-|
seinzhom uoloit auoirtiesmoi ng de	----|--|-----|----|-------⌫-|-|
mira clea pela il labéqi lagis oitune foi e	----⌫--|-⌫---|-||---|-|-|---⌫--|--|---⌫|
etaut reett iercetant qe liabbes mon t a	-|---⌫-|-|-⌫----|---|-|-|----|---⌫-⌫|
amont si uit	----|-|--|
unpeti t de celelumiereet de celegrant	-|----⌫|-|---|------|-|-|---|----|
clartéqe seinzBeneoizauoitueu ̈e .	------|-|----|------|----|---⌫-||
ilsesbahissoit et esme ruelloitseinz Beneoizli	-||----------|-|----⌫-------|----|------|-|
contatout en	----|---|-|
ordreconmenti lauoitueüe c elegr an tclarte ́ et	----|------|-⌫|----|----|-⌫--|--⌫--⌫|------⌫|-|
lamedeleuesqe deChaples qe	|--|-||-----|-|------|-|
lia ngelee mporto ient .	-|-⌫----|-⌫------⌫---||
MeintenantenuoiaauchasteldeCa ssin par	---------|-----|-|------|-|--⌫---|--|
unhome qi Theoprobus estoitape lezsili	-|---|-|---------|-----|---⌫--|-|-|
coumandaq i lalastaChaples.	-------||-⌫|----||------||
Iltro ua q e li e uesquesest oitm orzetmi s	-|---⌫-|-⌫|-|-⌫------|---⌫--|-⌫--|-|--⌫|
Ilcherch a e tenquis tsouti ument	-|------⌫|-⌫|------⌫|-----⌫----|
l eure qe la m e li estoit	|---|-||-⌫-⌫|-|-----|
d elcorsissue .	-⌫-|---|----||
Et lenli contaetdist tot elauerité	-||-|-|----|-|---|---⌫|-|------|
etlamaniere	-|-|------|
Qantil fureperiez aseint Beneoit sili	---|-|-|-------||----|------|-|-|
contaeinsintla chose.	----|------|-|----||
Adoncsotli amis nostreSignorqa	----|--|-|---|-----|-----|||
celeheure droit lau oit	---|----|----||--⌫--|
il ueu ̈qeli angel e lemportoient.	-|---⌫|-|-|-----⌫||----------||
Desigrantuertuc omuousm o ez	-|-|----|----|-⌫-|---||-⌫-|
dire etretreire estoit	---|-|-------|-----|
liseinzhom encoreuosen	-|----|--|-----|--|-|
lesseiem outde	----|-|-⌫--|-|
sesmir aclesaco nter et adire	--|---⌫----||--⌫---|-||---|
Etbiensaci ezqeadoncfistil	-|---|----⌫-|-|----|---|-|
laruile et	-|----|-|
escristqel esmoi nesonte nlor abb eïes et	------|-|-⌫-|---⌫--|--|-⌫|--|---⌫----|-|
doiuenttenir seilsei ntBeneoit	------|----|-|-|---⌫-|------|
Mes tantlorafetettantditQil	--|---|--||--|-|---|--||-|
lisont trestozcon tr ed itTieu s iaet	-|---|------|---⌫--⌫--⌫-|----⌫|||-|
non mietouz Ceus qineso ntfelne	--|--|---|---|-|-|--⌫-|--|-|
est ouzMeinti egne Dex endro iteuoie .	---⌫--|------⌫---|--|-|---⌫--|---||
Etlesa utr espui st rau oier	-|--|-⌫---⌫-|---⌫-|---⌫---|
a mercilesu oie.	|----|--|-⌫--||
Or sa cie zbienq eenlariuleqeseinz	-|--⌫---⌫|---|-⌫|-|-|----|-|----|
Beneoizfist puetlenbie ntrouertoutsi	------|---|---||-|---⌫|-----|---|-|
comiluesq iets esfezetto ut	--|-|----⌫|-|-⌫-|--|-|--⌫-|
sicom limoinedoi u entuiure.	-|--|-|----|---⌫-⌫--|----||
Enmeïsmesl	-|-------||
an qe liseinz homdut issirdecesteuie	-|-|-|----|--|--|----|-|----|--|
lecontaile t distapluiseurs	-|----|-|-⌫|---||--------|
deciples etaceusqi	-------|-||---|-|
ensus delu imanoientdis tilquessig n esil ue rr oient	----|-|--⌫|-------|---⌫|-|---|---⌫-⌫-|-|--⌫--⌫----|
amel ide partiroitdel	--|-⌫|--⌫--------|--|
Au sissiem eior deuant cequil	-|-------⌫|--|-----|-|-|-|
de üst m orirfi st ilourirsasepouture	--⌫---|-⌫---|--⌫-|-|----|-|--------|
pristrentunes	--------|---|
griesfieurespar qoi il c ome nc ̧a mouta agr eueret	----|------|--|--|-|-⌫---⌫--⌫-|---||---⌫---|-|
aafebloier	|--------|
Etqantuintau	-|---|---|-|
sissimeiorilsefis tporter	------|--|-|-|---⌫|-----|
enloratoire.	-||-------||
acommenia il	--------|-|
et reçut lec ors	-|-----|-|-⌫--|
no st re Signorsi seintem entcom	--⌫--⌫-|-----|-|-------⌫--|--|
ild euoi te tla	-|-⌫----⌫|-⌫|-|
ouilleso usten oi ent cilqi	-|-|-|--⌫-----⌫--⌫--|--|-|
sideciple estoient	-|------|-------|
etilauoitses me instendues	-|-|----|--|--⌫--|------|
uerslecielre ndiillametot	---|-|---|--⌫--|-||--|--|
enfesantses orissons .	-|-----|--|-------||
Etence l ior meïsmes sa parut	-|-|--⌫|--|-------||-⌫----|
de sesfreresdontliunses t oiten s a	-|--|-----|---|-|--|--⌫-⌫--|-|-⌫|
ceailleetl ia utresmout loingensus del	------|-|-⌫|-⌫----|---|----|----|-||
abei ̈ecar iluirentqe uneuoiem outtres	----⌫-|--|-|-----|-|--|---|-⌫--|---|
clereetresplendissanzuenoi t	----|-|-------------|-----⌫|
d eue rsOrienttresqasa c eailleetd es	-⌫---⌫-|-----|----||-|-⌫-----|-|-⌫-|
iluecal oittresqauciel	----|--⌫--|----|-|---|
ceesgardoien tuns mout beaush o m	-|----------⌫|--|---|----|-⌫-⌫|
etmoutcl ersleuruintdeuant etsilordemanda	-|---|--⌫--|---|---|-----|-|-|--|------|
qui celeuoie est oit	--|---|---|---⌫--|
quilueoi en t.	-|-|----⌫--⌫||
Illires pond iren tq ilne sauoient	-|-|---⌫----⌫----⌫||-|-|-------|
Lihom l ordist Ce est	-|--|-⌫-|---|-|--|
lauoiepar laqele B eneoizliamis nostre Signor	-|---|--|-|---|-⌫-----|-|---|-----|-----|
monteescieus.	----|-|----||
Pa r cesorent	--⌫|-|-----|
ausibi encil qiensus	---|--⌫-|--|-|----|
estoi entde	-----⌫--|-|
l ui lamortde lse inthomecomcil	-⌫-|-|---|--⌫|--⌫--|---|--|--|
qiestoi en ten prese ncecarilu irentles ignesi	-|-----⌫--⌫|-|-----⌫--|--|-|-⌫----|-|-⌫---|-|
comillorauoitdi t	--|-|--|----|--⌫|
qant ilest o itenuie parqo i il le	---|-|---⌫-⌫-|-|--|--|--⌫|-|-|
Dontfu enfoïz seinzBeneoizen leglisse Sein t	---|-|------|----|------|-||------|----⌫|
IehanBaptisteqilauoitf eteetedefieeen	----|-------||-|----|-⌫--|-|------|-|
il auoit de strui t l autel Ap pol lin et sicomie	-|----|--⌫-----⌫||----|--⌫---⌫--|-|-|--|-|
u osaic o nté	-⌫-|-|-⌫-⌫---|
Etlaafetetfet enco r enostreSi res	-|-||--|-|--|----⌫-⌫|-----|--⌫--|
po r luim eintbe au m ira clequiuitet	--⌫|--|-⌫---|--⌫-|-⌫---⌫--|--|--|-|
regne partoutle	----|--|---|-|
si ecle dessi ec l es.	--⌫---|--|--⌫--⌫-⌫-||
A présce granttens qeliseinzhom fu	-⌫----|-|----|---|-|-|----|--|-|
morsetalésde cesteuie	---|-|----|-|----|--|
auin tcestmira cleqe	----⌫|---|----⌫--|-|
ieuosconterai el leuouilhabita	-|--|-------|-|--|-|-|-----|
premie rement.	------⌫-----||
Une femeestoitfors	--|---|-----|---|
de lsensqi par sa grant rageestoit	--⌫|---|-|--|-|----|---|-----|
derueeq ele	-----||--|
coro it par monsetparuauset parbourset	----⌫-|--|---|-|--|---|-|--|----|-|
parchampaignesioretnuit ne	--|----------|--|-|---|-|
ne fin oitonquesnene	-|---⌫--|-----|-|-|
cessoittan tq	------|---⌫||
eleestoitlassee	--|-----|-----|
etlase rep o so itta nt	-|-|-|---⌫-⌫--⌫-|--⌫-|
solem entou la	-----⌫--|-|-|
lassece laconstrei gnoi t	------|-|--------⌫----⌫|
ademo rer.	|----⌫--||
Un i orauintq elecoroit	-|-⌫-|----||--|-----|
etaloit en telmaniere sicomc el eqi	-|----|-|--|------|-|--|-⌫--⌫|-|
m einsa u oitdesensqebe ste mu e	-⌫---|-⌫-⌫--|-|---|-|--⌫--|--⌫|
acorant enla foss eouseinz Bene oi zauoitdemoréen	------|-|-|----⌫|-|----|----⌫--⌫|----|------|-|
lamontaigne.	-|--------||
Laentr a sise re posa tote	-|----⌫|-|-|--⌫---|---|
la nuitetfu	-|---|-|-|
Qantuinta la m atine eelesen	---|---||-|-⌫-----⌫|--||-|
issitoute seineet toutegu eried e lagrant	---|----|----|-|----|--⌫---|-⌫|-|----|
deruerie qu ilonguementla uoit tenu ee trefu en	-------|--⌫|---------||-⌫---|----⌫|-⌫|---|-|
te ls enscomsel e n eüst	--⌫|-⌫--|--||--⌫||----|
onquesmal nedoleursentue.	-----|--|-|-----|-----||
Etla d emoraelle tozlesiorsde	-|-|-⌫----|---|--|--|---|-|
loaet gracianos t re	--|-|-----|---⌫-⌫-|
Signo ret seintBeneoitsico m	-----⌫|-|----|------|-|--⌫|
elledeuoit.	---|-----||
Pluisor sautres	-------⌫|-----|
hauz miraclesi	---|-------||
sontauenusq uici nesontmieescriz mesce	---|-----|-⌫-|-|-|---|--|-----|--|-|
qeu os enauezoi ̈et ente ndu en	-|-⌫-|-|---|--⌫|-|----⌫--|-|
contese inzGrigoiresqimoutfe t bienacr o ire	----|--⌫--|--------|-|---|--⌫|---|---⌫-⌫--|
Por cela doi t	--|-|-|---⌫|
tenir chiere c arseinzGrego ires nen contastnul e chose	----|-----|-⌫-|----|-----⌫---||-|------|---⌫|----|
seu eriténon	-|-⌫-----|--|
Orproion s seintBeneoi t le beneoit	-|------⌫|----|------⌫|-|------|
c onfessor q i ldeproitanostreSignorq	-⌫-------||-⌫|------||-----|-----||
Il ait merci d enos am e s	-|--|----|-⌫|--|--⌫-⌫|
au iorqeles is tero ntde	-|--||---|--⌫----⌫-|-|
nos corsdo lenteset	--|---|--⌫-----|-|
esgarees siq eles aientpar	-------|-||---|----|--|
Luisocorsqiles fistetcria qantellesn	--|-----|-|--|---|-|---|---|----||
est o ient .	---⌫-⌫---||
Ce n osotroit Cilq iuit	-|-⌫-|-----|--|-⌫|--|
etregne par tozles s iecl es	-|----|--|--|--|-⌫----⌫-|
dessi e cl es.	--|--⌫-⌫--⌫-||
