me laisié sporl	-|-------⌫|--||
Damede[x] legarisse quihaut	--------|-|------|--|---|
sietet loncuoitEtlirenge	---|-|---|---|-|-|----|
seloncchouqu	-----|---|-|
il a d r oit	-||-⌫-⌫--|
CLX R obaut ot non li	--|-⌫----|-|--|-|
u ieus que nmainelamescineIl liaescrié	-⌫---|-|-⌫|----|-|------|-|-||------|
C heua uciés	-⌫----⌫-----|
b ele amieOr girés auoec	-⌫--|---|-|-----|----|
mo i pardesousmacortineSi	--⌫|--------|-|------|-|
uou ste n rai .x.ansu.x ii.	---⌫|--⌫-⌫--|--|--||--⌫--|
q uinseSeierepr enc	-⌫----|-|-|----⌫--|
un[e]autreneuos	----|----|-|--|
coureciés mieCar	---------|--|--|
. c.autresibelesena	-⌫-|------|----|-||
iou i ahonies O nquesneDieus	--|-⌫|-----|-⌫----|-|----|
nehons n enfist	-|---||-|---|
iustiche.Quantl en ten tMir abiaus por	--------|----||--⌫---⌫|---⌫-----|--|
po inesraged ire	--⌫||-----||--|
I apuisnemaitDexl ifil[s]sain te Marie	-⌫|---|-||--|--|-⌫|-----|----⌫-|----|
Queu osennulend roit aiés macompaign ie	--|-⌫-|-|--|---⌫---|----|-|--------⌫-|
A hi putiers	-⌫-|------|
m aua isli	-⌫---⌫-|-|
corsDé(x)te maudie	---|-----|-|-----|
Carua a monsig norsi	--|-||--|---⌫--|-|
combatalew iure	-----||-|-⌫---|
IetedonraienFrancheauoir et manandie.	-|-|-----|-|------|----|-|--------|
Etr esp ondiRobausuous	-|-⌫---⌫---|-----|---|
parlésde folie Dame lde[x]me	------|-|----|----⌫-----|-|
confo ngeli	-----⌫--|-|
fieus sainteMari eSeiaia p armoi	----|-----|----⌫|-|-|||-⌫-|--|
seco r[s]neaie	----⌫---|-|--|
CLXIRoba usp ristlapuc elepar	---|----⌫-|-⌫---|-|---⌫--|--|
d e paileTostetisnelement l ileresl e n aresne	-⌫|----|---|-|---------|-⌫|----||-⌫|-----|
le tere hastiuementenha st eUnpoi	-|---|----------|-|--⌫--⌫|-|--|
nosdedui sons ous	--|-----⌫--|-⌫--|
l onbred ecela rbreNenpoé ses caperi teus	|----|-⌫|--|-⌫---||-|----⌫|--⌫----|-⌫---|
cora ges.Quantl entent Mirabi auspor poi d	----⌫---|----||-----|------⌫--|--|--||
iren e srage	--||-⌫----|
Ahitrai tresuieus detraissoitte s	--|----⌫---|----|------|---|--⌫|
linagesM ieux	------|-⌫---|
uauroi[e] estrem ortequatoi	--------|----|-⌫---|-||--|
telcosef aceEleestentles	--|---|-⌫--|--|-----|--|
.ii.p uins	---|-⌫---|
p ar lebarbe le sa cheBien	-⌫-|-|----|-|--⌫--|---|
le bout edeluiet	-|----⌫|-|--|-|
enpoint etresache Par teluertu le	------|-|------|--|--|----|-|
t i requ e.c. piausen	-⌫-⌫-|--⌫|--|----|-|
esr ac he.CLXIIAiols tenoit s on p ie ́ ensel cors	---⌫--⌫--|----|----|-----|-⌫-|-⌫--⌫|--|-|---|
ser pentSiaieh iaDieu	---⌫---|-||---⌫||---|
e tsontalentEts	-⌫|--|-----|-||
estbien faitco nfè ssoefentre sesdens A Dieu	--|---|---|--⌫----⌫|---|----|--|---||---|
gloi re san[s]nulrecelementPuisatraite	----⌫-|-----|--|---------|---||-----|
lespeeli enfes	|----|-|----|
par grant sens Sila m i se entra uers en	--|----|---|-|||-⌫-⌫-|-|---⌫---|-|
lagoule al	-|----|-|
serpen tEnt reluiet laquisse	------⌫|---⌫-|--|-|-|-----|
lienbatitoutens Bien	-|-----|---|--|---|
boutaparuertuetparairementEtres achaalui	----|--|----|-|--|-------|-|---⌫---||--|
etre bouta	-|--⌫----|
forment. Lagorgierelitrencheetle sners pardedens	-------|-|-------|-|------|-|--⌫|---|--|-----|
Co ntre ua liusc	--⌫----⌫--⌫|---|
aterecoula	|---|----|
li branssanglens	-|----|-------|
Tout p ar selonc	---|-⌫-|-----|
ala p orfendantEtliserpe n s mor ut sig ete	--|-⌫--------|-|-|-----⌫-⌫|---⌫-|-|-⌫--|
braitmol t grant. A iol[s]r etra i t sonpiéaluiisnel ement.	----|---⌫|-----|-⌫-----|-⌫----⌫-⌫|--|---||--|-----⌫-----|
CLXIII Or estli	-----|-|--|-|
serpens morsn	------|---||
iotni entde uer t u	|-|--⌫--|-|---⌫-⌫|
Aiols li fi exElie retrait	----|-|--⌫-|---|------|
sonp iéaluiuenusesta l	--|-⌫--||--|----|--|-⌫|
serpentsel	------|--|
trenchap a rle bu.Xu. piés et un [ e]ausne	------|-⌫-⌫|-|-|---|----|-|--⌫-⌫-|----|
lonceste nduPuis re leua	---|----⌫--|---|--⌫---|
sespeen atalentqu il	|----|||-----|-|-|
b rancae ns	-⌫---||-⌫-|
ma inten anten batu Et	--⌫-----⌫--|--⌫---|-|
uait par l euergier	---|--|-⌫|------|
dolantetirasc u[s]Moltf orme nt se	-----|-|-----⌫---|---|-⌫----⌫-|-|
demente li fieusEliealducE	------|-|----|---|-|--||
laschedis tA iol[s]c om	--|--|---⌫|-⌫-----|-⌫-|
malmestauenu Ahigentiexpucele que leskiec	--||--|----|--|------|-----|---⌫|-----|
Aquel tortuousen	|---|---|---|-|
maine l ifel	----|-⌫|--|
uielars quenu[s] Iluoit	------|-------|-|---|
M arch e gaipaistredesous	-⌫----⌫-⌫--|------|-----|
lo n bred unfust	|-⌫-⌫--||-|---|
S Ai ol[s ]en	|--⌫----⌫|-|
eustg ran tioie de mandernelestut Damelde ́en	---|-⌫---⌫|---|--⌫-----|-||----|-------⌫|-|
soi euertu Si re pe redegloireuos	---⌫|----|--⌫-|--⌫-|-|-----|--|
c est ch eu almaués e tsaué etrendu	-⌫--|--⌫--⌫-||----|-⌫|----|-|----|
Ormerendé slesau tres	-|-|------⌫|--|--⌫---|
pa rlauostreuertu.Ilu inta	--⌫|-|-----|-----|-|-⌫--||
Ma rch egaipar l estrier	--⌫---⌫---|--||------|
montasusEt pristen son poingdestre	----|--|-|----|-|--|----|-----|
ler oit espielmolu.	-|-⌫--|-----|----|
CLIuAiol[s]	---|------|
lifie us Eliefumont ésel destr ierOnques	-|---⌫-|---|-|----⌫--|-|-----⌫--|-----|
maisnefuil siioiansne si	---|-|-|-|-|-----|-|-|
liésQueDieusladeliuré del	----|--|----|||-------|--|
auersier.Ilentraensesc los de la da meet	--------|-|----|--|---⌫--|-|-|--⌫-|-|
uielIlnenotmie a lé .ii.	---|-|--|-|--|-⌫--|---|
traisdarb alestrierQuant	----||---⌫--------|----|
[ il] les uitensambl een.i.ualcaploier.Lapuc ele	-⌫--|--|--|-------⌫|-|--|--|--------|-|---⌫--|
lasse ne sep ot plusaidier Quantillot	----|-|-|-⌫-|---|-----|----|-||-|
aba tue po r	---⌫--|--⌫|
lui couc hier	--|----⌫---|
I l ottraite s ses	-⌫|-|------⌫|--|
braies por soncors[a]aisier.	-----|--|--|---|---------|
Lapucelesau anchen eseuautatargier Parentre	-|-----||--⌫----|-⌫|-|---|-------|--|----|
quisses lifait sesmains glachi e r Tant	------|-|---|--|----|------⌫-⌫|---|
sap rochaauantpar	|--⌫----|----|--|
sescollesleti entSiles traitparuert u qu	--|-----|-|--⌫--|-|--|----|--|----⌫|-|
i lnesep ot	-⌫|-|-|-⌫-|
aidier.IIII.foisse pa sma ain s	-----|-----|---|-|--⌫--|---⌫|
quild utredrecier.	-|-|-⌫-|---------|
Quantille ua	----|-|--⌫-|
lates te Aiol uit	-|---⌫-|---|--|
ch euauci erEt dista la	--⌫------⌫-|-|---||-|
puceleBelecar melaissiés	-----|---|--|-|--------|
Ie uouspleuideD ieule per edroiturier Narés	-|---|----|-|-⌫--|-|---⌫|---------||----|
iamais par moi	-----|--|--|
h ontene encomb rier.- Sire	-⌫---|-|------⌫----||---|
distMirabiaus	---|--------|
m er chipo rDieudelciel	-⌫--⌫--|--⌫|---|--|---|
D u nefemekaitiu e	|-⌫-|---|------⌫|
car uosprenge	--|--|-----|
piti éEl (e)laist ale rles ma ins etRob au ses tdreciés	----⌫-|--⌫--|----|---⌫|--|--⌫--|-|---⌫--⌫|--⌫|-------|
S eleueistAiolnel eustma islaissié.Mal	|--|----|---|-||---|--⌫-|--------|--|
aitqua ntil s	--|---⌫-|-||
enfuit de mi do ine pla in	-----|--⌫-|--⌫|-|---⌫-|
set bien que fuirneliaroit	--|---|--|---|-|-|----|
m estier Mai s	-⌫-----|---⌫|
uers Aiol sedreche toutu nantieu s en tier.	---|---|-|-----|---|-⌫|-----|-⌫--⌫----|
Aiols pointMa rchegaidesesper ons	----|----|--⌫------|--|-----⌫--|
dormierEtabrandiel	|-|---|-||------||
a nstedelroit trancha ntespieluait ferir	-⌫---|--|---|-------⌫-|-----|---|----|
espl oitiéQue	----⌫-----|--|
son colliaf raint etperchi éEt	--|--|-||-⌫----|-|------⌫-|-|
l aub ercde sondos	|---⌫--|-|--|--|
d esro utetdesmailliéPar mioutrele	-⌫----⌫-|-|----------|--|-|----|-|
cors l ifistp asser l	---|-⌫|---|-⌫----||
achier To uteplaines a lanchel abat	-----|--⌫--|-----|-⌫|-----||---|
mort e lsen ti er	---|-⌫|---⌫--⌫-|
Puis a traitelespeesi	---||-----||----|-|
litrenche le	-|------|-|
cie fSilepen tolesautresdesor	---⌫|-|-|---⌫||--|-----|----|
.i. des destriers.	--|--|---------|
Quantl euoitM irabiausse n ot	----|-⌫|---|-⌫-------||-⌫|-|
ceurl ié.	---|-⌫---|
Lapuc elefu liequantuit	-|---⌫--|-|--|----|--|
le b achele rPorchouqueilestoit	-|-⌫------⌫|------|--|-|-----|
de lserpentde liurés.Eles enuint	--⌫|------|--⌫-------|--||-|---|
a luis i la	|--|-⌫|||
Dit esde lserpent sirecomestesdeliurés-Bele	---⌫-|--⌫|------|---|--|----|--------||---|
dist Aiol[s]morsestla	---|------|---|--|-|
merchiDéOrre tornons arier eie	-----|--|-|--⌫------|-----⌫|-|
le uosuoi lmou strer.Arieres enrepairenttout	-|--|---⌫|---⌫-----|-----||-|--------|---|
feré u ir entleserpe ntmortochiset afolé	----|-⌫--⌫--|-|-----⌫-|---|----|-|-----|
d e sou seusensont	-⌫-⌫---⌫|--|-|---|
espauenté Cilquid euantaloients o n tue rs	---------|--|--|-⌫----|------|-⌫-⌫-⌫|--⌫-|
Francetor ne ́.CL Xu IDes ors en uaAiol[s]	-----|---⌫--⌫-|--⌫--⌫|--|-||-|-|------|
sen main e	|-|----⌫|
la puceleDesorles.uii.cheuausot torsees	-|-----|----|--|----|------|-|------|
l estes tes	-⌫-|---⌫--|
Ce les asSarras in ssonten cois treset laidesMaiscelea l	--⌫--|-|------⌫--⌫|---|--⌫----⌫---|-|-----|---|---|-⌫|
cr esti enfu toute laplu sbele.	--⌫----⌫-|-|----|-|---⌫|----|
forsdel bosu ienent aplai ne tereuirentet	---|--|--|-⌫-----||----⌫-|---|-----|-|
bou rset uil esetchast ieus etrepaires.Nefinerentd	---⌫-|-|---⌫-|-|-----⌫---|-|--------|-|-------||
s iuie nent	-⌫|---⌫---|
a M ong rail e.LichastelainsGe raumescelenuit les	|-⌫---⌫----⌫-|-|----------|--⌫-----|---|---|--|
herbergeCile s toitni ésElielegent il	-------|--|-⌫-⌫---|--⌫--|---|-|----⌫-|
duch o neste Li	--|-⌫-⌫----|-|
unsneconnutlautrep uisendutgran t m au s	--|-|-----||----|-⌫--|-|--|----⌫|-⌫--⌫|
maistre ssenescau sdelamaisonapele Queré s	-------⌫|--------⌫|-|-|-----|----|------⌫|
grues et gantes	----|-|-----|
etuinisonnoueleCar iouai h erbe rgie ́che cheualier	-|------|-----|--|--|-|-⌫----⌫----⌫|--|--------|
amistéd e luie ssaucheron	------|-⌫|--|-⌫---------|
la fes te.Anuiterentomoi	-|---⌫--|----|----||--|
miborgoisdeMongr aile.	-|------|-|-----⌫----|
-Sireche dist Aiolspar	|---|--|---|----|--|
preudom(e )estesBien seraesl igiéainsquissede	---------⌫|----|---|---|---⌫----|---|-|---|-|
-Sirech e di stliostes	|---|--⌫|--⌫-|-|----|
nepl ace alroicel estr e	-|--⌫--|-|--|---⌫----⌫|
A lglorieusdel cie lqui lesieclegouerne	-⌫|-------|--|---⌫|--|-|-----|------|
Nous enaions	---|-|----|
d eluostr euaillantune	-⌫-|-----⌫|-------|--|
ceneleOnquesnelfistmesp eresne	-----|-----|--|---|--|-⌫---|-|
lefis tme s ancestresSilherber gafrancho me	-|---⌫|--⌫|--------||-|------⌫-|----|--⌫-|
ne c heuali er	-|-⌫------⌫-|
hone ste Q uela nuitli	----⌫--|-⌫-|-|---|-|
uen d ist neostel	---⌫-⌫--|-|----|
neherberge	-|-------|
N endroitmois eD é(x)plaist	|-|----|--|-⌫|-⌫----|-----|
nenpi r[er]a	|----⌫-----|
.III. f ieus ai de mollieran oituoil qu iluo s	----|-⌫---|-|-|------|--⌫--|---|-|-|--⌫|
seruent.Li	-------|-|
quarsestcheualiers	----|--|---------|
si osteiales selesE tforbistet	-|---|-|--|----|-⌫|------|-|
estrilleet a boiu reetaais se.Mol ts ont preuetco rtois	-------|-|-⌫----⌫-|-|----⌫--|---⌫|-⌫--|---|-|--⌫----|
.iiii.filGeram e Il uien[en]t	-----|--|-----⌫|-|--------|
aAiolcortoisementle	|---|-----------|-|
seruentSese sperons l iostentets es	------|--|-⌫------|-⌫|-----|-|-⌫-|
heus esli traient	----⌫-|-|------|
Etrolle nt	-|-----⌫-|
son aubercet forbis ent sonelmeSi rechedi s t	--|-----|-|------⌫--|--|---|--⌫-|--|--⌫-⌫|
Aio l s parmon cief prodomes tesQuesigentilmaisnie	---⌫-⌫|--|--|---|-----|--⌫--|--|-|-----|------|
aués et si onesteChi uoite us bachel ers	----|-|-|-----|--|--|--⌫-|------⌫--|
cheualierpeuent	--------|-----|
e stre.-Sireche distliostes il sont	-⌫----||---|--|---|-|----|-|---|
bien del ageste	---|-|-⌫|----|
parensElie n	-----|---||
ami l lo rducen tereAinsmie udres	|--⌫-⌫--⌫|--|-|---|---|---⌫----|
cheualier[ s]n epotmontere nsele Mais mellé[s ] fual	----------⌫-|-⌫|--|-----|-⌫|---|---|--------⌫|-|-|
qu ilesFrançoiscaielePar maluaisconse llier lescachade	--⌫|--|--------|-----|--|------|-----⌫----||------|-|
P arle co nsel	-⌫-|-|--⌫---|
Makaire cuiDieusotroit molesteUn	------|--|----|-----|------|-|
maluaislosengier.i.glouton	------|--------|--|------|
deput aire Morirl	-|--|---|----||
seie nauoieaiseFuiss enes tli	-||-⌫|----|---|---||-|--⌫|-|
enestrainge	-|--------|
tereSelsauoi eutrouerencor(e)l iroie querre .-	---|--|-----⌫||-----|-------||----|------⌫||
Sire che di st Aiol s	---|--|--⌫-|----⌫|
parlesiexdema	--|--|--|-|-|
teste Trestou t ui s	----|-------⌫|--⌫|
es t lidusbiensai uilreceteR acord és	--⌫|-|--|---|--||-|-----|-⌫-----⌫--|
est alroietsi	--|-|--|-|-|
rarasatere.-HéDi eus	---|-|----||--|--⌫--|
c he distli ostes	-⌫-|---|-|----|
sichepoo it	-|--|---⌫-|
uoirs estre .C.marsdorendon roiep orl	----|----|--|---||-|-|---⌫---|-⌫-||
ac ordance	--⌫------|
faire.Teli oieotpor	-----|--|-⌫--|-|--|
leducdontiloinoueleQu	-|--|---|-|-|-----|-|
aporter fa it	------|--⌫-|
s e sarmessonauberce tson	-⌫-⌫|----|--|-----|-⌫|--|
tranc hantet les c udeBiterme Uqueil	-----⌫---|-||--⌫-⌫|-|------||--|-|
uoitAiol belementl	---|---|-------||
e napele Sir euesch ité s	-⌫|----|---⌫|-----⌫|---⌫|
armesil n a millorsentere	----|-|||------|-|---|
Encor(e)nesuie miene tantuieusne	-------|-|-|-|--|-|---|----|-|
tantfrail lesQ ue il	---|-----⌫--|-⌫-|-|
ait cheualier enfressi aBordeleSe iel	--|--------|-------||------|-|--|
fierc aband onen le	----||----⌫-|-|-|
targenoueleSe	----|-----|-|
malanchenebrisequen e uidelasele .	-|-----|-|----|--|-⌫|---|-|----⌫|
Ad ontsot bienAiolsquil esto i tde s ageste	--⌫--|--|---|----|-|-|----⌫-⌫|-|-⌫|----|
distAiol s	---|----⌫|
sel euolié sf aireCe suosfieus	-|-⌫|------⌫|-⌫---|--⌫|--|----|
auoecmoienma	----|--|-|-|
t e rrePl usdonroie acascunquiln	-⌫-⌫--|--⌫-|------||-----|-|-||
aMongraile	|--------|
Ces.uii. ceuaus dEspaing e	--|----|-----||-------⌫|
lor doin getou t	--|---|-|---⌫|
a certesuolent iersetd e	-⌫-----|------⌫---|-|-⌫|
grémaisieuo ilqu ilm e	---|---|-|--⌫-|-|-|-⌫|
seruent. -	-------||
Sire chedistli ost esne	---|--|---|-|---⌫-|-|
plachealroi	-----|-|--|
celestr e Alglorieus	-------⌫|-|-------|
del ci elquilesie cle gouerne	--|--⌫-|--|-|---⌫--|------|
a ionsdeluo s treuaillantun ecenele	-⌫---|--|--⌫-⌫--|-------|--⌫|-----|
Armes lor ferai	----|--|----|
querremol tauenanset belesSa t endrai Pe ntecoust ela	-----|---⌫|------|-|----||-⌫-⌫-----|--⌫--------⌫|-|
glorieus efestePu islesadouberai en	--------⌫|----|--⌫-|--|--------|-|
monpalaisancestre	--|-----|-------|
S esuerontmesm aisnie[s]etm e s	-⌫-|-----|--|-⌫--------|-|-⌫-⌫|
compaingesbelesS	---------|----||
e nserontplu s haitiéque	-⌫|-----|---⌫|------|--|
par e strange[s]teres Etuo[s ]	--|-⌫---------|----|-|----⌫|
prenderéssireenFran ce uo repaire. Se	---------|---|-|----⌫-|-|-------|-|
uosaue ́sbesoinqu e	--|---⌫-|-----|--⌫|
iluo ssorgegu erre	-|--⌫|----|--⌫---|
Nousuosirons	---|--|----|
s ecoureaquanqu eporons faire.Quantl	-⌫-----||------⌫|-----|-----|----||
entendiAiols liésfudelanoueleTousl i	------|----|----|-|-|-|-----|---|-⌫|
ceur sen son	----⌫|-|--|
uen trelisautet esioiel e .	---⌫--|-|---|-|-------⌫-⌫|
CLXuIICh e le	-----|--⌫-⌫-|
nuitg utAiolsa	---|-⌫-|----||
Mongr aill e l aui le Licas telains Gerelme[s ]	-----⌫----⌫|-⌫|--⌫-|-|---⌫------|---------⌫|
quifu proset	--|-|---|-|
nobile[s]Porlui fistconreerun man gier	--------|--|--|---|------|-|---⌫---|
quifuri che [s ].	--|-|--⌫---⌫--⌫-|
Ains niotcheualiernebo rgoisne	---|||-|--------|-|--⌫----|-|
mescineQuin a it oeus	------|--||-⌫-||--|
mangie tt ouslessemontetprieA	------⌫|-⌫--|--|-----|-|---||
merue lle sesg ar dent Mirabel	-----⌫---⌫|---⌫--⌫---|------|
lamescine Les damesdeMongraille li com mencen ta dire	-|------|--|----|-|---------|-|---⌫------⌫||---|
Por Dieu Biausdous	--|---|----|---|
Ai olsgardéscestemescineAincen	--⌫--|------|----|------|---|-|
u iu ant plusbelene	-⌫--⌫--|---|---|-|
ueis me s.-Par monci efdist	----⌫--⌫-||--|--|--⌫-|---|
Aiolsienelifaurai mie	----|-|-|-|-----|--|
Iele con quisl autrier	-|-|---⌫---||------|
cheualerieAuoec moile menraienF r ance le	---------|----|--|-|-----|-|-⌫-⌫---|-|
seraen sa ins fo nsleueeetbaptis ieS i	---|-|--⌫--|--⌫-|----|-|------⌫-|-⌫|
lep rendraiafeme	-|-⌫------||---|
seDe xme doneuie. Et respont	-|--⌫|-|---|---|-|------|
lapucel e. u.c.	-|-----⌫|-⌫---|
b iau ssir e.Celen u i t	-⌫---⌫|---⌫-|---|-⌫-⌫-⌫|
seiornerenta g rantioieplentie	----------||-⌫---|---|------|
Sisefissen t	-|-|------⌫|
moltgrants ignorie	---|----|-⌫------|
D ess ia l	-⌫---⌫|||
endemain quelau bees t	-------|--||--⌫-|--⌫|
e scla ir ie. Li	-⌫----⌫--⌫--|-|
.iiii.filGerelmel i	-----|--|------|-⌫|
ontsas elemiseSor	--|-|-⌫--|---|--|
s onceuald Espaignem oltuolenti er sle	-⌫-|----||-------|-⌫--|-------⌫--⌫|-|
sisentEt li chastelains	-----|-|-|----------|
conuoieilmeismes	------|-|------|
uol entier[s]etde	---⌫--------|-|-|
g ré unelieweforni eBoinemen tlesbaisa	-⌫--|--|----|-----⌫|--------⌫|--|----|
quant ilsend epartire ntSes	----|-||-|-⌫--------⌫-|--|
commandaaDé lefilsainte	-------||--|-|--|-----|
M arie . Male nest engingiésli	-⌫----⌫|--|-⌫|--|---------|-|
cheualier[s]nobilesSes	-----------|------|--|
cousinsgermainsest	------|-------|--|
mesilne lsauoit m ieIaançoi snen er t	--|-|--⌫|-----|-⌫-|-|------⌫|--|--⌫|
uespresnela nuit acomplie Aura pao rdemort et	------|-|-|---|-------|---|---⌫|-|---|-|
tel besoing	--|------|
d aieA incmaisn	|--|-⌫--|---||
enot siaspreanuliordesauie.	-|-|-|----||--|--|-|-|---|
CLXuIIIDesor sen	------|--|-||-|
uaAi olssiapri s	-|--⌫--|-||---⌫|
le congi é Sen	-|-----⌫-||-|
