mes siresainza nthoinesfu	--|---|----|-⌫-------|-|
folhomed e si loingquis ages	--|---|-⌫|-|----|--|-⌫---|
estesetporq uo iuos	----|-|--|-⌫--⌫|--|
e st esuos trauailli élidui	-⌫--⌫-|--|---------⌫-|-|--|
philos o pheres po ndirent qui l n	------⌫-⌫--|---⌫--⌫------|-|-⌫||
miefolsmes m ultsagessainz	--|---|--|-⌫--|----|----|
anth oineslordistseuos	----⌫----|--|---|-|--|
estes uenuz aun foldont	----|----||-|--|---|
auezuos pe rdu u ostre uoie	---|--|--⌫--|-⌫----|---|
etuostretrauail etuostre pain e e t	-|-----|------|-|-----|----⌫|-⌫|
uos c uidiezqu eiesoie	--|-⌫-----|--⌫|-|---|
sagesen si uez c equeuos	----|--⌫--⌫--|-⌫|--|--|
pro uez quar bone chose est	---⌫--|---|---|----|--|
desap ienceauoiretle sb ones choses	-|---⌫----|----|-|--⌫|-⌫---|-----|
doitlon ensiuir se	---|--|------|-|
uen usau osie	---⌫-||-⌫-|-|
uos ensiuissemes	--|--------|--|
por cequeuoses tes	--|-|--|--|--⌫--|
uenuz amoiausicomme asage	----||--|---|----||---|
soiezcrestien ausi	----|-------|---|
dontaurezuossapie nc e li	---|----|--|-----⌫--⌫|-|
phi losop hese departirent	---⌫-----⌫-|-|----------|
de lsa inthomesanzplus fairee t mu lts	--⌫|--⌫--|---|---|---|----|-⌫|--⌫-||
emeruilleren tdogra nt	------------⌫|-|---⌫-|
senqu iesten luietdeses	--|--⌫|--|-|--|-|-|--|
apr esce i	---⌫-|-||
re uindrentautr escliers	--⌫-------|----⌫-|-----|
pai e nsmultsages	---⌫-⌫-|---|----|
qui louoloient decoiurepar parole	--|-|-------|-------|--|-----|
por ceq ueli sainzh om	--|-|-⌫-|-|----|-⌫-|
n sauoitnule letrequant il	|-----|---|----|----|-|
fure ntaluiuenu ilsot lor	----⌫-||--|---|-|--|--|
si lordist respondez moi	-|--|---|--------|--|
se ignoret simedites	--⌫----|-|-|-|----|
est primie rs ou	--|------⌫-|-|
sensoulet recil	---|-|---⌫-|--|
respondirentquelisens	-----------|--|-|---|
primierse t	-------|-⌫|
illord em e nd a	-|--|-⌫--⌫-⌫--⌫|
encorese ses	-----|-|--|
letre s n aissent del	-----⌫|-⌫------|--|
sens oulisensnaist	---|-|-|---|----|
desle tres e tsainzant hoines lordist	--|--⌫---|-⌫|----|---⌫-----|--|---|
dont sachiez	---|------|
bienquecilquibon	---|--|--|--|--|
demandemieletresasauoir	------|--|-----||-----|
neaen tendrepuisquenostre	-||--⌫-----|------|-----|
a d o nee bone	|-⌫-⌫--|---|
sapienc etui t ci lqui la	-------⌫|---⌫|--⌫|--|-|
estoient se merueillie re n t	-------|-|----------⌫--⌫-⌫|
quant il oi re n t ceque	----|-|--⌫--⌫-⌫|-|--|
homeparlasi u oisosement	---|----|-|-⌫---------|
qu ilner tmielet re zbien	-|-||--⌫|--|---⌫--⌫|---|
et entendez quancor	-|-------|-|----|
norrizesmontainesetesdeserz	-----|-|--------|-|-|-----|
et eustdemene ́totsona age por	-|---|------⌫|--|--|-⌫--|--|
cen es to itilm ieuilains	-||--⌫--⌫-|-|-⌫-|------|
nerudesagenzqu i a lui	-|----||---|--⌫||--|
parloient ainzestoit h ai tiez	--------|---|-----|-⌫--⌫---|
et biens auoitparleret repond rea	-|---|-⌫----|-----|-|------⌫-||
ceusqui laparloien t	---|--||---------⌫|
etsibellementdisoi t laparole	-|-|--------|-----⌫|-|-----|
nos treseignorselo nl	---⌫--|------|----⌫||
apostr equilaq ueroitl	------⌫|-|-|--⌫-----||
amorde toz	---|-|--|
ceus quiloo ientet	---|--||--⌫---|-|
neauoient nu l ee n uie	-|------|--⌫-⌫|-⌫-⌫--|
puisreuint autreclier cpaiensage	---|-----|----|-----⌫|----|---|
etdotrinédephilosophie	-|-------|-|----------|
etpuis liademandéde la	-|---|-||-------|-|-|
no strese ignor etde la croi z	--⌫---|--⌫----|-|-|-|----⌫|
e ncuili s a uu erre srecutmort por	-⌫|--|-|-⌫-⌫--⌫----⌫|----|---|--|
cequillecuidoit	-|-|-|-|------|
etsoprendrepartelsquestions etpar	-|--------|--|---|--------|-|--|
telsdemandes m esli sainz hom	---|-------|-⌫-|-|----|--|
quiestoit enbeuzdela	--|-----|-----|-|-|
dot rinedel	---⌫---|--|
sainte speriz	----|-⌫-----|
lor resp ondi	--|----⌫---|
et dem ostratote sceschosesporq ue	-|---⌫----|----⌫|--|-----|--|-⌫-|
lephilosophelo cuid a	-|---------|-|----⌫|
decoiuresi bien etsiclerementet	-------|-|---|-|-|--------|-|
e mparliermeesmement qua ril	-⌫-------|---------|---⌫|-|
nuleletres qu eli	---|-----|--⌫|-|
philoso phe enfutoz confus	-------⌫--|-|-|--|-----|
nene so t enco ntre qedire e tlor	-|-|--⌫|----⌫---|-|---|-⌫|--|
most rat otplainement	----⌫-|-⌫-|---------|
quec equeli li ure	--|-⌫|--|-|--⌫--|
de sc restiens	--⌫|-⌫-------|
disoient deuoitenc roire	-------|-----|-|-⌫----|
et de lasainte c roi zquar l esoures	-|-|-|-----|-⌫---⌫|---|-⌫-|----|
etlesmiraclesen	-|--|-------|-|
estoienttotesapertes sicom	-------|----|------|-|--|
ilmeism esueoirlopooient	-|-----⌫-|----|-|------|
etelno nnostre seignoriesuscristet	-|-|--⌫|-----|------|----|----|-|
ausignedelasaintecroiz	-|----|-|-|-----|----|
estoientli maladegarietsaniz	-------|-|-----|---|-|----|
delorenfermetezet l ideable	-|--|---------|-|-⌫|-----|
chacié d e lorcors ouil	------|-⌫|--|---|-|-|
esto ien t quantillor	----⌫---⌫|----|-|--|
etdit sil ordis oit	-|--|-|-⌫-|---⌫--|
quiltenoie ntnetes temo ignoit	-|-|------⌫-|-|---⌫----⌫-----|
miechoseque il peussent	--|----|--|-|-------|
mos trer a	---⌫---||
ueraie quarlor de qu il	-----|---|--|-|-|-|
aoren t dontlorliure	-----⌫|---|--|----|
paroloientiupi t e r mercur ius	---------|----⌫-⌫-⌫|------⌫--|
et uolcansauoie nteste ́lecheo r	-|------|-----⌫-|----⌫|------⌫|
maluai shommes nenau oien t	------⌫|-----|-||--⌫----⌫|
puissance ne	--------|-|
uertuen els eta uect ot	----|-|--|-|-⌫--|-⌫-|
cea oroient illo so le l	-|-⌫------|-|-|--⌫--⌫|
luneetauoienty magesfaites	---|-|------|-⌫----|-----|
enguisede serpenzet	-|----|-|------|-|
bestes enquil auoient	-----|-|-|-|------|
fianc e et qu	-----⌫|-|-|
il seruoientet	-|--------|-|
desquatree lemenzqu il	--|-----|-⌫-----|-|-|
aoroiente ncorlair et lofeu	-------|-⌫---||--|-|-|--|
terreetlouentet c eertg r ant	----|-|-|---|-|-⌫|--|-⌫-⌫--|
folie d aorerla	----||----|-|
criature et	-------|-|
degiter loc riatortotes	------|-|-⌫-----|----|
choses lor prouoit	-----|--|------|
sa inz antho in esp ar siuiues r a isons	--⌫--|-----⌫--⌫-|-⌫-|-|----|-⌫-⌫----|
que li philosophe sen	--|-|----------⌫|-|
erent tuitconfusnene	----|---|-----|-|-|
sauoientquerespon drequantceste	-------|--|------⌫--|----|----|
despu tis onsotentreeus longuement	-----⌫---⌫--|-|----|--|---------|
duré l iphilosophe	----|-⌫|---------|
departirentdesainz a nthoineet	----------|-|----|-⌫------|-|
multle loerentetbie n	---|-|------|-|---⌫|
teste moig n ierent quagrant	-----⌫----⌫-⌫-----|-||----|
lorestoitto rné c eq ueueu	--|-----|--⌫---|-⌫|-⌫-|--|
auoientencorpuetsem bl er	------|----|---|---⌫--⌫-|
me ruoillecequ en	--⌫------|-|-|-|
celte ns auint	--|--⌫-|----|
dosaint homequ aril estoit	-|----|---|--⌫-|-|-----|
darraien esp art ies del	--------⌫-|-⌫---⌫--|--|
si co muos auezoi et abitoit	-|--⌫|--|---|-|-|------|
la grant desertineet si	-|----|--------|-|-|
l e nmo i entetennor oien tliha ut	|-⌫---⌫-⌫--|-|-----⌫----⌫|-|--⌫-|
pr inceetliroi	--⌫---|-|-|--|
et licompte	-|-|-----|
des lointaines contreesquarcostentins	--|---------|-------|---|---------|
liemper ere	-|-----⌫--|
co stanzetcons tanciens quide lui	--⌫----|-|----⌫-------|--|-|--|
a uoientoipa rleret dessaintes	-⌫-----|-|--⌫---|-|--|------|
lienuo ien t multsouen tlo r letres	-|----⌫---⌫|---|-----⌫|--⌫|-----|
et l i mandoient	-|-⌫|--------|
e tproioi ent	-⌫|------⌫--|
sicomlo r pere	-|--|--⌫|---|
q u illo rrenuoias t	-⌫|-|--⌫|--------⌫|
esc rist porqu ilseusentcomment	---⌫---|--|-|-|------|------|
illiestoitsi sen	-|-|-----|-||-|
resio iroient	-----⌫------|
quantil au enoi tqueletresdes	----|-|--⌫----⌫|--|-----|--|
empereorsuenoientalui en tel	--------|-------||--|-|--|
enorg uelissoitpasne nes	-----⌫--------|--|-||-|
uoloit prendreiuques	-----|------|-----|
ilauoitape léses fre res	-|----|---⌫--|--|---⌫--|
lordis oit	--|---⌫--|
l iempereor ont	-⌫|-------|--|
auos enuo ies lor	|--|----⌫--|--|
let resetpor quoi	---⌫--|-|--|---|
ilcefaitqu onta fa ire	-|-|---|-|--||--⌫--|
letre sd em pe reo r sbiau seignor	-----⌫||--⌫--⌫---⌫-⌫|---|------|
porquoi receuroieie	--|---|--------|-|
lorletr esi e	--|----⌫-|-⌫|
nelo r sauroie re ndre lorsalu	-|--⌫|------|--⌫---|--|---|
s ic om i ll on tacost ume	-⌫|-⌫-|-⌫||--⌫||----⌫--|
letresnonporquantli	-----|----------|-|
proioien t	--------⌫|
sifrere quillesreceuoitet	-|----|-|-|--|-------|-|
apressilidisoie nt	----|-|-|------⌫-|
empereors quicrestienesto i en t	--------|--|-------|----⌫-⌫--⌫|
renu oiast letres p a rquoi i lles	----⌫----|-----|-⌫-⌫|---|-⌫|--|
confortastetdont ileusentgrant	---------|-|---|-|-----|----|
ilne c uidassent	-|-|-⌫--------|
fust paror guel quil ne	---|--|--⌫---|-|-|-|
uosistaeusrenuoier les	-----||--|-------|--|
dontrescr iso itsenz	---|-----⌫---⌫-|---|
anthoinesas	--------|-|
emper eorse nceste men iere	-----⌫---|-⌫|----|---⌫---|
il le s looit decequ	-|--⌫|----|-|-|-|
seignoraoroientetcreo ient	------|-------|-|----⌫---|
ets iauoites crit es letresqu	-|-⌫|----|--⌫---|-|-----|-|
ne senorgueliss ent	-||-----------⌫--|
por la roial poeste qu ilt enoien t	--|-|----|-----|-|-|-⌫------⌫|
quilquidassent	-|-|---------|
quilnefussen t miehomeet	-|-|-|------⌫|--|---|-|
enobli assentlorcriator	-|----⌫-----|--|------|
quepars apoeste les iugero itde	--|--|-⌫|-----|--|------⌫-|-|
so rcui ilestoient	--⌫|--|-|-------|
et puislor amonestali	-|---|--|-------|-|
sa inz hom	--⌫--|--|
quileus sen tmis ericorde	-|-|---⌫---⌫|---⌫-------|
a cel squi	|---⌫|--|
des ozeu sestoie nt et	---⌫-|--⌫|------⌫-|-|
lorsoueni st des p oures	--|------⌫-|--|-⌫----|
teus menieresde	---|-------|-|
letres enuoi oit	-----|-----⌫--|
sain z an t hoin esasempereors	----⌫|--⌫-⌫----⌫-|-|--------|
etausa utr eprincesetil	-|--|-⌫---⌫|------|-|-|
esle escoientmultet	----⌫-------|---|-|
esioissoient	-----------|
de cequ ilerent	-|-|-|-|----|
apelési fil	-----|-|--|
a pr escequelisainz homotl es	-⌫--⌫-|-|--|-|----|--|-|-⌫-|
cliers paiensfaiz confus	-----|-----|---|-----|
comieuosaidita rri er e	--|-|--|-|--|-⌫---⌫--⌫|
empereors etprin cesamon estez	--------|-|----⌫--|----⌫----|
d ebie nfai re et sesfreres con fort ez	-⌫|---⌫|---⌫-|-|--|-----|---⌫----⌫-|
p arsa intesparoles	-⌫-|--⌫----|------|
sis epartid el l euouil estoi t	-|-⌫|----|-⌫-|-⌫-|-|-|-----⌫|
ar estezqu a nt ilert	--⌫----|--⌫-⌫-|-|--|
uenuzn ouelementd	----|-⌫--------||
al ixandrece	--⌫------|-|
entree deldese rt si	-----|--|----⌫-|-|
alaalamontaignequiestoi ten	--||-|--------|--|-----⌫|-|
laplusparfon de	-|---|------⌫-|
desertineou	--------|-|
auoitabité premi erementla	----|-----|-----⌫------|-|
are stail etsauoi tilpar	---⌫--|-|-|-----⌫|-|--|
seig norplusors chosesquifaites	----⌫--|------|-----|--|-----|
estoientenegipteet	-------|-|-----|-|
plu sor senraconteseraphio n	---⌫---⌫|-|------|--------⌫|
euesque quil auintalui	------|--|-⌫|---||--|
auecautresfreresquarlisainzhom	---|-----|-----|---|-|----|--|
e rt unquesens i	-⌫-|-----|-|-⌫|
desertqueprodomes moine set	-----|--|-------|-----⌫|-|
hermites neuenissent a lu ipor	-------|-|--------||--⌫|--|
oi r et por e ntendreses sa intes paro les	--⌫|-|--|-⌫------|--|--⌫----|----⌫--|
etsad ottrine	-|-|-⌫------|
en ce lt e nsadon tq uesainz	-|--⌫|-⌫-⌫-|----⌫--⌫-|----|
esto itrepairiezeld esert	----⌫-|--------|-|-⌫----|
sicom ie uosai dit auint	-|--|-|--|-|--|----|
q uilseoitentre sesfr eres	-⌫|-|----|----|--|--⌫---|
quilaestoient ue nupor	--|-|-------|--⌫-|--|
uiseter etillore n signotles oures	------|-|-|--|-⌫-⌫-----|--|----|
desalu afaire quesai nzanthoine	-|---||----|--|---⌫-|-------|
regardauers lo cielmult	------|---|-|---|---|
entent iuement	------⌫------|
etq uantilotunepiece regardé	-|-⌫---|-|-|--|----|-------|
c o mmencamult d uremen ta	-⌫-⌫-----|---|-⌫------⌫||
et porlado lorqu ila uoi t aucuer	-|--|-|--⌫--|-|-|-⌫---⌫|-|---|
fr emi e ttremblamaintenant	--⌫--|-⌫|------|---------|
secochaa terreenoroisons	-|----||----|-|-------|
nostr es eignoret li proia	-----⌫|-⌫-----|-|-|----|
que parsad ocoret	--|--|-|-⌫---|-|
mi sericorde	--⌫--------|
p laisoittrest or nast	-⌫------|-----⌫--⌫---|
cest maletcel efelon ie quiestoit	---|--|-|---⌫|-----⌫-|--|-----|
aauen ir ausiecle	|----⌫-|-|-----|
cilqui e ntorlui	--|--|-⌫---|--|
ore ntgrantpeor porc equilli	---⌫-|----|---|--|-⌫|-|-|-|
ueoi entsigrant dolo rdemeneret	----⌫--|-|----|----⌫|------|-|
faire et liproierent quil	----|-|-|--------|-|-|
lordeis t la	--|----⌫|-|
uisio n d ont cestegrant	-----⌫|-⌫--|----|----|
tr ist ec eliueno itapainepot	--⌫---⌫--⌫|-|----⌫-||----|--|
ilrespondre en grant	-|--------|-|----|
piecepor l es	----|--|-⌫-|
lermesetpor lagrant dolor qui	-----|-|--|-|----|----|--|
la pa r ole lienconbr oitme s	-|--⌫-⌫--|-|-------⌫--|--⌫|
ne por qua ntlord is tilalap arfin	--⌫---⌫---⌫-|--|-⌫--⌫|-||-|-⌫----|
gran z persecu cionsestaaueniren	----⌫|-------⌫----|--||-----|-|
c estsieclesorsainte	-⌫--|-----|--|-----|
igl iseetce	---⌫--|-|-|
saiie bien	--|-|---|
certa inemen tqueieena iueuela	-----⌫------⌫|--|-|-|-⌫|---|-|
uisionetcee s t	-----|-|-|-⌫-⌫|
loco isonspor	|---⌫----|--|
quoiiedemaing	---|-|------|
que uos ueez	--|--|---|
ai nsi lor dist li sainz hom	--⌫--|--|---|-|----|--|
en siui biencequil a uoit	--⌫---|---|-|-|-|-⌫---|
di tquarauchief de	--⌫|---|-|----|-|
deu s anzapres	---⌫|--|----|
uinrentm aluaishomes	------|-⌫-----|----|
arri us ets icompaignon qui lal oi	----⌫-|-|-⌫|---------|--|-|-⌫-|
nostre seignorcuiderent	-----|------|--------|
parlorf aus e te zetpa rlorme nco nges	--|--|-⌫---⌫-⌫--⌫|-|--⌫|--|--⌫---⌫---|
trestorneret a batre	---------|-|-⌫----|
etmultagreueren tsainte e gliseet	-|---|---------⌫|-----|-⌫----|-|
lespro dom esquia doncestoi en t	--|---⌫---⌫-|--|-⌫---|-----⌫--⌫|
grie schose	----⌫|----|
raco nte r le s	----⌫---⌫|--⌫|
maus quile t li paien	---|-|-|-⌫|-|----|
quien sembl el uiestoient a torné	--|--⌫-----⌫|-⌫-|-------|-⌫-----|
f ai soienta cr est iensquar	-⌫--⌫-----||--⌫---⌫---|---|
t ozlesdes t ruiserentalor pooirs	-⌫-|--|---⌫-⌫--------||--|-----|
etocioient un que sl a	-|-------|--⌫---⌫|-⌫|
uisionquesainzant hoinesen	-----|--|----|---⌫-----|-|
n enfu fause emaisla	|-|-|-----⌫|---|-|
tristeceq uelisain z	-------|-⌫-|-|----⌫|
homauoitpor	--|----|--|
c estechosequeie uosai	-⌫---|----|--|-|--|-|
conteereconfo rtail	-----|-------⌫--|-|
en m eisme	-|-⌫----|
oreasesfre res etsidist	--||--|---⌫--|-|-|---|
mifilneuos	-|--|-|--|
des truiezmie	---⌫-----|--|
plor antp orcestechose	----⌫--|-⌫-|----|----|
a au en irsiconielauosaidi te	|--⌫--⌫-|-|--|-|-|--|-|--⌫-|
quarnostrese ignore s t	---|-----|--⌫----|-⌫-⌫|
cor reciezacels	---⌫-----||---|
quisontsien	--|---|-|-|
raura ilmerciet rendra tot	----|-|----|-|-----|--|
son aornement a	--|--------||
sainteigliseetsi	-----|-----|-|-|
uerrezresplendir d e	-----|---------|-⌫|
grantclarte	----|-----|
cels quilalo inostre	---|--|-|--⌫|-----|
seignorgarderont	------|--------|
celepersecutionslimaluaisho me	---|-----------|-|------|--⌫-|
tresirontetlorpuissance	--------|-|--|--------|
anienter aet loisnostreseignoret	--------⌫|-|---|-----|------|-|
sa relig ionssera plus	-|-----⌫---|---|---|
loingquele	----|-|--|
nesoit ores	-|---|---|
es saucieetcreue mesbien uos	--⌫-----|-|----|--|---|--|
gardezmib e lfrer e queuostr e	-----|-|-⌫-⌫|----⌫|--|-----⌫|
ueraie fo iz et	-----|--⌫-|-|
crea ncesnesoientmer goilies	----⌫---|-|-----|---⌫------|
ardu r ede s arrie ns ce	----⌫-⌫|--⌫|-----⌫-|-|
es tdesmescreanz	--⌫|--|--------|
puiss an ceertconf ondue	-----⌫--⌫-|--|----⌫----|
quarcelledo ttrineq ui auant	---|----|--⌫-----|-⌫||----|
metrontnertmiedes apostre s	------||--|--|--|-------⌫|
uenuem es deldi ablequilo rpere	----|-⌫-|--|--⌫---|--|--⌫|---|
est cui ser uiceil feront	--|--|---⌫---|-|-----|
sienauront lordesertestant	-|-|-----|--|-------|---|
distsain zant hoines	---|----⌫|---⌫-----|
laissadece	-----|-|-|
loparler et	-|-----|-|
recomenca s esoroisonsafaire	--------|-⌫-|-------||----|
sicomill auoitacostume	-|--|-||----||------|
mai ntes foizauinta presce	---⌫---|---|----|-⌫---|-|
fr e relamenoiental apremiere	--⌫-⌫-||--------||-⌫|-------|
montaigne del	--------|--|
dese rt co ntre sa uo lente	----⌫-|--⌫---|-|--⌫----|
quarla en auoi tmu ltensemble	---|-|-|----⌫|--⌫-|-------|
do n t iuenoientlihauthom e de	--⌫-⌫||-------|-|---|---⌫|-|
contree qu inepooient mie	------|--⌫|-|------|--|
grantde se rt inepor l	----|--⌫--⌫--⌫--|--||
a sp recede	-⌫--⌫---|-|
la uoieetsi li proi oient	-|---|-|-|-|----⌫----|
quifors de	-||---|-|
la cell eouilestoit	-|----⌫|-|-|-----|
lauenistaels quar	-|-----||--|---|
desiroientaueoirquantlisa in tz	---------||----|----|-|--⌫--⌫-|
hom n iuoloitale rpor	--|||-----|---⌫|--|
grantpressedesgenz quimult	----|-----|--|---|--|---|
trauai l l oientsi prenoien t	------⌫-⌫-⌫----|-|--------⌫|
lihauthomel es	-|---|---|-⌫-|
desuez q ui l ié	-----|-⌫-|-⌫--|
e sto ientet lesmalades	-⌫---⌫---|-|--|------|
si lesienue oientq u aril	-|--||----⌫----|-⌫-⌫-|-|
sauoientbien	-------|---|
que c elsne	--|-⌫--|-|
il mieetporcels u enoitil	-|--|-|--|---|-⌫----|-|
maintesfoiz fors	------|---|---|
deldeser t	--|-----⌫|
quaril saueitbien	---|-|-----|---|
quesestrauauz	--|--|------|
enesto it u telesdo nt	-|----⌫-|-⌫----|--⌫-|
ilashom esquile s	-|-|---⌫-|--|--⌫|
t e noi entsi	-⌫-⌫---⌫--|-|
le sdoctrin oit et	--⌫|-------⌫--|-|
amonestoit	---------|
de l oiaut eteniret de dreitur efairee t	-|-⌫-----⌫|----|-|-|-------⌫|----|-⌫|
nobliassen t mie	|---------⌫|--|
ce qui es toitenlescriturequ i	-|--|--⌫---|-||--------|--⌫|
diso it ainsi com uo siugerez	----⌫-|----|--|--⌫|------|
s erezuos iugié cestad ir e	-⌫---|--|-----||--||-⌫--⌫|
iugiezselonc	-----|-----|
ensementuos iuge rali uerais	-------|--|----⌫-|-|-----|
iustissi er res qu is or	--------⌫--⌫--|--⌫|-⌫-|
to ziugeo r s	--⌫|-----⌫-⌫|
a seignorieetpuis sanceet si com	|--------|-|----⌫----|-|-|--|
ilparl o it detels chose s	-|----⌫-⌫-|-|---|-----⌫|
l i so ue noit	-⌫|--⌫--⌫---|
ilmu ltsouentdela	-|--⌫-|-----|-|-|
deserti ne ou lileuse stoit	-------⌫-|-|-|---|-⌫----|
quil multemmoit etquantil	-|-|---|-----|-|----|-|
auoittantparle ́ettan t dit si	----|---|-----⌫|-|---⌫|--|-|
disoitquilnepooit laplus	-----|-|-|-|----|-|---|
demoreretsi metoit ex emple	------|-|-|-----|--⌫----|
q uarillordisoitquausi	-⌫--|-|--|-----|-|---|
p oisonquis unt	-⌫----|--|-⌫--|
aiguem uerentqu ant	----|-⌫-----|--⌫--|
sechieterreausi d efail ent	-----|----|---|-⌫-----⌫--|
limoinequa nt	-|----|---⌫-|
ilsatar ient auec	-||----⌫---|---|
lesseculerschoseset	--|-------|-----|-|
mondaines paro le sp or c e faitil	--------|----⌫--⌫|-⌫-|-⌫|---|-|
ausi comilcouientlo	---|--|-|------|-|
poiso nestree nla	-----⌫|----|-⌫|-|
me rnos con uient	--⌫|--|---⌫----|
il haste rdaler ala	-|-----⌫||---||-|
montaigneen susd egent	--------|--⌫--|-⌫|---|
aucuneobli ancede nostr e	-----|----⌫---|-|-----⌫|
proposemen tnen osuieignepar	----------⌫|-|-⌫-|------|--|
nostreatariance	-----|--------|
emerue illoientdela	------⌫-------|-|-|
sa piencequielsa inthomeestoit	--⌫-----|--|-|--⌫--|---|-----|
quan til ce li ooie nt direetbie n	----⌫|-|-|-|----⌫-|---|-|---⌫|
disoient ueraiement	-------|---------|
home dieu etquen homequi	---|---|-|-|-|---|--|
se ustne peustauoir	--⌫--|-|----|----|
si grantsapience separ	-|----|-------|-|--|
lauolent e de	-|------⌫|-|
seig norne	----⌫--|-|
fu st u enue	--⌫-|-⌫---|
adonc est oituns	----|---⌫--|--|
duxen lat er re d	--|-|-|-⌫--⌫-||
egyptebala chiusauoitnon	-----|----⌫----|----|--|
cile stoitde	--|-⌫----|-|
lapoeste nesto ri e	-|-----|-----⌫--⌫|
loprophete	-|-------|
dalixa n drecildux	|-----⌫-⌫--|--|--|
estoitmaush ometdestruiso it	-----|---|-⌫-|-|---------⌫-|
lescresti ensetha ioitsa inte	--|------⌫--|-|--⌫---|--⌫---|
igles edequanq uilpooit	-----⌫|-|-----⌫|-|----|
drueriefa isoit	------|--⌫----|
il lesmoi nes	-|--|---⌫--|
d amoiselesquinostre seign o r	-⌫--------|--|-----|-----⌫-⌫|
seru oient de sn ueretbatre mult	----⌫----|--⌫--⌫--|-|----|---|
cruelment deuant t ot lo pueple	--------|-----|-⌫-|-|-----|
anthoi nes lienuoiaun es	------⌫--|-|-----|--⌫-|
letres donttele estoit li	-----|---|---|-----|-|
tenorsieuo il ir e	-----|-|--⌫||--⌫|
q uiuient sortoi lais semala	-⌫-|----|--|--|----⌫-|--||
faireascrestien sque li	----|-|--------⌫|--|-|
irenostreseignor netepraigne	--|-----|------|-|-|------|
quitemenaceadoner mort	--|-|-----||----|---|
prochain eli ma leuresuitces	--------⌫|-|--⌫-----|--|--|
si l es comenca a degaberet	-|-⌫-|------||------|-|
a terre etacelsqu i	|----|-||---|--⌫|
aporte esles	------⌫-|--|
auoientfist	------|---|
et de con traires e t silor	-|-|---⌫------|-⌫|-|--|
co mmendaqu ilren oncassenta	--⌫-----|-|-|---⌫--------||
anthoinequilliferoit	-------|-|-|-|-----|
griefdesciplin es	----|---------⌫-|
porc equi l	--|-⌫|-|-⌫|
sigrantcure s d ecelsquiiesu	-|----|----⌫|-⌫|---|--|---|
se ruo i ent	--⌫---⌫-⌫--|
enalerent asaint anthoine	-|------||----|-------|
etl i renoncierentm esdedenzlo	-|-⌫|-----------|-⌫-|-----|-|
quins i eme ior f u	-----⌫-⌫--|--|-⌫|
ilbienuengiez de	-|---|------|-|
celem enace	---|-⌫----|
oirdire et	--|---|-|
entend rebalachius lidux	------⌫-|--------|-|--|
s enalaaun esoe	|-|--||--⌫|--|
maisonplusproch a inedela	-----|---|-----⌫-⌫--|-|-|
alixan dreensemblen estor ie	------⌫--|-------|-⌫-----⌫-|
lopropheteque	-|-------|--|
ie uo sai deuant	-|--⌫|-|-----|
nomé et furent monté sus	----|-|-----|-----|--|
bialscheuauset plusdontezqu i l	----|------|-|---|-----|-|-⌫|
auoien tsicomil c heuauc hoient	------⌫|-|--|-|-⌫------⌫-----|
e nsemble tote lauo ie	-⌫------|---|-|--⌫-|
l escheuaus	-⌫-|------|
en trepincoie nt parfeiessicom li	--⌫----------⌫-|--|----|-|--|-|
plussorfont	------|---|
e ncorelicheu aus	-⌫----|-|----⌫--|
nestoriesseoit ahert	--------|----|----|
ba lachie par laqui ssesitr esdureme nt	--⌫-----|--|-|---⌫--|-|--⌫-|------⌫-|
q uil li tresmort	-⌫|-|-|-------|
toteet l abata	---|-||---||
te rre dela fu	--⌫--|-|-|-|
ilreleuezetp ortez	-|------|-|-⌫----|
un ques ne	--⌫---|-|
potgar ira inz	--|---⌫-|-⌫--|
tie rz ior morzet bien f u seu	---⌫-|--|---|-|---|-⌫|--|
quilaestoient	--|-|-------|
menacesaintan thoineliert	-----|----|--⌫-----|-|--|
biena uereei ssi fuliduxmorz	---|-⌫----|-⌫--|-|-|--|---|
plusorsautres quiuenoient	------|-----|--|-------|
asain tanthoin es	|----⌫|-------⌫-|
dotan cee t	-----⌫-|-⌫|
porcelmiraclequilauoie nt	--|--|------|-|-|-----⌫-|
ueue estoient amon e stép ar	---|-------|----⌫-⌫---|-⌫-|
sain thomequil ladignete	----⌫|---|-|-|-|------|
decest si ecleetlase ignoriene	-|---|--⌫---|-|-|--⌫------|-|
obliassent quar i ln	---------|---|-⌫||
u anit eet deceuan ce et sifeissent	-⌫----⌫|-|-------⌫-|-|-|-------|
l eso uresnos treseignor pora uoir	-⌫-|-⌫---|---⌫--|------|--|-⌫---|
uieet io ieparmenablele s oroisons d o	--|-|--⌫-|---------|--⌫|-------|-⌫|
s ainthome furen t	-⌫---|---|-----⌫|
plusors genz mu ltprofetables	------|---|--⌫-|----------|
pl usorshauz homes	--⌫----|---|----|
d eguerpirent	-⌫----------|
lorgranz richecesetlor granz	--|----|-------|-|--|----|
seignorieset s is e misentason	---------|-|-⌫|-⌫|-----||--|
commandement	-----------|
s a i nteuiequeuo sd iroie	-⌫-⌫-⌫--|--|--|--⌫|-⌫----|
plu sdo sain t home a bri es	---⌫|-|----⌫|---||---⌫-|
paroles uos	------|--|
puisieconterque	---|-|-----|--|
nostresireauoitdo n é de	-----|---|----|--⌫-⌫-|-|
luimultbonemire	--|---|---|---|
a la con tree	|-|---⌫---|
kifucilonques	-|-|--|-----|
