s eignoursoez chancon	-⌫-------|--|------|
ie su ifil le a cest roicu i uo usestes aidant	-|--⌫|---⌫-||---|--|--⌫|--⌫-|----|-----|
onquesmai snamai hommemai sor	-----|---⌫||---|----|---⌫|-|
enaitalant	-|-|-----|
don nezmoi uostrea mourf ranccheuali ers	---⌫--|--|-----|-⌫---|-⌫---|-------⌫--|
ap o usezsir epor	--⌫-⌫---|---⌫|--|
co nue nant	--⌫---⌫---|
courone d or aur oiz an uos trechief p o rtant	------||-|---⌫--|-|---⌫--|----|-⌫-⌫----|
dame ceadit milesciamout b el pre sent	---|-||--|----|-||---|-⌫-|---⌫---|
quiceran fus eroitn auro it	--|-|---⌫---⌫----||----⌫-|
ie lapreinguolantiersgrant merci	-|-|-----|---------|----|----|
uousanran t	---|-|---⌫|
m edon nez p ar	-⌫|---⌫--|-⌫-|
itelconuenant	---|--------|
tantqueueign e	------|-----⌫|
abiauuaizla	|-------|-|
fortci teiual ant	---|--⌫--|---⌫--|
que mesoeuangiezd ugonlesodoant	--|-|--|------||---|-|------|
quimon pe reua ndialagent	--|--|--⌫-|--⌫--||-|---|
etespousaitma	-|--------|-|
meresorm onconmandemant	---|--|-⌫-|-----------|
moichaca ild efr ance corre cie ́	--|----|-|-⌫|--⌫---|-----⌫---⌫|
amis d itla	---|-⌫-|-|
puc ellee tie l euous creant	---⌫---|-⌫|-|-⌫|---|-----|
un basier a nprentmiles	-|-----|-⌫|----|----|
s isan torna	-⌫||-|----|
en contréses m atre s guinemant	--⌫------|--|-⌫----⌫|--------|
il la uo itapelé parmoutfiermalta lant	-||-⌫--⌫-|-----|--|---|---|-----⌫---|
guinema n su ous errez folemant	-------⌫-⌫|-⌫--|----|-------|
quialez aspucel lesparler ne deuis ant	--|---|-|-----⌫--|-----|-|-----⌫--|
antco niluous	--|--⌫|-|---|
souue igned ugon	-----⌫---||---|
les odoant	-|-⌫-----|
quiuandiuostre perecui ilper	--|----|-----|---|--|-|--|
amoitt ant	----|-⌫--|
uostre mere	-----|---|
cuiiluamalmenant	--|-|-|--------|
etsiti en t uostre terredo ntuousnaue z	-|-|--⌫--⌫|-----|----|--⌫-|---||---⌫|
ne deusieza	-|------||
fane parlerne	---|-----|-|
tantneq uant	---|-|-⌫---|
antreci acelle ho requ eusiez	----|-||----|--⌫-|-|-----|
queusiezmo rt hugonlefelon	-|-----|--⌫-|----|-|----|
ditm iles merci	--|-⌫---|----|
p ordeulegr ant	-⌫-|--|-|--⌫--|
l am anmena l iroisnial asseau trement	-⌫||-|---|-⌫|---|||--⌫---|--⌫------|
iamaisniirais i r e sansuo	-----|||---|-⌫-⌫-⌫|---|-|
conm andemans	----⌫-------|
orsontanlaciteliche u alierd e pris	-|---|-|-|---|-|---⌫-⌫----|-⌫|---|
etbasileslor donne etleu aret le	-|------|--|----|-|-|-⌫-|-|-|
dusdebiauua izquianlachart reg i st	--|-|------⌫-|--|-|-|-----⌫-|-⌫-⌫-|
dexs ifort se	--|-⌫|---|-|
gamenteetse	------|-|-|
cl amechetis	--⌫--|-----|
ai hugo nconperescon asmal antrepris	-|----⌫|-------|--|-|--|--------|
dex m ananuoitu aniance li roisde	--||-|-----|-⌫------|-|---|-|
lachartrequiformentse	-|------|--|------|-|
ay hugondit ildeis	-|----|--|-|---|
maleatante	---|-----|
t um ais simalbali parla	-⌫||--|-|--|---|--|-|
toecon sante	--|---⌫----|
que mas iciuanduoui en	--||-|--|----|-|-⌫||
ainulleantante	-|----|------|
que iamai snan	--|-----⌫||-|
ir aian ma terrelaiante	--⌫-|-|-|----|-|----|
sirefizquantdeuous me	---|--|----|-|---|-|
presuaitquene mepartli cuers	---|---|--|-|-|---|-|----|
dedensle uantre	-----|-|-----|
etliroisysorezde nea ntnes	-|-|---|-----|-|---⌫-|-||
dolansestdesa perdeaucue r en	-----|--|-|-|----|-|---⌫|-|
iaia m andé basile q ue	--||-⌫----|-----|-⌫-|
mari aitatande	--||--|-----|
queiau erslui aitpaistantcon soit	--|-|-⌫--|--|--|---|---|--|---|
a nuiuance	-⌫|------|
ilre mandeles turs des uausd outreoriante	-|--⌫----|--|---|--|---||----|------|
sarmaritansetlespai e nsdargent e	----------|-|--|---⌫-⌫-||------⌫|
de perceetdeturq uaigneet	-|----|-|-|----⌫-----|-|
aseigieretmetretotance ndre	-------|-|----|--|-|--⌫---|
satarde liforsroi de cunibre	|-----|-|---|--|-|------|
mahommetteruagantde	-------|--------|-|
seil bilepu etprandreil d estrui rala	-|-|---|--⌫-|------|-|-⌫------⌫-|-|
e t entorconquerr a x xx	-⌫|----|--------⌫|-⌫-|
decez denormandie	-|--|-|--------|
iaina narau n	--||-⌫|--|-⌫|
solcam espeenocie	--||||----||---|
etdesortozles autre s celui	-|----|--|--|-----⌫|----|
quibiauuai z cri e	--|-------⌫|---⌫|
ca r biensaiet antanq ueilainme	--⌫|---|--|-|----|-⌫-|-|----|
orien te lab elle qui tant est	-----⌫-|-|-⌫---|--|---|--|
porcemeconuanrait	--|-|-|---------|
que ie s amprez locie	--|-|-⌫-----||---|
ilansambleces oz	-|-------|--|-|
an r euai tabile	-|-⌫----⌫||---|
iamaisn efine r acedi tains	-----|-⌫|----⌫-⌫|-|--⌫|---|
laurap rise	|---|-⌫---|
am i le turs	|-⌫-⌫-|---|
lap u tegent	-|-⌫-⌫-|---|
etl ir i ches b asi lesaitcesgranzozbanies	-|-⌫|-⌫-⌫---|-⌫---⌫--|--|--|----|-|-----|
celioursa rm ali roi s	--|---||-⌫--⌫|-|---⌫|
sala anl aatie	|--|-||----|
sait sa g entdeui sé etsesgranz	|--|-|-⌫--|----⌫--|-|--|----|
oz rangiez	-|------|
li roi saa	-|---⌫|||
mil onloriflamblebali e	---⌫-||---------|----⌫|
de toutelabatail lea it	-|----|-|------⌫-|-⌫-|
la ch e ualerie	-|--⌫-⌫------|
anissent f ors	-|-----|-⌫--|
a bataill erangie	|-------⌫|-----|
orienteest	------|--|
monteeanlag r a nttorantie	-----|-|-|-⌫-⌫-⌫-|--|----|
damedeureclamale fi lsa inte mar ie	------|------|-|--⌫|--⌫---|---⌫-|
ga ris iezmoimonpere et mon a mibia u	--⌫---⌫--|--|--|---|-|--|-⌫-|---⌫|
laforsarme ́deuantlaba ronn ie	-|---|----⌫|-----|-|--⌫----⌫-|
ielconnoisalam asse q ueliai	-||------||-|-⌫---|-⌫-|-|-|
bien li sietcil	---|-|---|--|
bru nsyaumesetla tar geflorie	---⌫-|-----|-|-|---⌫-|-----|
dex conliee la	--|--|---|-|
damede cuife roits	---|-|--|--⌫---||
a la batalleuiegn ent ne	|-|------|-----⌫--|-|
ciatarde ntmie	||------⌫-|--|
a lasanble r des ozioutgrantestormi e	||-------⌫|--|-||--|----|-------⌫|
la peussiez o ir mout fiere crierie	-|-------|-⌫-|---|----|------|
milespointt ozpr em iers cuilanceigne	----|----|-⌫-|--⌫--⌫---|--||-------|
moutbienarmez	---|---|----|
d e paeni e	-⌫|-----⌫|
uaferirl am irant del a terredorbie	-|----||--⌫----|-|-⌫|----||----|
etfufrerey sorele signorde	-|-|----|-⌫---|-|-----|-|
laua ntal lelifrosseet perce	-|--⌫----⌫-|-|-----|-|----|
le cu erlia	-|--⌫-|-||
fandulepremon etle	----|-|-----|-|-|
hantelidurelabati mortsanuie	----|-|---||----|---|--|--|
p uis escriebi au ua iz	-⌫--|-----|--⌫--⌫--⌫-|
etla citede bile	-|-|---|-|---|
parmonc hi ef	--|--|-⌫--⌫-|
dit lirois mout seprouebien	--|-|---|---|-|----|---|
se iepu isr eparierie lodonraimafille	-|-|--⌫-|-⌫------|-|-|-----|-|----|
iene sai r oi neprinceou miauz fu	-|-|--|-⌫-|-|-----|-|----|-|
etfo rques pointetbroc heuafer ir l	-|--⌫----|----|-|----⌫-|-|---⌫-||
e tguinemanscesma tre s lorfaitfierea sa lie	-⌫|--------|--|--⌫---⌫|--|---|----|-⌫--⌫--|
lors pe ussiésueor tant e targ eperc ie	---|--⌫------|---|----⌫|----⌫|----⌫-|
bronneronpuefausee e t	-----|-----|-----|-⌫|
ez uousparlaba t a illep oig nantle	-|---|--|-|--⌫-⌫-⌫---|-⌫---⌫---|-|
a sauoizqu il otclereh autementlor	|-|---|-|-|-|----|-⌫-------|--|
certe s tuiteste z	-----⌫|---|----⌫|
mort mauuaise	---|-------|
sede x g aritm ilon etsa	-|--⌫|-⌫---|-⌫---|-|-|
richemanie	----|----|
quantys orez l antant demaltalant gramie	----|--⌫---||-----|-|--------|-----|
il amb ra cal	-|---⌫--⌫-||
escu sa la l ance	---|||-|-⌫---|
auroide bileui n tpoi gn antla ncebassi e	-|--|-|---|--⌫-⌫|---⌫--⌫--|--⌫--|-----⌫|
et basilesuers lui	-|------|---|--|
l iunslautre desfie	-⌫|--||----|-----|
sa ntreueign entp armo ut grantaramie	|-⌫---------⌫--|-⌫-|--⌫-|----|-----|
si que de lorescus l esbocles an del ient	-|--|-|--|----|-⌫-|-----|-|---⌫---|
an tr ebatentammilapr aerie	--⌫--⌫------|---|-|--⌫----|
ouilue ulentou	-|-|--⌫----|-|
n onlessal esontueudiez	-⌫-|--|---⌫-|--|------|
e tresallentanpieslesespees sachiez	-⌫|--------|-|---|--|-----|------|
do usdeuzgrant	|-⌫-|---|----|
bata ille anforcie	----⌫---|-------|
quantla gentysoredont laterrees tue tie	----|-|---|----|---|-|----|--⌫|--⌫--|
isontue n upoignant dis mil	|---|--⌫-⌫|-------|--|--|
ileconta batul eri cheroiba sile	---|--|-⌫---|-⌫|--⌫--|--|--⌫---|
seli tolentcespeeetlesdeu s pons	-|-|-----||----|-|--|---⌫|---|
can t li roiceuoitpris	---⌫|-|--|-|---|---|
ahaut euois	|----⌫|---|
hemilesdebiauu a izforquesd eno rmand ie	-|----|-|-----⌫-⌫-|------|-⌫|--⌫-----⌫-|
gu inemanslibon smatre s c armi	--⌫------|-|---⌫|-----⌫|-⌫-|||
se sarra z in manmoig nentla testeaurai tranchie	-|-----⌫-⌫-||-|----⌫---|-|----|----|-------|
etquan t milesl	-|----⌫|----||
a ntantbiau uaiz huch e etescrie	-⌫----|----⌫---|----⌫|-|-----|
totala gre nnor	--||-|---⌫---|
presseronpue etdepartie	-----|-----|-|-------|
ilanbra cal	-|-----⌫-||
escusa salancebrandie	---|||-|----|------|
uatf erirysore lefort roi	--|-⌫---|----|-|---|--|
de cunibre	-|------|
cel u iqui tintsonperean	---⌫-⌫|--|---|--|---|-|
la char treuo utie	-|----⌫--|--⌫---|
setansl iatenuan grant	--|--||||---|-|----|
anfermerie	---------|
teil c oplia donn e ́sor	---|-⌫-|-||----⌫-⌫|--|
lata rgeflorie	-|--⌫--|-----|
desozla bocledo r	----|-|----||-⌫|
et labroi g nedoudos ronpue	-|-|----⌫-⌫-|--|--|-----|
etdesartie	-|-------|
premo ne tlefoie	-----⌫|-⌫|-|---|
tantconha ntelidure	---|--|--⌫--|-|---|
labatimo rtsanuie	|----|--⌫-|--|--|
puis repar eaupaienla	---|-----⌫|-|----|-|
pres se a d e parti e	----⌫-||-⌫-⌫-----⌫|
i alitrancha latestedroit par desusl	-⌫|-|------|-|----|----|--|----||
ad onc lapres antéau richeroibasile	--⌫--|||----⌫----|-|----|--|-----|
tien richesroisfaitildamedex	---|-----|---|---|-|------|
te steauroi qui ciuous contrali e	--⌫--|-|--|--|-|---|--------⌫|
sondestrierli randiremonter fai t	--|-------|-|----|-------|---⌫|
e tqua ntli ro isceu oitduremant l	-⌫|---⌫-|-|--⌫-|-|-⌫--|-------||
a nmer cie	-⌫|---⌫--|
damoi siausdebonnaresdam edeis le uousmi re	-----⌫----|---------|---⌫----|-|---|--⌫-|
seuousuolezmolie rieuousdonrama fill e	-|---|----|-----⌫|-|---|----|-|----⌫|
etdemimonreaumeenlau ost rebalie	-|---|--|-----|-|-|-⌫---⌫-|----|
cenerefu iemie	-|-|---|-|--|
l orsescrientansamble	-⌫--|-------|-------|
etbile et norm andie	-|---|-|----⌫----|
etsarrazindesrange nt desr onp ent	-|-------|--------⌫-|----⌫---⌫--|
et delient	-|------|
enfue sonttorneiquant	-|--|---|-----|----|
lorsignor non t mie	--|-----||--⌫|--|
an tre ciacun ibren	--⌫--|-||---⌫---||
ioutregnesachie	|--|----|-----|
cant uire ntsi gransozetsi	---|----⌫-|-|----|-|-|-|
grant iant banie	----|---|----|
puis quel or signor perdentne ualent	----⌫--|-⌫-|-----|------|-|-----|
etnorman t le s anchaucenttuit a	-|------⌫|--⌫|---------|---||
une aculie	--|-----|
qu i lpa ssent auecausetle s pons etles	-|-⌫|--⌫----|---|--|-|--⌫|---|-|--|
conmunemant ant rerentanl aui lle	----------|---⌫-----|-|-⌫|--⌫--|
lail e sont t oz ocisetla citegar n ie	--|-⌫-⌫|--|-⌫-|---|-|-|---|---⌫-⌫-|
tantesbellespaie nnesi ueisiésmarrie s	-----|-----|----⌫---||-------|------⌫|
quisefontbaptiziersines	--|-|---|--------|-||-|
ocie ntmie s	----⌫-|---⌫|
teru agantont g itié	----⌫----|--|-⌫----|
delamahommerie	-|-|---------|
autreci ma hommetc uidam edexmaldie	------|--⌫-----|-⌫-|---⌫---|-----|
tresanmila citei les	---|---|-|----|--|
lancen t et lesgit ent	------⌫|-|--|---⌫--|
s ilor bri seles cos a	-⌫|--|---⌫-|--|--||
eta coin gnie s	-||----⌫----⌫|
l ore t l ariant a npregnentet amilo n	|-|-⌫||-----|-⌫|-------|-||----⌫|
l anuoient	|-------|
et milesle	-|----|-|
de partala che ualerie	--⌫---||-|---⌫------|
cefuoumoisdemai que	-|-|-|---|-|--|--|
litens re n ouualle	-|---|--⌫-⌫------|
qu eflorissentcilboisetu e rdissentces herbes	--⌫|---------|--|---|-|-⌫-⌫-------|--|-----|
renouualentamorsda moisia uletpucelles	----------|----|--⌫------⌫-|-|-------|
tresanmilaciteontf aitunechapell e	---|---|-|---|--|-⌫--|--|-------⌫|
r e liquesiontmisdoubaron saintesteue	-⌫-⌫-----||--|--|--|----|----|-----|
libaroncheualierioi rentlesue spres	-|----|--------||--⌫---|--|--⌫----|
orredir onsdors onqui g is tan	-|-----⌫--||---⌫-|--|-⌫--⌫|-|
laciter ne	-|-----⌫-|
semiles lesaut illeu stfait forstrare	-|----|-|---|-||--⌫-|---|---|----|
lidus gistanlachart re sa m ain	-|--|---|-|-|-----⌫-|-|-⌫--|
a s amacelle	|-⌫|------|
oroez queilditconment ilse	-|--|--|-|--|------|-|-|
d era igne	-⌫---⌫---|
qui faisuertuz ancieletanterre	--|---|-----|-|---|-|-|----|
sireiate uig ieoutre	---|-|-|--|-|----|
la merreq uerre	-|--|---⌫----|
ca r me gitez	--⌫|-|----|
bi au sire	--⌫-|---|
de laprisondete rre	-|-|-----|-|--⌫--|
etsecorcest chat if	-|----|---|----⌫-|
souua nt tapelle	-----⌫-||-----|
ay miles biaus fil zbiauua izciteztan t	-|----|----|---⌫|------⌫-|----|---⌫|
acelinelaianteduchessedebonnare	------|-|----|-------|--------|
pouraiieoriamais	-----|-|-|-----|
oirnouualles	--|--------|
sign ouro re scoutezdou ri cheduc orson	----⌫--|-⌫|-⌫------|--|--⌫--|--|----|
q uise g istanlac hartre	-⌫-|-|-⌫--|-|-|-⌫-----|
agrant d estrucion	|----|-⌫--------|
si regrate bi au uaize t	-|------|--⌫--⌫---|-⌫|
etmoutsouua ntm aldit le tra it or hugon	-|---|-----⌫-|-⌫----|-|---⌫--⌫-|----|
par cui ilestliure z	--|--|-|--|-----⌫|
a grantdestruci on	|----|--------⌫-|
milesetg uin emansreparentdorison	----|-|-⌫---⌫----|-------||-----|
etbasilesetforquesetm aintautrebaron	-|------|-|------|-|-⌫---|----|----|
aus bonesp iausde	--|----|-⌫---|-|
martre auserminspelic ons	-----|--|-----|-----⌫--|
chartreueignent	------|-------|
soentcr ier orson	|---|--⌫--|----|
e tr egraterbia uuaizet	-⌫|-⌫------|---⌫----|-|
he la isce	-|--⌫-|-|
adi tmil es	|--⌫|---⌫-|
ieoi monp ereorson	-|-|--|-⌫--|----|
aucril aiantandu et	-|--||-|------|-|
alafortrason	|-|---|----|
lorscorentanlacha rt re etuignent	---|-----|-|-|---⌫--⌫-|-|------|
etmiles tot de uan tsi	-|----|--|--⌫---⌫|-|
ou f r ont	-|-⌫-⌫--|
etuoitleducs onperequegis tan la	-|---|-|--|-⌫-|---|--|---⌫|-|-|
sales bu esaspiesqui mout	||--|--⌫-|-|---|--|---|
pesan slis on t	-----⌫|-|-⌫--⌫|
etlouch archantoucol	-|--|--⌫------|-|--|
a ntor etanui ron	-⌫---|-|----⌫--|
ta nt aieu	--⌫-||--|
laru st eprison	-|--⌫--⌫|-----|
n aitcote uestuesorcotne	|--|---|-----|-----|-|
descharnez estetpoures	---------|--|-|-----|
nacelesos non	||-|--|-|--|
lab arbelongueet dure an	-|-⌫---|-----|-|---|-|
guisedegrifon	----|-|-----|
ius quedeso usl es	---⌫--|----⌫-|-⌫-|
piesligisent li for con	---|-|-----|-|---⌫--|
licheu oil de sate ste	-|----⌫--|-|-|--⌫--|
sontnoéanuiron	---|---|------|
ilecsegisttoznusp ardele zunp erron	---|-|---|--|--|-⌫-|----⌫|-|-⌫----|
mauuaisemantresanblele ric heduco rson	-----------|-------|-|---⌫-|--|-⌫---|
qui siautestre	--|----|----|
abi auuaizansama tremaison	|--⌫-----|-|-|--⌫--|-----|
etche u auch ier par for cea ue cle	-|---⌫-⌫----⌫--|--|---⌫-|-⌫--⌫|-|
roic harlon	--|-⌫-----|
aflub lermantiaus uars et hermin s	-----⌫--|-------|---|-|------⌫|
et tenirlesgranzroutes descheualiersbarons	-|----|--|----|-----|--|---------|-----|
etquantmi lesleuoi t sibaissalem anton	-|----|--⌫--|-|---⌫|-|-----|-|-⌫----|
nele pout r e co nnestrea uixneafacon	-|-|---|-⌫-⌫--⌫------||--|-||----|
he la isc e nestilmieiamaisne	-|--⌫-|-⌫||--|-|--|-----|-|
gui neman s biaus dousmatres	---⌫-----⌫|----|---|-----|
iamaisnontrou erons	-----||-|----⌫----|
poramour de ce luicestui anporterons	--|----|-|--⌫--|-----|-|--------|
silanalerdroitan saregion	-||-|---|----|-|-|-----|
quedex facemonp erede	--|--|---|--|-⌫--|-|
ces pichiezpardo n	--|------|-----⌫|
silanmenezlasus	-||-|----|----|
matredonion	----|-----|
sipar lerai alui	-|---⌫----||--|
etoirais arason	-|----|-⌫|----|
de quelter re	-|---|---⌫-|
qu ilsoit totpuetestr eha us	-|-|---|--|---|----⌫|--⌫-|
etcilontrespondu	-|--|--|-------|
adeubeneison	|--|-------|
adoncsa ntornamiles	----||-⌫|----|----|
et tintl e chi efanbronc	-|---|-⌫|---⌫-|------|
e tsiploresonpereleri cheduc	-⌫|-|----|--|---|-|--⌫--|--|
f orqueset	-⌫-----|-|
guinemansl onttantottraita mont	--------||--|-----|----|-⌫---|
de s buesouilie r en t briserent le sbouto ns	--⌫|---|-|-|--⌫-⌫--⌫|--------|--⌫|-----⌫-|
e tlecharchan t lio stentli	-⌫|-|--------⌫|-|-⌫----|-|
nobileba ron	-----|--⌫--|
deuants onfillan mo ignent	-----|-⌫-|--||-|--⌫-----|
suso upa lais amo nt	--|-⌫|--⌫---|---⌫-|
maisiln estuit s or piesporl	---|-||-----|-⌫-|---|--||
au oir de ce st	--⌫--|-|--⌫-|
etci nouri tle siauz por	-|-||----⌫|--⌫|---|--|
totlauoircharlon	--||----|------|
onques n onp out connostrecesiantisfizmilon	-----||-|-⌫--|--------|--|-----|--|----|
negu in emanscesmatresnecesamis	-|--⌫--⌫----|--|-----|-|--|---|
deuantso nfilsusoupalaisme ne z	-----|--⌫|--|--|-|-----|--⌫--⌫|
tantaieuleans	---||--|----|
etyuer eteste	-|---|-|---|
iache ualierquelpeust rauiser	||---⌫-----|--||----|------|
lis einsfilzcuiiloutan ian dré	-|-⌫---|---|--|-|--|--⌫---⌫---|
so nma n teaulasonpereaflubé	--⌫|--⌫-⌫----||--|---|------|
puis lacitioteluicelia	---||---|---|--|-|-||
sire don est ez	---|--|---⌫-|
uouspordeu noumecelez	---|--|--||-|-|----|
amisceditli du siaoirez uerite	---|-|--|-|--⌫|-|----|-----|
ieneu ouspuis u eo ir	-|-|-⌫--|---|-⌫--⌫-|
maisbien uo usoiparler	---|---|--⌫-|-|-----|
quebi enme s amblez iantqui	--|--⌫-|-|-⌫-----|---|--|
sontde francenei	---|-|-----|--|
neuous celeraimiemoncueret m on	-|---|------|--|--|---|-|-⌫-|
mai s tant su ibe soignousqua poignesmecrerez	---⌫|---|--⌫|--⌫-------|-||------|-|-----|
suihau zho n	--|---⌫|--⌫|
grantparantei	----|-------|
ci suiorspar monde biau uaizapele z	-|--|--|--|--|-|----⌫---|-----⌫|
amienstiegetcobieeta noredelez	-----|---|-|----|-|-⌫---|----|
batp asquesetper onneet	----⌫-----|-|---⌫---|-|
saintcoin tinde lez	----|----⌫--|--⌫--|
ru bemon tetchannun	--⌫-----⌫|-|------|
et noon la	-|---|-|
ha meroeet	--⌫||--|-|
naalleetmon didier	-----|-|---⌫-----|
etbru steuletclermon tet	-|---⌫----|-|-------⌫|-|
tr e stotleregne	--⌫-⌫---|-|----|
assezsui richesh on ne uoussa ique	----|--|-----|-⌫-|-|---|--⌫|--|
outrem eran	------⌫-|-|
alai lesepulcr eaorer	---|-|-------⌫|----|
carnostre si r edeis le m	--|-----|--⌫-⌫|---|-||
auo i tconmandei	---⌫-⌫|--------|
ou moimenah ugonl e traitorproué	-|--|---|-⌫---|-⌫|------|-----|
m escon peresestoi t demon anfant fronté	-⌫-|---⌫----|-----⌫|-|--|-----|------|
iemefioean	-|-|---|-|
lui m aisil	--|-⌫--|-|
m aan cha ntei	||--⌫---⌫---|
dexl anrandemeritepar	--||-|----|-----|--|
la soe bont e	-|--|----⌫|
certesce a uroitilc e	-----|-|-⌫----|-|-⌫|
iastoeeschape z	|----|-------⌫|
etcilqu i macheterentm	-|--|--⌫||---------||
etpuis cimeuan d irenta ufortro iysore	-|---|-|-|---⌫-⌫----|-⌫|---|--⌫|----|
porceq ue neuou	--|-|-⌫-|-|--|
laloiaumalfe	-|--|-|----|
mefi ttot main tena ntansa chartregiter	-|--⌫|--|----⌫----⌫-|-|-|------|----|
oriapuisestébie n a se tan spasé	-|||---|----|---⌫||--⌫|--⌫|----|
lau ostregra nt merci	-|-⌫----|---⌫-|----|
or man auez osté	-||-|---|----|
poramourdeume	--|----|--|-|
dites uo scuerse tuospa nser s	----|--⌫|----|-⌫|--|--⌫----⌫|
uolezmeuo usocie re ouceui fme lai r ez	----|-|--⌫-|----⌫-|-|-|--⌫|-|---⌫-⌫-|
ocie zuousquarier es	----⌫|---|-|-----⌫-|
sireceditlidus	---|-|--|-|--|
queferez uousd e	--|----|---|-⌫|
anuous a lero ucedemorrai ci	-|---|-⌫--|-⌫|-|-------|-|
ei nsmetolez latest e aubranc	--⌫-|-|----|-|----⌫|-|----|
d acierforbi	|----|----|
que iam ais anuliorresoe an	--|---⌫--||--|--|----|-|
chartre mis	------|--|
sireceadit	---|-||--|
milesor o ezmonauis	----|-|-⌫-|--|---|
ienesaiqui	-|-|--|--|
uousestes mai scesai	---|----|---⌫|-|--|
q ue hug uesuosconperesdroit anfrance reuint	-⌫-|---⌫--|--|-------|----|-|-----|-----|
quadontestoiensnousau ro idesaint d enis	-|----|-------|---|-|--⌫|-|----|-⌫---|
tant dona acharlonnostrer oietpromit	---|---||------|-----|-⌫-|-|-----|
quillid onna biauu aiz etuost re fameprit	-|-|-|-⌫---|-----⌫--|-|----⌫-|---|---|
et si fitanerber milon leuostrefil	-|-|--|------|----|-|-----|--|
piece a quei lest	----||--|-⌫|--|
m orsparf oi	-⌫--|--|-⌫-|
etladam e fithuguesius quauceint	-|-|---⌫|--|-----|---⌫-|-|----|
et quantlid us	-|----|-|-⌫-|
lantantpor	|-----|--|
p ouna nrage	-⌫-||-⌫----|
ilde straintces cheuo us	-|--⌫------|--|-----⌫-|
du rementest	--⌫-----|--|
lidu schiets orlemabre etsep asme	-|--⌫|----|-⌫-|-|----|-|-|-⌫---|
m ilessesfil zle drece	-⌫---|--|---⌫|-|----|
antre cesbras	----|--|---|
sire por deumerci q ui	---|--|--|----|-⌫-|
fitlefir mament	--|-|---⌫-----|
laisiezes terceldu eletce stgrantmarrim ent	------|--⌫--|--|--⌫-|-|--⌫-|----|------⌫--|
iesui liuostre	-|--|-|-----|
sachie zueraement	------⌫|--------|
ce futozuoirsdugon quei e uous	-|-|--|----||---|--|-⌫|---|
uoiscontant	---|------|
cha rl e main eetf i nor etargent	---⌫--⌫-⌫----⌫|-|-⌫-⌫|-|-|-----|
donn aliuostr eterre et t otle	----⌫|-|-----⌫|----|-|-⌫-|-|
et espousama	-|------|-|
mondefandement	--|----------|
etmoi chacadefrance	-|--|----|-|-----|
aduelet a to rme nt	|---|-||--⌫---⌫-|
si manfui mesmatr es	-||-|--|--|----⌫-|
qu eci estantorment	--⌫|-|--|-|------|
iusque auporde m ern	-----|-|--|-|-⌫-||
ioutarestement	|--|---------|
laitrouuam esf orconou li cheualiercent	--|-------⌫-|-⌫----|-|-|--------|---|
quia soudees fu auoussilonguem ant	--||------|-||---|-|-------⌫--|
cant eustes lagerrea	---|-----|-|----||
rich artl e	----⌫--|-⌫|
soudoiersparcesarmesfua	--------|--|--|----|-||
uouslongement	---|--------|
por lauost re	--|-|----⌫-|
amitielemefiti antemen t	-----|-|-|--|-⌫-------⌫|
quilde uindrentmihomede lor	-|-|--⌫-------|-|---|-|--|
grebonnement	--|--------|
demoifitsonsignor il et toutesagent	-|--|--|--|-----|-|-|----|-|---|
etuen imesa bile d ilecquesdro item e nt	-|---⌫---||---||-------|---⌫----⌫-⌫-|
la nousretint	-|---|-----|
basil esli roismout	-----⌫-|-|---|---|
ysorede cu nibreli abati	----|-|--⌫----|-|----|
quit antuou sa ittenu	--|-⌫--|---⌫|-⌫-|---|
anprisonlonguement	-|-----|---------|
mout parful i es	---|--|-|-⌫-⌫-|
li dusquanti lloit	-|--|----|-⌫||--|
d oupo uoirque ilout antrecesb rasleprant	-⌫-|--⌫---|--|-|--|----|--|-⌫--|-|----|
et li filz s	-|-|---||
antrebaisentsouuant	-----------|------|
biausf ilz ceditlidus	----|-⌫--|-|--|-|--|
disme tuuerit e	--|-|-|-----⌫|
quehuguesmadeta merehonnietuergondé	--|-----|||-|-|---|----|-|--------|
oil p ereditilporsain tec herite	--|-⌫--|--|-|--|----⌫-|-⌫-----|
sede u xni a uertu	-|--⌫-⌫||||----|
oum iraclesmout ré	-|-⌫------|----⌫--|
m augremoilespo usai a biauuaiz la cite	-⌫----|--||----⌫---||-------|-|---|
etm oiuoutilocier e	-|-⌫-|---|-|-----⌫|
honte l iurer	----|-⌫----|
quantmanfoimesmatre s cui	----||-|--|--|-----⌫|--|
dex cr oissebonte	--|--⌫----|----|
etquantlantantli	-|----||-----|-|
dus sa p ar font sopiré	--|||-⌫--⌫---|------|
ilr e grate acelin ea ugent	-|-⌫-⌫----|------⌫|-⌫|---|
c orsho noré	-⌫--|--⌫----|
ayfrancheduchesse dexa it	-|------|-------|--|-⌫-|
uousafai t iamai sne	---||---⌫|-----⌫|-|
c es thuguesmescon peresoutan tafaucete	|--⌫|-----|--|---⌫----|-|---⌫||------|
a nfura ibiausfil zoutr e	-⌫|----⌫|----|---⌫|----⌫|
la rouge mer	-|----|--|
lontaigneterrec	--------|----||
la hon tesofrir	-|---⌫-|-----|
mia uzuoudroe estrem orsque me	---⌫-|------|----|-⌫--|--|-|
fust reproué	---|-------|
sirecea ditmil esce deu plait	---|-||--|---⌫-|-|--|----|
nonf ere z	--|-⌫---⌫|
