p uisloradist qu	-⌫--|--||---|-|
quepour raiferemonpereiouau s	--|----⌫--|---|--|---|-----⌫|
frer e biaushe	----⌫|----|-|
ionesfrerebiaus	----|----|----|
hem orsanmerecarmoci	-|-⌫--|-----|--||--|
lamors m onfrerem e ci	-|---|-⌫-|----|-⌫|-|
c im ela mors monf rere	-⌫|-⌫|-|---|--|-⌫---|
m ocila morsanmere	|--|-|---|-----|
bien deuer oitpartirlicuers	---|-----⌫--|-----|-|----|
quantaparsoiqu eiosep muert	----|------|--⌫|----|----|
qu emuert i osep quanta parsoi	--⌫|----|-⌫---|----|-⌫-----|
licuerspartirbiendeueroit	-|----|-----|---|-------|
frere malua is	----|-----⌫-|
qu aués uosfait	-|----|--|---|
oci sauois qu	---⌫|----|-|
aiacob plait	|----|----|
quaiacob plaitocis auois	-||----|----|---|----|
quauésuosfait freremal uais	-|----|--|---|----|---⌫---|
helassemoimo rir	-|----|--|--⌫--|
amo iesti l gransduels	|--⌫|--|-⌫|----|----|
gr ansduels est il	--⌫--|----|--|-|
mourir mestuet hel asse mi	-----||-----|-|-⌫---|-|
parlé samoi	------⌫||--|
bestesecr oi	----|-|--⌫-|
uos atués frerela s	--||----|----|--⌫|
la stoi fre re	--⌫|--|---⌫-|
uos a tué	--||---|
beste secroi amoi p arlé s	----|-|---||--|-⌫-----⌫|
enc epuist ontc i lmurtri	-|-⌫|---||--|-⌫-⌫|-----|
quefer ai puisio se plas ti	--|---⌫-|---|--⌫--⌫|--|-|
ioseplas tique	----|--|-|--|
feraipui s	----|---⌫|
ton tcilmur tr iouen	|--⌫|--|---⌫--⌫|-|-|
que quilainsisse	---⌫-|-|-----|-|
g aimantoit	-⌫--------|
anuissesparolesf o urmoit	----|--|------|-⌫-⌫-----|
pourla doulourqu au c uerauoit	---|-|------|-|-|-⌫--|----|
de plours aro use sonuisa ige	-|-----|---⌫--|--|----⌫--|
as onglessescheuo xdesaiche	-|-----|--|-----⌫|-------|
so nuisa ige de plo ursarous e	--⌫|----⌫--|-|---⌫--|-----⌫|
ongl es s ic heuo ilronpent	----⌫-|-⌫|-⌫----⌫-|------|
asie xmontrequilapiti e	-|--⌫|-----|-|-||----⌫|
etl ala rmequidefuer chiet	-|-⌫|--⌫--|--|-|---|----|
liautre f rereen u ontaupere	-|----|-⌫---|-|-⌫--|-|---|
quianportentl a costean me re	--|--------|-⌫|----|--⌫--⌫-|
qu edousanc	--⌫|--|---|
doub ouc au ienttainte	--|-⌫--|--⌫---|-----|
oudesancauoit	-|-|---|----|
goutemain te	----|----⌫-|
on tainsisp arlé	--⌫|-----|-⌫----|
cestecoste	----|----|
auonstrouué	----|------|
uoieceestla cos te o unon	---|-|--|-|---⌫-|-⌫|--|
tonfilainsist rouuél auons	--|--|-----|-⌫-----||----|
bi enlem on t reque est o cis	--⌫-|-|-⌫--⌫-⌫-|--|--|-⌫--|
la cost e que	-|----⌫|--|
ueésainsis	----|-----|
deleuen le u ainsitachie	-|--|-|--⌫|----|-----|
ai nsis con d emaaillemaillie	--⌫---|--|-⌫|------|------|
qu antlipe reslacosteu i s t	--⌫--|-|--⌫--|-|----|-⌫-⌫-⌫|
uerem entestcedist	-----⌫--|--|-|---|
cuideque dientuoir	----|--|----|---|
sifil quantil laco steu oit	-|--|----|-|-|--⌫--|-⌫--|
e n son cuerdeuineet dist	-⌫|--|---|-----|-|---|
laainsi smalmis	||-----⌫|-----|
peoursli os teespe ranc e	-----|-|--⌫-|----⌫----⌫|
cusanconss onpis l idestr a npe	--------|-⌫-|--|-⌫|-----⌫-⌫--|
lu n coppa nsoituoirestrepuet	|-⌫|--|--⌫----|---|----|---|
lautre quen	|----|--||
ierti aanulfuer	---|-⌫||--|---|
quedieuslaisse	--|----|-----|
ain sisdestrui re	---⌫--|-------⌫-|
telanfan tne	--|-----⌫|-|
telcreature	--|-------|
ainsispans oitouzzouel	-----|----⌫--|-|-|-|-|
duelsliou tsilecuer	----|-|--⌫|-|-|---|
qui lo utainsiscona nialé	--||-⌫-|-----|--|-⌫-----|
sonu islileue sa	--|-⌫-|-|---|-|
pourladoulo ur qu	---|-|-----⌫-|-|
sal aingue toutamplit lel eu	-|-⌫-----|---|-----|-|-⌫-|
dedire l assemoi	-|---|-⌫---|--|
songle ausis con	|----|----|--|
tout d epiecequanqu	---|-⌫-----|-----|
i lata int	-⌫|---⌫--|
la doulou rsquien	-|------⌫-|--|-|
lui seplaint	--|-|-----|
encuerdangoisseta int	-|---||-------|--⌫--|
litonn oiresdefuersmontrés	-|----⌫----|-|----|-------|
tonnateussons or escoutés	----|---|---|-|--------|
lass emoipe re lass e	----⌫|--|--⌫-|----⌫|
las amoip erel as a toifil	--||--|-⌫--|-⌫-||--|--|
b este enrag ieran	-⌫---|-----⌫-|--|
p lussourdeies cene	-⌫--|-----|--|-|-|
que mers criou s eplusque serpens	--|---|-----⌫-⌫|---|--|------|
etplush ydous equenest	-|---|-⌫-----⌫|--||--|
best e en r aigieran iosep	----⌫|--⌫-⌫----|--|----|
qui estplussouesquelimies	--|--|---|----|--|-|---|
p lusluisansdeclartede ciel	-⌫--|------|-|-----|-|---|
plusconuenans	---|--------|
qu onbresne soit	-|-----|-|---|
entens quil conuientet	-|---|-|-|-------|-|
mi eudresqueta ligni en	--⌫-----|--|-|-----⌫||
h el ass etoi pe tisi osep	-⌫|-⌫---⌫|--|--⌫--|-⌫---|
p lus debo nnairesqueaigniaus	-⌫--|----⌫------|--|-------|
etplusclers qu es to illedeciaus	-|---|----|-|--⌫--⌫---|-|----|
plus luisansquesch abouclen	---|------|-|----⌫------||
hel assetoipetisiosep	-|-⌫---|--|----|----|
plu s simplesquelatou rterelle	---⌫|------|--|-|---⌫-------|
et plus nobles qu e	-|---|-----|--⌫|
plusgrac i ousque	---|----⌫-⌫--|--|
pr instens nest	--⌫------||--|
lasse a toi petis iosep	----||--|----|----|
pluspurs queuerr es nest	---|---|--|----⌫-||--|
plusc lersass es	---|-⌫---|---⌫-|
qu eiup ite r	--⌫|---⌫---⌫|
yuo iresdecoutel	---⌫---|-|-----|
lassea toip etisiosep	----||--|-⌫---|----|
uenésenfantor sa	-----|-----|-|-|
pl orés an fentp lorés uill art	--⌫----|--⌫---|-⌫-----|----⌫--|
batésuos pisfire ́soumi	-----|--|--|----⌫-|-|-|
plainne ́sle mortpor monfil	-------⌫-|-|---|--|--|--|
i a nulcon fort n araipo rli	-⌫|--|---⌫---||---|--⌫|-|
fuiésd emimi autrefil	-----|-⌫|-|-|----|--|
h em o rs amoitu uiens troptart	-⌫|-⌫-⌫-||--|-|----|---|---|
plorésanfan tplorésu illart	------|-----⌫|------|-⌫-----|
de uosiex courre la	-|--|--|-----|-|
fo nt ainne	--⌫--⌫----|
u osu esteuresliongle	-⌫-|-⌫-------|-|----|
uos ong l es depieceuosdras	--|---⌫-⌫-|------|--|---|
p lorésanfant plo rés uill art	-⌫-----|-----|---⌫---|----⌫--|
tous mautalansetto u s	---|--------|-|--⌫-⌫|
uaigne soruos et tousirous	-----|--|--|-|---|----|
sicon so rmoietcon iefas	-|--|--⌫|--|-|--|-|--|
plor e ́s anfantplorés	----⌫-⌫-|-----|------|
li d enostre	-|-⌫|-----|
estdepeciesanpl orés	--|------||-|--⌫----|
uie llessehe	---⌫-----|-|
iexplorés	--|------|
mon gouure nail monsoustenail	--|------⌫---|--|---------|
aiie plorésuiellart	-|-|------|-------|
anfantcelle coulours	-----|----|-------|
est madoulourscell efigure	--|-|-------|----⌫|-----|
e st maiactur elassepetit enorr itur e	-⌫-|-|------⌫|----|-----⌫|----⌫----⌫|
masamblanceet mad esf anc e maiouepure	-|--------|-|-|-⌫---⌫---⌫|-|---|---|
quiestmaso rscilest	--|--|-|--⌫-|--|--|
quie stmanmoursmesd os	--|-⌫-||------|--|-⌫-|
et mes ioiausma sole cure	-|--|-----|-|---|---|
lassepet itenorriture	----|---⌫--|--------|
celleface quiestoit pure	----|---|--|-----|---|
moigranse nrageu re	--|----|-⌫------⌫-|
uostrecharn eu reest ma mors dure	-----|-----⌫--⌫-|--|-|---|---|
morsquinanf eiscun	---|--||-|-⌫--||-|
b e s tecriouseraniosep	-⌫-⌫-⌫-|------|--|----|
mes antraillesquiest ien t douce s	--|---------|--|---⌫---⌫|-----⌫|
a mo isuntplai esmeruillouses	|--⌫|---|----⌫-|-----------|
m estanr esmeferont panrelamortisnel	-⌫-|----⌫-|-|-----|----|-|---|----|
mors a ngoisseuse	---|-⌫---------|
cl ersc on	--⌫--|-⌫-|
linsciles tmafins	---|--|--⌫|-|---|
cellecharssainteest ma conplainte	----|----|-----|--|-|---------|
quifumanpraintec on scireensee l	--|-||--------|-⌫-|----|-|---⌫|
morsan g oisseuseran io sep	---|--⌫-⌫-------|--|--⌫--|
dep reecel lerous ee	-|-⌫--|---⌫-|----⌫-|
c rinemamed ecine	-⌫---|-|---⌫----|
etmanm ou rs fin equi iamorsest	-||---⌫--⌫-|---⌫|--|-|---|--|
m orsang oisseuseraniose p	-⌫--|---⌫-------|--|----⌫|
la mors mon	-|---|--|
fi lblanccon mel ait	--⌫|----|---⌫-|-⌫--|
medonn e esc il	-|----⌫|---⌫-|
la mortmatrait	-|---||-----|
painnees ta	-----|--⌫||
milamors de ti	-|-|---|-|-|
biausfilzlasti ieperla	----|---|--|-|-|--|-|
par angoisse lastiiose p	--|-------|--|-|----⌫|
cellemaissell erosenouelle	----|--------⌫|---|------|
souuant m apell equeie chan celle	------||-----⌫|--|-|----⌫----|
cell erapineestma	----⌫|-----|--|-|
best e feri neamoien cl ine	----⌫|----⌫-||--|--⌫--⌫--|
mors subitinedesort	---|-------|--|-||
detraisondesor	-|------|--|-|
det raisonranmoii osep	-|-⌫-----|--|--|-⌫---|
langu it se chistlamo rs mocit	-----⌫-|--⌫----|-|--⌫-||---|
ce lleclart es	--⌫--|-----⌫-|
la florsde ste	-|----||-⌫--|
o u dors souescellech a rtanre	-⌫-⌫---|----|----|--⌫-⌫|----|
carmeuienpanrehemor sanmere	--|-|---|----|-|---⌫|-----|
aueclefilc arpranlepere	---|-|--|-⌫-|---|-|---|
ianul confortpour lui nauerai	-|--|------|---|--||-----|
m o rir m estuetdieusquefe rai	-⌫-⌫--||-----|----|--|--⌫--|
ieplorera iian ou l airai	-|-------⌫|-||-|-⌫----|
iusquesraraimonfilse puis	------|----|--|--|-|---|
o umortouuif m ourir en	-⌫|---|-|--|-⌫----|-|
ai nsi sadesmena	--⌫---⌫|---|---|
son duel nenauoit	--|---||-|----|
nulconfor t	--|------⌫|
pourla doulour de	---|-|------|-|
lui sasamble nt	--||-------⌫-|
lifiliacobaluiensambl e	-|--|----||--|-------⌫|
maispourchosequeseussent	---|---|----|--|-------|
neseconf o rt e r adire	-|-|----⌫-⌫--⌫-⌫||---|
aprint iacob	|----|----|
ie descendrai	-|---------|
auecm on filt outsans	---|-⌫-|--|-⌫--|---|
enenferl e trespuantla i	-|----|-⌫|---|----|--⌫|
tantaploréquestutcesser	---||-----|-|----|-----|
l eplouriaco bs ans	-⌫|----|----⌫|-⌫--|
et li marchanssia ua nd u	-|-|-------|-||--⌫--⌫|
iosepaputipharcel ui	----||-------|---⌫-|
quiestoitmaitresdes che uali ers	--|-----|------|--|---⌫----⌫--|
phara onleroiet princier	-----⌫-|-|--|-|-------|
deiosepzz poutournerai	-|----|-|--|--------|
quantl euseniertiir eua nrai	----|-⌫--|-|---|||-⌫---⌫---|
etdeiudasuosconterai	-|-|----|--|-------|
frer eiosep qui leuandist	----⌫|----|--|-|------|
etquiy y piec e s dargentprint	-|--|-⌫|----⌫-⌫||-----|----|
en celtens iudas descendist	-|--|---|----|---------|
a hyrameta	|----|-||
fanmeprint	----|----|
suamlaquell ee nfanta	---|-|-----⌫|-⌫-----|
par yyfo isher ho namcela	--|-|--⌫-|--|--⌫--|---|
q uantel leout	-⌫---|--⌫-|--|
cesyy anfa nté	--|-|----⌫---|
aenf antersi acessé	|---⌫----|-||-----|
apresgra ntten s pri nt	----|---⌫-|---⌫|---⌫-|
hertham ar	--|----⌫-|
son pr emierfi l	--|--⌫----|--⌫|
etlespousa	-||------|
he r lii ude	--⌫|-|-⌫--|
encon tredi euama l ouuré	-----⌫--|--⌫-||--⌫|-----|
etdieupo urson malla	-|---|--⌫-|--|--|||
etthamarn ou tde luianfan t	-|-----||--⌫|-|--|-----⌫|
iudasl iperes uinta	----|-⌫|----|---||
sili conmandequeil prai nne	-|-|-------|--|-|----⌫--|
tha mar afam esansal oi nn e	---⌫--||---⌫|---|--⌫--⌫--⌫|
sema ncede s onfrere	----⌫--|-|-⌫-|----|
n eperisse	-⌫|------|
m aisquelleapere	-⌫----|---|----|
cilobeist maispi sfistcil	--|-----|---|--⌫|---|--|
quel ipremiers	--|-⌫|-------|
cardieuslo ci st	--|----||-⌫--⌫-|
icil uistquet uit li	---|---|--|-⌫--|-|
quinaiterient neliseri entnoi ant	--|---------|-|-|----⌫--|---⌫--|
maisaucon peserientsonf rere	---|-|---⌫-|------|--|-⌫---|
quiesto itmor se t	--|----⌫-|---⌫|-⌫|
seroit peres	-----|----|
cifisttelmal qu ea	-|---|--|--|--⌫||
nestmie bon mais	|--|--|--|---|
di euletua plusnan dirai	--⌫-|-|--|---||-|----|
se pechien eustianel eu stf ait	-|-----||---|-|-||--⌫-|-⌫--|
ain s dethamarne rout	---⌫|-|-----|-|---|
acuiiudasd istorantan	|--|----|-⌫--|-|----|
soieue sueett an	---|--⌫--|-||-|
chiestonpe r edemorela	----|--|--⌫-⌫|-----|-|
iusquesgrans iertme ssel a	------|----|---|--⌫|---⌫|
iu dasdonnerneliuouloit	--⌫--|-----|-|-|------|
formant ice doutoit	------|--|------|
nauaigne conde sy y premier s	|------|--|--⌫|-⌫|-------⌫|
q uifurentmortpourlorpechies	-⌫-|-----|---|---|--|------|
donquesthamar dainqui	------|-----||-----|
ch ies sonpereet demo ra	--⌫--|--|---|-|----⌫-|
qu antm ain t io rpuis fur ent pass é	--⌫--|-⌫---⌫|--⌫|---|---⌫--|----⌫-|
si mouri tlafanmeiude	-|-----⌫|-|----|---|
quan tiloutassez gaimant é	----⌫|-|--|----|-------⌫-|
si sepourpance etaler	-|-|--------|-|---|
as tondeor sde cesberbis	-|-------⌫|-|--|-----|
s o nse rhyrasmoinneo	-⌫-⌫|--⌫|----|-----||
cestechosesifunoncie	----|----|-|-|-----|
thamar d esonsoirequi	-----|-⌫|--|----|--|
entha mnas si	-|---⌫---|-|
despoillie	---------|
desuesteure s	--|--------⌫|
desa uesuee	-|-|-----|
ha bitd e fole	--⌫--|-⌫|---|
a en docee	|--⌫----|
bordels anala seoir	-----||-|--|----|
parouiudas pa sserdeuoit	--|-|----|--⌫---|-----|
quiathamnasmeno itt ou tdroit	--||------|----⌫-|-⌫--⌫|----|
pour ce queselaia croiss oit	---|-|--|---|-|------⌫--|
eta maripoint	-||---|----|
nan u ouloit	|-|-⌫-----|
iudasla uoi ts i apance ́	----|-|---⌫|-⌫||-----⌫|
quefolefa n mea	--|---|--⌫-⌫-||
celleesté	----|----|
n anqueno i tpointsonuis auoit	|-|-----⌫-⌫|----|--|--|----|
c ouuertderoubenou	-⌫-----|-|----||-|
i udas entra aleietdi st	-⌫---|----||--|-|--⌫-|
laissemoiiesir auec	-----|--|----|---|
nesauoit p asq uefust sa br us	-|-----|-⌫-|-⌫-|---|-|--⌫-|
cui req ueristgesirou	--|---⌫-----|----|-|
ce llerespo ntquemedonr as	--⌫--|-----⌫-|--|-|----⌫-|
etton uouloi rdemoiferas	-|--|------⌫|-|--|----|
t anuoiera i	|--------⌫|
zzbo uc hes t	-|--⌫--⌫---⌫|
desberbisque	--|-----|--|
etc elleredis tderechief	-|-⌫---|-----⌫|--------|
ie soufferraiquea to i siet	-|---------|--||--⌫|---|
se tonch apel donnesa moi	-|--|--⌫---|-----||--|
promisiusq uesiauerai	-----|----⌫--||-----|
et pou rmonc hapelquew e ls tu	-|---⌫|--|-⌫----|--|-⌫-⌫-|-|
new eilaler pa s celui	-|-⌫--|---|--⌫|----|
ellere spontt	---|--⌫----||
armilletonannel	------|--|----|
et leba tonquetiens	-|-|--⌫--|--|----|
do n ques thamaryyco nsust	--⌫-⌫---|-----|-|--⌫----|
aunefoi sd ainquisemust	|--|---⌫||-----|-|---|
laue steurequ e lle a uoit	-|--⌫-----|-|-⌫--|-⌫---|
defolefanmeaiusmis	-|---|----||--|--|
etdeuesueereprintlesdras	-|-|-----|------|--|---|
nuls h on snes anmeruoille ia	---|-⌫--⌫|-||-|--------|-|
ca r ihesu	--⌫|----|
cri stna itr euouloit	---⌫-|--⌫---⌫|------|
des pec heor scon des benois	--|---⌫----⌫|--|--|-----|
cilyyfurentdelalignie	--|-|-----|-|-|-----|
sa mere la	-|---|-|
uiergemarie	-----|----|
qui decestefanm enasqu i rent	--|-|----|----⌫|-----⌫-⌫---|
silianuoia	-|-|-----|
zzbouchestpar celuihiras	-|-------|--|----|----|
quifuce sp astresmaisnest trouua	--|-|--⌫|-⌫-----|---||--|-----|
racheteruouloit	-------|------|
ce quealeibail l i éauoi t	-|--||--|----⌫-⌫-⌫-|----⌫|
quantne la	----|-|-|
quil uistensantier	-|-|---|-|------|
ouest lafanmeq uiseoit	-|--|-|----|-⌫-|----|
en cel loufolefanmeestoit	-|--|--|---|----|-----|
cil r espondire nttuit ensamble	--|-⌫---------⌫-|---|-------|
en cel leu n efufolefanme	-|--|--|-⌫|-|---|----|
adiudam est ci l reto urné s	-|----|--|--⌫|----⌫-----⌫|
etd istien anaipointtroue ́	-|-⌫--|-||-|-|----|-----⌫|
ca r lihonmemeismesdo uleu	--⌫|-|----|------|--⌫|--|
r espondu n e uirr enthui	-⌫------|-⌫|----⌫--|--|
folefa nmeenleu	---|--⌫--|-|--|
et i ud as dist soitsienque llea	-|-⌫--⌫-|---|---|---|-|-⌫--||
certesnenos repanraia	-----|-|--|------|-|
deman songene	-|---⌫----|-|
le bouchest	-|-------|
n elasmietrouué	-⌫||-|--|------|
quantyy moisfurenttrespa ssé	----|-|---|-----|------⌫---|
e t t ham ar o utle uentr e enf lé	-⌫|-⌫---⌫-|-⌫-|-|-----⌫|---⌫--|
etli puepplesengroissiela	-|-|-------|---------|-|
uint e tseli	---|-⌫|-|-|
quethamarsest oit engroi ssie	--|------|---⌫--|------⌫---|
deauoutrie r e etenpraignie	-|--------⌫-⌫|-|---------|
et sesuentre s estueus enf l er	-|--|------⌫|--|---|---⌫-⌫-|
elle esttabrussest	---|--|-|---||--|
fais mander	---|-----|
iu dasadit soitamen ee	--⌫--||--|---|----⌫-|
siseraarseet	-|---|---|-|
quan to napoig nelanme noit	----⌫|-⌫||----⌫-||----⌫---|
a son soi r emande etd i soit	|--|---⌫-⌫|----|-|-⌫-⌫---|
cer tesfai telle	---⌫--|---⌫|---|
bienmontrerai	---|--------|
que cest pechie	--|---|-----|
certesfa itnai	-----|--⌫-||-|
del on mecuisesch osessunt	-||--⌫-|--|--|--⌫---|---|
ai ie co nsusansmeprison	-|-|--⌫--|---|-------|
larmillequenoi sseet lebaton	|------|------⌫--|-|-|----|
se es tsiensouno n	-|--⌫|----|-|--⌫|
quantiu dasaquenu	----|--⌫--||----|
plus proudefanm eiestude m o i	---|-----|----⌫|--|-|-|-⌫-⌫|
quan tselanebaillaa	----⌫|---|-|-----||
etfu tesmar is	-|-|--|---⌫-|
p ou rcea sfaitce si	-⌫--⌫|-|-⌫|---|-|-|
et iou faisoie ne fust pe ris	-||-|------|-|---|--⌫--|
sicon suntmiautr ey y	-|--|---|-|----⌫|-⌫|
onquespuiscil oulei neius t	-----|---|--|-|--|-|---⌫|
quantlitans danfanter auint	----|-|---||-------|----|
si a pparure ntli	-|-⌫-------⌫-|-|
etnaitreles conuint	-|-----|--|------|
et li zzfuers	-|-|-|----|
ba ill eli	--⌫---⌫|-|
decotoncar premi ers	-|----|--|-----⌫--|
cuidoit quena itr e de ust et	------|--|--⌫---⌫|--⌫--|-|
retrait s amainarriersa li	------|-⌫|---|------||-|
et liaut res en est i ssus	-|-|---⌫--|-|--|-⌫---|
la fanme dist tu ies	-|----|---|-|--|
pourta ma igresseet de ui sé s	---|-|--⌫------|-|--⌫--⌫---⌫|
pour ce ph ar eses t	---|-|--⌫--⌫-|--⌫|
laut r esfrer esdouu entresist	|---⌫-⌫-|----⌫-|--|-⌫-----|--|
qui en sa mainauoitencor	--|-|-|---|----|----|
de cotonbienloié	-|----|---|----|
zaram a denoncié	----||--------|
donquesiosepen	------|----|-|
en egipteet	-|-----|-|
fu achet és	-|-----⌫--|
deputhiphar princ ede l os t	-|--------|-----⌫|-||--⌫|
de pharaonle	-|------|-|
grant signor	----|-----|
roi e tprinc e	--|-⌫|-----⌫|
detot eegipte	-|---⌫|-----|
desortoutecheualerie	----|----|---------|
et dieusouiosepde mouro it	-|----|-|----|--⌫-----⌫-|
ettrop bienade s liuenoit	-|---|---|---⌫|-|-----|
deschos es don ilsemeslo it	--|----⌫-|--|-|-|-----⌫-|
e tenmaisonsde	-⌫|-|------|-|
habitoitiosepsaig esho ns	-------|----|----⌫-|--⌫-|
quitresbien	--|---|---|
queno issoitenlui	-----⌫-----|-|--|
qu e nostr es	--⌫|-----⌫-|
siresestaueclui	----|--|---|--|
e t ceces chose s limesten	-⌫|-|--|-----⌫|-|---|-|
que nostresire sen feramains	--|-----|----⌫|-|---|----|
seseschosesa	-|--|-----||
ensapuissan ce	-|-|-------⌫-|
io sep lisaigesetlianfe s	--⌫--|-|-----|-|-|----⌫|
qu edieu slesfera	--⌫|----⌫|--|---|
e ti a naman rira	-⌫|-⌫||----⌫---|
afaitsignordes aterr e	|---|-----|-|-⌫|----⌫|
pr euostios ep e t esgarderre	--⌫----|---⌫-|-⌫|---------|
et lamaini e	-|-|-----⌫|
s aigemantet	-⌫-------|-|
bien gouurenoit	---|---------|
et toute chose qu	-|----|----|-|
a uoi tengarde	-⌫---⌫|-|----|
saigeme nt garder iensnifaitparde	-------⌫-|----|-⌫---|||---|----|
cent doublesmult eplie	---|------|----⌫----|
cequi l auoit e nsabaillie	-|-|-⌫|----|-⌫|-|------|
et di eusena	-|--⌫--|-||
beneisteg ipte	------|--⌫---|
pourio sepquiainqui habite	---|--⌫--|--|-----|-----|
lesma iso nsl es cha nsla sustan ce	--|--⌫---⌫-|-⌫-|---⌫-|-|------⌫-|
m ultepli ed ieuse tauance	-⌫-------⌫|-⌫---|-⌫|-----|
ainsisdie us a desmul te pli e	-----|---⌫-|-⌫--|---⌫--⌫---⌫|
liproudonme	-|--------|
a uintque pharao n s	-⌫---|--|------⌫-⌫|
au nefest e a la	|-⌫-|----⌫|-⌫-|
siconmandat outaiosep	-|-------|-⌫--||----|
forssafan mequa n m aisones t	---|-|---⌫-|-|-⌫|-⌫----|--⌫|
p ourfai retoutsauoulante	-⌫--|---⌫-|---|-|-------|
mais li diables	---|-|------|
laroinepour iosepb iaute	-|----|---|----|-⌫----|
ensoncuercon sut	-|--|---|---⌫--|
tel c halour	--|-⌫-----|
q uili es ttou r né	-⌫-|-|--⌫|---⌫-⌫--|
longuemant en son cuerluita	---------|-|--|---|----|
anfantmies n a nmas t	-----|---||-⌫----⌫|
quantparraisonnepout fuir	----|--|-----|-|---|---|
sanmour u a increneeschuir	|-----|-⌫-⌫----|-|------|
pourniantte conbasse dis t	---|----|-|-----|-|---⌫|
ne sa iquexd ieuscont remoi e st	-|--⌫|---|-⌫---|----⌫-|--|-⌫-|
iem eruoilquex	-|-⌫-----|---|
a ucu necho seest se	-⌫---⌫-|---⌫-|--|-|
quia anmertrop b ien resamble	--||----|---|-⌫--|-------|
liconmand emantmon	-|-------⌫----|--|
hesunttropd ur encon tr e mi	-|---|---|-⌫-|-----⌫--⌫|-|
t o ut licon mand eforsquemi	-⌫-⌫-|-|---⌫----⌫|------|-|
poursonuol o ir fairea con plir	---|--|---⌫-⌫-|----|-⌫---⌫---|
certe sue rai eman ttro psu ntdur	-----⌫|--⌫---⌫----⌫|---⌫|--⌫-|--|
ficeluiquetuasorueu	-|----|--|-|-|-|--|
estser i anshebreu s	--|---⌫-⌫--|------⌫|
quel cusa nsonas tud e	---|----⌫---|-|-|-⌫|
d u nserwe lsfaire tonmari	|-⌫|--|--⌫-|----|--|---|
ostelanmourde	---||-----|-|
ton cora i ge	--|----⌫-⌫-|
sepues mescha ns	-|---|------⌫-|
do n tu enraiges	--⌫|-|-------|
gariesero ie	----|----⌫-|
et doutout teleanmourfuiroie	-|--|---|---|-----|------|
puisn ouelle	---|-⌫-----|
aanmouret effo rce	|-----|-|----⌫--|
li die usdanmo urme fai t anmer	-|---⌫-||----⌫-|-|---⌫|----|
et mes cuersle	-|--|----|-|
wel t eschuer	---⌫|------|
ieme conbasaucunefois	-|-|-----|-----|---|
quet ropbonnechose an mer fait	--|-⌫--|----|----|--⌫--|---|
etsileloset ense uma l	-|-|-|--|-|----⌫|--⌫|
fanmede roietqui	----|-|--|-|--|
q uetuains esainsis ton	-⌫-|-|----⌫-|-----|--|
w els estrem ariee	-⌫--|----|-⌫----|
a aut rehomme	|---⌫-|----|
cesteterreout uie snee	----|----|-|-⌫|--⌫|--|
tepuet donnerass esanmi s	-|---|-----|---⌫-|----⌫|
dontuferas	--|-|----|
toustes delis	---|--|----|
ieuouroieque cil fustmors	-|------|--|--|---|---|
nostredieuca rletu é s or	-----|---|--⌫|-|--⌫--⌫|-|
sinem ansera p l us niant	-|-||-|---|-⌫-⌫-|----|
nan mo ur sn emi r a	|--⌫--⌫--⌫|-⌫||-⌫-⌫|
c arl achose	-⌫-|-⌫|----|
queonneuoit	--|-|-|---|
fa it mul tanuislecuer	--⌫-|---⌫|----|-|---|
touteuoie suiuebi enweil	---------⌫|---|--⌫-|---|
maisquenou uoissentplusmieu l	------||-|-------|---|-|--⌫|
ne n e l ainsedenulleanmour	-|-⌫||----|-|----|-----|
queaiie d ist douio uuan cel	--|-|-|-⌫--|--|--⌫----⌫--|
quelp echiea faitciliosep	---|-⌫----||---|--|----|
certes criousecellese roit	-----|------|----|--⌫---|
quicesaages	--|--|----|
nesoufferroit	-|----------|
etsa uert usetse s par aiges	-|-|----⌫-|-|--⌫|---⌫----|
quetoutcelifail leiesaiche	--|---|-|-|----⌫-|-|-----|
e smouuoir mepue t	-⌫-------|-|---⌫|
ce r tes me sp isesten so nc uer	--⌫-⌫--|--⌫|-⌫-|--|-|--⌫|-⌫--|
s acestec h osene mesc onsoil	||----|-⌫-⌫--|-|--|-⌫-----|
mourir mes tu etagrant	-----||--⌫--⌫-||----|
se cesueffre que ienelainse	-|-|------|--|-|-||----|
plus quetygre serai uilainne	---|--|----|----|-------|
quelesr oches	--|--|-⌫----|
qui suellentpesoierles nes	--|-------|------|--|--|
quenefas iequeper is	--|-|--|-|--|---⌫-|
pour coin el esgardene suoi	---|--|-⌫||------||-⌫|--|
me siex de sloiausnanret rai	--⌫|--|--⌫------||-|---⌫--|
pourcoine mand e	---|--|-|----⌫|
messerians	--|------|
quilebousent fors	-||-|------|---|
ocissentmes iexuoians	-------|--|--|-----|
l idieu we illentor	-⌫|---|--⌫-----|-|
millor c hose	-----|-⌫---|
quelo cis seuersluinepo se	--||-⌫---⌫-|---|--|-|--⌫-|
chos edonl i mien soie ntperi	----⌫|--|-⌫|---|----⌫-|---|
c arcrious	-⌫-|-----|
e st mul tmes ma r is	-⌫-|---⌫|--|--⌫-⌫-|
sau oir uo uroit	---⌫--|--⌫----|
la mortd eli	-|---|-⌫|-|
anonchalo irle meterai	|--|-----⌫-|-|------|
etsaians ainsisle	-|-----|-----|-|
leroiaumedemonmari	-|------|-|--|---|
destru i ra iiea insis	------⌫-⌫--⌫|-|-⌫----|
