e nhaute scrieou	-⌫|---|-⌫----|-|
puisquauuelmoi ne	-----|----|--|-|
uolésdemo rer	-----|----⌫--|
ieuos conment axm	-|--|------||-|
et ie uo us sir e cedistxm	-|-|--⌫-|---⌫|-|---|-|
uers sa in gi le	---|--⌫-|--⌫-|
xm ac heminés	-|--⌫-------|
deces iorneesneuou s sa iaconter	-|--|------|-|---⌫|--⌫|------|
saintgileuirent quantio rsot passés	----|---|-----|----|--⌫-|-|------|
m ostier etlesmurscr este lés	-⌫-----|-|--|---|--⌫----⌫---|
les sarra sinsa xm	--|-----⌫---||-|
tornésuousentiesui axxx	------|---|--|-|--||--|
et ilsi firent	-|-|-|-----|
quantil l ot co nm andét	----|-||-|--⌫--⌫-----|
estlu i quarts i demorés	--|--⌫|----|-⌫|-------|
luietson fil e tsauaritlefier	--|-|--|--|-⌫|------|-|---|
et le uie llart	-|-|---⌫----|
quillot desp risonnét	-|--|-|----⌫--------|
pa rmila portesontenla uille	--⌫--|-|----|---|-|-|----|
c hies l ebori oi ssontuenus a loste	-⌫---|-⌫|----⌫--⌫|---|----|||---|
o uill auoient autre foi sse iorne ́t	-⌫|--|------|----|---⌫|--⌫-----⌫-|
cel uisoir ontagrant	---⌫-|---|--||----|
i oie pass ét	-⌫--|----⌫--|
ce luiso irsontrichementherbigiés	--⌫--|--⌫-|---|--------|---------|
hosteslesamo ltxxx	-----|--||--⌫-|--|
matin ale r entaumostie r	----|---⌫-⌫--|-|------⌫|
leu ie llart homeleueretbaptis ier	-|-⌫--⌫----|---|----|-|------⌫--|
au baptisier l a pellent aingelier	-|--------||-⌫------|--------|
zzianti xhonsq uot saingilea	-|-----⌫|---|-⌫|-|---|---||
illanapelle iuliienet xm	--|-|-----|------|-|-|
dontes tesu ouspor dieu le	---|--⌫--|-⌫--|--|---|-|
droi turier	----⌫-----|
etilrespondentdesainquentin	-|-|---------|-|---|------|
e tilres pont	-⌫|-|---⌫---|
dontuous aiie pluschier	---|---|-|-|---|----|
totpor lamor	--|--||---|
uaillantcheual lier	-------|------⌫---|
ill ay y ans	--||-⌫|--|
aconplis etan tiers	-------|-|--⌫----|
quances paisuintsaint	-|-|--|---|---|----|
gile prier	---|----|
etauuec lui sa cortoisemo llier	-|----|--|-|-------|--⌫----|
grosse et ensainte fu preste dacouchier	-----|-|-------|-|-----||--------|
chies zzborioi s	----|-|------⌫|
sefure n therbigiés	-|----⌫-⌫|---------|
laot en fantgifui	-|-|--⌫---|||--|
aubap tis ier	-|---⌫---⌫--|
m onnonli fi setmestr e et o stro ier	-⌫-|--|-|--⌫|-|-----⌫|-|-⌫----⌫--|
p uis uint aupere	-⌫--|---|-|---|
zz m ortel enc onbri er	-|-⌫----|---⌫-----⌫-|
paiensme uinre nt	-----|-|-----⌫-|
monpais escillier	--|---|--------|
iusquamesportespaleteretlanc ier	----||--|-----|------|-|----⌫--|
iss iarmés sorsondestri er	---⌫|-----|--|--|------⌫-|
et auueclui	-|----|--|
nes aiquanscheualliers	-|-⌫-|----|----------|
laforsleprirentl icuu ersl os aingier	-|---|-|------|-⌫|---⌫--|-⌫--⌫------|
neliposse corene	-|-|--|--⌫---|-|
etsonenfant	-|--|-----|
pardieuledr oiturier	--|---|-|--⌫-------|
e n anmen erentl ipai enlosaingier	-⌫|-----⌫----|-⌫|---⌫-|---------|
dequ oila mereen f itzzduel p laing nier	-|--⌫-|-|---|-|-⌫-|-|---|-⌫-----⌫---|
asainquen t i nsen retorna arier	|---|----⌫-⌫-⌫||-|------|----|
m ai siene s ai co nment on t	-⌫--⌫|-|-|-⌫-|--⌫----|--⌫|
es ploitiét	--⌫--------|
si e nn oisse	-|-⌫-|----|
no uellesuo lent ier s	--⌫-----|--⌫----⌫---⌫|
ennondie u	-|--|---⌫|
sire distxm liiant ix	---|---|-|-|----⌫-|
uosp arlés ici	--|-⌫-----|--|
sai chie ́sde uoirc is	---⌫----⌫-|-|---|-⌫-|
uallesestmesf is	-----|--|--|-⌫-|
uous letenistes	---|-|-------|
e nsainsfonsbene is	-⌫|----|---|----⌫-|
p uis aestét	-⌫--||-----|
enes pa ingnenorris	-|--⌫--⌫----|-----|
s i lan amainne ladamredi eu	-⌫||-|------|-|-------⌫-|
ch e ualli er s est p ar uertelleuosdis	--⌫-⌫-----⌫--⌫|--|-⌫-|-----|-|--|--|
l i cuenslententent recesbraslep r ist	-⌫|----||-----|---⌫-|--|---|-|-⌫-⌫--|
et li baisaet la bouc he	-|-|----|-|-|----⌫-|
xm apelleco niapo rrois	-|-----|--⌫|-|--⌫----|
uousestescuens e tie cuens aut resis	---|----|----|-⌫|-|----|---⌫----|
t erretenir	-⌫---|----|
ieuousrequierdo n ésmoiuo stre	-|---|------|--⌫-⌫--|--|--⌫---|
apres mamortseras ienscis	----|-|---|---|-⌫---|--|
et distxmtot auostreplaisir	-|---|-|--||-----|------|
par tel co u antconiapo rrois oir	--|--|--⌫-⌫--|--|-|--⌫----|--|
ielemen r ai	-|-|---⌫-⌫-|
ai n coisa sain	--⌫-⌫---||---|
ueo ir samerequepiecane l e uit	---⌫-|-|---|--|----|-|-⌫|--|
licuenstot auo strep laisir	-|----|--||--⌫---|-⌫-----|
mai squelafoitaie audepartir	---⌫---|-|---|--|-|-------|
etxmlafia nce enf it	-|-|-|---⌫--|-|-⌫-|
aces paro les	|--|----⌫--|
sontdilluequesp artis	---||--------|-⌫----|
xmsepai nn edureme nt	-|-|---⌫--⌫|------⌫-|
iorneesnesai	------|-|--|
contetenir	----|----|
en yy iorsreuintenson	-|-|---|-----|-|--|
auantenuoi ezzmess aig e	----|-----⌫|-|----⌫---⌫|
qu ilreu enoitsai ns etsaus	-|-|---⌫----|---⌫-|-|---|
limessaig i ersa sa	-|-------⌫-⌫--||-|
uo iea queullie	--⌫-|-⌫-------|
asai nquentins an	|---⌫|------||-|
e stuenus aprime	-⌫-|----||----|
dame e nla sa l e	---|-⌫|-|--⌫-⌫|
ouel l e pleureettientla tes te e nc line	-|--⌫-⌫|-----|-|----|-|---⌫-|-⌫--⌫---|
limessaigiersli conmen s a adire	-|----------|-|------⌫-⌫||---|
cisdamredi exquifun e ́sdelauirge	--|-------⌫-|--|-|-⌫-⌫-|-|-|----|
sautd ameeta i tprisee nbaillie	---|-⌫--|-|-⌫-⌫|----|-⌫|------|
depa rxma l a chiere hard ie	-|--⌫|-||-⌫|-----|----⌫-|
quici reuie nt despaingnelagarnie	--|-|-----⌫-||--------|-|-----|
olui amai nnesonfilde c onpaingnie	|--|----⌫--|--|--|-|-⌫---------|
cest iuliien que p iecaneueistes	|--|------|--|-⌫---|-|------|
lad am eloit	-|-⌫--⌫||--|
molt e nfu esi o ie	---|-⌫|-|---⌫-⌫-|
elledesfublesonmantel daumarie	---|-------|--|-----||------|
aume ssaig ier ledoneenbaillie	-|--⌫-----⌫--|-|---|-|------|
ladame ertsaige	-|---|--|----|
desen sgarie	-|---⌫|----|
illena p el leson cha nbrelainelie	--|-|-⌫-⌫--⌫-|--|---⌫-------|---|
gardetost soitcesteu illeio inchie	----|---|---|----|-⌫---|--⌫-----|
etportendue	-|--------|
desoiedau marie	-|---||--⌫----|
etcisr es pontd amea	-|--|-⌫--⌫---|-⌫--||
u ocon mend ie	-⌫|---⌫----⌫-|
entra ensa	----|-|-|
chanb reuo tie	-----⌫-|--⌫--|
moltrichementcestuestue et garnie	---|--------||--|-----|-|-----|
ethenr iescesfis	-|----⌫--|--|--|
de uantlagui e	--⌫---|-|---⌫|
laiantilda me fu molt de	-|-----|--⌫-|-|---|-|
s ensgar nie	-⌫--|---⌫--|
descendue estde l	--------|--|--⌫|
muletdesuri e	----|-|----⌫|
etd e cefist xmcortoisie	-|-⌫|-|---|-|--------|
quidescend idel des tri erdorquenn ie	--|-------⌫|--|---⌫---⌫-||-------⌫-|
safemeacole s il a yy foisbaiss ie	-|---|----|-⌫|||-|---|-----⌫-|
ete lleluicar	-|-⌫--|--|--|
molt fues ioie	---|-|--⌫---|
siredistelleihesus	---|---|---|-----|
lifixmarie	-|--|----|
uosga rdeet aiten sabaillie	--|--⌫--|-|--|-|-|------|
i lli res pontetdiex uous bene ie	-⌫|-|---⌫---|-|---|---|----⌫-|
quantl adameot	----|-⌫|---|-|
s onenf antacolé	-⌫-|---⌫--|-----|
son filenbracequimolt otdebonte	--|--|------|--|---|-|-|----|
ba isiétliaet	--⌫-----|-||-|
biaxfixdistellebien	---|--|---|---|---|
soi ésuoustroués	---⌫--|---|------|
bie n soit dou pe re	---⌫|---|--|--⌫-|
q uiu ousaengen rét	-⌫-|-⌫--||-----⌫---|
hen ri esaxmape llét	---⌫--⌫-||-|---⌫----|
siredistil monf re re	---|---|-|--|-⌫--⌫-|
me monstrés	-|--------|
etdist xmu eé slelaennonde	-|---|-|-⌫---⌫|-|-|-|--|-|
queuostremere	--|-----|---|
aencesb rascoubré	|-|--|-⌫--|------|
q uantil leuoit s iesta	-⌫---|-|-|---|-⌫|--||
i l s a ntracolentparmoltgra ntamistes	-⌫||-⌫---------|--|---|---⌫-|------|
uoitlela dame sadepitiepl oré	---|-|-|---|||-|----|--⌫---|
anfantdistellemo lt uousdeu ésamer	-----|---|---|--⌫-|---|---⌫--|---|
et uostrepereseruiret honor er	-|-----|---|-----|-|-----⌫-|
ler oi defran ceauopo oir g arder	-|-⌫-|-|----⌫-||-|--⌫--|-⌫----|
ca r contrece l le ne puet	--⌫|-----|--⌫-⌫-|-|---|
nus hons a l er	--|---|-⌫-⌫-|
etl ac oronee ssaucier etle uer	-|-⌫|-⌫----|-⌫-------|-|--⌫--|
s ainsisl efaitescon	|-----|-⌫|-----|--|
uous moés conte r	---||---|-----⌫|
na homequ iuou s	||---|--⌫|---⌫|
puissegreuer	-----|-----|
ai celmotm onta xm	|-⌫--|--|-⌫---|-|
damee t ces yy fismonter	---|-⌫|--|-|--|-----|
asainquentinuinren t	|---|------|------⌫|
s ensdemor er	-⌫--|-----⌫-|
augrantm ostier	-|----|-⌫-----|
estxma lés	--|-|-⌫---|
zz paile offri	-|----|----|
d es orl emaistre autel	-⌫--⌫-|-⌫|------|----|
iuliiens aa s ymageourét	-------||-⌫|----|-----|
pu is enmonterent	--⌫-|-|--------|
sus el palaisli sté	--|-|-----|--⌫---|
gransfulaioie se	----|-|-|---|-|
s aichiésde	-⌫-------|-|
harpentbreto nsetuiellentiougler	------|-----⌫-|-|-------|------|
gr ansfulai oie sus el p a laisamont	--⌫--|-|-|-⌫--|--|-|-⌫-⌫---|----|
par milauilleb ausetcaroles font	---⌫-|-|----|-⌫--|-|------|---|
arr aslediton	---⌫-|-|--|-|
illay yfi x	--||-⌫|--⌫|
sigentisnefu	-|-----|-|-|
oi sif utex cesrespons	-|-|-⌫|--|--|------|
quilne lairoitp ortotlorde	-|-|-|------|-⌫-|--||-|-|
quinautueoirxm	-|||--|----|-|
et ces barons	-|--|-----|
lor s e stmontéso luimaintconp aingnons	---⌫|-⌫-|------||--|----|----⌫-------|
asaintquentin enua it	|----|------|-|--⌫-|
a espero ns	|------⌫-|
tan taalétque ala uilles ont	---⌫||----|--||-|----|-⌫--|
il d escendirente l plusm aistredonion	-|-⌫----------|-⌫|---|-⌫-----|-----|
dusqua upalaisn	----|-⌫|-----||
i fon t aresti son	|---⌫|------⌫--|
xm t roua etolui	-|-⌫---|-||--|
maintbaron	----|----|
lisorsxms es cria aton	-|---|-||--⌫---||--|
cis damrediexqui ui nta	--|--------|--|--⌫-||
pais sio n	----⌫---⌫|
gartle marchis xm	---|-|------|-|
partelcouuant	--|--|------|
quimefacepardon	-||-|---|-----|
cequ elifis	-|--⌫|-|--|
uers lui la m es prison	---|--|-|-⌫--⌫-----|
cilme p ar doneian	|-|-|-⌫--⌫---||-|
deuanraicesh on	-------|--|-⌫-|
xmlententsifu tes ces respons	-||-----|-|-|--|--|------|
sirex m si otgr antdesrai son	---|-⌫|-|-|--⌫--|------⌫--|
q ua n tsarrasinmetinrentenprison	-⌫--⌫-⌫|-------|-|------|-|-----|
quantuos donastes mafemmeazzglot on	----|--|-------|-|----||-|----⌫-|
par ce l apostre	--|--⌫|------|
co n quiertelpret	|-⌫|-----|-|---|
anquer ra iconcelse a	-|----⌫--⌫|-----|-||
seulporitant	---|--|----|
que bienuous	--|---|---|
fas pard on	--|----⌫-|
dorenauant loiau m entle uosdon	---------|-----⌫-⌫--|-|--|--|
gran tmerci ssirelisorxm r espont	----⌫|-----⌫|---|-|--|-|-⌫-----|
l aiss onsl emaletaubien noustenons	-⌫----⌫--|-⌫|--|-|-|---|---|-----|
dorenauantcharnelamis sero ns	---------|------|---|----⌫-|
etdistxmuousd i tesquepr eudons	-|---|-|---|-⌫-⌫--|--|--⌫-----|
parpaisfaisantse baisent li baron	--|---|------|-|------|-|----|
maismolt iot	---|---||-|
maluaise aco rdison	-------|---⌫-----|
del sor xm	--|--|-|
encontre xm	-------|-|
carpuis locitsicon dit la chancon	--|---||---|-|--|--|-|------|
g ransfula	-⌫---|-|-|
ioie sus el	---|--|-|
pal ai s uotis	---⌫--⌫|----|
quant acordés cefuli sorx m	----|-------|-|-|-|--|-⌫|
xm apeleiuliienet	-|----|------|-|
alui sen ui enentmolt	|--||-|--⌫----|---|
richement uestis	--------|-----|
xml esuoitgransetgros etfornis	-|-⌫-|---|----|-|---|-|-----|
dist axmso ntceuostreduifil	---||-|--⌫-|-|-----|--|--|
il lire spo nt enmo iefoioil	-|-|--⌫---⌫-|-|--⌫-|--|--|
cheualli ers estcisac e lmentelg r is	--------⌫--|--|--||-⌫-⌫|-----|-⌫-⌫-|
etliautre est ba c hel er etmeschins	-|-|----|--|--⌫-⌫---⌫-|-|-------|
etdistxmciluousuient	-|---|-||-|---|----|
a pl a isir	|--⌫-⌫---|
ielefer aich euallierlematin	-|-|---⌫-|--⌫-------|-|----|
etlid onraigrans hon orsa	-|-|-⌫----|----|---⌫--||
apresma mortsera siens pai s	----|-|---|---|----|---⌫|
et distxm sirea	-|---|-|---||
uostre plaisir	-----|------|
andemantiersqu il	-------------|-|
parol etainsis	-----⌫-|-----|
esuosladamequi	-|--|-|---|--|
chanbreis si	------|--⌫-|
q u ant uoitsa	-⌫-⌫--|---|-|
meretoslisen s	---|--|-|---⌫|
li fre mi st	-|---⌫--⌫-|
dedensson uentre	-----|--|-----|
l ic uerslitress ailli	-⌫|-⌫---|-|-----⌫----|
bienuaingn iésfil le ce	---|------⌫---|---⌫-|-|
distli sorsxm	---|-|---|-|
d elmotqu eellerespondit	-⌫-|--|--⌫|---|--------|
ainsan bruncha etsachie reet	---|--⌫------|-|-|----⌫-|-|
det e rmeor	-|-⌫-⌫--|-|
oiésq uelled it	----|-⌫|---|-⌫-|
pa r ma foit pere mal uais seru ise a ci	--⌫|-|---|---|---⌫---|----⌫--||-|
quantmedonastes	----|-|-------|
xmde pontif	-|-|-----|
bi ensaui és	--⌫-|----⌫--|
auoi emari t	----⌫|----⌫|
d istxmdameorle laissiés ainsi	-⌫--|-|---|-|-|--------|----|
queacorde ́ssonm eset moi et li	--|------⌫-|----⌫-|-|--|-|-|
ellere spont totauostreplaisir	---|--⌫----|--||-----|------|
m ais iaipaorquene	-⌫--||-|---|--|-|
meface pis	-|---|--|
aicet motle conuienta	|---|--|-|-------||
hen rie tfirentbaingni eretnestoier	---⌫---⌫|-----|-------⌫-|-|-------|
aumati net	-|----⌫--|
quantuintalescl arcir	----|---|||----⌫----|
uon t oirmesse li	---⌫|--|----|-|
cheuallieriantil	---------|-----|
et si mena	-|||---|
xm sonionefil	-|--|---|--|
xm larma et	-||---|-|
cheu al l ier lefit	----⌫--⌫-⌫--|-|--|
puis reto rner ente lpalaissignor i	---|----⌫----⌫--|-⌫|-----|------⌫|
gransfulaio iecesaich ié s	----|-|-|--⌫-|-|-----⌫---⌫|
y yi orst ouspla ins seiorne ren tain s is	-⌫|-⌫--|-⌫--|---⌫--|-------⌫---⌫|---⌫-⌫-|
et quan t ce uintalaco rt	-|----⌫|-|---||-|--⌫-|
xm apelle ntxmle har d i	-|------⌫-|-|-|---⌫-⌫|
siredistile ntendés an uersm i	---|---|-|-⌫-------|--⌫---|-⌫|
alersaintiaqu erequerir	---|----|----⌫|-------|
lauoieildoisce	-|---|-|---|-|
saic h ie ́ su osdefi	----⌫-⌫--⌫-⌫|-⌫-|-|-|
e tdistxmorentend és	-⌫|---|-|-|------⌫--|
que yyansaquelauoieilpromis	--|-|--||--|-|---|-|-----|
d istxmf rer ealonsmoietti	-⌫--|-|-⌫---⌫|----|--|-|-|
et distxm par	-|---|-|--|
mafoit ielostri	-|---|-||----|
n oumés leior que	-⌫-----|-|--|--|
nousmourons	---|------|
puissenreuaitli	---||-|-----|-|
sorsen son p ais	---|-|--|-⌫--|
xmremes teto l uisid uifil	-|-----⌫|-||-⌫-|-|-⌫-|--|
etsamollier qui moltpar	-|-|------|--|---|--|
el l e lapell e conia porr oisoir	--⌫-⌫||-----⌫|--|-|----⌫--|--|
x mbiaxfreregran tchoseaués	-⌫|---|----|----⌫|----|----|
moltes tmes peresfel et maltalenti s	---|--⌫|--|----|--|-|----------⌫|
ets azzpoi de	-|||-|--|-|
traisonanli	------|-|-|
seriensli ditesqu e ne	-|----|-|----|--⌫|-|
so itap laisir	--⌫-||-⌫-----|
sans deffie ru ous au ratot	---|------⌫|-⌫--|--⌫-|--|
maldites damexm li	--|----|---|-|-|
il nel feroit por	-|-||-----|--|
elle porlamor dieumercit	---|--||---|---|-----|
quet out euoie uosgardés bien de	--|-⌫---⌫|---|--|------|---|-|
aicetmot lelaissierent	|---|--|-|----------|
tanttrespassa etdes i orset desdis	---|--------|-|--|-⌫--|-|--|--|
litermesuintqueilli	-|-----|---|--|--||
oren t mis	----⌫|--|
donts ereuintxmasainquentin	---|-⌫|-----|-||---|------|
etauuecliy ycheualiersde pri s	-|----|-|-⌫|---------|-|---⌫|
antiaume sli	--------⌫|-|
autreernais	----|-----|
x mmenaga rnie ret sauari	-⌫|---|--⌫----⌫|-|-----|
aumostier uo ntsi ontes cherpe pris	-|------|--⌫-|-|--|--⌫-----|---|
ilsanrepairent	-||-|--------|
quan tliseruiseest di s	----⌫|-|------|--|--⌫|
a udepartir	-⌫|-------|
baissaxm ses fis	-----|-|--|--|
et pui sbaisas a	-|---⌫|----|-⌫|
mollier signori	------|------|
ete l l e l uiplorantdesiex deluis	-|-⌫-⌫-⌫|-⌫-|------|--|--|--|--|
distciluouspui ssegar ir	---|--|---|---⌫--|---⌫-|
qui en lac ro isdain gnaporno us	--|-|-|-⌫--⌫-|----⌫--|--|--⌫-|
il uous deff ende demortetde	-|---|----⌫---|-|---|-|-|
dont labais iexm	---|||----⌫-|-|
l i g entis	-⌫|-⌫----|
par telc ouua nt conquesp uis	--|--|-⌫----⌫-||-----|-⌫--|
enlab ie rremis	-|-|-⌫--⌫--|--|
con uousporroisenla c ha nsonoir	--|---|------|-|-|-⌫--⌫---|--|
bernierscheua uche	-------|-----⌫---|
auueclesorx m	----|-|--|-⌫|
france trespassent etentrentenb erri	-----|----------|-|------|-|-⌫---|
droituerspoitier s	----|---|-------⌫|
aq ueullentlorchemin	--⌫-------|--|-----|
blai ues seiornentmolt	----⌫--|--------|---|
lanu itseio rnent descidusquaumatin	-|--⌫-|----⌫----|----|----|-|----|
sienuinren t	-|-|------⌫|
droi ta bordiaxla cit	----⌫||------|-|--|
landeaqueullentlo r c hemin	----|---------|--⌫|-⌫----|
delors ior n eesne	-|---|---⌫-⌫--|-|
saiconte teni r	--|----|----⌫|
tantcheuauchierentet	---|-------------|-|
parnuit et pardis	--|---|-|--|--|
parl ebel tantetparlel ait	--|-⌫|--|---|-|--|-|-⌫--|
que asaint	--||----|
iaque ui nr ent a	----|--⌫--⌫--||
a u mostier	-⌫|------|
uont quantostelore nt pris	---|----|----|---⌫-|---|
le s oir uuelle rentchascuns z zsiergeespris	-|-⌫--|------⌫---|-------|-⌫|-----|-----|
au martinet	-|-------|
uontleseruiseoir	---|-|------|--|
delmos tierisse ntquant li	--|---⌫---|----⌫-|----|-|
seru iseest	----⌫--|--|
o stelmain iuent zzpe tit	-⌫---|----⌫----|-|--⌫--|
etpuismonterent sorles	-|---|--------|--|--|
cheuaxdepris	-----|-|---|
pannerentmoltformen tdeluenir	--------|---|------⌫|--|----|
enyy i ors reu inr en t	-|-|-⌫--|---⌫---⌫--⌫|
n itrueuentpaslefort	||-------|--|-|---|
r oi loeys	-⌫-|----|
alo on estauueq ues se s amis	|--⌫-|--|-----⌫--|--⌫|---|
icell e n uit iurenta	-----⌫|-⌫--|-----||
saint denis	----|----|
lautre aconpiengn e	|----||---------⌫|
zzcha stelsignor i	-|---⌫---|------⌫|
etland emainalo o ncemestuis	-||---⌫----||--⌫-⌫|-||--|--|
leroitrouerent qui grantioie	-|--|--------|--|----|---|
d anqu i santornen ttot	|----⌫||-|------⌫|--|
droituer ssainquentin	----|---⌫|---|------|
sic omil uinrent es pres so s origni	-|-⌫-|-|------|-|---|--⌫|-----|
en celle place ou	-|----|----|-|
raou s fuoci s	----⌫|-|---⌫|
licuensxmfist zz	-|----|-|---|-|
pesant s o spir	-----|-⌫-⌫---|
li sorxmmo lt	-|--|-|--⌫-|
b iengard esenprist	-⌫--|----⌫||-|----|
il li deman da	-|-|-----⌫-|
porquoisospir a il	--|---|------⌫|-|
neuouschautsire xm	-|---|----|---|-|
li respond i	-|-------⌫|
quemaintenantmetientil au cuersi	--|---------|-|----|-|-|---|-|
sauoircedist li	-----|-|---|-|
uousdir ai	---|---⌫-|
xm lirespond i	-|-|-------⌫|
moiquantil uous	--|----|-|---|
plait ains is	----|----⌫-|
ilme re menbrede raooil le marchis	-|-|--⌫-----|-|-----|-|------|
qui d esor	--|-⌫---|
lui auoitor guel pris	--|----|--⌫---|---|
quayy contesuautlor	-||-|-----|---|--|
terretollir	----|-----|
le leutotdroit	-|--|--|----|
o uie loc is	-⌫|-||--⌫-|
xmle nten tp ar poin	-||-⌫----⌫|-⌫-|--||
anraigeuis	------|--|
chiere pointdesanblantn	-----|----|-|-------||
et neporquant axm respondi	-|---------||-|-------|
pardieuuas s a ln e s tes	--|---|---⌫-⌫-⌫||-⌫-⌫--|
pasbienapris	--|---|----|
quimeremenbreslamort	--|-|--------|-|---|
adont ancon trentpaisansdelpai	----|-----⌫----|------|--|--|
de laco ntesseloront noue ll e di t	-|-|--⌫-----|--|--|----⌫--⌫|--⌫|
et silordient nes tpasa	-|-|--|----||--⌫|--||
sainquen tin	---|----⌫--|
ainsestaancreyyior s a	---|--||----|-|---⌫||
singnorbarondien tlipaisant	------|----|----⌫|-|------|
ic elledame	--⌫---|---|
qui tantalecorsgent	--|---||-|---|---|
xm lefranc	-|-|----|
e lleestaan cre ol isil d uianfant	-⌫--|--||--⌫--||-⌫|--|-⌫-|-----|
l i baro n	-⌫|----⌫|
sisant or nentatant	-||-|-⌫--⌫---|----|
asainq uen tinso nt	|---|-⌫---⌫--|--⌫-|
aprimeson nant	|----|---⌫---|
zz poi maingierentpuismonterentatant	-|--|----------|---|--------|----|
toutd r oit uers ancre seuont	---|-⌫-⌫--|---|----|-|---|
ilc heuauch ant	-|-⌫-------⌫--|
lisorxmsospirem oltsouuant	-|--|-|------|-⌫--|------|
delap aroleotmo l tlecuerdolent	-|-|-⌫----|-|--⌫-⌫|-|---|-----|
abienpe titqueli cuersne li fant	|---|--⌫--|--|-|----|-|-|---|
gue r riotduelcesaichié suousde	---⌫-⌫-|-|---|-|--------⌫|---|-|
porla parolequ ot dexmoit	--|-|-----|-|-|-|-|--|
qu ilimentoit	--⌫|-|------|
de cesamis	-|--|---|
tr osqu azz iauecheuauc hierentai nsis	--⌫---||-|---|-------⌫------|--⌫---|
lor scheuaxb oiuentquiennontgrant	---⌫|-----|-⌫-----|--|--|--|----|
liduels ne potf orsdel uiellartissir	-|----|-|--|-⌫--|--|-------|----|
maxesperisdedensson	--|------|-----|--|
il la sa mainason	--⌫||-|---||--|
estri uiermis	-----⌫---|--|
tou t bellementsonest rierdespendi	---⌫|--------|--|---⌫---|-------|
chiefxm enf eri	----|-|-|-⌫--|
letesli briseetlachar	-|--|-|----|-|-|---|
enmila place lace r uelleenchai	---|-|----|-|--⌫-⌫----|-|---|
berniers ded enslaiguechai	-------|---⌫--||----|---|
engetere ntgar niers etsauar is	-|------⌫-|---⌫----|-|-----⌫-|
lisorxmala f uiesmis	-|--|-||-|-⌫--||--|
etau ueclui	-|--⌫--|--|
antiaumeseternais	--------|-|-----|
quimol tforment l ont blasme ́tetlaidit	--|---⌫|------||--|------⌫-|-|-----|
e tsau arisetgar n i ers li hardis	-⌫|---⌫---|-|---⌫-⌫-⌫--|-|-----|
ant re lors bras ont lecon tesaisi	---⌫-|---|---|--|-|---⌫-|----|
qu ilienporrésuousga ri r	--⌫|-|-|------|---|--⌫--⌫|
e tdistxmsimaistdiexnanni l	-⌫|---|-|-||---|---|-----⌫|
ueés maceruellesor mongi r on c hair	----|-|-------|--|--|--⌫-⌫-|-⌫---|
xmtra itresdiexte puist	-|---⌫----|---|-|----|
fillebi autris	----|--⌫-----|
quantraisonm	-|-|------||
aroies tost ocis	-----|---|---|
et que detoimeg ardasse	-|--|-|--|-|-⌫------|
bien sepencoitquestoitaauenir	---|-|------|-|-----||-----|
quantraison m	-|-|------||
auroies tostocis	------|---|---|
d iexnostre per equ ipardonfitlo ngis	-⌫--|-----|---⌫|--⌫|-----|--|--⌫---|
lasoiemortpardonaalong is	-|---|---|------||----⌫-|
raiso n siconmoiest a uis	-----⌫|-|--|--|--|-⌫--|
li do iie b i enpard onerautres is	-|--⌫|-|-⌫-⌫-|----⌫---|------⌫-|
gelipardoinsdiexait	-|-|-------|---|--|
dem oimercit	-|-⌫-|-----|
aice tmotapellasauari	|---⌫|--|-----|-----|
de sesp ichie salui	-|--|-⌫-----⌫||--|
confes ce f it	-----|-|-⌫-|
cardautr epre strenauoitil	--||----⌫|---⌫---||----|-|
p asloisir	-⌫-|-----|
yyfue llesd erbemaintenantli	-|---⌫---||---|---------|-|
sileresutpor xxx	-|-|----|--|--|
sesyymains	--|-|----|
anuersl e ciel	-----|-⌫|---|
batisacorpe	---|-|----|
etdi eupriamer cit	-|--⌫-|---|---⌫--|
li torblet	-|------|
li noi rcit	-|---⌫---|
este ntetl	----⌫-|-||
arme senissi	---||-|---|
diexl aresoiuee n s o n s ai ntp aradis	---|-⌫|------|-⌫|-⌫-⌫|-⌫--⌫-|-⌫-----|
leprirentgarniers et sauaris	-|------|-------|-|------|
si le leuerents orzz	-|-|-------|-⌫-|-|
droitenu e rsancreontl oruo ieaque u lli	----|---⌫-⌫-|----|--|-⌫-|--⌫-|----⌫-⌫--|
lac ontesse	-|-⌫------|
ertelpalais	--|-|-----|
etauue cli estoientcil yyfis	-|----⌫|-|-------|--|-|--|
laiantild ameaapellerlesprist	-|-----|-⌫--||------|--|----|
cheualierse ste sladamr edieumercit	---------|-⌫---⌫|-|----⌫----|-----|
ilayy mois	-||-|---|
p assésetaconplis	-⌫-----|-|-------|
xmal a saintiaque requ erir	-|--⌫|----|----|----⌫---|
term es que il d oitreuenir	----⌫-|--|-|-⌫--|------|
dient ildameor	----|-|---|-|
auésuousbien	----|---|---|
andemantiersquilparloientainsis	-------------|-|--------|-----|
gardetotzzfe rrétchemi n	----|--|-|--⌫----|-----⌫|
et uoitgarnie ret	-|---|------⌫|-|
lepreutsauari	-|----|-----|
xmaportent quia tortfuoci s	-|-------|--||---|-|---⌫|
laia ntild amelem onstre aces fis	-|--⌫---|-⌫--|-|-⌫-----||--|--|
ie uoisdi stelle yy c heua lliers uenir	-|---|--⌫-|---|-|-⌫----⌫-----|----|
mo ltsanblen testrecorrecie ́setmarris	--⌫-|-------⌫|----|--------⌫-|-|-----|
