#META#TextURI C leomHas	-----|------|-⌫------|
#META#DEAFhttp//www .deaf-p age.de/fr/b ibl/bib99c.php# CleomHas	-----|---|---------⌫-------⌫-----------⌫---------------⌫-------|
#META#TL Cleom.	-----|-|-----|
#ME TA#F EW	---⌫--|-⌫-|
#META#ARLIMAhttps//www.arlima.net/ad/adenet_le_roi.html#cle	-----|-----|----------------------------------------------|
#META#AuthorAd en etleR oi	-----|-----|--⌫--⌫-|-|-⌫-|
# ME T A#AuthorBorn1240	-⌫--⌫-⌫-|---------|---|
#META# AuthorBo rnAmbc	-----|--------⌫----||
#META#AuthorDied1300	-----|---------|---|
#META# AuthorDi edAmbc	-----|--------⌫----||
#META#AuthorFl1	-----|--------|
#META# AuthorF l2	-----|-------⌫-|
#M ET A #uIAFhttps //uiaf.o rg/uiaf/215956894 /	--⌫--⌫-⌫|---|-----⌫--------⌫-----------------⌫|
#META#TextTitleLirouma ns	-----|--------|-|-----⌫-|
deCléomad ès	-|--------⌫--|
Et puisamissoncheualet	-|---||--|--|-------|
Encoste I mur enIangle t.	-|----||--|-||-----⌫-|
Or sachiezbiend euér ité	-|------|---|-⌫|----⌫---|
C onnepo uoitd enul co sté	|-|-|--⌫---|-⌫|--|--⌫---|
Dedenzce praëletentrer	-----|-|-------|-----|
co uuenistpa sser	--⌫------|--⌫---|
Parlachambre o ù celeg isoit	--|-|------|-⌫-|---|-⌫----|
Quid oumont la	--|-⌫-|---|-|
plusb eleestoit.	---|-⌫--|------|
Lespucelesquilaseruoien t	--|------|--|-|--------⌫|
Luisd oupra ël laissié	|--|-⌫-|---⌫--|-------|
Celenuittrestoute n trouuer t	---|---|-------|-⌫-⌫-------⌫|
Poura uoirlair dou	---|-⌫---||--|--|
pr aëluert	--⌫---|---|
fenestrestout	--------|---|
Pourauoir latre ̀s douceodour	---|----|-|---⌫-|----|----|
Quidesfleu rs	--|--|----⌫-|
dou prae ̈luenoit.	--|----⌫-|------|
EtquantCléomadès p erçoit	-|----|----------|-⌫------|
La chambrequi	-|------|--|
ne stoitpas close	|-⌫----|--|----|
Nefus tsiliezpourmoult	-|---⌫|-|---|---|----|
g rantchose	-⌫---|----|
huisqueouuerttrou ua.	---|--|-----|----⌫--|
Moultcoiemen tde densentra.	----|-------⌫|--⌫---|-----|
Lelit à la pucele uoit.	-|--|-|-|-----|----|
Lorsp ensa b ienq uele iestoit	---|-⌫---|-⌫--|-⌫|--||-----|
Car lil it	--|-|-⌫-|
Oùse s damoiseles gi soie nt.	--|--⌫|---------|--⌫----⌫--|
si escouta	-|------|
uraiementlisambla	--------|-|-----|
Quetout dormoientpar	--|---|--------|--|
Au litqu iert	-|--|--⌫|--|
nobles etgens	-----|-|---|
Oùgistlaf illeauroiCarmant	--|---|-|-⌫---|-|--|------|
toutcoie mentpassant.	---|----⌫---|-------|
baisi erl a esue illie.	-----⌫-|||----⌫-----|
Pageu01P144	----------|
Dureme ntfuespaourie	------⌫-|-|--------|
Quant ele lesiex	----|--|--|--|
entrouuri .	---------⌫|
En souspiranta ditAinmi	-|---------||--|----|
Quefu ceor equ i m	--|-|-|--⌫|--⌫||
Q uant Clarmond ineueüa	-⌫---|--------⌫--|---||
Celuikautrefois ot	----||--------|-|
Touttantost l a	---|------|||
reconneü.	---------|
chambrefaisoit sicl er	------|------|-|--⌫-|
Qu ele lepuetbienau iser	-|--|-|---|---|--⌫---|
CarIIchandel esi ardoient	--|-|-------⌫-||-------|
Q uia sse zgrantclarte ́geto ie nt .	-⌫-|-⌫---⌫|----|------⌫|----⌫--⌫--⌫|
Lors ne sot	---|-|--|
ele lequelf aire	--|-----|-⌫---|
Ou dehaut parleroude tai r e.	-|-|---|-----|-|-|---⌫-⌫-|
Un p ou fu s es cuer s effré és	-|-⌫-|-|-⌫-|----⌫|------⌫--|
Pourceques	---|-|--||
en estoit alés	-|-----|----|
Àl autr efois	-||----⌫|---|
s ifai tement	-⌫|---⌫-----|
Cilhom etsi diue r sem ent	--|--|-|-|----⌫-⌫---⌫--|
Ets esespucelesl	-|-⌫|--|------||
Biensetquetelnoisefer oient	---|--|--|--|----|---⌫----|
Conlesorro it detout espars	|-|--|----⌫-|-|----⌫-|---|
Etcilseroit	-|--|-----|
pendusouars	-----|-|--|
Seonlepouoitratrap er	-|-|-|-----|------⌫-|
Decene porr oiteschaper.	-|-|-|----⌫--|--------|
Et c e u o us i st	-|-⌫|-⌫-⌫--⌫-⌫-|
eleà enuis	--|-|----|
Carenc ortenoi tson	--|---⌫-|-----⌫|--|
Amourssique pas ne uousist	-----|-|--|--|-|------|
celuinulma l	----|--|--⌫|
Et moulttr èsuolen t iers	-|----|--⌫--|-----⌫-⌫---|
Quiil estnequ ei l	--|-|--|-|--⌫|-⌫|
Ainsquelano isefu st	---|--|-|--⌫--|--⌫-|
S auro ituolentiersl apensée	-⌫----⌫-|---------|-⌫|------|
Deluis esa u o irl e	-|--|-⌫|--⌫-⌫-⌫-|-⌫|
Pageu 01P145	-----⌫-----|
Etdeceau oiteledroit	-|-|-|--⌫--|--|----|
Sele desiro itàsauoir	|--|------⌫-|-|-----|
S ec il la	-⌫|-⌫-|-|
uouloitdece uoi r	------|----⌫---⌫|
ertn edequel	--|-⌫|-|---|
N e q u elch ose il	-⌫|-⌫-⌫-|--⌫--|-|
ueno it làq ue rre.	----⌫-|--|-⌫--⌫---|
Etpourle sauo ir sap ens a	-|---|-|----⌫-||--⌫---⌫|
Quetrèsbon sem bl an t	--|----|--|---⌫--⌫--⌫|
Pourc eq ue	---|-⌫|-⌫-|
pl usseu ̈rement	--⌫-|---⌫------|
Li dietoutsonerrem en t.	-|--|---|--|-----⌫--⌫-|
ditn e n ate ndiplu s	--|-⌫||---⌫--|---⌫|
QueC.milefoisbienue nus	--|-|---|---|---|--⌫--|
S oi tiletqui lnes es mai t	-⌫--⌫|-|-|-|-⌫|-||--⌫---⌫|
Cardes a uenue estmoult l i e.	--|-|-⌫|----|--|----|-⌫-⌫-|
Qua nt Cléomadèsle ntendi	---⌫-|----------||-⌫-----|
Belefait il uostr emerci	---|---|-|-----⌫|----|
Quereco nnoistreme d aigniez.	--|----⌫-------|-|-⌫-------|
Onquesmescuersnef u	-----|--|----|-|-⌫|
Que iesu idec e	--|-|--⌫|-|-⌫|
queuous u oi.	--|---|-⌫--|
Dou t outàuous	--|-⌫--|-|---|
seruir motroi.	-----||-----|
Biau sireetie	---|---|-|-|
uous enmerci.	---|-|-----|
Maislautreiour quan tfu stesci	---||----|---|----⌫|--⌫---|-|
Netrouu aipas	-|-----⌫-|--|
en uer ité	-|---⌫---|
Q ueuou s fiexle	-⌫-|---⌫|---|-|
roiBalcabé	--|-------|
F uss iez senfumescuers	-⌫---⌫--||-|-|--|----|
Ken menç ongefustes trouuez.	|-|-----⌫---|-----|-------|
Ornestraisons que mais uouscroie	-||--|------|--|---|---|----|
Senuous net ruisplusdroi teu oie	|-|---|-|-⌫---|---|----⌫-|-⌫--|
nefisàla utrefois.	-|--|-||-⌫---|----|
Bel editilcertescestdrois	---⌫|--|-|-----||--|----|
Ets e ie m aisde	-|-⌫|-|-⌫--|-|
riensu ousmen t	----|-⌫--|---⌫|
Iànaiei e	--||--|-⌫|
a me ndement.	-⌫--⌫-------|
Dont me dites bia usamis	---|-|----|---⌫-|---|
Parf ine amour	--|-⌫--|----|
Ieuouspriq ue	-|---|--|-⌫-|
n e lmecelé s.	-⌫-⌫|-|-----⌫-|
Pa geu0 1P146	--⌫----⌫----|
Cléomad è s sui apelez	--------⌫--⌫|--|-----|
Damois elenen doutés pas.	------⌫--||-|------|---|
Fi exleroisui	--⌫-|-|--|--|
Marcadigas	---------|
Quimoult est roisdegrantua lour.	--|----|--|---|-|----|--⌫----|
DEspaigne t ienttoutel onno ur	|-------|-⌫---|----||----⌫-|
Etla te rr eetlaseignorie .	-|-|--⌫--⌫|-|-|---------⌫|
LorsfuC larmondine si	---|-|-⌫---------|-|
QuantCléo madèsotnommer	----|-----⌫-----|-|-----|
K àpainepote le parler	|-|----|--|-⌫-|-----|
Carparoïrdi rel amo i t	--|--|---|--⌫-||---⌫-⌫|
Pour ceq uechascu n direooit	---|-|-⌫-|------⌫|---|---|
Que debon téetdeualour	--|-|---⌫--|-|-|-----|
D esensde largeceetd	-⌫|---|-|------|-||
p roueceetde	-⌫-----|-|-|
Auoit toutl e mondepassé.	----|---|-⌫|----|------|
EtlorsaClarmondi neenqu is	-|---||---------⌫-|----⌫-|
A lui po urquoiBleo patris	|--|--⌫-----|----⌫-----|
Dist lau treiou rquil ert	---||--⌫--|---⌫|-|-|--|
Et pourquoises nonsfucel és	-|-------|--|---|-|---⌫--|
Quedèsadonc ne senomma.	--|---|----|-|-|-----|
Toutenqu is t ett outd emanda	---|----⌫--⌫|-|-⌫--|-⌫-----|
—Cequerai so nsert d e	|-|--|---⌫--⌫-|--|-⌫|
Ca rmoul totenli de sau oir	--⌫|----⌫|-|-|-|-|---⌫--|
Et detr èsbonentendement .	-|-|--⌫--|--|-----------⌫|
Etcilsi auiséement	-|--|-|----------|
Lirespondià chascunmot	-|-------|-|------|--|
Quenus hommiexfairene pot.	--|--|--|---|----|-|---|
De t out li	-|-⌫--|-|
rendisiraison	----|-|-----|
Quel eni ent ent sebien	-|--⌫|||---⌫--|-|---|
Et que ilCléomad èssoit	-|--|-|--------⌫--|---|
uraieme ntcroit.	-------⌫-|-----|
Foli o19 r	----⌫---⌫|
Carilnelia	--|-|-|-||
rie ncelé	---⌫|----|
Detout liadit uerité.	-|---|-||--|-------|
dist C larm o nd ine lues	---|-⌫----⌫-⌫--⌫--|---|
Pageu01P147	----------|
Seg e re t elekà	-||-⌫-|-⌫--||-|
S iremo ulttrèslieense roie	-⌫--|--⌫--|----|--|-|--⌫---|
Seiecertai nementsauoie	-|-|------⌫-----|-----|
Que uousCl éomadès fuss iez.	--|---|--⌫--------|----⌫---|
Onques mes	-----|--|
cuersnefu siliez	----|-|-|-|---|
Que ceq ue ie peüss efaire	--|-|-⌫-|-|------⌫|----|
P ar quoii euous peüs se plaire .	-⌫-|---|-⌫|---|-----⌫-|------⌫|
Sauue monnou rpour	----||-----⌫|---|
u ousferoie	-⌫--|-----|
Tr estout ce	--⌫-----|-|
Da moiseleuostrem erci.	--⌫------|-----|-⌫----|
uenist esuo us ci	------⌫-|--⌫-|-|
Fait lapucele . Biaus	---|-|------⌫|----|
Ieuouspriqueuoir smen	-|---|--|--|----⌫||-|
s oit dis.	-⌫--|---|
Damoiseleiel uousdirai	--------|--|---|----|
N eriensne	-⌫|----|-|
u o u sencelerai	-⌫-⌫-⌫|-|------|
nequi er neie	-|---⌫-|-|-|
uousaimquenefaz moi.	---|--|--|-|--|---|
Et lors li a	-|---|-||
doutoutco nté	--|---|--⌫---|
Cléomad e ̀slauerité.	--------⌫-⌫-|-|-------|
Commen t erta lezetu enus	------⌫|--|-⌫--|-|-⌫---|
cheualet debenus	-------|-|----|
Auplusbassetquil	-|---|-----|-|-|
onquesp ot	-----|-⌫-|
Li dist pou rce quepasneuot	-|---|---⌫|-|--|--|-|--|
Q uele sd am oiseles	-⌫-|--⌫|-⌫--⌫------|
lo ïssent.	|-⌫-------|
Miexlip lotque elesdormissen t.	---|-|-⌫--|--|---|---------⌫-|
Cléomad èstoutensement	--------⌫--|---|-------|
Lirec ordeque lipresent	-|---⌫---|--|-|------|
Fu r ent sonperepresenté.	--⌫-⌫--|--|---|---------|
To utlafaireliacon té	--⌫-||-----|-||---⌫--|
De stroisrois etqu i	--⌫|----|---|-|--⌫|
il estoien t	-|-------⌫|
Pageu01P1 48	---------⌫-|
Qu i sestroisse re urs dema ndoient .	--⌫|--|----|--⌫--⌫--|----⌫-------⌫|
Neuou sferailo nc	-|---⌫|----|--⌫-|
Dece.Car sachiezuraiement	-|--|--|------|--------|
To ut lirecordala ̀endroit	--⌫-|-|------|--⌫|------|
Lachoseains icommeeleal oit	-|----|----⌫|----|--|--⌫--|
Etli distquetoutlila is sa	-|-|---|--|---|-|--⌫--⌫-|
Soncue rquant separti	--|---⌫|----|-|----|
Tantdistque	---|---|--|
e l eentend ibien	-⌫-⌫|------⌫|---|
amoitsortouterien	----|--|----|---|
lamoi tpasmains.	|----⌫|--|-----|
Cléomadès àioint e s	----------|-|-----⌫-⌫|
Lidistque toutsed onneà li.	-|---|--|---|-|-⌫---|-|--|
eleetieaus si	--|-|-|---⌫-|
Motroi à uo streuolenté	|----|-|--⌫---|-------|
Sauue honnouret	----|------|-|
uirginité	---------|
Carmiexuorroieest retuée	--|---|------|---⌫-|----|
Qu estredou corsdesho nner ée .	-|----|--|---|-----⌫----⌫---⌫|
Bien sai se mes per ess auo it	---|--|-|--|---⌫-|-⌫---⌫-|
Queuousfussiezic i endroit	--|---|------|--⌫|------|
Qu iluo usuorroitm oulthonnorer.	-|-|--⌫-|------|-⌫---|--------|
Ca rso uuentaoy parler	--⌫|--⌫----||-|-----|
Dou roidE spaigneuostre	--|--||-⌫------|-----|
uo stretrèsbonne mere	--⌫---|----|----|---|
Parler a oy	-----||-|
moul tsou uent	----⌫|---⌫---|
Dele urn obleco nten ement	-|--⌫-|-⌫---|--⌫----⌫----|
Etdelauostregrantuai llance.	-|-|-|-----|----|---⌫------|
M aisie su iIpou en doutance	-⌫--|-|--⌫||--|-|-------|
Quenenousdeüst destorber	--|-|---|-----|--------|
ilmeueutmarier	-|-|---|-----|
Enunlieudi uers	-|-|---|--⌫---|
et sauuage	-|------|
Alainsnéfill leroi	||------|---|-|--|
dAr c age.	|--⌫-⌫---|
Etpuis quil m i aotroiie	-|----⌫-|-||||------|
Sachiezqu ilne	------|-|-|-|
f ausseroitm ie	-⌫--------|-⌫-|
Sacou uen a nce pou rnul	-|---⌫---⌫-⌫--|---⌫|--|
Pageu01P14 9	----------⌫|
Carloiausestet de	--|-----|--|-|-|
f ranccuer	-⌫---|---|
quime faitcre mir.	--|-|---|---⌫---|
Auoecuousuue ilu iureetmorir .	----|---|---⌫-|-⌫---|-|-----⌫|
selonccesta f a ire	-----|---|-⌫-⌫-⌫--|
Quelchose nous	---|----|---|
po oume sfaire .	--⌫----⌫|-----⌫|
B ele fa it iltous au isez	-⌫--|--⌫-|-|---|--⌫---|
Suidece maisqu es oit uos grez	--|-|-|---|--⌫|-⌫--|--|---|
Queauoec mo iuen irueuill iez.	--|----|--⌫|---⌫-|------⌫---|
Deceest moultb ienconseilliez	-|-|--|----|-⌫--|----------|
M escuersf aitel e	-⌫-|----|-⌫--|--⌫|
s eseüsse	-⌫|------|
Com ment ouousalerp eüsse.	---⌫---||---|---|-⌫------|
Dist Cléomade ̀ sNen douté s	---|---------⌫-⌫||-|------⌫|
Car so moiuenirenuo ulés	--|||--|----|-|--⌫----|
Moulttrès bien	----|----|---|
uousenporterai	---|---------|
C estla cho sedont	|--|-|---⌫-|---|
mainsmesmai.	----||-----|
La raison lia deuise ́e	-|-----|-||------⌫-|
Comme n teleen seroit	-----⌫-⌫|--|-|-----|
Auoe cques l u iseur soncheua l	----⌫----|-⌫-⌫|---|--|-----⌫|
Sanznulperillet sanz	---|--|-----|-|---|
Quiauenirpuist	--|-----|----|
e nla uoie.	-⌫|-|----|
E t Clarmond ineotmoultgrantioie	-⌫|--------⌫--|-|----|----|---|
Decequepor terl en	-|-|--|---⌫--||-|
Caramoursainsi leuo u loit	--|-----|----|-|--⌫-⌫---|
lorauoitfa it commant	--|----|--⌫-|------|
Amoursquilfussenturai amant	-----|-|-|------|---|----|
Etciscommans	-|--|------|
Queni p orroitamende r nus .	--|||-⌫-----|------⌫|---⌫|
D unesetd autresdit	|---|-||-----|--|
Ta nt q uelapucel e	--⌫-|-⌫-|-|-----⌫|
A lui queolui sen iro it	|--|--||--||-|---⌫-|
E tdo utoutà luisedonnoit.	-⌫|--⌫|---|-|--|-|-------|
Biausirefa it eleoralez	---|---|--⌫-|--|-|---|
Pageu01P150	----------|
Ence praël et m atendez	-|-|-----|-||------|
Tantque ie uousr a pel e ra i.	---|--|-|---|-⌫-⌫---⌫-⌫--⌫-|
Mespuceles esueillerai	--|------|----------|
Sansuousuueilà elesparler.	---|---|----|-|---|------|
Moultuousai oyregreter	----|---|-|-|-------|
form entprisier.	----⌫--|-------|
Mai s nesauoient	---⌫|-|-------|
quec uidier	--|-⌫-----|
mai sformentuousloo ient	---⌫|------|---|---⌫---|
uousauoient.	---|-------|
Ma ismoultde leur gr aceperdistes	--⌫-|----|-|---|--⌫--|--------|
Quant uous	----|---|
entendant no usf eïste s	--------|--⌫-|-⌫------⌫|
Chosequin ert pas	----|--||--|--|
Se n fustesmo ult d	|-⌫|-----|--⌫--||
eles blasmés	---|-------|
Etàceauoit bienra ison	-|-|-|----|---|--⌫---|
Carnipouo ients emal n on	--|||----⌫---|-⌫|--|-⌫-|
N een ten dren eperceuoir	-⌫|--⌫---⌫--|-⌫|--------|
Etcep ou ezu ousbien sauoir.	-|-|-⌫--⌫-|-⌫--|---|------|
Biau sire pourmonneursauuer	---|---|---||-----|-----|
Lorcuitce ste chosemoustrer	--|---|--⌫--|----|-------|
Sià poi n tces achiez pouruoi r	-|-|---⌫-⌫|-|-⌫-----|---|---⌫|
Que uou sleporr ezbien	--|---⌫|-|----⌫-|---|
Bien saique qu anteless auront	---|--|--|--⌫--|---|-⌫-----|
uostre no n grantioieaueront	-----|--⌫|----|---|------|
Car de uoussach iezuraiement	--|-|---|----⌫--|--------|
Ontoï p arlermoultsouuen t	--|--|-⌫----|----|------⌫|
Etsou haidié on t mainte s fois	-|---⌫------|--⌫|------⌫|---|
toute s troi s	-----⌫|----⌫|
Queie fusse à uousmari ée .	--|-|----|-|---|----⌫---⌫|
Plusne porroi e estrehonnerée	---|-|------⌫|----|--------|
Ce me disoien tto ut	-|-|-------⌫|--⌫-|
Kest refe mmeC léomadès	|---⌫-|--⌫--|-⌫---------|
Carmoult formentes t r enommée	--|----|------|--⌫|-⌫-------|
uoproueceenma intecontrée.	-|------|-|--⌫---|--------|
DistCléomade ̀ s Douceam ie	---|---------⌫-⌫|----|--⌫-|
Pageu01P151	----------|
C eesttoutparleu rcourtoisie	-⌫|--|---|--|---⌫|---------|
Queele sdient quesui	--|---⌫|----|--|--|
Queuou sicimer ec ordés.	--|---⌫|--|-|-⌫--⌫------|
Mais setous	---|-|---|
s eusualoieautan t	-⌫--|-----|-----⌫|
Quetoutlibon qu ison tuiuant	--|---|-|--|--⌫|---⌫|-----|
qu anques il on t	--⌫-----|-|--⌫|
ila entoutlemont	-||-|---|-|---|
Et fussesir edeseurto us	-|----|---⌫|-----|--⌫-|
Deparadisdeç àd eso us	-|------|-|--⌫-|-⌫---⌫-|
Et deplusseestrepouoi t	-|-|---|-|----|-----⌫|
Sachiezq u e	------|-⌫-⌫|
samblermedeuroit	------|-|------|
Que iefu ssebienemploi ez	--|-|--⌫--|---|------⌫-|
auoirmedaigniez.	----|-|--------|
Or u ueilleDiex queàpl aisir	-|-⌫-----|---|--|-|--⌫----|
Puiss e uouseta mours	-----⌫|---|-|-⌫----|
iourstantcom uiuer ai	----|---|--|-----⌫-|
Et amo ursetuousseruirai.	-|---⌫--|-|---|--------|
De c esuiiecertainset fi s	-|-⌫|--|-|-------|-|--⌫|
K ainsi sera queie	|----|---|--|-|
Car amou rslem	--|----⌫-|-||
acommande ́	|--------⌫|
moultli sai bongré.	----|-|--|--|----|
E t Clarmo ndinelenmercie	-⌫|------⌫----||-|-----|
qu el emou ltestlie	-|--⌫|---⌫-|--|--|
Kamoursli ace	|-----|-||-|
co mmantfa it	--⌫----|--⌫-|
Tel qu elel	--|-|--||
aàceatrait	|-|-|-----|
cuerenamoult loé	---|-||----|---|
Amo ursquant à	---⌫--|----|-|
celamené.	-|||-----|
DistCléomadèsIei rai	---|----------|-|-⌫--|
En c e prae ̈l eti	-|-⌫|----⌫-|-||
Sa nzplu stant queiluou s	--⌫-|---⌫|---|--|-|---⌫|
Carpoint nem	--|----|-||
Puisq ueiluous plaistque làsoie.	-----⌫-|-|---|-----|--|--|----|
faitesceuousproie.	-----|-|---|-----|
Seurtoute autre riens aide s ir	---|----|----|----|-|--⌫-⌫-|
Pageu01P152	----------|
Q uefair epuisseuopla i s ir	-⌫-|----⌫|-----|-|---⌫-⌫-⌫-|
Cesac hiezu o usb ien.	-|---⌫---|-⌫-⌫-|-⌫---|
E ntresait	-⌫-------|
Faitesbelement et àtrait	-----|-------|-|-|----|
Sanseffroietsansesmaiance	---|-----|-|---|--------|
Deriens nesoiezen doutance	-|----|-|----|-|-------|
Ca rainsque	--⌫|---|--|
i ldo ieaiourner	-⌫|--⌫-|-------|
Porroiton moulttrèsloing aler.	------|-|----|----|----|----|
Atantrentr aenzoupraël	----|-----⌫|--|-|-----|
Où f a isoi tm o ul tnoble et moultbel	--|-⌫-⌫----⌫|-⌫-⌫--⌫|----|-|----|--|
ioians car	-----|--|
moult lipl ot	----|-|--⌫-|
QueClarmondinet rouu éeot	--|----------|-⌫----⌫--|-|
Lieai nsico mmelisa mbla	--|--⌫--|--⌫--|-|--⌫---|
reuenu sertlà.	------⌫|--|---|
se scuers aaisiez.	--⌫|----|-------|
Agenousena gracii é	|-----|-||------⌫-|
Ses Diex et	--|---|-|
m enu et s ouuent.	-⌫--|-|-⌫------|
Et Clar mon dinea pertement	-|----⌫---⌫---|-⌫--------|
A sespucele s	|--|------⌫|
es ueill i es	--⌫-----⌫-⌫-|
Qui m oultses ont esmerueillies	--|-⌫---|-|-⌫--|------------|
Queelelorueutàt e leheure.	--|--|--|---|-|-⌫-⌫-|-----|
Leuéess ans longuede meure	------|-⌫--|-----|--⌫----|
Ses ontetdeuantli uenu es	-|-⌫--|-|-----|-|----⌫-|
Etquanteleles a u eües	-|----|--|--||-⌫----|
Sileurdi st	-|---|--⌫-|
moult tre ̀ssagement	----|---⌫-|-------|
Età p ointet courto isemen t	-|-|-⌫---|-|------⌫------⌫|
Comm entCle ́o mad èsestoi t	----⌫--|---⌫--⌫---⌫--|-----⌫|
i lqueroit.	-⌫|-------|
Sachiez fait elecestcillà	------|---|--||--|--|--|
doucemen tsacointa	--------⌫||------|
Lautrierànousence pra ël.	|------|-|---|-|-|---⌫---|
Plu scourt oisdelui ne plus bel	---⌫|-----⌫--|-|--|-|---|--|
N equierenuscarc	-⌫|-----|--|--||
Onnel auroit	-|-||-----|
iamaistrouué.	-----|-------|
Pageu 01P153	-----⌫-----|
Lorsleuratout cere c ord é	---|---||---|-|--⌫-⌫---⌫-|
auoit etc onté	----|-|-⌫----|
Cléo madè se t l oc h ois on	-----⌫-----⌫|-⌫||--⌫-⌫---⌫-|
Douc heualete tlaraison	--|-⌫------|-⌫|-|-----|
Pou r quoi ain s isen ert	---⌫|---|---⌫-⌫||-|--|
Et pour quoi	-|---|---|
làe r t retornez.	--|-⌫-⌫|--------|
Depoint enpointt out	-|----|-|----|-⌫--|
leu rconta	---⌫|----|
Lachose ainsicomm e el eua.	-|----|----|----⌫|--⌫|--|
Tantle ur dist queles le cre ́irent	---|--⌫-|---|-|---|-|---⌫-----|
E tka ̀s o nuoul oir	-⌫||-⌫|-⌫-⌫|----⌫--|
sassentiren t	|----------⌫|
E tdesnouueles sontsilies	-⌫|--|-------|---|-|---|
Quetoutesensontesbaudies.	--|-----|-|---|---------|
Hamada me dist Li adès	-|-|--⌫-|---|--⌫----|
DitesuousqueCléoma dès	----|---|--|-------⌫---|
Li biausli pr euslialos e ́s	-|----|-|--⌫--|-|----⌫-⌫-|
Quitou s lesautresapassés	--|---⌫|--|-----||------|
D e prouecee tdehardem en t	-⌫|------|-⌫|-|------⌫--⌫|
Etdet ous biensentiere ment	-|-|-⌫--|----|-------⌫---|
Estcilq ui l	--|--|-⌫-||
autre iourfu ci	----|---|-|-|
ue rtéle uousdi	--⌫---|-|---|-|
Cartou t certain e mentlesai	--|---⌫|-------⌫-⌫---|-|--|
Carmoultsagementenq uislai	--|----|-------|---⌫--||-|
ià neuousdoutés.	--|-|---|-------|
Douce d amedont uoushaste ́ s	----|-⌫--|---|---|-----⌫-⌫|
