formElnondelperee t	---|-|--|--|---|-⌫|
apréscequ esesper es est	-----|-|--⌫|--|---⌫-|--|
debailo uqueilestdonéz e nad opti o n	-|---|-⌫|--|-|--|-----|-⌫|--⌫----⌫-⌫|
il s era sozm i s a la	-|-⌫--|----⌫-⌫||-|
poesté so n	------|--⌫|
perequi esthorsdebailoua cele	---|--|--|---|-|---|-||---|
a ieladoptif .	-⌫--|------||
Etsicouientsauoi r	-|-|------|-----⌫|
que li enfantnaturel neli	--|-|-----|------|-|-|
a dopti sn e puentennulemani erecontra ind re	-⌫-----⌫|-⌫|----|-|---|----⌫--|------⌫---⌫-|
l orpere de m etrelez	-⌫-|---|-|-⌫---|--|
horsdes a poesté.	---|-|-⌫|------||
Cisttitre s est	---|-----⌫|--|
d ecels quisunte ngarde	-⌫|---|--|---|-⌫|----|
o uenmainsdepr ocure or.	-⌫|-|----|-|--⌫-----⌫-||
Oruenonzàuneautrediuisionde spersonez	-|-----|-|--|----|-------|--⌫|-------|
cardespersonez qui nes untpaz	--|--|-------|--|-|-⌫--|--|
e nautr uipoesté	-⌫|----⌫-|------|
lesunezsunt e ngardeouen a u tru iprocure mentlez	--|---|---|-⌫|----|-|-|-⌫-⌫---⌫|-------⌫---|--|
a utresne s un t n e en l	-⌫----|-|-⌫--⌫|-⌫|-||
neenlautre	-|-||----|
uoionsdontd ecele z quisunten garde eu en	-----|---|-⌫|----⌫|--|---|-|----|-|-|
p r ocu rementcarpar c e	-⌫-⌫---⌫-----|--|--|-⌫|
entendronsnozdesautrespersonez qu i ne su nt	---------|--|--|-----|-------|--⌫|-|--⌫-|
ne enlun n e	-|-||-|-⌫|
enl autre.	-||----||
Oruoionsd ont premi e rement decelz	-|-----|-⌫--|-----⌫-⌫-----|-|---|
quis unten g arde .	--|-⌫--|-|-⌫---||
Gardesiconme Seruiusdi stestdroitureetpoeste ́z qui	----|-|----|------|--⌫-|--|-------|-|------⌫-|--|
estd on eeete nu oieoct roiee parledroitciteain sor	--|-⌫--⌫-|-|-⌫--⌫--|---⌫----|--|-|----|------|--|
franzhomezet à desfe ndre	----|----|-|-|-----⌫---|
que ilnesepuetdesfandreporceq ueilest	--|-|-|-|---|--------|----|-⌫-|-|--|
deden zaa ge .	-----⌫|--⌫-||
Ligardeursuntcilquiontcelef orceetcele	-|------|---|--|--|--|---|-⌫---|-|---|
poesté par	------|--|
coiilsuntainsiz	--|-|---|-----|
apeléets i s unt	-----|-|-⌫|-⌫--|
noméautressicon me d esfendeu r.	----|-------|---⌫-|-⌫--------⌫||
Ilestdontotroiéa speresqueil doignenten	-|--|---|------|-⌫|----|--|-|-------|-|
l eurtestament desfe ndeuràlor	-⌫--|--------|-----⌫----|-|--|
enfanzquisunt dedenzaagequeilont	-----|--|---|-----|---|--|-|--|
enleurpoesté	-|---|------|
Et ceesttenableen	-|-|--|------|-|
tou temeniere au	---⌫-|------|-|
filet àla	--|-|-|-|
fillequisuntenbail	----|--|---|-|---|
lorpere e til	--|---|-⌫|-|
puetens ontestamen tdone rdes fendeuràses neueuzet	---|-|-⌫-|--------⌫|----⌫|---⌫------|-|--|-----|-|
àse sniecesetse	-|--⌫|-----|-|-|
ainsi zest	-----⌫|--|
que ildoi ent	--|-|---⌫--|
doitaprés samortreuenir	---|-----|-|---|------|
en l apoeste ́ lorper e	-|-⌫|------⌫|--|---⌫|
Setezfilzest do ntentapoesté	-|--|---|--|--⌫-|-|-|------|
eltenzd eta morttune p orraspasen	-|---|-⌫|-|---|-|-|-⌫----|--|-|
tontestament don erdesfendeuràtonneueu	--|--------|---⌫-|---------|-|--|----|
de par luiiasoitcequeil	-|--|--|-|---|-|--|-|
soit ent a	---|-|-⌫|
poestécarquanttuserazmors	------|--|----|-|----|---|
il chai rra enla poes té	-|----⌫--|-|-|----⌫--|
Por cequecilqui	--|-|--|--|--|
sunt encoreà naistre	---|-----|-|------|
sunten plusorsaut res	---|-|------|---⌫--|
casautresico nmec ilquisunt ia né ilnoz	--|------|--⌫--|-⌫-|--|---|-|--|-|--|
ples t enc e st	----⌫|-|-⌫-⌫-|
ca z que desfendeur	--⌫|--|---------|
p uissent estredonné entes t amentc exquisunte ncoreel	-⌫------|----|-----|-|---⌫-⌫----|-⌫-|--|---|-⌫----|-|
uentre àl amereautresibienconm e	-----|-|-⌫|---|------|---|----⌫|
celzquisun tiané se il sunttelque	---|--|---⌫|-|--|-|-|---|--|--|
ilfuss entenla po estéasperezseilnasqu issent	-|----⌫--|-|-|--⌫----|-|----|-|-|-----⌫-----|
enloru iuant.	-|--|-⌫----||
Etsel iperes	-|-|-⌫|----|
donneenson	----|-|--|
testamentdes fendeuràson filq uiest horsdesa	--------|---⌫------|-|--|--|-⌫-|--|---|-|-|
poestéildoitestrec onfremézpar lasentenceaupreuost	------|-|---|----|-⌫--------|--|-|-------|-|------|
enq uest e.	---⌫----⌫||
Li quelpuentestredesfen deur.	-|---|----|----|------⌫---||
Cil quiesthorsdel bail nepu et paz	--|--|--|---|--|---|-|--⌫-|--|
tantsolementestrefaizdesfende rezm aisci lq ui	---|-------|----|---|--------⌫--|-⌫--|--⌫|-⌫-|
estenl apoe sté sonpere	--|-|-⌫|---⌫---|--|---|
quise mu er t	--|-|--⌫--⌫|
puetpardr oit	---|--|--⌫--|
el testamentsonseigno r	-|--------|--|------⌫|
estr efai zdesfe nderezàs ezenfanz si que fr anchiseli	----⌫|---⌫|-----⌫-----|-|-⌫-|-----|-|--|--⌫------|-|
soitdonee.	---|----||
Etl ondoi t sau oir quese il lefet	-||-|---⌫|---⌫--|--|-|-|-|--|
desfendeur a ̀sez enfanz sanz franchir	---------|-⌫|--|-----|---|-------|
le ilaper t	-|-|----⌫|
quedroitefranchise liapartientparceq ueila	--|-----|--------|-|--------|----|-⌫-|-||
lagar de desenfanz sonseignormaizseil	-|---⌫-|--|-----|--|------|---|-|-|
l ef etlorsd esfe ndeurparerre urautresi	-⌫|-⌫-|---|-⌫----⌫----|--|----⌫-|------|
conmese ilfufranz ilconu endr a	----|-|-|-|----|-|----⌫----⌫|
d ire autre ch ose.	-⌫--|----|--⌫--||
Autre sA utr u isersestpor noiantfaiz	-----⌫|-⌫---⌫-⌫|---|--|--|-----|---|
dezfanderesen testamentmaisil pu e tissiainsi e stre faiz	----------|-|--------|---|-|--⌫-⌫|---|----|-⌫---|---|
qua nts ezsirez l aur afra n chietcest econdicio nsest	---⌫-|-⌫-|----||---⌫|---⌫-⌫--|-|----⌫|--------⌫-|--|
porno iant	--|--⌫---|
mise quant aucunz	---|----|-----|
sonpropr ese r f	--|-----⌫|--⌫-⌫|
desfendeur àsez enfa nz.	---------|-|--|----⌫-||
Secilquiest forsenés	-|--|--|--|--------|
o uquiama ins de	-⌫|--||--⌫--|-|
faizdesfend ereze ntestamentilseradesfendere z q uan tla	---|-------⌫---|-⌫|--------|-|---|----------⌫|-⌫---⌫|-|
forsenerielauralaisié ouq uan til auraaco mpli	---------||---|------|-|-⌫---⌫|-|---|---⌫---|
nedoute p asqu e	-|----|-⌫-|--⌫|
uiel larsne	----⌫---|-|
puisse estre desfa nder ez iusquà certaintanzo usozcondition	-----|----|-----⌫----⌫-|----|-|------|---|-⌫|--|--------|
ouainzqueli o irs oites ta bl iz.	-|---|--|-|-⌫-|-⌫--|--⌫--⌫--⌫-||
Maizilnepuet	---|-|-|---|
desfenderesdecer tai nne c hose o u	----------|-|---⌫---⌫--|-⌫---|-⌫|
de certainne	-|--------|
causecarlidesfenderesestdoné z	----|--|-|----------|--|-----⌫|
àlapers on e	-|-|----⌫--⌫|
et nemie àla ch ose	-|-|--|-|-|--⌫--|
ouà lacause .	-|-|-|----||
Seaucunzado néd esfe ndeo rs	-|-----||--⌫--|-⌫----⌫----⌫-|
à sez filzou àse sfillezil	-|--|---|-|-|--⌫|-----|-|
apertqueillez ait done ́zau	----|--|-|--|--|----⌫-|-|
lafil le qu ies toit encore l uentre	-|---⌫-|--⌫|--⌫---|----|-⌫|-----|
quantli peresfu morscarcil	----|-|----|-|---|--|--|
qu ies t encoree lue ntre sam ereestcontenuspar	--⌫|--⌫|-----|-⌫|--⌫---|-|-⌫--|--|-------|--|
lenon delf il oudelafill e	-|--|--|-⌫-|-|-|-|----⌫|
Etsecilqu i	-|-|--|--⌫|
semuetmuert	-|---|----|
a neu euzlondemandesedef endeur lo rsunt	|---⌫--||-|------|-|---⌫-----|--⌫|---|
don épar le nonzdesfilz.	---⌫-|--|-|---|--|---||
ond o it direquei lapertque	-|-⌫-⌫-|---|--|-⌫|----|--|
desf endeurl orsoien ts ont donéet seildis t	----⌫-----|-⌫-|-----⌫|-⌫--|----|-|-|-|---⌫|
queil don oit	--|-|---⌫--|
desfend eurs àsezenfanz.	-------⌫---|-|--|-----||
Carl inonz d	--|-⌫|---||
enfanz contie nt filzetfil leze t neueuz	-----|------⌫-|---|-|---⌫--|-⌫|-----|
etn ie cez etce lzqui sunt encorres a	-|-⌫--⌫--|-|--⌫-|--|---|-------||
nestremaizli neu eune lez nieces	-----|---|-|---⌫-|-|--|-----|
nesuntp a s co ntenu	-|---|-⌫-⌫|--⌫----|
delfiscar lifi lsu n tapele ́ autrement queli	--|--|--|-|--⌫|--⌫-⌫|-----⌫|--------|--|-|
seillezado n é zàcelz quisunt	-|-|--||--⌫-⌫--⌫|-|---|--|---|
encoràna istrelifilz e t liautre	----|-|--⌫----|-|---|-⌫|-|----|
enfanti seront con tenuq uisuntenc oresel uentr e	-----||-----|---⌫---|-⌫-|---|---⌫---|-|-----⌫|
lor mer ez.	--|---⌫-||
Cisttitr ese st	---|----⌫-|-⌫-|
desdesfendeursqui	--|----------|--|
s untdonné pa rloi.	-⌫--|-----|--⌫|--||
Se aucu nsunt à	-|----⌫|---|-|
qui desfenderesnestpasd o ne ́ zen te stament	--|----------||--|--|-⌫-⌫--⌫-⌫|-|--⌫------|
sunt lor desfendeorpar lalo i des	---|--|---------|--|-|--⌫|--|
tab lezet c ildesf end eursuntapelé loial.	---⌫--|-|-⌫-|----⌫---⌫--|---|-----|----||
Liparantsuntcil qui su n tioint as enfan s par	-|-----|---|--|--|--⌫-⌫|----|-|-----⌫|--|
lynagepardeuerslepere si conme	-----|--|-----|-|---|-|----|
lor frerezde	--|-----|-|
pa rl ep e re ou lifilzau	--⌫|-⌫|-⌫-⌫-|-|-|---|-|
f rereoulionclez ouli filz àl o ncl e	-⌫---|-|-|-----|-|-|---|-||-⌫---⌫|
Et cilq uisunt	-|--|-⌫-|---|
iointas enfanzde parlorme re nesuntpas	----|-|-----|-|--|--|--⌫-|-|---|--|
decelzpartizparenz	-|---|-----|-----|
neporquantil sunt iointà	-|-------|-|---|----|-|
elz pardr oit naturel.	--|--|--⌫--|------||
laloizapeleà l agardelez	-|---|----|-|-⌫|----|--|
enfanzlesparanz	-----|--|-----|
sanz t estam entned oit	---|-⌫-----⌫--|-|-⌫--|
pasestreainsientendu se cilqu ipooitd oner	--|----|----|------|-|--|--⌫|----|-⌫---|
enfa nzd esfende ursne f istp ointde tes tamentmaizseil	----⌫-|-⌫-------⌫--|-|-⌫--|-⌫---|-|---⌫-----|---|-|-|
ne fi st ensontestam ent n ul emencionde	-|--⌫-|-|--|------⌫--|-⌫--⌫|------|-|
Etlone ntantque	-||-|-⌫----|--|
ceaui entquantcilaquilagardeest	-|---⌫--|----|--||--|-|----|--|
bail liemuert ainzqu e	----⌫--|----|---|--⌫|
cil quifistietesta ment.	--|--|---|-|-----⌫---||
dro itu redelp a rentée stplusors f oizperieentotes	---⌫---⌫-|--|-⌫-⌫-----|-⌫-|------|-⌫--|----|-|----|
menieresparlamenuisement	-------|--||-----------|
quelzquarparantése stnonz ded roit citeain	----|---|--------|-⌫-|---|-|-⌫---|------|
Etla droiture dautrelinagenestpaz	-|-|-------||----|-----||--|--|
mueec ar laraisonzciteain nepuetcorrom pre	---|-⌫-|-|------|-------⌫-|---|------⌫--|
leschosez citeainnezmais	--|-----|---------|---|
elenepue t pascorromp rele schoseznaturelz .	--|-|---⌫|--|-------⌫-|--⌫|-----|-------||
Cisttitres estdame nuisement dechiés .	---|-----|--||---⌫--------|-|-----||
Amenui semensd ech iézestmuanc e d esàsa uo irdelpremier	------⌫-----|-⌫|--⌫---|--|-----⌫|-⌫-|-|--⌫--⌫-|--|------|
estatet eleauien ten.iii.	----|-|--|-----⌫|-|----|
me nierez car eleestou	--⌫-----|--|--|--|-|
moi eneoupetite .	---⌫--|-|-----||
Ligranzame n uisemenzdechiefest	-|----|---⌫-⌫-------|-|----|--|
quan taucunzpertlaci téde Romeet	----⌫|-----|---|-|--⌫--|-|---|-|
fran chis etout	----⌫----⌫|---|
ensambl esi conme	-------⌫|-|----|
ilauient encelzquisuntfet serf	-|-----|-|---|--|---|--|---|
àtor mentpar cruauté de s en tenceouà ce lz qui	-|---⌫---|--|-------|-|-⌫--⌫----|-|-|--⌫-|--|
franchi qu inefaisoi entpazenue rs lo rpatronzceque	------|--⌫|-|------⌫--|--|----⌫-|--⌫|------|-|--|
ildeuoient parcoiilsunt	-|-------|--|--|-|---|
con d enpné ou	---⌫-⌫-----|-|
àcelzquisosfrentqu e ilsoient uand uporpart i r	-|---|--|-------|--⌫|-|-----|----⌫|--|----⌫-⌫|
Limoien s am enuisemens	-|-----⌫|--⌫---------|
d e ch i efestquan tla citésest	-⌫|--⌫-⌫-|--|----⌫|-|-----|--|
perdueet franchise est retenuesi co nmeil	-----|-|--------|--|------|-|--⌫--|-|
a uientà celuiàqui lyaueetli	-⌫----|-|----|-|--||---|-|-|
feusunt desu eé oua ̀celuiquiest	--|---|----⌫--|-|-⌫|----|--|--|
enuoie ́zenessilforsdoupaïz.	------⌫-|-|----|---|--|----||
L i petisa menuiseme ns dech ie fest	-⌫|----|-⌫---------⌫-|-|--⌫--⌫|--|
quan t lacités etfranc hise remai nt	----⌫|-|-----|-|-----⌫---|-----⌫-|
aaucu nmaiz liestas estmuéz e tce se	|----⌫|---|-|----|--|----|-⌫|-|-|
aui entencelzqui soloientestre d e	---⌫--|-|---|--|-------|----|-⌫|
lord ro itur eetco mmandentconm encent à	--|-⌫--⌫----⌫|-|--⌫-------|----⌫-----|-|
estresoz misà autrui	----|---⌫--|-|-----|
droiture .	-------||
baill e te s tmi s	----|-⌫|-⌫-⌫|--⌫|
ho rsdebailceest	--⌫-|-|---|-|--|
amenuise menzd echief.	--------⌫---|-⌫|----||
Me s s esersest f ranchisce nest	--⌫|-⌫|---|--|-⌫------|-||--|
pas amenui semenzde chief car iln	--|------⌫-----|-|----|--|-||
auoitpo intde chief .	----|--⌫--|-|----||
Etc ilàquili	-|-⌫-|-|--|-|
dignitéz est m u eepl usque	--------|--|-⌫-⌫-|--⌫-|--|
li e s taznesos frent pazamenuissement	-|-⌫-⌫--|-|---⌫----|--|------------|
Etporceestilcertaine chose	-|--|-|--|-|-------|----|
quecilqui sun tosté	--|--|--|---⌫|----|
delsena t neso sfrentpasamenu isementde chie f.	--|----⌫|-|--⌫-----|--|-----⌫------|-|----⌫||
E tceq uiaest éditqu eli	-⌫|-|-⌫-||---⌫-|--|--⌫|-|
lynages remaint aprézlamenui sement dechief	------|------|-----||------⌫-----|-|----|
es t uoirs se lenentent del	--⌫|----|-||-|-----|--|
meno ramenuise m e ntde chi efcar li li nnager emaintcar se	----⌫|--------⌫-⌫-⌫-|-|---⌫-|--|-|--⌫----|-⌫-----|--|-|
ligrantamenuisementd echi efi	-|----|-----------|-⌫|---⌫-||
auient ladroiture dellinnageperist	-----|-|-------|--|------|-----|
siconmese li unzd e	-|----|-|-|--|-⌫|
celz qui suntdun lynag e estamenéz en	---|--|---||-|-----⌫|--|------|-|
seruage mais seiles taprés franchis li	------|---|-|-|--⌫|-----|-------|-|
li nages r euient .	--⌫----|-⌫-----||
Et seaucunzde l z estenuoiéz	-|-|-----||-⌫-⌫|--|-------|
en ess il li	-|---⌫-|-|
lynagesfaut.	------|---||
E t porcequela garde	-⌫|----|--|-|----|
des enfanz	--|-----|
apart ien tde	-----⌫---⌫|-|
parlorpe reel enapartientp azàtoz	--|--|--⌫-|--⌫||--------|-⌫-|-|--|
e nsamb le mais	-⌫-----⌫-|---|
acelz quisunt	|---|--|---|
lipl uspro ch a inetsel i	-|--⌫-|---⌫--⌫-⌫-|-|-|-⌫|
un sunt autresiprochainconme li	-|---|------|-------|----|-|
autre eleap ertient	----|--|--⌫------|
Sic onmecilquisuntdedenzaageont p lu sor sfrerez	-|-⌫---|--|--|---|-----|---|--|-⌫--⌫---⌫|-----|
qu is unt tuitdunmeesmezd egré	--⌫|-⌫--|---||-|------|-⌫----|
e tpor cesunttuiten sambleapelé à	-⌫|--|-|---|---|--⌫-----|-----|-|
C is ttitrezestde lagarde àcelzqui ont	-⌫--⌫|-----|--|-|-|----|-|---|--|--|
estéfranc hi.	----|-----⌫-||
La ga rdedecelzetdece l e squi	-|--⌫--|-|---|-|-|--⌫-⌫-⌫|--|
onte st éfranchi ap a rtie nentà lor	--|-⌫--⌫-|------|--⌫-⌫----⌫---|-|--|
patronpar celemeismel oi des .xii.	-----|--|---|-----|-⌫-|--|----|
t ab l es etceleg ar deest apelee loialnon	-⌫--⌫-⌫-|-|---|-⌫--⌫-|--|-----|----|--|
pasporce que cele loiface mencion	--|--|-|--|---|--|---|------|
cele garde parnonmaisporce queeleest	---|----|--|--|---|--|-|--|--|--|
receue par	-----|--|
l ezpositionz d elaloiet desconsill iers dedroit	|----------|-⌫|-|--|-|--|-------⌫---|-|----|
a utresi conmeseelefust estab lieparlez p arolez de	-⌫-----|----|-|--|---|-----⌫--|--|--|-⌫-----|-|
Car po rce que	--|--⌫|-|--|
laloi zc o nma ndequeliherita geà	-|---⌫|-⌫-⌫---⌫--|--|-|------⌫-|-|
ce lz etàce lesquisuntfranchiueniss entà	--⌫-|-|-|--⌫--|--|---|------|------⌫--|-|
lor pa tronzs eilmo rus ent sanzf aire testa m entcrurentli	--|--⌫----|-⌫|-|--⌫---⌫--|---|-⌫---|-----⌫-⌫--|------|-|
a ncien quelagar de en	-⌫----|--|-|---⌫-|-|
deuoitaparteni r	-----|--------⌫|
àelzcara utresiconm andel alois queli pare nt	-|--|--|-⌫-----|----⌫---|-⌫|---|--|-|----⌫-|
asorfe linzqueeleapel e àlorh eritagesoient	-|----⌫---|--|--|----⌫|-|--|-⌫------|-----|
tenu à gar der souent lez	---|-|---⌫--|-----|--|
carlà où li	--|--|--|-|
prex deleri tage es td oit	---|-||---⌫---|--⌫|-⌫--|
estrelachargedelagarde.	----|-|-----|-|-|----||
Etporceauonznozditsouent que	-|--|-|----|--|--|-----|--|
seu nefame fr anchi st .i.	-|-⌫-|---|--⌫-----⌫-|--|
enfa ntqui	----⌫-|--|
estdedenzaage eleest	--|-----|---|--|--|
sonheritage	--|-------|
iasoi t cequ eunsautr ezl	-|---⌫|-|--⌫|--|----⌫-||
ai tengard e .	--⌫|-|----⌫||
Ci sttit rezestde lagarde	--⌫-|---⌫--|--|-|-|----|
des neuex.	--|----||
autregarde	----|----|
estreceueàla manierede	--|-----|-|-|------|-|
patro nzquiestautres i apeleeloial	-----⌫-|--|--|------⌫|-----|----|
Qua rse aucunzmet hors deson bailsonfi l	---⌫|-|-----|--|---|-|--|---|--|--⌫|
ousafilleouson	-|-|----|-|--|
neueu ousa niece	----|-|-|----|
fil ilena urala gardesel on c	--|-|-|-⌫--|-|----|---⌫--⌫|
Cist titresestdegardeparfian ce.	---|-----|--|-|----|--|----⌫-||
Il i aune au t remaniere deg arde	-|||--|--⌫-⌫-|------|-|-⌫---|
qui es t apeleegardeparfiancecarse li	--|--⌫|-----|----|--|-----|--|-|-|
peresamishorsdebaillson	----||--|---|-|----|--|
f ilou sa filleou sonneueuou	-⌫-|-|-|----|-|--|----|-|
saniecequisuntded en z e age	-|----|--|---|---⌫--⌫|-⌫--|
l a gard eenap pa rtientàluiseloncla	-⌫|----⌫|-|--⌫--⌫-----|-|--|-----|-|
Etqu antils eramo rs se	-|--⌫--|-|-⌫--|--⌫-|-|
il aanf anz maslez	-||---⌫--|-----|
il sero ntdes fe ndeur	-|----⌫-|---⌫--⌫----|
delorf ilzetde	-|--|-⌫--|-|-|
leurfrerezetdelorsereurs .	---|-----|-|-|--|------||
Etquant lipatronz	-|----|-|------|
est morsquiaseloncla loi	--|---|--||-----|-|--|
lagardedecelz	-|----|-|---|
afr anchis la garde	|--⌫-----|-|----|
en ap art endraàsezfilz	-|--⌫---⌫----|-|--|---|
se lonc la loi .	--⌫---|-|--||
Et p orcequelien fant au mortfus sent	-|-⌫-|-|--|-|--⌫---|-|---|---⌫---|
droitu re aprézlam o r t	------⌫-|-----|-|-⌫-⌫-⌫|
seilne leseustmis a ̀sau ie hors	-|-|-|--|---|--|-⌫|-|-⌫-|---|
desonbaililne reuienentpas	-|--|---|-|-|--------|--|
enlapo estéà	-|-|--⌫----|-|
