Cifenistl aui e sainte	-|-----|-⌫|--⌫|-----|
Enic e luianmeismes au intque lau ierge si	-|--⌫-⌫--|-|------|--⌫--|--|-|-⌫----|-|
cone lesouloituint al	--|-⌫-|------|---|||
iglyse pouraho rer	-----|---|---⌫--|
agenoilladeuan tl au telsitenoit	--------|-----⌫||--⌫--|-|-----|
uncierg eentresesmains quiparla ue rtu de	-|-----⌫|----|--|----|--|--|-|--⌫--|-|
Dieu espr isteta luma	---|----⌫--|-|-⌫---|
D e c estechosenefunusendo utance	-⌫|-⌫---|----|-|-|--|-|--⌫-----|
ca r ilsorentbien tre stuiteta perçurentque	--⌫|-|-----|---|---⌫----|-|-⌫---------|--|
nus niauoitue ufeusi enlouere nt	--|||----|--⌫|--|-|-|------⌫-|
Qua ntles malades l oi ̈rentd ire siuindrent	---⌫-|--|------||--⌫----|-⌫--|-|-------|
courant celepartet	------|---|---|-|
prierent la	-------|-|
sa in teuierge queseilli	--⌫--⌫-|-----|--|-|-|-|
plaisoite lel euren uoia stgarison	-------|-⌫-|-⌫--|--⌫----⌫-|------|
deleurs enfer metéz	-|----|-----⌫-----|
Elelau oitle	--|---⌫--|-|
ciergeenleuee tcil qui	-----|-||--|-⌫|--|--|
enauo ient	-|---⌫---|
ta n tostc onile nbuuoientilguaris so ient	--⌫-⌫---|-⌫-|-|-⌫|-------|-|------⌫--⌫---|
et r eceuoientsanté	-|-⌫--------|-----|
Damedieuoun ondela	-------|-|-⌫-|-|-|
uiergepourl achoisond ucier gequ	-----|---||-------|-⌫|----⌫-|-|
eleotsa nzfeu	--|-|--⌫-|--|
alumésicommea	-----|-|----||
Damedieuplot	-------|---|
Mout fu cortois	---|-|------|
cistmiracle s etdun autreaprés quifu mout	---|-------⌫|-||-|----|-----|--|-|---|
cou rtois et delitab lesne metesiepas	---⌫----|-|-------⌫--|-|-|--|-|--|
Ilauintchosequel i deables qui	-|----|----|--|-⌫|------|--|
malpourchace aus	--|--------|--|
bonset qui ertmen aaceunefamequ	---|-|---⌫--|---⌫||-|--|---|-|
dusensetde toutesbo nnes euures	-|---|-|-|-----|--⌫---|-----|
ameneedr oitementlaoulauier geestoit	-----|--⌫-------|-|-|-|----⌫-|-----|
Celequ ifole estoit etuuide al aal	---|--⌫|---|-----|-|----|--⌫|||
abit acle ou celemen oit	----⌫---|-|---|---⌫--|
siembla a la u ierges achaucem enteet de stourna	-|----||-|-⌫----|-⌫|-------⌫---|-|--⌫------|
Li deableslauoittantauiuee	-|------||----|---|-----|
quelee stoitue n ue ar rie res en sameson ato ut les	-|--|-⌫----|--⌫-⌫-|--⌫---⌫--|-|-|----|---⌫-|--|
souler sal auiergee t ta ntost commeelei	------⌫||-⌫|-----|-⌫|--⌫----|----|--||
fuuenueelep erd ila ueueentel maniere	-|----|--|-⌫---⌫|-|---|-|--|------|
quele neui tgoute	-|--|-|--⌫|----|
Sanzdoutelideablesl a	---|----|-|------|||
malementdeceue etl i fa itgrant ennu i	-------|-----|-|-⌫|--⌫-|----|----⌫|
Mess ele puet e ledeceura	--||--|---|-⌫-|------|
Ainsila preudefame	----|-|---------|
serepenti sisefist isnellemen tm enerla	-|------|-|-|---|----------⌫|-⌫---|-|
oueleauoite nblél achau cemen te	-|--|----|-⌫----|-⌫|----⌫-----⌫-|
E l eotsi bonne repen tance	-⌫-⌫|-|-|----|-----⌫----|
commenç alor sacriermerci etdist touten	--------⌫|---⌫||----|----|-|---|---|-|
Puce l e desa inteuieque	----⌫-⌫|-|--⌫---|--|--|
Di exapar f aitede bontéaiézmerci dem o icar	--⌫-||---⌫-⌫---|-|-----|----|----|-|-⌫-⌫|--|
iemesuienu erst oimeffa iteIai	-|-|--|---⌫--|-⌫-|-----⌫--||-|
en bleet a chaucemente site pri et	--⌫---|-⌫|----------|-|-|--|-|
req uierquesiuo irement commetue s	---⌫---|--|-|--⌫------|----|-|-⌫|
de charité	-|-------|
e t depiti éplai nn e me	-⌫|-|----⌫-|----⌫--⌫|-|
reme stestuen clarté mes eulz	----⌫---|-|-|------|--|---|
D ieua iézpi t iédemo i	-⌫--|-⌫---|--⌫-⌫--|-|--⌫|
Etcel equ idepitiées toi tplain nela contremont	-|---⌫|--⌫|-|-----|--⌫---⌫|-----⌫-|||---------|
redrecieeet sa clartéquele auoitperduepour	--------|-|-|------|-|--|----|-----|---|
lelarrec inqueleauoitfetlirandi	-|------⌫-|-|--|----|--|-|----|
tantostcomm e ele iotato uc hié etfetle	------|----⌫|--||-|---⌫--⌫---|-|--|-|
lacroizetlalarronnessenefinede	-|----|-|-|----------|-|---|-|
rendre grace s	-----|-----⌫|
et merc iz a	-|----⌫-||
Damedieue t	-------|-⌫|
distquebe neoiz	---|--|--⌫----|
Espe rizqu ia fetsi beaumir a clepar le	----⌫--|--⌫||--|-|---|---⌫-⌫--|--|-|
se ingnaclea	--⌫-------||
Oruou s lairaiatant de	-|---⌫|-----|----|-|
ce st miracl esiuous	--⌫-|------⌫|-|---|
conterai a présd un	-------|-⌫----||-|
Un io urprist uolen téasa inte	-|--⌫-|----|-----⌫--||--⌫---|
Ge neuieued ep rees chi er a u	--⌫------|-⌫|-⌫----⌫---⌫-|-⌫|
pueple le non	-----|-|--|
senaladroit a	|-|--|----||
Loonousains	---|-|----|
Remisest oitqu i moutest oitami s	----|---⌫--|--⌫|---|---⌫--|---⌫|
Ilpre eschoitilueclenon	-|---⌫------|----|-|--|
Damedieuetqua nt ilsotqueleuenoitilfu	-------|-|---⌫-|-|--|-|--|-----|-|-|
de sauenuemoutlie ́z	-|-|----|---|---⌫-|
Ilestissuz	-|--|----|
d e lacite ́	-⌫|-|----⌫|
aueclamenue	---|-|----|
gentqu ib ien	---|--⌫|-⌫--|
sa uoie n tlabontédonteleestoitplainnesil i corurent	--⌫----⌫-⌫|-|-----|---|--|-----|------|-|-⌫|-------|
tu itcildelacitéal en contre	--⌫-|--|-|-|----|||--⌫-----|
sicomm eildurent	-|----⌫|-|-----|
Les parent aune pucele quilo nguementa uoit	--|-----||--|-----|--|--⌫-------|-⌫---|
estéparalisieli uin drenta l encont re	----|--------|-|---⌫----|||------⌫-|
porce quildoutoient le nfermeté	--|-|-|-|--------||-⌫--------|
Elenepot ilueca uoir	--|-|--|----|-⌫---|
aide sienestoit	---|-|-|-----|
moute smaiee	---|-⌫-----|
Illiprie rent doucementdecue rp or	-|-|----⌫---|--------|-|---⌫|-⌫-|
cel ui quila s ainte chose fetettraiteatou te	---⌫-|--|-|-⌫----|----|--|-|-----||---⌫-|
bontéqueleuiengneueoirunep ucele	-----|-|--|------|----|--|-⌫----|
Dameparcharitégarissiézl a	---|--|-------|---------|-⌫|
Celeq uide douceuretdumilite ́ fu	---|-⌫-|-|------|-||-------⌫|-|
plainneetcombl e sen est	------|-|-----⌫||-|--|
alee asonhostelsia t ouchiee	---||--|-----|-||-⌫------|
etb aillieela pucelle	-|-⌫------|-|------|
et fi stdoucem e n tdec ueretdeb ouche	-|--⌫-|------⌫-⌫-⌫|-|-⌫--|-|-|-⌫----|
prierese toroisonsque	------|-⌫|-------|--|
amaetotchieres	--|-|-|------|
Etladamoiselereçoitmain t en antsantéetele lafist	-|-|--------|------|----⌫-⌫--⌫--|-----|-|--|-|---|
chauci eretu estir et	------⌫-|-|-⌫----|-|
lunbrazetlautrehaucier	|-|---|-||----|------|
Ele les hauceetbes se sanzgr euer nemalfere	--|--|----|-|---⌫-|---|--⌫---|-|--|---|
g ariedesenf ermetéuoiant	-⌫---|-||---⌫------|-----|
trestou tlepueplequ i	-------⌫|-|-----|--⌫|
haut ementsescria	----⌫----||-----|
Di ex pe regl orieu s beneoizsoies tuqua nt	--⌫-|--⌫-|--⌫-----⌫|------|----|-|---⌫-|
tuasparc estesain te	-|-|--|-⌫---|----⌫-|
uiergefet si gr ant miracle	-----|--|-|--⌫--|------|
etestanch iee sig rantdouleur	-|-------⌫--|-|-⌫---|------|
Ilfontioiede ces tm ir acle	-|---|---|-|---⌫|-⌫--⌫---|
sisenuonttoutdr oita l yglyse et	-||-|---|---|--⌫--|||-----|-|
i lfirentcom meilleu r	-⌫|-----|---⌫-|-|---⌫|
uinta talentcaril ne	---||-----|--|-|-|
pot estre aut rement	--|----|---⌫-----|
ilpl otalauierge	-|--⌫-||-|-----|
quee lesen	--|-⌫-||-|
n elaporent r etenir	-⌫|-|-----|-⌫-----|
Touzlipeup leslaconuoia am out	---|-|----⌫--|-|------||-⌫--|
grant ioieh orsde lacité Acelta n s	----|---|-⌫--|-|-|----||--|--⌫-⌫|
delo rs auoita	-|--⌫-|----||
roisqui estoit	---|--|-----|
pla insde g ranz d esloiautéz	---⌫--|-|-⌫---|-⌫----------|
Il n auoitpas cre anceque	-||----|--|---⌫---|--|
Diexeust e uenessan cedela uiergenequei l	---|---|-⌫-|------⌫-|-|-|-----|-|--|-⌫|
deité couertede lu manitéroi al	-----|------|-||-⌫------|---⌫-|
Cil r oisqui a doncestoita	--|-⌫--|--|-⌫---|-----||
Parisa uoi t non	----|-⌫---⌫|--|
Childeusete s toi tpaien se tgreuoi tquanqueil	-------|-|-⌫-⌫---⌫|-----⌫|-⌫|------⌫|------|-|
pou oitles crestienset	---⌫--|--|--------|-|
neporq uantilamo it mout	------⌫---|-|---⌫-|---|
Geneu i euepour	-----⌫-⌫--|---|
le s miracles que elefesoit	--⌫|-------|--|--|-----|
Il auin t ch osequepriso nniersquiauoientdeseruie	-|----⌫|--⌫--|--|-----⌫-----|--|------|-------|
m ortetdeuoientperdr ela uie	-⌫--|-|-------|-----⌫|-|--|
ete stoientmis	-|-⌫------|--|
enpri sonil esto ie ntiu gié zde pardreles testes par	-|---⌫--|-|----⌫--⌫-|--⌫----⌫|-|-----|--|-----|--|
un forfetquilau oientfet	-|-----|-|-|--⌫----|--|
Maintenantestcel e nou eleuenue ala	---------|--|---⌫|---⌫--|----||-|
sai ntedamoi sel leq ue crestiens	---⌫--|-----⌫---⌫-|-⌫-|--------|
creanceierent reprises t oie ntpris et	------|-----|-----|--⌫-⌫---⌫-|---|-|
Childeuz quiemprisonnéz lesauoits est oitdestournéz etsi	-------|--|-----------|--|----||---⌫--|----------|-|-|
auoitfetle sportes	----|--|--⌫|-----|
ferme rq uil	-----⌫|-⌫|-|
ne u oulo it	-|-⌫----⌫-|
p asquenu shons terriensles poui st	-⌫-|--|--⌫|---|-------|--|----⌫-|
trest ourner iuquesa tantqu	-----⌫-----|-----|-⌫---|-|
eustfetiustice	---|--|------|
L a uierg esedesconfort oit pour ce qu	-⌫|-----⌫|-|----------⌫--|---|-|-|
pou oitentrerdedens lacitési leuoulo itmou strera	---⌫--|-----|-----|-|----|-|-|-----⌫-|---⌫----||
Haf et ele	-|-⌫-|--|
biau sir e	---|---⌫|
D iex glorieu spe renesouf rézpasqu e uostreloisoit	-⌫--|-------⌫|--⌫-|-|----⌫---|--|--⌫|-----|--|---|
huia bessieene hon niepar	--|-⌫------|-|---⌫--|--|
gentpaienne	---|------|
S irefet elequ i	-⌫--|--|--|--⌫|
sauéztouzbiensieteprietet	-----|---|----|-|-|--|-|-|
requier que tupartonuo uloir	------|--|-|--|--|--⌫----|
m elessesl es	-⌫|-----|-⌫-|
amessa uuerseie ne	---|--⌫---|-|-|-|
puis auoir	---|----|
ice te requier iehui encestiourA	--|-|------|-|--|-|---|---||
cestmotboute et	---|--|----|-|
laporte oeuur emainte nantsique	-|----|-----⌫|------⌫---|-|--|
tuitl ontueu et ape rce u	---||--|--|-|---⌫---⌫|
dontil ore nt	---|-|---⌫-|
m erueillemo ul t	-⌫-------|--⌫--⌫|
ce quele ala porteo uuertesa nz	-|-|--||-|----|-⌫-----|--⌫-|
Il ent iennenten tr eulzm outgrant	-|-|-⌫------|--⌫-|---|-⌫--|----|
pl etetla u ierge sen	--⌫-|-|-|-⌫----||-|
u etaprésl e roisetl a	-⌫-|-----|-⌫|---|-|||
t antc haciéquee lel	-⌫--|-⌫-----|--|-⌫-||
a at aint siliasermonnéetdist quel e	|--⌫---|-|-||--------|-|---|-|--⌫|
liasafelonni e esta inte etque	-||-|-------⌫|----⌫---|-|--|
au sp r isonnierssoncorrouzapardonnéetpor	--⌫|-⌫-⌫--------|--|------||--------|-|--|
d elau i ergequeiltant a inmoit	-⌫|-|-⌫-⌫---|--|-|---|-⌫-----|
leura quité le	---||-----|-|
Aorézsoit	-----|---|
entelemaniere oeuure pour	-|---|------|-----|---|
lamor des ance lle	|---|-||----⌫--|
Secille auoit un saintho mequiestoi t	------|----|-|----|--⌫-|--|-----⌫|
lesiecleenmo ut	-|-----|-|--⌫-|
grantdespitei nsiconlescripture le r aconte	----|-----|--⌫--|--||---------|-|-⌫-----|
Ilestoitcourtoisetsagese nue rs	-|-----|-------|-|----|-⌫---⌫-|
Dieuetausiecleestoit sauua geet	---|-|-|-----|-----|-----⌫-|-|
Limondesn eli pl otonques	-|-----|-⌫|-|--⌫-|-----|
XLans eue sques	-|--|---⌫----|
Ilestoi tcoustumie rs dunechose quequa nt	-|-----⌫|---------⌫-||--|----|--|---⌫-|
aucu ns uenoiten	----⌫-|-----|-|
Francesi m a ndoitsa luza	-----|-|-⌫-⌫----|--⌫--||
Geneuieueneian usalast	--------|-|-|-⌫-|----|
decilaq ueil ne	---|-|-⌫-|-|-|
demandastm out	--------|-⌫--|
Illimandoitcommeace leque ilmoul tam oi t	-|-|------|----||--⌫-|--|-|----⌫|--⌫--⌫|
Dieunel oublia s tmi e	---|-||------⌫-⌫|--⌫|
Ilnelauoit	-|-||----|
onquesueue	-----|---|
etsisauoit	-|-|-----|
ilbiensoncourageetele sau oit aus int tou t le	-|---|--|------|-|--|---⌫--|---⌫--|---⌫|-|
Orneditesdontpas	-|-|----|---|--|
que cilquisont parfaiz	--|--|--|---|------|
Dieuet enbienn esa ch ent leuure	---|-|-|---|-⌫|--⌫--⌫--||----|
etle faitliunsdelautreouque	-|-|---|-|--|-||----|-|--|
ilsoientencore nes	-|-----|-----|-||
entr e soi entilmieueu	----⌫-⌫---⌫--|-|--|--|
L en lesetbienpar s aint	|-|-|--|---|--|-⌫---|
Ambroisequi de	-------|--|-|
Melan fu eue s queetpar un	----|-|---⌫-⌫--|-|--|-|
autre lesetenencorequi estapele ́ z	----|-|--|-|-----|--|--|-----⌫-⌫|
Seurinsquid	------|--||
Egrepinees to ite uesque	-------|--⌫--⌫-|-⌫-----|
Ilauoitmo ut fineamour entr	-|----|--⌫-|---|----|---|
Ilamerentsaint	-|------|----|
Mart in deg ranta mour	----⌫-|-|-⌫---|-⌫---|
Ilcoun uren t bie nlafin deluicar	-|----⌫----⌫|---⌫|-|--|-|--|--|
si com m eilparloit a	-|---⌫-⌫|-|------||
Damedieusaint	-------|----|
Ambroise lesotun iour	-------|-|--|-|---|
Ilape rçut sontrespa ssem ent	-|---⌫----|--|------⌫----⌫--|
ilesto itous acrementdela	-|----⌫-|-|-⌫-------|-|-|
Ila uoitia la	-|-⌫---|-|-|
messepres quetout e	----|----⌫--|----⌫|
chanteequant iluit	------|----|-|--|
la medusaintconfessorqui	|-⌫-|-|----|--------|--|
estoitp resen teedeuan t	-----|-⌫-----⌫--|-----⌫|
Dieu et es toitmise	---|-|--⌫---|---|
enun tres ormo utprecieux	-|-|----⌫-|--⌫-|-------|
M e ssa i ns	-⌫-⌫|--⌫-⌫-|
Seur ins sotainçoisque sains	----⌫--|--|-------|--|----|
Martins estoit trespasséz	------|-----|----------|
Il chantoiten cor e mati nesquant	-|-------|--⌫---⌫|----⌫--|----|
ilpartidus iecle	-|----|-|-⌫----|
Be neoi zunsabéssesordresapertbien	--⌫----⌫|--|----|--|-----|----|---|
seurt ouz autres	---|-⌫--|-----|
ensa ingn emen td etouz	----⌫----⌫----⌫|-⌫|---|
biens etde	----|-|-|
touzm oinn eset co mmencemenz d etouzordres	---|-⌫----⌫-|-|--⌫---------|-⌫|---|-----|
Ilestoitmesureet compasetmireours	-|-----|-----|-|-----|-|-------|
de sescri ptu r es	--⌫|-----⌫---⌫-⌫-|
Il est oitpl ainsdebonte ́etfon tainne	-|---⌫--|--⌫---|-|-----⌫|-|---⌫-----|
dumilite ́	|-------⌫|
Toutceotsains	---|-|-|----|
Beneoi z ensoi	------⌫|-|--|
Siresli demoustr a parla bontéquienlui	----|-|--------⌫|--|-|-----|--|-|--|
est oitquant sa int	---⌫--|----|--⌫--|
G ermaintr espassaet quant	-⌫-----|--⌫------|-|----|
lame lipartidu	|--|-|----|-|
En telm aniere sentreconuren tde courage	-|--|-⌫-----||------------⌫|-|------|
S ymeon etlasainteui erge qu imaintes bontéz	-⌫----|-|-|-----|--⌫---|--⌫|------|------|
ote n l ui	-|-⌫|-⌫-|
nefurentensambleen n ul p ais	-|-----|-------|-|-⌫-|-⌫--|
Uni ourestoitensac iaulleet un e meschine	-|-⌫--|-----|-|-|-⌫-----|-|--⌫|-------|
ot a uoe c	-|-⌫---⌫|
Celimeste estoitapelee	--------|-----|-----|
Celequi esto itnete	---|--|----⌫-|---|
detouzmaxertsameschin e	-|---|--|--|-|-------⌫|
etlaseruoitetfesoit so n	-|-|------|-|-----|--⌫|
labourparmesure et eleestoit pleuied uniouue ncel	-----|--|-----|-|--|-----|-----||-|-----⌫---|
etquant iluit quel efu de	-|----|-|--|-|--⌫|-|-|
et amoit sainte	-|----|-----|
Geneuie ue illiertauis	-------⌫-|-|-|--|---|
auroitfaitemalepoinne	-----|----|---|-----|
se ilnel enestoitmiex	-|-|-||-|-----|---|
Lors li a retra iteunechose	---|-||-----⌫--|--|----|
Damefete le seil uous	---|--|-⌫-|-|-|---|
gréieuoeil que	---|-|----|--|
lisieclemele st	-|-----|-|--⌫-|
c arielai gu erpi etlessié	-⌫-|-||-|--⌫---|-|------|
Madouceamief etele	-|----|---|-⌫-|--|
D ieuie uouspri	-⌫--|-|---|--|
ch angoi zmonh abit	--⌫-----⌫|--|-⌫---|
Do nnézmoi lensaingnetantseu lemant queiesoieuost r e	--⌫----|--||--------|---|---⌫-----|--|-|---|----⌫-⌫|
compain g n esauoecuoz	-------⌫-⌫-⌫-|----|--|
autres serors	-----|-----|
hennoursetmes	-------|-|--|
Diexmetenmoi	---|--|-|--|
aucunbienie croique uousiauroiz grant	----|---|-|---|--|---||-----|----|
Et quantla sainteuierge la	-|----|-|-----|-----|||
en tendu eeleen a g rant	--⌫-----⌫|--|-||-⌫---|
ioieet si atentgrant chos ed e lui	---|-|-|----|----|----⌫|-⌫|--|
Ele limetdeuant mainteschoses	--|-|--|-----|------|-----|
etlicommence a	-|-|-------||
raco nterp or ce quelachoseli plaisepluset	----⌫---|-⌫-|-|--|-|----|-|-----|---|-|
celeen ot e n son	---|-|-|-⌫|--|
couragemout grantio ie	------|---|----|--⌫-|
Eleliabaillie ́nouel	--|-||-------⌫|----|
Elessenuontentreus	---||-|---|---|--|
Mia u zcarelesauoient paourduualletqui fianciee	---⌫-⌫|--|---|------|----|-|-----|--|-------|
lauoitque illiauoite sté	|----|--|-|-|----|-⌫---|
dist queilauoitsafame perduedont	---|--|-|----|-|---|-----|---|
ilot auc ue rgr ant	-|-|-|-⌫--⌫|--⌫--|
I l semist tantosta la uoie	-⌫|-|---|------||-|---|
a tantchaciee s	|---|-------⌫|
lesaaco n se ueset bien sachi éz	--||---⌫-⌫--⌫--|-|---|-----⌫--|
quilnelesadesa	-|-|-|--|----|
o n ques qu	-⌫-⌫---|-|
il n e notpou oir	-||-⌫|-|---⌫--|
uenuesdeu antle	-----|---⌫--|-|
moustiers ise sont	-------|-⌫|-|---|
arrestees iluec pou r	--------|----|---⌫|
cequel esportese stoie ntferme esetles gens s	-|--|-⌫-|-----|-⌫-----⌫-|-----⌫-|-|--|---||
estoiententou r eulsassem blee s qui esgardoient	-------|-----⌫|---|-----⌫----⌫|--|----------|
eulsetduual letmes il	---|-|-|---⌫--|--|-|
e rtentréz en fole oeuu re	-⌫-|------|-|---|----⌫-|
Laporte ouuriuoiant	-|----|----|-----|
ceuls touts anzcequenulla de sfermas t	----|---|-⌫--|-|--|--|-|--⌫-------⌫|
Lor s s i se sont	---⌫|-⌫|-|---|
o u moustierferues	-⌫|-------|-----|
Et q u a nt liualletuit quechose queil	-|-⌫-⌫-⌫-|-|-----|--|--|----|--|-|
pe ustfereneliamestiersis en	--⌫--|---|-|-||------|-||-|
repaire touzdolanz et	------|---|-----|-|
touz corr oucié ze ttuitcilqu ile	---|----⌫------⌫|-⌫|---|--|--⌫|-|
m i ra cle ui rents esioi rentdeleur uenue	-⌫-⌫--⌫--|--⌫---||-----⌫---|-|---|----|
Lapucelebrisa	-|-----|----|
en t elmanierelabaniere de cests iecle ne	-|-⌫-|------|-|------|-|---|-⌫----|-|
on quespuisnelaredreça	--⌫---|---|-|-|-------|
Elecr ut etessauça e n	--|--⌫-|-|-------|-⌫|
puis ta nt comme eledura enuieseruiede	---|--⌫-|----|--|---|-|--|-----|-|
II u ertu z ce f ude chasteé	-|-⌫----⌫|-|-⌫|-|-------|
et dastine nce	-||------⌫--|
