anceltans quelimostier	-|--|---|--|-|------|
auoit e scri stl eschosesaa ueniretqui l se	----|-⌫----⌫-|-⌫-|-----||-⌫----|-|-|-⌫|-|
gard assentde sy dolesetames ientdetoutlou	----⌫-----|--⌫|-⌫----|-|----⌫---|-|---|--|
s er uesientde u ent e rre parbo neuieet	-⌫--⌫------|--⌫|-|-⌫-⌫--|--|--⌫-|--|-|
bonesouures.	----|-----||
pui sle smena i enu nebon eterre	---⌫|--⌫|----⌫|-|-⌫-|---⌫|----|
qui lauoit	-|-⌫|----|
ia disprom iseaupatriarch e abra am	--⌫--|----⌫--|-|---------⌫|----⌫-|
et asasemance .	-||-|------||
longue choseme s eroitdereconter	-----|----|-|-⌫----|-|-------|
lesmiracles quedexlormo straime s	--|-------|--|--|--|--⌫----|--⌫|
encoreregno it lideaublespor lepechiede premereinhom e	-----|-----⌫-|-|-------|--|-|-----|-|--------|---⌫|
quito utcommunementmeno itenenfer	--|--⌫-|----------|----⌫-|-|----|
ausib ie nlesb o nsconme	---|-⌫--⌫|--|-⌫-⌫-|----|
les mauues .	--|-----||
mes cil qui	--|--|--|
de ne antnosauoit faizne	-|--⌫--|--|----|---|-|
no s o utmieend espitnen e	--⌫|-⌫-|--|-|-⌫----|-|-⌫|
laisa mi eper ilcequila uoitf et	----|--⌫|---⌫-|-|-|-|-⌫---|-⌫-|
einzanuo iaso nfilent erre qu ifunez de	---|----⌫-|--⌫|--|-|-⌫---|--⌫|-|--|-|
lauierg emarie	-|-----⌫|----|
deseintesperit	-|----|------|
li nosrachetai delamor tpardurauble.	-|--|-------|-|-|---⌫|----------||
cilregnai yyanz e nterreet	--|-----|-|--|-⌫|----|-|
fubap ti ziezouf luiniordein demon	-|---⌫--⌫---|-|-⌫---|------|-|--|
segnorsein t	-----|----⌫|
ioham baptiste.	----|-------||
f ub aptizezsi fistmontdesign es.	-⌫|-⌫------|-|---|---|-|----⌫-||
ilresusci toitl es morz	-|-------⌫---|-⌫-|---|
ilr alumoit lesau uglex	-|-⌫------|--|--⌫----|
i l curo ittozle s maladesde quequ es m al adie quil	-⌫|----⌫-|--|--⌫|------|-|-----⌫-|-⌫--⌫---|-|-|
ilcha co itlesdeia u b les.	-|---⌫--⌫-|--|----⌫-⌫-⌫--||
renouuelo ittoutes	---------⌫-|-----|
nosnature xet dedenzetde hors et nos	--|------⌫|-|-----|-|--⌫---|-|--|
e gseg nala uoiedeu er tuparqu enos	-⌫----⌫-|-|---|-|-⌫--⌫-|--|--⌫|--|
laioieparduraubl esennosne	-|---|----------⌫||-|--|-|
endem anti ersqui lconuersa en t erreesluit il	-----⌫----⌫----|-⌫|-------|-|-⌫---|-----|-|
yydis ciples qu ilapela iapostres	-|---⌫-----|-|-|-----⌫|-------|
e t cau xenuo ia	-⌫|---⌫|----⌫-|
p ar totes lespartiesdemondepreeschie rlauie	-⌫-|----|--|------|-|----|---------⌫|-|--|
parduraublequilestoit ue nuz	----------|-|-|-----|--⌫--|
moustrerenterre.	-------|-|----||
m es porl enuieque li	-⌫-|--||----|--|-|
iui fhurentdes miracles qu	---⌫|-----|--|-------|-|
i lfasoitle iugerentamortcom mecilqui auoi ent	-⌫|-----|-|-------||---|---⌫-|--|--|----⌫--|
oblié les prophecies etles	-----|--|---------|-|--|
esc riptur esdelorencestr es.	---⌫------⌫-|-|--|-------⌫-||
qui lsauoient bienquesa	-|-⌫|-------|---|--|-|
pas s ions estoit ne cessairea laredemption	---⌫-⌫---|-----|--⌫-------||-|---------|
delhumainelignie	-||------|-----|
sisofrito utde	-|----|--⌫-|-|
sapropreuelunte.	-|-----|------||
qua ntlii ue florent	---⌫-|-|-⌫--⌫||----|
en mont demani er e	-|---|-|----⌫--⌫|
t ormen téaud areain	-⌫-----⌫--|-|-⌫-----|
lecrucefier en t.	-|---------⌫--⌫||
toutesceschos es	-----|--|----⌫-|
sotin tlanat ure	-----⌫|-|---⌫--|
del ach arquilp risten la uirgequa r	-|-⌫|--⌫-|-|-|-⌫---|-|-|----|---⌫|
ilestoitdeyy naturesd e diuin enature	-|-----|-|-|------|-⌫|-----⌫|-----|
et de huma ine.	-|-|----⌫--||
naturesostintlapassionmesla diui nen ensostint	-----|------|-|------|--|-|----⌫-||-|------|
en ceste maniere fucrucifieznos tresiresihesu	-|----|------|-|--------|---⌫--|----|----|
crizsens pechie quarilne	---|---|-----|---|-|-|
fit o nque spechieneon que s mencongenefutro uee	--|-⌫----⌫|-----|-|--⌫---⌫|-------|-|-|---⌫--|
corporemantpornosdeliurerdemortet d esce nd i	----------|--|--|-------|-|---|-|-⌫----⌫--⌫|
enanfere tenostailesar mes	-|----|-⌫|-|----|--|--⌫--|
deses amis .	-|--|---||
pu isresuscitaiau	--⌫-|---------|-|
tie rziord emor ta u ieet	---⌫-|--|-⌫|---⌫||-⌫-|-|
a paruitace sdisciples etlordona i pei netap r es	-⌫-----||--⌫|--------|-|--|----⌫|---⌫|-|--⌫-⌫-|
yyiorsmon tai esc iels	-|---|---⌫--|-|-⌫---|
o u il sieta	-⌫|-|---||
ladestreso n pere.	-|-----|--⌫|---||
e tdi l ecquesuendrai	-⌫||-⌫-⌫-----|------|
iugier l esuise t les m or s	-----|-⌫-|--|-⌫|--|-⌫--⌫|
etrendrai a chas cunselonc sadeserte.	-|------||----⌫--|-----|-|------||
apressaglorious eascension	----|-|--------⌫|--------|
e nuoiaiille	-⌫-----|-|-|
seintesperistsurs esdisciplesen senblance d e	----|-------|--|-⌫-|--------|-|--------|-⌫|
fuesi quil	--|-|-|-|
commencerentapar lerdediuerslanguaig essi conmel iseinz	-----------||---⌫--|-|-----|--------⌫-|-|----|-⌫|----|
esperi zlorensegnoi t	------⌫|--|--------⌫|
atan t sep arp i llerent partouteslesp a rtiesdelmo nde	----⌫||--⌫---⌫-⌫------|--|-----|--|-⌫-⌫----|--|--⌫--|
etpr eescheren tesgenz laf oiet la	-|--⌫---------⌫|-|---|-|-⌫-|-|-|
crea nc enostreseg n or ihesucristetlesbaptiseren t	----⌫--⌫|-----|---⌫-⌫-|----|----|-|--|----------⌫|
ou non de lpereet delfiletdel	-|--|--⌫|---|-|--|--|-|--|
sei nt esp eri stetlorensegnerent	---⌫-|---⌫---⌫-|-|--|----------|
aguarder les commandemanzd eu	|------|--|-----------|-⌫-|
e ncestemanierefu la	-⌫|----|------|-|-|
droitecreanceessauciee t	-----|------|-------|-⌫|
lam aluaisees baisié.	-|-⌫------|--⌫------||
quelideaublesest	--|-|-------|--|
corrociezdesa destruct ionguer roie ilansint l esfeaus	--------|-|-|--------⌫--|----⌫---|-|-----|-⌫-|----|
deu a mise tamonestelesfoux aaorer et	--|-⌫--|-⌫|-------|--|---||----|-|
acultiuer les ydo les mes deume rcisa	|-------|--|---⌫--|--|--|--⌫--|-|
for ce estauquesamenusie etamenuserai	---⌫-|--|-----|-------|-|---------|
an cor esplusparla uert unos tre segnor.	--⌫---⌫-|---|--|-|----⌫|---⌫--|-----||
a if et conoistremon	-⌫|-⌫-|--------|--|
seg noretmondeu por assezpoudep aro les	---⌫--|-|--|--|--|----|--|-|-⌫---⌫--|
mestule con ostrasassez etplus parfectemant setu	--|-|-|---⌫-----|----|-|---|-----------|-|-|
ne uuel zdeue nir ses	-|----⌫|----⌫--|--|
sergenzs .	-------||
qu antiosaphatout c es	--⌫--|-------|--|-⌫-|
chose soies	-----⌫|---|
sifulorssienluminezdela	-|-|---|-|--------|-|-|
seintesper itquilsailli suisde	----|-----⌫-|-|-|-----|---|-|
finei oie etenbraca bal aamet	---|-⌫--|-|------|---⌫--|-|
enorezdet ouzhomes	-----|-|-⌫--|----|
quece es tla p reci ousepi errede	--|-|--⌫|-|-⌫----⌫---|--⌫---|-|
cuitudeisqu	--|-|---|-|
deuoitmostrer se cauxnon quiau o ient	-----|------|-|---|--|--|--⌫-⌫---|
l es ieulz seins .	-⌫-|----|----||
les s eins etliente ndemanzde larme clerueant	--|-⌫---|-|-|----⌫------|-||---|---|----|
ie aibien espr ouees	-|-|---|----⌫----|
le s ue rtuzque lapie rreauoit quartu deis	--⌫|--⌫---|--|-|---⌫--|----|---|-|---|
quelerend oit es	-|--|----⌫--|-|
auulgle xlaue ue .	-------⌫|-|--⌫-||
suis ge bienaperc e uz quar sitost	---|-|---|-----⌫-⌫-|---|-|---|
com me ie oi	---⌫-|-|-|
tesparolesescoute esune tresdoucelumiere	--|------|-------⌫-|--|---|----|------|
ment raiesieulzdelcuer	|---⌫--|-|----|--|---|
dougeneu oioie gouteet	--|-|-|-⌫----|----|-|
latristesced e	-|--------|-⌫|
mon cuerenfu os tee.	--|---|-|-|--⌫--||
sege aid ituoir si	-|-|-|-⌫-|---|-|
le me dietse tu sez	-|-|-|-|-|-|--|
encor nuleautrechoseprofitauble amon	----|---|----|----|----------||--|
salu stsil emedi.	----⌫-|-|-⌫|-|-||
respon dietd istc ert es	------⌫-|-|-⌫--|-⌫---⌫-|
ge nti sfilzderoyuoiremantes tu	--⌫---⌫|---|-|--|--------|-|-|
uoir di st.	---|--⌫-||
mysteresqui pa rtentdesiegle	-------|--|--⌫|---|-|-----|
etparte nt desgenerationsaeste ́	-|--|--⌫-|--|----------||----⌫|
re po izetore estmanifestez contre la	--⌫--⌫-|-|--|--|---------|-----|-|
f indel monde.	-⌫-|--|----||
totesices chosesqui	----|---|-----|--|
sontauen uesde nostre	---|----⌫--|-|-----|
segnorihesu cristpropheter entcai en ar iere	-----|----|----|---------⌫--|--|-|--⌫---|
liseint proph etequies toientenluminé delagr acedel	-|----|-----⌫--|--|--⌫-----|--------|-|-|--⌫--|--|
se intesperitetmon tdess ierro ien tce schoses	--⌫--|------|-|---⌫|----⌫-----⌫---⌫|--⌫|-----|
au eoi rmesil neles	|-⌫---⌫|--|-|-|--|
u irentpas.	-⌫----|--||
mescestede rreenne	--|----|--⌫------|
generati onsl es	--------⌫--|-⌫-|
cil qui ceschos escroiteti lestbaptisiez	--|--|--|----⌫-|----|-|-⌫|--|--------|
saus et cil qui n elesc ro i t ilseraidampnez	---|-|--|--|-⌫|--|-⌫--⌫-⌫|-|----|------|
eti os aph at	-|-⌫--⌫---⌫-|
lidistne doter	-|---|-|----|
mie quegenecroie t o tes	--|--|-|-|----|-⌫-⌫--|
les chosesquetuas	--|-----|--|-|-|
ditesetcelu deuqu etu preesches.	----|-|---|--|--⌫|-|--------||
tant seulemantmensegnesq ueie doifair e	---|--------||-------|-⌫-|-|--|----⌫|
etqueest baptoimesquetu	-|--|--|--------|--|-|
dizqu ilcouientareuoir .	--|-|-|------||-----||
ba laamliresp ondilaracinee tli	--⌫---|-|----⌫---|-|-----|-⌫|-|
fondema nz de	-------⌫-|-|
lacrea ncecre stienesi comme estl agrace	-|----⌫--|---⌫-----|-|----|--|-⌫|----|
delse intbaptisme quarele	--|--⌫--|-------|---|--|
e sf acetotemaniere d e uices etde peichezauec	-⌫--⌫--|---|------|-⌫|----|-|-|------|---|
labonecreanc e	-|---|------⌫|
quar ensintlecommandailisauuerresdel	---|-----|-|--------|-|--------|--|
mondequeci lquiuodroitreuenir as	----|--|--⌫|--|------|------|||
ancienne dig nitequil fustbaptisiezpar	-------|---⌫---|-|-|---|--------|--|
eu e et par le s e intesp e rit.	--⌫|-|--|-|-⌫-⌫--|---⌫-⌫--||
cesomes nostuitbaptisiéporle commendemant	-|----|--|---|--------|--|-|-----------|
nostre segnorelnon delper e	-----|-----|-|--|--|---⌫|
etdelfil e tdelsei nt espe ristquarlagrace	-|--|--|-⌫|--|---⌫-|----⌫---|---|-|----|
de lseintes perithabiteentel ema niereen larme	--⌫|----|--⌫----|-----|-|---⌫|--⌫----|-||---|
d elbaptisiéqueleenlumineet renou el e	-⌫-|--------|-|--|-------|-|-----⌫--⌫|
al ymage et ala sembl ance	||----|-||-|-----⌫---|
sansbatesmene puetnunsparuenirala	---|------|-|---|---|-------||-|
boneesper ance nessi	---|-----⌫---|--|-|
resp l an dissoitdetoutes ma nieresdeuertuzquarensint	----⌫-⌫--⌫------|-|-----|--⌫-----|-|-----|---|-----|
leconforma cilquidelap aro le	-|-------|--|--|-|-|-⌫---⌫-|
de deufufa iz	-|--|-|--⌫-|
hons porle restoremantdelu maineligni equa nt	---|--|-|----------|-||-⌫----|-----⌫|---⌫-|
ilditie uosdiquese uos	-|--|-|--|-|--|-|--|
nes tesregenerezpa r l eued elsei ntesperist	|--⌫--|--------|--⌫||--|-⌫-|---⌫-|-------|
uos nentreroi zmieel	--||--------⌫|--|-|
regnedesci elz.	----|--|--⌫--||
porce te prige	--|-|-|--|-|
puisquetuasprisela foiquetu	------|-|-|----|-|--|--|-|
soiese rrantbapt isiez	----|-⌫----|----⌫----|
quarli porloignemanz	---|-|------------|
perill euxporcequeli terme s	------⌫--|--|-|--|-|-----⌫|
de lamo rte stne an tcertains.	-|-|--⌫-|-⌫-|--⌫--⌫|-------||
et iosaphatl iditquiest celeb one	-|-------|-⌫|--|--|--|---|-⌫--|
esperance q u etudizqu e len ne pu etsens	--------|-⌫-⌫|-|--|--⌫|--|-|--⌫-|---|
bapt esmeauoiretque le	----⌫---|----|-|---⌫-|
choseestce	----|--|-|
quetuapelesleregnedes cielzetqui est	--|-|-----|-|----|--|----|-|--|--|
cis nea nzterminesp arcu ii aiesté tant	--|---⌫-|-------|-⌫-|--⌫||-|----|---|
i ceschose s	-⌫--|-----⌫|
dessieregem ontasauoir	-------|-|-⌫--||-----|
balaamli res pondila boneesperancedongete	-----|-|---⌫----|-|---|--------|--|-|-|
parl aiestl iregnesdes cie ls lou quellangue d	----⌫-|--|-⌫|-----|--|---⌫-|--|---|-----||
ome neporoi tdeui serquar	--|-|-----⌫|----⌫--|---|
l escripture	|---------|
ditque ioulz	--|--|----|
neuitne o r eille noyce	-|--|-|-⌫-⌫----||-|-|
qued euxai ap aroi llié	--|-⌫--|-|--⌫----⌫----|
a cauxquileiment	|---|--||-----|
ces c hos esne poronsnos certeinementconoistrede uantquen os saron s	--|-⌫---⌫-|-|-----|--|-----------|--------|--⌫------|-⌫-|-----⌫|
desc harg iéde c estemo rt eilch ar	----⌫----⌫--|-|-⌫---|--⌫--⌫--|--⌫-|
quar sehum a inenaturepouoit sa uoir en terre	---|-|---⌫-⌫--|-----|-----|--⌫---|-|----|
lessecrezdel ciel	--|-----|--|---|
d onquesne	-⌫-----|-|
no ss eroit rien smeruo illauble.	--⌫|-⌫----|----⌫|-----⌫-------||
por ce tedi	--|-|-|-|
gequetunen cerches	-|--|-||-|------|
par le schosestropemparfo nt mesme stpoine	--|--⌫|-----|---|-|-----⌫-|--|--⌫-|----|
au paruenirauregn ed escielzpar	-|-------|-|----⌫|-⌫-|----|--|
droitefoi et	-----|--|-|
parboneso uuressi lessau ra s.	--|----|-⌫----|-|--|---⌫--⌫||
et guardequet uaiestozio rzenre man brancela	-|-----|--|-⌫|---|--|--⌫-|-|--⌫---⌫-----|-|
mort quar parilecc ouendraichascunpa sser porce que	---|---|--|---|-⌫-------|------|--⌫---|--|-|--|
nosfumestuis t iugiéamort	--|----|----⌫|-----||---|
porlepechienostre	--|-|-----|-----|
premerein pere .	--------|---||
e tsetu nesez	-⌫|-|-|-|--|
q uemorzest ieletedirai.	-⌫-|---|--|-|-|-|----||
morzterriene siestla	---|-------|-|--|-|
desseur ancedel corset d e larme.	-------⌫---|--|---|-|-⌫||---||
quantlarmees tdes se uree d elcors sireuientli	----||---|--⌫|---⌫--⌫---|-⌫-|---|-|------|-|
cors alaterre don ilfuform e z et l	---||-|----|--|-|-|----⌫-⌫|-||
armeu alaio usescrierre sli co n mandee t	---|-⌫|--|-⌫|--|-------⌫|-|--⌫-⌫----|-⌫|
la iouel ehaif et es habitacion	--⌫|-|--⌫|--|-⌫--⌫||---------|
q uarselonc cequechas cunsfera ien	-⌫--|-----|-|--|----⌫---|----⌫|-|
terreou bien oumaul ce tr oueraiilapre sla	----|-|---|-|---|-|--⌫-----|-|----⌫|-|
mor t terriene ioieou torment.	---⌫|-------|---|-|------||
quantcistmond es aurauescutantcommeilplai ra a	----|---|----⌫-|---|----|---|----|-|----⌫-||
celu q u i l efist siuendrai	---|-⌫-⌫|-⌫|---|-|------|
nostresegno r ihesucrizau	-----|-----⌫|----|---|-|
iordeliuge mantiugierlemonde etsiu endr a i	--|--|----⌫---|-----|-|----|-|-|-⌫----⌫-⌫|
ene spo untauble m aeste quelesu er tu z	-|-⌫---⌫-------|-⌫----|--|--|-⌫--⌫--⌫|
desci elzenserontesmeueset	--|--⌫--|-|-----|------|-|
li angre meismetranbleron t de	-|----|-----|----------⌫|-|
lorsresociterontlimort	---|-----------|-|---|
parla uoizd e la rchangeet la	--|-|---|-⌫||-⌫------|-|-|
busine deue t uendrontdeuant l	-----|--|-⌫|-------|-----||
apo untaublesiegen o stre segnor.	---⌫-------|----|-⌫-⌫---|-----||
i l cilcorsmeismesquim u ert enterreetdeuient podre	-⌫-⌫--|---|------|--|-⌫-⌫--|-|----|-|------|----|
il cil meismesresociter ai etde	--⌫--|------|---------⌫-|-|-|
cenedo u t ermiequecilqui deneant	-|-|--⌫-⌫-⌫-|--|--|--|--|-|----|
fistl e corslepor raibien re fere	---|-⌫|---|-|---⌫--|---|--⌫---|
d ec edonill a iia	-⌫|-⌫|--|-||-⌫|-|
fetet desfetqu ar setu uuelzbien	--|-|-----|--⌫-|-|-|----|---|
regarderlesc hoses	-------|--|-⌫----|
quedexaifet estu	--|--|-|---⌫-|-|
nedeuras miedeceste chosem eruoillier.	-|-----|--|-|----|----|-⌫---------||
reguardec onment	-------|-⌫-----|
i lfitlaterre de nea nt	-⌫|--|-|----|-|---⌫-|
e t hommedeterre	-⌫|----|-|----|
etconmentill	-|------|-||
e mplid e di uer ses	-⌫---|-⌫|--⌫---⌫--|
manie resda r bres	-----⌫--||-⌫-⌫---|
et quitotesces	-|--|----|--|
chosesfit de	-----|--|-|
neantdunnepou rai i lbien	----|--|-|---⌫--|-⌫|---|
de cel e p oudr e meisme	-|---⌫|-⌫----⌫|-----|
licors est	-|---|--|
tornezre fere ce luicorsmei sme	-----|--⌫---|--⌫--|---|---⌫--|
et ouseroitdem onstree l a iostise nostresegnorsel i	-|-|-----|---⌫------|-⌫|------|-----|-----|-|-⌫|
corsner eso citoientquarilaien	---|-|-⌫---⌫-------|---|-|-|-|
c es t siecl etexqu ionque s niorentse	-⌫--⌫|-----⌫|--|--⌫|-----⌫|||----|-|
maulnon ettrauaul ettex quionq uesn	---|--|-|------|-|--|--|---⌫--||
i ore n t sebiennonetais e	|---⌫-⌫|-|---|--|-|---⌫|
estaubl ielaresorrectionetleiordeliuge mant que	-------⌫-|-|-----------|-|-|--|--|----⌫---|--|
sa i o stice i	-|-⌫-⌫----||
soitdemoustree et quec has cuns	---|---------|-|--|-⌫---⌫---|
i recoiue seloncsa desserte libo npa rd uraubl eioiee t	|------|-----|-|-------|-|--⌫|--⌫--⌫------⌫|---|-⌫|
limauluexpardurabletorm ant .	-|------|---------|----⌫--||
au i ordeliugema nt	-|-⌫-|--|------⌫-|
serunt ouertlietu ierrachascun totes	-----|----|-|-|-⌫----|------|----|
ses oiure setsespanseeset sesparoles	--|-----⌫|-|--|------|-|--|------|
et se ronttoteslesrepostai llesmanifestees .	-|--⌫---|----|--|--------⌫---|----------||
pl aideor neauoq uastn ar ontiloc mestier	--⌫-----|-|----⌫---||--⌫--|---|------|
neli grant louerqu iso u enttornent les	-|-|----|----|--⌫|--⌫-⌫--|------|--|
droiziu gemanzde desou zdesou r eei nsiugerail i	----|--⌫-----|-|-----⌫|-----⌫-⌫|--⌫-|------|-⌫|
dro iturex i ugesles ouresd echascun.	---⌫-----|-⌫---|--|----|-⌫|------||
puisquequeli	------|--|-|
i ugema nzsera ifezriens	-⌫-----⌫-|----⌫|--|----|
nepora imaisestre	-|----⌫|---|----|
mu eenechangie.	--⌫-|-|------||
lorslidi st iosaphat tumas dites	---|-|--⌫-|-------|-||-|----|
uneschoses m oult meruoillaubles etdo n	---|-----|-⌫---|-------------|-|--⌫|
mondes doitauoir pao ur.	-----|---|----|---⌫-||
priquet ume	--|--|-⌫|-|
diesconma nttu	---|-----⌫-|-|
sezce s choses	--|--⌫|-----|
et croizs iferm eman t	-|----|-⌫|----⌫----⌫|
puisqu e tunes	------⌫|-||-|
as ueuesne	-|----|-|
balaam lirespondicertefiedes cho sesq ui sont	-----|-|-------|-------|--|---⌫--|-⌫-|---|
aeu enir por	|--⌫---|--|
les chos esq uisunttrespassees	--|----⌫-|-⌫-|---|----------|
