moutparfugente c reature	---|--|-|----|-⌫------|
r a ins doliuiersen lor mainst i en nent	-⌫-⌫--||-------|-|--|----|-⌫-⌫--⌫---|
cesenefieamor	-|------|---|
eu astroeu ent	--⌫-|-----⌫--|
enson palais	-|--|-----|
les rai ns	--|---⌫-|
doliu i eraporter ent	|----⌫-⌫-|-------⌫--|
etbonementl esaluerent	-|-------|-⌫|--------|
se ign ordan tbilas	--⌫---⌫-|---⌫|----|
leroi de b ile	-|--|-|-⌫--|
etdedam as	-|-|---⌫-|
euas lorsalus lor rendi	---|--|----|--|----|
etbonementlorresp ondi	-|-------|--|----⌫---|
moutcortoi s et sages	---|------⌫|-|----|
ioustesoiassistles messages	-----|--|-----|--|-------|
delo rseign orademandé	-|--⌫|-----⌫-||-------|
dien tuerit e	----⌫|-----⌫|
portderommeestarriués	---|-|----|--|-------|
a plus deyyhommesarmés	|---|-|-|-----|-----|
ol ui uiennent	|-⌫-|-------|
maintc heualier	----|-⌫-------|
uenusestque rresamoil l ier	----|--|---⌫--|-|----⌫-⌫--|
gaieteque moutpriseet	-----|--|---|----|-|
sami eetsadamela	|---⌫|-|-|---|-|
mener l en	----||-|
ueult en sacontree	----|-|-|------|
l a ertroi necouronnee	-⌫|--|---⌫-|--------|
euas respontcees tdroiture	---|------|-|--⌫|-------|
en con treseusuaitsans	--⌫---⌫---|--|---|---|
ce ste no uuele f uoie	--⌫--|--⌫----|-⌫|--|
m ais deplusour snest pasioie	-⌫--|-|-------⌫||--|--|---|
proceli asn en	-------⌫-||-|
fupasli es	-|--|--⌫-|
es tgranme nt iriés	--⌫|------⌫-|-----|
de s amie formentl ipo ise	-||---|------|-⌫|--⌫--|
nusdeulsneser it neen uo is e	--||---|-|-|-⌫-|-|--⌫--⌫--⌫|
sortousc o rrociee est gaite	--|---|-⌫-⌫------|--|----|
quimoutse tinta desconfite	--|---|-|---||---------|
main en ap as ioie	----⌫|||-⌫-|---|
chambrequ enne	------|-|-|-|
se n es tel emout	|-⌫|--⌫|--⌫|---|
tost ent ree	---|---⌫--|
la ssechetiue maleure e	--⌫--|------|-------⌫|
q ue deuendraifait elcha itiue	-⌫-|--------|---|-|---⌫----|
or m epoise	-|-⌫|----|
qu e iesu iuiu e	--⌫|-|--⌫|---⌫|
parfoiathisseie uous	--|--|----|-|-|---|
moncorsmetrai	--|---|-----|
engrant desert	-|----|-----|
o nques en corenuleami e	-⌫----|--⌫---|---|---⌫|
pornul aminetraist	--|--|--|-|-----|
iemaudilesneslesnouue l es	-|----|--|--|--|-----⌫-⌫-|
maudile uen t etles es teles	----|-|---⌫|-|--|--⌫----|
quica trami st iceulsde	--|-|-----⌫-|-----|-|
merenamort plus	--|-||---|---|
etceuls ales sié	-|----||---⌫---|
moutdeu r o ie hairlame r	---|---⌫-⌫-⌫-|---|-|--⌫|
a tantesuous bilasle roi	-⌫---|-|---|----|-|--|
quientre en rommeagrantconr oi	--|----|-|----||----|----⌫-|
o soiamaine moutgrant gent	|--|-----|---|----|---|
liroisuenoit moutricheme nt	-|---|-----|---|-------⌫-|
m ou t otbel	-⌫--⌫|-|--|
homme elroib ilas	----|-|--|-⌫---|
encon tre uaitli roiseuas	-----⌫--|---|-|---|---|
en sonpalaism enal e roi	-|--|-----|-⌫--|-⌫|--|
c euls que lui plotm en aosoi	-⌫---|--|--|---|-⌫--⌫||--|
moutfueuasde gran t ualou r	---|-|---|-|----⌫|-----⌫|
au roibilas fistgrant honnour	-|--|----|---|----|------|
bilasrequ iertsoncouenant	----|----⌫---|--|-------|
ila moientent	-||--|-----|
p ieca ma s tu ta	-⌫---||-⌫|-|-|
filledonnee	----|-----|
etiel aipleuieet iuree	-|-||-|-----|-|----|
am oique i elaurai	|-⌫-|--|-⌫||----|
or l emere ntsileprendr ai	-|-⌫|-|--⌫-|-|-|------⌫-|
iesui uenus gaietequerre	-|--|----|-----|-----|
feraienmaterre	----|-|-|----|
h ast iuementsera	-⌫---⌫------|---|
terre auroiher mi ne	----|-|--|---⌫--⌫-|
lidonraiiequiteen douai re	-|-----|-|----|-|-----⌫-|
l enfera ifaire	|-|----⌫|----|
euasrespontbon	---|------|--|
sirebilasuost remerci	---|----|----⌫-|----|
euasasesamis man dés	---||--|---|---⌫---|
deceul sderomme desmieusnés	-|----⌫|-|----|--|----|---|
ent o rluifur entli torno i	---⌫-⌫|--|---⌫--|-|-----⌫|
toutlepalaisueissiés coi	---|-|-----|--------|--|
euas lordist oiéss e ignor	---|--|---|----|-⌫-⌫----|
bilas mef ait mout gr anthonnor	----|-|-⌫--|---|--⌫--|-----|
mafille ueult prendre	-|----|----|------|
amoilli er	|------⌫-|
et sondouaireotroier	-|--|------|------|
cestroiaume queuousoés	---|------|--|---|---|
ie uoilque uo us tuit le loés	-|---|--|--⌫-|---|-|----|
proceliasre spontapres	--------|--⌫----|----|
quebie nloentpar	--|---⌫||---|--|
l e pale s	-⌫|----⌫|
sirefa it il ielcontred i	---|--⌫-|-|-||-------⌫|
que ieni fui	--|-|||--|
n esto iep asences te terre	|----⌫-|-⌫-|-|---⌫-|----|
enuoltonconseil	-|---|-|------|
ensurq uetoutoanmasuer	------⌫-----|--|-|---|
niert ia donneesans mon cuer	|---|-|-----|---|--|---|
ets i uo usdien sorqueto ut	-|-⌫|--⌫-|-|--⌫--------⌫-|
cestmar iag ed eff ais tout	---|---⌫---⌫|-⌫---⌫--|---|
a imon co mpaignon donn e e	-⌫|--|--⌫-------|----⌫-⌫|
i lne lapasq uite clamee	-⌫|-|||--|-⌫---|-----|
cidei ous te moi	-|---⌫---⌫-|--|
ile nsontia andui parfoi	-|-⌫|---|-|----|--|--|
nepuetautreauoirtant qu e uiue	-|---|----|----|----⌫--⌫|---|
nelederi enne	|--|-|--⌫-|-|
seneschi ue	|-|-----⌫-|
tout auon s faitfors lespo user	---|----⌫|---|---||----⌫---|
ne sontlegi e r ades seurer	-|---|----⌫-⌫||---⌫-----|
bilasrespo ntireement	----|-----⌫-|-------|
uousp lai tnecouue nt	---|-⌫---⌫|-|-----⌫-|
neu ous en	-|-⌫--|-|
quiern emalne	----|-⌫|--|-|
neia poruo usn enlairairien	-|-|--|--⌫-||-|-----|---|
do nneb iensachois	--⌫--|-⌫--|------|
ielen men rai sil euerrois	-||-|---⌫--|-|-⌫|------|
n e iane remanra por	-⌫|-|-|------|--|
ie n esuipa s c iuenus sou ls	-|-⌫|--|--⌫|-⌫|----|---⌫-|
mout gran tcomp aignie	---|----⌫|----⌫-----|
defair eguerre bie ngarnie	-|----⌫|-----|---⌫|-----|
quid estrui ron tuostre	--|-⌫------⌫---⌫|-----|
selapucelem estueee	-|-|-----||--|---|
procelia sdi stparmonch ief	--------⌫|--⌫-|--|--|--⌫--|
mouttrouue réslemener grief	---|------⌫---|-|----|----|
desormonpois leu olé sprendre	----|--|---|-|-⌫----⌫|------|
grantg entuouscouuient por deffendre	----|-⌫--|---|-------|--|--------|
ainsque soiésuenu auport	------|-----|---|-|---|
enserontyymort	-|-----|-|---|
bilasres pont iele nmen rai	----|---⌫---|-||-⌫|---⌫--|
uoiantuousets ilapre ndra i	-----|---|-|-⌫|-|---⌫----⌫|
se euas leme ueul td onner	-|---|-|-|----⌫|-⌫----|
etsonsairementaquiter	-|--|--------|------|
por la puceleenu oieet ma nd e	--|-|-----|---⌫--|-|--⌫--⌫|
a yyde se s ami s	|-|-|--⌫|---⌫|
qu illamainentmout gen tement	-|-||-------|---|---⌫-----|
sia itmo ut belat orn ement	-|-⌫-|--⌫-|--|--⌫---⌫----|
e t ci lfir ent sa uolent e	-⌫|--⌫|---⌫--|-|------⌫|
enunechambr e sont entré	-|--|------⌫|---|-----|
ouga iete plouranttrouue ren t	-|--⌫---|-------|------⌫---⌫|
moutbonementleconforterent	---|-------|-|-----------|
bienl ato rnerentdechiers dra s	---||---⌫------|-|-----|---⌫|
pu isle mainentdeuant e uas	--⌫-|-|------|-----|-⌫--|
cele nuitot toutetrespa sse e	---|---|-|----|------⌫---⌫|
d epl oursfuauque slass e e	-⌫|--⌫---|-|-----⌫|----⌫-⌫|
sa mainteno it	-|---|----⌫-|
asam ais sele	|-|-⌫---⌫---|
plore restoit mout bele	-----⌫|-----|---|---|
ses plourers uautautrefemme	--|-------|---|----|----|
semb leg emme	----⌫-|-⌫---|
en chaoitleueco ntreu al	-|-----||--|--⌫-----⌫-|
quia mai nt hommefaiso i tmal	--||---⌫-|----|-----⌫-⌫|--|
asau quan s	-|--⌫----⌫|
poiseq u elepleure	----|-⌫|--|-----|
mais a bilas	---||----|
forment d emeure	------|-⌫-----|
laitiae nsabaillie	|--|-|-⌫|-|------|
n estde riens am ie	|--|-|---||--⌫-|
piesle ués	---|--⌫---|
bilasfa it ilormentende ́s	----|--⌫-|-|-||-------⌫-|
ieuousaidonn ee mafille	-|---|-|----⌫-|-|----|
m aisceste ch osemout perille	-⌫--|----|--⌫--|---|------|
cistmar iagesmal me samble	---|---⌫----|--|-|-----|
s acorde pas en samble	|-----|--|--⌫-----|
c aralunnatalentemie	-⌫-|||-||-------|--|
etsesfre res	-|--|---⌫--|
pasnelot rie	--|-||--⌫--|
au tre conseilont par eulspris	--⌫--|------|--|--|---|---|
c arprocelias	-⌫-|--------|
son t moutamienlor enfance	---⌫|---|--|-|--|------|
pour c e e n est teusl adisc ordance	---|-⌫|-⌫|--|---|-⌫|----⌫------|
q uesa serorliueult donner	-⌫-|-|----|-|----|-----|
mou tsontmai sgriefade sseurer	---⌫|---|---⌫|----||--⌫------|
ensauoieriendu p lait	-|-----|---|-|-⌫---|
priueementlontentreulsf ait	---------||--|---|---|-⌫--|
qu i femmeueultgarder	--⌫|----|----|-----|
de sque len pue t	--⌫---|--|---⌫|
ali p arler	|-|-⌫----|
maisnepou rq uantlemiencouue nt	---|-----⌫--⌫---|-|---|-----⌫-|
uou s uoiltenirdel sa ire men t	---⌫|---|----|--|--⌫---⌫---⌫|
gaieteaprise	-----||----|
par lamain	--|-|---|
i ls eignorrommain	-⌫|-⌫-----|------|
entenésm ie ap ari ure	-|-----|-⌫-||-⌫---⌫--|
t ortfair eenuer sdroiture	-⌫--|----⌫|-----⌫|-------|
bilasfaitil tenés gaite	----|---|-|-----|----|
demoie part le uo usaquite	-|---|---|-|--⌫-|-----|
uers uo us mensui	---|--⌫-||-|--|
bienaquités	---|-------|
doreenauant ne m e n b lasmé s	----------|-||-⌫|-⌫------⌫|
uous nelperd rés	---|-||----⌫---|
mie parmoi	--|--|--|
par monconseil par monotroi	--|--|------|--|--|----|
romme la uousmetra i	----|-|---|-----⌫|
ma isplusne men entremetrai	--⌫-|---|-||-|----------|
dilecen auantle	|---|-|----|-|
conduie ́ slenseuouspoués	-------⌫-⌫||-|-|---|-----|
etsi com ant	-|-|---⌫--|
asrommainsbien	-|-------|---|
qu ilneuou senquierent derien	-|-|-|---⌫|---------|-|---|
b ilasre spont mieusne	-⌫---|--⌫----|----|-|
bi enmet enésmoncouenant	--⌫-|-|-⌫----|--|-------|
dusairementquiteuousclaim	-|--------|----|---|----|
quitpasque lirommain	---|--|--|-|------|
la mep uis sentiam estolir	-|-|-⌫---⌫---|---⌫-|----|
tropenic ouendr oit	---|-||-⌫------⌫--|
illerec hoit cele souspire	-|-|---⌫---|---|-------|
sonfrereesgardelorsotire	--|----|------|---|-|--|
quant enuersluisest retorn ee	----|-----|--||--|------⌫-|
p etitne se stpasmee	-⌫---|-||-⌫-|-----|
at hislesgarde si u int	--⌫--||------|-|-⌫--|
ene stant fuet si parla	-|-⌫----|-|-|-|----|
s ique tout elacourt	-⌫|--|----⌫|-|----|
bilasfaitilie tede ffi	----|---|-|-|-|--⌫--|
amistiedelapucele	------|-|-|-----|
uoiderontm aint cheu aliersel e	--------|-⌫---|----⌫----|---⌫|
contredibilas	-------|----|
etsaches que ia nen gorras	-|-----|--|-||-|-----|
setule prens	-|-|-|----|
sormondeffe ns	--|--|-----⌫-|
poi detens	--|-|---|
ains neueismaismariage	---|-|---|---|------|
qu itorna st	--⌫|-----⌫-|
gran tdommage	----⌫|------|
bi lasrespont mainte menace	--⌫--|------|-----|-----|
aihuioiencest eplace	-|--|-|-|----⌫|----|
touteuoiela uoilieprendre	----|---|-|---|-|------|
comentqu i lau ieg ne d el rendre	-------|-⌫|--⌫---⌫-|-⌫-|-----|
ene s t bonelasaisine	-|-⌫-⌫|---|-|------|
p arlunemain p ristl a mes chine	-⌫-||--|---|-⌫---|-⌫|---⌫----|
celerespo nt qui	---|-----⌫-|--|
fucorto ise	-|-----⌫--|
se uousestbelamoi en p oi se	-|---|--|--||--|-|-⌫--⌫-|
pa rma utal en t s	--⌫|--⌫----⌫--⌫||
e ns onttorn e ́	-⌫|-⌫--|----⌫-⌫|
li compaignonet	-|---------|-|
e t onttan t	-⌫|--|---⌫|
de romma ins sem ons	-|-----⌫--|---⌫--|
quala forcedescompaign on s	-||-|----|--|--------⌫--⌫|
furentbien	-----|---|
plusdeyymillie r	---|-|-|------⌫|
tout bachele riouene etlegier	---|-------⌫|-----|-|-----|
dunlignagedon tmo utsamoient	|-|------|---⌫|--⌫-||------|
etqui mout bien	-|--|---|---|
sentraidoien t	|-----------⌫|
deforsderommelo r ontfais	-----|-|----|--⌫|--|---|
parestablieyy	--|-------|-|
moutp ar estoientb ienarmé	---|-⌫-|-------|-⌫--|----|
etdebat ailleconr eé	-|-|---⌫----|----⌫--|
p rocelias otu npare nt	-⌫-------|-|-⌫|----⌫-|
quimoutest oitde fie r talent	--|---|---⌫--|-|---⌫|-----|
bien f u armé ssotnonc an or	---|-⌫|-----⌫||-|--|-⌫--⌫-|
e t cheuauch oituncheualsor	-⌫|--------⌫--|-|-----|--|
ce l uicomman deune c ompaigne	--⌫-⌫-|------⌫-|--|-⌫-------|
etp ortlenseigne	-|-⌫--||-------|
et aubesoing so ient mo u tp reu	-|-|------|--⌫---|--⌫-⌫|-⌫--|
sit ostcom il u endront	-|-⌫--|--|-|-⌫------|
enbuschiése	---------|-|
so n tenunual	--⌫-⌫|-|-|--|
e tlorar me setlo rche ual	-⌫|--|--⌫--⌫|-|--⌫|---⌫--|
bilasa congie	----||-----|
a enromme e sté	|-|----|-⌫---|
d esqueil a cequeilquiert	-⌫----|-||-|--|-|-----|
qu enlacite plu sniert	-|-|-|---|---⌫||---|
en riantdistmontés	-|----|---|------|
uost re compaignie mestbele	----⌫-|---------||--|---|
e le respontsedi eusmaist	-⌫-|------|-|--⌫--||---|
delauostremestmout	-|-|-----||--|---|
ou iel uousdieou	-|-||---|--|-|
u o ustaise	-⌫-⌫-|----|
neui mais riens	-|-|---|----|
me p laise	-|-⌫----|
sedamed ieus m e	-|-----⌫---|-⌫|
cour teuous ertmacompai gnie	----⌫-|---|--|-|------⌫---|
bilas respontmout felsengler	----|------|---|--|------|
alenueusouuentdout er	|--|--|------|----⌫-|
s euous o re estesuersmo if i e re	-⌫|---|-⌫-|----|---|--⌫|-⌫-⌫-⌫-|
uousreser ésd autremaniere	---|-----⌫--||----|------|
une fontaineaenmater re	--|-------||-|-|---⌫-|
quien b oitautreneu eultquerre	--|-|-⌫--|----|-|-⌫---|-----|
iafaitel e celefontaine	-|---|--⌫|---|-------|
ne meserabonene s aine	-|-|---|---|-|-⌫---|
mo nterl afaitli et sagent	--⌫---|-⌫|---|-|-|-|---|
resnebil as	----|---⌫-|
e uas les ma inea sa luete	-⌫--|--|--⌫--||--⌫----|
tantq ueforssontde la c ite	-----⌫-|---|---|-|-|-⌫--|
furentderommeissu	-----|-|----|---|
etenl aplai ne	-|-|-⌫|----⌫-|
euasfumoutd ebonefoi	---|-|---|-⌫|---|--|
des o r p rendr aco ngie au	--|-⌫|-⌫-----⌫|--⌫---|-|
caril se t	--|-|--⌫|
bienque lirom main	---|--|-|---⌫---|
s ontmoutdor gueil etd ireplain	-⌫--|---||--⌫----|-||--|----|
neuoldroi t pas quensonconduit	-|-------⌫|--|-|-|--|------|
eustsebiennonet dedui t	---|-|---|--|-|-----⌫|
ain sse uol dra de	---⌫|-|---⌫--|-|
l u i part ir	-⌫-⌫|----⌫-|
queli uoiemesauenir	--|-|---|--------|
sire faitilor sommesfors	---|---|-|-|-----|---|
orgartch ascunsmo utbien soncors	-|---|--⌫-----|--⌫-|---|--|---|
mar ine so mmes pres	---⌫--|--⌫---|---|
conduitnestes uousmes	------||----|---|--|
gar désu ou sb ienpa r cest pais	---⌫---|-⌫--⌫|-⌫--|--⌫|---|---|
que moutiauésanemis	--|---||----|-----|
porlam istiedegaietain	--||--⌫----|-|-------|
uous heentf ormentli rommain	---|----|-⌫-----|-|------|
loiaumentai ue rs uouserré	--------|-|--⌫-|---|----|
or uouscommant	-|---|------|
fi lle faitilie	--⌫--|---|-|-|
uouscomman t	---|------⌫|
adamedieu omnipo tent	|-------|------⌫---|
ne saimais q uan t uousuerrai	-|--|---|-⌫---⌫|---|-----|
mais e n moncuer uo us	---|-⌫|--|---|--⌫-|
il l abaisaetelfu	-|-⌫|----|-|-|-|
ad ontse pasme etil retorne	--⌫--|-|----|-|-|------|
euassenretorne uers romme	---||-|------|---|----|
bilasamissorso itel somme	----||--|--|--⌫|--|----|
sor soncolportesig ri ef	--|--|--|----|-|-⌫--⌫-|
q uesipes an tne porta	-⌫-|-|---⌫--⌫|-|----|
por lesrommainsformentse	--|--|-------|------|-|
est ormissenth uis aro ut e	---⌫--------|-⌫-|-⌫|--⌫--⌫|
la gentapelequ	-|---|----|-|
armé s uous fait ilseign ortuit	-----⌫|---|---|-|-----⌫-|---|
ienemefierai en romma ins	-|-|-|-----|-|-----⌫--|
t rouuaiuersmoi uilains	-⌫-----|---|--|------|
ne uoilquedes armés	-|---|--|---⌫-----|
uous truis ent	---|-----⌫--|
ne que desconfire n ous puissen t	-|--|---------|-⌫--|-------⌫|
cilsontaterre	--|---||----|
mouttostsa rmaqui olui	---|---||-⌫--|--||--|
tostrepai ri erentasestris	---|-----⌫--⌫----|-|-----|
monten tet ont leses cu s pris	------⌫|-|--|--|--⌫--⌫|---|
quant assisfurent	----|----|-----|
etdesploiéslesconfanon s	-|---------|--|--------⌫|
moutot bi las belecomp aigne	---|-|--⌫--|---|----⌫----|
del orarmes	-|-⌫-|----|
luistl achampaigne	----|-⌫|---------|
bilasestoi tmoutbien arme ́s	----|-----⌫|---|---|----⌫-|
moutfub ien	---|-|-⌫--|
dore sper onnés	|-|-⌫----⌫-----|
moutlis eoitbien	---|-|-⌫---|---|
etsesbransd acieresmo lu s	-|--|----||----|----⌫--⌫|
moutdesirre cheualerie	---|------|---------|
por celequ aen	--|---|-||-|
sa ba il lie	-|--⌫--⌫--|
etmo utuoldroit	-|--⌫-|-------|
telchose faire	--|----|----|
dont lapoist	---|-|----|
uers soia traire	---|--|-⌫-----|
par laresnegaietemaine	--|-|----|-----|----|
ma isille trueue mout uilaine	--⌫-|-|-|-----|---|------|
parmainte foisgard e uers romme	--|-----|---|----⌫|---|----|
dieusfaitelee tousont li homme	----|---|--|-⌫|-|---|-|----|
mesoloien tamer	-|-------⌫|---|
lai ssentorporter	---⌫----|-|-----|
delc uer so uspire des i eus pleure	--|-⌫--|--⌫-----|--|-⌫--|-----|
qu elefune e mauditl eure	-|--|-|--⌫|-----||---|
m aislirois beleme nt li prie	-⌫--|-|---|------⌫-|-|---|
belefaitilne	---|---|-|-|
plourésmie	-------|--|
nesoiéspasenteleffroi	-|-----|--|-|--|-----|
metésu ostre corageenmoi	-----|-⌫----|-----|-|--|
qua nqueuousu oudrois	---⌫---|---|-⌫------|
i es uiuostresiani	-⌫|-⌫-|------|-|||
enuos tre cuer auésdurmestre	-|---⌫--|---|----|--|-----|
sirefa itelene puet	---|--⌫-|--|-|---|
neuous a meroie anul fuer	-|---|-⌫-----||--|---|
n aienmonuentre cun seul	|-|-|--|-----||-|---|
aicest motmutl a	|----|--|--|-⌫|
belef a itilmoutiestesfole	---|-⌫-⌫-|-|---|-----|---|
est éaué s a autreesc ole	---⌫-|----⌫||----|---⌫--|
uostrepenssersnest	-----|-------||--|
roiseti lestcons	---|-|-⌫|--|---|
chierse st ar ge n s	-----|-⌫-|--⌫--⌫-⌫|
etmieusuauto rs	-|----|---|-⌫-|
de c estpensse uousge tésfors	-|-⌫--|-----|---|--⌫---|---|
elerespon tquenele fera	--|------⌫|--|-|-|---|
quenultempsne l e gu erpira	--|--|----|-|-⌫|--⌫-----|
la mourdont	|-⌫---|---|
elemoutsed i eult	--|---|-|-⌫-⌫---|
cestr ichece queli	|--|-⌫-----|--|-|
honsuieu lt	---|----⌫-|
mieu suoil unebasse conte	----⌫|---|--|----|----|
que strero i neoutre mon gre	-|-⌫---|--⌫-⌫-|----|--|--|
sicom i luontfa isantcest conte	-|--|-⌫|---|--⌫----|---|----|
