uousau és deuantbienoit	---|--⌫--|-----|---|--|
ern ousletu a	---⌫--|-|--⌫|
et oraués	-|-|----|
cargiés lenfant	-------||-----|
tel ki len fis talerfuiant	--|-||-|---⌫|---|-----|
ia liquensse l iroisuosist	-|-|----|-|-⌫|---|-----|
le du c e nsi	-|--⌫|-⌫--|
o cisn euis t	-⌫--||----⌫|
quil neleuist uprisu mo rt	-|-|-||----||---||--⌫-|
bi en setlic a suilsamort	--⌫-|--|-|-⌫-⌫||-||----|
roiskilenf anta	---|-||---⌫--||
no s escapera	--⌫|-------|
lo rs uinrentalostelle	--⌫-|------|||----|-|
sil asaillirentadesr oi	-||----------||----⌫-|
e tliroisdemanda q uecert	-⌫|-|---|------|-⌫-||--|
sifa is asausdont li	-|--⌫-|----|---|-|
quelinorma nt	--|-|-----⌫-|
lasaloienttoutpour l	|--------|---|---||
lors ign orkil	--|-⌫---⌫-||-|
te noitensi	--⌫---|---|
et li r ois	-|-|-⌫--|
kisenesbahi	-||-|-----|
parle consel	--|-|-----|
cont ebi ernart	----⌫|--⌫-----|
e t d es autres unegrant part	-⌫|-⌫-|-----|--|----|---|
prist ricartl enfan t	----|-----||-----⌫|
a s on col	|-⌫-|--|
br a s etd e plainuo l	--⌫-⌫|-|-⌫|----|--⌫|
celegenta rmee	---|---|-⌫---|
kisipar es t oit desrae e	-|-|--|--⌫-⌫--|------⌫|
etlora dit pargrant	-|--||--|--|----|
nai iésdoutance bielsign or	|--⌫---|-------|---|----⌫-|
queioufac enulmall	--|--|---⌫|--|--||
ne o rneia amonu iu ant	-|-⌫|-|-||--|-⌫--⌫--|
carmal ementme	--|---⌫----|-|
enf antnu lm al faisoie	---⌫--|--⌫|-⌫-|------|
pa rsonpere fui courounés	--⌫|--|---|--|---------|
etde ngl etiere	-||-⌫---⌫-----|
rema nd é s	----⌫--⌫--⌫|
me f ist auoi r	-|-⌫--|----⌫|
a henrileroidal emag ne	|----|-|--||--⌫----⌫-|
etpour mounourgarderetfa ire	-|---||-----|-----|-|--⌫--|
oc isag rantcon traire	--⌫-||-⌫---|---⌫-----|
etgeluengeraise iou puis	-|-||-------|-|--|---|
seleconteernoliamest ruis	-|-|----|----|----|-⌫---|
aleunuoissimanderai	|---|---|-|-------|
etled ucuengerai	-|-|-⌫-|-------|
lorssetra istaeureus	---|-|---⌫--||-----|
et sagentettou s	-|-|---|-|---⌫|
iurer la feaute	----|-|-----|
tous le sbaronsde	---|--⌫|-----|-|
alrep air iera ruem senuin t	-|---⌫---⌫--||---||-|---⌫|
etno rmantprin ce plus deyy	-|--⌫----|----⌫-|---|-|-|
l e mer ciierent durement	-⌫|---⌫-------|-------|
i l otfait saire ment	-⌫|-|---|-----⌫---|
fairealenfant etfeaute	----|||-----|-|-----|
tousl esprince sdela	---|-⌫-|------⌫|-|-|
leur distroi slo eys	---|---|---⌫|--⌫--|
secise nfe s estoitnouris	-|--|-⌫---⌫|-----|-----|
enmamaison miolsenuaudroit	-|-|-----|----|-|-------|
etmiousensign ié senseroit	-|----|------⌫---⌫|-|-----|
l i norma nt et toutli	-⌫|-----⌫-|-|---|-|
n ientendi rent	||-------⌫---|
mais dece usle salirois	---|----⌫-|--⌫||-|---|
parses dise tparson gabois	--|--|--|-⌫|--|--|-----|
etpuisatant faitpar sonar t	-|---||---|---|--|--|--⌫|
asnormansalcon te	-|------|-|---⌫-|
que ricard eslifucargiés	--|------⌫-|-|-|-------|
po ur cou quemiousf ust	--⌫-|--|--|----|-⌫--|
e nsigniés	-⌫--------|
etliq uensernous	-|-|-⌫---|-----|
entretan t	--------⌫|
fistalro ipa is	---|-|--⌫|--⌫-|
aso ncommant	|--⌫|------|
dela mortl ed ucqu	-|-|---|-⌫|-⌫-|-|
etd elautreparttantrefist	-|-⌫||----|---|---|-----|
consellar oine	-----|-|-⌫---|
gerb ergequilotenhaine	----⌫---|--||-|-|----|
maneca liroisalenfant	-----|-|---|||-----|
lesgieraisquir e maintenant	--|------|----⌫|---------|
nouui elee nn ormandie	-----⌫--|-⌫|-⌫-------|
que lirois iqueroit	--|-|---||------|
silife roit	-|-|--⌫---|
lesgambesq uire	--|-----|-⌫---|
po ur satiereauoir	--⌫-|-|----|----|
etdes truire	-|---⌫-----|
dontfisentlinormant proie r e	---|-----|-|------|-----⌫-⌫|
quedieuxrendistl	--|----|------||
enfantari ere	-----|---⌫--|
oiésc omment	----|-⌫-----|
osmonsqu ig ardeenestoi t pris	-----|--⌫|-⌫---|-|-----⌫|---|
fistlenfanconmalad e	---||-------|-----⌫|
ne autrementne luotdest raindre	-|--------|-||--|----⌫------|
d eparol enedeprouie rbe	-⌫|-----⌫|-|-|------⌫--|
puis ma ndazz	---|--⌫--|-|
fasselond ie rbe	-------||--⌫--|
s i lia lenfanconde dens	-⌫|--||-------|--⌫---|
ioune saisouuinu endens	--|-|--|-----||-----|
si comliroi ssi stal mangier	-|--|-|---⌫|--⌫-|-|------|
sour soncoll	---|--|--||
alae ncargier	--|-⌫-------|
ausicomme l ierbeport ast	---|----||----|----⌫--|
sonronc iledounast	--|----⌫|-|------|
puis estmontésa tout	---|--|------|-⌫---|
alconteb iernartuint	-|----|-⌫------|---|
a senlis s ili	|-----|-⌫|-|
comment le nfantotaporté	------||-⌫----|-|------|
ensireuint l	---|-----||
enfes sans g iere	----|---|-⌫---|
maisliroi s ot	---|-|---⌫|-|
moult desatiere	----|-|-|----|
etli quensbiernarsuintmar is	-|-|----|-------|---|---⌫-|
ahuonl e grantaparis	|---|-⌫|----||----|
silir equistengrantbo nte	-|-|-⌫-----|-|----|--⌫--|
ki laidastquen sonh irete	|-⌫|-----|-|-|--|-⌫----|
refus tli enfes ses	-----⌫|-|----|--|
quidus est oitet	--|--|---⌫--|-|
tantliprom is ttant	---|-|----⌫--⌫|---|
quehueslenasseura	--|---||-|------|
encelaf aireencel triboul	-|--|--⌫---|-|--|------|
mandali roisleconteernoul	----|-|---|-|----|-----|
deflan dreskiluenist a lui	-|----⌫---||-|-----||--|
etiliuiuntsans nulr efui	-|-||----|---|--|-⌫---|
si loale ro i kilmandast	-|--|-|--⌫||-|------|
huonle grant	---|-|----|
hue s li grans	---⌫|-|----|
ier t uenus	|--⌫|----|
moul t liementfu	----⌫|------|-|
silerequis tliroi sda ie	-|-|------⌫|-|---⌫||-⌫-|
etillidonroitnormen die	-|-|-|------|------⌫--|
par delasa innequitement	--|---|--⌫---|--------|
merentire ment	--|------⌫---|
parceldon quon lia douné	--|--|--|-|-|-||-----|
li gransoub lié	-|----|---⌫---|
le saire ment	-|-----⌫---|
q uefait auoit	-⌫-|---|----|
quelenfant ri cart	--||-----|--⌫---|
aider oi t	-----⌫--⌫|
orotle r oia s se uré	-|-|-|-⌫-|-⌫-⌫--⌫---|
et sairement lenaiuré	-|--------||-||----|
quantbierna r sl e danois le	----|------⌫-⌫|-⌫|-----|-|
ahu onui nt com a insilpot	|--⌫-|--⌫-|--|-⌫--|-|--|
etd ist quen snobles q uens adr o it	-|-⌫--|----⌫|-----|-⌫---|---⌫-⌫-|
quime iurasaidier d edroit	--|-|----|-----|-⌫|----|
awesle nfant	|--||-⌫----|
deshireté	---------|
t antk il reuistson hi ret e	-⌫---|-|-----|--|--⌫---⌫|
di moikiteke rr aiamais	-|--|-|-|--⌫--⌫|-----|
cesthontes	|--|-----|
quenus n ete p oramaiscroire	--|--|-⌫|-|-⌫--|---|-----|
tapar o le	-|---⌫-⌫-|
n estmieuoire	|--|--|----|
granss etint m o ultquoit	----|-⌫|---|-⌫-⌫--|----|
sipensa bienq ueuoir dis oit	-|----|---|-⌫-|---|---⌫--|
sil iad istparhumel ite	-|-⌫||-⌫--|--|-----⌫--|
biernart uo usditesuerite	-------|--⌫-|----|-----|
moult menrepe ncet siuodroie	----||-|----⌫-|-|-|------|
tro puolen tiers	---⌫|-----⌫----|
se ioupooie	-|--|----|
qu al roin eu i sserienprom is	-|-|--||--⌫-⌫--|---|----⌫-|
quaruou siestes mo u lt	---|---⌫|-----|--⌫-⌫-|
oren alés ioupenserai	-|-|----|--|-------|
quelenfa ntpasn e	--||----⌫-|--|-⌫|
biernarssen est partisatant	-------||-|--|-----|----|
aruemsen e st	|---||-|-⌫-|
uenusbata n t	----|----⌫-⌫|
desenlis l imanda	-|-----|-⌫|----|
liroissenbatoitla	-|---||-------|-|
qu en lau il e	-|-|-|-⌫--⌫|
le hierbeg asse nt	-|-------⌫----⌫-|
agrant i oieetseli blasmasent	|----|-⌫--|-|-|-|---------|
de co uqui lauoit norme ndie	-|--⌫|-|-⌫|----|-----⌫---|
ahuo nlegrantmip ar tie	|---⌫|-|----|---⌫--⌫--|
lir oi sotmandees sesos	-|-⌫--⌫|-|------|--|-|
aru e msen	|--⌫-⌫||-|
estuenusmoult	--|----|----|
en tr elui ethuonlegrant	--⌫--⌫|--|-|---|-|----|
ki latiere aloitgoulousant	-|-|----|----|---------|
et log iers	-|---⌫--||
alao utre sainne	--|-⌫---|-----|
au o ec sa	--⌫-⌫-|-|
gentkil iamainne	---||-||------|
liquensbiernars	-|----|-------|
quim ou lt	--|-⌫--⌫-|
sorentdengiens	-----||------|
apourciessio nsansdesroi	|-----------⌫|---|-----|
re ciu re ntliementle	--⌫---⌫--⌫-|------|-|
etdisen tquemoultlietestoient	-|-----⌫|--|----|---|-------|
de couqueasignourlauroient	-|--|--||------||-------|
nautrene uolo ientiam ais	|----|-|----⌫---|---⌫--|
quar ill estenroitbi enapais	---|-|-⌫-|------|--⌫-||---|
ilmaluoscons elle	-|--|--|----⌫---|
sigrantme ruel le	-|----|--⌫----⌫-|
quelamoitiedenormendie	--|-|-----|-|--------|
grant auéspartie	----|----|-----|
li quensb iernarsal ro itan t fist	-|----|-⌫------|-|--⌫|---⌫|---|
bl angatantlipr om ist	--⌫---|---|-|--⌫--⌫--|
queh uonlegran tr emanda	--|-⌫--|-|----⌫|-⌫-----|
u i ll ogha	|-⌫|-⌫---|
gent quequenus die	---|--|--|--|--|
alassent fo rs denormen d ie	-------|--⌫-|-|------⌫-⌫-|
carnule cose n iauoit	--|---|---|||----|
ne nul c ouuentnel itenroit	-|--|-⌫-----|-|-⌫|------|
carnor mend ieentirem ent	--|---⌫----⌫-|-------⌫--|
deuoit iestred un	-----|-----||-|
ne iapartie ne sero it	-|-|-----|-|----⌫-|
maisparluit oute letenroit	---|--|--|-⌫---|-|------|
hues l igransluessen ala	---|-⌫|----|---||-|--|
m aisdureme ntsen coureca	-⌫--|------⌫-||-|------|
etlo rsfistlirois loeys	-|--⌫-|---|-|---|----|
raoulletourte d e	----|-|-----|-⌫|
de n ormendi esenesk al	-|-⌫-------⌫|------⌫-|
et comm ende uret	-|----⌫----⌫-|-|
princ eet bal	-----⌫|-|--|
si fist raousla tourte abat re	-|---|----|-|-----|----⌫-|
iounesa iy ymoustiersu	--|-|--⌫|-⌫|--------||
et de lapier equili	-|-|-|----⌫|-|-||
l es mursderuemf ermaet fist	-⌫-|---|-|---|-⌫---|-|---|
aleun f u uenuslir ois	|---|-⌫|----|-|-⌫--|
norm antetbierna rslidanois	----⌫--|-|------⌫-|-|-----|
mand erent p o uruenir en m ar c e	----⌫----|-⌫-⌫-|----|-|-⌫--⌫-⌫|
aigrout l eroidedane marce	------|-⌫|--|-|----⌫----|
en coustentin	-|---------|
tout dr oitessalinesco rb i n	---|--⌫--|-|------|--⌫--⌫-⌫|
lauduuechieten lamer	-||---|----|-|-|--|
et l ino rman t sansdemorer	-|-⌫|--⌫----⌫|---|------|
manderentliroiloey s	--------|-|--|----⌫|
quetost soucourustlorpais	--|---|---------|--|---|
uiersaigrolt quisorausestr iue	----|------|--|--|--|----⌫--|
roi s uintalguedediue	---⌫|---|-|--|-|---|
atoutesost ap arlement	|----||--||-⌫-------|
c ontre dano iskifierement	-⌫----|----⌫-|-|--------|
l i r ep rouuerentcelem ort	-⌫|-⌫--⌫--------|---|-⌫--|
quot li d usw illaumes atort	-|-|-|-⌫-|-⌫-------||---|
parq uiil ot esté mand és	--|-⌫-|-|-|----|----⌫--|
e nengle tie reet	-⌫|-----⌫---⌫-|-|
couronnés	---------|
lorsiot si tresgranttencon	---||-|-|---|----|-----|
q uelinor mant a	-⌫-|-|---⌫---||
lecontehe r luin tuerent	-|----|--⌫-⌫---|------|
conteski laeren t	-----|-|-|----⌫|
auoecleroi ettou tliaut re	----|-|--|-|---⌫|-|---⌫-|
senf uir ent	|---⌫---⌫--|
lancesourfaut re	----|---|----⌫-|
