s eig nors preueire	-⌫---⌫---|-------|
nos t re charl emirre	---⌫-⌫-|---|-⌫|----|
signefi e ieuner	-------⌫|-----|
ueille raler	------⌫|---|
enp elerinage uisiter l es	-|-⌫--------|------|-⌫-|
pour eslesm alades	----⌫-|--|-⌫-----|
sun tsans osta us	---⌫|---|----⌫-|
icestesch ose squis unt	------|--⌫---⌫|--|-⌫--|
lamaluaise cha rma ss icum	-|-------|---⌫|--⌫|-⌫|--|
l i mirres qui	-⌫|-----|--|
deffentlo cor sdaus uermsq ueil	------|-|---⌫|---|----|-⌫-|-|
nesema umettent	-|-|--⌫-------|
issin osdeffende ntcestes oure sde	---|-⌫-|--------⌫-|-----|----⌫|-|
pechee del amone stement	----||-||-----⌫------|
audeablequeil	-|-----|--|-|
nenospuisse	-|--|-----|
maume ttrenemaufaire	-----⌫---|-|-------|
seignors orauezoi la s i gnefiance	-------|-|---|-|-|-⌫-⌫--------|
quel i yyreifirent	--|-⌫|-|--|-----|
delofferendeuosauezhuioffride	-||--------|--|---|--|----|-|
uostreargen t ade	-----|-----⌫||-|
de uostre bie nte rr ienpa r les s ample	-|-----|---⌫|--⌫--⌫--|--⌫||--⌫-⌫----|
da usyyreisoffri ssez	--⌫-|-|---|-----⌫---|
l in onpasseulement	-⌫|-⌫-|--|--------|
oima st ozl es	-|--⌫|-⌫-|-⌫-|
iorz deuostreuieespirit aument	---|-|-----|--|-------⌫-----|
oreen cen s	-||--⌫---⌫|
emirresicum ge	|----|-|--|-|
aidi t orporfermecreance	-|--⌫|-|--|----|------|
e ncenspar sainte oreisonmir rep ar	-⌫----|--|-----|------|---⌫-|-⌫-|
boneour eparl e mortefiement	---|---⌫|--|-⌫|-----------|
delacharceu sunt l es	-|-|---|--|---|-⌫-|
o f ferendes	-⌫-⌫-------|
quedexrequerttoz	--|--|------|--|
ior sason cre stienepar	---⌫||--|---⌫----||--|
crestienssi ill esfait	--------|-|-|-⌫-|---|
deserte c onquertla ioie	-----||-⌫------|-|---|
durableedamerede xlinostre	------||--------⌫|-|-----|
siresquip or nos deigna nestreen	----|--|-⌫-|--|-----|-----|-|
terreeuot estre	----||--|----|
e aorez daus yy	|----|---|-|
reispa iensnos don t	---|--⌫---|--|---⌫|
lagracedausaint	-|----|--|----|
esper iten noz	-----⌫-|-|--|
corages par queinos	------|--|---|--|
puissomiceleschoses	------|-----|-----|
hairqueilh ai stelaissericeles	---|--|-|-⌫--⌫-||------|-----|
chosesqu e ilnosd effent	-----|--⌫|-|--|-⌫-----|
e am erceles chosesquil	|--⌫-|----|-----|-|-|
co man deeenlui	--⌫---⌫-||-|--|
iss i creire	---⌫|-----|
seru irenterre	----⌫-|-|----|
aueirlagloire dauceau	----|-|-----|--|---|
e u angilesd uino s r econte	-⌫-⌫------||-|--⌫|-⌫-----|
noces furent	----|-----|
faitese nla	-----|-⌫|-|
terredeierusaleme nune	----|-|--------|-⌫|--|
ciptequ ifutapelee	----|--⌫|--|-----|
chanaenicel	----|-|---|
t emps que	-⌫---|--|
li fil zde	-|---⌫|-|
alot corp or aume ntpar	---|----⌫--⌫----⌫-|--|
terreaicestesnocesfutno s t re	----||------|----|--|--⌫-⌫-⌫-|
saintemariee	-----|----||
nos tresire s	---⌫--|----⌫|
esidescip le si i	|-|------⌫-|-||
failli parauenture	-----|--|-------|
cum i lfut faill izsidit	--|-⌫|--|-----⌫-|-|--|
nostre damesaint e	-----|---|-----⌫|
nostreseignoril n	-----|------|-||
point deuin e	----|-|--||
no stresires	--⌫---|----|
lirespondit	-|--------|
qu e iapartent	--⌫-⌫|-------|
ateifemmeor	|--|----|-|
oseplus di renostredame mas ele	--|---|--⌫-|-----|---|--|--|
di st aussiru enz	--⌫-|--|----⌫--|
auei en ts eru idauuin	----⌫--⌫|-⌫---⌫|--|--|
quan tquei luos	----⌫---|-⌫|--|
c ommanderasi f aites	-⌫--------|-|-⌫----|
e nos tres ires	|---⌫--|-⌫---|
apel aless iruenz si	----⌫|--|-⌫-----|-|
lordist empl ezfait	--|---|----⌫-|---|
ilces ydresda i gueenicelluc	-|--|----||-⌫-⌫--|-|---|--|
yyyd resdepeireq ui	-|--⌫--|-|----|-⌫-|
e s tei e nt a pelees baigneoiresou liiue	-⌫-⌫---⌫-⌫-|-⌫-----|----------|-|-|--|
sebai gnoient	-|---⌫------|
elouoientporestr e	|-------|--|----⌫|
nept ee por	----⌫||--|
costumee stoit aiceltemp s	------|-⌫----||---|----⌫|
le ssirue nz emp lirent	--⌫|-----⌫-|---⌫-----|
l esua isseausdaigueeel efut	-⌫-|--⌫------||----||--⌫|--|
ignelle pasmuee e nuinpar	-------⌫--|---|-⌫|--|--|
lauolunten ostreseignor silord ist	-|------|-⌫----|------|-|--|-⌫--|
nostresireaus siruenz	-----|---|--|------|
p oisez ep or t ez	-⌫----||-⌫--⌫-⌫-|
archetheclin li	-----------|-|
archetreclins	------------|
e steitapelez cilq uiaueit	-⌫----|-----|--|-⌫-|----|
g ardel a chosealespous	-⌫---|-⌫|----|||-----|
ecumilot g ost é dau	|--|-|-|-⌫---⌫-|--|
uinquenostre	--|--|-----|
siresotfaitd	----|-|---||
ilne saueit	-|-|-----|
paslomi raclee	--|-|--⌫----||
lisiruentou	-|------|-|
sau eientb enqu iau eientpois e ́	---⌫----|-⌫-|--⌫|--⌫----|----⌫-⌫|
si dis tal e s pous	-|---⌫|||-⌫-⌫---|
aut re sgenzmettentau antle	---⌫--⌫|---|------|--⌫--|-|
mei lloruinqu e il	---⌫---|--|--⌫|-|
alorno ces	|--|--⌫--|
ilsunt decelui	-|---|-|----|
eschaufe ́ adonc	--------⌫|----|
aportent illopeore	-------|-|-|---||
faittotleco n traire	---|--|-|--⌫-⌫-----|
quar tu a sestoé lo	---|-|-⌫|-----|-|
i usquao rece f ut	-⌫---||-⌫-|-|-⌫-|
commencemenz dausmiracles n ostre	-----------|---|-------|-⌫----|
seig no rqueil	----⌫--⌫|--|-|
c orporaumenten terre e sicreguir ent	-⌫----------|-|----||-|-------⌫--|
ogu iss entauan t creance	---⌫---⌫--|----⌫|------|
en luimaspar lomira clefut	-|--|--|--|-|----⌫--|--|
creance plus	------|---|
oiauezlomiracleo r	-|---|-|------|-⌫|
signefiance	----------|
laiguesig nefielesmaluais	|----|---⌫----|--|------|
crestiensquar ausi	--------|---|---|
cumlaigueestfr eide	--||----|--|--⌫---|
natu raument e refreizist	----⌫------||---------|
tozceausqui	--|----|--|
labeiuent autres i	-|------|------⌫|
suntl imaluaiz	---|-⌫|------|
crestienrefr eizide l	-------|----⌫---|-||
am or ded e e	--⌫-|-|-⌫||
refreiz i ssent	-------⌫-⌫----|
tozceausento rcui	--|----|----⌫|--|
ilhabitent	-|-------|
parla mal uaist e	--|-|---⌫-----⌫|
co rs sicu mestpar fornicacionpar	--⌫-|-|--⌫|--|--|----------|--|
auo ltire parusure parclam e r	---⌫----|--|----|--|----⌫-⌫|
sonprosm e	--|-----⌫|
fou o umaluais en	--|-⌫|------|-|
de spit d elui	--⌫---|-⌫|--|
cestes choses	-----|-----|
d essert homlefucd	-⌫-----|--|-|--||
anfersicum	----|-|--|
dedis tetoz ceaussignefie ntl	-|---⌫||--|----|--------⌫-||
aigue qui par	----|--|--|
malauentureo uparma leuoluntesunt	----------|-⌫|--|--⌫-|------|---|
r e f rezi delam i s ericorde	-⌫-⌫-⌫---|-|-|-⌫-⌫-⌫-------|
de de li uinzqui	-|-|-|---|--|
n at uralment est	-⌫--⌫-------|--|
chauz eteschaufe	----|-|-------|
quilobeiuent	--|-|------|
signefie lesb onscrestiens	-------|--|-⌫--|--------|
quisuntesch aufé del amordede e	--|---|----⌫----|-||---|-|-||
e schaufenttozce aus	-⌫--------|--|--⌫--|
qui lesoientelorcons eil	--|--|----||--|----⌫--|
creien t e	------⌫||
retenentore	-------|--|
seignors cestdex no stres eig norq ui	-------|---|--|--⌫---|-⌫---⌫--|-⌫-|
anc ienementenzzlucen	---⌫-------|-|-|--|-|
zztemps fist delaigu euin	-|----|---|-||----⌫|--|
corporaumentfait o reparsagrace	-----------|---|-⌫-|--|-|----|
daig ueuine s piritau ment	|---⌫-|--|-⌫-⌫-------⌫---|
q uar qua ntil	-⌫--|---⌫-|-|
pa rsagrace	--⌫|-|----|
m aluaisho mbon	-⌫-----|--⌫|--|
de lorgoillos	-||--------|
humble delecheor	-----|-|------|
chaste del auerla r ge	-----|-||---|--⌫-⌫-|
faitild elaigu euin	---|-|-⌫||----⌫|--|
lasoemerci	-|--|----|
or auez oila	-|---|-|-|
s igne fia n ceda u miracle oresgart	-⌫----⌫---⌫-⌫-|--⌫|------|-|-----|
ch ascunuer sseimeismesqui il	--⌫----|---⌫|--|------|--|-|
e stsiles t ui ns ces t	-⌫-||-|--⌫|--⌫-||--⌫|
esteschaufezdelamor	--|--------|-||---|
est aiguec est	--|----||--|
silestref reiziz del	|-|--|---⌫-----|-||
am o r dede	--⌫-⌫|-|-|
si uos est es maluais	-|--|---⌫-|------|
soffr ezquedexfacesesbelle s	-----⌫-|--|--|---|--|-----⌫|
uertuzenuosqueiluos	-----|-|--|--|-|--|
tortde malaben que	---|-|--||--|--|
dointtausob resfa ireen	----|---|--⌫--|--⌫--|-|
te rreq ueuo saiez	--⌫--|-⌫-|--⌫|---|
lasoegloire	-|--|-----|
euangilesdui nosreconte que	--------||-|--|------|--|
c umilotli ur eela	-⌫-|-|-|--⌫--⌫-|-|
nouele le i	-----|--⌫|
e n une monta igne eilotf ait	-⌫|--|-----⌫---||-|-|-⌫--|
lopremer sarmon quilonquesfeis ten	-|-----|-----|-|-|-----|----⌫|-|
uirentmain te sgenz	-----|----⌫--⌫|---|
siu i nt zzl epros e	-|-⌫-⌫-|-|-⌫----||
edistsi re situueaustu	|---|--⌫-|-|-|----|-|
munde r e saner de malepre	-----⌫||----|-|-|----|
enostre sirelidists iuoil	|-----|---|-|---|-⌫|---|
s i estendit sa main et atocha	-⌫|-------|-|---|-|-----|
edist se iesmundes	|---|--⌫--|-----|
eign el epa sfutcil mund ez	|---⌫--⌫---⌫|--|--|----⌫-|
salepreor s eignorsta us est	-|----|-|-⌫------|--⌫-|--|
limiracles	-|-------|
queli euang iles duinos recont et	--|-|-----⌫---||-|--|------⌫-|
moltestgranzli miracles	---|--|----|-|-------|
est g ranzla	--|-⌫---|-|
signifianc eli	----------⌫|-|
lepros s ignifia	-----|-⌫------|
l especheors lalepresignifia lesg ranzpechez	-⌫-|-------|-|----|-------|--|-⌫---|-----|
criminau slaroigne signe fielesmenuz p echez	--------⌫|-|-----|-----⌫--|--|----|-⌫----|
t roprire tropiuer	-⌫--|---|---|---|
troppar ler	---|---⌫--|
tel oreest ir e qui tost	--|--|--|--⌫|--|---|
tresp asse	-----⌫---|
lelepr esignefieles granzpechezdampnable s	-|----⌫|-------|--|----|-----|---------⌫|
s icu me st fornicac ionsauoutire u s ur e	-⌫|--⌫|-⌫-|--------⌫---|-------|-⌫-⌫--⌫|
roberielaironcins glot onieiures ce	------|---------|----⌫---|-----⌫-|
liaut re peche parquehomes t dignes	-|---⌫-|----|--|--|--|--⌫|-----|
deperdre lamordedeetdese sami cs	-|-----||---|-|-|-|-|--⌫|---⌫-|
porroi gn en est pas ho m	--|---⌫--⌫||--|--|--⌫|
gite zde l aconpaignied a us	----⌫|-|-⌫|---------|-⌫-⌫-|
ne par l es menuzpechez dont nusne se	-|--|-⌫-|----|-----|---|--|-|-|
ga rd ern en estnusdeseurez d urablement	--⌫--⌫-|-⌫||--|--|-------|-⌫---------|
dedenede s a inteiglese parla lepre	-|-|-|-|-⌫-⌫---|-----|--|-|----|
esthomdesseurezde la con paignie	--|--|--------|-|-|---⌫------|
dau sg enzecil qui mue rt en	---⌫|-⌫--||--|--|---⌫-|-|
pech e dam pna b le	----⌫|---⌫---⌫-⌫-|
est des seurezdela	--|---⌫-----|-|-|
co npaign iedede	--⌫------⌫-|-|-|
edeses angres	|-|--|-----|
or auezoilo mi racle	-|---|-|-|--⌫----|
e lasignefiancesi esgardez enuos	|-|----------|-|-------|-|--|
meismessiuoseste s	------|-|--|----⌫|
decezpeche z et siuos en es t esnepte	-|--|-----⌫|-|-|--|-|--⌫-⌫-|----|
gard ezquenengunsn ere nch eez	----⌫-|--|------|-⌫|--⌫---⌫--|
neque uos neseiezdesseurezde	-|--|--|-|----|--------|-|
laconpaignie	-|---------|
de dep armaluaise	-|-|-⌫-|-------|
u ie nepar maluaiseu olunte	-⌫-|-|--|-------|-⌫-----|
leprosparp echedam pna ble	-----|--|-⌫---|---⌫---⌫--|
criezmerciade	----|----||-|
qui aulepro sdona	--|-|-----⌫|---|
sant ecorpo rau queiluosd oint	----⌫|-----⌫--|--|-|--|-⌫---|
esperitauuenez asainteconfession	--------|----||-----|---------|
etgu erpez uoz pe ch ez	-|--⌫----|--|--⌫--⌫-|
een seiezabsout	|-|----|-----|
sienreceuezpenanceelafaites	-|-|------|------||-|-----|
eissiaurezlasa i n te eladurable	|---|----|-|--⌫-⌫-⌫-||-|------|
nosl i somon	--|-⌫-⌫--|-|
saint euangir e d	----|-------⌫||
qu enostr esiresdam eredexen tra	--⌫|-----⌫|----|---⌫-----|--⌫--|
en uneneesidiscipleoblui	-|--|-||-|-------|-|--|
ecumilfu rentenl	|--|-|--⌫---|-||
sileu au ntormenze	-|---⌫|-⌫|------||
nostresir essest eit	-----|---⌫-||---⌫--|
cochez dormiren la	-----|-----|-|-|
dauantceu que il	-----|--|--|-|
do rmeit li t orm enzleua	--⌫----|-|-⌫---⌫--|---|
sidicip leoguirent	-|-----⌫-|-------|
grantpaordau	----|---|--|
lesuei llerentetsilidist rent	|-----⌫------|-|-|-|----⌫---|
sir e sauue nosquar nosp erissom	---⌫|----|--|---|--|-⌫------|
l esblama d e	-⌫-|----|-⌫|
ceuquilnorentpasfer m e	--|-|-||----|--|---⌫-⌫|
cre a nc eenlui	---⌫-⌫--⌫|-|--|
silor dist	-|--|---|
qu e cremezuos g enzdepetite	--⌫|-----|--|-⌫--|-|-----|
leuasuss isapaziali	---|--|-⌫||-----|-|
el amersfutantostt ote apaziee	|-⌫|---|-|------|-⌫--|------|
ecum li hom me quifuren t	|--|-|---⌫-|--|-----⌫|
orentueulo	----|--|-|
mir acle sisen merueille rentmot	---⌫---|-||-|---------⌫---|--|
ce stlibeausmiraclesqueli euangiles	|-⌫-|-|----|-------|--|-|--------|
duinos recontesiendeit estre	|-|--|------|-|-|---|----|
m ot affer mee	-⌫-|-----⌫--|
nostr ecrea nce entauseignorqu i	-----⌫|----⌫--|-|--|------|--⌫|
taumi r acle	--|--⌫-⌫---|
puetfaireefaitq uantilueaut	---|----||---|-⌫---|-|----|
c e deu om noscreirem as	-⌫|---⌫-|--|-----|-⌫-|
on os besoigne	|-⌫-|-------|
quecil qui segoru itaceausen c el	--|--|--|------⌫-||----|-|-⌫-|
ilnossecore ennos	-|--|-----|-|--|
e il ouferauolunterssinos	|-|-|---|--------|-|--|
me rciparbo n euolunt esi cumil	--⌫--|--|--⌫-⌫|------⌫|-|--|-|
ditenlasa i nte escripture	--|-|-|--⌫-⌫--|---------|
ge suifaitilli sauueresdaupople	-|--|---|-|-|-------|--|----|
quantm apelerontenlorangoisse	----||--------|-|--|-------|
besoig egelo r secorr ai	-----||-|--⌫|------⌫-|
lor dexpe rmanable m entcri om	--|--|--⌫--------⌫-⌫--|---⌫-|
segurementsideab lesnosueutenconbr er	---------|-|----⌫--|--|---|-------⌫-|
par pech e ouparorg oil	--|----⌫|-|--|---⌫--|
oup arenuieou par	-|-⌫-|----|-|--|
auarice ou par aut re pechedampnable	------|-|--|---⌫-|----|--------|
criomlimerci et	----|-|----|-|
si lidisom	-|-|----|
s iresauuen os qu arnos pe rissom	-⌫--|----|-⌫-|--⌫-|--|--⌫-----|
c riomlimerc iqueilnos	-⌫---|-|----⌫|--|-|--|
deliur ede	------⌫|-|
toz m a u sequ eildont fai retaus	--|-⌫-⌫-⌫||--⌫|-|---|---⌫-|---|
en c estsecle	-|-⌫--|----|
q uelesarmesense ientsauues	-⌫-|--|----|-|--⌫---|-----|
auiorquant	-|--|----|
nostresire uen draiuger	-----|---|---⌫--|----|
uiset les morz	--|-|--|---|
da me redexnosaparléen	--⌫--⌫----|--||-----|-|
dui esinos	|-||-|--|
mostrepar e ssampleque	-----|--|-⌫------|--|
sino s uolom	-|--⌫|----|
so nseru isee nterre	--⌫|----⌫--|-⌫|----|
q uenos en auromlologer	-⌫-|--|-|----|-|----|
oncel quarcedit aaxxmenl	-|--|---|-|--|-|--|-||
euangile d ui	-------||-|
fuunspr od omsquiis s i	-|--|--⌫--⌫--|--|--⌫-⌫|
premere m entpa rmatin a l ogero urersen sauigne	-------⌫-⌫--|--⌫|----||-⌫---|-⌫----|-|-|----|
aus irefist ila	---⌫|-----|-||
latercea u tresiau	-|----|-⌫-⌫----|-|
autresi a l ore noneequantuint	------|||--|---||----|---|
uespresir ala	-----|-|-⌫--|
sitroua obrers	-|----|-----|
quiesteientoisous	--|-------|-----|
si lordist	-|--|---|
p orq ueies tesuostot e	-⌫-|-⌫--|--⌫--|--|---⌫|
n os ne troua smeshu i firentil	-⌫-|-|-----⌫---|--⌫|-----|-|
quin os aloast	--|-⌫-|-----|
oralez fi stli	-|---|--⌫-|-|
prod om enmauigne	----⌫-|-|-|----|
donr aitant cumdreizsera	----⌫-|---|--|----|---|
eilalerent	|-|------|
en lauigne	-|-|----|
o b rer oblesautr esobrers	-⌫-⌫--|-|--|----⌫-|-----|
qua ntuintau sei r	---⌫-|---|-|---⌫|
si parlal isiresobson	-|----|-⌫|----|-|--|
siruentsilidistapele lesobrerse	------|-|-|---|----|--|-----||
si lorren t	-|--|---⌫|
commence ace u s	-------||--⌫-⌫|
quiuin dren t	--|---⌫----⌫|
darrer e ment euai iusquaus	------⌫-⌫---||--|----|--|
preme r ement	-----⌫-⌫----|
esidoneachascunzz	|-|---||------|-|
de ner eil sifis t	--⌫--||-|-|---⌫|
equantouu ire ntcilquimatin estoie ntuenu	|----|-|-⌫---⌫-|--|--|----|------⌫-|---|
quecilquiderrerement es toientuenu	--|--|--|----------|--⌫-----|---|
aueientchascuns	------|-------|
sonden ersi	--|---⌫-|-|
plu sauei rma squantl i siruenzui nt a eaus	---⌫|----⌫|--⌫|----|-⌫|------|--⌫-||---|
sinelordonea chascunqundener si	-|-|--|---||------||-|----|-|
murmurerent entraussidistrent	----------|---|--|-|-------|
nosauomtoteior t rauailléen	--|---|---|--|-⌫--------|-|
tauigne eau omsoff ri lapeine	-|----||--⌫-|----⌫-|-|----|
elofes d aucha ut etuas fait	|-|--|-⌫-|---⌫-||-|-|---|
ceaus engausanos	----|-----||--|
ado ncrespo nditli sireazzdeceus	---⌫-|-----⌫---|-|---||-|-|---|
a misge netaifait nu lto rt	-⌫--|-|-||-|---|--⌫|--⌫-|
neuenistuameipor	-|----|-||--|--|
conuenantdundener	--------||-|----|
si aseutonconuenanteten	-|-|-|--|--------|||-|
quargeuoila eaus au t retantdonercum	---|-|---||---|--⌫-⌫-----|----|--|
porqueipeisesige foisma	--|---|----|-|-|---|-|
ecumnostre sires	|--|-----|----|
otditicest essamplesidistapr es	-|--|----|-------|-|---|---⌫-|
issiseron t li	---|-----⌫|-|
premerdarrer etli derrer	-----|-----|-|-|-----|
premerm o ti ada usa pelez mesp oi s	-----|-⌫-⌫||||-⌫-|-⌫----|--|-⌫--⌫|
oroiezqueceu	-|---|--|--|
liprodo m signefiedenos treseignor	-|-----⌫|-------|-|---⌫--|------|
l a uignesignefie	-⌫|----|-------|
sonseruise	--|------|
signefienttozceaus	---------|--|----|
qu ilesonser uise	--⌫|-|--|---⌫---|
lesdiu e rs eso ressignefient	--|---⌫-⌫--⌫-|-⌫--|---------|
dicestsecl e parmatin a loanostre sire s	|----|----⌫|--|----|-⌫--|-----|----⌫|
obrers ensauignequant i l	-----|-|-|----|----|-⌫|
mistlespatriarches	---|--|----------|
oncomence mentdausecleenson	-|-------⌫---|--|----|-|--|
quiparbone creance liseruirent	--|--|---|------|-|--------|
edistrentleso nenseignement	|-------|-|--⌫|-----------|
atozc eaus	|--|-⌫---|
auoientadire autresi aterce ea	------||---|------||----|||
aload ex obrersen	---|-⌫-|-----|-|
sauig ne qua nt ilmistontemps	-|---⌫-|---⌫-|-|---|-|----|
mo yses eaaroneuntempsaus	--⌫---||----||-|----|--|
pro phetes	---⌫-----|
ma inzbons hommes quigran t	--⌫--|---|-----|--|----⌫|
amorogui rent	---|----⌫---|
ob lui ef irentlo sonser uise	-|--||-⌫----|-|--|---⌫---|
uers lo uesprem is t	---|-|-----|-⌫--⌫|
