Quel par tque	---|---⌫|--|
Esseces tre u int	-------⌫--|-⌫--|
Esuus enuirunl ui	-|--|------|-⌫-|
gr antpr es se	--⌫--|--⌫--⌫-|
Bretun sde	------⌫|-|
Cornualei s	---------⌫|
Deche ualier s e deburgeis	-|---⌫------⌫||-|------|
Demandan tuunt dunt uientu uait	--------⌫|---|---|----||---|
qued itquefait	--|-⌫-|--|---|
Chadwaleinuuntdemandan tUest	---------|---|--------⌫||--|
demur etant	-----⌫|---|
ueirsil reuendraEsiiamés terrete ndra	---||-|-------||-|-----|----|--⌫---|
B rien aseztost	-⌫---|---|---|
Leuerrezueniratelo st	-|-----|----||--|-⌫-|
Edwinenelatendra	-----|-||------|
Ne elr egne	-|-|-⌫---|
neremaindra	-|--------|
P uramurlu r e imainte feiz	-⌫-|---|-|-⌫-⌫|-----|---|
Nus a ddamagé	--|-⌫|------|
Fa it e s chastelsgu arnissieztur s	--⌫--⌫-⌫|-------|--⌫--------|---⌫|
Kari e squapoi aurezsucurs	--|-⌫-⌫--||--|----|-----|
Brien adas	----|-|-|
B retunsparlé	-⌫-----|-----|
Deplusursset	-|------|--|
l auo l enté	-⌫|--⌫-⌫----|
Esse cestrepristesaisi	----⌫-----|----||----|
uol ts ilaguar niAsununcleadpa r	---⌫|-⌫|-|----⌫-||--|----|-|--⌫|
br iefmandé	--⌫--|-----|
Queiecumentiloto u ré	---||-----|-|-|-⌫-⌫--|
Tuteslim andalesno u elesElireisquist	----|-|-⌫---|--|--⌫-⌫---||-|---|----|
nefsenace les	---||----⌫--|
Sa lo muns siscusins	--⌫--⌫---|--|-----|
Quedessuens qued ese s	--|--|----|--|-⌫|--⌫|
do us milche ual iers	--⌫-|--|---⌫---⌫---|
Estreestierm ans e	----|-------⌫--||
mari niersA	----⌫----||
Toteneisuindrentsig lan t	-------|-------|---⌫---⌫|
Liez enfu rent lipaïsant	---|-|--⌫---|-|-------|
E d w ine dolentfu	-⌫-⌫-⌫--|-----|-|
Delbonde uinqu il ot perduEd	--|--|--⌫--|-|-|-|----|||
E ss ecestr e que	-⌫--⌫------⌫|--|
Aueit prisesi ertdedenz	----|----|-|--|-----|
Peandalur ei d e	-----|-|-⌫-|-⌫|
Mercie Çoert d	-----|--|--||
Engleterrepartie	---------|-----|
Adenu eéod grant esfor z	-|---⌫--|-|----|-----⌫|
Pur guarderlate rreel es	--|------|-|--⌫--||-⌫-|
Essecest re ase eir	--------⌫-|---⌫--|
Sal trement ne la	|--⌫------|-|-|
pueta ueir	---|-⌫---|
Essecest reasist	--------⌫-|----|
Entreru o lt	-----|-⌫-⌫-|
dede n zm esnel	----⌫-⌫|-⌫-|--|
Brie n fuddede n zki lati nt	----⌫|--|----⌫-⌫|-|-|--⌫-|
Tantquelireis	---|--|-|---|
Cha dwa leinuin t A	---⌫---⌫---|---⌫||
Toten eisesteit	-----⌫--|-----|
uenuzE desnefs	----||--|---|
ater rëissuz	|---⌫--|----|
Des noue lesaddemand ees E no uelesli suntcuntee s	--|----⌫--|-|------⌫--||--⌫----|-|---|------⌫|
Bri ens is niés	---⌫-|-⌫-|----|
e s tas is	-⌫-⌫|--⌫-|
Pendu serra s eilestpr is	----|----|-⌫|-|--|--⌫-|
Brienan guissu sE	----|--⌫------⌫||
de suc currecuri us	-|---⌫----|----⌫-|
Tant cheualchaod	---|--------|-|
sesuassals	--|------|
Queboisqu ep lains	--|---|--⌫|-⌫----|
que munzqu euals	--|---|--⌫|---|
Al siegeui n t cu mil	-|----|--⌫-⌫|--⌫|-|
Deusquel ioie	---|---|---|
Brienzenot	-----|-|-|
Chadwal einot ri chesmeisniesErichemen t	-------⌫--|-|--⌫---|-------||--------⌫|
apareillies	----------|
Quatre cunr eizadestabliz	-----|----⌫--|-|-------|
Puisad c e lsdel	---|-|-⌫-⌫-|--|
siege a sailliz	----|-⌫------|
Mu lteniot queprisquemorz	--⌫-|-||-|--|---|--|---|
D esplusrichesedesplusforz	-⌫-|---|-----||--|---|---|
P eand a me ïsmes fudp ris	-⌫----⌫|--⌫-----|--|-⌫--|
Ne fudnafré nefudocis	-|--|-----|-|--|---|
Bienfud tenu bienfudgarde z	---|--|---|---|--|-----⌫|
mieestredeli urez	--|----|----⌫---|
Dissi q uilfista l	----|-⌫|-|---|-⌫|
rei hum age	--|---⌫--|
Epristdelui	|----|-|--|
suneritage	--|------|
Desunfi euli	-|--|--⌫-|-|
adfai tligance Epu r	-|---⌫|------||--⌫|
fairefe rmealianceE purfaireent rels	----|--⌫--|------||--|----|---⌫|--|
ferm eamur	----⌫|---|
Chadwaleinun e	---------|--⌫|
Pea ndaaueitmultbele	---⌫--|----|---|---|
Genteecurteisedam isele	----||-------|---⌫----|
Chadwalein les	---------|--|
Bretun s m a nda	------⌫|-⌫-⌫--|
Mul tl es bla ndi eme rcia	---⌫|-⌫-|---⌫--||--⌫---|
De ltrauailedelaha u ̈r	--⌫|------||-|-|--⌫-⌫-|
Quesuffertorentpursa mur	--|------|----|--||-⌫--|
Tutalagastantlupaïs	--|--|------|-|----|
Lau ilsotse sene misLewe del	-||-|--|--⌫|---⌫--||--|--|
Humbr etrespassa	-----⌫|--------|
Chastels destruis t uiles preia	-------|--------⌫|----|----|
E dwinem anda tuzles	-⌫----|-⌫---|--|--|
Seid n e sfu rente	----⌫-⌫-⌫|--⌫---||
Plusurski reisclaméesteient	------|-|---|-----|-------|
Purrealtezcunt ezteneient	--|------|----⌫-|-------|
Edwinelesouttuz odsei	-----|--|--|--|-|--|
Quep a r humagesqueparfe i	--|-⌫-⌫|------|--|--|--⌫|
Chadwa leincheualchaE	------⌫---|--------||
Chadwaleinn elreduta	---------|-⌫-|-----|
Enuncha mp ki	-|-|---⌫-|-|
Helfeldeadnun	-------|-|--|
Fudlabataillee la	--|-|-------||-|
C h adwa lei ne	-⌫-⌫----⌫---⌫||
Multotentr	---|-|---|
Edwinefudmorz	-----|--|---|
Ki este itapelé	-|----⌫-|-----|
OsfrizEmortfud	-----||---|--|
Kiuen uz ertenlur	-|---⌫-|--|-|--|
Desaltres iot pri sasez	--|-----||-|---⌫|---|
P lusur socis plusursnafr ez	-⌫-----⌫|---|------|----⌫-|
Gr antfudlocise egrantla	--⌫--|--||----||----|-|
Cha dwaleinfistgrantiustise	---⌫------|---|----|------|
Celsdestruist elurpar ent é	---|--------||--|---⌫---⌫-|
Ki cuntr e luiore ntesté	-|-----⌫|--|---⌫-|----|
Femmesfistocire	-----|---|----|
N ei ̈sles	-⌫--⌫-|--|
petiz alaitanz	----|-------|
Unquesnipot	-----|||--|
ualeireage	-----|---|
Ne prisne bealténe	-|---|-|------|-|
pa ra ge D	--⌫--⌫-||
remés uns eir s	-----|--|---⌫|
Kitint luregne eles	-|---|-|----||--|
Osriz otnun enba ptistire	----|-|--|-|--⌫-------|
Cadwaleinot sunempi re	--------|-|--|----⌫-|
Guerreees trifcuntre	-----||--⌫---|-----|
l ui prist	-⌫-|----|
Lui edoussesn euuzocist	--||---|--|-⌫---|----|
que part del r egne aueient	--|---|--|-⌫---|------|
E eir emp résestredeueient	|--|---⌫---|----|-------|
Nelaissaquilpeüst tro uer	-|-----|-|-|-----|---⌫--|
Kideüs terité clamer	-|-----⌫|-----|-----|
Os wald aprés ungentil	--⌫---|-----|-|-----|
Pur cr istïeneleiguarder	--|--⌫-------|--|------|
Unsnob leshuem d efranccurage	--|---⌫--|---|-⌫|----|-----|
Otluregnep areritage	-|-|----|-⌫-|------|
Cha dwaleinle guerriaEu ers	---⌫------|-|------||-⌫--|
Escocelu chaça	-----|-|-----|
Qu ant il uitquet antluin fui eit	--⌫--|-|--|--|-⌫--|---|---⌫--|
Eq ue a teindre nelpoeit	|-⌫-|-⌫------|--|----|
N el u oltmieplusluinchacie r	-⌫-|-⌫--|--|---|---|------⌫|
Ne tu z seshumestraua illi er	-|--⌫|--|----|-----⌫----⌫-|
Partiede sagentliuraA	-----|-|-|---|----||
Peandasil i roua	-----|-|-⌫|---|
Oswaldchaçast ta ntesie wist	-----|-------|--⌫-||---⌫---|
Quille preïst	-|-|-|------|
u oceï st	|-----⌫-|
Oswaldsotcelapareil	-----|--|--|------|
Forment li plotsi prist	------|-|---|-|----|
Pe andan ef uereit	--⌫---|-⌫|-⌫-----|
atendreitsille	--------||-|-|
Enmiun cha mp	-|-|-|---⌫-|
s estarestez	|--|------|
Heuenfel d es ta pelez	--------⌫|--⌫|-⌫----|
Heuen feldcistnu nsestengleis	-----⌫---|---|--⌫-|--|------|
Celesti elchamp	-------⌫-|----|
en f ranceis	-|-⌫------|
El champ fistunecroiz leuerA	-|----|---|--|----|----||
sagent lafis taürer	-|---|-|---⌫|-----|
Saintecroizdis tila üre z	-----|----|---⌫|-|-⌫----⌫|
Batezcupesmerc i criez	----|----|----⌫|----|
pechi ezuu srepe ntez E des mes faiz pardun	-----⌫-|--⌫|----⌫---||--|---⌫---|-----|
Fait esuushumblement cunfé s	----⌫-|--|---------|------⌫|
Queque auie ngëenaprés	--|--|----⌫---|-|-----|
Plu s aseürest repurrunt	---⌫|-----|---⌫-|------|
Cilquiuiurunt uquimurrunt	--|--|------||--|------|
Cil firent suncuman de mentAgenuil luns	--|-----|--|-----⌫--⌫---||------⌫---|
multh umblement Aürerent	---|-⌫--------|--------|
Deuelacroiz	--||-|----|
Od hu mble cuerodsimp le uoizA	-|--⌫---|---|-|----⌫-|---||
Dam nedeumercirequis trent	---⌫----|----|------⌫----|
Disciplin eseueniespristrent	---------⌫-||-----|--------|
Puis suntapr esté	---|---|---⌫----|
de cum ba tr eS	-|---⌫--⌫--⌫||
e st quis ur	-⌫-|--|-⌫-|
elsseu u eille e nbatre	--|-|-⌫-⌫----|-⌫-----|
P eand auint kisas ailli	-⌫----⌫|---|--|--⌫----|
Mesma lement leneschaï	--|--⌫-----||-|------|
Karde sag entlemielzperdiE	--|-|-|-⌫--|-|----|----||
ilmeïsme s s	-|-------⌫||
Lucuer ot grosedireplein	-|---|-|---|||--|----|
Plaindre salaa	-------||--||
Chadwal ein	-------⌫--|
Iam ésço dist nel amera	---⌫--|--|---|-||----|
Ne de luiterre netendra	-|-|--|----|-|-----|
Oswaldne lifait	-----|-|-|---|
Ki li adfai tsigrantpesance	-|-|-|---⌫|-|----|------|
Q uant lu rplotlu r otz	-⌫---|--⌫|---|--⌫|--|
asemblerent	----------|
No rthumberlandep a sser en t	--⌫------------|-⌫-⌫----⌫--⌫|
Encu n tre	----⌫-⌫--|
Oswaltse cumb atire ntD ambe sdousparz	-----|-|----⌫-----⌫-||----⌫----|---|
multiperdirentE	---||--------||
Oswalttr oua	-----|--⌫--|
Mul tlehaïsildecola	---⌫|-|---|--|-----|
Grantfudli	----|--|-|
dolse grantlaperte	---||----|-|----|
Hu mes oci sterredes erte	--⌫--|---⌫|----|---⌫---|
F em me suedues	-⌫--⌫--⌫|-----|
uilesgu astees	----|--⌫-----|
Maisunsuoidespreiesmen ees	------|-----|-----|---⌫--|
Un desfrere s	-|--|-----⌫|
Luregn esunfreresaisiE libarunl	-|----⌫|--|----|----||-|----||
Kilurs e ignurorent perdu	-|--|-⌫-⌫----|----|----|
C il uitla gentmultafiebli eE laterre mult	-⌫-|--|-|---|---|-------⌫||-|----|---|
uitlaforce	--|-|----|
C hadw aleing r ant	-⌫----⌫----|-⌫-⌫--|
Chad wa l ei nfort e puissant	----⌫--⌫-⌫--⌫|---||-------|
uitquetenirnesep urr eit	--|--|----|-|-|-⌫---⌫--|
Chad waleinl enuaï sseit	----⌫-----||------⌫----|
Miel zu oltlaissiersa dign ité	----⌫|-⌫--|-------|-|----⌫---|
Ehumilierdesun gr é	|-------|-|--|--⌫-|
Queuerstelhume	--|---|--|---|
gu err eprendre	--⌫---⌫|------|
sepuissedefendre A	-|-----|-------||
Chadwaleinprist parlement	---------|----|--------|
dunaoreargent	---|-||-----|
bailliesesub mi st	------|-|---⌫--⌫-|
Sis huemdeui nt feelte ́fi s t	--|---|----⌫-|------⌫|--⌫-⌫|
Sunre gnedeli	--|--⌫--|-|-|
Chadwalei n su nfi eu	---------⌫|--⌫|--⌫-|
Is si fu d la paisgraantee Eissifudlunges guardee	--⌫-|--⌫|-|---|-------||---|--|-----|------|
Oswi ot pa renzeneuuz	---|-|--⌫---||----|
Asezpreisan ze ase zpruz	---|-------⌫||---⌫|---|
Kipura ueirpar t de la	-|--|-⌫---|---⌫|-|-|
Pris trent estrifentrels eguerre	----⌫----|-----|---|--||-----|
sede fendi	-|--⌫----|
Quenulsterrene lit oli	--|---|----|-|-|-⌫--|
Humbr e lescha çaEcil uind renta	-----⌫|--|---⌫--||--|----⌫---||
Que f orzh umestei t sil requistrent	--|-⌫--|-⌫-|-----⌫|--|----------|
A ue rsete rres	-⌫--⌫-||--⌫---|
lipramistrent	-|----------|
Sismain ten iste cunseilla st E	--|----⌫---⌫--||---------⌫-||
Os wi pur els guere iast	--⌫-|--|--|-----⌫---|
Peandadistquilnenosot	-----|---|-|-||-|---|
Chadwaleinnelgraantot Nose reit	---------|--|-------||---⌫---|
gue r recumencier	---⌫-⌫-|--------|
N elap aisen frai n dre	-⌫|-|-⌫--|--⌫----⌫-⌫--|
Me silquerr eitsei lpo eit	--⌫|-|-----⌫--|-|-⌫|--⌫--|
C ha dwaleinlotriereitA u ne	-⌫--⌫------||--------||-⌫-|
Pentecuste aui nt	---------|---⌫-|
Chadwal ein festeecur ttin t	-------⌫--|----||---⌫|---⌫|
Londresse fi stcu rune rE ses	------|-|--⌫-|--⌫----⌫||--|
baruns fist tuzmand er	-----|---|--|----⌫-|
Oswinifudmi eueüz	---|||--|--⌫|----|
Ne ilniesteit pas uenuz	-|-|||-----|--|----|
Nes a i silne	-|-⌫-⌫||-|-|
uoltunepotU	---||-|--||
Cha dwalein mandé ne	---⌫------|-----|-|
Peand a enpiezsedresça	-----⌫|-|---|-|------|
Chad wale i ndemanda	----⌫----⌫-⌫|------|
Q ue poeitestreeque deuei t	-⌫-|----|----||--|-----⌫|
curt neuene i t	---|-|----⌫-⌫|
Tuit iest eient li barun E	---||---⌫----|-|----||
En g leis e li	--⌫-⌫---||-|
Oswi sulne deignotseru irNasacurt	---|--|-|------|----⌫-|||-|---|
nedeignotuenir	-|------|----|
Es soi nedistli reisl e t ient	--⌫---⌫-|---|-|---|-⌫|-⌫---|
En enfertégist	-|-------|---|
si de ui ent	-|--⌫--⌫--|
P eandaNes t mi eissi	-⌫----||--⌫|--⌫|---|
uus necu nuissiezmie	--|-|--⌫-------|--|
S eiss uin e enu e ié	-⌫----⌫---⌫|---⌫-⌫--|
Purgenta cheua l eapié	--|---||-----⌫|||---|
Gentpu rchace	---|--⌫-----|
soldei ersquiert	------⌫--|-----|
Desquil purrae	--|-|-|----||
Gu e rre quidegrant	--⌫-⌫--|----|----|
Ne puetne ne	-|---|-|-|
uol t paisaueir	---⌫|---|----|
uo sp esotiouoil	--⌫|-⌫---|-|---|
Alerab atre sunorguil	---|--⌫---|--|-----|
Si io uost recungiéen aiUuif	-|-|----⌫-|------|-|-||--|
umo rtle uu srendrai	|--⌫-|-|--⌫|------|
Delate r rele n cha c erai	-|-|--⌫-⌫-||-⌫|---⌫-⌫---|
Chadwalei n	---------⌫|
Ionparlerai	--|-------|
Pea n da for sissirE les	---⌫-⌫-|---⌫|----||--|
Engleistuzdepartir	------|--|-------|
Bretuns retintlesainznez	------|-----|--|---|--|
L esplusricheslesplussenez	-⌫-|---|-----|--|---|----|
Larequeste l ura dmus t ree	-|-------|-⌫-|-⌫|---⌫-⌫--|
Pe andaotdemandee	--⌫---|-|-------|
Cha dwaleinsist	---⌫------|---|
Mar g adud	---⌫-⌫---|
S uthwal ess irefud	-⌫------⌫-|-⌫--|--|
ilquecumença Ep ose ço m estuis	-|--|-------||-⌫--|--||--|--|
du raLiremortel e	--⌫-||--|-----||
Cumentqu a la parfinenprenge	-----|-||-|-----|-|-----|
Entr e nu s	----⌫|--⌫|
Br e tu ns e	--⌫-⌫--⌫-||
Denusgreue rsunttuttensfreis	-|--|-----⌫|---|--|---|----|
Ianuliorne	-|--|--|-|
nusamerunt	--|------|
paisn enus tend runt	---|-⌫|--|----⌫---|
Membre uusde lur felu n i e s	-----|--|-|--|----⌫-⌫-⌫-⌫|
Membre uus delur tricheries	-----|--|-|--|---------|
del ur cruelté	-|-⌫-|-------|
Memb reuus qu	----⌫-|--|-|
Suue ntauez dit eiuré	----⌫-|---|--||----|
Mesuuslaue z tut	--|--||---⌫|--|
tresp a ssé	-----⌫-⌫---|
Encestregne nes l arrï ez	-|---|----|--|-⌫-----⌫-|
Quantuus destruiren es ose z U	----|--|--------|-⌫-|---⌫||
neuolez unepoëz	-|----||-|----|
Lai s siezl u nalautrehun ir	---⌫-⌫---||-⌫|||----|---⌫-|
Esis mete z alcu uenir	|--|----⌫|-|--⌫----|
P eanda est d es	-⌫----|--|-⌫-|
Engleisnez	------|--|
Engleisest tutsisparentez	------|--|--|--|-------|
Osw i esteng leise nsementNaiez	---⌫|--|---⌫---|-⌫------||---|
uus ianulmarrement	--|-|--|--------|
Se lu ns masti nsl a utre	-||-⌫-|-----⌫-||-⌫---|
pe lice L un felu e rs	--⌫---||-|--|-⌫-⌫-|
l autre ustsamalice	|----|--|-|-----|
Laissiezl unlautrë estrangle rE	-------||-||-----|---------⌫||
lunal aut redefole r Alaparole	|-|||---⌫-|------⌫||-|-----|
M a rgadud	-⌫-⌫-----|
Se sunttuit li	-|---|---|-|
Bretuntenud	-----|----|
Peanda rapelez	-----|------|
Tuzpl ei n scungiezl ifud	--|--⌫--⌫-⌫|------|-⌫|--|
Oswimalfaires ilpoeit	---|--|----||-|----|
Cadwal einnen gr ucereit	------⌫--||-|--⌫------|
Pea nd aestd ecurt	---⌫--⌫|--|-⌫|---|
Mult orguillusesurquidezEgri efment	---|--------||--------||---⌫-----|
Osw i guereiaEmult suuent led amaga	---⌫|------||---|-----|-|-⌫----|
Oswilima ndasuuentEp rei amult escordement	---|-|--⌫--|-----||-⌫---⌫|---|----------|
etr iewes litenist	|--⌫----|-|-----|
Ned amage neli f eïst	-|-⌫----|-|-|-⌫----|
O re argent	-⌫||-----|
seliplais ei tEal tresaueirsli	-|-|-----⌫--⌫||--⌫---|-----|-|
P ea ndadistquene l	-⌫--⌫--|---|--|--⌫|
Neiaméspa isa	-|-----|--⌫-||
Oswi nefudmiema lueis	---|-|--|--|--⌫----|
Qua ntil uitq uene purreit	---⌫-|-|--|-⌫-|-|------|
Necuncordene	-|-------|-|
triew e prendre	-----⌫|------|
Multsepena	---|-|---|
desei defendreL	-|--|-------||
iremuntaeengroissa	--|----||--------|
cruteespeissa	---||-------|
U n ior sesuntentr encuntré	-⌫|--|-|---|---|--------|
sun tmedle ́	---⌫|-----⌫|
Deugrant fian c e	--|----|----⌫-⌫|
Multoten lui fermecreanceE	---|-|-|--|----|------||
Pea nda mult	---⌫--|---|
sor guilla	|--⌫-----|
Es granzmeisnees	-|----|-------|
Me s descunf it fudeocis	--⌫|-------⌫-|--||---|
Odluiplus urs desesamis	-|--|----⌫--|-|--|---|
Osfr izk ifud	----⌫-|-⌫|--|
sisainznezfiz	--|---|--|--|
Chad waleinnu rriz	----⌫-----|--⌫---|
ots unerita ge	-|-⌫-|-----⌫-|
Chadwalei n humage	---------⌫|-----|
Ch a dw aleinfudboniust isiers	--⌫-⌫--⌫----|--|--|----⌫-----|
L eal rei fud edreituri ers	-⌫--|--|--||--------⌫--|
Q uarantëe oitanz	-⌫-------||--|--|
S uuentot pais su uentotguerre A	-⌫----|-|---|--⌫---|-|-----||
Lundresengrotaeiut	------|------||--|
Ilo c finailocmu rut	---⌫|---|---|--⌫--|
Bretuno rent grantdoelde lui	-----|-⌫---|----|---|-|--|
Mescuntremortnad nul refu i	--|-----|---||-|--|----⌫|
Purluilungement reme nbr er	--|--|--------|----⌫---⌫-|
Firentdequiu re tresieter	-----|-|----⌫-|--------|
Un cheualiersuruncheual	-|--------|--|-|-----|
Enapa rei l le ment real	-|---⌫---⌫-⌫--⌫---|---|
Ded enz fudluco rs lereim is	---⌫--|--|-|--⌫-|-|--|-⌫-|
Puisfudsur uneporte	---|--|--|--|----|
Lundresdeuers	------|-----|
Ilocestutmult	---|----|---|
Deiuste otfait e	------|-|----⌫|
une chap ele	--|----⌫--|
Ma rt inmul t richee bel e	--⌫--⌫-|---⌫|----||---⌫|
Chadwaladresempr és regna	-----------|----⌫--|----|
Chadwal einni és	-------⌫--|--⌫--|
P e anda fizsasorurÇof ud uns	-⌫-⌫---|--|-|----|--|-⌫-|--|
rei sde grantamur	---⌫|-|----|---|
E nsuntensfudf alte	-⌫|--|---|--|-⌫---|
debléEde la	-|---||-|-|
falteuintchi ert éE de lachiert é uintfa mine	----|---|---⌫---⌫-||-|-|------⌫-|---|--⌫---|
Chierfu denburc chierfuenuile	----|--⌫|-|---|----|-|-|---|
Bien p eüssi ez tre is iorzerrer	---|-⌫------⌫-|---⌫-|---|----|
Netrouis siez a achat er	-|------⌫---||-----⌫-|
N e painn eblé n	-⌫|---|-⌫|---||
altr euitai lle	----⌫|-----⌫--|
Tant parer tgrantpartut	---|--|--⌫|----|-----|
De pe issunse desal ua gines	-|--⌫-----||-|---⌫--⌫----|
D eueneisuns ederacines	-⌫|--------||-|------|
De fuill es ed erbesuiueient	-|-----⌫-|||----|-------|
Altre uiandenen	----|-----|--|
Ou occele me sauenture	--⌫-|---|--⌫--------|
Reuint une al t realtresi dure	-----|--|--⌫-⌫-|------|---|
Morta litéfud	-----⌫----|--|
grantde gent	----|-|---|
Paraircorrumpue par uent	--|--|-------||--|---|
Esmeisunse scham pse	-|------|-⌫|----⌫-||
es rue sEasmarc hiezeas c harues	-|---⌫||-|----⌫---||-|-⌫-----|
Maniantalant pa rlantch aeient	------|----|--⌫----|--⌫-----|
Sudementsenzlangurmureient	-------|---|-----|-------|
Muerentperemuerentemf ant	------|---|------|---⌫--|
Muerentseignur	------|------|
muere nt seriant	-----⌫-|------|
sires muertla muill ier	----|----|-|-----⌫--|
Mu ere ntuilain echeualier	--⌫---⌫-|-----||--------|
N estu et a l fizsun	|----⌫-|-⌫|--|--|
pe repla indre	--⌫-|---⌫----|
Multueïssiezpoi gentremeindre	---|--------|--|---|--------|
Esu eiessultiue seguast es	-|-⌫---|-------⌫||-----⌫-|
Unques teldoelnenesgarda stes	-----|--|---|--|-------⌫---|
Nepoeientpasfu isune r	-|------|--|--⌫-----⌫|
Tui tliui f	---⌫|-|--⌫|
as mor zenterrer	-|---⌫|-------|
Ci lq ui le mort	--⌫|-⌫-|-|---|
e n te rrerdut	-⌫-⌫--⌫---|--|
morten terrerestut	---|--⌫-----|----|
poren tfui ̈r	-----⌫|---⌫-|
fuï ren t	----⌫---⌫|
Lur fieuselu rmeisunsguerpirent	--|----||--⌫|------|---------|
Tantpurla gr antchier té	---|--|-|--⌫--|-----⌫--|
grantmortalité	----|---------|
mei sunad mal espei r	---⌫--|-|--|-----⌫|
K ila suenueisin	-⌫|-|---|-----|
ueitardeir	---|-----|
Chalewadres k ireisest eit	----------|-⌫|---|---⌫--|
Kilat erreguar der	-|-|-⌫---|----⌫--|
Bretai ne a	------⌫-||
Regne s passa	-----⌫|----|
Alainkimult lama	----|-|---||--|
Salemunaue it esté	------|---⌫-|----|
Ki sunpere auei tm u l tamé	-|--|---|----⌫|-⌫-⌫-⌫|---|
Illereçu tmultlï ementE cunreamult rich ement	-|-|-----⌫|---|---⌫----||-----|---|----⌫----|
Englet e rrefudapourie	------⌫-⌫--|--|------|
Fai lliz libl e zlage ntperie	---⌫---|-|--⌫-⌫|-|--⌫-|----|
Le plusde la terre fud	-|---|-|-|----|--|
niaueitquilaborast	||----|--|-------|
Unzeanze plusfud eissilli eEdelaboreursuo id ie	---|--||---|--|--------⌫||-|--------|--⌫--⌫-|
Ta ntcumdes	--⌫-|--|--|
Bretuns iaueit	------||----|
Esmun zeesforezmaneitE li	-|---⌫||-|----|-----||-|
Eng leiski rem éserent E dela famineesch aperent	---⌫---|-|---⌫--|----||-|-|-----|----⌫------|
E plusur kiap ré s nasquire nt	|-----|-|--⌫---⌫|--------⌫-|
Si cum ilporent	-|--|-|-----|
mie lzuesquirent	---⌫-|---------|
Qu epur lesuiles restorer	--⌫|--|--|----|-------|
Que purlest erres	--|--|--|-⌫----|
Sessuine la mandéU luranceisurfurent né	-------|-|-----||--|-------|-----|--|
Queodf emme se odenfanz	--|-|-⌫----⌫||-|-----|
O dmeisnieseodser ianz	-⌫|-------||-|---⌫---|
uiengenttuitesforceement	-------|---|-----------|
Terr esaurunta	----⌫-|-----||
lur talent	--|-----|
T erreaurunt bone aguaainierNu nt de	-⌫---|-----|---||--------||-⌫-|-|
ri en forsdume smestier	--⌫-|---||---⌫|------|
Cilui ndrentmultespesseme nt	--|--⌫-----|---|---------⌫-|
Odgra nz cumpaignesesu uent	-|---⌫-|---------||--⌫---|
terresseh erb e rg ierent	-----|-|-⌫---⌫-⌫--⌫-----|
Multcrure nt e m ul tipl ierent	---|-----⌫-||-⌫--⌫----⌫-----|
Ne tro uerentkis desturb ast	-|---⌫-----|--|-------⌫--|
terres lurueast	-----|--|----|
Espessementesuuentuindr e nt	----------||-----|-----⌫-⌫-|
Lescu stumeseles	--|--⌫-----||--|
leis t indr ent	---|-⌫----⌫--|
Qu e luranceisur ainz	--⌫|--|-------|---|
E nla terre dun t il ueneient	-⌫|-|----|---⌫|-|-------|
L esnu nsle slageslelanguage	-⌫-|--⌫-|--⌫|----|-|-------|
uoldr e nttenir	-----⌫-⌫-|----|
de lu rlignage	-|--⌫|------|
Ka erfirent	--⌫-|-----|
Cestre direE	-----|---||
Suizfirentnomer	---|-----|----|
Treffiren ta pel er	---|-----⌫|-⌫---⌫-|
Mape st g ualeis engleisest	--|-⌫-|-⌫-----|------|--|
Engualeis est	-|------|--|
S uizcuntéEalq uant dient que cun tr ee	-⌫--|-----||---⌫---|----|--|---⌫--⌫-|
engua leisapeleeEço que di t	-|---⌫---|-----||--|--|--⌫|
Sireene ngleisC ̧o	---|-|-⌫-----|-⌫-|
pue t estre	---⌫|----|
S uizen gualeis	-⌫--|-|------|
Gu aleisuncore du re	--⌫----|-----|--⌫-|
Ded reitbretanz	-|-⌫---|------|
l a parleü re	-⌫|-------⌫-|
Lescunt ez elesbarunies	--|----⌫-||--|-------|
Lescuntree sle sseig nuries	--|-------⌫|--⌫|----⌫-----|
Tin drentissiedeuisere nt	---⌫----|---||--------⌫-|
Bretun les cu mpasserentAcelte ns	-----|--|--⌫---------||--|--⌫-|
Adelsta nreisÇofud lipremiers	-------⌫|---|--|--|-|-------|
Engle terreen baille	-----⌫----|-|-----|
Cornuaille	---------|
Premierfudenoi nzesacrezEp re mierementcurunez	------|--|----⌫-||-----||-⌫--⌫--------|------|
Plus u rdientq uil	----⌫-⌫|----|-⌫|-|
fudbastard	--|------|
Sisp eresfud lireis	--|-⌫---|--|-|---|
Ki pururer a	-|--|---||
RomealaEasaint	---|--|||----|
P ier egraant a Esurlautel enfist	-⌫---⌫|------⌫||--||----|-|---|
Chascun anunde nier d argent	------|-|-|--⌫---||-----|
Dechasc un hume	-|-----⌫-|---|
hosteltenant	-----|-----|
Dedenzsabailliem anant	-----|-|------|-⌫----|
Premierementot faitcest	-----------|-|---|---|
Un sunancest re	-|--|------⌫-|
Yne otn un	--|-|-⌫-|
Lieirem présl	-|--|--⌫----||
untbienten u	--|---|---⌫|
Leduna lper eu nt	-|--|-⌫|---⌫|-⌫-|
K alewadresu oltreuertirEsa terreuolt main teni r	-⌫--------|-⌫--|-------||-|----|---|----⌫----⌫|
sot q ue le esteitpople eElamor talitép assee	--|-⌫|-⌫-|-----|-----⌫||-|---⌫------|-⌫----|
