laiieperdue	|-|-|-----|
porest redef fenseetrefuige	--|---⌫-|---⌫----|-|------|
l i m ondesfor fet	-⌫|-⌫----|---⌫--|
def ere amande r le	-|-⌫--|------⌫|-|
p uniretchastier	-⌫---|-|-------|
quiporcesteamorreni e r	--|--|----|---|----⌫-⌫|
lesgenzmu rtrissent ouaffolen t	--|---|--⌫--------|-|-------⌫|
o urau is sentemblent	-⌫|---⌫--⌫---|------|
ou t olent	-|-⌫----|
par detraction	--|---------|
ou parf ausseaccusacion	-|--|-⌫----|---------|
q uel quesmalauen tures	-⌫---⌫---|-------⌫----|
soientapertes o uoccures	-----|------|-⌫|------|
si conuientquelenlesiout ice	-|-------|--|--|--|----⌫--|
hadamepordieude ioutice	-|---|--|---|-|------|
d onciadis	-⌫--|----|
fusigranzrenons	-|-|----|-----|
tandis con parole	-----|--|-----|
etdenseignier moi	-||---------|--|
uo spe nez	--⌫|--⌫--|
s iu os plaistun motmaprenez	||-⌫-|-----|-|--||------|
diqueluolantiersiedema nt	-|---|---------|-|----⌫-|
quemef aciezun	--|-|-⌫----|-|
damor etde iouti c e	|---|-|-|-----⌫-⌫|
em senb le	--⌫----⌫-|
li que ls uautmieuzsiconu ossenble	-|---⌫-|---|----|-|--|-⌫-|-----|
dequeleamor diz t ude	-|----|---|--|-⌫|-|
ou uosuolezqueiememe ste	-|--|----|--|-|-|--⌫--|
carcele quises tan	--|---|--||--⌫|-|
pas ametreen mise	--||----|-|---|
certesf ols bienenfe zacroire	-----|-⌫--|---|-|--⌫||-----|
messet uquiers sentenceuoire	--|-|-⌫|-----|-------|----|
labone amor uaut mieuz pro uez	-|---|---|---|----|---⌫--|
uolentier suoir	---------⌫|---|
quant uostrouez	----|--|-----|
y ychosesqui	-⌫|-----|--|
suntconuenable s	---|----------⌫|
nec essair esetprofitables	---⌫------⌫-|-|----------|
estplusnecessoire	--|---|---------|
uautmieuzdame c estchose	---|----|---||--|----|
or tepr enb ien	-|-|--⌫-|-⌫--|
cidonque s gar de	-|------⌫|---⌫-|
la nat ured amdeus esg ar de	-|---⌫--||-----|---⌫--⌫-|
cesyychoseso uquelshab it ent	--|-|-----|-⌫|-|--|---⌫--⌫--|
suntnecessai r esetprofit ent	---|--------⌫-⌫-|-|------⌫--|
uoi rses t do ncaige	---⌫-|--⌫|--⌫-|-|-|
d e lsitan t	|-⌫-|----⌫|
que mi euzuau tla	--|--⌫--|---⌫|-|
p luspr ofit an t	-⌫--|--⌫----⌫--⌫|
damebienmip ui sacorder	---|---|||-⌫--⌫|------|
neteueildoncplusrecorder	-|-|---|---|---|-------|
mesplustientgrant ne ccessite	--|---|----|----|--⌫-------|
amor quiuientdecha rite	---|--|----|-|---⌫---|
que ioutice ne fetda ssez	--|------|-|--||-⌫---|
prouezdameainzqpassez	-----|---|----|-----|
uol entiers bien ted isanzfaindre	---⌫------|---|-|-⌫|---|------|
estnecessaire	--|---------|
etgraindre	-|-------|
fet tropmieuzaesl ire	--|---|----||---⌫--|
libien squi	-|----⌫|--|
parsoi p eut soffire	--|--|-⌫--|------|
que cil quia	--|--|--||
mes tierd aie	---⌫---||--|
contre diras tu mie	------⌫----|-|--|
po rquoi n on f etesuos	--⌫|---|-⌫-|-⌫---|--|
an ta ndre	--⌫--⌫---|
sa uoirs ili a q ue reprandre	--⌫---||-|||-⌫-|--------|
un exampleoiren	-|------|--|-|
sauoir sacord e r mi p orroie	-----||-----⌫-⌫|||-⌫-----|
parfoiquantd	--|--|----||
e xamp les me charges	-⌫----⌫--|-|------|
etdepreuuesc esuntgran zchar ges	-|-|------|-⌫|---|----⌫|----⌫--|
touteuoi s exam pleanauras	--------⌫|----⌫--|-|----|
puisque parcemieuzlesauras	------|--|-|----|-|-----|
su ns hom peutbien	|-⌫-|--|---|---|
une nef traire	--|--|-----|
sanzauoir da u treaideaffair e	---|----||-⌫-⌫--|---|------⌫|
queiapart oi bien netroiroies	--|-|--|-⌫-|---|-|--------|
treti l mieuz q uetune	---|-⌫|----|-⌫-|-|-|
auma i nsau c haable	-|--⌫-⌫-|-|-⌫-----|
or pre n cido n q ues	-|---⌫|-|--⌫-⌫-⌫--|
ton sem blable	--|---⌫-----|
siioutice iert	-|------|---|
touriorzgisa nz	-------|----⌫-|
siser oitamor	-|---⌫--|---|
s offisanz	-⌫-------|
amene rbeleuie et b one	|----⌫|---|--|-|-⌫--|
sanz iouti ciernul epersone	---|-----⌫---|---⌫|------|
amoriouticenon	---|------|--|
por ceamor	--|-|---|
ameill eur xxx	|-----⌫--|--|
p rouezme ce steuo len tiers	-⌫----|-|--⌫--|--⌫---⌫----|
orte t e sdoncendementi ers	-|-|-⌫-⌫|---|---------⌫--|
ioutic e qui	------⌫|--|
iadisregn ot	----|----⌫-|
autensq uesatur nusregneot	-|---|-⌫-|-----⌫--|----|-|
cui i upiter co upa lescoilles	--|-⌫-----|--⌫--|--|------|
sesf ilzconse	--|-⌫--|--|-|
fussentandoil les	------|------⌫--|
douz filzetam er	---|---|-|--⌫-|
puis lesgitadedanzlamer	---|--|---|-----|-|--|
don cue nus ladeesse issi	---⌫|--⌫--|-|-----|---|
car liliure s lediti ssi	--|-|-----⌫|-|--|-⌫--|
s elei ertenter rereuenue	|--|-⌫--|-|---⌫-|------|
autresin t bientenu e	--------⌫|---|----⌫|
a u iordui con eles toitlores	-⌫|--||-|--|-|--⌫---|----|
siser oit ilmestiers o nquores	-|---⌫--|-|-------|-⌫------|
a ugen za ntrelsquil s ent ramass ent	-⌫|---⌫|-⌫--|--|-|-||---⌫------⌫--|
c omb ien queioutice gar dassent	-⌫---⌫---⌫--|------|---⌫------|
carpuis quamorsen	--|----⌫-|---||-|
uodroitfuire	------|----|
iouticeenfer oi t tro p dest rui re	------|-|---⌫--⌫|---⌫|----⌫---⌫-|
messelesgenz bi en	--|-|--|---|--⌫-|
s en tramoient	|--⌫--------|
iame snes en treforferoi e nt	----⌫|-||--⌫-----------⌫-⌫-|
etpuisqueforfezsen iroit	-|------|-----||-|----|
i o utice dequoi seruiroit	-⌫-⌫----|-|---|--------|
dame i ene	---|-⌫|-|
saipa sdeq u oi	--|--⌫|-|-⌫-⌫-|
bientencroi	---||-|---|
carpesible et quoi	--|------|-|---|
tretuitcil du mon de uiuroient	------|--|-|---⌫-|--------|
iamesroine prince	----|--|-|-----|
neseroitbailliz nepreuoz	-|-----|------|-|-----|
doncu iuroitli	---|-⌫-----|-|
peuple s deuo z	------⌫|----⌫|
iames i u gesnorro itcla mor	----|-⌫-⌫--||----⌫-|---⌫--|
ge quemieuz uaut	-|--|----|---|
simp le mentquene fetioutice	----⌫--⌫---|--|-|--|------|
tout ailleelecont re	---|----|--|----⌫-|
quifumeredes	--|-|---|--|
seigneuries	----------|
fr anchis e ssu nt peries	--⌫------⌫-⌫|--⌫-|-----|
c ars enefust	-⌫-|-⌫|-|---|
domli mondesesten techie z	--|-|-----|--|--⌫------⌫|
len ne ustonquesr oiueu	--||-⌫--|-----|-⌫-|--|
neiuig eenter reconneu	-|----⌫|-|---⌫-|-----|
s isipreuuentil malement	-⌫|||-------|-|-------|
quil deusse nt premi e rement	-|-|------⌫-|-----⌫-⌫-----|
elsmeismeiustifier	--|-----|--------|
puisquanseueust enelsf ier	-----|-|-|----|-|--|-⌫--|
etleau sestreetdiligenz	-|----⌫|----|-|-------|
non pas laschesetnegligenz	--|--|------|-|--------|
n e couuoi teusf ausne faint i z	-⌫|------⌫---|-⌫--|-|-----⌫-⌫|
porferedroiture au splaintiz	--|---|-------|--⌫|-------|
mes or uendent le siu igema nz	--|-|------|--⌫|--⌫-----⌫-|
et bestorn entleser remanz	-|-------⌫--|--|--⌫-----|
et t aillentet co n ten te traient	-|-⌫------|-|--⌫-⌫---⌫|-⌫|-----|
etlespouresgenz trestoutpaient	-|--|-----|---|-------|-----|
tuit s eff orcentdel autruiprendre	---||---⌫-----|-||-----|------|
tels iuigesf et lelarronpe ndre	---|-----|-⌫-|-|-----|--⌫---|
qui mieuzdeus test repen d uz	--|----|----⌫|---⌫-|---⌫-⌫-|
s e iugemantlifustrend uz	-⌫|-------|-|---|----⌫-|
desr apines	--|-⌫-----|
qu ilap arson poai rforfez	-|-||-⌫-|--|----⌫|-----|
n efistbien appiusapen dr e	-⌫|---|---|-----||---⌫--⌫|
qui fista sonserian t enp rendre	--|---||--|------⌫|---⌫-----|
tesmoignz fa uss equerel e	--------|--⌫---⌫|------⌫|
cont re uirgine lap ucele	----⌫-|------|-|-⌫----|
fil leu irginius	---⌫-|-⌫-------|
sicondittytus liu ius	-|--|--|----|---⌫--|
quibie n set lecasraco nter	--|---⌫|--|-|--|----⌫---|
por c equil	--|-⌫|-|-|
nepoaitdonter	-|----|-----|
lapucelequi n auoi t	-|-----|--||----⌫|
liribau zdit en	-|-----⌫|--|-|
au di ence	--⌫--⌫---|
sire iuige	---|----|
donezsentenc e	----|-------⌫|
p ormoicarl apucele	-⌫-|--|--|-⌫|-----|
po rma seruela proueroie	--⌫|-|----|-|--------|
contretouzcelsq uisuntenuie	-----|---|---|-⌫-|---|-|--|
ca r ou quelai testé	--⌫|-|-|-|--⌫|----|
demon ost el mefu	-|--|---⌫-|-|-|
deslorspar	--|---|--|
et bailliee	-|-------|
auirginius	|--------|
siu osrequiers i re appi us	-|-⌫-|------|-⌫-⌫-|----⌫-|
me del i urezmaser ue	-|---⌫-⌫---|-|---⌫-|
carile stdroizquelemeserue	--|-|-⌫-|----|-|--|-|----|
n o npascelui qui lanor rie	-⌫-⌫|--|----|--|||---⌫--|
et seuirginiusle nie	-|-|--------|-|--|
tout cesu i iep r ezd e prouer	---|-|--⌫|-|-⌫-⌫-|-⌫|-----|
carbons tesmo ignse npuistroue r	--|---|-----⌫---|-⌫|---|-----⌫|
ainsincparloitl i	------|------|-⌫|
maustraistres	---|--------|
q uiduf ausiuige estoitmenistres	-⌫-|-|-⌫--|----|-----|--------|
etconliplezainsinta last	-|--|-|---|------|-⌫---|
ai nzqu euirgiliuspala st	--⌫----⌫|--------|----⌫-|
qui touzes toit	--|---|--⌫---|
prezde re spondre	---|-|--⌫------|
porsesauersair esconfondre	--|--|--------⌫-|--------|
iuia par hastiue	---|--|------|
appi usquesanz at endan ce	----⌫-|--|---|--⌫-----⌫-|
fustla puceleau	---|-|-----|-|
serfren due	---|---⌫--|
etq uantlachose aentendue	-|-⌫---|-|----||-------|
libeaupreudon deuantnomez	-|---|------|-----|----|
b onsc heualiers bienr e n omez	-⌫--|-⌫--------|---|-⌫-⌫-⌫---|
cest asauoi r	|--||-----⌫|
quibienuoit qu euersappi us	--|---|---|--⌫|---|----⌫-|
sa filled effendre	-|----|-⌫-------|
a i nzlico nu ientparforce rendre	-⌫-⌫-|-|--⌫--⌫---|--|----|-----|
etson cor sl iu r e ra	-|--|---⌫|-⌫--⌫-⌫-⌫||
si changehontepo r domage	-|-----|----|--⌫|-----|
par merueil le uz apensement	--|-------⌫--⌫-|---------|
se tytus l iuiusnem ent	-|----|-⌫----|-|-⌫--|
caril paramor san shaine	--|-|--|---|---⌫|----|
as a belefille ui r gine	|-⌫|---|----|--⌫-⌫---|
tantost alatestecoupee	------||-|----|-----|
et puisauiuig e presentee	-|---|-|----⌫|--------|
deuant touz	-----|---|
e n pl eincons itoire	-⌫|--⌫--|----⌫-----|
et li iuigesselo nclestoi re	-|-|-----|----⌫-||-----⌫-|
le conmen da tantostaprendre	-|------⌫-|------||------|
por luimener occierre ou	--|--|----|-------|-|
mesnelocist	--|-||----|
ne nep endi	-|-|-⌫---|
carlipeuplesle	--|-|------|-|
qu ifutouzde	--⌫|-|---|-|
si to stconl i	-|--⌫-|--|-⌫|
f ez f u seuz	-⌫-|-⌫|---|
puisf upor cestemesprison	---|-⌫|--|----|--------|
appiusmis anlaprison	-----|--|-|-|-----|
etsocis tlahastiuemen t	-||----⌫|-|----------⌫|
ainzleior desoniugement	---|-|--|-|--|-------|
et claudiuslichala ngierres	-|-------|-|-----⌫-------|
iuigie ziert amortconmelierres	------⌫|---||---|----|------|
seneleneustrespitié	-|-||-|---|--------|
uirg iniuspa rs apitie	----⌫----|--⌫|-⌫|----|
quitantuost lepeupl epr oie r	--|---|---|-|-----⌫|--⌫---⌫|
e s si llefistenuo i er	-⌫-⌫--⌫|-|---|----⌫-⌫-|
cond ampnémoruren t	----⌫-----|-------⌫|
quites m oignd esa	--|---⌫-⌫---|-⌫|-|
cause fur ent	----|---⌫--|
brief man tiugesfo nttrop d outra ges	-----⌫---⌫|----|--⌫-|---||-----⌫--|
lu cans r editqui	--⌫---|-⌫---|--|
fumout sages	-|---|----|
co nquesuertu zet	|-⌫----|-----⌫|-|
grantpoair	----|----|
nep otnusensembl euoair	-|-⌫-|--|-------⌫|----|
mes sachent qu e si lne s	--|------|--⌫||-⌫|-||
et cequ ilont mal pris ner end ent	-|-|-|-|--|--|---|-|-⌫---⌫--|
lipu iss an s	-|--⌫---⌫--⌫|
iuge spar durables	----⌫|---⌫-------|
enenfer a ueclesdeabl es	-|----|-⌫--|--|-----⌫-|
metraescols le l az	----|-|---|-|-⌫-|
nen e nmesthorsroi sne	-||-⌫|---|---|---⌫|-|
neiuge de quelconq ue sguise	-|---|-|--------⌫--⌫|----|
soitseculierousoi tdiglise	---|-------|-|---⌫||-----|
nontpasle sho norsporcef ere	|--|--|--⌫|--⌫---|--|-|-⌫--|
san zloier doiuent ac hieftrere	---⌫|----|------||-⌫---|----|
lesque reles	--|---⌫----|
leur porte	---|----|
etausplai ntizo urir laporte	-|--|----⌫---|-⌫---|-|----|
etoir e npropresper son es	-|--|-⌫|------|---⌫---⌫-|
lesque relesfausse se t bones	--|---⌫----|------⌫|-⌫|----|
nontpasleshon ors	|--|--|--|---⌫--|
por noia nt	--|----⌫-|
nese n aillentia	-||-⌫|------|-|
qu il sunttuitserfaumenup ueple	-|-|---|---|---|-|---|-⌫----|
quilepaisacro ist	--|-|---|----⌫--|
et pu ep le	-|--⌫--⌫-|
serem anzeti u rent	-----⌫--|-|-⌫-⌫---|
deferedr oit	-|---|--⌫--|
tantconil duren t	---|--|-|-----⌫|
doiuen t cilenpes uiure	------⌫|--|-|--|----|
lesm aufe te ursparsiur e	--|-⌫----⌫--⌫--|-------⌫|
etdeleurmain sles larrons pendr e	-|-|---|----⌫|--|------|-----⌫|
s ilnestoit qu i	|-||-----|--⌫|
uosi stenprendre	----⌫-|--------|
p ar leurpers on esceloff ic e	-⌫-|---|----⌫--⌫-|--|---⌫--⌫|
p uisquildoiuentfereiustice	-⌫----|-|------|---|------|
lado iuent metreleur ententes	-|--⌫----|----|---|-------|
porce leurbaillalen	--|-|---|-----|--|
ainsincaupueple	------|-|-----|
lepromistrent	-|----------|
cil quiprimes leshonorspri st re nt	--|--|-----|--|-----|---⌫--⌫--⌫-|
ortai s e bienlas	-||-|-⌫|---||-|
ent e n du	---⌫-⌫-⌫-|
cequetumas requis	-|--|-||-|-----|
etlesresons as	-|--|-----|-|
qu imesembl ent acemeues	--⌫|-|-----⌫--||-|----|
da me certesbien men paiez	--⌫-|-----|---||-|----|
et iem e n tienbiena paie z	-|-||-⌫|---|---||----⌫|
conmecilquiuos	----|--|--|--|
mes oiuo sai	--|-|--⌫|-|
conmoisemble une parole	--|--|-----|--|-----|
s iesbau leureeetsifole	-⌫|-----⌫-----|-|-|---|
uo droit cecroi	--⌫----|-|---|
a uosen pre ndr e aescuser	|--|--⌫---⌫---⌫||------|
porro ittrouer def fenses	-----⌫-|-----|---⌫-----|
bienuoi distel ea	---|--|---|--⌫||
q uoi t u pe nses	-⌫--|-⌫|--⌫---|
uneautrefoizquan ttuuor ras	--|----|---|----⌫|-|---⌫--|
excusacionenorras	---------|-|----|
sit eplesta rame nteuoir	||-⌫|----||----⌫------|
donc lerament e ure i e uoir	---|-|------⌫-⌫--|-⌫|---|
disieco n rema n bran zet uistes	--|-|--⌫|----⌫-⌫----⌫|-|-----|
conuosledeistes	--|--|-|------|
simamesmes tres deffendu	-|||--|---⌫---|-------|
laimoutbienentendu	|-|---|---|------|
qui d eribaud ie	--|-⌫|------⌫-|
sapr oic he	|---⌫---⌫-|
mes desque ie n	--|-----|-||
ensuifesierres	-|--|--------|
ienpuisbi enestrerecitierre s	|-|---|--⌫-|----|----------⌫|
sinomerelemot	-|-----|-|--|
bie n f etquisafolie	---⌫|-⌫-|--|-|----|
a celui qui luoit foloier	|----|-|-⌫|---|------|
detantuos puisorchatoier	-|---|--|---|-|-------|
si raperceurez uostreou trai ge	-|----------|-----|--⌫----⌫-|
quiuosf a igniezestre	--|--|-⌫-⌫-----|----|
ceu eilliebiendi tele atendre	-|-⌫---|-|---|--⌫|--|------|
m esd ec e	-⌫-|-⌫|-⌫|
m erestue tdef fendre	-⌫|------⌫|---⌫-----|
hain e m opposes	----⌫||------|
me ru eil lees t	--⌫--⌫---⌫-|--⌫|
co nmentdire l oses	--⌫----|---||---|
seztupasquil nes	--|-|--|-|-|-||
sel essie rueil l unefol ie	-|-⌫-----⌫|----⌫|--|---⌫-|
q ueferedoie a ut eleougraindr e	-⌫-|---|---|-⌫--⌫--|-|-------⌫|
nepor ceseie ueill estaind re	-|--|-|-|-|----|-------⌫-|
amoraq uo i tu bee s	---||-⌫--⌫|-|---⌫|
co nma nt ie	--⌫---⌫-|-|
porcequetuhees	--|-|--|-|---|
nete souien til	-|-|------⌫|-|
pasd orace	--||----|
quitantotde	--|---|-|-|
senet degra ce	--|-|-|---⌫-|
horaces dit	------|--|
quin estpas	--||--|--|
foleschiuent	--|--------|
le sui ces	--⌫|--⌫--|
si setornental eu rco nt raires	-|-|------||-⌫--⌫|--⌫--⌫-----|
sin enuautpasmi e uz l e uraffaires	-||-|---|--|--⌫-⌫-|-⌫-⌫-|-------|
namorneueilliepas	|---|-|----|-|--|
deffend re	-------⌫-|
quel enn i	--|-⌫-|||
doieb ienenten dre	---|-⌫--|-----⌫--|
forsquacelequi les	-----||---|--|--|
g enzblece	-⌫--|----|
por cese iedeffent	--|-|-|-|------|
iepasdeffendre	-|--|--------|
c e neuaudroitun	-⌫|-|-------|-|
graindepoeu re	----|-|----⌫-|
sefolelargece	-|---|------|
len me tendroi tbien por desu ee	--|-|-------⌫|---|--|----⌫-|
seie c onmandoieauarice	-|-|-⌫--------|------|
car lune etl	--||--|-||
au tre est trop grant uice	--⌫--|--|---|----|---|
ien efaz past ex	-|-⌫|--|--|-⌫-|
sife tesuoir	-|--⌫--|---|
certestu manz	-----|-|---|
te quierde	-|----|-|
c efla ter	-⌫|---⌫--|
t un aspas bi e npormoi mater	-⌫||-|--|--⌫-⌫|--|--|----|
cerchiél esl iures anciens	-------|-⌫-|-⌫----|------|
tuniespasbons l ogiciens	-||--|--|---|-⌫-------|
ienelis pas dam orsissi	-|-|--|--||--⌫--|---|
onqu es dem a boichen issi	----⌫-|-|-⌫|-----||---|
rien hair doien	---|---|--|-|
lenipuetb i e ntro uermoien	--||---|-⌫-⌫-⌫|---⌫--|----|
la mo r que	|-⌫--⌫|--|
tan tetpris e	---⌫|-|----⌫|
queiet ai porameraprise	--|-||-|--|---|-----|
a utreamornaturel	-⌫---|---|------|
quena turees bestescri a	--|--⌫---|-|-----|---⌫|
par q uoideleur feons	--|-⌫--|-|---|----|
ch euiss ent	--⌫-----⌫--|
etlesalete ntet	-|--|-----⌫-|-|
n orrisse nt	-⌫-------⌫-|
delamord o nietieg nciconte	-||---|-⌫-⌫|-|----⌫|-|----|
setuueuzqueie tenra conte	-|-|---|--|-||-|--⌫----|
quels estlide fenissemenz	----|--|-|--⌫----------|
cestnaturei ex enclineme n z	|--|-------⌫-|---------⌫-⌫|
deuolairg arder son semblable	-|-----|-⌫----|--|--------|
par ente nci on conuenable	--|----⌫---⌫-|---------|
soitparuoied engendreure	---|--|---||----------|
oup a rcuredenorretu re	-|-⌫-⌫|---|-|-------⌫-|
a cesteamorsunt pres z	|----|---|---|----⌫|
et prest es	-|-----⌫-|
au si ncl ihomecom	--⌫--⌫-|-⌫|---|--|
ceste amo rconbienquelprofite	----|---⌫|--------|-|------|
nalo snebla m e	||--⌫|-|---⌫-⌫|
n a blamerna	||-----|||
natu reles ifet uoer	----⌫-|--||--|---|
fetce stch os e uoir e	--||-⌫-|--⌫--⌫|----⌫|
nelnaseur nuluice uictoire	|-|||---|--|---|-------|
faille silne fesoi e nt	-----||-|-|-----⌫-⌫-|
blas mereceuoir	----⌫-|-------|
endeuroi en t	-|------⌫--⌫|
ausincco nqua ntuns hommeniue	-----|--⌫|---⌫-|--|--|-----|
queloengelene st deue	--|-----||-|-⌫-|---|
il foriur oit lemengier	-|------⌫--|-|------|
len l endeur oitbien le dengier	--||-|----⌫--|---|--⌫------|
mesbi ensaiquetu n entenz pas	--|--⌫-|--|--|-||-----|--|
a ceste amorp orce mepas	|----|---|-⌫-|-|-|--|
moutasenpris pl u sfoleemp rise	---|-|-----|--⌫-⌫|---|---⌫---|
que t ua s emprise	--|-⌫|-⌫|------|
