puisquececi feniauons	------|---|---|----|
li pouplestant qua la meruint	-|------|----⌫-||-|--|---|
enlamerse stbot ezetmi s	-|-|--||-⌫-|---⌫-|-|--⌫|
atantuit sesanemis	----|--|--|-----|
pharoanquiriensne	------|--|----|-|
apreseux enme r	----|--|-|--⌫|
auecsagen t a uecsonost	---|-|---⌫|-⌫--|--|--|
e tlamers e r eclosttant ost	-⌫|-|--|-⌫|-⌫-----|----⌫--|
sifur entperilliésenzdote	-|---⌫--|--------|---|---|
liro ys e tsamesn ietote	-|--⌫-|-⌫|-|----⌫-|---|
dec ete meruoille	-|-⌫--|--------|
deuintla merroyge	-----|-|--|----|
et uerm oylle	-|----⌫----|
noncpuisnela sorentn omer	|--|---|-|-|-----|-⌫---|
autrenon qu e la	----|--|--⌫|-|
quantlipoup l esle gra n t	----|-|----⌫-⌫-|-|---⌫-⌫|
q ue di e x poreuxtozfait	-⌫-|--⌫-⌫|--|--|--|---|
ceuxd ou paismorsesgarderent	---|-⌫-|---|---|----------|
chanterent	---------|
et ce quiensit en lagu i se	-|-|--|----|-|-|--⌫-⌫-|
que l ilatinsl en ou sdeuise	--|-⌫|-----|-⌫|-⌫--⌫|-----|
dilec lipouples	|---|-|------|
t anterr a	-⌫--|---⌫|
queilestue nuzenma rra	--|-|--|--⌫--|-|--⌫--|
quedeu on slequint leu	--|---⌫--⌫|-|----|--|
i llecquesfurentsiamer	-⌫-------|-----|-|---|
liflunet lipoiz qu iltrouaint	-|---|-|-|---|-|-|-------|
q ua grant engoisseleshus aint	-⌫||----|-------|--|---⌫---|
maslidousbois	--|-|---|---|
lesa yuesdoul e udouces fist	--|-⌫---|--|-⌫-⌫|-----|---|
tuq uiueauxalerbone suoyes	-|-⌫-|----|---|----⌫|----|
lesdeuantdit esch oses uo ye s	--|-----|---⌫-|--⌫---|--⌫--⌫|
tuesprimes amonestés	-|-|-----|---------|
mondesoye s	----|----⌫|
ceestquetu	-|--|--|-|
fui eslemonde	---⌫-|-|----|
en lamensi o n secunde	-|-|-----⌫-⌫|------|
a quetuuoilles trauaillier	|--|-|------|----------|
a uspauaillons a pareill ier	-⌫-|---------|-⌫-------⌫--|
etlatierce	-|-|-----|
ditqueentoy	--|--|-|--|
aye stoz disforce defoy	---⌫|--|--|----|-|--|
ro ygemerbaptoy medes c rit	--⌫--|--|------⌫-|---⌫-⌫--|
quidouroyge sancihesucrit	--|--|----|---|--------|
e s ttressainct ementarousez	-⌫-⌫|---|------⌫----|------|
etquantensainz fonz espo sez	-|----|-|----|---|-|--⌫--|
te s pechiez q uiesttoz au ti ex	--⌫|------|-⌫-|--|--|--⌫--⌫-|
comelianemi s	---|-|-----⌫|
en souffreleperi l ceu oy	-|------|-|----⌫|-|-⌫-|
limembredesustoy	-|-----|----|--|
lorsc hantesas embleemen t	---|-⌫-----|--⌫---------⌫|
auecmarieautement	---|----|-------|
licha nsquianon	-|---⌫-|--||--|
ce quapres	-|-|----|
uin drenten	---⌫----|-|
d ouquel layueboyre amer	-⌫-|---||---|----|---|
cest qu apre sbap toysmeade li ure	|--|-|----⌫|---⌫-----||--⌫--⌫--|
seautmainte cho seamereensiure	----|-----|---⌫-|----|------|
ay u efu pa rledous	--⌫-⌫|-|--⌫|-|---|
adoucietotdemenois	------|--|-------|
toncourtrouuer as	--|---|-------⌫-|
silacro iz	-|-|---⌫-|
lis ixtes leux anonhelim	-|-⌫----|---||--|----|
lortr ede soy e et	--|--⌫|-|---⌫|-|
ont illecques mise tp osez	--|--------|--|-⌫|-⌫---|
etlileuxestoitarousez	-|-|---|-----|------|
noblementde fontaynes	--------|-|--------|
dom l esa yues	--|-⌫-|-⌫---|
estie ntsaynes	-----⌫-|-----|
la trouuere nt	-|--------⌫-|
arbresfruitie rs	-----|-------⌫-|
et dizpomers	-|--|-----|
c esf ontaines ontsenzdo utence	-⌫-|-⌫-------|--|---|--⌫-----|
des apo tres senefience	--|---⌫---|---------|
etlaforme des pomersn ombre	-|-|----|--|-----|-⌫----|
desmaindres decipl esl e	--|-------|------⌫-|-⌫|
desap ostres	--|--⌫-----|
au o nsle b oyure	--⌫-⌫-|-|-⌫----|
dedoctrine que deuonsboyure	-|-------|--|-----|-----|
deciplesdeuon s tuit	-------|-----⌫|---|
d esainctefoyc uil lir lefruit	-⌫|------|--|-⌫---⌫--|-|----|
deceteter re une partie	-|---|---⌫-|--|-----|
tot nefutelle	--|-|--|---|
p as partie	-⌫-|-----|
lamerp ardarrie reesg arde	-|--|-⌫-|------⌫-|---⌫---|
fu destre z	-|--|---⌫|
lasep t oyme ga rde	-|---⌫-⌫---|--⌫--|
dilec pou ztu uei erles	|---|---⌫|-|---⌫-|--|
bonsquepremerement as faiz	---|--|----------|-|---|
et pui s rega rderateseaux	-|---⌫|----⌫---||--|---|
com menttupu isses feremeaux	---⌫---|-|--⌫----|---|----|
simlioictiesm esleuxs	--|-|--------⌫-|---||
a senef ierdroiteayn e	|-----⌫--|-----|---⌫|
ainss i nousenseignecis son s	-----⌫|---|-------|--|---⌫|
qu elartdelanemi	--⌫||--|-||----|
li nouiesmes	-|--------|
habitemens	---------|
est sochacest deboteme ns	--|----||--|--------⌫-|
entr een l iglise e tdieu	----⌫|-||-----|-⌫|---|
e t tarequestea urastrestote	-⌫|-|-------|-⌫---|-------|
en alisdoupouple posee	-|---|--|-----|----|
fuladizesmereposee	-|-|------|------|
lao rent s auonsoulati n	-|-⌫---||----|-|----⌫|
l ama nnedeue rs lematin	-⌫|--⌫--|----⌫-|-|----|
et uersle so ir	-|---|-|--⌫-|
alauespree	|-|------|
h ot lesq uailles la	-⌫-|--|-⌫------|-|
ge ntebree	--⌫-|----|
porce ledizainleu esgarde	--|-|-|-----|--|------|
quartozhomqui	---|--|--|--|
l e a umentgarde	-⌫-⌫-⌫----|----|
commendemenzd elo y	-----------|-⌫|--⌫|
alepaina u so uuerain	|-|---|-⌫|--⌫------|
r afadim fu lap lace	-⌫-----|-|-|-⌫---|
la donala perre fontaine	-|---|-|----|-------|
ce not ele	-|---⌫|-|
c oste ihesu	-⌫---|----|
len cetresperciezfu	---⌫-|----------|-|
iosue sec ombati la	----|-|-⌫-----|-|
et moyses sesmainz	-|-----|--|----|
et toutceala croiz safro nte	-|---|-||-|----||----⌫--|
quito zm ausnous sometetdonte	--|--⌫|-⌫--|---|----|-|----|
ietrocon soilla moyses	----|---⌫-----|-----|
notans quila uiendroitap res	-----|-|-|-⌫--------|--⌫--|
que laloy uielle depertroit	--|-|--|-----|---------|
quant lanouelle a u antuendroit	----|-|------|-⌫-⌫--|-------|
raf adinestsenefians	---⌫---|--|--------|
autantcomlesforsdesl iens	-----|--|--|---|----⌫---|
etuertuzsitulas deslie	-|-----|-|-||-|-----|
domanemislie	--|-----|--|
iostel emontdesinay	----|-⌫|---|-|----|
h ontledozainl euenuay	-⌫--|-|-----|-⌫-|----|
et cis mo zq ueiedisyna	-|--|--⌫|-⌫-|-|-|---|
notedeuerm eillechosea	---|-|----⌫----|----||
donsenefieee st	--|-------|-⌫-|
totplenierement sain ct eyglise	--|-----------|----⌫--⌫|-----|
quar en luiloursanc espendirent	---|-|--|---|---|----------|
liapostrequi	-|------|--|
mortso uffrirent	---|--⌫--------|
ici c ommendamoyses	--|-⌫------|-----|
encommendemenz	-|-----------|
t ozespres	-⌫-|-----|
com mendemen z eussent	---⌫--------⌫|------|
e n treuxetquebien ga rdé fussent	-⌫-⌫-|--|-|--|---|--⌫---|------|
etfis t fereleuestem e nt	-|---⌫|---|-|------⌫-⌫-|
euesq u e honestement	-----⌫-⌫|----------|
etl afist totel orde nence	-|-⌫|---|---||----⌫----|
deceu xqui	-|---⌫|--|
eraintdeu ail lence	-----|-|-⌫---⌫----|
quarilfurentconté senzguille	---|-|-----|-----|---|-----|
parnombrecenz	--|-----|---|
etpuiscenz et	-|---|---|-|
aita nt futprise	|---⌫-|--|----|
encestnom brene f utmie	-|---|---⌫--|-|-⌫-|--|
deleui miselaligni e	-|---|---|-|-----⌫|
qu ediexuosta soneu x a uoir	--⌫|---|---||--|--⌫|-⌫---|
faitlilatinssauoyr	---|-|-----|-----|
c eaux que moyses armerfist	-⌫---|--|-----|----|---|
cont relesanemisles mist	----⌫-|--|-----|--|---|
si conuen oit	-|------⌫--|
acet e gent	|---⌫|---|
qu eilfussent mont d iligent	--⌫|-|------|---|-⌫------|
ou glaiues combatre	-|------|-------|
mor t embatr e	---⌫|------⌫|
mes quil qui dieu serui rdeuain t	--|-|-|--|---|-----⌫|------⌫|
enfoyem pit ie manaint	-|--|-|---⌫-|------|
encetuileutant dem orerent	-|----|--|---|---⌫------|
quemainctesc hosesy traicter ent	--|-------|-⌫----||--------⌫--|
ettant q ueil	-|---|-⌫-|-|
fu deuisié	-|-------|
foirfussen tau is é	---|------⌫|--⌫--⌫-|
mauueses c ogi t acions	-------|-⌫---⌫-⌫-----|
fait efuconstitutions	----⌫|-|------------|
quecil denaza rethportassen t	--|--|-|----⌫---|---------⌫|
gra nz cheuiouxetpuislesrou ig nassent	---⌫-|-------|-|---|--|---⌫--⌫------|
apresregardas sentzzleu	----|--------⌫---|-|--|
ouilfuss entars e nz zfeu	-|-|----⌫--|--|-⌫|-⌫|--|
a ussit au c une foiz au ient	-⌫----|--⌫-⌫--|---|--⌫---|
queliiu sai nssi	--|-|--⌫|--⌫---|
secontient	-|-------|
que nlu isuperfluiteprent	-|-⌫|--⌫|----------|----|
parles uertuzqueenl ui	--|--|-----|--|-|-⌫-|
masdo uco ur	--|--⌫|--⌫-|
lacomponctions	-|-----------|
tontsescheuioxq ui	---|--|------|-⌫-|
sonttrop lons	---|---|---|
aussi comou unes	----|--|-|---|
do usai ntespi r	--⌫|---⌫-|----⌫|
apres fu t r ait éencest	----|-|-⌫-⌫---⌫-|-|---|
qua meni erede bonp reuost	-||----⌫--|-|--|-⌫-----|
moysesenzouta b ernacle	-----|--|-|--⌫-⌫------|
en t rastetissistse nzobstacle	--⌫-⌫---|-|-----|--⌫-|-------|
e nssitmoysespar	-⌫----|-----|--|
y e ntroit	|-⌫-----|
etissoitsouen t	-|-----|-----⌫|
etsoue ntal	-|----⌫-|||
arche uenoit	----|-----|
por cequadi euco nso ilprenoit	--|-|-||--⌫-|--⌫---⌫-|------|
de la cho sedom ertendoute	-|-|---⌫-|--|--|-|----|
puisensauoituerite to ute	---|-|-----|-----|--⌫--|
apres f u r ayso nsa uantmise	----|-⌫|-⌫----⌫-|-⌫---|---|
d eschiuertotecouoyt ise	|-------|---|------⌫--|
il nefupasm is e nob li	-|-|-|--|-⌫-|-⌫|--⌫-|
quieraintestabli	--|-----|------|
e nlordre de diacre	-⌫||----|-|-----|
celorfesoi tlon as auoir	-|--|-----⌫|--||-⌫----|
q ua n tle poyldesus eussont	-⌫--⌫-⌫|-|---|----|------|
troplonsque	---|---|--|
ta ntosttondu	--⌫----|----|
di acresestu euz	--⌫----|--|-⌫--|
ualoirautant	-----|-----|
comrecehuz	--|------|
etdesprouo yre slanoteont	-|--|-----⌫---⌫|-|---|--|
q uien lalo yn oue lle sont	-⌫-|-|-|--⌫|-⌫---⌫--|---|
li pio x est ces t ch ose	-|---⌫|--||--⌫|--⌫--|
superflu es ench arhumayne	--------⌫-|-|--⌫-|------|
et figur ecequep ensee	-|-----⌫|-|--|-⌫----|
hasoue ntsenzrayson p en see	-|----⌫-|---|-----|-⌫--⌫--|
ettozbonshon	-|--|---|--|
quediexreceit	--|---|-----|
ensonseruisemoutbiend oit	-|--|------|---|---|-⌫--|
rereo sterdeson	---|-⌫---|-|--|
totepense ede folage	---|-----⌫|-|-----|
siquetond rea	-|--|----⌫-||
etnonpas aracherdout ot	-|--|--|------|--|-⌫-|
no u saministr e gran tdoctr ine	--⌫-⌫|--------⌫|----⌫|-----⌫--|
quar rasurepasn a raci ne	---|-----|--||-⌫----⌫-|
masce q ue tondreo urere auien t	--|-|-⌫-|-----|-⌫|---|-----⌫|
derech iefse croiste treuient	------⌫--|-|-----|-⌫|------|
au ssiquant tudeboteras	--⌫--|----|-|--------|
tes mauuesp enser set reras	--|-----|-⌫-----⌫|-|----|
tu pas tanttracier	-|--|---|------|
quetu l espuissestozc haci er	--|-|-⌫-|------|--|-⌫----⌫-|
et teuient del a	-|-|----|-|-⌫|
charse nzfaille	---|--⌫-|-----|
q uarcharnorristtoz iors ba taille	-⌫--|---|------|--|---|--⌫-----|
quibatailleesmout	--|-------|-----|
bataillier te steut	---------||-⌫----|
si t e s tmoy tiersquetoziorsayes	-||-⌫-⌫|---⌫----|--|--|---|---|
qui re etespenseesg ayes	--|--⌫|--|------|-⌫---|
apresfudedeu poru ehu	----|-|-|--|----⌫--|
quetuit lidiacrecrehu	--|---|-|-----|----|
tan tq ueyy	---⌫--⌫-|-|
etyy ansauraint	-|-|--|------|
sinquenteanzseruir aint	--------|--|------⌫---|
qu ant plus desinquanteans auraint	--⌫--|---|-|--------|--|------|
lorsgarded esuesseaux seraint	---|----|-⌫-|-------|------|
liuesseauldo uparcontator	-|-------|--⌫|---|--|---|
que doiuentgarder lipastor	--|------|-----|-|-----|
desq uiexlac harest	--|-⌫---|-|-⌫--|--|
q ueelesten paiz	-⌫-|-|--|-|---|
qu arcilquison ten la	--⌫-|--|--|---⌫|-|-|
ioliueet gaye	-----|-|---|
ned oiuentp asauo yrretor	-|-⌫-----|-⌫-|---⌫-|----|
queil soyentdepastor	--|-|-----|-|-----|
poiso rdenere nt celleg ent	---|-⌫-------⌫-|----|-⌫--|
quelonfeist	--|--|----|
deux buisi gnes quicl er	---|-----⌫---|--|--⌫-|
sonassen t	--------⌫|
siq uequantell e sbu isi gnassent	-|-⌫-|----|---⌫-⌫|--⌫---⌫-------|
p arceuoyr peus t	-⌫-------|----⌫|
quanti lesmo uo yrsedeus t	----|-⌫|----⌫--⌫-|-|----⌫|
s e nefiemens	-⌫-⌫--------|
plusgrans comm andemens	---|----|----⌫-------|
et cilquiportel es	-|--|--|----|-⌫-|
do ctrines	--⌫------|
porteauecluil esyybui signes	----|---|--|-⌫-|-|---⌫-----|
buisi gneuoizdeme stretoyche	-----⌫--|---|-|--⌫---|-----|
arg ent replendordesaboyche	---⌫--|--------|-|-|-----|
p a r siquentelargentn	-⌫-⌫|-|-|-|--|-----||
ai tpoi nt	--⌫|---⌫-|
defauxnielle necon io in t	-|---|-----|-|---⌫--⌫--⌫|
quant la ge n td oup ouple oa in t	----|-|--⌫-⌫|-⌫-|-⌫----|--⌫--⌫|
l esyybuisignesquisonnaint	-⌫-|-|--------|--|-------|
lorsmetienttuitlo ren ten tes	---|------|---|--⌫|--⌫---⌫--|
encu illir pa uaillonse ttentes	-|--⌫----|--⌫-------|-⌫|-----|
a usi e stde celuiquiporte	-⌫--|-⌫-|-|----|--|----|
la paroll ed ieu qui conforte	-|------⌫|-⌫--|--|-------|
quan ti lpa rle so ust iuement	----⌫|-⌫|--⌫--|--⌫---⌫------|
lorsesmeutlescue rsde la	---|-----|--|---⌫-|-|-|
li tr ezoymesleux fu apres	-|--⌫------|---|-|----|
oul ipuep lesfusiengr es	-|-⌫|----⌫--|-|-|----⌫-|
queildespains	--|-|--|----|
d egipt e us a	|-----⌫|--⌫|
mannedieurefus a	----|---|-----⌫|
donp artiedoupeu ple ou le u	--|-⌫----|--|---⌫--|-|--⌫|
se per illap ar a rdantfeu	-|---⌫---|-⌫-|-⌫----|--|
donuous po ezpar c esau oyr	--|---|--⌫-|--|-⌫|---⌫--|
qui delitd e charui autauoyr	--|----|-⌫|---|--⌫--|----|
et le pa in	-|-|--⌫-|
a us an gesfuira	-⌫-|--⌫--|----|
a rdentbrule zse ra	-⌫----|-----⌫|--⌫-|
masyye tdiz	--|-|-⌫|--|
hom efurent	---⌫|-----|
qui lesdonsdedieulorsr esure nt	--|--|---|-|---|---|-⌫-----⌫-|
cefup or lapriere	-|-|-⌫-|-|-----|
de m oysesledebonayre	-|-⌫----|-|--------|
aussi tfis tihesucriz	-----⌫|---⌫|--------|
encharto ut enss ico m	-|---|--⌫-|----⌫|--⌫|
e tto t eterrefu adons	-⌫|--⌫-⌫|----|-|----|
plaine etrem plie d esesdons	-----|-|---⌫---|-⌫|--|---|
merothfulileuxquator ziemes	-----|-|-|---|------⌫-----|
et saseurmeesmes	-|-|---|------|
enuersmoysesm u rmu rerent	-----|-----|-⌫-⌫---⌫-----|
commecilquiesmeh u	----|--|--|-----⌫|
donmoysessema rioit	--|-----|-|--⌫----|
qui no uelle	--|--⌫----|
fa mepre no it	--⌫-|---⌫--⌫-|
don trobléfurentdurement	--|------|-----|-------|
masaprescestmur m urement	--|----|---|---⌫-⌫------|
sur mariela lepreuin t	--|----|-|----|---⌫|
qui par yy iors ent i e rs l atint	--|--|-|---|---⌫-⌫-⌫-|-⌫|---|
iu ifmurmurerent	--⌫-|----------|
surihesuquant	--|----|----|
i lesgarderent	-⌫|----------|
dessarrazinsis s irliglise	--|--------|--⌫-⌫-||-----|
le presureuxasise	--⌫--|--|--|----|
ceuest lalepredoup echie	--|--|-|----|--|-⌫----|
dequ oyilsontt uit entechié	-|--⌫-|-|---|-⌫--|--------|
nenulle rien s	-|----|----⌫|
q uequ elondie	-⌫-|--⌫|--|--|
negarra detelmaladi e	-|----|-|--|------⌫|
iu qu a la	--⌫-||-|
finqueilc reront	--|--|-|-⌫-----|
adonquesmondeseront	-------|----|-----|
lipueplesare tma	-|------||--⌫--|
cis leuxl a place	--|---|-⌫|----|
quinzoyme a	--------||
cis mo zafigurerseste nt	--|--⌫||------||----⌫-|
genieureh ar br e	-------|-⌫--⌫--⌫|
ou sonement	-|-------|
aucunesgentfontentendent	------|---|---|--------|
q ue qui prent	-⌫-|--|----|
lecharbon ardent	-|------|-----|
dou boys quiestnomezgenieure	--|---|--|--|----|-------|
etdes o zlacend r e le	-|---⌫-⌫|-|----⌫-⌫|-|
queiu qua lanfeuxydur ra	--|--⌫-|||-|---||---⌫-|
neiuqua lan neperira	-|---|||-|-|-----|
etcenousapr ent	-|-|---|---⌫--|
quedelamordedieue s preigne	--|-||---|-|---|-⌫-⌫------|
chascunssoncourbienfermement	-------|--|---|---|--------|
etqu il saime	-|-|-|----|
acli ersonemen t	|---⌫-|-------⌫|
bonesparol leset benign es	----|-----⌫--|-|------⌫-|
etsain c tese t	-|----⌫-⌫--|-⌫|
douces e t d ignes	-----|-⌫|-⌫----|
p lusorschoses encetui pa s	-⌫-----|-----|-|----|--⌫|
mesteutco nter qu i	|-----|--⌫---|--⌫|
nesontpa s	-|---|--⌫|
enlourpropre s leus bie n asise s	-|---|------⌫|---|---⌫|-----⌫|
comeldeussent mises	--|-|-------|----|
douzeho me furenten later re	----|--⌫-|-----|-|-|---⌫-|
saincteenuoyétotpore nq uerr e	------|------|--|--|-⌫--⌫----⌫|
porencerchiere tpor sa uoyr	--|---------|-⌫|--|--⌫---|
ques bo ntezelpeustauoyr	---|--⌫---|-|----|----|
m as i cilyy espoenter ent	-⌫-|-⌫--|-|---------⌫--|
le pue plequant i lretornerent	-|---⌫--|----|-⌫|----------|
po rcequeencommu n disaint	--⌫|-|--|-|-----⌫|------|
que liborion a u bo is	--|-|-----|-⌫|--⌫-|
et quela er ai nt li	-|--|-|--⌫--⌫-|-|
quima leraint et fortet	--|--⌫|-----|-|---|-|
porbor ion quiau	--|---⌫--|--|-|
boisdoitpen dre	---|---|---⌫--|
deuonlacharihesucri tpr endre	----|-|---|--------⌫|--⌫----|
lacr oizfuc lofic h ee	-|--⌫--|-|-⌫-----⌫-⌫-|
agrantdolora	|----|----||
g rantac hee	-⌫---|--⌫--|
toz li p e u pleslors murmu roit	--|-|-⌫-⌫-⌫---|---|-----⌫---|
qu ilaguerrea usgehenscremoit	--⌫|-|-----|-⌫-|-----|------|
pens oitqu eauoirnepeust	----⌫--|--⌫|----|-|----|
porchosequesauoyrpeust	--|----|--|-----|----|
forceencont resigrantgent	----|------⌫-|-|----|---|
c omile stient li ge hent	-⌫-|-|-⌫-----|-|--⌫---|
l orsabataillenon dehue	-⌫--||-------|--|----|
contrecananeeesm ehue	-----|------|---⌫---|
ne uolloitpas	-|------|--|
cete bataillei gne llepas	---|-------|-⌫---⌫-----|
fuuain cuzet si fusoz mi s	-|----⌫--|-|-|-|---⌫--⌫|
et sogiez ases anemis	-|-----||--|-----|
que deslorsen sa	--|--|---|-|-|
lipeuples fereen commen sa	-|------|---|--⌫------⌫-|
s acrificies quil	-⌫---------|-|-|
etqu eonquesmesf aizn auoit	-|--⌫|-----|--|-⌫--||----|
les sabbaz quediex commenda	--|-----|--|---|-------|
necoistiuaneneg a rda	-|-------|-|-|-⌫-⌫--|
quicuillirentl ebois	--|---------|-⌫|---|
furentlapidéd emenois	-----|------|-⌫------|
a byrondatan e t	-⌫----|----|-⌫|
furen tde terre deuo ré	-----⌫|-|----|----⌫--|
asorbisenz null e dote	-----|---|----⌫|---|
a uecqueslor mesnie	-⌫------|--|-----|
aaronq uiauesquesyer e	----|-⌫-|-------|---⌫|
fistsacrifi ceauecpriere	---|-------⌫-|---|-----|
etsisemistceme stauis	-|-|-|---|-||-⌫-|---|
ou milleu des	-|-----|--|
mors etde suis	---|-|--⌫|--|
s iap ayadieusicomi	-⌫|--⌫--|---|-|--||
