qui mul tdolenz en	--|---⌫|-----|-|
chatiausetdesuiles	-------|-|--|----|
uin r ent encontre	---⌫-⌫--|-------|
silomistre nt	-|-|------⌫-|
enlabaiequilauoit	-||----|-|-|----|
tot a u si entier com	--|-⌫-⌫-|-----|--|
encore enui eatotesahaire etbi en	-----|-|--⌫||---|-|----|-|--⌫-|
sachiez quil	------|-|-|
ausi tres docement	---|---|-------|
comsilfust	--||-|---|
oinzdeprecieus oignemen tet	---|-|-------|--------⌫|-|
ce neu o s	-|-|-⌫-⌫|
d oigemiet aire	-⌫-|-|--|-⌫---|
cemesemble	-|-|-----|
quecosta nc e	--|-----⌫--⌫|
l a sainte	-⌫|-----|
tantostcom e leloidire	------|--|-⌫-||-|---|
corssaintestoit p ortez	---|----|-----|-⌫----|
pal e sti neq uar eleauoitsigr a nt	---⌫-⌫---⌫-|-⌫--|--|----|-|--⌫-⌫-|
que leueil loitmult	-|-⌫-|----⌫---|---|
s ouent a sasepultureeti usqueahui	-⌫----||-|--------|-|-⌫----||--|
cestior ailgran t	---|--||-|----⌫|
entreceus de chipreetceus d e	----|---|-|-----|-|---|-⌫|
pal estineporsaintyl ari e	---⌫-----|--|----|--⌫---⌫|
de palestine	-|--------|
dientquesescors	----|--|--|---|
est enlorcontree	--|-|--|------|
dechip red ientqu esesesperiz	-|----⌫-|-⌫---|--⌫|--|------|
estenlorterrequar ilama	--|-|--|----|---|-|--|
pluschy preque palestinesicom	---|---⌫--|--|--------|-|--|
mostrabi enlo parantet	-----|--⌫-|-|-----|-|
nonporquanten cor en tencentet il	----------|--⌫--|-|------|-|-|
estriuententre elxente	--------|----|--|-|-|
maniermai nt belmiracle etplusor	-----|---⌫-|--|------|-|-----|
sin eauien nent chacun	---⌫|-----⌫---|-----|
en luneet e n lautr e	-||--|-|-⌫||----⌫|
parti epor	-----⌫|--|
sainthome etplusenn	----|---|-|---|--|
auie nentenchypre l a ou ilfu	----⌫---|-|-----|-⌫|-|-|-|
premiersenseue liz	-------|------⌫--|
quari lamapluscelleu siconmoi	---|-⌫|--|---|--|--|-|--|--|
semble ainsi trespassa	-----|----|--------|
lis ainz homdecetem orteluieetfu	-|-⌫---|--|-|---|-⌫----|--|-|-|
en ioiepe rmenable ou deus	-|---|--⌫-------|-|---|
n os t ozparue nirpar	-⌫-|-⌫-|-----⌫--|--|
misericorde	----------|
