cicomenceli	-|------|-|
lorsaditysaa cm oisambl edurem ent	---||--|----⌫|-⌫-|-----⌫|-----⌫--|
ce estlauoiz	-|--|-|---|
iacobielcroi ueraiement	----|-||---|---------|
abaisse toiuers moibiau sfiz ie lt ecommant	------|--|---|--|----⌫|--|-||-⌫|------|
etiacobsia baissese	-|----|||-⌫-----|-|
l ba issadoucement	|--⌫---|--------|
donta ditysaaccestodors de pimant	---||--|----||--|----|-|-----|
qui estiss udetoi toutpar	--|--|---⌫|-|--|---|--|
l e deuco mme nt	-⌫|--|--⌫---⌫-|
bi ausfiztu t	--⌫--|--|-||
re ma i ndrom	--⌫--⌫-⌫----|
otoi emportera smagrant	|--|-|-------⌫|-|----|
tres tuitteseruironticilde tamaison	----⌫---|-|--------|---|-|-|-----|
ettoutesle s	-|-----|--⌫|
li gnies quisont cienuiron	--⌫----|--|---|-|------|
cil qui te maudirasi ait male ic on	--|--|-|------|-|--|----⌫--⌫-|
etquitebe nistra s i ai t	-|--|-|--⌫-----|-⌫|--⌫|
detoz lesbie nsdo	-|--|--|---⌫-|-|
mon de soie sturi cheshom	---⌫-|----⌫|-|--⌫---|--|
d oncsentornaia cob ysaac	-⌫--||-|----|--⌫--|----|
est reme is	--|----⌫-|
liperessendormi tozes tasseurez	-|----||------|--|--⌫|-------|
plus demo ras tquilne s	---|----⌫---⌫|-|-|-||
trouéleust l aiens s esfr eresli	-----||---|-⌫----|-⌫-|--⌫---|-|
som mangieraparel lebie nli fu	--|------|------⌫-|---⌫|-|-|
plussoefque ilpotesten	---|---|--|-|--|--|-|
lac hambre	-|-⌫-----|
ilapelas omperemolt amiablement	-|----|-⌫-|---|---|----------|
lieue toisuzbiauper e maniuemaintenant	----|--|--|---|---⌫|-----|---------|
lipe r esliresp ontet lidist	-|--⌫-⌫-|-|----⌫--|-|-|---|
ha utemen t	--⌫------⌫|
et diu aquiie stu	-|---⌫|--|--⌫|-|
cilrespont piem ent	--|------|----⌫--|
ne luoloit correciernenaur oit	-||-----|--------||-|---⌫--|
nul ta l ent	--|--⌫-⌫--|
ieai fai t tonma ngier	-|-|---⌫|--|--⌫----|
trestouta ton co m mant	-------||--|--⌫-⌫---|
oiliperesforment	-|-|----|------|
sen m erui lla	|-|-⌫----⌫--|
m oltlonguesfuem	-⌫--|------|-|-|
pens esqueilmot ne	----⌫-|--|-|--|-|
etqant il potparler ahaute	-|---|-|--|-----||----|
uoi z cria	---⌫|---|
etquifu qui	-|--|-|--|
orainz am ang ierme dona	-----||-⌫---⌫--|-|---|
et i eluipar foisi	-|-⌫|--|--|--|-|
ma beneiconotque toziorzmais	-|-------|-|--|--|---|---|
as en tu queunecea	-|-|-|--|--|-||
pa rlafoique	--⌫|-|--|--|
tedo i biausfizie nen	-|--⌫|----|--|-||-|
f oibi aupereendolo rsui	-⌫-|--⌫-|---|-|----⌫|--|
biausfizdistysaac iaie sté deceuz	----|--|---|----||-|-⌫---|-----|
tes freresuintamoi	--|-----|---||--|
tozfusesc olsueluz	--|-|--|-⌫--|----|
etporce croiiebienpar lui s ui deceuz	-|--|-|---|-|---|--|--|-⌫-|-----|
parmaf oibiaus	--|-|-⌫-|----|
chiersperes cildroit non li dona	-----|----|--|----|--|-|---|
p rimesq a ntilfun ezqui	-⌫----|-⌫-⌫-|-|-|-⌫-|--|
iaco bl ap ela	----⌫||--⌫--|
ca rqant duipr imes	--⌫|---|--|--⌫---|
naistrearrieremetira	------|------|-|---|
qantd euant m oi issimolt medeshonora	---|-⌫----|-⌫-|---|---|-|--------|
souplante rescist	---------⌫--|---|
dontmenti esauquediex liremua	---|----|---|--|---|-|----|
qa ntas auolente ysraell	--⌫-||-⌫|------|-----||
ah i co mm	--⌫|--⌫||
atrai ciltraitesc il	|---|--|------|-⌫-|
par mafoibiausami s il	--|-|--|----|---⌫|-|
napas fet com	||--|--|--|
adroitanon i acobqueil es tsou plantere	|----||--|-⌫---|--|-|--⌫|---⌫-------|
qantprimesissir	---|-----|----|
ho rs do uuentremamere	--⌫-|--⌫|-----|-|---|
il m e prist pa rlepie et	-|-⌫|----|--⌫|-|--|-|
tabeneicon aq en dirastu biau	-|-------|||-|----|-|---|
foi biaus ch i ersfizie	--|----|--⌫-⌫--|--|-|
ne te sai quedir e	-|-|--|--|---⌫|
maisbiensaique tropai	---|---|--|--|---|-|
mon cuer p lain	--|---|-⌫---|
degra nt ire	-|---⌫-|--|
que medites	--|-|----|
biaus pere	----|---|
commentie por raiu iure	------|-|---⌫--|-⌫---|
netedonraic onseilnenete	-|-|-----|-⌫-----|-|-|-|
saiquedire	--|--|---|
esaufudolan zcommencaa pl orer	---|-|-----⌫|-------||--⌫---|
uers sondolero speredoceme ntr egarder	---|--|------⌫|---|------⌫-|-⌫------|
etquilores ueistlorgrant dueldemene r	-|--|----|----|--|----|---|------⌫|
et le pereetlenfant etplaindre et	-|-|---|-||-----|-|-------|-|
ian eustsidurcuer	-||---|-|--|---|
nelest e ust plorer	-||---⌫-⌫--|-----|
asompere nem e uoes e sc oute r	|--|---|-|-⌫|---|-⌫--⌫----⌫|
parfoisi fazbi ausfizmais	--|--|-|--|--⌫--|--|---|
netaiqued o nner	-||-|--|-⌫-⌫---|
fors queter re et rous ee	---|--|---⌫-|-|----⌫-|
se uoe ston	-|---⌫|--|
cor s pe ner	---⌫|--⌫--|
foibiau sch iersf izn e	--|----⌫|--⌫---|-⌫-|-⌫|
t esaiconsilli er	-⌫|--|--------⌫-|
n etr oue rnesai	-⌫|--⌫---⌫|-|--|
lartdont iete	|--|---|-|-|
puisseaidier	-----|-----|
tetrauaillene sezautre mestier	-|--------|-|--|----|------|
lar ouseese	-|-⌫----|-|
et queie rtdemonfrerene m	-|--|--⌫-|-|--|----|-||
enporra iuengier	-|-----⌫|------|
selepuis ancontrerp o rmorts e pu et iugier	-|-|---|--------|-⌫-⌫|---|-⌫|--⌫-|-----|
de mora qu npouquemorzfuysaac	--⌫---||-⌫|--|--|---|-|----|
esauquistiacob	---|----|----|
que moltlem enaca	--|---|-|-⌫----|
neuosferailo nc plaitdoupais le cha ca	-|--|----|--⌫-|----|--|---|-|---⌫-|
enfu ide n uiz lefl unciordan pas sa	-|--⌫|-|-⌫--|-|--⌫--|-----|---⌫-|
nequ ist qalas to	-|--⌫--||----⌫||
soi qantdoupais tor na	--|---|--|---|---⌫-|
tantaaléyyiorz qen zz dese rtentra	---||---|-|---||-|-|----⌫-|----|
iluecporreposerdansiacob secoucha	----|--|------|---|----|-|-----|
xm troeue une pierrequi fuetlongue	-|-----|--|-----|--|-|-|-----|
lo rss ecouch a ilue c a sonchiefl	--⌫-|-⌫|-----⌫|----⌫||--|----||
donts andormiiac obsanz	---||------|---⌫-|---|
nuledemoree	---|------|
uo itpar songeuneeschielede terreau	--⌫-|--|----|--|-------|-|----|-|
s icomdistlescritureel	-⌫|--|---||--------|-|
c iel e stoitl	-⌫--|-⌫----||
uit auale r	--|-----⌫|
les angleset puis l a	--|-----|-|---|-⌫|
dece lestial gentestoite nuironnee	-|--⌫------|---|-----|-⌫--------|
moltlisa m b l a petiteicel ereposee	---|-|--⌫-⌫-⌫-⌫|-----|----⌫|------|
dont sesuilla iacob qant	---||------|----|---|
assezotdormi	----|-|----|
regardadarr ierso i zzangleiac hoisit	------|----⌫--|--⌫|-|----|-|-⌫-----|
prist lo uentr e se sbr aztantostcomil	----|--⌫|----⌫|--⌫|--⌫-|------|--|-|
ad ontparlaliangleet	--⌫--|----|-|----|-|
lai moitost	--|--|---|
por qoima s	--|--||-⌫|
noufe raiparma	|-|--⌫--|--|-|
foiiacob li	--|----|-|
r es pondit	-⌫--⌫-----|
x mlaimoi ester par mafoi	-⌫|--|--|----|--|-|--|
de tabe neicon au antsai siz	-|-|--⌫-----|--⌫--|---⌫--|
iacobceditl ianglesi ete correc erai	----|-|--|-⌫|-----|-⌫|-|------⌫---|
t emehaingnerai	-⌫|-----------|
parlafoi q ue	--|-|--|-⌫-|
te doiporc enete	-|--|--|-⌫|-|-|
deuant quedetabouch e ben eic o n aurai	------⌫--|-|-|-----⌫|---⌫---⌫-⌫|----|
naurezfuenlacuisse	-----|-|-|-|-----|
etillor sle lessa	-|-|---⌫|-|----|
qants e se nt me haingniez adonc al uiparla	---|-⌫|--⌫-|--⌫--------|----||-⌫-|----|
aies de mo i	---|-|--⌫|
merciiacob lors dit li a	----|----|---|--|-||
do nc lichaias piezenapre slaora	--⌫-|-|---|-|---|------⌫||---|
beneietatantle	----|-|----|-|
da nziac ob	--⌫-|---⌫-|
osabeneicon	|-|-------|
son oncl euaq ue ranticil	--|----⌫|-|-⌫--⌫---|---|
sain tismesho m	----⌫-----|--⌫|
en a ranest	-|-⌫--|--|
antr e ze nune reg ion	----⌫-⌫|-⌫|--|---⌫--|
sononcleademandétrouél a enmaison	--|----||-------|-----|||-|-----|
moltbel le salua selnom ma	---|--|-|----|-||---⌫-|
laban iesu i tesnies iacobm apelelon	----|-|--⌫|--|---|----||----|--|
ets ui fiztaseror	-|-⌫-|--|-|----|
biausniesbienlesauom	----|---|---|-|----|
commentlefaittespe res	------|-|---|--|--⌫--|
ile stmor zliprodom	-|-⌫-|---⌫|-|-----|
mesfre res esau macha cié dou	--|---⌫--|---|||---⌫---|--|
celir espont labanie lcroi bienbiausamis	-|-|-⌫-----|----|-||---|---|----|---|
porlabeneiconquetualuitolis	--|-|-------|--|-||--|----|
etceme fist	-|-|-|---|
m amere parfoi tu meff eis	-⌫|---|--|--|-|----⌫--|
nies ieteret endraigarderasmes	---|-|-|---⌫-----|-------|--|
ge l feraiuolentierspar	-||----|---------|--|
foi nona an uiz	--|--||--⌫--|
ie t edonraisoldees	-|-⌫|-----|------|
bonesieltepleuis	----|-||-|-----|
a yyanz f u l itermesco stumeert	|-|--|-⌫|-⌫|-----|--⌫----|--|
ce lirespontia cobbiau	-|-|------|--⌫--|---|
sireuolan tie rs	---|-----⌫---⌫-|
ser ui raipa rmafo i toza ntiers	---⌫--⌫--|--⌫|-|--⌫|--|-⌫-----|
qant seron tacompliq ue	---|-----⌫|------|-⌫-|
prestsoitmes lo iers	----|---|--|--⌫---|
ni faudraspasau terme ne	||------|--|-|----|-|
temen ti r ainies	-|---⌫--⌫-⌫-|---|
celenuitestia cob	---|---|--|--⌫--|
osononcle herberg iez	|--|----|-------⌫--|
l o ndemaines	|-⌫------|-|
m ontaingnes al aoles bergiers	-⌫---------|--⌫||--|-------|
ilnestpasesgarezaq uidiexuoet	-||--|--|------||-⌫-|---|---|
dedanz yy anz lauoi rs moltepliez	-----|-|--||----⌫-|---------|
onqu esl aba nse so nc les nelpot	----⌫-|-⌫---⌫|--⌫|-⌫--⌫--|-||--|
de r ien blamer	-|-⌫--|-----|
aluiseuint iacobcom	|--|-|---|----|--|
cortois bach eler	------|----⌫---|
si lidistles y yanz	-|-|---|--|-⌫|--|
laissiezp asser	-------|-⌫----|
queo nquesm onseruisenet e uolsd emander	--|-⌫----|-⌫-|------|-|-⌫|---|-⌫------|
se t afi llebiausonclesme	-|-⌫|--⌫--|----|-----|-|
uoloiesdoner	------|----|
rachelquei etantaimu iexl a	-----|--|-⌫|---|--|-⌫--|-⌫|
maislianm a u trefille se	---|---||-⌫-⌫--|----|-|
leuoescre anter	-|---|---⌫----|
qui est ainz n eenenquieroirparler	--|--|---|-⌫-||-|----|--|-----|
e ttu aiesra chelennuit aureposer	-⌫|-|---|--⌫---|-----|-|------|
tu laurasa espo us e bienleu oilcrea nter	-||----||----⌫--⌫|---|-|-⌫--|----⌫---|
mangie ́iacobsises t	------⌫|----|-||--⌫|
al ezcouchier	--⌫-|-------|
ets es o ncles laban qantuintalanu itie r	-|-⌫-|-⌫----|----|---|---|||---⌫----⌫|
signorpartrai sonl ichaniasamo illier	-----|--|----⌫--|-⌫|-----|-|--⌫-----|
ly amlialiu reezzmo l tlaitaue rsier	--⌫-|-||---⌫--|-|--⌫-⌫|---|---⌫----|
i ceestoitl ainzn ee	-⌫-|-----||-----⌫-|
lennese p ue t	--|-|-|-⌫--⌫|
denuletrai sonuers home coma	-|---|----⌫--|---|---||-||
de latresl aideliene	-|-|---|-⌫---|--|-|
pl u sp laidier	--⌫-⌫|-⌫------|
certesel ees t plusl aideconnepo rr oit	-----|--⌫|--⌫|---|-⌫---||-|-|--⌫--⌫--|
uos auezbien oi q	--|---|---|-||
auo eclisecoucha	---⌫-|-|-|-----|
sa chie zque ce lenuitd eri ensne l espargna	--⌫----⌫|--|--⌫-|---|-⌫|--⌫--|-||-------|
maisqantu int au matinque	---|---|-⌫--|-|----|--|
illarega rda	-|-|----⌫--|
lorsuossi stestre	---|-----⌫-|----|
morzdureme nts	---|------⌫-||
tr aistsoiensuz	--⌫---|--|----|
et si li de manda	-|-|-|--⌫----|
quit amena	--||----|
icilabanm ianuoia	--|----|||-----|
derachelce le	-|-----|--⌫-|
pardeuil m atraiet	--|--|-|||---|-|
grantpechie	----|-----|
ce dit iacob sisestdou	-|--|----|-||--|--|
adan tlaba nsononcle	|---⌫|----⌫|--|----|
est lidolanz	--|-|-----|
sesoncleslidemande biausnies	--|-----|-|------|----|---|
etq ueau ez	-|-⌫-|--⌫-|
ienoi mierachelchan giela mauez	-||-|--|-----|----⌫--|-||---|
neuos esm aiezmiesachi e zqu e	-|--|---⌫---|--|-----⌫-⌫|--⌫|
mais uoireme nt yy anzancorme	---|-------⌫-|-|--|----|-|
qa n tseront	--⌫-⌫|-----|
acompli auoec	------|----|
en me nrez	-|--⌫---|
etlyam mautre filledemantresmaintendrez	-|---||----|----|--------|----------|
niaqueaconter dont i remesty y	|||--|------|---||-----|-⌫|
delyamcele laidesiangendra	-|---|---|----|-|-------|
plusorsen engendradepetize tde granz	------|-|-------|-|----|-⌫|-|----|
iluoet s es couenanz	-|---|-⌫-|-------|
rachell i a	-----|-⌫||
otse sanfa nz	-|--⌫|----⌫-|
etil la espou see	-|-|||-----⌫--|
nocese n fis tmo lt granz	----|-⌫|---⌫|--⌫-|----|
etbien uoet	-|---|---|
quesenaille	--||-|----|
sesbon s oncleslab ans	--|---⌫|-----|---⌫--|
ad itlabanb iau niestut	|-⌫-|----|-⌫--|---|-||
rachel m a belefilleauoectoien	-----|-⌫|---|----|----|--|-|
l yamnese senfan zi cipas neleras	-⌫--|-|--⌫|-----⌫|-⌫-|--|-|----|
partiraim o na uo i rla moitie e n	-------|-⌫-⌫|-⌫--⌫-⌫|-|-----|-⌫|
mono retmonar g entparmilepa r tiras	--|-⌫|-|--|--⌫-⌫--|----|-|--⌫-⌫----|
touta ta uolenteia ne m en	---||-|------|-|-||-|
b lamer as	-⌫-----⌫-|
ie lotroi distiaco b t outis si	-||----|---|----⌫|-⌫--|--⌫-|
co mditlas	--⌫|--||-|
nedemoragrantmen tcilauoirsfu par tiz	-|-----|--------⌫|--|-----|-|---⌫--|
che uaxchamaxetpors etuachesetbrebiz	---⌫--|-----|-|---|-|-----|-|-----|
laban auoit zzdeutout d	----|----|-|--|---||
orqui esto it	-|--|----⌫-|
aamblez si lesa	|-----|-|--||
en sa ufmis	-|--⌫-|--|
puis d em and entcongieetsenuontdop ai s	---|-⌫--⌫---⌫--|-----|-||-|---|-|-⌫--⌫|
dede uantmetiacobsesfemeset ses f iz	-|--⌫---|--|----|--|----|-|--|-⌫-|
ettrest o ut	-|-----⌫-⌫-|
celauoir quilot	--|----|-|-|-|
iluecco nqui s	----|--⌫----⌫|
de laterredaraniac ob s enesttorne z	-|-|----||---|---⌫-||-|--|-----⌫|
labanaquis ses diexq u	----||---|--|---|-⌫|
sachiezmol t	------|---⌫|
fudol anz qan t	-|---⌫--|---⌫|
i l nes p ot trouer	-⌫||-|-⌫-|-----|
as a femeest	|-⌫|---|--|
uenuzp orsesdiexdemander	----|-⌫-|--|---|-------|
e tcelelirespont	-⌫|---|-|------|
ia lesa faizambler	-|--||---|-----|
iacobquiles empor te	----|--|--|-----⌫-|
par laf oiquedo i dieu nem puet	--|-|-⌫-|--|--⌫|---||-|---|
uis escha per	--|-----⌫--|
i ladita ses	-⌫||--||--|
homesquimolte nsontdolant	----|--|---|-⌫|---|-----|
ia cobenuacomlerres	--⌫--|-|-|--|-----|
enuaportant	-|-|------|
ilmafaitmoltgran th onte bien	-|||---|---|----⌫|-⌫---|---|
estap arissant	--|--⌫-------|
alonst ostapreslui	----|-⌫--|----|--|
quilnes enuoistgabant	-|-|-||-|----|-----|
icilqenierts aisi znenaura ia garan t	---||-|---|-⌫----⌫||-|---|-|-----⌫|
latestenensoitprise	-|----||-|---|----|
touti ssilecommant	---|-⌫--|-|------|
fe rai loncceausu ontaconsua nt	--⌫--|---|----|-⌫--|-------⌫-|
i acobgard earrierl uiuitsononcle	-⌫---|----⌫|-----|-⌫-|--|--|----|
qant ilpresaproc ha siuosts on niersferir	---|-|---|-----⌫-|-|---|-⌫-|----|----|
ansuzdeluile	----|-|--|-|
bouteparmeruil l osair	----|--|------⌫-⌫-|--|
p arfoicedist la bam iacoba u	-⌫-|--|-|---|--⌫--|----|-⌫|
nedeussiezmesdiex ne ambler netolir	-|-------|--|---|-|-----|-|----|
carpo rausaorerquidoieiegar ir	--|--⌫|--|----|------|-|---⌫-|
setostne lesrend ez pres	-|---|-|--|----⌫-|---|
e s tesdem orir	-⌫-⌫--|-|-⌫---|
onclesc e d ist i acob enten	-----|-⌫|-⌫--|-⌫---|----|
ietai m olt bel	-||-|-⌫--|--|
seruim aintioren	----|-⌫---|--|-|
ta ma i son	-|--⌫-⌫--|
ta f i lle	-|-⌫-⌫--|
auoirqenmenom	----||-|----|
pritoi n el	--|--|-⌫||
m etolirpar	-⌫|----|--|
maluaise raison	-------|-----|
tesdiexque	--|---|--|
me dema ndesce rtespasnesauom	-|----⌫---|--⌫---|--||-|---|
se tus ornos	-|-|-⌫-|--|
lestroeuesmoltbie nletotriom	--|------|---|---⌫|-||-----|
quecilperde	--|--|----|
s anznuleraancon	-⌫--|---|------|
rache l quiotlesdiexlesami sdesso z	-----⌫|--|-|--|---|--||--⌫|-----⌫|
rache l et sesdiexe t saloi	-----⌫|-|--|---|-⌫|-|--|
ad itl iperesf illeieuienga	|-⌫-|-⌫|----|-⌫---|-|----||
perduz mesdie xperes nadoise	-----|--|---⌫|----||-----|
iesuigross e	-|--|-----⌫|
cestdanfantparma foi	|--||-----|--|-|--|
tastesoefm esfl an sma fillebien	----|---|-⌫-|--⌫--⌫|-|----|---|
cinanu lde mesdiex	-|||--⌫|-|--|---|
ne iepa snes i	-|-|--⌫||-||
labani cilprod omest arrie r ret ornez	----|-⌫--|----⌫-|--|-----⌫|---⌫----|
i ac obosa	-⌫--⌫-||-|
m ais n ieenestauanta lez	-⌫---⌫-⌫-|-|--|----|-⌫--|
de son frerea	-|--|----||
nesoitancontrez	-|---|--------|
esauq antle	---|-⌫--|-|
fu grieset irez	-|----|-|---|
lesh omes de saterreatoza soi mandez	--|-⌫---|-|-|----||--||--|-----|
illo r adittan tostsigno r omoiuenez	-|--⌫||--|---⌫---|-----⌫||--|----|
etdeia cob	-|-|--⌫--|
mon fre retantost me uen ger ez	--|---⌫-|------|-|---⌫---⌫-|
qant oide sonfrereiacobq u ildut	---|-|-|--|----|----|-⌫|-|--|
moltparotgrant	---|--|-|----|
po orneuos enqui er mentir	--⌫-|-|--|-|---⌫-|-----|
enquelt erreil sem	-|---|-⌫---|-||-|
puissefoir	-----|---|
etbiense tqueses frer esest demoltgrant	-|---|--⌫|--|--|----⌫-|--|-|---|----|
dont fistuneorison	---|---|--|-----|
comiapor rezoir	--|-|---⌫--|--|
a ided i exbiausperesq uitotlemontcria s	-⌫--|-⌫-⌫-|----|----|-⌫-|--|-|---|----⌫|
quiadamnostrepere atymage form as	--|---|-----|---|||----|----⌫-|
et deluifeiseueafeme	-|-|--|---|--||---|
fruit ot em paradiset tul icomm e ndas	----|-|-|------|-|-|-⌫|----⌫-⌫---|
q uiln enmaniassentmienel tenissent	-⌫|-||-|---------|--|-||--------|
tesc omma nz d e pecerentettules	--|-⌫----⌫-|-⌫-⌫-------|-|-|--|
et noelnostre peredoudelugesauuas	-|---|-----|---|--|-----|-----|
g arismoide	-⌫---|--|-|
mon frerepar l a uert uqueas	--|----|--|-⌫|----⌫|--|-|
sire ie saietcr oi q uetu	---|-|--|-|--⌫-|-⌫-|-|
bien lepues faire	---|-|---|----|
tuse zque esaumesfrere estdemalaire	-|--⌫|--|---|--|----|--|-|--|---|
parleconseil	--|-|------|
quene menpoi	--|-||-|--|
ois abeneiconmolt	-|-⌫|-------|---|
lifi sgrant	-|--⌫|----|
contr aire	-----⌫---|
oyytorb esde gen zs ire nesai que	|-|----⌫-|-|---⌫|-⌫--|-|--|--|
pas sai leflu nciordanapr esla mortmon	---⌫--|-|---⌫-|-----|---⌫-|-|---|--|
o unpetitbaston me sui misel	|-|----|-----|-|--|--|-|
s eiena ito n co nseilne mesai	-⌫|-||-⌫|--⌫|--⌫----|-|-|--|
quelparttr aire	---|---|--⌫---|
donnemoi bonco ns eil	----|--|--|--⌫--⌫--|
quebonlesez donner	--|--|-|--|-----|
cui tu uoes consi l lierilnelestuet	--|-|---|-----⌫-⌫---|-|-||-----|
mes freresuien t sime uo ldra	--|-----|----⌫|-|-|--⌫---|
ie ferai cestauoirtout deua ntmoi	-|----|---|----|---|----⌫-|--|
silleu oetdetranchiere t	|-|-|-⌫--|----------|-⌫|
trest outdeco ler	-----⌫--|----⌫--|
a inzq u il laittout ocisseporramolt	-⌫----⌫|-||--|---|---|-|----|---|
