multay usécum pechere	---|-|---|--|------|
ki lore reco iltesuppren t	-||--|----⌫--||-------⌫|
k antlaniefaueientapre sté	-⌫--|-|---|------|----⌫---|
adampn edie uluntcomandé	|-----⌫----⌫||--|-------|
pus a ttur nere ntel batel	--|-⌫----⌫----⌫-|-|----|
licha mberleng ald amisel	-|---⌫-------|-|-⌫-----|
un richel i t denoble	-|----|-⌫-⌫|-|----|
ou ilalientlursegnour	-|-|-----|--|------|
les chiualerskienlanief sunt	--|--------|-|-|-|---|---|
kigardentlur segnur edmund	-|------|--|-----|-----|
enl e ba telsunt entréo f li	-|-⌫|--⌫--|---|-----|-⌫|-|
sip arole ntpurl en nui	-|-⌫-----⌫-|--||--⌫--|
asesch esse	-|----⌫---|
geuwenteatabl es	------|||----⌫-|
dientrespizecuntent	----|-----||------|
meis kikente ndeal enuei ser	---|-||----⌫--|-|-----⌫--|
liberententa sonsau ter	-|--|-----||--|---⌫--|
keense ssoyneaueitcomencé	-|-|--⌫-----|----|-------|
duntapris aueitlameyte	---|----|----|-|----|
grantdedut	----|----|
sifeseienttutelanut	-|-------|---|-|--|
lez lacosteed es ess oyn ne	--|-|-----|-⌫|-⌫---⌫---⌫-|
ke lani efguairesne sesbaine	-|-|--⌫-|------|-||------|
iesqu aldemain	----|-|-----|
a l e in ziurnee	-⌫|-⌫--⌫|-----|
kel albedeliourfuescreuee	-||---|--|---|-|-------|
supl euent	----⌫|---|
unt merpleinee bele	--|--|-----||---|
lanief ne crolen e	-|---|-|----|-⌫|
asm arinalsenpeisefor t	-|-⌫------|-|----|---⌫|
nunt uentkiplust ost	|--|---|-|---|-⌫--|
iourun t ta ntsiglé	---|--⌫|--⌫-|-----|
elan uteacel este le	|-|-⌫--||--|----⌫-|
l altierziourun tfri seueue	|-|----|---|--⌫|---⌫-|---|
delo inzcumc eo futuneneue	-|--⌫--|--|-⌫-|--|--|---|
iesqu alquarti ourdunu ent	----|-|----|-⌫--||-|-⌫--|
siglentlaco steredefrise	------|-|--⌫----|-|----|
tan tquilac osten t h outlande	---⌫|-|-|--⌫-----⌫|-⌫-------|
unecontreelarge egrande	--|------|----||-----|
le quintiou rde	-|----|---⌫|-|
houtlandeueien ent	--------|-----⌫--|
lesgr anzfal ei seski blancheien t	--|--⌫--|---⌫--⌫--|-|----------⌫|
lesis me io ur unecont r ee	-|---⌫-|--⌫-|--|----⌫-⌫-|
ac os tientqueest	--⌫--⌫----|--|--|
gra ndee l ee	---⌫--||-⌫-|
selandela apelentlagent	------|-|------|-|---|
alhonurd e f landres	-|----|-⌫|-⌫------|
dunc lu rsurtun uentde uerstere	---|--⌫|---|-|---|-|---|---|
silesfeseitdamage e guere	-|--|-----|-----||----|
kartant fur ent loinzenlamer	--|---|---⌫--|----|-|-|--|
kil neporen t	|-|-|-----⌫|
a por taler	|---⌫|---|
lam esne een estmalb ailie	-|-⌫----⌫|-|--|----⌫----|
kardo uceew e	--|--⌫--|--⌫|
lur ertfailie	--|--|-----|
multe nsufrirent granthachie	---|-⌫|--------|----|-----|
les esquierselamesnee	--|-------||-|-----|
desde usniefeske uin drentd eri ere	--|--⌫-|-----|-|---⌫----|-⌫---⌫--|
kie nsewirentl aprimiere	-|-⌫--------|-⌫|-------|
lenfantoyla noue le	|-----|-|-|----⌫-|
edm undsachezne lifube le	---⌫--|-----|-|-|-|--⌫-|
s ursespe ize ne stant se st	-⌫-|--|--⌫-|-⌫|-⌫----||-⌫-|
uersorientturnasun u ys	---|-----|----|--|-⌫-|
dieu reclamade uoutement	---|------|--⌫--------|
k il ait pitede	|-|--|---|-|
a genu i llunss	|----⌫-⌫----||
edampnedieu ad rec la mé	|---------|-|---⌫--⌫--|
tel orel urtrame tte	--|--|-⌫-|-----⌫--|
ki a sauueporte lesmette	-||----|----|--|----|
primereuertu	------|----|
kedamp nedie ufi tpurs ondru	-|----⌫-----⌫|--⌫|--|-⌫-|--|
seint e dmu nd s icumiloura	----|-⌫---⌫-|-⌫---|-|---|
ede fin q uerdieureclam a	|-|--|-⌫--|---|------⌫|
il ne aue itmyepar ou ré	-|-|---⌫-|--|--|--⌫--|
k il n untue ntauolente	|-||--|--⌫-||------|
un uentsurstde ue rs	-|---|----|-|--⌫-|
b ienaspre	-⌫--|----|
ki lesacoilli	-|--|------|
la ueilee enlur	-|----||-|--|
fiertsi enpeintauan t lanief	----|-|------|----⌫|-|---|
lesmarinersen	--|-------|-|
suntmult liee	---|---|---|
lurlofuntenzmulttostlanc i é	--|--|--|--|---|---|----⌫-⌫-|
ealaschent lurboelins	|--------|--|------|
eestre inentlur holgur dins	|-----⌫----|--|------⌫---|
aspr eest leuentli	----⌫|--|-|---|-|
u n cne les couintha neker	-⌫-⌫|-|--|-----|--⌫----|
bonuent aueiente bienportant	--|---|------||---|------|
tut lei oursigle ntatala nt	--|-|-⌫--|-----⌫-||----⌫-|
etutelanutea l	|---|-|---|-⌫|
de squ e ila i our nalendemain	--⌫---⌫|-|-⌫-⌫---⌫-||-------|
sitindr enta la haltemer	-|-----⌫--||-|----|--|
lesoleillie ue	-|-----|---⌫-|
bels estleiourli tensseriz	---|--|-|---|-|---|----|
leuentde su	-|---|-|-|
lur estfailliz	--|--|------|
kilneporent alerauant	|-|-|-----|---|----|
en halt mer	-|---|--|
eka ntuynt	|--⌫-|---|
e ntreti r ce	-⌫---|--⌫-⌫-|
kele soleilabatela rime	-|-|-----|----|-|---|
dun clur su rstdeue rs orient	---⌫|--|--⌫--|----⌫-|-----|
undulce ore	-|----|--|
unsup le uent	-|---⌫-|---|
suntlonges tenu	---|-----|---|
iluntchoisi e ueu	-|--|-----||--|
euire nt cle reme nt la	|----⌫-|---⌫----⌫-|-|
desgranzfale isesdeuerslen	--|----|----⌫---|-----|--|
celepa rtesiglent	---|--⌫--|------|
tantcumlaniefaler	---|--|-|---|---|
ta ntu ntsigl é tantuntuagé	--⌫-|-⌫-|----⌫-|---|--|----|
ke alatere su nt	-||-|---|--⌫-|
pusunt hors	--|--|---|
lan cé lurbat el	---⌫--|--|---⌫-|
at ere mistr entledancel	|-⌫--|-----⌫--|-|-----|
edmundlu rnatur elsegnu r	-----|--⌫|-----⌫-|-----⌫|
p a rla gra c e	-⌫-⌫|-|---⌫-⌫|
delcreatu r	--|------⌫|
claymeenla prophecie	-----|-|-|--------|
sic umnusmustre	---⌫-|--|-----|
lac lergie	-|-⌫-----|
oy sel uo lantdel	--⌫--|--⌫---|-||
hommea s on tale nt	----||-⌫-|----⌫-|
les n ef estutes treis ariuees	--|-⌫--⌫-|----|----|------|
tereenancrees	---|--------|
ameruei leaateebele	|------⌫-|---||---|
k iacel tens	-⌫||--|---|
esteit clamé	-----|-----|
maydensbour ne en engleis	-----------⌫-|-|------|
e chambre aspucelesen	|------|-|------|-|
ela uilede	|-|---|-|
enengleis hunestan estun	-|------|--------⌫----|
e enfrance isest	|-|------⌫-|--|
piere mele e	----|----⌫|
quantseintedmundfuu enuz	----|----|-----|-|-⌫---|
atereehor sdelnie fei ssuz	|---||---⌫|--|---⌫|--⌫---|
en unep lan es ceacc ept able	-|--|-⌫---⌫--⌫-|---⌫---⌫---|
ebeleeue r te e d elita ble	|---||--⌫-⌫-||-⌫-----⌫--|
d eliezla mereno r ei suns	-⌫----|-|--|-|-⌫-⌫--⌫---|
chey li bera	---|-|--||
g enui lluns	-⌫----⌫----|
epreiadieupitu sement	|----|---|----⌫-----|
purlep ais e purlagent	--|-|-⌫--||--|-|---|
lamu strad ie u	-|--⌫---|-⌫--⌫|
quilaueit cher e	-|-|----|----⌫|
oreis unesaprier e	-----⌫-||-|-----⌫|
k arla uertudesa	-⌫-|-|----|-|-|
mustrele pa is	-----|-|--⌫-|
k ahunsta nestunapent	||------⌫-----|----|
ceose iue ntbi en tutlagent	--|--⌫---⌫-|--⌫-|--|-|---|
t ereest plus gaynable	-⌫--|--|---|-------|
biensplus fusunable	----|---|--------|
enest eg ettemeldres	-|--||-⌫---|------|
kenule aut ret eredeleez	-|---|---⌫-|-⌫--|-----|
ka ntseintedmundoutouré	--⌫-|----|-----|--|----|
edamp nedieu outrecl a me ́	|----⌫-----|--|----⌫-⌫--⌫|
sesh omm es liamein entdeuan t	--|-⌫---⌫-|-|-----⌫--|-----⌫|
un p alefrei suei f amblant	-|-⌫------|----⌫|------|
sicumli bermunterdeue it	-|--|-|--|-----|----⌫-|
u erso ccident gardeeue it	-⌫--|-⌫------|----||--⌫-|
ho rs de l a	--⌫-|-|-⌫|
teresaillir	---|------|
dulcefunt ein es par air	----|----⌫---⌫-|--|--|
curs odcl eregrauele	---|-|--⌫--|------|
nu lnepoeitchoi sir lapl u sbele	--⌫|-|----|----⌫--|-|--⌫-⌫|---|
cun trecurentuers	---⌫--|-----|---|
semb lantfunt deliwelcomer	----⌫---|---|-|-|-------|
del liuduntlesrusselssuntsur s	--|--|---|--|------|---|---⌫|
ies quenla salsefuntlurcur s	---⌫-|-|-|----|---|--|---⌫|
e isneleme ntse destendent	|--------⌫-|-|---------|
oddu zmurmuree nme r	-|--⌫|------|-⌫|--⌫|
descendent	---------|
mul t pars untb ones lesfuntaynes	---⌫|--|-⌫--|-⌫---|--|--------|
purbeyurena dsuzc iel si	--|-----||-⌫|--|-⌫--|-|
e meint h omme	|----|-⌫---|
ie sqaces tiour	--⌫-||---⌫|---|
engaristde meintdolur	-|-----|-|----|----|
de m eint grantenfermete	-|-⌫---|----|--------|
en untplusur s eus ante	-|--|------⌫|-|-⌫---|
berfuco roné	--|-|--⌫----|
e il fu fetrey sdelr egne	|-|-|--|---⌫|--|-⌫---|
out chiersilamatant	--|----|-||--|---|
kilfis tfeirema intement	|-|---⌫|----|--⌫-------|
unesa lericheerea l	--|--⌫-|----||---⌫|
grante noblee	----||----||
multri chec hape le	---|--⌫--|-⌫----⌫-|
ha lt eeauenant ebe le	--⌫--⌫||------||--⌫-|
o ul i seintreyssoleitaour er	-⌫|-⌫|----|---|-----|----⌫-|
k a ntilsoleitsuio urner	-⌫-⌫-|-|-----|----⌫----|
epus apres	|--|----|
q ua nt il rey fu	-⌫--⌫-|-|--|-|
el e re alme aueit	|-⌫|--⌫---|----|
leliua masiout	-|--|-⌫-|-|--|
soue nti sole it repairer	----⌫-||----⌫-|-------|
mult i lsolei t	---|-⌫|-----⌫|
uenirs oue nt	----|-⌫---⌫-|
esou i urne r	|---⌫-⌫----⌫|
p riueement	-⌫--------|
le sbaruns	--⌫|-----|
kiodlenf an testeient	-|-||---⌫--⌫|-------|
ekienlurgardeaueient	|-|-|--|----|------|
le amen erent	-|----⌫----|
tutsagement	--|-------|
sanznoi se esan zseu deg ent	---|---⌫-||---⌫|--|-|-⌫--|
a une citenobleeg r ant	|--|---|----||-⌫-⌫--|
kee n celte nsertriche	-|-⌫|--|--⌫-|--|----|
edemu ltnoblerenomee	|-|--⌫-|----|------|
atleburgesteit apelee	-------|-----|-----|
la citeatlelapela	-|---|---||----|
atle lir eys	---|-|-⌫--|
ki lafunda	-|-|----|
uncore iaduile champestre	-----||-|---|---------|
a c els demortimer	|-⌫--|-|-------|
s oleite stre	-⌫----|-⌫---|
encele citemiesten fin	-|---|---|----|-|--|
edm undtutunanenterin	---⌫--|--|-|-|------|
esonsalterilparapr is t	|--|-----|-|------⌫--⌫|
parlagraceih esucrist	--|-|----|--⌫--|----|
kensessoy ne aueit comencé	|-|------⌫-|----|-------|
duntaprisaueit	---|----|----|
senapristapres	--|-----|----|
du ntsagefu	--⌫-|---|-|
atutdi smes	|--|--⌫|--|
ceolifistdieus parsa	--|-|---|----|--|-|
puis sance	----⌫----|
dulce purueance	----|--------|
regneou ten sama in	----|--⌫|-|-|--⌫-|
algouernerfupluscertain	-|-------|-|---|------|
ceoestgrant senec ur teisie	--|--|----|--||-⌫--⌫-----|
kant pr inceou r ey ententcler g ie	---|--⌫---|-|-⌫-|-----|----⌫-⌫-|
alre gnegouernerliualt	-|--⌫--|-------|-|---|
kar quantle sen desau tres falt	--|----|-|--|--|--⌫---|---|
parleclergie questaguwe	--|-|------|-|--|----|
adtostsene	-|---|--||
r eisunsuw e	-⌫----|---⌫|
kantle sautr es niu eientgoute	---|--⌫|----⌫-|||-⌫----|----|
laclergielesen i bute	-|------|-|--||---|
edmun d cum ieoaidesusdit	-----⌫|--|--|-|----|--|
suiurn eenatl eburglacizt	------⌫|-|---⌫----|-|---|
purceo le f e seient sui urn er	--|--|-|-⌫-⌫-----|---⌫---⌫-|
enatleburgede murer	-|-------||--⌫----|
le npaismenélorent	|-⌫|---|----||----|
karil soucherentbi ene	--|-|---------|--⌫-||
ke libarun	-|-|----|
plus poestifs	---|-------|
e liplus richedelpais	|-|---|----|--|---|
kant ilde lamort eoffeoyreient	---|-|-|-|----⌫|---|-------|
purlerea l meoffe	--|-|---⌫-⌫-|---|
mesuuereient	-----------|
si feseien t tutlibarun	-|-------⌫|--|-|----|
efurente ngrant	|-----|-⌫|----|
conten ciun	------⌫---|
chescun delsuole itend reitsey	------||--|----⌫-|---⌫---|--|
de la ter e estre	-|-|---⌫|----|
sir ee rey	---⌫||--|
dura un ane nter	---|-|-|-⌫---|
pu r p oinesurst granten cumbrier	--⌫|-⌫-|-|----|----|--⌫-------|
kar les teres ultremar ines	--|--|----|----|---⌫---|
paiser entueysines	---|--⌫--|-------|
kehomme clayme	-|----|-----|
collaterals	----------|
les promistrent gu e res emals	--|----------|--⌫-⌫--||---|
kil l esuendreient assaillir	|-|-⌫-|---------|--------|
sil neuolsissent obeir	|-|-|---------|----|
aelser endre	|--||-⌫----|
kantlateree	---|-|---||
lepais feu	-|---|--|
si longmentsan zchief	-|-------|---⌫|----|
lepoe p le enesten	-|---⌫-⌫-|-|--|-|
grant er ru r	----|--⌫--⌫|
engrantcriemee ngrantturment	-|----|-----|-⌫|----|------|
edo utentqueforeynegent	|--⌫----|--|------|---|
uiengent surel ss iles asa ile	-------|--|--⌫|-⌫|--|---⌫--|
elspern en t	--|----⌫--⌫|
sanz c heueteyn esanzsegnur	---|-⌫-------||---|-----|
kilesmayntingenes tu r	-|--|-------|-|--⌫--⌫|
untkilesmayntin ge	--|-|--|-------⌫-|
sicrementkeles mesauienge	-|------|-|--|---------|
cun se il untdemandé e	---⌫--⌫-|--|-------||
de tuzles sagesdelpais	-|--|--|----|--|---|
acastrefunt lur assembl e	|-----|---|--|-------⌫|
keduncert de gr ant	-|---|--|-|--⌫--|
tuz les plussages delregnee	--|--|---|----|--|-----|
elie ue squee	|-|-⌫--⌫---||
lisage cunteel ib arun	-|---|----||-⌫|-⌫---|
fure ntaceleel ectiun	----⌫-||---|--⌫-----|
entrelscunseiluntdemandé	---|--|------|--|-------|
dek i rey feruntdelregnee	-|-⌫|--|-----|--|-----|
li sene sc hallie ueen estant	-|----⌫--⌫--|---⌫-|-|-----|
ki m ultsageserteu alian t	-|-⌫--|----|--||-⌫-----⌫|
kialamort f u	-||-|---|-⌫|
offe lerey	---|-|--|
e ki edmun damen aodsey	|-|-----⌫|----⌫|-|--|
segnur s f et	------⌫|-⌫-|
iloreescutez	-|--|------|
deconseil en	-|------|-|
arey esliree segnour	|--|-----||------|
kile paisguartahonour	-|-|---|----||-----|
poepleseitacce ptable	-----|---|----⌫-----|
esageduitr eecoue na bl e	|---|-----⌫||----⌫--⌫--⌫|
acheisun n ereisun neuey	-------|-⌫|-----|-|--|
puissez e stresanzrey	------|-⌫---|---|--|
ekantr ey uusestuetauer	|---|-⌫-|--|-----|---|
erreruusest uetpars auer	----|--|---⌫--|--|-⌫---|
esliredetel choysir	-----|-|--|------|
uusp us emaint en ir	--|-⌫--⌫|-----⌫--⌫-|
e d reiteiusticegarder	|-⌫---||------|-----|
elatereen pesgouerner	|-|---|-|--|-------|
multuus fu li reyso ffe amys	---|--|-|-|---|-⌫--|---|
tant cumfuui fs	---|--|-|--⌫-|
s agereyfut	-⌫--|--|--|
e bon iust iser	|--|----⌫---|
esein tm entmurustultremer	|----⌫--⌫--|-----|----|--|
of liquant ilmorust	-|-|----|-|-----|
mult mepeisa	---|-|----|
k emorirdust	-⌫|----|---|
deua ntc eoke	----⌫-|-⌫-|-|
lamortelip r i st	-|----|-|-⌫-⌫-⌫-|
parfe yepar serementmemist	--|--⌫||--|-------|-|---|
emey etutesa autregent	|--||---|-|----|---|
m istparfeye	-⌫--|--|--||
parseremen t	--|-------⌫|
keq uantnusreturnerum	-|-⌫---|--|---------|
par sesso yne nusreal isum	--|-----⌫--|--|----⌫---|
ouli reys e nuss uiournames	-|-|---||--|-⌫---------|
kant aieru salemalames	---||----⌫----|-----|
odlereyson cosingermeyn	-|-|--|--|----|------|
q uitutesesso ynea ds uzsamayn	-⌫-|---|-----⌫--|-⌫|-⌫-|-|---|
ekenusmenisumde frunt	|-|--|------|-|----|
lefizlerey lenfant edmu nd	-|--|-|--||-----|----⌫-|
que n estangleen fei sunrey	-|-⌫|-------|-|---⌫--|--|
ce onu sfi stil	--⌫|--⌫|--⌫-|-|
p leuerparf ey	-⌫----|--|-⌫-|
offeseis i	---|----⌫|
leda misel	-|--⌫----|
realmeparson	-----|--|--|
dunt il fuf etreyesacré	---|-|-|-⌫-|--||-----|
primierc or uné	------|-⌫--⌫---|
e nu ssegnurspar la	|--⌫|------|--|-|
tant parla meset ant	---|-----⌫--||-⌫--|
keka ntnusde ilu ca lames	-|--⌫-|--|-|---⌫|-⌫----|
encestetere	-|----|---|
pur queyle uuscelerum	--|---|-|--|------|
agrantp eyneconquis	|----|-⌫---|------|
k antle reioffeadle	-⌫--|-|--|---|-|-|
a edmunds on	|-----|-⌫-|
cosinde uisé	----|--⌫----|
parnusquile f izenpleuimes	--|--|--|-|-⌫-|-|-------|
e leserementenfesim es	|-|-------|-|-----⌫-|
kidirraledreiteleu eir	-|----|-|----||-|-⌫--|
bienil deit estre e re ie	---|-|---|----||--⌫||
e purce oepurautre	|--|--⌫||--|----|
duntieo uus must eray t resbien	---|--|--|----⌫---|-⌫--|---|
ledeuezchoi sire eslire	-|----|----⌫--||-----|
kilseitdeuus e	|-|---|-|--||
rei esir e	--||---⌫|
edmundestmu lt de halt	-----|--|--⌫-|-|---|
e neestdereallinia ge	|-|--|-|---|-----⌫-|
e labealte de li	|-|-----|-|-|
estsi grant	--|-|----|
keenmundnadsibe l	-|-|---||-|-|--⌫|
eodlagrantbealtede li	|-|-|----|-----|-|-|
unkespuiske ieonefui	----|-----|--|-|--|
ne uiplussage	-|-|---|---|
desen de re isundemesu re	-|--|-|--⌫---|-|----⌫-|
nequiplustost seustiuger	-|--|---|---|----|----|
unerei s unne desrei snier	--|---⌫-⌫-|-|------⌫----|
segn ursmultestle nf ant edmu nd	----⌫--|---|--||-⌫--⌫--|----⌫-|
dea cuesen e	-|-⌫--|--||
de parfunt	-|------|
e k a nt i l	|-⌫-⌫-|-⌫|
estcosinlerey	--|----|-|--|
sinusmistpar fey	-|--|---|--|--|
kilseitreys decestpais	|-|---|---|-|---|---|
ieo uusdibienlemienauis	--|--|-|---|-|---|---|
quic estec hoseu olt	--|-⌫---|-⌫---|-⌫--|
quiln e seit	-|-|-⌫|---|
decestpaisde	-|---|---|-|
cestregnee	---|-----|
s egnur ssachezenueri te	-⌫-----⌫|-----|-|----⌫-|
enfi ndest rutserrum	----⌫|----⌫--|-----|
elerealmeperderu m	|-|-----|-------⌫|
k arsi sonpe reensessoyne	-⌫-|-|--|--⌫-|-|-------|
kireyestoytla	-|--|--|--|-|
grantuergoyne	----|-------|
qu euus lauez si refusé	--⌫|--||---|-|------|
bie n ledipar malealte	---⌫|-|-|--|-|-----|
ofmul tgrantgentsurnus	-|---⌫|----|---|--|--|
nusdestruera	--|--------|
kantilauei tdi teparlé	---|-|----⌫|--⌫||-----|
etutsonauis	|--|--|---|
etutlepoepl elescuta	|--|-|-----⌫||-----|
seg nursfetil	---⌫---|--|-|
ore escutez	--|------|
siieodibiensil grantez	-|--|-|---||-|------|
multado urél is enschal	---|-|-⌫---|-⌫|-⌫------|
cum sagehomme ecumleal	--|---|----||--|---|
cu m prodom mecum sené	--⌫|------⌫-|--|----|
quanta nus	----||--|
adle dreitheirmené	-|-|----|---|----|
decest enost reregiun	-|----⌫|----⌫-|-----|
duntuusestesenco n t enciun	---|--|----|-|--⌫-⌫-⌫-----|
neen ten tnesey pl us	-|--⌫---⌫|-|--|--⌫-|
dr eit heir	--⌫--|---|
q u im ielzdeyu eleregne aueir	-⌫-⌫|-⌫---|----⌫|-|----|----|
ke edmundlenfantqu i	-|-----||-----|--⌫|
cistmessage	---|------|
un tam enépur leheri tage	--⌫|--⌫---|--|-|----⌫---|
fizde reies tdehaltgent	--|-|--|--⌫|-|---|---|
cosinoffe e	----|---||
prochei np arent	-------⌫|-⌫----|
lerey qu ideuan tquil fini	-|--|--⌫|-----⌫|-|-|---|
decestrealm eles eysi	-|---|-----⌫|-|-⌫---|
p arson an elqu e a litramist	-⌫-|--|--⌫-|--⌫||-|------|
heir e reyeseg nur le	---||--||---⌫--|-|
eodtut c eo mis t	|-|--|-⌫-|---⌫|
e parfeyepar seremen t	|--|--||--|-------⌫|
k iencest paisle	-⌫|-|---|---|-|
amener ent	------⌫--|
le messag eaport erent	-|------⌫|-----⌫----|
mult les deuumsauerbon gr e	---|--|----|----|--|--⌫|
