XXLilaron ont lesmoine[s]	-|-|----|--|--|-------|
Car faitessil uos plaisthuipo rmoi t a nt	--|-----||-|--|-----|--|--⌫|--|-⌫-⌫-|
Que cheualier	--|--------|
co nquerre toutseuselcam p Q uerengemort	--⌫------|---|---|-|---⌫|-⌫-|----|---|
upri surecreant	|---⌫||-------|
QueLoeys le sac he	--|----|-|---⌫-|
ettout li Fran cNem iroient	-|---|-|----⌫|-||------|
huimais François gab ant.Hélascomme	------|--------|---⌫---|--|--|----|
escar nissantDo ntsaroie[ie]biend oren aua nt M ieus	-----⌫------|--⌫-||----|---|---|-⌫----⌫---⌫-|-⌫---|
esteroitmon perede son enfant	-------|--|---|-|--|-----|
Q u antIhesu o t proié par	-⌫-⌫--|----|-⌫|-----|--|
auenant Ilui nt à	------|-|--⌫-|-|
Marchegaisonauferant .Li beri mist	--------|--|--------⌫|-|--||---|
leselelef rain	-|---|-|-⌫---|
auantPuisauestulaubercfortetten ant	----|---||----||-----|---|-|---⌫--|
Etalac hiet son	-||---⌫---|--|
elm enestpasluisantEtchai ntl	---⌫||--|--|------|-|----⌫-||
Eliealgentilflanc	---|-|-----|----|
Elroiaumede Franchenotp lus	-|------|-|------||-|-⌫--|
trenchant. L usi ane	---------|-⌫---⌫--|
liuient deuant	-|----|-----|
Sil enaape lé cortoise ment.	-||-||---⌫--|--------⌫----|
preus et s agede	----|-|-⌫--|-|
bels am blantMolt la m asten s o nceuruerai ement	--|-⌫--⌫----|---||-⌫-⌫--|-|-⌫-⌫|---|-----⌫----|
q uenul hom eenterre quifustuiuantMais	-⌫-|--|---⌫|-|----|--|---|-----|---|
il nipensoitpas	-|||------|--|
ne qua nt Ainsauoitde	-|---⌫-|---|----|-|
s onpe re leceurdolant	-⌫-|--⌫-|-|---|-----|
Qua uoitl ais ié maladeet	-|-⌫---|-⌫---⌫--|-----|-|
beso ignantEt desgarni dauo iret	----⌫-----|-|-------||---⌫-|-|
desirantEl p lenier	-------|-|-⌫-----|
hermita gea Monga iantEtAuissesa	-------⌫-||-----⌫---|-|-----|-|
merealc o rs uaillantQu	---|-|-⌫-⌫-|-------|-|
auoitdesire tépa rsonengan	----|------⌫--|--⌫|--|----|
Mak aire[s]de L osane	---⌫------|-|-⌫----|
lisouduiant.Am is di t la puche le al	-|---------|--⌫-|--⌫|-|-----⌫-|-|
corsu aillant	---|-⌫------|
Remete ́ siusu osarmes laisiés ata n t	------⌫-⌫|--|-⌫-|----|-------|---⌫-⌫|
CarliroysLoe ys	--|-|---|---⌫-|
a f aitsonbanNen	|-⌫--|--|--||-|
ist rache ualiersne	---⌫-|---⌫------|-|
[nus] sergansNes u ns hon ences [t]	----|------|--|-⌫-|--|-|---⌫--|
sieclequisoituiuans	-----|--|---|-----|
Dessiaicel[e] eure qui lle	----||------|---|-|-⌫|-|
comma nt.uosarmes sont	-----⌫--|--|----|---|
molt u ieles malauena ntNesont beles	---|-⌫----|--|-----⌫-|-|---|----|
necleresn e	-|-----|-⌫|
reluisant Cilche ua lie rs	--------|--|---⌫--⌫---⌫||
en u ontescarnissant.S [e]	-|-⌫--|------------|-⌫--|
or fu isiés	-|--⌫-----|
i ssus laf or s e l cam pEt	-⌫---|-|-⌫--⌫|-⌫|---⌫|-|
sepri suosauoi ent	-|---⌫|--|----⌫--|
soudu iantOchire uousporoi entde maintena nt Ne u o u s	-----⌫---|-----|---|-----⌫--|-|--------⌫-|-|-⌫-⌫-⌫|
ir oit sec o r e nus	--⌫--|---⌫-⌫-⌫|--|
honuiua ntAinsi auroittel noi semien	--|----⌫-|---||-----|--|---⌫-|---|
ensiant C o nni poroi t oirnes	------||-⌫|||-----⌫|--|--|
Dieu tonant.-Bele	---|------||---|
laisiéses ter chedistAians Che stege nt	-------|--⌫--|--|---|----|---⌫--|--⌫-|
m e uontmo l t	-⌫|---|--⌫-⌫|
escarnisa ntPetit	---------⌫-|----|
se ue ntm o n ce ur ne	--⌫--⌫-|-⌫-⌫|--⌫-|-|
mon ta lant Car	--|--⌫---|--|
so nc o mmantQuei emenpuis e issirsor	--⌫|-⌫-⌫----|--|-⌫||-|----⌫|----|--|
la ufera nt	|-⌫-----⌫-|
Passerle pont deL oirequisiest grans	-----|-|---|-|-⌫---|--|-|--|----|
Etie tr uis	-|-|--⌫--|
lecem bellafor s e s cans Nel a iroie porhome	-|---⌫--|-|---⌫|-⌫|---|-|-⌫-⌫----|--|---|
quisoi t uiuant	--|---⌫|-----|
Queni uois e	--|||----⌫|
fe rirdem ainten ant.Senabac	--⌫--|-|-⌫------⌫---|-||---|
cheualierde lauferantEtnel rencmor [t]	--------|-||-------|-|--|---|---⌫--|
u pr isurecrean t	|--⌫-||-------⌫|
Que Loe yslesacheettou t liFranc	--|---⌫-|-|----|-|---⌫|-|----|
IaDamelde ́ ne	-|-------⌫|-|
p lacheleroi	-⌫----|-|--|
poissant Qui f une ́d e	-------|--|-⌫|--⌫|-⌫|
l aui erge	-⌫|--⌫---|
Queiechaiensrep aire	--|-|------|---⌫---|
en mon uiuant.Donto t	-|--|------|---|-⌫|
damois eleleceur dolan tQuant	------⌫--|-|---|-----⌫|----|
uieutfairenetant	----|----|-|---|
n e quant. LXuAm is dist	-⌫|-----|--|--⌫-|---|
Luisian e frans d amoiseus	-------⌫|----|-⌫-------|
Remeté s ius ces armesetcel aubercN	-------⌫|--|--|----|-|--|-----||
istr a hui	----⌫|--|
c heualier[s]decestrece t	-⌫----------|-|---|----⌫|
iamisbanparsa int	||--|--|--|--⌫--|
Marcel.Etrespo ndi	------|-|-----⌫--|
Ai ol[s]OrmestmoltbelSe	--⌫----|-||--|---|--|-|
cheualierssenist g	---------||-|--||
iraiaprès. Nairich e garnimentn e	---|------||-|----⌫|--------|-⌫|
uairmantel Nene porcl anchep ointenepingoncelCil	---|-----|-|-|---|-⌫----|-⌫----|-|--------|--|
megabentetci ldanselSe	-|-----|-|--⌫|-----|-|
effors ence	-----|-|-|
cemb elIai ma uais repairier encestch astel.	----⌫-||-|--⌫---|--------|-|---|--⌫-----|
-Sir ef rans	|---⌫|-⌫---|
damoiseusdist lam escin e	--------|---|-|-⌫-----⌫|
Remetésiusuos	-------|--|--|
armesque auésprise s	----|--|----|-----⌫|
N istrahuicheualier[s]decheste	|----|--|-----------|-|-----|
uileLi roisi amisb anses co rs	---|-|---|||--|-⌫-|--|--⌫-|
meismes.Esgardésde	-------|--------|-|
cesru escomsontporpr isses Et	--|--⌫-|--|---|-----⌫----|-|
c es tors g rans ethautes	-⌫-|---|-⌫---|-|-----|
sont antiuesMoltia	---|------|---|||
cheualiersetd ames r iches	---------|-|-⌫---|-⌫----|
estié slaforsuosa rmes prisesFranço isontlor	------⌫|-|---|--|-⌫---|-----|-------⌫-|--|--|
pl ai nsdefelonies Quantiluoien t	--⌫--⌫-|-|-------|----|-|-----⌫|
p ourehomesi	-⌫---|---|-|
esca rniss entIl nelaissent por Di eu riensa [ li]	----⌫-----⌫--|-|-|-------|--|--⌫-|----||-⌫--|
N estes p asconreéa	|----|-⌫-|------||
lelo rguiseNaués	-|--⌫|----||----|
pelichonua ir	-------|--⌫-|
Iaauroit t el taborparce steuileMieu s uauro ie	-|-----|-⌫-|----|--|--⌫--|---|----⌫|-----⌫-|
estremorteet enfoieQuenoiseneorgeuluos	----|----|-|-----|--|----|-|-----|--|
if esissent.	|-⌫--------|
en uoisu i ioumarie.LXuII Aiol[s]	-|--|--⌫|--|-----|----|------|
laissemie porchouliber Ainsuint	-----|--|--|---|-|--|---|---|
aMarchegaisiest	|--------|-|--|
montés.Dam o iseleles c u	-------|---⌫-⌫----||--⌫-⌫|
carmedo nésS is teraien	--|-|--⌫---||--⌫----|-|
cesruespordeporterSe cheualiers s en	--|---|--|-------|-|---------||-|
aien pensé	-|-|-----|
uauroiesenp re aprè sa l er Se	------|----⌫-|-----⌫|-⌫-⌫-|-|
uenoitabataillenea	-----||-------|-||
iosterMi eusuauroi eestre morsquechiremés	-----|--⌫--|------⌫|----|---|--|--|-----|
dist Lus ianemolt estes	---|---⌫---|---|----|
berDe tamo rme con ui e nt	--|-||---⌫|-|---⌫--⌫-⌫-|
consirerQuant ienenpuis plus fairelarai aler.	-------|----|-||-|---|---|----|----|----|
Dé(x)d esa integ loi resoitcommand ésTescors	-----|-⌫|--⌫---|-⌫---⌫-|---|-------⌫--|--|---|
et taproeche	-|-|------|
et ta biaute ́Que demo rt	-|-|------⌫|--|-|--⌫-|
t e d effenge	-⌫|-⌫------|
parsabon téNe	--|-|---⌫--|-|
soiesmorsneprisneafolé [s]Sain	----|---|-|---|-|------⌫--|---|
ets aufte ramainten la	-|-⌫--|-|------|-|-|
chité Etqueie	-----|-|--|-|
puise encoreatoi parl er	----|-----||--|----⌫-|
Plu su osai m	---⌫|-⌫-|--⌫|
quenulhom e dem e ren é.	--|--|---⌫|-|-⌫-⌫-|-⌫--|
Ele lirent lescusi l acombré	--|-|---||---|-|||------|
Silatostpar	-|||---|--|
l eguichealcorss eré	-⌫|-----|-|---|-⌫---|
tr e nchantespielli adonéBele chedist	--⌫-⌫-----|-----|-||----|---|--|---|
Aiol[s] le ge ntiés	------|-|--⌫-----|
ber Ihesu desain tegloire demaiestéQui l e chiel	--|----|-|----⌫-|-----|-|-------|--|-⌫|----|
letere[a] aga r derDe uostregentseruicheuos	-|---|--||--⌫-⌫--|-|-----|---|-------|--|
sac hegré	---⌫-|---|
Etmed oinstauentu re parsab ontéQu	-|-|-⌫----|------⌫-|--|-|-⌫----|-|
il soitas ti uement	-|---|--⌫--⌫-----|
guerre doné Parmiliu dunerue	------⌫----|--|----||--|--|
senesttor né s .C.	|-|--|---⌫---⌫|--|
cheualierlesg ardentiou ene etbarbé	--------||---⌫-----|---⌫--|-|-----|
Et damesetpucele[s]e t	-|----|-|--------|-⌫|
Lecembel esg a rdoie[nt]p or deliterChoues tmoltbel e	-|-----|---⌫-⌫--------|-⌫-|------|---|--⌫|---|---⌫|
cosea esgarde r .EslesuousaAiolsiatorné	---||-------⌫-⌫|-|--|---||---|-|------|
On ques puis	--⌫---|---|
decembeln io t	-|-----|||-⌫|
parlé Etdi st liun[s]a	-----|-|--⌫-|-|----||
laut reLaisi és	|---⌫-|-----⌫--|
e ster.HéDieusuail	-⌫----|--|----|||-|
conue rséQueldiable	-----⌫---|---|-----|
demorerIl uau roitorendroitestre	------|-|---⌫---|--------|----|
iosterIa (en) aroi t	-----|-|---|----⌫|
.u.ochis et afolé[s] Chis	--|----|-|--------|---|
u e ngeraanquile	-⌫-⌫----|----|-|
mor[t] Fou ré QuantAiol [s]lentendi	-----|---⌫--|----|----⌫--||------|
fuiré [s] Par	-|----⌫--|--|
[mi]liudune	------||--|
rues enesttor ne ́	--||-|--|---⌫--⌫|
deuan t.i.chelierest	-----⌫|--|------|--|
tres passé[s]Lech eor[s] iauo i tmolt	----⌫--------|----⌫-----||---⌫-⌫|---|
a ssambl é[s]As	-⌫------⌫----|-|
mainssontcombatu	----|---|------|
et rac o rde ́.	-|---⌫-⌫---⌫-|
Molt furent	---|-----|
lai dengié et	---⌫------|-|
d espané Li	-⌫------|-|
os tes lesra m ainesipristl esde ́s	--⌫--|--|--⌫-⌫---|-|----|-⌫-|--⌫-|
Sonplu s grant	--|---⌫|----|
es kekiera	--⌫-----||
aport é S esco mpaignon sena	-----⌫-|-⌫-|--⌫--------⌫|-||
araisonéSignorchedist liosteso r entendésA	--------|-----|--|---|-|----|-⌫|--------||
(i) cestcopaillot	---⌫---|--||-|--|
bi en mesuréDe toutlemillo r uin	--⌫-|------|-|---|-|-----⌫|--|
ostelEtqui n e uien ta nousal	----|-|--|-⌫|----⌫||---|-|
uingeter Simeuui t	--|----|-|-|---⌫|
mon c elieretlai stesterLa	--|-⌫----|-|---⌫-|----|-|
noiseetle ten cho nq ueuos	----|-|-|---⌫---⌫|-⌫-|--|
me nésN aicure det enchierne d	--⌫---||-|---|-|-⌫------|-||
es tr iu erAinsuoil	--⌫--⌫--⌫-|---|---|
grantpaisteni r enm on	----|---|----⌫|-|-⌫-|
ostel.Et cillirespondirentsa	-----|-|--|-|-----------|-|
u olentéAtan tsen sontrasisa l iudel dé.	-⌫------|----⌫||-|---|----|-⌫|-|--|---|
At an teuo us	--⌫--⌫|---⌫-|
Aiolq u est	---|-⌫|--|
trespassés Pa r	----------|--⌫|
cheliertrestoutarmés.	------|-------|------|
Liost esleregarde si a p arl e ́ Dista	-|---⌫-|-|------|-||-⌫---⌫-⌫|---||
sescompaign ons	--|--------⌫--|
Baron ueés Ieuoi unch eualierqui	----|----|-|--|-|--⌫------|--|
estfae ́sI eli	--|---⌫-|-⌫|-|
diraii aauqu es demes	----|-⌫|----⌫-|-|--|
Deua ntluiestuenustouseffree ́s	----⌫-|--|--|----|---|------⌫-|
Sire ente n d ésOn uentchaiensb oin	---|----⌫-⌫-⌫--|-|---|------|-⌫--|
uin et boinmoré(s)	--|-|---|-------|
D oi seriant orentore	-⌫-|------|----|--|
chitremellé Liuns amoltperdu(s)	--|--------|-|--||---|-------|
s e stadampnés.Chedistdemauais g iuli	|-⌫-|---------|--|---|-|-----|-⌫-|-|
Onme tientporpreudome en lachité	-|-|----|--|-------|-|-|-----|
Si nenuauroie mie	-||-|------|--|
estreb lamés.	----|-⌫------|
uasalc heualiersireu eschi lesd ésL i	----|-⌫-------|---|-⌫----|--|-⌫--|-⌫|
uns est menuier[s]	--|--|---------|
l a utrequarésEt	|-⌫---|------|-|
liti erses t pleniers	-|--⌫--|--⌫|-------|
porbieniuer Tenés lesenuo	--|---|---|-----|--|-|-|
mainsesesgardésSire	---|--|--------|---|
seilsontboi nselmedirésEt	-|-|---|---⌫|--|-|-----|-|
ledroitiu gem entnousen	-|----|--⌫---⌫--|---|-|
feré sCar sor	-----⌫|--|--|
uosl auonsmiset at iré.Etrespondi	--||----|--|-|--⌫----|-|-------|
Aiol [s]Laisiésest erOnquesenmon eag eneui iuer	----⌫--|-------|---⌫-|-----|-|--|---⌫|-|-|---|
uoscompaig nonsarrierele demandésAche qu	--|-------⌫---|------|-|--------||--|-|
ilend iront	-|-|-⌫----|
uosentenésCaruoi rnul	--|-|-----|--|---⌫|--|
iugement nesai trouerQuar	-------|-|--|-----|---|
onquesnesocriensdei ude dés .-	-----|-|--|----|-|-⌫|-|----⌫||
uas a ldis tli	---⌫-⌫|---⌫|-|
uosnenirésParlefrain	--||-|----|--|-|----|
lasaisi silatiré	||----|-|||----|
Trésdeuant	----|-----|
leche lier	-|---⌫---|
l a reculéMarchegailer e gardesi	||------|--------|-|-⌫-⌫----|-|
laitalerLe piédes trequ ilotgros	---|---|-|---|---⌫--|-|-|-|---|
et quaré D euant en	-|-----|-⌫----|-|
laencont réUnsimeruilleus	||------⌫--|-|-|---------|
copl iadoné	--|-⌫||----|
Que .iii.costesl ifait	--|----|-----|-⌫|---|
elcor sfroerPorunpoiqueleceur	-|---⌫|----|--|-|--|--|-|---|
nen acr eué	|-||--⌫---|
Trésenmi soncelier	----|-|-|--|-----|
la faitu olerMal	||---|-⌫---|--|
soitde lescallonquil a contéLi	---|-||-------|-|-||-----|-|
lechi e ressepasmene	-----⌫-⌫--|-|----|-|
potdurer Etquantilseredrec he quilpot	--|----|-|----|-|-|------⌫-|-|-|--|
.c.milediable[s]	--|---|--------|
lacommand éAiol	||-------⌫-|---|
etsonceual n e npot	-|--|----||-⌫|--|
faire el.Aiol[s]li	----|--|------|-|
fieusElie atant alé	----|---||---|---|
Qual grantmarchietd Or liense n est entré[s]	-|-|----|-------||--⌫----|-⌫|--|--------|
etmachec lier	-|------⌫---|
l ontmolt gabé	|--|---|----|
D espo monsd e lor uakes l ont	-⌫-|--⌫---|-⌫|--|----||--|
il ruéuoié(n)scompe rePiere schedist	-|---|--------|-----⌫-|-----⌫|--|---|
E ldré[s] E	-⌫-------||
Dieus cisauoitore tropdemor éSil	----|--|----|--|---|-----⌫-||-|
o reauoitia for sl	-⌫-|----|-|---⌫||
estortr oué	----|--⌫---|
don r o itmaistr i euesdeuant No el Car	---⌫-⌫-⌫-|---|--⌫-⌫---|-----|--⌫-|--|
fustchiH a geneuslieniurés EtHersentsa molli eral	---|--|-⌫-⌫-----|-|-------|-|------|-|-----⌫-|-|
lé To utes	--|--⌫---|
g ens setlait direet rep rouerCheleneu oi t	-⌫--|--|---|---|-|---⌫----|----|-|-⌫--⌫|
nul home p arch i passerQ uemaintenantne	--|---|-⌫-|--⌫|-----|-⌫-|---------|-|
S ele auoitson coutel grantachere ́So n	|--|----|--|-----|----|------⌫|--⌫|
ronchi liaroit	-----|-|----|
es co uéDontsero itilplusbiausaamener. Et	--⌫--⌫--|---|----⌫-|-|---|----||------|-|
Aiol [ s] Laisiem e esteru osfaite s ui loniequem eg a bés	----⌫-⌫-|-------⌫|----|-⌫-|-----⌫|--⌫----|--|-⌫|-⌫-⌫---|
Ett ortetgrantpichiéet mauaistéAinsne uos	-|-⌫--|-|----|------|-|--------|---|-|--|
riens e n monaé.QuantDamelde[x]	----|-⌫|--|---|----|---------|
uauraia raiassés	----||-⌫--|-----|
Qui delsien me	--|--|---|-|
donra a grantple nté.Liauq uantl ont	----||----|---⌫----|-|---⌫---||--|
laisié quen ont	------|-|-|--|
pit éPorch ou	---⌫-|--|--⌫-|
que belem entl oe nt parler.	--|-----⌫--||--⌫-|------|
LX uIIISirech edis tHoudrésceestfolie Quesi	--⌫---|---|--⌫|---⌫|-------|-|--|----|--|-|
m atinaués uos	-⌫---|----|--|
armesprisesEtnoge ntcre stieneuol és	----|-----|-|-|--⌫-|---⌫-----|---⌫--|
es tForésquequenus dieDe uant Paris	--⌫|-----|--|--|--|--|--⌫---|----|
p arestouthie Etuousleuengerés	-⌫-|--------|-|---|-|--------|
aprè scomplieAl	-----⌫|------|||
espe edachierferésmartire.Moltalastesh ersoirpa r	----⌫||-----|-----|-------|---|------|-⌫-----|--⌫|
uileMen erqui d iésnogent	---|---⌫-|---⌫-⌫---|-|---|
a lefolieChesarme squ e	|-|----|---|----⌫|--⌫|
portésso ntmoltpories	------|--⌫-|---|-----|
Por uoirlesentorchierent g ent	--|---|--|------------|-⌫--|
Sarrasin e	--------⌫|
Quinaurés ens e roit neporoitu iure.Quantle ntendi	--|------|-|-⌫-⌫---|-|-----|-⌫----|-----|-⌫-----|
Aiol[s]moltse na ire. LXIX Des o r	------|---||-⌫|-⌫---|---|--|-⌫|
cheuaucheAiol[s]	--------|------|
iriésPor chouqu il sot	-----|--|---|-|-||-|
g aber e t	-⌫---|-⌫|
lai dengie r.	---⌫------⌫-|
Moltlegabentseriantet	---|-|-----|------|-|
escuierMe ismes Loeys quiFranc he	------|--⌫----|----|--|-----⌫-|
tien tQuifu en sonpalais	----⌫|--|-|-|--|-----|
grantetplenier.Almati n sest	----|-|-------|-|----⌫|---|
l eués d e son	-⌫----|-⌫|--|
mengier Etuitl enfan tAi ol	------|-|--||-----⌫|--⌫-|
ens elmarchié	--|-|-------|
Et lesgensqu i	-|--|---|--⌫|
ta ntlorentcontr a lié .Li roisen	--⌫-||----|-----⌫-⌫----⌫|-|---|-|
cheualiers Ahau teuoisses crie	---------||---⌫-|---||--⌫---|
BaronuoiésChi	----|-----|--|
uientun[s] cheualiersapare lliésQuiuauraa nquiestreascos	----|----|---------|-----⌫-----|--|----|-⌫---|----|-|--|
p remiers Saquit era m atereetmonresnié [Quar]il	-⌫------||-----⌫--|-⌫|---|-|--|------|-----|-|
uauramaguerrebien trairea chief. R icheshoml	----|-|-----|---|-----||-----|-⌫----|--||
ensengi é(s) Si laporg rantsaudee	-------⌫----|-|||--|-⌫---|-----|
chaenuoi é(s)Il	--|-----⌫----|-|
lesconquerr abienason espie l. Quan tAiols	--|--------⌫|---||--|-----⌫-|----⌫|----|
ot leroi mo lt	-|-|--|--⌫-|
f uiriésUnborgo is enapelequ enuet	-⌫|-----|-|-----⌫-|-|----|--⌫--|-|
uiel Quideuantlui	---|--|-----|--|
e stoiten ce l marchiéAmis c h ed ist	-⌫----|-|--⌫|-------|---|-⌫-⌫|-⌫--|
Aiolsbien aituos	----|---|--|--|
ciés Quiestchis q ui me	----|--|--|---|-⌫-|-|
gabe en ce s[t]	---|-|--⌫---|
s ol li er-	-⌫--⌫--⌫-||
estlirois quiFran chetie nt Ets i	--|-|---|--|----⌫--|---⌫-|-|-⌫|
uosa gabéet	--||----|-|
laidengié. Qua ntl entendiAiols	----------|---⌫-||------|----|
molt fuiriésEtdist	---|-|-----|-|---|
entresesdensc	----|--|---||
lotnie[n]t HéDieuxchou est mes	|-|------|--|----|---|--|--|
oncles i esuises n iés	-----|-⌫|--|--|-⌫---|
Sine me deust miec ontralier.	-|-|-|----|--|-⌫---------|
Selseus tlempe rerequ ilfustses n iés	--|----⌫||----⌫---|-|-|---|--|-⌫---|
Ia n i fustplus	-|||---|---|
ga bésn elaid engiésAinsfust [molt]rich emen t aparellié s.	--⌫---|-⌫|----⌫------|---|---|-----|----⌫----⌫|----------⌫-|
Porquelga be liroi s	--|---|--⌫-|-|---⌫|
ne fa itpas bienAnq ui en ert	-|--⌫-|--|---|---⌫-|-|--|
Aiol[s] sibienuengiésQuillaba tra aioste	------|-|---|-------|-|-||---⌫--||----|
destrierSiqu eluerontseria ntetcheuali er.LXX	-------|-|--⌫-|-----|-----⌫-|-|-------⌫--|--|
