quant limundesfuestabliz	----|-|-----|-|-------|
eniceu si or zencesttermin e	-|----⌫|-⌫--⌫|-|---|------⌫|
sicomles toire med euine	-|--||--⌫----|-|-⌫----|
est eit u nsduxauqu esd aage	---⌫--|-⌫-|--|----⌫-||---|
noblesrichesepro z	-----|-----||---⌫|
qui enic e usrenne s mane it	--|-|--⌫-⌫-|-----⌫|----⌫-|
egranz par tiesenteneit	|----|---⌫---|-|-----|
si tresrichese	-|---|-----||
si deto zaueirsreple ni z	-|-|--⌫|-----|-----⌫--⌫|
si plentei sdetotesrien s	-|-------⌫|-|----|----⌫|
eisi assazezdetozbie ns	---|------|-|--|---⌫-|
eisipuissanzde che ual ers	---|-------|-|---⌫---⌫--|
garniz d armes	-----||----|
ededestriers	|-|--------|
ed autres moctrichesmaisne es	||-----|---|-----|------⌫-|
bienapare illees	---|-----⌫-----|
cumtexhue mmaisnefuoiz	--|--|---⌫|---|-|-|--|
ced itlestoiree lies criz	-|-⌫-||------||-|--⌫---|
quilnese deign au ncba issier	-|-|-|-|-----⌫|-⌫-|--⌫-----|
neuers nulre i	-|---|--|--⌫|
soncolplaissier	--|--|--------|
riens clin er n	----|----⌫-||
aseisozme tr e	|--|-----⌫--⌫|
n eses deusmains	-⌫|--|---|----|
entr aut re s	---|---⌫--⌫|
pornul seruige otrei erfair e	--|--|------|-----⌫-|----⌫|
c i stert si sor tozhauz emaire	-⌫-⌫-|--|-|--|--|---||----|
quetotes les	--|----|--|
des gr anz terresqueuos oez	--|--⌫--|-----|--|--|--|
edae dan emarche edalai ne	|--|---⌫------|||----⌫-|
monzpuise u auseterre	---|---||-⌫--||----|
aueitpar force	----|--|----|
ep ar po eir	|-⌫-|--⌫--|
t ote sosmisseasonu oleir	-⌫--|-------||--|-⌫----|
eplusorsdes	|------|--|
poplesueisins	-----|------|
eisitoz faizaseiaclins	---|--|---||--|-----|
nulleudesg ra n z n ed es	--|--|--|-⌫--⌫-⌫|-⌫|-⌫-|
sisconma ndemenz desdiz	--|-----⌫------|-----|
dicestdu csa u umcer tem ent	|----|--⌫|--⌫-⌫-|---⌫---⌫--|
quentotler enne dorient	-|-|--|-|-⌫---||-----|
nau eit nul homme si uaillant	|--⌫--|--|----|-|-------|
sifortsirichesipuissant	-|---|-|----|-|-------|
sor to zert crienz e	--|--⌫|--|-----||
esor tozli	|--|--|-|
plus honnor ez	---|------⌫-|
ensaueillec e	-|-|-------⌫|
deiorzpleins	-|---|-----|
quatreuinz anzpassezaumeins	-----|---|--|-----|-|----|
feni maiscodibiend e	---|---|-|-|---|-⌫|
qu ilnemorutmiesanzeir	-|-|-|----|--|---|--|
deusfizoctienz desamoiller	---|--|--|---|-|-|------|
q uimoct furent buen	-⌫-|---|-----|---|
firentens euelir	-----|---⌫-----|
mocthaute me nt eparlei sir	---|-----⌫--⌫-||--|---⌫--|
ri che m entf umoctenterrez	--⌫---⌫-⌫--|-⌫|---|-------|
quant assezfupla ins e	----|----|-|---⌫--||
cist furent d	---|-----||
armesmoctuaill anz	----|---|-----⌫--|
ede bataillemoct s ai chanz	|-|-------|---|-⌫--⌫----|
decorsmoct	-|---|---|
gran z emo ctp leners	----⌫||--⌫-|-⌫-----|
so sc el n	--⌫|-⌫-||
octmei llors	--|---⌫----|
cheuale rs	-------⌫-|
esineste ientmiel aiz	|-||----⌫---|--|-⌫--|
qui ienz eb eiaus	--|---||-⌫----|
moctebien faiz	---||---|---|
degr a n zcoragesodgrantoure	-|--⌫-⌫-⌫|------|-|----|---|
e i si c omauantse descoure	-⌫-⌫-|-⌫-|----|-|-------|
d i cez oct nonlia inz nez rous	|-⌫--|--|--|-|-⌫--|--|---|
quiuncnefumauua is	--|--|-|-|-----⌫-|
qu isageep ro z e	--⌫|---||-⌫--⌫||
ienzmeschins	---|-------|
el iautresoct	|-⌫|-----|--|
no nguirins	--⌫|------|
moct enprena nzmoctcoragos	---|-------⌫-|---|------|
m o ctparsame rentambedous	-⌫-⌫-|--||---⌫---|-------|
e moct par furent	|---|--|-----|
ceusquinonmer oct	---|--|-----|--|
fa it lasort	--⌫-|-|---|
aaleren e s silleme nt	|---|-|-⌫-⌫-------⌫-|
parle realconmandement	--|-|---|-----------|
si comiosai d it	-|--||-|-|-⌫-|
e re t rait	|--⌫-⌫---|
orent a perce uleplait	----|-⌫-----⌫|-|----|
iri épens ifede shaitié	---⌫-|----⌫-||--⌫-------|
ei si comm edestre	--⌫-|----⌫||----|
essilli é	-------⌫-|
se nassembl erent desplusors	|-⌫|-------⌫----|--|------|
si uindrent dreitaceusseig nors	-|-------|----||---|----⌫---|
q uilsa ueientde grantpoeir	-⌫|-|--⌫-----|-|----|----|
porforcee poraie aueir	--|----||--|--|----|
