s etle sarsda mours	-⌫-|--⌫|--||-⌫----|
lesuoi c autresetaffaities	--|--||-----|-|--------|
molttienentnes	---|------|--|
lor gar nemens	--|---⌫-----|
les uisont clers etrouu elens	--|--|--|----|-|----⌫----|
s aimentbienboire	|-----|---|----|
etb ienm a n gier	-|-⌫--|-⌫-⌫-⌫---|
larg ementuiest ir et	----⌫----|-----⌫-|-|
m olt se sunt enuiersdiu enclines	-⌫--|-|---|------|--|-------|
uolentiers lieuentas matines	---------|------|-|------|
tel co seenaioi	--|--⌫-|-|-|-|
keie neuoel	-|-|-|---|
ciraconter	-|-------|
dunerienssui li es	|--|----|--|--⌫-|
sansment ir	---|----⌫-|
ke diu ne puet	-|--|-|---|
lesie cl epuetonen gigni er	-|---⌫--⌫|---|-|--⌫-----⌫-|
nepuet oncuncyer	-|---|-|------|
etp uis qu egentr elegieus	-|-⌫--|--⌫|---|-⌫-------|
dedras auoir suntdesdaigneus	-|---|----|---|----------|
moltdo iton ordurehair	---|--⌫-|-|-----|---|
dame c au siecleueut plaisir	---||-|-----|---|------|
adiesnet em entte	----|---⌫--⌫--|-|
assestiert i l tournéabien	----||---|-⌫|------||---|
carlibi au s app arelleme ns	--|-|--⌫--⌫|---⌫--------⌫-|
etli sagesconten e mens	-|-|----|------⌫-⌫---|
fait lef em eameretprissier	---|-|-⌫--⌫|---|-|-------|
une autre couuoitier	--|----|---------|
etmoltmepoisedurement	-|---|-|----|-------|
quantienoiparl erlaideme nt	----||-|-|----⌫-|-------⌫-|
porceneuauroie	--|-|-|------|
tantn equant	---|-⌫|----|
n iueistonpiour	||----|-|----|
cartrop lesaim et bi enloruoel	--|---|--|--|-|--⌫-|--|---|
et malegoutel orcr ietloe l	-|---|----|-⌫-|--⌫--||--⌫|
quien mesdistune seule eure	--|-|------|--|----|---|
ne tantnequant lesdeshoneure	-|---|-|----|--|---------|
hedameg ai tiés uous adies	-|---|-⌫--⌫----|---|----|
car limesdis santuoss un t pries	--|-|------⌫---|--|-⌫--⌫|----|
et si uosloc que	-|-|--|--|--|
iabaisiell e	-|--------⌫|
n aiesquiplu sde	|---|--|---⌫|-|
uo s s oitbielle	--⌫|-⌫--|-----|
nefemeq ui uosamorsp o r t	-|---|-⌫-|--|----|-⌫-⌫-⌫|
carmoltt o stu osen	--|---|-⌫-⌫-|-⌫-|-|
feroittort	-----|---|
et auenuestmaintefois	-|----|--|-----|---|
estbien raisonset drois	--|---|------|-|----|
medoiereposse r	-|---|-------⌫|
mai soruauraimonditfiner	---⌫|-|-----|--|--|----|
carautr e coseaientreprise	--|----⌫|---|-|---------|
kinedoit iestrear riermise	-|-|---|-----|--⌫---|---|
s e tantpeussedireetfaire	-⌫|---|-----|---|-|----|
keiepeusseaceli	-|-|-----||---|
q ui me tienten t elle destrece	-⌫-|-|----|-|-⌫---|-------|
quei en epuis auoir leece	--|-⌫|-⌫|---|----|----|
fieste faire	-----|----|
nemenerioie	-|----|---|
k elleneconsentne	|---|-|------|-|
qued es amorasseurés	--|-⌫||---|--------|
affrem és	------⌫--|
m ipaor etmi	-⌫|---|-|-|
desco nfort	-----⌫----|
n eualentpasmainsdune	-⌫|-----|--|----||--|
etsencest liu rea	-||-|---|---⌫-||
rienmespris	---|------|
iestrerepris	-----|-----|
to urmente t p or	--⌫-----|-⌫|-⌫-|
etporledolouruiesui	-|--|-|-----||-|--|
si leme do it onpardouner	-|-|-|--⌫-|-|--------|
carq uisaroitbienmon	--|-⌫-|-----|---|--|
molttostlemepar douneroit	---|---|-|-|---⌫--------|
fortses me ruell eroit	---||--⌫--⌫-----⌫----|
par donrequier toutenseme nt	---⌫--|------|---|------⌫-|
aiparle ́tropba ude ment	-|-----⌫|---|--⌫---⌫---|
ena ucunliuqu	-|-⌫---|--|-|
il iaffier t	-||------⌫|
matereler equiert	-----|-|-⌫------|
iak esdamiensquiparcestliure	---⌫-||-----|--|--|---|----|
asamie to utadel iure	||---|--⌫-||---⌫---|
comfins amans proiemierc i	--|---|----|----|-----⌫|
i oin tes m ainsautresi	-⌫---⌫--|-⌫---|------|
etu ousaussitout	-|-⌫--|----|---|
l emproié s	|-|------⌫|
quem ercis	--|-⌫----|
le n prenge	|-⌫|-----|
ouia ne puista uoir pardon	-|-|-|----|-⌫---|-----|
deses pecies n eg uarisson	-|--|-----|-⌫|-⌫-------|
mais m alemors le	---|-⌫--|---|-|
puist ferir	----|----|
ain scautrui en uoie goir	---⌫||-----|-|---|---|
nel ledautruine raitiaioie	|--⌫-||-----|-|---|-|---|
maisen infiertiegne s auoie	---|-|-----|-----|-⌫|---|
se partansn	-|--|---||
quan tie si b ielemen tli	----⌫|-|-|-⌫-------⌫|-|
t oute uoies saluslimanc	-⌫---|----|----|-|---|
etdelto utadiule	-|--|--⌫-||--|-|
