qui ueu th enor	--|---⌫|-⌫---|
a c he scun un coffr eliurez	|-⌫--⌫---|-|-----⌫|-----|
etceiensles me samenez	-|-----|--|--⌫|-----|
cil nesa targie rent nient	--|-||-⌫------⌫---|----|
defaires on commandeme n t	-|----|-⌫-|----------⌫-⌫|
qu anttot ou ren t ap arell ié	--⌫--|--|--⌫---⌫|--⌫-----⌫--|
si sunt arrerre repairié	-|---|------|--------|
seignorsdistel eo r couien t	-------|---|--⌫|-⌫|------⌫|
siquadreitchief enpuissontraire	-|-||----|----|-|------|-----|
delachose quauon	-|-|----|-|---|
es tuet ourer p argrantcointise	--⌫---|----|-⌫-|----|-------|
ie et cistpro dom eniro n	-|-|---|---⌫--|-|---⌫|
b ealsamis dreit alamaison	-⌫---|---|----||-|-----|
ou cilmaintqu i	-|--|----|--⌫|
at on a ueir	|-⌫-|-⌫---|
ac reirelifer o n	|-⌫----|-|---⌫-⌫|
quecis t homu e ut amechaler	--|---⌫|--|-⌫-⌫-||---|---|
li ueutliure r	-|---|-----⌫|
dis coff resplei nsde son aueir	--|----⌫--|----⌫-|-|--|----|
q ue ilnose oseiesmoue i r	-⌫-|-||--||--|------⌫-⌫|
etcesdis home sn os	-|--|--|----⌫|-⌫-|
quices dis c offresporteront	--|--|--|-⌫-----|--------|
u ie ngentun	-⌫--⌫----|-|
etloingd elautres eitchescun	-|----|-⌫||----|-⌫--|------|
qua ntli premiersertenzentrez	---⌫-|-|-------|--|--|-----|
t us oiesprofetaprestez	-⌫|-⌫---|---|-|-------|
apr esma intena nt	---⌫-|--⌫------⌫-|
et si dem andenostre o ia nt	-|-|---⌫---|-----|-⌫--⌫-|
quetuli ballas	--|-|-|-----|
et iecrei bien que	-|-|---|---|--|
tu la uras	-||-⌫---|
sidieuples tquide to test sire	-|---|----⌫|--|-|--⌫|--|---|
denieradire	-----||---|
c ilnot son deloncd e morer	-⌫-||-|--|-|---|-⌫-⌫----|
presdelostelsalamucier	---|-||----||--|-----|
sicomelliacomandé	-|--|-|-||-------|
et elealautrehom emené	-|--|||----|---⌫|----|
alamaiso n et ci lale rent	|-|-----⌫|-|--⌫|---⌫---|
lescoffre s p orterent	--|------⌫|-⌫-------|
q u antla uiell ededenz	-⌫-⌫--|-|-----⌫|-----|
litrichierreslasalua	-|----------|-|----|
etceluiq ui oleiueneit	-|----|-⌫-||--|-----|
domilnientnequen oisse i t	--|-|----|-|----⌫-----⌫-⌫|
nos s ommes cauenuza	--|-⌫----|-|----||
cisthom nes tpasdecestpais	---|--||--⌫|--|-|---|---|
d espagn eestnécemest auis	|------⌫|--|--|-||--|---|
ersei romeiseherberg a	-----⌫||--|-|-------⌫|
et simenq u i stet demanda	-|-||---⌫-⌫-⌫-|-|------|
ou li pluslealshom maneit	-|-|---|----|--|-----|
que len e nlac it esaueit	--|--|-⌫|-|-⌫--⌫|-----|
ie n elisoi autrenommer	-|-⌫|-|--|----|-----|
en cuis en	-|--||-|
pe ustmiezfier	--⌫--|---|---|
aiiciamené	-|--|-----|
s i tedie sauolente	-⌫|-|--|-|------|
sire distcile l	---|---|--|-⌫|
uosdit ueir	--|--|---|
en cestp ais	-|---|-⌫--|
aigra ntaueir	-|---⌫-|----|
end iscoff resquiuienentci	-|-⌫-|----⌫--|--|------|-|
rec euezlesuostre merci	---⌫---|--|-----|----|
e t sis mefa it esbi en garder	-⌫|-||-|--⌫--⌫-|--⌫-|-----|
tan tquemeiluiseretorner	---⌫---|--|----|-------|
ouiesuiesme uz	-|-|--|----⌫-|
atantest lip remieruenuz	----|--|-|-⌫-----|----|
d eceusquilescof fres portoent	-⌫|---|--|--|---⌫---|-------|
lesautresde	--|-----|-|
gredemor ouen t	--|-----⌫----⌫|
quant cilenla meson entra	----|--|-|-|----|----|
etliprodomsedesbucha	-|-|-----|-|-------|
quise s besanzaueitperduz	--|--⌫|-----|----|-----|
apresc elui estenz uenuz	----|-⌫---|--|--|----|
quantlitrichier res lesga rd a	----|-|--------⌫--||----⌫--⌫|
au collicorusil baisa	-|--|-|---|-||----|
amidistilestrangement	--|---|-|-----------|
auez demoré longuement	---|------|---------|
mesore enseitdi ex	--|--|-|---|--⌫-|
qu antuosestes sainrepairie z	--⌫--|--|----|---|--------⌫|
u ostrea ueiruosai biengardé	-⌫----|-⌫---|--|-|---|-----|
que uosm auiezcomand é	--|--||----|------⌫-|
or l au rie z	-||--⌫---⌫|
desqueuosplaira	-----|--|-----|
a misdist ci lceseraia	-⌫--|---|--⌫|-|---|-|
enmon paismenueil aler	-|--|---||-|---|---|
s i l en uoudreiom e ip orter	-⌫||-|------||-⌫-⌫|-⌫----|
et cilco r t si	-|--|--⌫-⌫|-|
cistle prentqui grantioi eena	---|-|----|--|----|---⌫|-||
delamaison	-|-|-----|
etlauielle	-|-|-----|
ets o ncompa ignon	-|-⌫-⌫|-----⌫----|
furenttui tl iequantilce uirent	-----|---⌫|-⌫-|----|-|-|-----|
eta presceluis en	-|-⌫---|----||-|
a uborgeis distrent quilirei en t	-⌫|------|-------|-|-|----⌫--⌫|
contre l escoffres	-----|-⌫-|------|
qu iueneient	--⌫|-------|
ont encontré	--|--------|
ont arrereouec elsm enez	--|-----|---|--|-⌫---|
ledie smea utricheorbal lierent	-|---⌫--|-⌫|-------|---⌫------|
queronques puisn	---|-----|---||
i repai re rent	|-----⌫--⌫---|
lefilzdec este dame	-|---|-|-⌫---|---|
dei t p artotalerboene fame	---⌫|-⌫-|--|---|----|---|
l esoeneng ien seit beneei t	-⌫|---|---⌫--|---|------⌫|
quer e n boenes	---|-⌫|-----|
usle despendeit	-|-|---------|
nest phi losoph e	|--|---⌫------⌫|
n ultants a ge	-⌫-|---|-⌫-⌫-|
sicomiepensenmon c orage	-|--|-|---|-|--|-⌫----|
quiplusso ltimen t engignast	--|---|--⌫------⌫|--------|
quec il so n auei rrecou rast	--|-⌫-|--⌫|----⌫|-----⌫---|
liphi losophe	-|---⌫------|
parleclergieque	--|-|------|--|
plusengign osnaturelment	---|------⌫-|----------|
qu enepuent estreautregent	--⌫|-|----|----|----|---|
parf eipe r ececui gebien	--|-⌫-|--⌫-⌫|-|--|-|---|
ormen distesaucunerien	-||-|-----|-----|---|
quaucunphilo s opheengig nast	-|----|-----⌫-⌫---|-----⌫---|
sigran t pr ofittornast	-|----⌫|--⌫---|------|
filzunprodomiadisestei t	---|-|-----|----|-----⌫|
quimoutgranten te ntemeteit	--|---|----|--⌫--⌫--|-----|
en atornerun	-|------|-|
soenmanage	---|-----|
quieste it desonheri tage	--|----⌫-|-|--|----⌫---|
qua nt il fu mortsi futsaisi	---⌫-|-|-|---|-|--|----|
un soen fizqu	-|---|--|-|
ila ueitnorri	-|-⌫---|----|
qui estei teirde la	--|-----⌫|--|-|-|
mesnule au trepossession	--|---|--⌫--|---------|
niremest d ontilpeustuiu re	||-----|-⌫--|-|----|---⌫-|
nequedemfort ertetdeliure	-------|---|--|-|------|
sigaa gnoute tconquereit	-|---⌫----|-⌫|---------|
cedont sauie	-|---|-|--|
gran t mes aisesoffrist	----⌫|---⌫---|-------|
ainz que i lsamaiso nu endist	----⌫--|-⌫|-|-----⌫|-⌫-----|
nelauoleita hom e uendre	-|-|-----||---⌫|-----|
iasei t ceq ue ilnaueitqueprendre	-|---⌫|-|-⌫-|-||----|--|------|
unriches hom a pres maneit	-|-----|--||---|-----|
quimoutg ran tenuie enauei t	--|---|-⌫---⌫|----|-|----⌫|
moutpar lachata st uolentiers	---|--||------⌫-|---------|
etgranm entidonastdeniers	-|-----⌫--||-----|------|
porla so ecreistreetes teindre	--|-|--⌫|-------|-|--⌫------|
mes cilneliu oleitp as uendre	--|--|-|-|-⌫----|-⌫-|-----|
ne fusthuemsis amis	-|---|---|--|---|
q uauendreli eust	-⌫||-----|-|---|
li rich eshomertangoissos	-|----⌫-|--|--|--------|
quim outen esteitcouei to s	--|-⌫--|-|-----|-----⌫--⌫|
por p ensa seique	---⌫-⌫---|--|--|
il querrei t	-|-------⌫|
aucun engie nsei lpoeit	----|-----⌫|-|-⌫|----|
p arqueiilaureitlacheison	-⌫-|---|-|-----||-------|
degeterledelameison	-|----|-|-|-|-----|
donc amisoileen	---||--|---|-|
di s toneal s	--⌫|------⌫|
lescinc enplietfist leals	--|---|----|-|---|----|
lesautr escincdemizlaissa	--|----⌫-|---|----|-----|
au u asle t uintsilipria	-|-⌫----⌫|---|-|-|---|
qu u n epartie lipresta st	-|-⌫-⌫|-----|-|------⌫-|
desamaiso n et li gar dast	-|-|-----⌫|-|-|---⌫---|
ce z d istoneals@@ensoncelier	--⌫|-⌫-|--------|-|--|-----|
desiqueoile fus t pluschier	------|---|---⌫|---|----|
querdesi lauoleit atendre	---|---|-|-----|------|
quemellorfuerlap e u stuendre	--|-----|---|-|-⌫-⌫-⌫-|-----|
e tporlaga rdelidor reit	-⌫|--|-|--⌫--|-|---⌫---|
tantde lsoencomme dreizsereit	---|--⌫|---|----|----|-----|
etplusoncore que reison	-|---|-----|--|-----|
uoudrei tli loer lamaison	-------⌫|-|---|-|-----|
n ou tnul mal	|--⌫|--|--|
uolentiersli a graanté	---------|-||-------|
ma i so nuneparti e	--⌫-⌫--⌫|--|-----⌫|
neso ut paslam aleueisdie	-|--⌫-|--|-|-⌫--|------|
delborgeisne latraison	--|------|-|-|------|
o uuer teli asamai son	-⌫----⌫-|-||-|---⌫--|
et c i li afetaporter	-|-⌫-⌫|||--|------|
le s dis toneal s	--⌫|--|------⌫|
por luigreue r	--|--|-----⌫|
auuasl etlesacomandez	-|----⌫-|--||-------|
amidist il	--|---|-|
or lesgardez	-|--|-----|
ilsunttuit plei n gardes	-|---|---|----⌫|-----|
et uolentiersaurezde l m ien	-|---------|----|--⌫|-⌫--|
siredistil	---|---|-|
lesclesprenez	--|---|-----|
etuos meismesles gardez	-|--|------|--|-----|
lir i cheshomli res pondi	-|-⌫-⌫---|--|-|---⌫----|
beaus am isn irapa s eissi	----|--⌫-||--|--⌫|----|
en uo sna poin tdetricherie	-|--⌫|||----⌫|-|--------|
bienet s ine nd ot mi e	---|-|-⌫||-⌫|-⌫-|--⌫|
queiapa ruosni	--|-|--⌫|--|||
perdrai ri en	------|--⌫-|
gesuosco man tgardezl esbien	|-|--|--⌫---⌫|-----|-⌫-|---|
cilfus inple nesapercut	--|-|-⌫----|-||------|
lestoneals en garderecut	--|------|-|----|----|
bien cuidoutme snertpas	---|------|--⌫||--|--|
quedoilefuss ent	--||---|----⌫--|
qua n tl ongu ementlesoutgarde z	---⌫-⌫|-⌫----⌫----|--|--|-----⌫|
liricheshom s estporpense z	-|-----|--||--|--------⌫|
que sonoilepoetbi enuend re	--|--|---|---|--⌫-|----⌫-|
niuole it orpas plus atendre	||----⌫-|-|--|---|------|
quere nlacon treeertbi en	---|-⌫|-|---⌫---|--|--⌫-|
porleuas letfistenu eier	--|-|---⌫--|---|---⌫---|
amisdis tilbi enest saison	---|---⌫|-|--⌫-|--|-----|
deso rma isque n osregardon	----⌫---⌫-|--|-⌫-|-------|
ano s treoilequer ilmest uis	|--⌫-⌫--|---|---|-||--|--|
que ilnes tor	--|-||--⌫|-|
passibien pris	--|-|---|---|
comiler t quan tgelu osballai	--|-|--⌫|----⌫|-||-⌫-|-----|
siredistil lescl esen ai	---|---|-|--|--⌫-|-|-|
quant uosplaira s i	----|--|-----|-⌫|
etuostre plai sir en f ereiz	-|-----|----⌫--|-|-⌫----|
ami sdis tiltui uendr as	---⌫|---⌫|-|-||-----⌫-|
onos et sinos	|--|-|-|--|
tonguerredon	--|--------|
ai eetdelameson	--⌫|-|-|-|----|
q uetun ou sasdesi i ci	-⌫-|-|-⌫--⌫|-|---|-⌫-|
presteel atoe	------|-⌫|--|
li richeshom	-|-----|--|
fuple i ndenuie	-|---⌫-⌫||----|
etdengienetde fel onnie	-||-----|-|-|---⌫----|
plusorsgenzos e iassen bl a	------|---||-⌫-⌫|-----⌫--⌫|
totdegreil im ena	--|-|--|-||-⌫--|
qua ntlauindrentsiremu erent	---⌫-||--------|-|----⌫----|
lesdistonealsetesgar derent	--|--|------|-|-----⌫-----|
lescinc enontt rouezt oz p lai ns	--|---|-|--|-⌫----|-⌫-|-⌫---⌫-|
meses autrescinc	--|-|-----|---|
enoutmains	-|--|----|
qu ercom ent ifu stcetr oué	--⌫-|---⌫--||--⌫-|-|--⌫---|
quionques niaueit esté	--|-----|||----|----|
demizifurentap ortez	----||-----|--⌫----|
et demizifurent trouez	-|----||-----|-----|
lir iche shomaapelez	-|-⌫----⌫|--||-----|
cels qu ili	---|-|-||
aueitamenez	----|-----|
seignorsdi stile nten dez	-------|--⌫-|-|-⌫----⌫--|
uezque lle auteetquel fe i	--|---⌫|--⌫---|-|---|--⌫|
ieaitrouu é encest uas al	-|-|-----⌫-|-|---|---⌫-|
quelenteneitporsi leal	--|--|-----|--|-|---|
parfeigrantlarr ecin	--|--|----|----⌫---|
quidecezcin c	--|-|--|---⌫|
tone als atrait	----⌫--||----|
oilequii ertmis	---|--||--|--|
et encor plusce mes taui s	-|----|---|-||--⌫|---⌫|
car parfeitozplain s	--|--|--|--|-----⌫|
le sbaill ai	--⌫|-----⌫-|
orgardez queie nferai	-|-----|--||-⌫|----|
chosenesaiquefai re	----|-|--|--|---⌫-|
mal estadi reet mal	--|--||--⌫-|-|--|
ilestm on plusprochein uei sin	-|--|-⌫-|---|-------|---⌫--|
messeieceillelarrecin	--|-|-|---|-|-------|
desqu e iustisesesaureit	-----⌫|------|-|------|
mon cors etmon	--|---|-|--|
chate l prend reit	-----⌫|-----⌫---|
etieseignor spa rf ein aic u re	-|-|-------⌫|--⌫|-⌫-||-|-⌫-⌫-|
dem etremenen auenture	-|-⌫---||-|-|-------|
ouli uaslet uousistounon	-|-|-----|------|-|--|
legetafors d elamais on	-|---|---|-⌫|-|----⌫-|
deuantiustise lamena	-----|------||----|
etdeson oileseclama	-|-|--|---|-|----|
distque par	---|--|--|
et que fel et le r re este it	-|--|--|-|--⌫-⌫-|----⌫-|
ci lf umale m ent entrepris	--⌫|-⌫|----⌫-⌫--|--------|
querpoureshom	---|-----|--|
noutquiu ousist porlui	|--|--|-⌫-----|--|--|
p orleriche ho mecor roc ier	-⌫-|-|----|--⌫-|---⌫---⌫--|
ne soutque faireennuleguise	-|---|--|----|-|---|----|
quetantpria la iustise	--|---|---|-|------|
iorde r espi t l i dona	--|-|-⌫----⌫|-⌫|---|
en l acite	-|-⌫|---|
ert se iornanz	--|--⌫------|
un sphilosophemoutuallan z	--⌫|---------|---|------⌫|
boensc lersert et de bone	----|-⌫---|--|-|-|---|
grantrecourier etgr ant aie	----|--------|-|--⌫--|--|
parl a citeen lui aue ient	--|-⌫|---|-|--|---⌫---|
c ilq uidesconse illéesteie nt	-⌫-|-⌫-|--------⌫----|------⌫-|
etpor ceertil apelez	-|--|-|--|-|-----|
desconf o rtez	-------⌫-⌫---|
totlepoplei ssilapelout	--|-|----|-⌫--||------|
porce qu eas	--|-|--⌫|-|
chaitisa idout	------|-⌫----|
c i stnesout a llo rsou a le r	-⌫-⌫-|-|---|-⌫---⌫-|-|-⌫--⌫|
aup hiloso pheala	-|-⌫------⌫--|--|
s iredistilp or dieumerci	-⌫--|---|-|-⌫-|---|----|
s eceue ir est	-⌫|-|--⌫-|--|
dete ique ceest ton mestier	-|--⌫|--|-|--|--|------|
des des conse i ll iez	--|---⌫-----⌫-⌫--⌫--|
cons eillier	----⌫------|
etpo rcee sttuapelez	-|--⌫|-|-⌫-|-|-----|
aie desdesconfortez	--|--|-----------|
deizt u pordieu	---|-⌫|--|---|
quercert ei enaigrantmestier	---|----⌫||-|-|----|------|
poramordi eu tec r i merci	--|---|--⌫-|-|-⌫-⌫|----|
queracusé	---|-----|
su itotissi	--⌫|--|---|
enautreliconta	-|----|-|----|
pr odomlide manda	--⌫---|-|--⌫----|
a torto ua dreit	|---|-⌫||----|
quede loi leacusez esteit	--|-||--⌫-|-----|-----|
liuasletsorsainzliiura	-|-----|--|----|-|---|
que ilnulescopesn	--|-|----|----||
liphil osophe	-|----⌫-----|
enoutpitie	-|--|----|
m out lac onfortéethaitié	-⌫--|||-⌫-------|-|------|
amidisti ln aies	--|---|-⌫||---|
dem ainertcome d izton	---⌫--|--|---|-⌫-|--|
seurementira sau plai	--------|---⌫|-|---|
dieu pl estiei serai	---|--⌫--|-||----|
ett a ueritesecorrai	-|-⌫|-----|-------|
l orfausete nui rai	-⌫-|------|---⌫--|
taparole me trassormai	-|-----|--⌫---|--|--|
etsi dieu plest	-|-|---|----|
ie tenfer ai qu it eue nir	-||-|---⌫-|--⌫--⌫|--⌫--|
etel spor trich ier res tenir	-|--⌫|--|-----⌫---⌫--|----|
liuas letfuaseurez	-|---⌫--|-|------|
lendemainest aupla ialez	|-------|--|-|---⌫|---|
e tlip hilosoph eiala	-⌫|-|-⌫--------⌫||--|
la iustis ebel l ap ela	-|------⌫|--||--⌫--|
tuit encontrelu iseleuerent	---|-------|--⌫|-|-------|
etcomme dreiz	-|----|----|
ertle norerent	--||-⌫-------|
lir iches hom fu ape l ez	-|-⌫----|--|-|---⌫-⌫-|
etcil qui esteit	-|--|--|-----|
seignorsdist laiustise or dites	-------|---|-|------|-|----|
etsiuo sorracisthermites	-|-|--⌫|---|---|-------|
quiplusseitque nosnesa uon	--|---|---|--|--|-|--⌫--|
etiugera selonc rai son	-|-----|-----|---⌫--|
liricheshom cont a soncon te	-|-----|--|----⌫|--|---⌫-|
li uas l et	-|---⌫-⌫-|
o ut po orethonte	-⌫-|--⌫-|-|----|
liphilo sop helesgarda	-|-----⌫---⌫-||------|
uersl a iusti sesetorna	---|-⌫|-----⌫-|-|----|
o ianttozli a demandé	-⌫---|--|-||-------|
sen querreen ue utlauerite	|--⌫-----|-|--⌫-|-|-----|
respo ntla	-----⌫-|-|
mienu oelen	---|-⌫--|-|
sereit ele	-----|--|
enquierlasireatontalent	------|-|---||--|-----|
puisseitsortei deliu gement	---|---|--|--|--|--⌫-----|
l i philosop hearespondu	-⌫|--------⌫-||-------|
orseien t li to nelueu	-|-----⌫|-|--⌫--|--|
faites lesnosc i aporter	-----|--|--|-⌫|------|
e tsi snosfa itesmesurer	-⌫|-||--|--⌫---|------|
icezcinct on eals	---|---|-⌫--⌫---|
quecisttroua	--|---|----|
plei nsetleals	----⌫-|-|----|
apresreferonme sur er	----|------|--⌫---⌫-|
etlespesoil e e t	-||----|---⌫|-⌫|
qu ienicelcinc ie rt	--⌫|-|---|---|--⌫-|
estreemblez	----|-----|
etquant nosmesurélauron	-|----|--|------||----|
se ceestq ue nostrueisson	-|-|--|-⌫-|--|--------|
tout a u tretant	---|-⌫-⌫------|
come esautrescinc	---|-|-----|---|
qu ipl eins suntidonc nedo tez	--⌫|--⌫---|---|----|-|--⌫--|
qu e li o ilesneseit emblez	--⌫|-|-⌫---|-|---|-----|
et se nos atantenuenon	-|-|--|----|-|----|
q uede lespes oilepuiss on	-⌫-|-||----|---|-----⌫-|
mo ut mei ns en icels cinc trouer	--⌫-|---⌫-|-|----|---|-----|
selonclaquan tite de l cler	-----|-|----⌫---|--⌫|---|
doncsachiezsineld otezm ie	---|------|-|-||-⌫---|-⌫-|
quecistdemande tricherie	--|---|------|--------|
nequepointdoile	-|--|----||---|
ne nendeitestre respondu	-||-|---|----|-------|
ciloiren t le iugemen t	--|-----⌫|-|-------⌫|
etuir entt otapertem e nt	-|---⌫--|-⌫-|-------⌫-⌫-|
t ot di seituerite	-⌫-|--⌫---|-----|
ertgrantleaute	--|----|-----|
doncfist laius tise aporter	---|---|-|---⌫---|------|
lesdistonealset mesurer	--|--|------|-|------|
con eue fula uei sdie	---⌫--|-|-|---⌫---|
h omeetla tricherie	-⌫--|-|-|--------|
mercidoné	----|----|
qu atortes te it	-||---|--⌫--⌫-|
liu asletquite sen ala	-|-⌫----|----||-|--|
lephilosophemercia	-|---------|-----|
quisibeletsi bienlaue it	--|-|--|-|-|---||---⌫-|
gete ́delblasmeou	----⌫|--|-----|-|
liphilosop he liadit	-|--------⌫-|-||--|
amisilestescri t	---|-|--|-----⌫|
quequima isondeitacha te r	--|--|--⌫---|---|----⌫--⌫|
quetotauant	--|--|----|
d eitespro uer	-⌫--|-----⌫--|
etsaueirbienqu els	-|-----|---|--⌫--|
sonu eisin qui	--|-⌫----|--|
apresmaindra	----|------|
sire distcilce est	---|---|--|-|--|
mai sain z e umesla mais o n	---⌫|---⌫|-⌫---|-|----⌫-⌫|
q uecistma insisteluei sine	-⌫-|---|--⌫-----|-|---⌫---|
b ea lfrereetil estcomand é	-⌫--⌫|----|-|-|--|------⌫-|
quelenla ue ndetot enfin	--|--|-|--⌫--|--|----|
ainzq ue maign e	-----⌫-|-----⌫|
p r es tel	-⌫-⌫-|--|
ce d is tli	-|-⌫--⌫|-|
fiz mo utert uallanz	--|--⌫-|--|------|
li philosopheet sauanz	-|---------|-|-----|
e tp arra isonertapel e z	-⌫|-⌫-|--⌫---|--|----⌫-⌫|
aiedesdesconfortez	--|--|-----------|
on quorte ueilc onter	--⌫---|-|---|-⌫----|
dun autre d ontoi par ler	|-|----|-⌫--|-|---⌫--|
q uipar grantsens	-⌫-|--|----|---|
refista u eir	-----|-⌫-⌫--|
au npourehomesonau e ir	|-⌫|----|---|--|--⌫-⌫-|
unsricheshuemiadis estei t	--|-----|---|----|-----⌫|
qui d edenz un	--|-⌫----|-|
sa cmis aueit	--⌫|--|----|
milbesanzdorqueilporto ut	--|-----||-|--|-|-----⌫-|
aunchas telouilalout	|-|----⌫--|-|-|----|
m etrel e suoleitentre s or	-⌫---|-⌫-⌫|-----|-|---⌫-⌫-|
etunserpen t	-|-|------⌫|
mo u t beltot	--⌫-⌫|--|--|
aueitmis oue cle sbesanz	----|--|---⌫|--⌫|-----|
dont l isasestei t plus	---|-⌫|--|-----⌫|---|
maluesementl	----------||
aueit tro ssé	----|---⌫---|
silaenla ua ie	-|||-|-|--⌫-|
mes nesout ou	--|-|---|-|
unspoures hu emi trespassa	--|-----|--⌫-||--------|
t roue ́ lasil	-⌫----⌫|||-||
etasafamela liuré	-||-|---|||-----|
si redi steleorle gard on	--⌫-|--⌫-|--|-|-|----⌫-|
quantdiexnos enafait	----|---|--|-||---|
quiensaue itnostre mestier	--|-|----⌫-|-----|------|
lui enp uissonnos gracier	--|-|-⌫-----|--|------|
q ua ntli richeshom	-⌫--⌫-|-|-----|--|
isnel menta u preuo st corut	-----⌫---|-⌫|-----⌫-|----|
crierli fistparlacit e	----|-|---|--|-|---⌫|
quequicelsacaureittroué	--|--|--|--|-----|-----|
queille rende sanzforfait	--|-|-|----|---|------|
san zac heison et sin ait	---⌫|--⌫-----|-|-||--|
m out uol enti ers e t d eboe n	-⌫--|---⌫----⌫--|-⌫|-⌫|---⌫|
ce ntbesanz por sa charite	--⌫-|-----|--|-|------|
quantciltroue zle s	----|--|-----⌫|--⌫|
oiquecent besanzaureit	-|--|---|-----|-----|
por rendrel esm outsenfist lie	--|-----|-⌫-|-⌫--||-|---|--|
quetantenau reitsanz pechie	--|---|-|--⌫---|---|-----|
fa meenala	--⌫-|-|--|
mes e l n el uout p as graan ter	--|-⌫|-⌫||---|-⌫-|-----⌫--|
siredist elgrantt ortauez	---|---|-|----|-⌫--|---|
dexl enosd onace	--|-⌫|--|-⌫--|-|
pla isi r damedieufust	---⌫---⌫|-------|---|
que cilqui	--|--|--|
perd i le seust	----⌫|--⌫|---|
neseustnientadirez	|-|---|----|-----|
neuos n es eussieztr ouez	-|--||-|------|--⌫---|
dam e dist	---⌫|---|
ferontelfelonni e	----|--|-------⌫|
iasi grant pechi e neferon	-|-|----|-----⌫|-|----|
quel au trui au eirretenon	--||--⌫---|--⌫--|------|
secentbesanz poonaueir	-|---|-----|---|----|
sanz pechiecesaciezde ueir	---|-----|-|-----|-|---|
miez nosuaudron t	---|--|-------⌫|
que neferei ent	--|-|-----⌫--|
lesmilse il nosre man eient	--|--|-|-|--|--⌫---⌫----|
comu o sreteni r	--|-⌫-⌫|------⌫|
ne pl acedieu alezalez	-|--⌫--|---|---|---|
balli e zlesmeietsi	-----⌫-⌫|--|--|-|-|
etcentsanzpechi eenau ron	-|---|---|-----⌫|-|--⌫--|
celesecomme nceadesuer	---|-|-----⌫--||-----|
et cilsecommence	-|--|-|-------|
non lia liur ez	--|-||----⌫-|
etc illespr entsi saportez	-|-⌫-|--|--⌫--|-|||-----|
a upreuost tot ueantla gent	-⌫|------|--|----|-|---|
deman délessuens	-----⌫--|--|----|
liricheshomlesaco n tez	-|-----|--|--||--⌫-⌫--|
quantiloute stéapel ez	----|-|--|-⌫---|----⌫-|
toz lesi troua lealment	--|--||----|-------|
e nterin so ns erpent	-⌫-----|--⌫|-⌫-----|
liez fudeceq ue lau eirout	---|-|-|-|-⌫-||--⌫--|--|
mesestrangement	--|-----------|
desce n t queaueiren deueit	--|--⌫-⌫|--|----|-|-----|
lesautre sli r endeit	--|-----⌫|-|-⌫-----|
porpe nsasei	-----⌫--|--|
qu i lli toudre it	-|-⌫|-|------⌫-|
p araucunengiensilpoeit	-⌫-|----|-----||-|----|
l ipoure sh omli	-⌫|-----⌫|-⌫-|-|
et cilsestutsil esgarda	-|--||----|-||------|
amisdistilmoutas bien fait	---|---|-|---|-|---|---|
quetant nosenas	--|---|--|-|-|
a uant trait	-⌫---|----|
le sorplu spuisa uras	-|------⌫|---|-⌫---|
tescentbesanzian ifaudras	--|---|-----|-|||------|
s eignorsdi stilsachie zdeu eir	-⌫------|--⌫-|-|------⌫|-|-⌫--|
naipastot mon aueir	|-|--|--|--|----|
te lserpenten	--⌫|------|-|
quigraindesestet quimielz uaut	--|-------|--|-|--|----|---|
quenefe tcistquilm	--|-|--⌫|---|-|-||
legrai gnorenaretenu	-|----⌫---|-||-----|
qu antl ipoures	--⌫--|-⌫|-----|
h omlentendi	-⌫-||------|
s eignorsd ist	-⌫------|-⌫--|
ilpordieumerci	-|--|---|----|
s i maitdexplus n	-⌫||--|--|---||
cesa chiezque renduli ai	-|--⌫----|--|----|-|-|
lipoures homs	-|-----|--||
es condiseit	--⌫--------|
etiur outetse maldisei t	-|---⌫--|-|-|--------⌫|
queiln ia ueitplu s troué	--|-|||-⌫---|---⌫|-----|
et ilse diseituerite	-|-|-|-----|-----|
mesq uichaleita sseztrouuout	--|-⌫-|------|-⌫---|-------|
quilai d isseitet	--|---⌫-⌫-----|-|
t uitol erichese	-⌫--||-⌫|----|-|
etlipour e	-|-|----⌫|
home ladis seie nt	---|-----⌫----⌫-|
quercostume est et	---|------|--|-|
tozdisquelen	--|--|--|--|
h etpourete	-⌫-|------|
e tqu ericheceestsoha ucee	-⌫|--⌫|------|--|----⌫---|
et poureteparto t	-|------|--|--⌫|
mout ontlepou re e sboé	---|--|-|---⌫-|-⌫----|
deuant iust iselont mene ́	-----|----⌫--||--|----⌫|
laiustis emultlacusa	-|------⌫|---||----|
moutle destre intetma neca	---|-|------⌫--|-|--⌫---|
lipoures homl escond iseit	-|-----|--||------⌫----|
mais quichautrien	---|--|----|---|
neliualeit	-|-|-----|
n a ueit qu iliuousist aidier	|-⌫---|--⌫|-|------|-----|
nequipor l uios astplaidier	-|--|--|-⌫-|--⌫--|-------|
tantfulaparoleesme ue	---|-|-|-----|----⌫-|
quedeuantle rei	--|-----|-|--|
estue nu e	--|--⌫--⌫|
lireism andaala iu s tise	-|---|-⌫---||-|--⌫-⌫---|
q uece l epar olefustmise	-⌫-|--⌫-⌫|---⌫--|---|---|
deuant luiqueroiruoleit	-----|--|---|--|-----|
quin eit le tortetquil e dreit	--||--|-|---|-|--|-⌫|----|
la iustise li amené	-|------|-||----|
l acuseo r	|------⌫|
ettot laue irifistporter	-|--||---⌫-||---|-----|
