chiconmenche	--|--------|
lisains h om auoitestoreeto utaussi	-|----|-⌫-|----|------|--⌫-|----|
ilf u ste ncoreenuieat oute	-|-⌫-⌫-|-⌫----|-|--||-⌫---|
secoteetsecoulee t bien	-|---|-|-|----|-⌫|---|
saich iés quil	-----⌫---|-|-|
f lairoitaussisouefconme silfuste noins	-⌫------|----|----|----||-|---|-⌫----|
deprecie us ongnemens fais etconfis	-|------⌫-|--------|---|-|-----|
de precie usesespeces	-|------⌫---|------|
etcene uosdoiie	-|-|-|--|--|-|
mietairechemesemblequeconstancie	--|----|--|-|-----|--|---------|
les ainte fememorut	-|-⌫----|---|----|
tantostquele	--------|--|
quelicorssain shyla irese s toit	--|-|---|----⌫|----⌫---|-⌫-⌫---|
p orté se npalestin ecarele auoi t	-⌫-----⌫|-⌫|--------⌫|--|--|----⌫|
sigrantamore n luiquel e	-|----|---|-⌫|--|-|--⌫|
molt souuenta sesepultur e et dusca	---|------||-|--------⌫|-|---||
huicestior	--|---|--|
grant estrifentre	----|-----|----|
egyp tee t chiausdepale s tine	----⌫-|-⌫|-----|-|----⌫-⌫---|
delcor ssainthylairecar	--|---⌫|----|------|--|
depalestin e dientque ses corsest en	-|--------⌫|----|--|--|---|--|-|
lo rpaisetcilde	--⌫|---|-|--|-|
cypred ientque sesespri s	----|-⌫---|--|--|-----⌫|
e st enlorcontr eecaril	-⌫-|-|--|-----⌫-|--|-|
cyprequepalesti ne	----|--|-------⌫-|
sico nme ile n fist	-|--⌫--|-|-⌫|---|
apa rancheet	---⌫-----|-|
neporq antencore en t enchent	------⌫--|-----|-|-⌫------|
il e testr iu ententriausen te l	-|-⌫|----⌫--⌫--|---|---|-|--⌫|
m anieremaintbelmi rac leetmaint	-⌫-----|----|--|--⌫---⌫-|-|----|
signeauie nentcascuniourparl e	----|----⌫---|-----|---|--|-⌫|
saint h ome et e nl	----|-⌫--|-|-⌫||
unepartieet en	--|-----|-|-|
partiema isplusen a uienent	-----|--⌫-|---|-|-⌫------|
para u entureencypr ela ou il fu	--|-⌫-⌫-----|-|----⌫|-|-|-|-|
prem i ersens e uelis caril amaplus	----⌫-⌫--|---⌫-⌫----|--|-|--|---|
c he lliusi commoisamble	-⌫--⌫|--|-|--|--|-----|
trespassa li	--------|-|
sain shomdec este mortel	----⌫|--|-|-⌫---|-----|
u ie e t fuportésses esprisen	-⌫-|-⌫|-|------|--|-----|-|
parmanableo ud e us nousu ue lle	---------|-⌫|-⌫-⌫-|---|-⌫--⌫--|
tousm etrepar sado uchouretpar	---|-⌫---|--|-|--⌫-----|-|--|
s emiseric orde	-⌫|-------⌫---|
