dieu n ostre	---|-⌫----|
e tc ilrepon e nt cist afere	-⌫|-⌫-|-----⌫-⌫-|---|----|
mieneu osotroier o n	--|-|-⌫-|-------⌫-⌫|
seus nostrechartreiron	---|-----|---|------|
nosl a uonenp ris	--||-⌫--|---⌫--|
neuolo npasestre repris	-|----⌫|--|----|-----|
peti td auan tag e	----⌫||----⌫---⌫|
perd einnostrepelerinage	----⌫--|-----|---------|
deuostr euosm ercion	-|-----⌫|--|-⌫-----|
ciluirentlad e uo cion	--|-----|-|-⌫-⌫--⌫---|
despellerinsquilas estoient	--|--------|--|--|-------|
etleuraie refuso ient	-|---|--|------⌫---|
a gra ntbesoi gnq u i lont ueu	|---⌫-|-----⌫-|-⌫|-⌫|--|--|
de pitie en son tesmeu	-|----|-|---⌫|----|
e t dole ntq uisontescondi t	-⌫|----⌫-|-⌫||---|-------⌫|
aupelerins dechiefontdit	-|-------|-|----|--|--|
sei g neursquantprendre ne	---⌫-⌫----|----|------|-|
da ign iez	--⌫---⌫--|
nos tre aieau	---⌫--|--|-|
mein spreig nie z	----⌫|-----⌫---⌫|
unautredonpar cortaisie	-|----|--|--|--------|
untoniaudebon uinsus	-|-----|-|--|--|--|
por uos seisesteindre	--|--|---|--------|
c om uousneuososéspaspleindre	-⌫-|---|-|--|----|--|-------|
mesauchautqu	--|-|----|-|
aué sleueon	----⌫|-|---|
c estuidonpasne	-⌫----|--|--|-|
peleri n biauseigno r	------⌫|---|------⌫|
dou uinn ossaur onsuosgreignor	--|--|-⌫-|----⌫--|--|-------|
greuoi rquedenul autredon	--|---⌫|--|-|--|----|--|
cil doupuisattou td un ran don	--|--|-----|---⌫||-|---⌫--|
enc orurent	-|-⌫------|
un t oniaudebonuinesluren t	-|-⌫----|-|--|--|-------⌫|
sentreitrent	|-|--------|
aioie etm enerent	|---|-|-⌫------|
etaupelerinsled onner ent	-|-|-------|-|-⌫-----⌫--|
quimou lt ensont	--|---⌫-|-|---|
esleesci é	--------⌫-|
le tonnel ontt antout	-|-----|--|-⌫-----|
detre setencoste	-----⌫|-|------|
etd esescherpe c ha scunoste	-|-⌫||-------|-⌫--⌫---|---|
so nh ennap dequeq ue ilfust	--⌫|-⌫----|-|----⌫-|-|---|
demadreoudefust	-|----|-|-|---|
uoir r e ous oitdeterre	----⌫-⌫|-|-⌫--|-|----|
telc ommeillotsans autrequerre	--|-⌫---|-||-|---|----|-----|
cha scun sonhennap defortrei t	---⌫---|--|-----|----|----⌫|
souentesfoize tagrant treit	-------|---|-⌫||----|----|
douu inquila uoienttant chier	--|-⌫-|-|-|-⌫-----|---|----|
leursoif es tanchier	---|---|--⌫-------|
agrantioie etgra ntleesce	|----|---|-|---⌫-|-----|
sansgarder o rdrene riche sce	---|-----|-⌫---|-|-----⌫--|
bur enttret uitcommunement	---⌫--|----⌫--|----------|
leuinquileursemb loitpigme nt	-|--|--|---|----⌫---|-----⌫-|
t antestoitcler et	-⌫--|-----|---|-|
au bouireont	-|-----|--|
le uin burentdusqua lalie	-|--|-----|----||-|--|
et decelle unegrantpartie	-|-|----|--|----|-----|
n erentpas e nnoi é	|----|--|-⌫----⌫-|
etqu ant li tonn eausfuuoié	-|--⌫--|-|----⌫---|-|----|
lidoisi zou tonniauremi strent	-|-----⌫|-|------|----⌫-----|
etlesbene ist rent	-|--|----⌫---⌫---|
deleurdone t les	-|---|--|-⌫|--|
mercierent	---------|
ademmedeulescommander ent	|-------|--|---------⌫--|
d eusse partir entait an t	|--|-|------⌫--||--⌫--⌫|
detreire leurchar esplo itant	-|-----|---|---|-----⌫----|
quantmisse furentala uoie	----|--|-|-----||-|---|
dexquit ozbie ns	--|--|-⌫-|---⌫-|
mostrail l ecapertement	-----|--⌫-⌫-|---------|
biaumirac l ea l	---|-----⌫-⌫|||
essa uce ment	----⌫---⌫---|
desadou ce	-|-|---⌫-|
cildex quito ut	--|--|--|--⌫-|
aen bai llie	|-|---⌫---|
liroispoissanz de paradi s	-|---|-------|-|------⌫|
q uicortois mirac lesiad i s	-⌫-|------|-----⌫--|---⌫-⌫|
fi stalapourefame	--⌫-||-|----|---|
sicom en es critie	-|--|-|--⌫---|-|
le t rueue	-|-⌫----|
un pou qu otduille etdefarine	-|--|-|-||----|-|-|-----|
donn ala fame en	----⌫|-|---|-|
seintprophete	----|-------|
g outeduille n	-⌫---||----||
enfudef feite	-|-|---⌫----|
ne la farine descr eue	-|-|-----|-----⌫--|
cedoitestr e chosecreue	-|---|----⌫|----|----|
cardexs on bien	--|--|-⌫-|---|
lifo isonna	-|--⌫-----|
porceq uepor	--|-|-⌫-|--|
deu la donna	--|-|----|
la preudefam e	-|-----|---⌫|
e nd ieubiencrut	-⌫|-⌫--|---|---|
cepou que l ot pointne	-|--|-|-⌫|-|----|-|
ainzot assezcetruis ouliur e	---|-|----|-|----|-|----⌫|
aleetason enfantuiure	|-|-||--|-----|----|
l i to nniaus uu iz	-⌫|--⌫-----|--⌫-|
rempli de uin	-----|-|--|
decequotesté espuisié	-|-|-|-|----|--------|
n e fu derien	-⌫|-|-|---|
amenu isi é	-----⌫---⌫-|
car de p ardieu fu	--|-|-⌫-|---|-|
uin oren tdonné	--|----⌫|-----|
cuidoie nt poruoir sa nsd oute	-------⌫-|--|---|--⌫-|-⌫---|
toniauneust de uin goute	-----||---|-|--|----|
uuit lecuidoien tetlegier	---|-|--------⌫|-|-----|
trousserleu o ud rent	-------|-|-⌫-⌫--⌫---|
etchargier	-|-------|
mes trople sen tirentpeser	--|---|-|---⌫-----|----|
cep otmoultaceluipeser	-|-⌫-|----||----|----|
quitousseul s porter lecuidoit	--|---|----⌫|-----|-|------|
tuit seme ru eilliere nt que doit	---|-|--⌫--⌫--------⌫-|--|---|
quoutonnel asipesantcharge	-|-|-----||-|-----|-----|
carlabo uc heq uiestoit	--|-|--⌫--⌫-|-⌫-|-----|
dedensletonni aure garderent	-----|-|-----⌫-|--⌫--------|
pleinetseuro ndant letrouerent	----|-|-----⌫----|-|--------|
clerfort etodorable	---|---|-|-------|
cefu biencho se	-|-|---|---⌫-|
meru eillable	----⌫-------|
etmiracl ebienaparant	-|------⌫|---|------|
leuinsentirent plusfla rant	-|--|--------|---|---⌫---|
soefq uebasmeneque rou se	---|-⌫-|----|-|--|---⌫-|
biensorentquedexceste chose	---|-----|--|--|----|----|
ot f et parcelsquilec harmeinnent	-|-⌫-|--|---|--|-|-⌫--|-------|
l orslesrapellentet a teinent	-⌫--|--|--------|-|-⌫------|
porretorn eretporuoair	--|------⌫-|-|--|----|
commentdexset	------|--|--|
bi enporuoa ir	--⌫-|------⌫-|
mere seru en t	---|----⌫--⌫|
et qu e lloier ile n de seru ent	-|--⌫-⌫|----|-|-⌫|--⌫----⌫--|
l i pelerin tornentarriere	-⌫|------|------|------|
cildo p uis atalieech iere	--|-|-⌫---⌫-||---|--⌫---|
distre ntseigneursuee zm erueille	------⌫-|--------|---⌫|-⌫-------|
sigrant que o nqu ess a	-|----|--|-⌫---⌫-|-⌫|
enuostreuieneueistes	-|-----|--|-|------|
quedexafet po ruos	--|--||--|--⌫|--|
porleui n qu e auésbeu	--|-|--⌫|--⌫|----|--|
nouui auuin est s orset cre u	-----⌫-|--|--|-⌫--|-|---⌫|
mesne crutpase ncep	--|-|---|--|-⌫|--|
cardex quito z b iensfetaligne	--|--|--|--⌫|-⌫---|--||----|
le uin nous ado uciel donné	-|--|---||--⌫|---|-----|
qu iln est par homm e entonné	-|-||--|--|----⌫|-------|
dexlapa r s agrace enuoié	--|||--⌫|-⌫|----|------|
o uton neauqu a uiésuoie ́	-⌫|---⌫---|-|-⌫----|----⌫|
quantcilmira cle espertuirent	----|--|----⌫--|-----|-----|
tuitensemb l e grantioiefirent	---|------⌫-⌫|----|---|-----|
dex et sa mere mercierent	--|-|-|---|---------|
domsein tu in treistrent ettastere nt	--|----⌫|-⌫-|---------|-|-------⌫-|
etbur e ntnon	-|---⌫-⌫-|--|
pas gl outemen t	--|--⌫-------⌫|
co morent fetpremi er ement	--⌫|----|--|-----⌫--⌫----|
mescomm euinseintefi é	--|----⌫|--|--------⌫-|
com sefussentcommunié	--|-|------|--------|
ce uins entirent	-|--|-⌫-------|
d arr enier s	-⌫---⌫-----⌫|
mielleursasse zq ue	--------|----⌫|-⌫-|
lep remiers	-|-⌫------|
la couleuruoi entbelle	-|------|---⌫--|----|
nitr oeue n t	||--⌫----⌫-⌫|
passauo rem mere	--|----⌫|--⌫---|
etsauor ee et s ade	-|-----⌫-|-|-⌫--|
douse in t uinn ertaucunmalade	--|--⌫--⌫|--||--|----|-----|
qu a nt le c o ullen	--⌫-⌫-|-|-⌫-⌫--|-|
orentpassé	----|-----|
furent garietrespassé	-----|---|-|--------|
demei ntegr ieueenferme te	-|---⌫--|--⌫---|-------⌫-|
pl uslebeuoientpo r san te	--⌫-|-|-------|--⌫|---⌫-|
q ueporsoifneporg loto nnie	-⌫-|--|---|-|--|-⌫----⌫---|
le pueple depeuiersme rcie	-|-----|-|------|--⌫---|
sa mere glorieuse	-|---|--------|
qui poreuso euureuertueu se	--|--|--|-⌫----|-------⌫-|
apertem entout demontree	-------⌫--|--|--------|
plus quedeuanton t leu r pe nsee	---|--|-----|--⌫|---⌫|--⌫---|
enladoucedameseruir	-|-|----|---|-----|
porsagr ace	--|-|--⌫--|
m eul z deseruir	-⌫---⌫|-------|
aucharse pristrent	-|---|-|--------|
porleurb esoigne	--|---|-⌫------|
treireachie f	-----||----⌫|
si comi ll o re ntcommenciee	-|--|-⌫||-⌫--⌫-|---------|
tantleuruoie auanciee	---|---|---|-------|
qu achartres	-||-------|
uindre n t agrant ioie	------⌫-⌫||----|---|
cequi leura uint en la uoie	-|--|---|-⌫---|-|-|---|
c onte re ntsanzaiouter fable	-⌫----⌫--⌫-|---|------|----|
parbon te smoig etueritable	--|--|--⌫----|-|--------|
leur offrendeshumblem entf irent	---|--------|-------⌫--|-⌫----|
aladame gracesredi ren t	|-|---|-----|----⌫---⌫|
qui mere est	--|---|--|
a son criator	|--|------|
puisf irentapeuiers retor	---|-⌫----||------|----|
enceme is mes	-|-|--⌫--⌫--|
biau miraclequidedieuuint	---|------|--|-|---|---|
e tdesameredebo naire	-⌫|-|-|---|----⌫----|
porsig li se de	--||--⌫--⌫-|-|
chartresfer e	-------|---⌫|
etporce quegeseideuoir	-|--|-|--|-|--|-|---|
le uosuoil lge	-|--|----⌫|-|
ferea sauoir	---||-----|
c ariaparmoin	-⌫-|-|--|--||
er t c housedite	--⌫|-⌫----|---|
secenestu erite	-|-||--|-⌫----|
ensiure uoill les escriture s	------|----|--|---------⌫|
genecontpas	-|-|---|--|
lesauentu res	--|------⌫--|
degauuainnede	-|------|-|-|
cist fez auge n sd e	---|--|-|--⌫-⌫|-⌫|
auint que geuos u oi llconter	----|--|-|--|-⌫--⌫-|-----|
seiluos plest ia ecouter	-|-|--|----|-|------|
de bonne ualuersc hetiaudun	-|-----⌫--|---|-⌫--------|
lesgens pristrentleurconseildun	--|---|--------|---|------||-|
leur char fer e etsil efi rent	---|---|---⌫|-|-|-⌫|--⌫---|
deuiu e ch auz	-|---⌫|--⌫--|
grans sasempl iren t	----|--|----⌫----⌫|
et desusle ur cha r le strouserent	-|----|--⌫-|---⌫|--⌫|---------|
a loeurea chartres lemenerent	||----||-------|-|-------|
commepreuzet commesene	----|----|-|----|---|
leurcharporentatantmené	---|---|-----|----|----|
quidessascha usestoit	--|--|--|---⌫-|-----|
qui enmi les chans	-||---|--|----|
furent plein	-----|----|
detoutesuil les esloignié	-|-----|---⌫--|---------|
plusquenel eur fustbesoignié	---|--|-|-⌫--|---|---------|
q uantpie ce	-⌫---|---⌫-|
orentb i au tenseu	----|-⌫-⌫-|---|-|
enpr esle biau tens	----⌫-|-|---|---|
le tenstroubleretocurcir	-|---|-------|-|------|
e tl eirespoiss ier et	-⌫||--|-------⌫--|-|
deneir es nueset h ideus es	-|----⌫-|---|-|-⌫-----⌫-|
troublesespesses	-------|-------|
etplu euses	-|---⌫----|
sicom mencasichargemment	-|---⌫----|-|----------|
espessement	----------|
s eu rausa	-⌫--⌫|--||
uerseretpl ouoir	-----|-|--⌫----|
quilleur conuint par e stouoir	-|-|---|------|--|-⌫------|
lessiercollierc ha retcha abl e	------|------|-⌫--⌫|-|---⌫---⌫|
cartantert la pluiechar gable	--|---|--|-|----|----⌫----|
qu etuit ense mbl e senfoirent	--⌫|---|----⌫---⌫||--------|
etlao upor entsetap irent	-|-|-⌫|---⌫--|-|---⌫----|
commees bahi e tes perd u	----|--⌫---|-⌫|--⌫----⌫|
toutquiderent auoirp erdu	---|--------|----|-⌫---|
qu antq ue dedens	--⌫----⌫-|-----|
enp re sfu	---⌫--⌫|-|
li ers descouuert	-|--|---------|
etchaila pl uie	-|---|-|--⌫--|
libiaut ensqu i pa s	-|---|-⌫--|--⌫|--⌫|
nem ennuie	-||-----|
ciluienn e ntaleur	--|-----⌫-⌫-||---|
char arrie re	---|-----⌫-|
le troeue nt entelmaniere	-|------⌫-|-|--|------|
comm e deuantlessiélauoient	----⌫|-----|------||------|
me s unegrant merueilleuoient	--⌫|--|----|--------|-----|
quege uos conttretoutporuoir	--|-|--|---|------|--|---|
troisfoizuirent lechar	----|---|-----|-|---|
d unleuenautresa nst ouc hier	|-|--|-|----|--⌫-|-⌫---⌫---|
uontp lus presappro c hi er	---|-⌫--|---|-----⌫-⌫--⌫-|
si uoien tune a utre auen ture	-|-----⌫|--|-⌫---|----⌫---|
lessa stouz	--|--⌫|---|
seins sansmoilleure	----|---|--------|
q u unfi ldeiue nifu cheu	-⌫|-|--⌫||---|||-|---|
nequel sonquesne ust	-|---||-----||-⌫--|
dex quitotpuetler oicelestr e	--|--|--|---|-|-⌫-|-------⌫|
quida ignade	--|--⌫---|-|
lauirge nestre	-|----|-----|
entel ma niere	-|--|--⌫----|
et entel gu ise	-|-|--|--⌫--|
l enfant er	|------⌫-|
ne fumaumis e	-|-|------⌫|
gardales dons de stremaumis	----|--|---||-⌫---|-----|
quiauoiente stépromis	--|------|-⌫---|-----|
asadoucemere	|-|----|---|
mo illiés ni fu rent	--⌫------|||--⌫---|
mes seinscoms eussentesté	--|----|--||------|----|
au solleil tou t	-|------|---⌫|
letemps deste	-|----||---|
latierceu e r tu	-|-----|-⌫-⌫-⌫-|
a dexf eite	|--|-⌫---|
dunef a me q uiert	|--|-⌫-⌫-|-⌫-|--|
con treite	---⌫-----|
passéauoi tunanentier	-----|----⌫|-|-|-----|
quepar uoienepar s entier	--|--|---|-|--|-⌫-----|
n es toituenuenealee	|--⌫---|----|-|---|
desusl e char estoittroussee	----|-⌫|---|-----|-------|
quea ler nepotneuenir	--|-⌫--|-|--|-|----|
maisdexpar samereyouura	---|--|--|-|---||----|
car lacontreite	--|-|--------|
re couu ra	--⌫----⌫-|
safo rce e ts ifuredreciee	-|--⌫--|-⌫|-⌫|-|--------|
d o melf umoul telees ciee	-⌫-⌫|-|-⌫|----⌫|-----⌫---|
quanttouz c estroism iraclesuirent	----|---|-⌫-|----|-⌫------|-----|
li pelerin	-|------|
mo u lt s esioirent	--⌫-⌫-||--------|
dieuetsa mereenmercierent	---|-|-|---|-|---------|
l eur b esoigneparacheuere nt	-⌫--|-⌫------|-----------⌫-|
quant orentl eurob la cion	----|----|-⌫--|--⌫--⌫---|
feite a chartreset leurpri eres	----||-------|-|---|---⌫---|
s isenretornerentarrieres	-⌫||-|----------|-------|
u n a utre fetuos	-⌫|-⌫---|--|--|
uoill descrire	----|-------|
mescen estpa sde la matire	--|-||--|--⌫|-|-|-----|
nederol en snede paris	-|-|---⌫--⌫|-|-|----|
a pa le is e uldelez	|--⌫--⌫--⌫-⌫-|----|
lanobleetla reau cite	-|----|-|-|---|---|
auintlefetpor ue rite	----|-|--|--|--⌫---|
uo ycia menteu	--⌫|-|-⌫-----|
pase streteu	--|-⌫---|--|
non serail	--|---|-|
seonque spuis	-|-----⌫|---|
lisiresde lauilleu npuis	-|----|-|-|----|-⌫|---|
auoitded ens saforteresce	----|---⌫--|-|---------|
ertdegrant parfondesce	--|-|----|----------|
etd amontdusqu aufonsperré	-||----|----|-|---|-----|
comsece fust chemin ferre ́	--|-|-|---|-----|-----⌫|
depierresg rouse set me nues	-|------|-⌫-----⌫|-|--⌫---|
rondes etagues	-----|-|----|
ert ent or dus qu	--|---⌫-|---⌫-|
aual m ur é	---|-⌫--⌫-|
lisires uoult	-|----|----|
qu ilfustcuré	-|-|---|----|
aunbacheler	|-|-------|
guillaumes e fistapeler	--------|-⌫|---|-----|
quant li u al l etoupuisestoi t	----|-|-⌫--⌫-⌫-|-|---|-----⌫|
aualet il l enesteo it	---|-|-|-⌫|------⌫-|
lespier res furentdesiointes	--|----⌫--|-----|---------|
fu ssent d e	--⌫----|-⌫|
me insempoin tes	--⌫--|------⌫--|
sique totlipuisdes perra	-|--|--|-|---|---⌫----|
lam atire sedeserra	-|-⌫----|-|------|
aualchei l	---|---||
eureperrine	---|------|
cilquioirent la ruine	--|--|-----|-|----|
quiderentquecefusttonnerre	--------|--|-|---|-------|
u er sle puiscorentmoul t grant erre	-⌫--⌫|-|---|-----|----⌫|----|---|
enzre garde nt etontueu	--|--⌫-----⌫-|-|--|--|
grantmoncea udepierrecheu	----|------⌫|-|-----|---|
d o milli otmoult grantplente	-⌫-⌫|--||-|----|----|-----|
bien quid erentquacrauent é	---|----⌫----|-|--------⌫-|
fus tdesouzlemonciaudepierr es	---⌫|-----|-|------|-|-----⌫-|
cilqui estoit	--|--|-----|
dou puiscurierres	--|---|--------|
qui ensn ait oierlede uoit	--|--|-⌫---⌫---|-|--⌫---|
otleuall etneneuoit	-|-|----⌫-|-|-|---|
si quiden t poruoirq u i soitmort	-|------⌫|--|---|-⌫||---|---|
si crienttuit agranteffort	-|-----|---||----|-----|
sach iezdeuoir mortestguillaume	----⌫--|-|---|---|--|--------|
si l eust hauberi onethia ume	|-⌫|---|-------⌫-|-|---⌫--|
ilde mortdeffe ndu	-|-|---|-----⌫--|
tantestde s susl uidescendu	---|--|--⌫-⌫--|-⌫-|-------|
gra ntmonciaude	---⌫-|------|-|
mestier estqu adieus oitc onfes	------|--|-||---|-⌫--|-⌫----|
o contricio n pureetuoi re	|---------⌫|---|-|---⌫-|
quer u oirabochede	---|-⌫--||----|-|
ne p orra il	-|-⌫---|-|
iamesparler	----|-----|
auoslamere a u ba cheler	|--|-|---|-⌫|--⌫-----|
paleesbah ie eteffraee	---|-----⌫-|-|------|
quie rt uenu e	--|-⌫-|----⌫|
alac r iee	|-|-⌫-⌫--|
quantdesonfi lzo tlanouelle	----|-|--|--⌫-|-⌫|-|------|
de chartres apelle	-|-------|-----|
sonfilz ensagar decomande	--|---|-|-|---⌫-|------|
en cuicommande	-|--|-------|
semes tentt uit l ibe soigneus	-|---⌫---|-⌫--|-⌫|--⌫-------|
mon f ilzencestcas perilleus	--|-⌫--|-|---|--|--------|
dame dechar tressecorez	---|-|----⌫---|------|
q u ience pu isest	-⌫-⌫|-|-|--⌫-|--|
so z les pierresacouoitez	--⌫|--|------|--------|
damedepe r ill le gite z	---|-|--⌫-⌫--|-|----⌫|
quilnesoit perillésn emort	-|-|-|---|--------|-⌫|---|
et lic heu allier dela	-|-|-⌫---⌫-----|-|-|
a u ualletsidolent es toit	-⌫|-----|-|-----|--⌫---|
quenullecur e nemes to it	--|----|---⌫|-|---⌫--⌫-|
en son puisq uiert depec i e ́	-|--|---|-⌫-|--|-----⌫-⌫-⌫|
p lus e rtdo uualletcorrocié	-⌫--|-⌫-|--⌫|-----|--------|
que de sondomage demoine	--|-|--|-----|------|
ouuriers feit qu ere	-------|---|--⌫--|
aquelquepoine	|------|----|
et tostleurcommande ao uurer	-|---|---|-------||-⌫----|
aupuisdespier res	-|---|--|----⌫--|
porleuallet horsdoup uis	--|-|-----|---|--|-⌫--|
liouurieren	-|------|-|
cesteoeurefere	----|----|---|
queil fe issentu olentiers	--|-|--⌫-----|-⌫--------|
mistrenttroisiorz t retousen tiers	-------|----|---|-⌫-----|--⌫----|
sans auoir guieres	---|----|------|
et quantliou urierau	-|----|-|--⌫----|-|
oren t tantenpa rfon touuré	----⌫|---|-|--⌫----⌫|-----|
quanquesfu	-------|-|
lipuisdel iuré	-|---|---⌫----|
siprez doufonzsontdescendu	-|---|--|---|---|-------|
queleuallet ont	--|-|-----|--|
e nte nd u	-⌫---⌫--⌫|
aup ar ler etl ontescouté	-|-⌫--⌫--|-||--|-------|
