ennonde dieule creat our	-|--|-|---|-|-----⌫--|
na nului de uostrelig nie	||----|-|-----|---⌫--|
estilnendoutez mie	--|-||-|-----|--|
et iertd eces oiez	-|---|-⌫|-|-⌫---|
tantquil sera entre uo s	-----|-|---|----|--⌫|
unautreledonnés	-|----|-|------|
aceluiresera tous	|----|-----|---|
tousiourspourceluitrompera	---|----|---|----|-------|
luiconmesienl aura	--|----|---||---|
ceuousu ueiliepour uo i r	-|---|-⌫---|-|---|--⌫-⌫|
nelpuisoreautrementprouuer	-||---|--|--------|------|
etliroisdistb ien len creoit	-|-|---|---|-⌫--||-|-----|
etq uesa filleli donro it	-|-⌫-|-|----|-|-----⌫-|
doneyn abeled e	---|--⌫----|-⌫|
no t aucuerireneanui	|-⌫|-|---|--|-|---|
e taceauoitbienraison	-⌫||-|----|---|-----|
cara ssezestoitriches	--|-⌫---|-----|-----|
degrenatefu roiset sire	-|------|-|---|-|---|
ainsi l ai p ou ruo iroidire	----||-|-⌫--⌫|--⌫-|-|---|
feniadisseliotroie	---------|-|-----|
l iroisetcilenagrantioie	-⌫|---|-|--|-||----|---|
ler oienenclineet mercie	-|-⌫-|-|------|-|-----|
ornefu pasmarinelie	-|-|-|--|-----|--|
cuideele bienentresait	----|--|---|--------|
qu el ilaisrois afenme	--⌫|-⌫|---|---||----|
sen fu si dedu elacoree	|-|-|-|-|--⌫-|-----|
la terre chei pas mee	-|----|---|---⌫--|
etsesserours	-|--|------|
la rel euerent	-|---⌫------|
et doucement laconfor terent	-|--------|-|------⌫-----|
maisconforsn	---|------||
iualoitnoient	|-----|-----|
quelesepasmoits isouuent	-|--|-|------|-⌫|------|
quecert pitez a	--||--|----||
ne la pouoientconforter	-|-|-------|--------|
sessere ursquimout	--|----⌫--|--|---|
senp enoie nt	|-|-⌫-----⌫-|
ma isachiefuenir nen pouoient	--⌫-||----|----||-|-------|
et e lyador	-|-⌫-----|
enuoi eas onfrereunmes sage	-----⌫||-⌫-|----|-|---⌫---|
quealiui en gnet os tparler	--||-|--⌫--⌫--|-⌫--⌫|-----|
hasteementsansar res ter	---------|---|--⌫---⌫--|
cleomadesiui nt errant	--------||--⌫-|-----|
etquan t i l sot lecouu enan t	-|----⌫|-⌫|--|-|----⌫----⌫|
pourq uois a suerplo roitsi fort	---|-⌫--|-⌫|---|---⌫---|-|---|
si l i distquel ese conf ort	-|-⌫|---|-|--⌫|-|----⌫--|
etquele nes	-|-|--|-||
e sma it noient	-⌫---⌫-|-----|
carilferasilpuet	--|-|---||-|---|
liroi scrompar spasnelar a	-|---⌫|-------⌫|--|-||--⌫|
ason pouoir	|--|-----|
se n penera	|-⌫|-----|
aincoisfai til uousreponroie	------|---⌫|-|---|--------|
hors del auo ie	---|-|-⌫|--⌫-|
la on neuousporroittrouuer	-|-|-|---|------|------|
queledeussiezespo u s er	--|-|-------|----⌫-⌫-⌫-|
decequecleomadesd ist	-|-|--|--------|-⌫--|
marineunpe titen so uzrist	-----|-|--⌫--|-|--⌫-----|
tr iste ot estéet	--⌫---|-|----|-|
e spl oree	-⌫---⌫---|
maiscelamoutrecon fortee	---|-|||---|-----⌫-----|
quecleomadesditl ia	--|--------|--|-⌫||
q uec rompar s pasn el auera	-⌫-|-⌫------⌫|--|-⌫||----|
mais unpetittropl ongue ment	---|-|----|---|-⌫-----⌫---|
tinr ent ilu eclor parlement	----⌫--|---⌫-|--|--------|
car en truesqueil la estoient	--|--⌫-------|-|-|-------|
etmar inereconfortoient	-|---⌫--|-------------|
parla roi s c romparse ntelpoint	----|---⌫|-⌫------|-⌫|--|----|
si sagementet	-|-------|-|
sia po in t	-||--⌫--⌫|
q uerois m arcadigasli a	-⌫-|---|-⌫--------|-||
otroi é quemarinea ura	-----⌫-|--|-----|-⌫--|
le cheual ot iareceu	-|-----|-|-|----|
marcadigaset re tenu	---------|-|--⌫---|
ettant a uoitlirois	-|---|-⌫---|-|---|
alaroyneet conseill ié	|-|----|-|--------⌫--|
q ueeleliauoitgraé	-⌫-|--|-|----|----|
queilfeisttoutasongr e	--|-|----|---||--|--⌫|
bi ens iassentoit	--⌫-|||--------|
puisq uefai relecouuenoit	-----⌫-|---⌫-|-|--------|
neuousp uis pastoutdeuiser	-|---|-⌫--|--|---|------|
leurp aro le sneraconter	---|-⌫---⌫--⌫|-|-------|
tan t fire ntquil oren ttouttroi	---⌫|----⌫-|-|-|----⌫|---|---|
deroimarcadigaslotroi	-|--|---------||----|
d oudonquilleurauoit promis	-⌫-|--|-|-|---|----|-----|
sique iaotleurioiau spris	-|--|-|-|---|-----⌫|---|
etq ua ntc l eom adeslesot	-|-⌫--⌫-|-⌫-⌫---⌫---|-|--|
au plustost q ueil onquespot	-|---|---|-⌫-|-|-----|--|
uintason pereto utire ́s	---||--|---|--⌫-|---⌫-|
maiscome s ageet	---|---|-⌫--|-|
sotbiencouurir ireet	--|---|------|--|-|
quantil en	----|-|-|
a uo it p ointen lui	-⌫--⌫-|-⌫---|-|--|
d eua n tsonpere uintester	-⌫---⌫-⌫|--|---|---|----|
mouttresbelliprist a moustrer	---|---|--|-|----||-------|
aco nseilqu e neloyn us	|--⌫----|--⌫|-||-|-⌫-|
forsil et sesperes s ansp l us	---|-|-|--|----|-⌫--|-⌫-⌫-|
e tsamer eq uitantlamoit	-⌫|-|---⌫|-⌫-|---||----|
amerne lepouoit	---|-|-|-----|
sirefaitilmout	---|---|-|---|
me merueil	-|------|
ouuous preistes telconseil	-|---|-------|--|------|
q uiotr oiastes	-⌫-|---⌫------|
aceroimarin emasu er	|-|--|-----⌫|-|--⌫-|
qu i tantestbele et	--⌫|---|--|---|-|
debonnaire	---------|
que nat urelasotmieus	--|---⌫--|-|--|----|
et roiscrompars	-|---|-------|
pares tsi lais	--|--⌫|-|---|
sihideusetsi cont refais	-|-----|-|-|----⌫-----|
queiecroiq uese ele	--|-|---|-⌫-|-|--|
k anuliour m aisioienaura	||--|---|-⌫--|---||---|
ai ns morra deduelcesachiez	--⌫-|----|-|---|-|------|
seroi ttropg rans	-----⌫|---|-⌫---|
conque sneui iour dema	|-----⌫|-|-|---|-|-|
plusbele nemieus e nsaign ie	---|---|-|----|-⌫------⌫-|
roiquie stsans raison	--|--|-⌫-|---|-----|
saiaquoiteus ho m uaille	--||---|---|--⌫|-----|
homa insestdeui naille	--|-⌫--|--|----⌫-----|
ne s t dro isquesi laidefigur e	|-⌫-⌫|---⌫-|--|-|----|-----⌫|
aitsi tresbele	--|-|---|---|
aenui smiassenti ro ie	|----⌫|||-------⌫--⌫-|
s e iepouruous	-⌫|-|---|---|
fa irelos oie	--⌫--||--⌫--|
maint enantsuideli	-----⌫----|--|-|-|
ainssig r ansduels ne fu ueus	---|-|-⌫-⌫--|----|-|-|---|
demenépuiscedi	------|---|-|-|
quece stenou ueleente ndi	--|--⌫--|---⌫---|----⌫--|
ieuouspriseuous tant	-|---|--|-|---|---|
que m a suerpasnelidonne ́s	--|-⌫|---|--|-|-|-----⌫-|
se pourmo ileuoule ́sla is sier	-|---|--⌫|-|-----⌫-|--⌫--⌫---|
moutu ousen	---|-⌫--|-|
uorroie priier	------|-----|
dis t marcadigasie l i	---⌫|---------|-|-⌫|
otroiéetie li	------|-|-|-|
cardroisroisne doit	--|----|---|-|---|
pa s mentir	--⌫|-----|
pour cel iuo rra ii etenir	---|-|-⌫|--⌫---⌫|-⌫|----|
couuentquekauenirmen doie	------|---|-----||-|---|
carpourriens ien	--|---|----|-||
enmenti roie	-|-----⌫---|
autr ementferoie ie mal	----⌫----|-----|-|--|
receuson ch eual	----|--|--⌫---|
p ardroitarri erealer	-⌫-|----|----⌫--|---|
sene meuueil de shonnorer	-|-|-|----|--⌫--------|
distl aroyn e b iausdousfis	---|-⌫|----⌫|-⌫---|---|--|
moutdeuriezuouloir	---|------|------|
que mon seigneur fu s t rep rouue ́	--|--|-------|--⌫-⌫|---⌫-----⌫|
queileustfait fauss et e	--|-|---|---|-----⌫--⌫|
onquesne m entia nului	-----|-|-⌫---||----|
ferailaces tui	---|-||---⌫--|
puisqu e aue nuest	------⌫|---⌫-|--|
couuentleu r	------|---⌫|
t iengneiele n p ri	-⌫-----|-||-⌫|-⌫-|
tousiours reprouu éno uss eroi t	---|----|-------⌫-|--⌫-|-⌫----⌫|
s enmencongetrouuezestoit	|-|-------|------|-----|
quant cleomades e nte n di	----|--------|-⌫---⌫-⌫-|
le roimout	-|--|---|
li desabeli	-|-------|
etp lus pr esdou cuerli t oucha	-|-⌫--|--⌫-|--|---|-|-⌫----|
queparsemblantne d e moustra	--|--|-------|-|-⌫-⌫------|
s irec e d ist	-⌫--|-⌫|-⌫--|
nesa uonssecilc he uales	-|--⌫---|-|--|-⌫--⌫----|
quil nousfa i tentendant	-|-|---|--⌫-⌫|--------|
mains sachiez aua nt	----|------|---⌫-|
seceestuer itezounon	-|-|--|---⌫---|-|--|
quilparait demasu er le don	-|-|--|--|-|-|--⌫-|-|--|
etliroisdi stbien	-|-|---|--⌫-|---|
li plaisoit	-|-------|
etkaesprouuers assent oit	-|||--------||------⌫--|
lorsfu liroiscromp ars apelez	---|-|-|---|-----⌫--|-----|
q uiesto itbocusetpelez	-⌫-|----⌫-|----|-|----|
bienuoitausamblan t	---|---|-|-------⌫|
d ouuisage	-⌫-|-----|
cleomades kau	--------||-|
nesas sentpasbie ncel i	-||--⌫---|--|---⌫|-|-⌫|
touslic orsde	---|-|-⌫--|-|
freourlitremble	-----|-|------|
bie n pense quil s enuengeroit	---⌫|----|-|-||-|--------|
a iseetenlieuuenoit	-⌫--|-|-|---|-----|
c leomades distqu e s auoir	-⌫-------|---|--⌫|-⌫----|
ueutdoucheualsetelpouoir	---|--|-----|-|--|-----|
co n meditleura	--⌫-⌫-|--|---||
distcr ompars uousles aurezia	---|--⌫-----|---|-|-⌫----|-|
etseuousuoulezesprou uer	-|-|---|-----|------⌫--|
lecheualetet	-|-------|-|
asse ztostsaurez	----⌫|---|-----|
seie diuoir ou s e	-|-|-|---|-|-⌫|
et setrouuezsuie nmenconge	-|-|------|--|-⌫|-------|
face ue r gongn e	---|--⌫-⌫-----⌫|
c arie larai	-⌫-|-||---|
biendesserui	---|-------|
dist cleomades	---|--------|
su smonterai	--⌫|-------|
conmen tqui laill e	------⌫--|-⌫|----⌫|
ce uou s aiieen	-|---⌫|-|-|-|
couuentsansfaille	------|---|-----|
toutmaintenant essaierai	---|---------|--------|
lech eualplusnarreste rai	-|--⌫---|---||-------⌫--|
de c emot fucromparsmoutliez	-|-⌫|--|-|-------|---|---|
car bienp enso itc oriert uengiez	--|---|-⌫----⌫-||-|---|------|
decleomadesseilpuet	-|--------|-|-|---|
ca rdecuerla uenianceuuet	--⌫|-|---|-|-------|---|
carmout crueu s et f elestoi t	--|---|-----⌫|-|-⌫-|-----⌫|
safaco n p a r	-|----⌫|-⌫-⌫|
dr oi tledeuoit	--⌫--⌫|-|-----|
et lors li trompe restro mpa	-|---|-|------⌫--|---⌫--|
pour cequ er oiscromparspensa	---|-|--⌫|-⌫--|-------|----|
uersmarcad igas	---|------⌫---|
delatrompeoyrentle	-|-|-----|-----|-|
cilquilaassamblées toie nt	--|--|-|--------|--⌫----⌫-|
maismout pou gardesenprenoient	---|---|--|----||-|--------|
quecromp arseu st en pense ́	--|-----⌫--|--⌫-|--⌫-----⌫|
uers c leomadescruaute	---|-⌫-------|------|
au trompeeur petit	-|--------|----|
pen serent	---⌫-----|
etleg ierement	-|---⌫-------|
senpasserent	|-|--------|
pource quecilquimarchi ssoient	---|-|--|--|--|------⌫------|
ent ourausleu rsou git	---⌫--|--|---⌫|---⌫--|
et pensoie ntk a l a	-|-------⌫-|||-⌫|
aroitnusrois dur ee	----|--|---|---⌫-|
pour celelaissierent	---|-|-|----------|
ni orent c ure de	||----|-⌫--|-|
qu i ln e dout oientque	-|-⌫|-⌫|----⌫----|--|
leur osast	---|----|
faire desr aison	----|----⌫----|
le cheualmainen tenlacourt	-|-----|------⌫|-|-|----|
e t chascu ns	-⌫|------⌫-|
i uaetaco urt	|-|-|---⌫--|
p oursa uoir se ainsiiroit	-⌫--|--⌫---|-|----|----|
cisch euausquecrompars	--|--⌫----|--|-------|
seley o tbo nneetb iensea nt	---||-⌫|--⌫--|-|-⌫--|---⌫-|
debenusforteetbiente n ant	-|----|----|-|---|--⌫-⌫--|
et estrierste ls etsi faiti s	-|-------|--⌫-|-|-|-----⌫|
unsgranshomousunspetis	--|----|--|-||--|----|
imont as t tres tout a droitu re	|----⌫--⌫|----⌫---||------⌫-|
fussentapointet	------||----|-|
ot telqui lconue n oit	-|--|-|-⌫|-----⌫-⌫--|
marcadigasdistaso nfill	---------|---||--⌫|---|
quilsaches	-|-|----||
ilyaperill	-|||-----|
ain coi squeil	---⌫---⌫---|-|
soitsusmontés	---|--|------|
dist cromparssire n endoutés	---|-------|---||-|------|
queiamaisnes euerseroi t	--|-----|-|-⌫|--------⌫|
cisc heu au sainsuatous	--|-⌫---⌫--⌫|---|-|---|
iors droit	---|----|
teus est li	---|--|-|
che uaus sa n smentir	---⌫---|--⌫-⌫|-----|
cleomades neuolt soufrir	--------|-|---|------|
suslech eualmonta st	--|-|--⌫---|-----⌫-|
nelagra nt meru eilleessaiast	-|-|---⌫-|----⌫----|-------|
for sililestmont ez	---⌫|-|-|--|----⌫-|
etcr o mpa rsest a uant	-|--⌫-⌫---⌫-|--|-⌫---|
aufro nt doucheual uin ttout	-|---⌫-|--|-----|---⌫|---|
unec heu ill eteyau oi t	--|-⌫---⌫---⌫--||--⌫--⌫|
unpetite letla tourna	-|------⌫--|-|-----|
et l icheualessenala	-|-⌫|-------||-|--|
sitres tostquecil	-|---|---|--|--|
qui leuire nt	--|-|----⌫-|
mouuoirassez tostleperdi rent	------|----|---|-|-----⌫---|
nesorentquil fudeuenus	-|-----|-|-|-|------|
f u chas cu nstousirascu s	-⌫|----⌫--⌫-|---|------⌫|
distmarcadigasacr ompart	---|---------||--⌫-----|
faitesretournercestepart	-----|--------|----|---|
lec heualtro pest	-|-⌫----|---⌫|--|
esloigniez	---------|
samble assezessaiez	-----|----|------|
i en equier queo n	-⌫|-⌫|----|--|-⌫|
pluslessait	---||-----|
sire distc rompar sentresait	---|---|-⌫------⌫|--------|
ienaipouoi rdou reto rner	-||-|-----⌫|--|----⌫---|
ca rioubliaiadeuiser	--⌫||------||------|
acleomades aupartir	|--------|-|-----|
co nmen til	--⌫----⌫|-|
porroitreuen ir	------|-----⌫-|
nem ensouuintsen fualés	-||-|------||-|-|----|
moutensuidecuer	---|-|--|-|---|
torm entés	----⌫-----|
tant enaig rant ire et c o ntra ire	---|-|-|-⌫---|--|-|-⌫-⌫----⌫--|
qu eneleporro ie r e traire	--⌫|-|-|-----⌫-|-⌫-⌫-----|
bia usamisdistmarcadigas	---⌫-|---|---|---------|
nesaiseuo us ditesa gas	-|--|-|--⌫-|----||--|
ouacer t esmaisparmalo i	-||---⌫-⌫-|---|--|-|--⌫|
neparla foik	-|--|-|--||
amo nfill doi	|--⌫|---|--|
se cleomadestost	-|--------|---|
griementasoufr iruo us f e rai	-------||-----⌫-|--⌫-|-⌫-⌫--|
carmaisde p risonn	--|---|-|-⌫----||
is teré s	--⌫-----⌫|
si seraici retornés	-|---|--|--------|
cleomad esli mienschier sfis	-------⌫-|-|----|-----⌫|--|
decepou ésestre tousfis	-|-|---⌫--|----|---|--|
parlo nmedor	--||-⌫--||-|
sauoi r puet on	-----⌫|---|-|
kenu ersmoipensieztr ayson	|---⌫--|--|------|--⌫----|
tromp er lesai et uoi	-----⌫-|-|--|-|--|
mais t ro pa tar tmen apercoi	---|-⌫--⌫||---⌫||-|------|
b ienme doit	-⌫--|-|---|
q uesi mal apensésen fui	-⌫-|-|--|-------|-|--|
queuousmeismesnessaiastes	--|---|------||---------|
le cheual que u ous medounastes	-|-----|--|-⌫--|-|--------|
t outelagentfutorm entee	-⌫---|-|---|-|----⌫----|
quilaendroiterta ssambl ee	--|-|------|--|-⌫------⌫-|
cuidentauoirp erdu	------|----|-⌫---|
c e l uiquita ntleur	-⌫-⌫-⌫-|--|--⌫-|---|
parpa rolemoutsedesfen t	--|--⌫---|---|-|------⌫|
crompars m aisneli ua utnoient	-------|-⌫--|-|-|--⌫-|-----|
car ilfumenez en	--|-|-|----|-|
tan tost sanz pointdar restoison	---⌫---|---|----||--⌫--------|
do l ansfuquantil	--⌫-⌫--|-|----|-|
c epourquoiesp aignol lont	-⌫|---|---|---⌫-----||--|
uole ntiers s erepent esist	----⌫-----|-⌫|------⌫----|
de sonm ali cesilpouist	-|--|-⌫---⌫-||-|-----|
pource sefaitbonau iser	---|-|-|---|--|--⌫---|
a comfa itc hiefonp uettorner	|--|--⌫-|-⌫---|-|-⌫--|-----|
del a chose ainsconl	-|-⌫|----|---||-||
ait emprise	--|------|
quilui etsonnouraime	--|--|-||-----|---|
bien e ndoitchascun souue nir	---|-⌫|---|------|-----⌫--|
quiahoneurbeea u enir	--||-----|--||-⌫---|
po u rcl e omadesde menoient	--⌫-⌫|--⌫-⌫-----|--⌫-------|
grantduel e t moutleregretoien t	----|---|-⌫|---|-|----------⌫|
deuoientregreter	-------|-------|
carasontans n auoit	--||--|---||----|
ke nlu io tcesachiez deuoir	|-⌫|--⌫|-⌫|-|------|-|---|
k ank e ncheual ie r	-⌫--|-⌫|------⌫--⌫|
doitau oir	---|--⌫--|
e td eg entil lece etdonnour	-⌫|-⌫|-⌫-----⌫---|-||-----|
etdeuigouretdepouoir	-|-|-----|-|-|-----|
etd etousbiensaudireuoir	-|-⌫|---|----|-|---|---|
iene u ou ssaroie pas dire	-|-|-⌫--⌫|-----|--|---|
le grantduelne leg rant mar tire	-|----|---|-|-|-⌫---|---⌫---|
qu em enerents e strois serours	--⌫|-⌫------|-⌫-⌫|----|------|
p as mee senlermes	-⌫--⌫---⌫|-|-----|
lese nportaon	--|-⌫-----|-|
toutes tro is	-----|---⌫-|
marcadigas co msagesro is	---------|--⌫|----|--⌫-|
con fortoit se sf ilese tlui	---⌫------|--⌫|-⌫---|-⌫|--|
nepourquan t s e nusotanui	----------⌫|-⌫|--|-|---|
corelm entil lauoits i	------⌫--|-||----|-⌫|
ha oitplus	--⌫--|---|
ui fquemo rt	--⌫|--|--⌫-|
etnepourquant sisag ement	-|----------|-|---⌫----|
con fortoitet lu ietsagent	---⌫------|-|--⌫|-|-|---|
homle pou oit plusfaire	--|-|---⌫--|---|----|
car mout fu detres bonafa ir e	--|---|-|-|---|--|---⌫--⌫|
laroynefist due lsifort	-|----|---|---⌫|-|---|
que a usiendueln o tnul co nfort	--|-⌫|---|---||-⌫|--|--⌫----|
s a maisniel	-⌫|------||
enontportee	-|--|-----|
ensacha mbre toutepasmee	-|-|---⌫---|----|-----|
etlo ntdes ussonlitcouchie	-||-⌫-|---⌫-|--|--|------|
t riste etdolente	-⌫----|-|------|
et esmarie	-|------|
ioiee nduel	---|-⌫|---|
lagen tqui	-|---⌫|--|
laertassambl ee	-|--|-------⌫-|
mou tfumelocandisdolans	---⌫|-|---------|-----|
aussi fulirois baldig ans	----|-|-|---|------⌫--|
conseilp rirentq ueil	------|-⌫-----|-⌫-|-|
auroie tsisescon d iroient	-|--|-⌫|-||-----⌫-⌫------|
entr e au s deusdeceluimes fa it	----⌫|--⌫|---|-|----|---⌫--⌫-|
qu elirois	--⌫|-|---|
crom par sau oitfait	----⌫---⌫|--⌫--|---|
ainsi le firen t	----|-|-----⌫|
q ueuous d i	-⌫-|---|-⌫|
m arcadigasl eur	-⌫--------|-⌫--|
quenul ma lgre n esensauoit	--|--|--⌫|--||-|-|-----|
neriens n e leuren demando it	-|----|-⌫|---|-|-------⌫-|
ains se tenoit d ausa paié	---|-|-----||--||----|
etcill enontmoutmerciié	-|--||-|--|---|-------|
distbaldigans puis q ue	---|--------|----⌫-⌫-|
quechascunsdenousenes t qui tes	--|-------|-|---|-|--⌫|---⌫--|
etquerie nsnenousdemandés	-|--|---⌫-|-|---|--------|
decem esfaitdontnousdonné s	-|-|-⌫-----|---|---|------⌫|
l edonque nous auezpromis	-⌫|--|--|---|---|-----|
dist marcad igas biausamis	---|------⌫---|----|---|
droitaen cequeditaués	----||-|-|--|--|----|
doudon nequier estrequités	--|--|-|----|----|------|
puisqueencouuentle uousa i	------|-|------|-|---|-⌫|
atantq ueiesaurai	------⌫-|-|-----|
demon fil l auc u n esnouueles	-|--|---⌫|---⌫-⌫-⌫-|-------|
ne sa ileque l	-|--⌫|-|---⌫|
laidesoubele s	-----|-|----⌫|
neuousporraitenir couuen t	-|---|-----|----|------⌫|
qu a riecuitbienc ertainement	--⌫-⌫|-|---|---|-⌫----------|
q u emesfi lle s deduelmo rront	-⌫-⌫|--|--⌫---⌫|-|---|--⌫----|
s eelesle ur	-⌫|---|--⌫-|
frereneront	----|-|---|
