formCi comence liseconz	---|-|------|-|-----|
li ditquecen epue til	-|--|--|-|-⌫|---⌫|-|
ferequedésquil	---|--|---|-|-|
aeste ́a uocaz deu	|----⌫|-⌫----|--|
tresor iasoit ce quilnena eu	-----|-|---|-|-|-||-||-|
sala ireil	----⌫--|-|
nepuetestre auocazencontre.	-|---|----|-----|-------||
Ieauoieestéauoca z	-|----|----|-----⌫|
deutre sorsi de m a ndai à lempereorquilm	--|---⌫--|-|--⌫-⌫-⌫---|-||-------|-|-||
ostroias t que iefusseauocazencontreet ditli	--------⌫|--|-|----|-----|-------|-|--|-|
empereres queiepuisbien	--------|--|-|---|---|
parsautoritémesque	--||--------|--|--|
iene reço iuec elecaus equeie tra itai qu ant	-|-|-----⌫--|-⌫--|----⌫|--|-|---⌫---|--⌫--|
i est oie auocazpo ur	|---⌫--|-----|--⌫-|
letresor .	-|-----||
Liempereres Co s t entinditGa rtbienlauocazdeu	-|--------|--⌫-⌫-⌫----|--|--⌫-|---||-----|--|
tresorqueil nece leleprofitdeutresorne	-----|--|-|-|--⌫-|-|-----|--|-----|-|
qui l nemueuequerele par no ndeu tresoras	-|-⌫|-|----|------|--|--⌫|--|-----|-|
aut re s genz sanz boneraison.	---⌫--⌫|---|---|---|-----||
LiempereresGracianditCeusquisont	-|--------|------|--|---|--|---|
proc ur eteu rde	----⌫--⌫----⌫|-|
nostre patremoin eou lespr ocureorsdeu	-----|---------⌫|-|--|--⌫-------|--|
tresor neentrent enpl e tsen lapre sence	-----|-|------|-|--⌫-⌫|--|-|---⌫----|
del auoc az	-||----⌫-|
deutr es or	--|--⌫--⌫-|
Ciparolede s	-|-----|--⌫|
m eserrancesau s	-⌫---------|--⌫|
Cistti trepa roledesauocazqui faillentaucunefoiz	---|--⌫--|--⌫---|--|-----|--|-------|-----|---|
par meserrancequilneseue n t tel	--|---------|-|-|-|----⌫-⌫|--|
eurele fetetreconoissenttieu chosequi	---|-|--|-|-----------|---|----|--|
nuita ̀ceu sq ui	---|-⌫|---⌫|-⌫-|
lacaus eest m e s lesirede	-|----⌫|--|-⌫-⌫|-|---|-|
lacause pue t	-|----|---⌫|
cerapeler et deceus	-|------|-|-|---|
q uiescriuen tles	-⌫-|--------⌫|--|
libellespar oleensemen t	-------|---⌫--|-------⌫|
de leurerreur.	-|---|-----||
L iempereresA lixan dresditSeles	-⌫|--------|-⌫-----⌫---|--|-|--|
auocazallegentpar de uantceusporquii l	-----|-------|--|--⌫---|---|--|--|-⌫|
sontpouraut ant estpriscomese	---|---|---⌫--|--|---|---|-|
lisiresmeimesd elacause leusta ll e g u é	-|----|-----|-⌫|-|----||---|-⌫--⌫-⌫-⌫-⌫-|
LiempereresGordien sditL eserreurs	-|--------|-------⌫|--|-⌫-|------|
deceus qui escriuent	-|---|--|--------|
lespetici on sn efontnulpreiu ise a ̀ la	--|------⌫--⌫|-⌫|---|--|-----⌫--|-⌫|-|
que g euoloiefere escrire	--|-⌫|-----|---|------|
une peticio nqu e geuoloi eauoirunesletresd e rapeler	--|-------⌫|--⌫|-|-----⌫|----|---|-----|-⌫|------|
unes entence interlo cutairequ i es toit donee	--|-⌫------|-------⌫------|--⌫|--⌫---|----|
contremoi.	-----|--||
Lescri u einescrit	|-----⌫-⌫--|-----|
q ue iestoie	-⌫-||-----|
c omdanpnépa r	-⌫--------|--⌫|
sen tencedisfinitiue.	---⌫----|----------||
Li empereresditqu ese iepuis prouerque	-|--------|--|--⌫|-|-|---|-----|--|
i e nesuiscondanpné sicomditlelib elle	-⌫|-|---|---------|-|--|--|-|---⌫---|
ce le escrituren emenuirariensetce pouruerrale	--⌫-|--------|-⌫|-|----|----|-|-|--------|-|
Liem pereresDioclicien s d itLes besongnes	-|--⌫------|----------⌫|-⌫-|--|--------|
feniesparsentencesne	-----|--|--------|-|
couientques oi e nt rap e leesparrescri zenperiaus.	------|--|-⌫--⌫-⌫-|---⌫-⌫---|--|------⌫|--------||
Posomdonques	----|------|
iep ledoiesentencefu doneecon trem oipar	-|-⌫-----|-------|-|----|---⌫--|-⌫-|--|
meserrance de monauocaz	---------|-|--|-----|
contre disn en apelai.	------⌫--|-⌫||-----||
que lasentencefust rap e lee pourc e	--|-|-------|---|---⌫-⌫--|-----⌫|
que lerreurdes	--||-----|--|
au ocaz ne doitnuireas segnor sdescauses	--⌫---|-|---|----|-|------⌫|--|-----|
mesdit liemperer eresque	--|--|-|-------⌫---|--|
cene meuaultriens puisquesentence	-|-|-|----|----|---|--|-------|
estdoneen eiene con tredis	--|----|-⌫|-|-|---⌫-----|
iorz quipasserentaua ntq u esentence	---|--|--------|---⌫-|-⌫-⌫|-------|
f ustdo neenen	-⌫--|--⌫--|-||
apel ai apr és lasentence	----⌫-|---⌫--|-|-------|
Cimonstrecomentl ii ugespuet acomplirlo	-|------|-----|-⌫|-⌫---|---|-------|-|
Cisttitreparolequedoit	---|----|-----|--|---|
estrefet qua nt lauocaz laise a uc un e bo n erai son	----|--|---⌫-||-----|----|-⌫--⌫--⌫|--⌫-⌫|---⌫--|
àall eguerpor sa	-|---⌫----|--|-|
partie queleiugedoitaconpl ir ce	-----|--|-|---|---|------⌫-|-|
auocazlessentenl eursal legacions.	-----|------|-|-⌫---|--⌫--------||
Dece ditli	-|-|--|-|
empe re resDioclicie ns	----⌫--⌫--|---------⌫-|
Ne do itleiuge douterq uil face	-|--⌫-|-|---|-----|-⌫|-|---|
tort asparties	---|-|------|
se leur sauocazlessentauc un e	-|----⌫|-----|------|---⌫--⌫|
chosea ̀d ire qui fustboneà	----|-⌫|-⌫--|--|---|---|-|
la ca us eseilaco mp li ssent	-|--⌫--⌫|-|-|---⌫--⌫--⌫----|
ce quefautasauoc azcarilli po ura	-|--|---|-|----⌫-|--|-|-|--⌫--|
ai osterce quiluoitquecouientas	--⌫----|-|-|-|---|--|------|-|
loi s etasdroizcomuni ex .	---⌫|-|-|----|------⌫-||
C iparolede cea u s qi sontd if famé qinepeu ent	-⌫|-----|-|---⌫-⌫|-|---|-⌫--⌫----|-|-|---⌫--|
estreauocat.	----|-----||
Ciuientu n	-|----|-⌫|
titrequ iparole deceusqu isontdifa mezet est	----|--⌫|-----|-|---|--⌫|---|----⌫--|-|--|
m iscis t titres aprésle	-⌫-|---⌫|-----|-----|-|
traire desauocaz c a r ce usqui sont difameznepueent	-----|--|-----|-⌫-⌫|--⌫-|--|---|------|-|-----|
estrea uocaz .	----|-⌫----||
LiempereresSeue r ditIef ui	-|--------|----⌫|--|-|-⌫-|
mis encha rtreparcom ande m e n tdeu iu geo ufuiné	--|-|---⌫---|--|---⌫----⌫-⌫-⌫-⌫|--|--⌫-|-⌫|--|--|
pource queleiugeme	-----|--|-|---|-|
uolo it fere renoi er auc unmesfet.	----⌫-|---|-----⌫-|---⌫-|-----||
Orc remoie quegen efussedifam éet d itli	-|-⌫-----|--|-|-⌫|----|-----⌫-|-|-⌫-|-|
e mpere r es qu eie nedoi	-⌫-----⌫-⌫-|--⌫|-|-|--|
douteràe stre	-----|-|-⌫---|
porcedisfamé.	--|-|-------||
Ledeman deordeu treü quilt enoitde	-|-----⌫---|--|----|-|-|-⌫----|-|
lempereor uint àun	|-------|---|-|-|
homequ i d euoittreu ̈ lidemandeorprist plus	---|--⌫|-⌫----|----⌫|-|--------|----|---|
quilne deuo it .	-|-|-|----⌫-||
Celuienfistquereleau iuge le	----|-|---|------|-|---|-|
iugeco mdamna ledeman deoràrandr eledouble de	---|--⌫-----|-|-----⌫---|-|-----⌫|-|-----|-|
ce qui l a uoitpris.	-|-|-⌫|-⌫---|---||
Demandéfuàlempereorseil	-------|-|-||-------|-|-|
estoit disfa méetditliempereres	-----|-----⌫--|-|--|-|--------|
quilne stcondann ez delarr ec inne	-|-||-⌫-|-------⌫-|-|----⌫--⌫-|-|
quil aieretenulesdenier s	-|-|--|-----|--|------⌫|
deucomunnetoluparfo rce.	--|----|-|---|--|--⌫--||
Tuestoiesdelor dreas	-|------|-||--⌫--|-|
de curions feisaucun mes fet grant	--⌫------|---|----|---⌫--|----|
donttude uoi essoufr ir moutgrantpo ine .	---|-|--⌫---⌫-|-----⌫-|---|----|--⌫--||
Le iugefu meupar a ucune	-|---|-|--|--|-⌫----|
reso nàpitiésite	----⌫|-|-----|-|-|
con da mnaenplusp etitepeinecarilcomanda	---⌫--⌫--|-|---|-⌫----|----|--|-|------|
q u e t u fus ses forsde l ord reas	-⌫-⌫|-⌫|---⌫--|---|-||---⌫-|-|
decurions.	--------||
Or estoitla doute setuestoies	-|-----|-|----|-|-|------|
disfamépourle	-------|---|-|
t enspa ssé	-⌫--|--⌫---|
enque tufus forsde	-|--|-|--|---|-|
ton ordreetliemper eresdit q u etun es	--|----|-|-|-----⌫---|--|-⌫-⌫|-||-|
mieen nonbredesd i s famezcar pourceque tu	--|-|-----|--|-⌫-⌫-⌫----|--|-----|--|-|
retornesà	-------|-|
lordreaprés les .	|----|-----|--||
anzparlauo lent éaui ugeilsenble	--|--|-|--⌫----⌫-|-|-⌫--|-|-----|
qu etoutle blaumetesoi t p ardoné.	--⌫|---|-|-----|-|---⌫|-⌫------||
Un s huemquiauoit	--⌫|---|--|----|
non Pos sidoinefistu nmes fetdo nt ildeuoitestrefors	--|---⌫------|---|-⌫|---⌫--|--⌫-|-|-----|----|---|
anz pard ro it .	--|--|-⌫--⌫-||
comandaa ̀estre forsdeu	------|-⌫|----|---|--|
l asentencede u iuge.	-⌫|-------|--⌫|---||
O r estl aq uestionsauoirmon seil	-⌫|--|-⌫|-⌫------|-----|--|-|-|
est disf amé etlemp er ereditquilnest	--|----⌫---|-||---⌫--⌫--|--|-|-||--|
miedis fa mezca r lacrualté del a	--|---⌫--⌫--|--⌫|-|-------|-|-⌫|
sentence lidoita uoi rpardonétouzlesautresdom a ges	-------|-|---|-⌫---⌫|-------|---|--|-----|---⌫-⌫--|
Tu e stoies decurion feishon te	-|-⌫-----|-------|---|---⌫-|
àau tr ehome ilte fistsemondre.	-|--⌫--⌫|---|-|-|---|-------||
Leiugedona	-|---|---|
sentencecontre	-------|-----|
toi q uetu auoies	--|-⌫-|-|-----|
fethonte .	--|----||
Distliempereres que tu esdisf amez iasoit c e	---|-|--------|--|-|-|----⌫---|-|---|-⌫|
quetunesoies	--|-|-|----|
un autrehomequi nefus t	-|----|---|--|-|---⌫|
decu rionc arilest desfe ndu	----⌫---|-⌫-|-|--|-----⌫--|
decurions nel eurfuis nedoiuen testre	--------|-|-⌫--|---|-|------⌫|----|
chastiezde bastons .	-------|-|------||
enblaaucunechosefuencusee	----|-----|----|-|------|
delarrecin leiugedonna	-|-------|-|---|----|
sentenceco ntreluime sne fum ie	-------|--⌫---|--|--⌫|-|-|-⌫-|
Liemperer es	-|-------⌫-|
ditquenequede ntele	--|--|-------⌫-|--|
estdisfamee mes se	--|-------|--|-|
lachoseembleefutrouee enson os te ln	-|----|-----|-|-----|-|--|--⌫--⌫||
elenen sauo i t rien ia soit ceque	--||-|----⌫-⌫|---|-|---|-|--|
la con danna àrandre le do ubleplusquil	-|---⌫----|-|-----|-|--⌫---|---|-|-|
ferepor ce	---|--|-|
nesera d isfa me e	-|---|-⌫----⌫--⌫|
Liemper eres	-|-----⌫---|
ditCeus q uiparleur mesf etson tco ndampnéqu	--|---|-⌫-|--|---|----⌫-|---⌫|--⌫-------|-|
ildoi e nt estreiusquà	-|---⌫-⌫-|----|----|-|
untens enlueurede leurcomuniln e	-|---|-||----|-|---|----|-|-⌫|
perde n tmieleur franc hi semes	-----⌫-⌫|--|---|-----⌫--⌫-|--|
ilsontdisf ame ́ encoreaprés celten spass é .	-|---|----⌫---⌫|-----|-----|--|---⌫|----⌫-||
Liem perer esAlix andresditL es	-|--⌫-----⌫-|----⌫-----|--|-⌫-|
deteursqui abandonentl eurs biens	------|--|---------|-⌫---|----|
iaso it ce qu e soientuendu	-|--⌫-|-|--⌫|-----|----|
parce stecau se ilneso ntmie d isfamé.	--|--⌫--|---⌫-|-|-|--⌫-|--|-⌫------||
u no ncle.	-⌫|-⌫---||
mesfet leiuge	-----|-|---|
le fi stbatredeuerges p our reiehir ilne	-|--⌫-|----|-|-----|-⌫--|------|-|-|
reconutnene f u comd anpné.	------|-|-|-⌫|----⌫-----||
liemperer e squi lnestmiedisfamépource qu	-|-------⌫-⌫|-|-⌫||--|--|-------|-----|-|
Li emper e r esLionsditQuiendesf ensi onde sa uile	-|-----⌫-⌫-⌫-|----|--|--|-|----⌫----⌫-|-|-|---|
e stcondanpnezenaccio nf amosenesera	-⌫-|---------|-|-----⌫|-⌫----|-|---|
pource disfamez	---|-|-------|
Cistmeimes	---|-----|
empereres ditC ilqui estcondanpnez	--------|--|-⌫-|--|--|---------|
pource quilfist honte iasoit	-----|-|-|---|----|-|---|
cequi llafi stàs erfn equ ede ntilest	-|-|-⌫|-|--⌫-|-|-⌫--|-⌫---⌫---⌫-|-|--|
dis fam é .	---⌫---⌫-||
Tuuenisàu nheritag e où	-|----|-|-⌫|-------⌫|--|
auoitpoin t	----|----⌫|
doirsiena nbl a s	|--|-|-|-⌫---⌫-⌫|
aucunes chosesfusac uséetcomdampné	------|-----|--|--⌫---|-|---------|
condam pnale iug een a u trepoine .	------⌫--|-|---⌫|-|-⌫-⌫--|----||
Dit liemp ereresq uetu	--|-|---⌫-----|-⌫-|-|
neschapes pource quet unesoiesdisfame ́	|-------|---|-|--|-⌫|-|----|-------⌫|
Unpreudom e stoit coureci éà	-|------|-⌫----|-------⌫-|-|
aucundeses	----|-|--|
Quantil fist son	----|-|---|--|
tes tamentiles cristque tel s uenfuizestoit traïstres	---⌫-----|-|--⌫----|--|--|-⌫--|---|-----|---------|
ou autremal	-|----|--|
escr istdel u i.	----⌫--|-|-⌫-⌫||
Ore stoitla	-|-⌫----|-|
dout esece li ser oitdisfamép a rdroit	----⌫|-|--⌫-|---⌫--|-------|-⌫-⌫|----|
Etditliempereres quiln estmie di s famez	-|--|-|--------|-|-||--|--|--⌫-⌫----|
mesilenab laumeentr e bon esgenz .	--|-|-||-⌫----|----⌫|---⌫-|---||
L iemperere s dit Leduelque les	-⌫|--------⌫|--|-|---|--|--|
fames souloi entferetropg ra ntetl abit	----|------⌫--|---|---|-⌫--⌫-|-||---|
triste quelessoloientporter sont	-----|-|---|-------|-----|---|
amenuisié parle decrédessen ateurs	---------|--|-|-----|--|---⌫-----|
etles autresensangnesquelesporto ientde	-|--|-----|--------|-|---|-----⌫---|-|
deulmescene leurest	---|--|-|-|---|--|
mie pard one ́quelespui ssent f erenocesdedenzun	--|----⌫---⌫|-|---|---⌫----|-⌫--|----|-----|-|
an qu elesdoiuentple i ndre leu r	-|-|---|------|---⌫-⌫---|---⌫|
Etse aucune fetnoc esdedenzces t tenset celui	-|-|-----|--|---⌫-|-----|---⌫|---|-|----|
quilapra nts acheson afereanbedeusseront	--|-|---⌫-|-⌫---|--|----|-------|-----|
dis faméneis	---⌫----|---|
seil e stcheualier.	-|-|-⌫-|--------||
Li empereresdi t Nu s	-|--------|--⌫|--⌫|
n e seradi sfamépour cequ ineueu t	-⌫|---|--⌫-----|----⌫-|-||-|---⌫|
e ritacheso np erequant il mu ert	-⌫------|--⌫|-⌫--|----|-|--⌫--|
Cistmeimes ditCelquiparaucunmesfetestfus té	---|-----|--|--|--|--|----|-----|--|---⌫--|
parmil auile	--|-|-⌫|---|
etlecrieorqui le	-|-|-----|--|-|
fuste distaprésl i ‘Tu feistieu desloiauté	----|---|-----|-⌫||-|---|---|----------|
certe s cilse ra desfamé	-----⌫|--|--⌫-|-------|
Unshuemestoi tacusé d unmesfet.	--|---|-----⌫|-----||-|-----||
Le mesfetn e li fumie	-|-----|-⌫|-|-|--|
pro uémes lauoc azde l	---⌫--|--||----⌫-|-||
aut r epartieprialeiugequ	---⌫-⌫|-----|---|-|---|-|
illelesdeniast	-|-|---------|
L e iuge lid istTuesmauuéstreïstre.	-⌫|---|-|-⌫--|-|-|------|--------||
Orestoitla d out eseilesto itdisf amé	-|-----|-|-⌫---⌫|-|-|----⌫-|----⌫---|
p our telparole etdit liemper eres	-⌫--|--|-----|-|--|-|-----⌫---|
neseramie po ur	-|---|--|--⌫-|
ce d isfaméca r	-|-⌫------|--⌫|
l e iug en edit mi ece	-⌫|---⌫|-⌫|--|--⌫|-|
poursente ncecom esurchose	---|-----⌫--|---⌫|--|----|
Ci st me im esempereres	--⌫-|--⌫--⌫-|--------|
ditNon seule ment ceus qui	--|--|-----⌫---|---|--|
sontc omdanpnéd eho nte qu	---|-⌫--------|-⌫|--⌫--|-|
ilontfete sont disfamémeso ncoreceusqui	-|--|---|---|-------|--|-⌫----|---|--|
fontquelahontelor	---|--|-|----|--|
soit aquit ee .	---|-----⌫-||
Mesceusseulementquido nentdenie rs	--|---|--------|--|--⌫---|-----⌫-|
h ontequilontfete leurs oit	-⌫---|-|-|--|---|---|-⌫--|
aqui tee–nemie	----⌫--||-|--|
grac esa nzn ulpris	----⌫|--⌫-|-⌫-|---|
leu restpard onee– sont	---⌫|--|----⌫---||---|
disfamé messei eiuraiqueie nauoi e fet	-------|--|-|-⌫|----|--|-||----⌫|--|
honteparl a	----|--|-⌫|
uolentéàceluiqimauoitencusé leiuge	-------|-|----|-||----|------|-|---|
medoitaso udre.	-|---|---⌫---||
Un shuemsest oitcl ame z demoi	--⌫|---||---⌫--|--⌫---⌫|-|--|
quidis oit	--|---⌫--|
queieli auoiefet honte .	--|-|-|----|--|----||
Sifuisemons .	-|--|-----||
Iln eprouamie	-|-⌫|----|--|
cequ ildisoit	-|-|-|-----|
neleiugenemecondanpna par sentence	-|-|---|-|-|--------|--|-------|
queieeussefet	--|-|----|--|
forcenehontemes ilme	----|-|----|--|-|-|
i eamendassema	-⌫|--------|-|
Distli empe reresqu eienesui mie	---|-|----⌫----|--⌫|-|-|--|--|
pourcedisfamé.	---|-|-------||
Ceus q u ipran entlesgranzus uresetqui	---|-⌫-⌫|----⌫--|--|----|--⌫---|-|--|
des us ures	--|--⌫---|
pranentu sur esil d oi uent estredisfamé.	------|-⌫---⌫-|-|-⌫--⌫---|----|-------||
Ieauoiefreresquie st oien tmeneursde	-|----|-----|--|-⌫--⌫----⌫|------|-|
Ilest o ientiugleor et ioeeur	-|---⌫-⌫---|------|-|-----|
parde uant	--|--⌫---|
pourgaagn ierargentt antcomilfurent	---|-----⌫--|-----|-⌫--|--|-|-----|
Ie auoiepoorque	-|----|---|--|
ilfussent disfamé.	-|------|-------||
liempereresqueilneso nt	-|--------|--|-|-|--⌫-|
m ie disfame ́ .	-⌫-|-------⌫||
Liempereres dit	-|--------|--|
Celui qui ne garde l o iauté à	----|--|-|----|-⌫-⌫-----|-|
sesc onpangnonset de	--|-⌫---------|-|-|
ce estcondanpnépar le iuge etil plaid e	-|--|---------|--|-|---|-|-|-----⌫|
parsoimeimes	--|--|-----|
nemie parprocurateurils eradisfamé.	-|--|--|----------|-|-⌫--|-------||
Ciparoledes	-|-----|--|
procureeursqisontpor autruien	----------|-|---|--|-----|-|
Ci uientle tit red esprocureeursqui sont	-|----|-|---⌫-|-⌫-|----------|--|---|
es plezpour	-|---|---|
autruietestàsauoir que aucunefoiz	-----|-|--|-|-----|--|-----|---|
procu ra teurcoman demen tdeceluip ourquiil	-----⌫--⌫---|-----⌫-----⌫|-|----|-⌫--|--|-|
e st etce est certeinechoseetlorsne	-⌫-|-|-|--|-------|----|-|---|-|
do itdonernuleseurté.	--⌫-|----|---|------||
Aucune foiziln a p ointde	-----|---|-|||-⌫---|-|
coma ndem en t etcerestc erteinechose etlo rs	----⌫----⌫--⌫|-|-|---|-⌫------|----|-|--⌫-|
nedoit est rereceu z par caucion .	-|---|---⌫-|-----⌫|--|------||
D on quesditli em pe reresLorsseulement dem an del	-⌫--⌫---|--|-|--⌫--⌫----|---|--------|---⌫--⌫-||
au procur ateur queli sir es	-|------⌫----|--|-|---⌫-|
querelesetendraà	------|-|-----|-|
ce quilaura	-|-|-|---|
fetqu ant lendoute sei l a	--|--⌫--||-|----|-|-⌫||
comandementou non.	----------|-|--||
Unefamepl edo it contreunea utr esi uintcelequi	--|---|--⌫---⌫-|-----|--|-⌫---⌫|-|---|---|--|
sedesfendoitàlempereorp or demande rs	-|---------|-||-------|-⌫-|-------⌫||
elepouroitfere	--|------|---|
sonbaronprocurator.	--|----|---------||
Et ditli emperere quebienp uet	-|--|-|-------|--|---|-⌫--|
ba ronprocurato r	--⌫--|---------⌫|
me s doin tcaucionauant pour	--⌫|----⌫|------|----|---|
