O rentendéz	-⌫|--------|
fu lis ol a usdutcli ner	-|-|-⌫--⌫-⌫-|--|---⌫--|
Il s ecorru rent	-|-⌫|-----⌫---|
baisieretac ol er	------|-|--⌫--⌫-|
P lorant s en departi rent	-⌫-----||-|-------⌫---|
en en traen	-|--⌫--|-|
Amilesde noient	-----|-|-----|
nedesuoi e	-|------⌫|
Ilestuen us	-|--|---⌫-|
a ceul sdesoz	|----⌫|----|
Co ntrecorru renttantostcom il	--⌫---|-----⌫---|------|--|-|
Este ́auézbiaxsireo unozpoise	----⌫|----|---|---|-⌫|--|----|
Et dist licuen s	-|---|-|----⌫|
Qu auparle ren tendoi e	-|-|-----⌫|--⌫------⌫|
Aumessaigierl e ur esoit	-|---------||-⌫--⌫|---|
b enëoite	-⌫-------|
Delc ompaingnonmadit	--|-⌫---------|||--|
paroleuoire	-----|----|
Qu ilsierta	-|-|----||
Charlebelementsiemp loie	-----|-------|||---⌫---|
T outesate r re	-⌫---|-|--⌫-⌫-|
limaintien tetm anoie	-|--------⌫|-|-⌫----|
Mon tézbaron sen tr onzen	---⌫---|----||--⌫--⌫--|-|
nostreuoieSestoiea	-----|---||-----||
Bla iu iesde	---⌫--⌫--|-|
Que nm on chief sui	-|-⌫|-⌫-|----|--|
Qu ant ceoïrentliche ualiergentil	--⌫--|-|------|-|---⌫-----|-----|
Que ilironta	--|-|----||
B laiuie sl or chemin	-⌫------⌫|-⌫-|-----|
Tel ioieeno rentonquesgre ingnorn e ui	--|---|-|-⌫---|-----|---⌫-----|-⌫|-|
Formentensontenlorcuers	------|-|---|-|--|----|
Mon tentessellesdes destriers	---⌫---|-|-----|--|--------|
Ainznarresterent	---||----------|
apuine alarris	|--|-||-----|
Bla iu iesnepri nrentonqu es fin	---⌫--⌫--|-|---⌫----|----⌫-|--|
Lubiasfors d ela to r i ssi	-----|---|-⌫|-|--⌫|-⌫--|
Bien reconnu t lesc heu a lie rs	---|-------⌫|--|-⌫---⌫-⌫---⌫-|
Etlamai sn iequesesperes norri	-|-|---⌫--⌫-|--|--|----|----|
E nzensoncuer formentsen es ioï	-⌫-|-|--|---|------||-|--⌫---|
Encont reuintdesoz l om br e	------⌫-|---|----||--⌫--⌫|
pinLe s pee	--||-⌫-⌫--|
Amile uait	----|---|
ellerec oil lir	---|---⌫---⌫--|
Liberla uoitd autr e p artse	-|--|-|---||----⌫|-⌫--|-|
uoitle lad ammedou	---|-|-|-⌫---|--|
senscu idais sir	---|--⌫--|--⌫--|
Sire di st ellemoultmauéz enporuil	---|--⌫-|---|----||----|----|--|
O r reuenézde lacort de	-⌫|-------|-|-|---|-|
Charlebaisieretconio ïr	-----|------|-|-----⌫--|
Dontli miens cors estten us enpor ui l	---|-|----|---|--|---⌫-|----|--⌫|
Dexdoins tli	--|-----⌫|-|
on ques nementi	--⌫---|-|----|
Males nou uellesm enlaist	----|---⌫-----||-|----|
enco r oïr Amal	----⌫|---||--|
putaige s oitli	------|-⌫--|-|
siens c orsreprins	----|-⌫--|------|
Licuenslante nta p oi	-|----||----⌫-||-⌫-|
nenr aigeuis	|---⌫---|--|
H auce lapaume enzelnésla	-⌫---|-|----|--|-|---|-|
Comse s compains	--|--⌫|-------|
l i otcontéetdi t	-⌫|-|-----|-|--⌫|
Pass a auant aspoins la uaitsaisir	----⌫|----|-|----|-|---|-----|
S amblant f a isoitqu elauolsistla idir	-⌫------|-⌫-⌫----|--⌫|-|------|--⌫---|
Quan tsi ho melitoillent	----⌫|-|--⌫-|-|-------|
Amilesfumoul tge ntiz	-----|-|----⌫|--⌫---|
Ilmontea montlesmauberinsdegréz	-|----|-⌫---|--|--------|------|
Li mengiers furichement conraéz	-|-------|-|--------|-------|
Deuen ison deporsetde sainglers	-|---⌫---|-|---|-|-|--------|
Lesoirauuespre qua nt	-|---|-|-----|---⌫-|
i l durentsoupe r A la grant tablesestalé z	-⌫|-----|-----⌫||-|----|----||--|----⌫|
Etla cuizinne faitlicuensa porter	-|-|-------|---|-|----|-⌫-----|
Sescoupesd	--|-----||
orfaitilb iende mander	-|---|-|-⌫--|--⌫-----|
Lub iassistason destre	---⌫--|---||--|-----|
Gautiersason senestreléz	-------||--|-------|---|
Quantl ib aronfurent	----|-⌫|-⌫---|-----|
tuitassamblé	---|--------|
Ligentiz c u ens senesten piés	-|-----|-⌫-⌫--||-|--|-|----|
uoit lesba rons siles aap elléz	---|--|--⌫---|-|--||--⌫-----|
Seézseignor sicom seoirsoléz	----|------|-|--|----|-----|
Car a mengieraueronsa	--||------|------||
Q uant li baronorentlanuitsou p é	-⌫---|-|----|----|-|---|---⌫-⌫-|
Ci lch eual ier en	--⌫|--⌫----⌫--|-|
uont alor ost euls	---||--|---⌫---|
Si comesta	-|--|--||
cous tum e	----⌫---⌫|
Quantassézorentet	----|-----|----|-|
m engie ́etbeü	-⌫-----⌫|-|---|
palaissachiéznenr eme stnus	-----|-------||-|-⌫---⌫-|--|
Amilesenla chambr e estu enus	-----|-|-|------⌫|--|-⌫---|
ala couc hiert ouznus	--|----⌫---|-⌫--|--|
Auecluipor te sonbr ant dacier molu	---|--|---⌫-|--|--⌫--||----|---|
Lubia sales siens dras tolus	-----⌫||--|----|---|----|
Deléz leconte sa couchiénuanu	-----|-|----|||-------|-||-|
Quellele cuideac oler comson	-|---|-|----|--⌫---|--|--|
Delézluisentle brantdacier	-----|--|---|-|----||----|
Grantp a orot si s e n estt raiteen sus	----|-⌫-⌫-|-|-||-⌫|--|-⌫----|--⌫--|
esteffraee	--|------|
Lubias se ntinue le sp ee	-----|--⌫--|--||-⌫--⌫-|
Grantpaora mo ulten fue ffraee	----|---||--⌫--|-|-|-⌫-----|
Siredistelleoum auéz uoztrouue e	---|---|---|-||----|--|------⌫|
P ormoi oc irre	-⌫-|--|--⌫---|
aportastezespee	---------|----|
Mais p arlafoi	---|-⌫-|-|--|
quedoilamem a mere	--|--||--|-⌫|---|
tant queueingne la iornee	---|--|------||-⌫-----|
Gelco nte raimes	--|--⌫---⌫--|--|
couzins et mesfreres	------|-|--|-----|
eu esque mauer onttostmen ee	--⌫----||----⌫--|---|---⌫-|
P ar telengie ngs eraid e uozseu ree	-⌫-|--|-----⌫-|-⌫---|-⌫|--|---⌫--|
Deuostrecompaignie	-|-----|---------|
Amile s par tonsaintismenon	-----⌫|--|--|--------|--|
Meï ssaint	----⌫|----|
Pier reauchief d e	----⌫-|-|----|-⌫|
Etcon uertissaint	-|---⌫-----|----|
Ionassau uaseluentre	----|---⌫--|-|-----|
d oupo isson	-⌫-|--⌫----|
Danielenlafosse a ulyon	-----|-|-|----|-⌫|---|
Susan n egarisdoufaus	-----⌫-⌫|----|--|---|
Marie fei ̈ste zurai pardon	----|---⌫----⌫|---|-----|
Sico mcestu oirs etnozb ien	-|--⌫||--|-⌫---|-|--|-⌫--|
Garissiéz huilemienchier	---------|--|-|---|----|
compaingnon	----------|
A nlabataille de	-⌫|-|-------|-|
H ardréle felon	-⌫-----|-|----|
Quencorleuoieensamaistr e	-|----|-|---|-|-|------⌫|
Ainsizledistque ne l entendion	-----|-|---|--|-||------|-|
Ouuo itlad amme sil amise a raison	-|--⌫-|-|-⌫---|-|||---||-----|
Dame distilpar	---|---|-|--|
De u quifistlemont	--⌫|--|---|-|---|
Nulbe lsamblantfairene	--|--⌫|-------|----|-|
Cefulaut rierque iefui a	-|-||---⌫---|--|-|--||
Que iltenoi tsacort	--|-|-----⌫|-|---|
unsmires quiier tde	--|----|--|---⌫|-|
Besans o n	------⌫-⌫|
Qu i me d onnaetherbesetpuisons	--⌫|-|-⌫---|-|-----|-|------|
Que enmon corsauoiegrantfrison	--|-|--|---|----|----|-----|
Et q ue a famene usce habit acion	-|-⌫-||---||-⌫---|-----⌫----|
Necompa ingnietelcomau oirdoito n	-|-----⌫-----|--|--|--⌫--|---|-⌫|
Ainzmentenisse	---||-|------|
trenteiorsa bandon	-----|---||-----|
S enelfaisoi e i esuisans garison	-⌫|--|------⌫|-⌫|--|---|------|
la foi quedeuéz	-|--|--|-----|
Deudelmont	--|--|---|
Amile lebaron	----|-|----|
Sired ist elleetnoz	---|-⌫--|---|-|--|
leuo z di rons	-|--⌫|--⌫---|
u nmo tne uo z	-⌫|--⌫|-|--⌫|
enme ntirons	-|--⌫------|
autrierplainne	------|------|
fut amaisons A u ne	-|-⌫|------||-⌫-|
fes tecondist en	---⌫-||-|---|-|
Rouuiso nz	-------⌫-|
Amilescui l icor s	-----|--|-⌫|---⌫|
De umaldo nst	--⌫|--|--⌫--|
Ded ensmes chambresmere quista bandon	---⌫--|--|-------|-|--⌫----||-----|
Simeleu a mon he r min	-|-|---⌫|--|--⌫-⌫--|
uoltg enti z fiulsa baron	---|-⌫----⌫|----||----|
Telli do nnaidemo n poing	--|-|--⌫---|-|--⌫|----|
enz elfront	--|-|----|
late rrech aïa	-|--⌫--|--⌫--||
i enoill ons	-⌫------⌫--|
Ice seruicem ef ist fo i q uedoiuoz	--|------|-⌫|-⌫--|--⌫|-⌫-|--|--|
P o rce lai enhaï n n e	-⌫-⌫|-||-|-|----⌫-⌫-⌫|
A m ilesq uihau tsiés	-⌫-⌫---|-⌫-|---⌫|----|
etloinzuois	-|----|---|
Esperit abl esi estezbiax	-------⌫---⌫-|-⌫----|---|
Tantpar estfoxqui mainte	---|--|--|--|--|-----|
E tqu i lidistnoientdesonco nsoil	-⌫|--⌫|-|---|-----|-|--|--⌫----|
Orsaii ebien	-|--|-⌫|---|
S ale m onsse distuoir	-⌫---⌫-⌫--|-|---|---|
En setmilliers nenaquatre	-|--|-------||-||-----|
nontr oi s	--|--⌫--⌫|
parfaitezqui croire lesuoldroit	--------|--|-----|--|-------|
Damm euozditezuoir	----⌫|--|----|---|
Amile s li tr ai ̈tres sansfoiA	-----⌫|-|--⌫--⌫----|---|--||
cesteespeequi ci	----|----|--|-|
gistdeléz moi	---|-----|--|
L icoper ailechief	-⌫|-----⌫-|-|----|
s ei e leuo i	-⌫|-⌫|-|--⌫|
La morta deser uie	-|---||-----⌫--|
O iézseig nor	-⌫---|----⌫--|
quebuerf ussiézuoz né	--|---|-⌫------|--|--|
Ic ilairon s douconte	--⌫|------⌫|--|----|
A m ileeste r	-⌫-⌫--|----⌫|
Amideuommezretorner	--|-------|-------|
Par is lacitéAla bataille	---⌫-|-|----||-|-------|
doutraïtor	--|-------|
Nostreempereresestparmatinleuéz	-----|--------|--|--|----|-----|
Isnelle mentafa it	-------⌫---||--⌫-|
faireunsfosséz	----|--|------|
Gransetp lennie rset de	----|-|-⌫------⌫-|-|-|
boisbie nplantéz	---|---⌫|-------|
Iliuoldrasa	-||-----|-|
f amedesme mbrer	-⌫--|-----⌫----|
Bu euon so n fil	--⌫---|--⌫|--|
Belissantau uiscler	--------|-|--|---|
Nost re empereresles	----⌫-|--------|--|
fisttantostmander	---|------|-----|
Cillesamainnentquinelosent	--|--|--------|--|-||----|
L i rois le s uoitsale chiefen cline ́	-⌫|---|--⌫|---|||-|----|--⌫-----⌫|
Ilnelor fi stbelsambl antnepriu é	-|-|--|--⌫-|--|-----⌫--|-|----⌫-|
ilalézuoz aprester	-|----|--|-------|
Conme celique landoit	----|---|--||-|---|
d esmembrer	-⌫--------|
Parce lapostrec on	--|--⌫|------||-|
uostres garansuoz pue t tropdemorer	------|-----|--|---⌫|---|------|
ne ui e nt	-|--⌫-⌫-|
ainzmi edip a ssé	---|--⌫--|-⌫-⌫---|
feraito uz	----|--⌫-|
le smembresco per	--⌫|------|--⌫--|
Ardoirenfeuet la p oud reuen ter	-----|-|--|-|-|-⌫---⌫-|---⌫--|
Tozlors delmont ne	--||--|--|---|-|
uoz p o rroittanser	--|-⌫-⌫----|-----|
Deuoz neface iusticemoultcr uel	-|--|-|---|------|----|--⌫--|
Ladammeloits i conmence aplorer	-|----||--|-⌫|-------||-----|
elle biaus	---|----|
Q uienlacroislaissaztoncorspener	-⌫-|-|-|----|------|--|---|----|
Garismo ncors de	----|--⌫|---|-|
Bueuonmonfil	-----|--|--|
Bel i ssant au uiscler	---⌫-⌫----|-|--|---|
Cilglouznenozhonnisse	--|----|-|--|-------|
Or fu li rois co rresouzet	-|-|-|---|--⌫------|-|
Hard re ́zfuba u set	----⌫--⌫-|-|--⌫-⌫|-|
Par c esmonstiers e nuoie sesseri ans	--|-⌫-|--------|-⌫----|--|----⌫--|
Etfai t haster	-|---⌫|-----|
cesmessesquisontgrans	--|-----|--|---|----|
Se ti erce passemiedis en auant	-|--⌫---|----|-----|-|----|
Dontseitilbienquefinézestli champs	---|---|-|---|--|-----|--|-|-----|
Maisn ira m iede l tou taso n ta lan t	---||--|-⌫-|--⌫|---⌫||--⌫|--⌫---⌫|
Ou uo itle	-|--⌫-|-|
ro iselidistfiere ment	--⌫|-|-|---|-----⌫---|
Droisempereres	----|--------|
m abatailledema nt	-⌫|-------|----⌫-|
Amilesuo i rement	-----|--⌫-⌫-----|
Encestp aïsneue nra maisawa n	-|---|-⌫---|-|--⌫--|---|---⌫|
Fa it ezardoirlabele	--⌫--⌫-|-----|-|---|
Beliss ant	------⌫--|
Bueuon tonfil ettafame	-----|--|--|-|-|---|
Or i parradelaiustice gran t	-||----|-|-|------|----⌫|
uoismo ult merueillant	---|--⌫--|----------|
Quel aroïnemeuaitsiramposnant	--|-⌫|-----|-|---|-|---------|
Deu me file	--|-|-|-|
Gloriouzpuissan t	-------|-------⌫|
iertuespresneli	---|------|-|-|
solauscouchans	-----|-------|
I alauerraiardoiran	-⌫|-|-----|-----|-|
loitsipl oretanrementHé	|--|-|--⌫--|--------|--|
Dex dis t ellequif or ma stoute ian t	--|---⌫|---|--|-⌫--⌫--⌫|----|---⌫|
Et conmandasaubaron	-|--------|-|----|
Q uesacre fic efeïstdeson a nfan t	-⌫-|-----⌫---⌫|-----|-|--|-⌫----⌫|
Ille uolt fairetant fuenuozcre ant	-|-|---|----|---|-|-|--|---⌫--|
De uerslec ieluintu nsangresuolant	-|---|-|-⌫--|---|-⌫-|-----|-----|
Q ui li toilli et l es pee	-⌫-|-|-----|-||--⌫--|
e mport a enze lcie lm aintenant	-⌫-----⌫|--|-⌫|---⌫|-⌫--------|
Enparadisauecles	-|------|---|--|
Et si n asquisde	-|-|-⌫-----|-|
Bethle ant	------⌫--|
Lauoz requist rent l i tro ir o iuoire men t	-|--|-------⌫---|-⌫|---⌫|-⌫-⌫|-----⌫---⌫|
Etaportarentoeulsoffran degrant	-|---------||---|------⌫-|----|
Mirreeten cens	----|-|--⌫---|
etorparbo ntalant	-|-|--|--⌫|-----|
Troisans alastez	----|--|------|
uosam is p rae chant	--|--⌫-|-⌫---⌫----|
ap ostres c enastezl i emant	--⌫-----|-⌫------|-⌫-⌫----|
Enzens desers ou ieüne renttant	--|--|-----|-|------⌫---|---|
Leiüesd iabsolu	-|------⌫|-----|
quiestgr ans	--|--|--⌫--|
Laua sl or pie ́s chascu nmoultliement	----⌫|-⌫-|---⌫-|------⌫|----|------|
Iud as lifel litraïtrespusla ns	---⌫-|-|--|-|--------|-----⌫-|
la gent me screa n t	-|---|--⌫-----⌫-⌫|
Tren tedeni ers q uiln	----⌫-|----⌫--|-⌫|-||
en otplus ariant	-|-|---|-----|
D enuituozp ri nren t a lac handei lleardant	-⌫|---|--|-⌫--⌫----⌫||-|-⌫------⌫--|-----|
Lauozbaisa	-|--|----|
Iudas parboisemant	----|--|--------|
Po r d emonstr erd euozconnoiss ement	--⌫|-⌫-------⌫-|-⌫|--|--------⌫----|
Lors fustezmi senla cro isasprement	---|-----|--⌫|-|-|---⌫-|--------|
D eioinsmarraigeset despinnespoingnans	-⌫|----|--------|-||-------|--------|
uozcoronnerentcellemauuaiseiant	--|----------|----|-------|---|
Etpor uozf aireen c orplusa n goissant	-|--|--|-⌫---|--⌫-⌫-|---|-⌫-⌫-------|
percierentd	---------||
unnelancetr anchant	---|----|--⌫------|
Sa ncot et eue deuocostel	--⌫-|-|-|--|-|-|-----|
Lo ngisqu ainz no t ueü	--⌫---|-|---||-⌫|---|
Terstasesiex siot	----||--|--|-|-|
Nicodemusuo z	--------|--⌫|
couchadouc hement	-----|----⌫-----|
Enunsepu lcre quefistfaire moultgrant	-|-|----⌫---|--|---|----|----|----|
uozsurrexistezaut ierz i or uoirem ent	--|----------|-|-⌫---|-⌫-|------⌫--|
Anfer b risastezceseuent lia u quan t	----|-⌫-------|-|-----|-|-⌫-⌫----⌫|
Lestie nsamis en	--|---⌫-|---|-|
gietasuoireme nt	-----|-------⌫-|
Montaselc iele n tonsa int	-----|-|-⌫--|-⌫|--|--⌫--|
Ouiatraït res	-|-|------⌫--|
harbergeman t	-----------⌫|
t raïtr e sn iaura chasemen t	-⌫------⌫-⌫|||---|--------⌫|
Ne fausiugierr es	-|---|-------⌫-|
nesunh abit emen t	----|-⌫----⌫----⌫|
Sicom c es t u oirsbiaus	-|--||--⌫|-⌫---|----|
Roispuissans	---|-------|
Etgel croi lassesansnulmescroiement	-|--|---|----|---|--|-----------|
Moigari ssi ézdemo rt etde tor mant	--|----⌫---⌫--|-|--⌫-|-|-|---⌫---|
Bue uonmonfil mafille	---⌫--|--|--|-|----|
Belis sant	-----⌫---|
Cilgl ouznenozh onnisse	--|--⌫--|-|--|-⌫------|
Orf ulirois corrouciézet plai ns d ire	-|-⌫|-|---|----------|-|----⌫-||--|
Hardréz fuliés etioiansli	-------|-|----|-|-----|-|
enuoit lamale mor tso ubite	-----|-|---|---⌫|--⌫----|
Ouu oitleroi seliconmenc e a	-|-⌫--|-|--|-|-|-------⌫||
Droisempereres fuïss	----|--------|----||
terrenereuenrailmi e	----|-|------|-|--⌫|
Fa itez ardoir ma dammelaroïnne	--⌫---|-----|-|----|-|------|
B ue uon to n f ilet	-⌫--⌫--|--⌫|-⌫-|-|
B el iss ant ta fille	-⌫--⌫---⌫--|-|----|
delauostr eiustice	-|-|-----⌫|------|
Ilnemestordront mie	-|-||---------|--|
Ladam m eloitparfonde ment souzpireHé	-|---⌫-⌫||--|--------⌫---|-------|--|
Dexdistelle	--|---|---|
qui fuznésdela	--|--|---|-|-|
Etlepai ndorgemeniastez alaceinne	-|-|---⌫||---|--------||-|-----|
uost remaisn i e fudeuoz	----⌫-|-----⌫-⌫|-|-|--|
Sicomc estu oirs	-|--||--|-⌫---|
Dam esainte	---⌫|-----|
Bien lecroi lassesan s	---|-|---|----|---⌫|
nulle t richerie	----|-⌫-------|
Mo i gardé z	--⌫|------⌫|
D amm edafol er etd ocir re	-⌫---⌫||----⌫-|-||----⌫-|
Bueu onmonfilet	----⌫-|--|--|-|
Belissant mafill e	--------|-|----⌫|
Sico melleot saproierefeni e	-|--⌫|---|-|-|------|----⌫|
Si resgarda endr oit hore de	-|-------|----⌫--|---|-|
Si uit uenir	-|--|----|
Amiparla chauci e	--|--|-|------⌫|
uo itle lad amme moulten est	--⌫-|-|-|-⌫---|----|-|--|
Hardré ap ellesil i c onme nceadire	------|--⌫---|-|-⌫|-⌫----⌫--||---|
Hard r énellairai neluozdie	----⌫-⌫-|--|-----|--|--|--|
i ertorescellechie re abaiss ie	-⌫--|---|----|----⌫-|------⌫-|
Ancuiaurézcelle	----|-----|----|
te ste tranchie	--⌫--|-------|
Etcellepanceestro eeetp ercie	-|----|----|-----⌫-|-|-⌫----|
Son nentcilsai nt de	---⌫---|--|---⌫-|-|
partoutelauille	--|----|-|----|
uictoretdesau trese glises	-----|-|--|--⌫---|-⌫-----|
Etcil ettui tliautre	-|--|-|---⌫|-|----|
Quant ladamme otfin ee s a proiere	----|-|----|-|---⌫-|-⌫|------|
Siuitu enir	-|--|-⌫---|
Am iparla charriere L escuau col et la	--⌫|--|-|--------||---|-|--|-|-|
broi ng ne doubliere	----⌫--⌫-|--------|
u oit le ladamm e	-⌫--|-|-|----⌫|
forment fu esioïe	------|-|------|
Hardréapellesiliconmencead ire	------|-----|-|-|-------||-⌫--|
Oruozuoimoult celle	-|--|--|----|----|
c hiere aba issie	-⌫----|---⌫----|
Labo nnedammeform e ntlecontrarie	-|--⌫--|----|----⌫-⌫-|-|--------|
Hardrétraïtreslicors	------|--------|-|---|
Deu temaudie	--|-|-----|
Quan t l ec ueras si plain de fel onn ie	----⌫|-⌫|-⌫--|-|-|----|-|---⌫---⌫-|
Bienaifianceen	---|-|-----|-|
MarieC an c ui au razce llet es te tran chie	----||--⌫-⌫-|--⌫--|--⌫--|-⌫--⌫-|----⌫---|
Etcellepance estroee etper cie	-|----|----|------|-|---⌫--|
uozn eschap eré z mie	--||------⌫----⌫|--|
A mis fumoultgenti zet	-⌫--|-|----|-----⌫|-|
Ilne uintmie	-|-|---|--|
comhomt rop esmaiéz	--|--|-⌫--|-------|
Har d re ́z fu d olans et	---⌫-⌫--⌫-|-|-⌫----|-|
corrouci éz	--------⌫--|
Ori uont tuitser iantet	-||---|---|---⌫---|-|
Ami squ est moult bons cheualiers	---⌫|-|--|----|---|---------|
E stdesce ndusdesozun	-⌫-|-----⌫---|----|-|
Nos tre e mpere resle	---⌫--|-⌫-----⌫--|-|
uitsifumoul tliés	--|-|-|----⌫|----|
Encontreuaitdegréz etuolentiers	-------|---|-|----|-|---------|
Et laroïnneo le corsafaitié	-|-|------||-|---|-------|
A misal uentp armoult grans	-⌫-|---⌫---|-⌫-|----|----|
amis tie ́s	----⌫---⌫-|
l i cuen s	-⌫|----⌫|
