apr esde ceque sainz	---⌫-|-|-|--|----|
decouteaus aguztrespercié degauelozdesaiate sde l ances	-|-------|---|----------|-|------|-|------⌫|-|-⌫----|
e spee s .	-⌫----⌫||
enquiotplorsetcriz chascunssorsonami	----|-|----|-|---|-------|--|--|--|
toz liuau setli bois	--|-|---⌫|-|-|---|
enestoitplains .	-|-----|-----||
a doniura li	-⌫--|---|-|
rois pe rle	---|--⌫|-|
r oi tot puis sant queil	-⌫-|---⌫----⌫---|--|-|
ne c essero it masdalerapres	-|-⌫------⌫-|--||---|----|
lessarrazinstan tqu illestroua st .	--|--------|---⌫--|-|--|-----⌫-||
etmai ntenant li	-|---⌫------|-|
sol az sea ras taiperlespace	---⌫-|-|-⌫---⌫--|--||-----|
d etrois iors.	-⌫|----|---||
etcha rlestroua	-|---⌫---|----|
l essarrazi ns ges anz et	-⌫-|-------⌫-|---⌫--|-|
mainianzdelezle fluueebra	-------|----|-|----|---|
cite de s arrage et les occittre stoz	---|-|-⌫-----|-|--|----|---⌫---|
ceu squi bienest oienty y .	---⌫|--|---|---⌫----|-⌫||
etcefaitil	-|-|---|-|
sanre pairae nronceuauset furentportédesenqui	|-|--⌫----|-⌫|--------|-|-----|-----|--|----|
limortetlina uréiusque aleuou roola nz	-|---|-|-|--⌫---|-----||--|-|-----⌫-|
etado nquesdemanda ch ar le sse ceestoituoirs	-|---⌫----|------|--⌫--⌫--⌫|-|-|-----|----|
que guanelon totfaiteceletraison.	--|--------⌫|-|----|---|------||
e tcomeplusor leffermassanttyerriz	-⌫|---|-----||-----------|------|
getais ongaigecontre genelonliquexmist	----|-⌫-|----|-----|------|-|---|---|
encha mpdebataillep i nabel p orlui .	-|---⌫-|-|-------|-⌫-⌫----|-⌫-|--||
ettyerizfuarmezentre	-|-----|-|----|----|
luietlocci t.	--|-||----⌫||
e tcha rlesfist aploier yycheau asa s yy	-⌫|---⌫---|---|------|-|-----⌫-|-⌫|-|
mamb res deganelonetdetraire en	----⌫--|-|------|-|-------|-|
quatreparties mambre etm am bre.	-----|------|-----|-|-⌫--⌫--||
a donquesliamidesmorsem bassemerent l es cors l i un	-⌫------|-|--|--|---|--⌫----------|-⌫-|---|-⌫|-|
demyerr eliau t red e	-|-----⌫|-|--⌫-⌫-|-⌫|
fandoient et anteuentleuan tr eet les	--------|-|-------|-|---⌫--⌫|-|--|
portoi enten	------⌫--|-|
beresliautre sorcheuaus	----|-|----|--|------|
li autresorlorespallesli aut relesna ureze t	-|----|--|--|-------|-|---⌫-|--|--⌫---|-⌫|
lesenfer sp ortoientsor lor	--|-----⌫|-⌫-------|--|--|
espallesli au tresuseschieles	-------|-|--⌫--|--|--------|
autrelesseuelissoient enq uimeisme s	----|--|------------|---⌫-|------⌫|
ad onques estoie ntdui principalcymitere aarelate men alychamp set	--⌫-----|------⌫-|--|--------|-------||-------⌫|-|--------⌫|-|
li autre sa	-|-----⌫||
burdegaleslesquexnostresiressacra ipe rles	---------|--|---|-----|----|-----⌫|--⌫|--|
mains deyyauesques	----|-|-|-------|
persainmaximinsa i n ttrophin saintpoulde	--|---|------|--⌫-⌫-⌫|------|----|---|-|
narbonesaint saturninsaintfrontin	------|----|-------|----|------|
sai ntmarcelet	---⌫-|-----|-|
saint eutro pe.	----|-----⌫-||
cymi te resgra nzparti efuse uelie	----⌫--⌫--|---⌫-|-----⌫|-|--⌫----|
e t cil qu i mo rurenten	-⌫|--|--⌫|--⌫-----|-|
lostdoumontdegarz ini furentseueli.	|--|--|---|-|----⌫-||-----|-----||
sordoes mulesfuportezroolanziusque	--|---|----|-|-----|------|-----|
enunechassed	-|--|-----||
orco uersdepaile senl	-|--⌫---|-|-----⌫|-||
englisede sain tromainlaqueleilau o itedifie cai	------|-|----⌫|-----|-|----|-|--⌫-⌫-|-----|--|
enarrierseti auoitestaublizchen oine s	-|------|-||----|--------|----⌫----⌫|
eten qui fuseueliz	-|--⌫--|-|------|
as o nchiefet ses cors diuoire	|-⌫-⌫|----|-|--|---||-----|
a s espiezenlonor	|-⌫-|---|-||---|
de de uetde sa cheual erie	-|--⌫|-|-|-|------⌫---|
mas puisdeces es cors di uoire	--|---|-|-|-⌫-|---||-⌫----|
fu p ort ezab u rga les enl englisesai ntseuerin	-|-⌫---⌫-||-⌫-⌫---⌫--|-||------|---⌫-|------|
a bel inumfuseueliz oi giers li	|---⌫---|-|------|--⌫----|-|
r oisdedaceoliuiers etgondebuesroisd e frise	-⌫--|-|---|-------|-|--------|---|-⌫|----|
a rastainsroi s debr itaignegarin sduxdelorraineet maint	-⌫-------|---⌫|-|--⌫------|-----⌫|--|-|-------|-|----|
abur ga lesoucymite re	|---⌫--⌫--|-|------⌫-|
sa intseue ri ngai fierrois	--⌫--|----⌫--⌫|---⌫---|---|
de burgales	-|-------|
angel ie rsdux de aqu itaineens ambleyy	-----⌫--⌫-|--|-|---⌫-----|---⌫----|-|
hoel lus licuens a	----⌫--|-|----||
nan tessaciteensamble	---⌫--|-|---|-------|
ma inz brito ns .	--⌫--|-----⌫-||
aprescekallesalexempledeiu de mac habeedona	----|-|-----|||------|-|--⌫-|---⌫----|---|
porles arm es desmorsyy	--|--|---⌫-|--|---|-|
unces darge nt etau tantdebesanzd oret	----||----⌫-|-|--⌫---|-|-----||-|-|
uestureset uiand esas	-------|-|-----⌫-|-|
poures genz	-----|---|
etdonaienalue sp oramorderoolanta	-|----|-|----⌫|-⌫-|---|-|------||
len glisede saintro main de	|--⌫----|-|----|--⌫---|-|
blaiuestot ela	------|---⌫|-|
terrequi si etdeuironladiteenglisepe rl	----|--|--⌫-|------|-|---|------|--⌫||
aspace de yy milleset	-----|-|-|-----|-|
lec h asteldeblaiueset t oteslas	-|-⌫-⌫----|-|------|-|-⌫---|--|
ap arteignanc es etlam erqui desouz est ason	--⌫----------⌫-|-|-|-⌫-|--|-----|--||--|
etcomandai a schenoines	-|-------|-⌫|--------|
ilnefu sientsoug et a	-|-|--⌫----|----⌫-||
aucunepersoneetet	-----|------|-|-|
qui lne paasi en t	-|-⌫|-|-----⌫--⌫|
d es enqui	-⌫-|----|
en auan t acunseruitutemas que tantsoule m antpor le	-|----⌫|---|--------|--|--|---|-----⌫-⌫--|--|-|
sal utde larm eson	---⌫-|-||---⌫|--|
porse s comp a ignonsle iorde lo r passi on	--|--⌫|----⌫-⌫-----|-|--|-|--⌫|-----⌫-|
donassientcha scunana	---------|---⌫---|-||
u estemanz et lordonassie ntaboire eta	-⌫-------|-|--|--------⌫-||----|-||
m angier etdisassie n tyysaut iersety ymasses	-⌫-----|-|--------⌫-⌫|-|----⌫---|-|-⌫|-----|
ens ambleuigileset	---⌫----|------|-|
le sau tresobsequesdem ors	--⌫|--⌫---|-------|-|-⌫--|
en remam brancedec eu setporto zceusqui	-|-----⌫-----|-|-⌫--⌫|-|--|--⌫|---|--|
auoientsoffert martyre en	------|------|------|-|
esp aigneetq ui encorle soffrero ient	---⌫----|-|-⌫-|----|-|--------⌫---|
por lamor denostr e se ignor .	--||---|-|-----⌫|--⌫----||
promistrentafair e per l orse iremanz.	----------||----⌫|--|-⌫-|--⌫------||
desenq uiieetcharles no s	--|---⌫-|-|-|------|--⌫|
anala smes	-|---⌫---|
pergascoignee tper tolouseaa ralatemet	--|--------|-⌫|--|------||-⌫------|-|
enqui trouesmesl esoz de bo rgoi gnons	----|--------|-⌫-|-|-|--⌫----⌫----|
qui estoientdeparti	--|-------|------|
hosteualqui	-------|--|
a uoient aportez les	-⌫-----|------|--|
co rsdes mors etdesnaurer porseuel iren a ylesch amps	--⌫-|--|---|-|--|-----|--|-----⌫-|-|-⌫------⌫---|
etenq uinos seuelissasmes estoulleconte d el angreset	-|---⌫-|--|------------|-----|-|----|-⌫|-⌫-----|-|
salo monets anxon	----⌫--|-|-⌫----|
borgoigne arnal	--------|----|
de bellandealberileborgoinonguinart esturm i	-|-------|-----|-|--------|------|------⌫|
hote tyerr iyuorinetberart	---|-----⌫|-----|-|-----|
berangieretn aamanduc de baoiarieensambleyydautres	--------|-|-⌫----|--|-|-------|-------|-||-----|
co stantinsfu porterpermer e nsamb leautres	--⌫-------|-|-----|--|--|-⌫-----⌫-|-----|
deromain s et de pu ille qui furent	-|------⌫|-|-|--⌫---|--|-----|
seuelliarome .	------||---||
e tporles a rmes deceusch arlesd ona	-⌫|--|--|-⌫---|-|---|--⌫----|-⌫--|
argent etautantdebesanzd	-----|-|-----|-|-----||
oraa relatem.	-||-⌫------||
apresde cen os analesmesensamble i usqueauiann e	----|-|-|-⌫-|-|------|-------|-⌫----||-----⌫|
etiedemorai	-|-|------|
enquitozma lai d esdecops et des plaiesqueie	----|--|--⌫---⌫-⌫-|-|---|-|--|-----|--|-|
auoie soffertes.	----|--------||
alai aparis	---||----|
la citeensamble	-|---|-------|
etfistauner	-|---|----|
leconc iledeprin cepse tdeau esques e n	-|----⌫--|-|----⌫---|-⌫|-|--⌫-----|-⌫|
len g l isede sai ntdeniseetrand igraces	|--⌫-⌫-⌫--|-|---⌫-|-----|-|----⌫|-----|
a d euet asaintdenisedece	|-⌫-|-||----|-----|-|-|
qu il a u oitdonéforceetuictoire	-|-|-⌫-⌫--|----|----|-|-------|
suslapainegentetdona	--|-|----|---|-|---|
egli se en aluefto tel a	----⌫-|-|----|--⌫-|-⌫|
te rredefranc eausi cum	--⌫--|-|-----⌫|---|--|
sainz poul la pos tres et	----|---||-⌫---⌫---|-|
sainz cl eman zliauoientdonédeuant	----|--⌫----⌫|-|------|----|-----|
cel auesc hieencelleu.	-||-----⌫--|-|--|--||
e tcoma ndaiquetuitliroi defranc e	-⌫|----⌫---|--|---|-|--|-|-----⌫|
presentetaue ni rfusi entobeissant en	------|-||--⌫--⌫|----⌫--|--------|-|
ihesucristapastord e ce leegliseetque	----|----||-----|-⌫|--⌫-|-----|-|--|
l iroisan z	-⌫|--|---⌫|
s on c o ns oil nef usi ent cor onéne recehua romen e	-⌫-|-⌫-⌫--⌫--|-|-⌫---⌫--|---⌫---|-|-----||---|-⌫|
etapr esi lcomandaique liha bitan t	-|---⌫-|-⌫|-------|--|-|--⌫-----⌫|
chas cu n hosteldefrancepaa ssientporedi fier ladite	----⌫--⌫|-----|-|-----|---⌫-----|--|---⌫---|-|---|
egl ise c hascunanyy deniers etuosit que tuit	---⌫--|-⌫-----|-|-|------|-|----|--|---|
liserquiuol untiers	-|--|--|---⌫------|
p aeroi entlesyy d eni ersquilfusi entfra n c .	-⌫-----⌫--|--|-|-⌫---⌫--|-|-|----⌫--|---⌫-⌫||
et pria saint denisequ il fe istpriere	-|---|----|-----|-|-|--⌫--|-----|
seign orporc esq ui	-----⌫-|--|-⌫-|-⌫-|
paeroien tlesdiz	--------⌫|--|--|
yydenie rsetpor ceusquiauoient lassiez	-|-----⌫-|-|--|---|--|------|------|
lorp roprietezp or lamorde nostre	--|-⌫--------|-⌫-||---|-|-----|
seigno retqui auoient soff ert martyreenes pa igneenla	------⌫|-|--|------|----⌫--|------|-|--⌫--⌫---|-|-|
batailledessarr azi ns	-------|--|----⌫---⌫-|
etsa inzd e nisapp arutdenu iz a	-|--⌫--|-⌫-⌫--|---⌫---|-|--⌫-||
roiet l iditi ai empit ré a	--|-|-⌫|--||-|-----⌫--||
nostreseign orquece so i tf ait	-----|-----⌫-|--|-|--⌫-⌫|-⌫--|
que turequ iers	--|-|----⌫---|
etes deprié .	-|-|------||
et quiuoluntiersrandoitlesyydeniersilestoit	-|--|---------|------|--|-|------|-|-----|
ap elezfrans.	--⌫---|----||
et porcelet erre quiprem iersestoitape lee	-|--|---|-⌫---|--|----⌫---|-----|---⌫--|
g alle sfu descelu ite mpsapeleefr ance	-⌫----⌫|-|--|----⌫|--⌫--|-----|--⌫---|
ale estoi t	--|-----⌫|
fran ge etqu itedo us eru itu te	----⌫-|-|--⌫--|--⌫|-⌫---⌫---⌫-|
d autr esgenz.	|----⌫-|---||
p orquoifrancoisest diz fra nsq uar	-⌫-|---|-------|--|--|---⌫-|-⌫--|
sortotes autres genzonlor	--|----|-----|---|-|--|
doit honoret signorie.	---|----|-|-------||
apresce li roiss	----|-|-|---||
analai aaquigraineet f ist	-|---||---------|-|-⌫--|
enquibainzdeague	----|----|-|---|
chaudeetdefroide et	-----|-|-|-----|-|
ornailengl isede nostr e damequilauoi tenqui	----||----⌫--|-|-----⌫|---|-|-|----⌫|----|
oretargen tetdetoz orneman zde	-|-|-----⌫|-|-|--|-------⌫|-|
etcomandaiapaindreenquileshystoiresde la	-|-------||------|----|--|--------|-|-|
uea uzl oi	---⌫-|-⌫-|
etdelanouele.	-|-|-|-----||
etfistun palais delez	-|---|-|-----|----|
celeeglise.	---|-----||
lesbataillesqu ilauoit uaincuenespaigneet les	--|--------|-|-|----|-----|-|-------|-|--|
yy ars declergiesont enquip ai ntes.	-|--|-|------|---|----|-⌫--⌫---||
gr amaire estmer edeto tesar slaqu ele	--⌫-----|--|---⌫|-|--⌫--|--⌫|-|--⌫--|
ensoignequanz etqu elesleitrescomantet	-------|----|-|--⌫---|------|-----|-|
p erquexle itres lesparties et	-⌫-|---|--⌫----|--|------|-|
lessillabesdoiu entest r eescritese tenque xleus doiuent	--|-------|----⌫--|---⌫-⌫|-------|-⌫|-|---⌫|---|------|
estre misl idiptongeausi cum li	----|--|-⌫|-------|---|--|-|
duipr emier liu r e de	--|--⌫----|---⌫-⌫|-|
ortografielemostrent .	---------|-|-------||
ortografieestsc iencede	---------|--|--⌫----|-|
droiteescr ip turequareng re z uatata ntenlatincome	-----|----⌫--⌫---|---|-|-⌫--⌫|--|---⌫-|-|----|---|
droizetcomeescripture .	----|-|---|---------||
p ercesteart	-⌫-|----|--|
l il isoursensaincteeglise enta nde ntce	-⌫|-⌫-----|-|------|-----|----⌫---⌫-|-|
q ui lleise nt.	-⌫|-⌫|-----⌫-||
etquinelaset laleicon p uetleire	-|--|-|-|--|-|-----|-⌫--|----|
masi l nentantpasce	--|-⌫||-----|--|-|
qu ildit ausi cum cilqui	-|-|--|---|--|--|--|
d ou t ressoret nes et ce	-⌫-|-⌫-----|-|-|-⌫-|-|
qui danz est	--|---|--|
musique estsciencedechanterbie netadroit .	------|--|------|-|------|---⌫|-|-----||
percelisontembeli	--|---|---|-----|
li officede de u etporce	-|-----|-|--⌫|-|--|-|
e le estplusch iere	-⌫-|--|---|--⌫---|
perce steartli	--|--⌫--|--|-|
chanteorchan tentetorg a nizente n	-------|----⌫---|-|---⌫-⌫-----|-⌫|
l e ngliseet	|-⌫-----|-|
cilquine lase t crierpuet	--|--|-|-|--⌫|----|---|
auecl esautresm es	---|-⌫-|-----|-⌫-|
il ne set pas l a temprema n t de suoiz	-|-|--|--||-⌫--------⌫-⌫|--⌫|---|
nelesgrez .	-|--|---||
tuitli estrumantfu faitper ceste	---|-|--------|-|---|--|----|
premiersfutr ouee	-------|-|--⌫---|
perlauoizet perles	--|-|---|-|--|--|
nedoit doter	-|---|----|
quelauoiz deschantors	--|-|---|--|-------|
en l engliseper deu o t ion nesoien taiostéasuo iz	-||------|--|---⌫-⌫-⌫--|-|-----⌫|------|-|--⌫-|
desange so u	--|----⌫|-⌫|
cielausi cumon	---|---|--|-|
dit cest adirenoste	--||--||---|--|-|
depri ons quetur ecoiues n o s u o izau ecles uoi z	-----⌫--|--|-|-⌫------|-⌫-⌫|-⌫-⌫-|--⌫-|--|---⌫|
estdeange s	--|-|----⌫|
perlesyyl ignesq u	--|--|-|-⌫----|-⌫|
aleestesc rite et perles	--|--|---⌫---|-|--|--|
s ont senifi é lesy y uer t u zprudanceforceatamprance	-⌫--|------⌫-|--|-⌫|---⌫-⌫-⌫|-------|----|---------|
et i ustice etles	-|-⌫-----|-|--|
y ybienestruancesper le s quex	-⌫|---|---------|--|--⌫|---|
li ar mee stgarnieet h onor ee.	-|--⌫-|-⌫-|-----|-|-⌫----⌫-||
dy alectique est unears	--⌫--------|--|--|--|
la queleensoi gne	-|----|-----⌫--|
a deu iser le uo ir	|---⌫---|-|--⌫-|
do ufauset	--⌫|---|-|
desputer de paroleetd es en tance.	-------|-|-----|-|-⌫|-⌫--⌫----||
rec to riqueestars	---⌫--⌫----|--|--|
quiensoi gneauenanmant	--|-----⌫--|---------|
etplais iblem ant a	-|-----⌫-----⌫--||
parler quare lerant lome bien	-----|---|-⌫-|---||--|---|
e nre ign ié etde belespar oleset	-⌫---⌫---⌫--|-|-|----|---⌫---|-|
bien aornees .	---|------||
g eometrieest	-⌫-------|--|
arsdemesure retestdite eng rez	--|-|------⌫|-|--|---|-|-⌫--|
quiest terreetqui	--|--|----|-|--|
estmesu re c	--|----⌫-||
mesurede t erre.	-----|-|-⌫---||
quarcestearsensoig neame sur erle sesp a ces	---|----|--|------⌫-||--⌫---⌫-|--⌫|---⌫-⌫--|
lesmil les etl eslieguesdest erre s desmo ns	--|---⌫--|-|-⌫-|------|--|-⌫----⌫|--|--⌫-|
des ualle es et desm ers .	--|-----⌫-|-|--|-⌫--||
etquib iensetceste artiluoi tplainnemant	-|--|-⌫--|--|----|--|-|---⌫|----------|
l aspacedec hascune regiondeterrede leu	|-----|-|-⌫------|-----|-|----|-|--|
de champdeprou incedec it eetcoignostper	-|----|-|----⌫---|-|-⌫--⌫|-|-------|--|
quanz toi ses per	----|---⌫--|--|
quanzpiez perquanz milleseles estendeenlonc	----|---|--|----|-----|--||------|-|---|
et e n lar ge.	-|-⌫|---⌫-||
per cest eart li	--|----⌫|--|-|
senatorderomeseurentlame su redecitezancienes	------|-|---|------|-|--⌫--⌫-|-|----|-------|
des millesetdesuoie s de	--|-----|-|--|----⌫|-|
citeen citeetlifil	---|-|---|-|-|--|
i srael me surarenta cordesenl onc	-⌫----|--⌫-------||-----|-|-⌫--|
et enla rgelater re d epromissionetligaaignor	-|-|--⌫--|-|---⌫-|-⌫|---------|-|-|-------|
perceste a rtia sa	--|----|-⌫-|-|-|
n a s aichent set rauaillentde	-⌫|-⌫------|-|-⌫---------|-|
mes urerlesterr esetlesuignes lespre zles	---⌫---|--|----⌫-|-|--|-----|--|---⌫|--|
boisetleschamps.	---|-|--|-----||
arimetique est	---------|--|
ars qui ensoig ne	--|--|------⌫-|
de toteslesch osesetcilqu ibienlaset	-|----|--|--⌫---|-|--|--⌫|---|-|--|
uoitbienetne	---|---|-|-|
puetdir epercele	---|---⌫|--|---|
artquant pierresil aienunehaute	--|----|------|-|-|-|--|----|
toro uenun	--|-⌫|-|-|
mu rouqua nz	--⌫|-|---⌫-|
gotesdeaig ue i	----|-|---⌫-||
peut auoir	---|----|
enun h anapou qu a nt deniersont	-|-|-⌫---|-|--⌫-⌫-|-----|---|
en zzmoncelouqua nthomeenzz ot	-|-|-----|-|---⌫-|---|-|-|-|
o uqua nt millier.	-⌫|---⌫-|------||
per cestearts ont enco roureesl esautres torset	--|----|--|-⌫--|----⌫|-----|-⌫-|-----|---|-|
lihautmur.	-|---|--||
as trolo gie est	--⌫-----⌫--|--|
enc herchem anzperle sestoilesperquoi	---⌫-------⌫--|--|--⌫|-------|--|---|
liaccidant qui auienent autrepar t	-|-------|--|-------|----|---⌫|
malpresent ouauen irsontc ogneu	--|------|-||---⌫-|---|-⌫----|
perla quele o nset	--|-|----|-⌫|--|
est aauenir.	--|||----||
percesteartli senator deromesauoientla	--|----|--|-|------|-|---|-------|-|
mortdabarons etl esba taillesfaites	---|-|-----|-|-⌫-|--⌫------|-----|
endiuersesre gio nsetled escressemantet	-|-------|--⌫---⌫-|-|-|-⌫-----------|-|
lestatdesrois	|----|--|---|
e t des reiaume s	-⌫|--|-------⌫|
etliroiet herodesperlecors de l	-|-|--|-|------|--|-|---|-||
estoile s euren tlanationdeih esucrit	------|-⌫-----⌫|-|-----|-|--⌫--|---|
unech ascunedece	--|--⌫-----|-|-|
ai unefill esubiecteasoi c est a	-|--|----⌫|-------||--||--||
sauoirunliur otq uit raictedesoi .	-----|-|----⌫-|-⌫-|-⌫-----|-|--||
nig ro manc edequoina iqirentpyromancee tydroman celi	---⌫--⌫----⌫|-|---|--⌫------|--------|-⌫|-------⌫-|-|
liur ezs acre zmasexecrezc il n ifu	----⌫-|-⌫----⌫|--|------|-⌫-|||-|
neescr izqu arce	-|----⌫-|--⌫-|-|
n estpasarsfranche.	|--|--|--|------||
sauoirlapue t	-----|-|---⌫|
onmasonnan	-|--|-||-|
puetoure rs ans lafamiliarite doudyableetpor	---|----⌫|-⌫--|-|----------|--|-----|-|--|
diteauot iere quareleestblasmeepor le	---|----⌫---|---|--|--|------|--|-|
mauaisn un.	-----|-⌫-||
quarengre zcome mors.	---|-|---⌫|---|---||
de uinemanzenlatin et	--⌫-------|-|----|-|
comepy ro ma ncediuin ations en feu	---|--⌫--⌫--⌫--|-----⌫-----|-|--|
yd romancediuination senaig ueetliencomacemanzdecestliure	--⌫------|----------⌫|-|---⌫-|-|-|-----------|-|---|----|
esttes cest a	--|--||--||
direciencom a n celi morsde	---|-|-----⌫-⌫-⌫-|-|---|-|
apresceun petit	----|-|-|----|
tempslimorscharlefu	----|-|---|-----|-|
demostree.	--------||
quarcumiefu sseenp riere s	---|--|-|--⌫--|-|-⌫-----⌫|
deuantlaute ld e	-----||----⌫|-⌫|
le ngli sede uianne et	|-⌫----⌫-|-|-----|-|
iechantassecestepsalmeil mesamblaiqueu negranz	-|--------|----|-----|-|-|------|--|-⌫-|----|
c om paigniedenoirschaualiers	-⌫--⌫------|-|----|---------|
trespasso i entp e r	---------⌫-⌫--|-⌫-⌫|
d e uantmoiet sanaleuentausicum	-⌫-⌫---|--|-||-|------|---|--|
ue rs loreine.	--⌫-|------||
et quan t ilfurent tuitpassé	-|----⌫|-|-----|---|-----|
ilanuientade rriersunquisambloitun	-|-|----||--⌫-----|-|--|-------|-|
ethyo pien eta loit totales ir.	-----⌫---|-|-⌫---|--||---⌫-||
dis aceluiouan	--||----|-|-|
etilme dist qu i lal oientaaq ui graine	-|-|-|---|-|-⌫|--⌫----||--⌫--⌫-----|
al a m ortdecharleporporters o nesperit	|-⌫|-⌫--|-|-----|--|-----|-⌫-⌫|------|
en enfe r.	-|----⌫||
etielidisie te coniur per	-|-|-|--|-|-|-----|--|
le nunnostreseignorihesucristquerepai r oies	-|--|-----|------|----|----|--|-----⌫-⌫---|
etien o ipasbien perfeni mon p salme	-|-||-⌫|--|---|------|--|-⌫----|
quan tilr epa irer entpermoietie	----⌫|-|-⌫---⌫----⌫--|--|--|-|-|
derrenieracuiie auoie	--------||--|-|----|
parle ́ quea ue zuosf ait	-----⌫|--|-⌫--⌫|--|-⌫--|
e tlidyables me dit	-⌫|-|------|-|--|
que ligalici enssanz	--|-|------⌫--|---|
testemist tant enlabalanced e boisetde	----|---|---|-|-|------|-⌫|---|-|-|
pierres de	------|-|
ses eglis esquepluspesarent li bien	--|-----⌫-|--|---|-------|-|---|
que li malet	--|-|--|-|
porceil nos	--|-|-|--|
toi llilarme.	---⌫--||---||
etceditlidyables	-|-|--|-|------|
en tel meniereie	-|--|------|-|
entandi quecharles estoittraspasseza celui	------|--|------|-----|---------||----|
ioret per l	--|-|--||
aidedesaintiasqueporcuiil	---|-|----|-----|--|--|-|
auoitfundeesmaintes e glises i l	----|------|------|-⌫-----|-⌫|
an aquistetfupo rtezou reignedou	-|-----|-|-|--⌫---|-|-----|--|
et porce quarquantil part aide	-|--|-|---|----|-|----⌫-|-|
moideui anne	--|-|--⌫---|
ilme promis t	-|-|------⌫|
faire sauoirpe r m esaigeleio rde samorts	----|-----|--⌫|-⌫-----|-|--⌫|-|-|---||
ilmo ristdeu ant	-|--⌫---|---⌫--|
ieausialuilamoie	-|---||--|-|---|
morts e iemo roiedeuantlui .	---|-⌫|-|--⌫---|-----|--||
porquo i i lcomandai aunsuennorriq ua rquant	--|---⌫|-⌫|-------||-|---|----|-⌫--⌫|----|
il seroitsamort proche nn equil l emedenu cest	-|-----|-|---|------⌫--⌫|-|-|-⌫|-|----⌫---|
queu os diroie	--|-⌫-|-----|
ie soispe r celuime s aigequiui ent a moil e	-|---|--⌫|----|--⌫-⌫---|--|--⌫--||--|-⌫|
quinzeme ior apressa	-------|--|----|-|
de squilpartideaspai gneiusqueal orede	--⌫--|-|----|-|-----⌫--|-----|||--|-|
samortqui lnefuonques puisensante	-|---|-|-⌫|-|-|-----|---|-|----|
etmeditquile s toit morsatelior	-|-|--|-|-|-⌫-⌫---|---||--|--|
ui sl a uisionenlay ykalende s	--⌫|-⌫|-----|-|-|-⌫|-------⌫|
de feurieren lande	-|------|-||-|-|
gr acemi l octan teet yy	--⌫--|--⌫|-----⌫-|-|-|
etq uilestoitmiset seueliza ha ye	-|-⌫|-|-----|--|-|------||--⌫-|
lachapele.	-|------||
et ce s signes ieuis pertroisanzdeuant sa	-|--⌫|-----|-|--|--|----|--|-----|-|
mortq uar ie	---|-⌫--|-|
u isl aluneet l e sol oi lpery y	-⌫-|-⌫|---|-|-⌫|---⌫--⌫|--|-⌫|
noire colo ret	----|----⌫|-|
sonnun quie stoit escrizen lapa roi de	--|--|--|-⌫----|-----|-|-|--⌫--|-|
lenglisedesusdite est r e dou totaffaciéet li	|------|----|---|---⌫-⌫|--|--|-------|-|-|
p orchesquiestoit	-⌫-----|--|-----|
eng liseetla saule leior del a scension	---⌫---|-|-|----|-|--|-||-⌫-------|
che ist perluimeismes	---⌫--|--|--|------|
defust qu ilaueitf ait amogonce susle	-|---|-|-|----|-⌫--||------|--|-|
rin i eleuisardoir	--|-⌫|-|--|-----|
enfo nzsanzbouterfeu .	-|--⌫-|---|-----|--||
etuis queuniorqu	-|--|--|-|--|-|
il tra spasset d e	-|---⌫------|-⌫|
leu en autreque l iiorsdeuientt oz	--|-|----|--|-⌫|---|------|-⌫-|
obscurs et	------|-|
noirs e n desouresetgrantflaimede	----|-⌫|-------|-|----|-----|-|
feutraspassaia	--|---------||
se ne s treperdeua nt seseau zporquoiil futoz	--⌫--⌫-⌫--|--|----⌫-|--|---⌫|--|---|-|-|--|
espaontezet chaidou	--------|-|---|--|
cheua l de lau trepa rtie	-----⌫|-||--⌫--|--⌫---|
et maintenant	-|---------|
cil q ui estoient aueclui	--|-⌫-|-------|---|--|
lereleuerent.	-|---------||
donquesnos creonsarandroitqu ilest	------|--|-----|--------|-|-|--|
p arcenersdessain zmartyr sauecles q uexnos sauon s	-⌫-------|--|----⌫|------⌫|---|--|-⌫--|--|-----⌫|
sos tenu granzlabors	---⌫---|----|-----|
en c estexampleda uonsentandrequarquiedifieeglise	-|-⌫--|------|--⌫---|-------|---|--|-----|-----|
ilappa rail le a	-|----⌫----⌫-||
reigned eu	-----|-⌫-|
e t esttolluzas dyab les ausi	-⌫|--|-----|-|----⌫--|---|
cum fu charles et estaluiier ou	--|-|------|-|--|------|-|
re ignedesciels per l aidedes	--⌫---|--|----|--||---|--|
sainz lescu i	----|--|--⌫|
e n glisesiledifie.	-⌫-⌫-----|-|-----||
comelic uen s roola nzheustassi sse l a	---|-|-⌫---⌫|-----⌫-|----|----⌫--|-⌫|
cite degrenobletota tor eti heust demor éper	---|-|-------|--|-⌫--|-||----|-----⌫-|--|
unsmesagiers u in ta	--|--------|-⌫--⌫||
luiquilidist que	--|--|-|---|--|
es toit e ssa giez	--⌫---|-⌫---⌫---|
con trees d euarmanc edet rois rois des ua ndres	---⌫----|-⌫|-------⌫|-|-⌫---|---|--|--⌫----|
d essanxonie nset desfrisonset	-⌫-|--------⌫-|-|--|------|-|
ilma ndoite tr eque roit quil	-|--⌫----|-⌫|-⌫----⌫---|-|-|
lesecorassient en tel menierequ i lpeu stacha perdes	-|-----------|-|--|------|-|-⌫|---⌫-|----⌫--|--|
mains aspaiens .	----|-|-----||
et cilcoma nca ia	-|--|----⌫---⌫||
panserqu il fer oitsi l	-----|-|-|---⌫--||-⌫|
