aladolour del	|-|-----|--|
le chien lainguedoneisaboire al afemme ki	-|-----⌫------|-----||----||-⌫|----|-|
soi t c oilheuwe e n	---⌫|-⌫-------|-⌫|
plainne lunedeuantsesfr uissi	------|---|-----|--|--⌫--|-|
n aueratsoingn e daltrehome kedel	|-----|------⌫||----|---|-|--|
au e cmieletburetruilee lescharssalde.	--⌫-⌫|---|-|---|------|--|----|----||
parma ncol ie.	--|--⌫----⌫-||
l e fec h erotebeueissiuostourat melancolieenuien	-⌫|---⌫-⌫----|-----|-|--|-----|---------|-|---|
cuiteauecleforcheurep ar tde	----|---|-|--------|-⌫--⌫|-|
apresbaingn eledone isl e	----|------⌫|-|----⌫-|-⌫|
f emme boi reparyyiorssi espurg e	-⌫---|---⌫-|--|-|---|-|------⌫|
mais dai gu e ne	---||--⌫--⌫|-|
gosteuienboiuee t am esure .	----|---|----|-⌫||-⌫----||
cest p ar lesoel h.	|--|-⌫-|--|---⌫||
lec eloigneauecalbondueftoutdemalhe	-|-⌫------|---|----||--|---|-|----|
les uezetaltrespa ssions	--|--|-|-----|--⌫-----|
liiusdeses racines plainu nu efetaisil	-|--|-|--|------|----|-⌫|-⌫-|-|----|
udemielyy etyygrain s	|-|---|-|-|-|-----⌫|
de poiur .	-|----||
etdaloenyydonier spesant c uiset	-||----|-|------⌫|-----|-⌫--|-|
lesmorspouzenoste .	--|---|---|-|---||
pa rfoutre etdormieres t .	--⌫|-----|-|------|--⌫||
leslautuwe sto lentlux urekilesmaniut	--|-------⌫|--⌫---|---⌫--|-|--|-----|
bienfuntdormi renaiguecuite	---|---|-----⌫|-|----|----|
colee et b uit acem eismesfaitlaitetsai n c	----|-|-⌫--||-|-⌫-----|---|---|-|---⌫-⌫|
doneealafemmede son	----||-|----|-|--|
iusdoit on soindre a.	--|---|--⌫|-----|||
solutiondone .	-------|---||
kidormi e r nepuet	-|-----⌫-⌫|-|---|
lepauoirtru ile izal	-|-----|---⌫---⌫-|-|
ais iel etfroies les	---⌫--|-|-----|--|
templiers etlespouzdec elu i	--------|-|--|---|-|-⌫---⌫|
kidor mi ern e peutsidormiratu	-|---⌫--⌫-|-⌫|---|-|-------||
on l ioinde del	-|-⌫|----|--|
le co r s.	-|--⌫-⌫||
trui lee au ecmielu	----⌫--|--⌫-|---||
auec albonduefete nplaistree n	---|----||--|-|-⌫--------|-⌫|
li loie sir lespo uz	-|---|--|--|--⌫-|
etestemplirsetesbr aus.	-|-|-------|-|-|--⌫--||
p adolou rsoruenanz .	-⌫|-----⌫|--------||
lema ronepr end eisunepoingniedelbalsamitte et	-|--⌫---|--⌫---⌫--|--|-------|--|---------|-|
cerf ulhet outant deuien quatre	----⌫--|-|-----|-|---|-----|
ta nte t faite boire.	--⌫-|-⌫|----|----||
de contretotes dol oursoruenan s	--⌫-----|----|---⌫--|--------⌫|
unepoingniedeces t	--|-------|-|---⌫|
meism eet ce ntoireetdaloenezzderuezz	-----⌫|-|--⌫-----|-||-----|-|-|--|-|
detanesiee zzde sauinezz	-|-------|-|-|-----|-|
de ueru a in e udeplaintaine t uientantqu	-|----⌫-⌫--⌫||-|--------|-⌫|---|-----|
asseis eniaitsi	-----|-||--|-|
boiueetkifiuresas seispe r deratet	----|-|-|-----|--⌫---|--⌫-⌫----|-|
seius netrosqu anu ene	-|---⌫-|-----||--⌫--|
sik i uomistm anius tdelmarone auu ezue f .	-|-⌫|-----|-⌫-----⌫|--|-----|---⌫-|--⌫||
sainc rachent doneboiresulfreui fet al on	----|------|---|----|-----|--⌫|-|--⌫-|
etorpime nt au ec	-|------⌫-|--⌫-|
p aren fle ureest.	-⌫-|--⌫---⌫--|--||
le wim aulec uisiésena igu eet	-|---⌫---|-⌫------|-|-⌫---⌫|-|
s ile stampe iz	-⌫|-|------⌫-|
auec uiezoi nte t	---|---|--⌫-|-⌫|
sordolour ets or enf leur eleloies si l osterat	--|-----|-|-⌫-|---⌫----⌫|-|----|-||------|
delwimaulefa it o ns l e dialteuongement	--|------|--⌫-|-⌫-|-⌫|-----||-------|
etlienplaistes de lie t	-|-|---------|-|-|-⌫|
deluiezoint ceste	--|---|---||---|
buneentu r	---|----⌫|
l esr ain squantonssc ietens el baingneu en	-⌫-|-⌫---⌫|----|--|--⌫--|--|-|------||-|
