communalmen tuo usquia ués	-----------⌫|--⌫-|--|-⌫---|
adi ttro i s mos parfelo unie	|--⌫|---⌫-⌫|--|--|----⌫---|
dontne doite strebienm arieet auoir	---|-|---|-⌫---|---|-⌫---|-|----|
i r e uersle	-⌫-⌫|---|-|
destinersauieah on te quequantasa naissance	-------|-|--||-⌫--⌫-|--|----||-|--------|
fuili co tia xdontie taillierduimefa illique	--|-|--⌫---⌫|---|-|-------|--|-|--⌫---|--|
eneucm i e	-|--|-⌫-⌫|
uousfustes	---|-----|
mess eruie d ela cuillier a l anaiss an ce ydoine	----⌫----|-⌫|-|-------||-⌫|-----⌫--⌫-|-----|
dontaué spesancetout	---|----⌫|------|---|
autresi a la le conteuilainementser ui	------||-|-|----|----------|---⌫-|
duelen o iplu sque	---|-|-⌫|---⌫|--|
diresili destinaiparg rant	---|-|-|-------|--|-⌫---|
qua nt ilfemeespouseroitete nsambl eauo ecli	---⌫-|-|---|----------|-|-⌫------⌫|---⌫-|-|
giroitsitos tcomsonbo naroitfaitia puis	-----|-|---⌫|--|--|--⌫|----|---|-|---|
naroitioien ehaitcaren	|----|---|-⌫|---|--|-|
c el anad u elmorroit	-⌫-|-||-⌫-⌫-|------|
cestmontnelen garroit .	---|---|-||-|------||
amorir finementlest u etporriensnulee scaper n e	|----|-------||---⌫-⌫-|--|----|---|-⌫-----|-⌫|
nemuire d emalemort fi nablement sansnul confo r ta	-|----|-⌫|---|---|--⌫--------|---|--|-----⌫-⌫||
grantdoleuret atorment .	----|-----|-||------||
e nicest ansefemeprent	-⌫|----|-|-|---|----|
pourque ilait a liaf a ire mor irl	---|--|-|--||-|--⌫-⌫--|---⌫-||
estu et a grantcontr a iredunmalmult	----⌫-||----|-----⌫-⌫--||-|--|---|
angoussexetgrief .	--------|-|----||
uengie enerepar	-----|-|--|--|
monciefacort terme .	--|---||---|----||
ie ledes ti nasensegnes	-|-|---⌫--⌫|-|-------|
qu e le ma tin deuan t l	--⌫|-|--⌫--|-----⌫||
uisdu mostier	--|-|------|
tot droitainsquidoin eespous ee	--|----|-----|-----⌫|------⌫-|
soit s epasmerala damoiselea	---|-⌫|------|-|--------||
cesarontceste nouuele queioieen samble ia naront	-|-----|----|------|--|---|--⌫-----|-||----|
sorciere respon tceestgr ans d e lsetgran s	-------|------⌫|-|--|--⌫--|-⌫-⌫-|-|----⌫|
dam agesquemultpar est	---⌫---|--|---|--|--|
uailla nsetsages	------⌫-|-|----|
chilquicismausdoitauenir	---|--|--|---|---|-----|
mult deuroit lafemehair et eslongi era son pooir	---|------|-|---|---|-|-------⌫-||--|----|
por qui ildoitmort	--|--|-|---|---|
r eceuoi r.	-⌫------⌫||
ma beleam ie d ou cesuerormedescouurés	-|---|--⌫-|-⌫--⌫-|---|-|-|----------|
uostre cuersetantne quant uo uspeseroit	-----|---|-|---|-|----|--⌫-|-------|
quiseulement	--|--------|
i tantdiroi tauc onteque	-⌫---|-----⌫|-|-⌫---|--|
biense gardast queydoine pas nespousast.	---|-|------|--|-----|--||--------||
pari tantseporoitg arir	--|-⌫---|-|-----|-⌫---|
siluousestf aitelea	|-|---|--|-⌫--|--||
plai siritant li	----⌫--|----|-|
porésu ousbiendire queiade	-----|-⌫--|---|---|--|-|-|
mo ine narés ire .	--⌫||-⌫|----|--||
cloto respontdontnen doucri en	----|------|---||-|---|--⌫-|
lifacesauoirbi e n.	-|---|-----|--⌫-⌫||
quan tontbienasouméleurpla itetla gran t	----⌫|--|---|------|---|---⌫-|-|-|----⌫|
me nco ngn eaci eftrai tdece	--⌫---⌫---⌫||--⌫-|----⌫|-|-|
contco ntro uuéetfaintpuisont	|--|--⌫----⌫---|-|----|---|--|
d euant lecon teesta intun des c ierces qui	-⌫----|-|---⌫-|----⌫--|-|--|-⌫-----|--|
cler ardo it car s ansqui di er sauoirle doitque	---|----⌫-|--|-⌫--|---⌫--⌫-|-----|-|---|--|
sau iemoustré lio nt.	-|-⌫-|-------|-|-⌫-||
atantl encan tement desfontp uis issent	----||-----⌫-----|------|-⌫--|-----|
horssi come ntrer ent nuisnefenestren	---|-|--|-⌫-----⌫--||--|-|-------||
i garderent.	|--------||
cas cune s e n istendroi t	---⌫---||-⌫|--|------⌫|
laisneeuintsuslapa r oisisest	|-----|---|--|-|--⌫-⌫-|-||--|
illuecaresteue	-----|-------|
de hautparler n est m ie	-|---|-----||--|-⌫-|
m u e si lapele	-⌫-⌫|-||----|
co m i l d orm ist.	--⌫|-⌫|-⌫---⌫--||
oréslameruel le	----|-|------⌫-|
quedistcuensfai teleparuostre	--|---|----|---⌫|--|--|-----|
foie nten désunp etitamoimais n	--|-⌫----⌫---|-|-⌫---||--|---||
enque résnebas	-----⌫---|-|--|
neha utqu iqueie sui neu ou s	-|--⌫-|--⌫---|-|--|-|-⌫--⌫|
que sta aue nir	-|-⌫-||---⌫--|
ieuousuoelde	-|---|---|-|
uous uolés ydoineespouserlafille auduco	---|-----|-----|-------|-|----|-|--||
leuiscle r	-|--|---⌫|
maissaciésb iensela p renésuousestesm ors	---|------|-⌫--|-|-|-⌫-----|---|----|-⌫--|
et af olés.	-|--⌫----||
ia nelaure ́sdespucele eausit ost	-|-||----⌫-|---------⌫|---|-⌫--|
que pardest ineenemuirie ́s	--|--|----⌫---|-|------⌫-|
amultgran tdolore ta	|---|----⌫|----|-⌫||
m artiree ta tris trour	-⌫-----|-⌫||----⌫----|
parlemienlosnonferés	--|-|---|--|--|-----|
au t re prené squiuou sp laira femeala	--⌫-⌫-|------⌫|--|---⌫|-⌫----|---||-|
uost reuolente	----⌫-|------|
de cesten auéspoes tecar uous e n	-|----||----|----⌫-|--|---|-⌫|
a uriiés lamort	-⌫------|-|---|
dautrefemequerésconfort .	|----|---|------|------||
uousuos treestlicois	---|---⌫--|--|-|---|
u ousaiormenreuois.	-⌫--|-|-||-|-----||
di statantse n uait bien	--⌫-|----||-⌫|---|---|
cuideauoirtota c ieftrai t	----|----|--||-⌫--|----⌫|
plu slongeatenteelesn	---⌫|----|-----|---||
toutestr oi sa itant senuo ntay do inehastiuemen t	-----|--⌫--⌫||----||-|--⌫-||-⌫--⌫--|----------⌫|
si li moustrentcomfaitementontleconteesc a r ni	-|-|--------|--|--------|--|-|----|---⌫-⌫-⌫-|
que le uroeure certaineso it	--|--⌫-|----|-------|--⌫-|
ydoinee n a ioiemu lt	-----|-⌫||---|--⌫-|
g rant quebien	-⌫---|--|---|
qu idequeparitant remaigne	--⌫--|--|--|----|-------|
qu ilmaisnelapregnee tq u amadas	-|-|---|-|-|-----|-⌫|-⌫|-----|
lai t sanscalenge.	|--⌫|---|------||
d ecestespoirestmu lt	-⌫|---|-----|--|--⌫-|
hai tiemaistansseracouroucie	---⌫--|---|---|---|--------|
